,Personnel_ID,K_SimilarActors,Total_SharedProjects,K_Reccomendations,True_Positive(Train),Precision(Train),True_Positive(Test),Precision(Test)
306,5,5,52,20,7,0.35,10,0.5
307,5,5,52,30,10,0.3333333333333333,13,0.43333333333333335
308,5,5,52,40,11,0.275,14,0.35
309,5,5,52,50,13,0.26,14,0.28
310,5,6,55,10,4,0.4,7,0.7
311,5,6,55,20,7,0.35,10,0.5
312,5,6,55,30,9,0.3,12,0.4
313,5,6,55,40,11,0.275,14,0.35
314,5,6,55,50,13,0.26,14,0.28
315,5,7,59,10,5,0.5,8,0.8
316,5,7,59,20,7,0.35,10,0.5
317,5,7,59,30,9,0.3,11,0.36666666666666664
318,5,7,59,40,11,0.275,14,0.35
319,5,7,59,50,12,0.24,14,0.28
320,5,8,67,10,5,0.5,8,0.8
321,5,8,67,20,7,0.35,10,0.5
322,5,8,67,30,9,0.3,11,0.36666666666666664
323,5,8,67,40,11,0.275,14,0.35
324,5,8,67,50,13,0.26,14,0.28
325,5,9,72,10,5,0.5,8,0.8
326,5,9,72,20,7,0.35,10,0.5
327,5,9,72,30,8,0.26666666666666666,11,0.36666666666666664
328,5,9,72,40,10,0.25,14,0.35
329,5,9,72,50,12,0.24,14,0.28
330,5,10,78,10,5,0.5,8,0.8
331,5,10,78,20,7,0.35,10,0.5
332,5,10,78,30,8,0.26666666666666666,11,0.36666666666666664
333,5,10,78,40,10,0.25,14,0.35
334,5,10,78,50,13,0.26,14,0.28
335,5,11,84,10,5,0.5,8,0.8
336,5,11,84,20,7,0.35,10,0.5
337,5,11,84,30,7,0.23333333333333334,10,0.3333333333333333
338,5,11,84,40,8,0.2,12,0.3
339,5,11,84,50,11,0.22,14,0.28
340,5,12,90,10,4,0.4,8,0.8
341,5,12,90,20,7,0.35,10,0.5
342,5,12,90,30,7,0.23333333333333334,11,0.36666666666666664
343,5,12,90,40,8,0.2,12,0.3
344,5,12,90,50,10,0.2,14,0.28
345,5,13,94,10,4,0.4,7,0.7
346,5,13,94,20,7,0.35,10,0.5
347,5,13,94,30,7,0.23333333333333334,11,0.36666666666666664
348,5,13,94,40,8,0.2,12,0.3
349,5,13,94,50,10,0.2,14,0.28
350,5,14,106,10,5,0.5,8,0.8
351,5,14,106,20,7,0.35,10,0.5
352,5,14,106,30,7,0.23333333333333334,11,0.36666666666666664
353,5,14,106,40,7,0.175,11,0.275
354,5,14,106,50,8,0.16,12,0.24
355,5,15,113,10,5,0.5,8,0.8
356,5,15,113,20,7,0.35,10,0.5
357,5,15,113,30,7,0.23333333333333334,11,0.36666666666666664
358,5,15,113,40,7,0.175,11,0.275
359,5,15,113,50,7,0.14,11,0.22
360,5,16,116,10,5,0.5,8,0.8
361,5,16,116,20,7,0.35,10,0.5
362,5,16,116,30,7,0.23333333333333334,11,0.36666666666666664
363,5,16,116,40,7,0.175,11,0.275
364,5,16,116,50,7,0.14,11,0.22
365,5,17,123,10,5,0.5,7,0.7
366,5,17,123,20,7,0.35,9,0.45
367,5,17,123,30,7,0.23333333333333334,10,0.3333333333333333
368,5,17,123,40,7,0.175,11,0.275
369,5,17,123,50,7,0.14,11,0.22
370,5,18,130,10,6,0.6,7,0.7
371,5,18,130,20,7,0.35,9,0.45
372,5,18,130,30,7,0.23333333333333334,10,0.3333333333333333
373,5,18,130,40,7,0.175,11,0.275
374,5,18,130,50,7,0.14,11,0.22
375,5,19,139,10,5,0.5,8,0.8
376,5,19,139,20,7,0.35,9,0.45
377,5,19,139,30,7,0.23333333333333334,10,0.3333333333333333
378,5,19,139,40,7,0.175,11,0.275
379,5,19,139,50,7,0.14,11,0.22
380,6,1,6,10,2,0.2,2,0.2
381,6,1,6,20,2,0.1,2,0.1
382,6,1,6,30,3,0.1,2,0.06666666666666667
383,6,1,6,40,4,0.1,2,0.05
384,6,1,6,50,4,0.08,2,0.04
385,6,2,13,10,2,0.2,2,0.2
386,6,2,13,20,3,0.15,3,0.15
387,6,2,13,30,4,0.13333333333333333,3,0.1
388,6,2,13,40,4,0.1,3,0.075
389,6,2,13,50,4,0.08,4,0.08
390,6,3,13,10,2,0.2,2,0.2
391,6,3,13,20,2,0.1,2,0.1
392,6,3,13,30,3,0.1,2,0.06666666666666667
393,6,3,13,40,3,0.075,2,0.05
394,6,3,13,50,3,0.06,3,0.06
395,6,4,20,10,2,0.2,2,0.2
396,6,4,20,20,3,0.15,3,0.15
397,6,4,20,30,4,0.13333333333333333,3,0.1
398,6,4,20,40,4,0.1,3,0.075
399,6,4,20,50,5,0.1,3,0.06
400,6,5,27,10,2,0.2,2,0.2
401,6,5,27,20,4,0.2,2,0.1
402,6,5,27,30,4,0.13333333333333333,2,0.06666666666666667
403,6,5,27,40,5,0.125,2,0.05
404,6,5,27,50,6,0.12,2,0.04
405,6,6,30,10,2,0.2,2,0.2
406,6,6,30,20,4,0.2,2,0.1
407,6,6,30,30,4,0.13333333333333333,2,0.06666666666666667
408,6,6,30,40,4,0.1,2,0.05
409,6,6,30,50,5,0.1,2,0.04
410,6,7,40,10,2,0.2,2,0.2
411,6,7,40,20,2,0.1,2,0.1
412,6,7,40,30,2,0.06666666666666667,2,0.06666666666666667
413,6,7,40,40,5,0.125,4,0.1
414,6,7,40,50,6,0.12,5,0.1
415,6,8,45,10,2,0.2,2,0.2
416,6,8,45,20,2,0.1,2,0.1
417,6,8,45,30,2,0.06666666666666667,2,0.06666666666666667
418,6,8,45,40,4,0.1,3,0.075
419,6,8,45,50,6,0.12,3,0.06
420,6,9,52,10,2,0.2,2,0.2
421,6,9,52,20,2,0.1,2,0.1
422,6,9,52,30,2,0.06666666666666667,2,0.06666666666666667
423,6,9,52,40,4,0.1,3,0.075
424,6,9,52,50,5,0.1,3,0.06
425,6,10,59,10,2,0.2,2,0.2
426,6,10,59,20,2,0.1,2,0.1
