Year,Season,Title,Type,Episodes,Status,Source,Genres,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Themes,Demographics,Broadcast_Day,Broadcast_Hour,Duration_Minutes,Premiere Datetime
2020,0,Dixia Cheng Yu Yongshi: Nizhuan Zhi Lun Episode 0,ONA,1.0,Finished Airing,Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",PG-13 - Teens 13 or older,,20176.0,21867.0,174,0,,,,,,24.0,
2020,0,Doraemon (2005),TV,,Currently Airing,Manga,"['Comedy', 'Sci-Fi']",PG - Children,7.72,1246.0,4992.0,21306,236,9548.0,['Anthropomorphic'],"['Kids', 'Shounen']",5.0,19.0,25.0,2005-04-22
2020,0,Dorohedoro: Ma no Omake,Special,6.0,Finished Airing,Manga,"['Action', 'Comedy', 'Fantasy', 'Horror']",R+ - Mild Nudity,7.1,3896.0,3070.0,57269,85,29966.0,,['Seinen'],,,5.0,
2020,0,Dou Hun Wei Zhi Xuan Yue Qiyuan IV,ONA,13.0,Finished Airing,Original,"['Action', 'Fantasy']",PG-13 - Teens 13 or older,,20281.0,18656.0,360,0,,,,,,20.0,2020-05-19
2020,0,Dubu Xiaoyao,ONA,480.0,Finished Airing,Novel,['Action'],PG-13 - Teens 13 or older,7.05,4126.0,9881.0,3621,24,880.0,['Martial Arts'],,,,12.0,2020-06-18
2020,0,Duel Masters King,TV,47.0,Finished Airing,Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",G - All Ages,5.79,10953.0,13995.0,1058,1,173.0,,['Kids'],0.0,8.0,24.0,2020-04-05
2020,0,Duoyun Shi Qing,Movie,1.0,Finished Airing,Unknown,['Drama'],PG-13 - Teens 13 or older,,20365.0,21542.0,192,0,,,,,,14.0,
2020,0,Egg Car,TV,52.0,Finished Airing,Original,"['Adventure', 'Comedy', 'Fantasy']",PG - Children,,20383.0,18765.0,352,3,,,['Kids'],4.0,18.0,11.0,2019-10-03
2020,0,Ehon Yose,TV,73.0,Finished Airing,Other,['Horror'],PG - Children,,20385.0,17172.0,478,0,,"['Historical', 'Performing Arts']",['Kids'],,,5.0,2006-04-01
2020,0,Fei Ren Zai Part 3,ONA,12.0,Finished Airing,Manga,"['Comedy', 'Supernatural']",PG-13 - Teens 13 or older,7.09,3971.0,13906.0,1076,1,377.0,['Mythology'],,,,6.0,2020-06-17
2020,0,Fruits Basket 2nd Season,TV,25.0,Finished Airing,Manga,"['Drama', 'Romance', 'Supernatural']",PG-13 - Teens 13 or older,8.54,126.0,434.0,541500,6236,279066.0,['School'],['Shoujo'],2.0,1.0,23.0,2020-04-07
2020,0,Fugou Keiji: Balance:Unlimited,TV,11.0,Finished Airing,Novel,['Mystery'],PG-13 - Teens 13 or older,7.51,1924.0,532.0,450105,3005,206025.0,"['Adult Cast', 'Detective']",,5.0,0.0,23.0,2020-04-10
2020,0,Gal to Kyouryuu,TV,12.0,Finished Airing,Manga,['Comedy'],PG-13 - Teens 13 or older,6.45,7380.0,4042.0,34108,89,10463.0,,['Seinen'],0.0,1.0,13.0,2020-04-05
2020,0,Garugaku.: Sei Girls Square Gakuin,TV,50.0,Finished Airing,Mixed media,,PG-13 - Teens 13 or older,5.62,11714.0,11110.0,2491,5,437.0,"['Idols (Female)', 'Music', 'School']",,1.0,7.0,3.0,2020-04-06
2020,0,Girl X,ONA,5.0,Finished Airing,Original,"['Comedy', 'Horror']",PG-13 - Teens 13 or older,5.13,13001.0,13174.0,1321,0,748.0,,,,,1.0,2019-07-26
2020,0,Gleipnir,TV,13.0,Finished Airing,Manga,"['Action', 'Mystery', 'Ecchi']",R - 17+ (violence & profanity),6.96,4546.0,461.0,512010,1975,237311.0,['Super Power'],['Seinen'],0.0,23.0,23.0,2020-04-05
2020,0,Go! Go! Atom,TV,52.0,Finished Airing,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",PG - Children,5.87,10579.0,13528.0,1196,0,250.0,,['Kids'],4.0,18.0,11.0,2019-10-03
2020,0,Gohan Kaijuu Pap,TV,,Currently Airing,Original,"['Action', 'Comedy']",G - All Ages,,20724.0,16383.0,561,0,,,['Kids'],,,0.5,2011-04-25
