,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Genres,Theme,Synonyms,French,Demographic,Themes,Demographics
107,ねこねこ日本史,Meow Meow Japanese History,['TV'],32,Finished Airing,"Apr 5, 2017 to Feb 28, 2018",['Spring 2017'],Wednesdays at 18:45 (JST),"['NHK', 'Neft Film']","None found,",['Joker Films'],['Web manga'],,9 min. per ep.,G - All Ages,6.18,#8945,#14556,924,1,263,Second season of Neko Neko Nihonshi.,"['Prequel (TV) Neko Neko Nihonshi', 'Sequel (TV) Neko Neko Nihonshi 3rd Season', 'Adaptation (Manga) Neko Neko Nihonshi', '']",Neko Neko Nihonshi 2nd Season,,,,,,,['Kids'],"['Anthropomorphic', 'Historical', 'Parody', 'Samurai']",
108,朝だよ！貝社員,,['TV'],744,Finished Airing,"Apr 4, 2016 to Mar 29, 2019",['Spring 2016'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,['Comedy'],44 sec. per ep.,G - All Ages,5.59,#11848,#14705,888,2,159,The series follows a variety of employed shellfish who exhibit selfish or odd personality traits. (Source: LiveChart),[],Asa da yo! Kaishain,,,,['Workplace'],Clamployee,,,,
109,スナックワールド (TV),Snack World,['TV'],50,Finished Airing,"Apr 13, 2017 to Apr 19, 2018",['Spring 2017'],Thursdays at 19:25 (JST),"['TOHO animation', 'Level-5']","None found,","['OLM', 'OLM Digital']",Mixed media,,23 min. per ep.,G - All Ages,[],#14832,#14926,828,1,,"In ""a certain era"" on ""a certain continent,"" banal things are happening. The construction of ""Large-Scale Leisure Facilities"" has demanded that all the villages are to be evicted. When these demands are denied, the village and its residents are obliterated. A boy named Chap once lived in tranquility, but that happiness soon came crumbling down. He decides to embark on a journey of revenge, but soon falls madly in love with the king's daughter, Princess Melora. In order to fulfill her selfish wishes, he gathers his friends in order to overcome the impossible.","['Adaptation (Manga) The Snack World', '']",The Snack World (TV),,,"['Adventure', 'Comedy', 'Fantasy']",,,,['Kids'],,
110,신비아파트: 고스트볼X의 탄생,,['TV'],23,Finished Airing,"Nov 9, 2017 to Jan 24, 2019",['Fall 2017'],Unknown,['CJ ENM'],"None found,",['Studio BAZOOKA'],Unknown,['Supernatural'],20 min. per ep.,G - All Ages,6.27,#8469,#15427,715,2,199,"With help from a 102-year-old goblin dwelling beneath their haunted apartment building, two siblings deal with ghosts and take on spooky mysteries.","['Prequel (TV) Sinbi Apartment: Ghost Ball Bimil', 'Sequel (TV) Sinbi Apartment: Ghost Ball Double X']",Sinbi Apartment: Ghost Ball X-ui Tansaeng,,La Casa Embrujada: El Secreto de la Bola Fantasma Temporada 2,,,The Haunted House: The Secret of the Ghost Ball 2,,,,
111,ヒノマル!,Hinomaru!,['TV'],12,Finished Airing,"Jul 5, 2017 to Jun 2018",['Summer 2017'],Unknown,"None found,","None found,","None found,",['Manga'],,10 min. per ep.,G - All Ages,[],#18585,#15478,707,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hinomaru!,,,"['Adventure', 'Comedy', 'Fantasy']",,,,,,
112,ね子とま太,,['TV'],88,Finished Airing,"Apr 21, 2017 to Sep 17, 2020",['Spring 2017'],Fridays at 01:25 (JST),"['Fuji TV', 'Creek & River']","None found,","None found,",Original,['Supernatural'],42 sec. per ep.,G - All Ages,[],#20618,#15542,697,0,,"The series centers around two cats: a younger sister named Neko, and an older brother named Mata. Neko is a nekomata (a mythical two-tailed cat), innocently selfish, and spoiled by her brother. Mata is a neighborhood cat with an eartipped mark as a sign of being neutered. They meet under a streetlight in the city at night to talk. (Source: ANN)",[],Neko to Mata,,,,,,,,,
113,しまじろうのわお!,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,,8 min.,G - All Ages,[],#14228,#15589,688,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,"['Adventure', 'Comedy', 'Fantasy']",,,,['Kids'],,
114,Caribadix,Caribadix,['TV'],46,Finished Airing,"May 7, 2017 to Mar 25, 2018",['Spring 2017'],Sundays at 09:30 (JST),"['TV Osaka', 'Sanrio']","None found,","None found,",Original,['Comedy'],45 sec. per ep.,PG - Children,[],#17142,#16245,592,0,,Deeky is a wolf whose wild appearance belies his pure-hearted and slightly gossipy moe nature. Carina is a squirrel whose soft and cuddly appearance hides the black and beating heart of a hard rock monster. Together they form a band to compete in a rock music competition. (Source: Crunchyroll),"['Sequel (TV) Caribadix 2nd Season', '']",Caribadix,,,,['Music'],"Deeky & Carina, Deeky and Carina",,,,
115,ユラユラすいぞくかん,,['TV'],50,Finished Airing,"Jul 24, 2017 to Jul 8, 2018",['Summer 2017'],Unknown,['Asmik Ace'],"None found,",['Kachidoki Studio'],Original,['Comedy'],1 min. per ep.,PG - Children,[],#16192,#16390,573,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yura Yura Suizokukan,,,,,Swaying Water Pipes,,,,
116,ごはんかいじゅうパップ,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,,30 sec.,G - All Ages,[],#18205,#16436,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,,,"['Action', 'Comedy']",,Rice Monster Pap,,['Kids'],,
117,ぴったんこ!! ねこざかな,,['TV'],93,Finished Airing,"Oct 9, 2017 to Dec 23, 2019",['Fall 2017'],Unknown,"None found,","None found,","None found,",Unknown,,5 min. per ep.,G - All Ages,[],#21058,#16530,556,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Pittanko! Nekozakana', 'Sequel (TV) Pittanko!! Nekozakana (2020)']",Pittanko!! Nekozakana,,,,,,,,,
118,よわむしモンスターズ,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,1 min.,PG - Children,[],#16128,#16778,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,,,,,Yowamon,,['Kids'],,
119,공룡메카드,Dino Mecard,['TV'],52,Finished Airing,"Nov 23, 2017 to Dec 27, 2018",['Fall 2017'],Thursdays at 13:50 (JST),"None found,","None found,","None found,",Original,['Adventure'],28 min. per ep.,PG - Children,[],#18224,#16911,512,0,,"Gonglyong Mecard is a spin-off-series of Mecard, based on the idea that dinosaurs didn't become extinct 65 million years ago, but transformed into mecanimals. Its characters don't have any relations to the cast from Turning Mecard, Turning Mecard W and Turning Mecard R. (Source: Gonglyong Mecard Wikia)",[],Gonglyong Mecard,,,,,Dinosaur Mecard,,['Kids'],"['Mecha', 'Racing', 'Strategy Game']",
120,クイズとき子さん,,['TV'],40,Finished Airing,"Jun 17, 2017 to Mar 31, 2018",['Summer 2017'],Unknown,['Anime Beans'],"None found,","None found,",Original,['Slice of Life'],2 min. per ep.,None,[],#21302,#17009,505,0,,"Tokiko-san got the job of making quizzes/brain-teasers/riddles for Chuukyou Television Broadcasting (a real TV station that airs the anime the fictional character works for). In particular: matchstick puzzles. The show focuses on her trying to make puzzles as well as her early life, family, personality that lead to her profession—particularly her compulsiveness for organization.",[],Quiz Tokiko-san,,,,['Strategy Game'],,,,,
121,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,['Horror'],5 min. per ep.,PG - Children,[],#17863,#17183,487,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,,,,,['Kids'],"['Historical', 'Performing Arts']",
122,ともだち8にん,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,['Comedy'],1 min. per ep.,G - All Ages,[],#14949,#17784,436,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,,,,,,['Kids'],,
123,オトッペ,,['TV'],265,Finished Airing,"Apr 3, 2017 to Mar 31, 2023",['Spring 2017'],Mondays at 08:40 (JST),['NHK'],"None found,","None found,",Original,['Fantasy'],3 min. per ep.,G - All Ages,[],#20908,#17773,435,0,,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.",[],Otoppe,,,,['Music'],,,['Kids'],,
124,드래곤에그,Dragon Egg,['TV'],52,Finished Airing,"Nov 6, 2017 to Apr 25, 2019",['Fall 2017'],Mondays at 17:00 (JST),"None found,","None found,","None found,",Original,,24 min. per ep.,G - All Ages,[],#17791,#17831,432,1,,"10 years ago, a mysterious stone which looks just like an egg was found. This egg turns out to be an ancient legendary Dragon Egg and it later transformed in to a dragon. People call this the ‘First Hatching’ and found out that they are able to use a dragon’s powerful energy only if they can speak the language of dragon. Soon after they found out this, an international society choose talented children to communicate with dragon and train them to carry out impossible missions. This group of children are called as Knights of Dragon. The Knights of Dragon carry out impossible missions successfully by finding dragons and their language hidden all around the world. Everything working out great only before they got attack from Defectors… (Source: Official YouTube channel)",[],Dragon Egg,,,"['Action', 'Sci-Fi']",,,,['Kids'],,
125,터닝메카드 R,Turning Mecard R,['TV'],26,Finished Airing,"Sep 14, 2017 to Apr 5, 2018",['Fall 2017'],Unknown,"None found,","None found,","None found,",Original,,11 min. per ep.,G - All Ages,[],#15074,#17927,423,1,,Turning Mecard R was announced as a CG-reboot of Turning Mecard. It features the same characters as Turning Mecard and Turning Mecard W. (Source: Wikia),[],Turning Mecard R,,,,,,,['Kids'],"['Mecha', 'Racing', 'Strategy Game']",
126,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,1 min.,G - All Ages,[],#20936,#18315,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,,,,['Kids'],,
127,몬카트,MONKART,['TV'],52,Finished Airing,"Aug 28, 2017 to Aug 14, 2018",['Summer 2017'],Tuesdays at Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,11 min. per ep.,PG - Children,6.43,#7507,#18313,396,4,119,"Carmon Kingdom is a medieval style fantasy world where humans and monsters live together. Monkart Race is the most popular sport in the kingdom, as the highest ranker can be selected as knight. 12 year-old Jin of Latona Village also dreams to be the winner someday. One day, Destro, commander of the knights, invades the kingdom and tries to marry princess Sena. The princess escapes and comes across Jin. Their encounter awakes a dragon monster named Draka, who has been sealed in Jin’s sword. Now Jin, Sena, and their monsters start the most exciting adventures to save the kingdom. (Source: SAMG Animation)",[],Monkateu,Monkart,Monkart,"['Action', 'Adventure', 'Fantasy']",,Monkart: Legend of Monster Kart,Monkart,['Kids'],,
128,스톤에이지: 전설의 펫을 찾아서,Stone Age: The Legendary Pet,['TV'],26,Finished Airing,"Jul 12, 2017 to May 2, 2018",['Summer 2017'],Unknown,"None found,","None found,",['Iconix Entertainment'],Game,['Fantasy'],10 min. per ep.,G - All Ages,[],#14592,#18727,363,0,,"An animated adaptation of the mobile game of the same name. Each episode is composed of two stories. The story is set in the future, after the destruction of machine civilization which leaves humans in a more primitive state. Dinosaurs, woolly mammoths, saber-tooth tigers, etc. roam free, as their species were brought back to life and modified to be friendlier thanks to cloning fossil samples during the machine civilization era. Children can become Stone Leaders by having one of these creatures as a ""pet"" which they can do friendly battles with against others.",[],Stone Age: Jeonseol-ui Pes-eul Chaj-aseo,,,,,,,['Kids'],,
129,猫のダヤン (2017),,['TV'],30,Finished Airing,"Oct 14, 2017 to May 3, 2018",['Fall 2017'],Unknown,"None found,","None found,","None found,",Picture book,,1 min. per ep.,G - All Ages,[],#20611,#19198,332,0,,Fourth season of Dayan the Cat.,"['Prequel (TV) Neko no Dayan: Fushigi Gekijou', '']",Neko no Dayan (2017),,,,,Dayan the Cat (2017),,['Kids'],,
130,런닝맨,,['TV'],48,Finished Airing,"Jul 29, 2017 to Oct 12, 2018",['Summer 2017'],Saturdays at 11:30 (JST),"None found,","None found,","None found,",Other,,10 min. per ep.,G - All Ages,[],#21443,#19913,290,6,,"The Soul Tree, the great source of our race. But for its ultimate power and by those whose minds were blinded by it, it also became the catastrophic cause that had brought never-ending wars between the tribes. Tortured by the agonies of the wars, the leaders of the tribes finally came to a peace agreement that they would instead open a competition. Players, equipped with special watches and shields, compete against each other as winner’s tribe would be awarded with Materion, the sacred fruit of the Soul Tree. These brave players, who throw themselves in this fierce fight, we call them the Runningman. (Source: Official YouTube Channel)",[],Running Man,,,"['Action', 'Adventure']",,Runningman The Animation,,['Kids'],,
131,アイスくりたろう,Ice Kuritaro,['TV'],49,Finished Airing,"Oct 12, 2017 to Sep 27, 2018",['Fall 2017'],Thursdays at 01:39 (JST),"['Kamio Japan', 'Anime Beans']","None found,","None found,",Original,,1 min. per ep.,G - All Ages,[],#18820,#19867,292,0,,"A short anime that airs within ""Enkame: That's Enka Tainment"" (and enka variety show) program on Asahi TV. It follows a cast of ice cream characters.",[],Ice Kuritarou,,,,,,,['Kids'],,
132,꿈의 왕국 소피 루비,Dream Kingdom SofyRuby,['TV'],52,Finished Airing,"Oct 21, 2017 to Nov 3, 2018",['Fall 2017'],Unknown,"None found,","None found,","None found,",Unknown,['Comedy'],12 min. per ep.,G - All Ages,[],#19477,#21619,196,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) SofyRuby', '']",Kkum-ui Wang-gug SofyRuby,,,,,"Sophie Ruby Season 2, SofyRuby Season 2",,['Kids'],,
133,타오르지마 버스터,,['TV'],44,Finished Airing,"Jan 7, 2017 to Apr 11, 2019",['Winter 2017'],Unknown,['Studio Goindol'],"None found,","None found,",Original,['Comedy'],15 min. per ep.,PG - Children,[],#14749,#21985,176,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Taoleujima Beoseuteo,,,,['Mecha'],,,['Kids'],,
134,지오메카 캡틴다이노,,['TV'],26,Finished Airing,"Aug 21, 2017 to Feb 12, 2018",['Summer 2017'],Unknown,"None found,","None found,","None found,",Original,,10 min. per ep.,PG - Children,[],#18164,#22037,174,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Geo Mecha: Beast Guardian', '']",Geo Mecha: Captain Dino,,,"['Action', 'Sci-Fi']",['Mecha'],,,['Kids'],,
135,헬로 카봇 시즌5,,['TV'],52,Finished Airing,"Feb 18, 2017 to Mar 31, 2018",['Winter 2017'],Unknown,"None found,","None found,","None found,",Original,['Action'],11 min. per ep.,PG - Children,[],#18506,#23502,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 4', 'Sequel (TV) Hello Carbot Season 6']",Hello Carbot Season 5,,,,,,,['Kids'],"['Mecha', 'Racing']",
136,좀비덤 2,ZombieDumb 2,['TV'],22,Finished Airing,"Oct 21, 2017 to Feb 9, 2019",['Fall 2017'],Not scheduled once per week,"None found,","None found,",['ANYZAC'],Original,,13 min. per ep.,PG - Children,[],#16402,#24397,104,0,,The second season of Zombie Dumb.,"['Prequel (TV) Zombie Dumb', 'Sequel (TV) Zombie Dumb 3']",Zombie Dumb 2,,,"['Comedy', 'Supernatural']",,,,['Kids'],,
137,DEVILMAN crybaby,Devilman: Crybaby,['ONA'],10,Finished Airing,"Jan 5, 2018",,,"['Aniplex', 'Dynamic Planning', 'Netflix']",['Anime Limited'],['Science SARU'],['Manga'],,24 min. per ep.,R+ - Mild Nudity,7.74,#1177,#124,"1,208,437","25,054",728277,"Devils cannot take form without a living host. However, if the will of an individual is strong enough, they can overcome the demon and make its power their own, becoming a Devilman. Weak and unassuming, Akira Fudou has always had a bleeding heart. So when his childhood friend Ryou Asuka asks for his help in uncovering devils, Akira accepts without hesitation. However, to Akira's surprise, the place they go to is Sabbath: an immoral party of debauchery and degeneracy. Amidst bloodshed and death, demons possess the partiers, turning their bodies into grotesque monsters, and begin wreaking havoc. In a reckless attempt to save his best friend, Akira unwittingly merges with the devil Amon and becomes a Devilman, gaining the power to defeat the remaining demons. Though it grants him great power, this new partnership awakens an insatiable and primeval part of Akira. Having the body of a devil but the same crybaby heart, Akira works alongside Ryou, destroying those that harm humanity and his loved ones. [Written by MAL Rewrite]","['Adaptation (Manga) Devilman', '']",Devilman: Crybaby,DEVILMAN: Crybaby,DEVILMAN: Crybaby,"['Action', 'Avant Garde', 'Horror', 'Supernatural']",,,DEVILMAN: Crybaby,['Shounen'],"['Gore', 'Mythology']",
138,B: The Beginning,B: The Beginning,['ONA'],12,Finished Airing,"Mar 2, 2018",,,['Netflix'],['Anime Limited'],['Production I.G'],Original,,25 min. per ep.,R - 17+ (violence & profanity),7.15,#3638,#710,"358,788","1,426",180814,"On the islands of Cremona, a vigilante runs amok. Celebrated by some and hunted by others, the notorious ""Killer B"" takes justice into his own hands, armed with a sharp blade and superhuman abilities. Unable to apprehend this renegade, the Royal Investigation Service (RIS) calls upon the expertise of Keith Flick, a seasoned, yet eccentric detective who was relegated to the Archives Department following a personal loss. As crimes in Cremona begin to escalate, from stealthy executions of wrongdoers to sophisticated strikes on public figures, it soon becomes clear that there is more than one person responsible. With the help of his impulsive sidekick Lily Hoshina, and unexpected aid from the elusive Killer B himself, Keith begins to unravel plots involving secret organizations, domestic terrorism, and human experiments. When the involvement of the RIS extends beyond the scope of justice, the extent of the government's corruption—as well as the trustworthiness of close allies—are thrown into question. [Written by MAL Rewrite]","['Sequel (ONA) B: The Beginning Succession', '']",B: The Beginning,,,"['Action', 'Mystery', 'Suspense']",,,,,"['Detective', 'Psychological', 'Super Power']",
139,衛宮さんちの今日のごはん,Today's Menu for the Emiya Family,['ONA'],13,Finished Airing,"Jan 25, 2018 to Jan 1, 2019",,,"['Aniplex', 'Kadokawa']",['Aniplex of America'],['ufotable'],['Web manga'],,13 min. per ep.,PG-13 - Teens 13 or older,7.79,#1062,#1747,"137,927",764,61456,"With the threat of the Holy Grail War no longer looming over Fuyuki City, its inhabitants can finally enjoy a time of peace. Now that all of the Masters and Servants have adjusted to their new mundane lives, Shirou has taken it upon himself to cook for his household and show Saber the wonders of modern cuisine. Every day, he ventures into the marketplace to see what kind of different meals he can cook up with unique ingredients and a limited budget. However, his legendary skills often attract uninvited guests from all over the city, so there is never a dull moment at dinner with the Emiya family. As his guests entertain themselves in the living room, Shirou walks through the step-by-step process of creating some of his favorite meals. With delicacies such as his savory New Year soba with shrimp tempura, steamy foil-baked salmon, and cheesy bamboo shoot gratin, everything is up for grabs on his menu. Itadakimasu! [Written by MAL Rewrite]","['Adaptation (Manga) Emiya-san Chi no Kyou no Gohan', '']",Emiya-san Chi no Kyou no Gohan,Today's Menu for The Emiya Family,Today's Menu for the Emiya Family,"['Gourmet', 'Slice of Life']",['Iyashikei'],,Today's Menu for The Emiya Family,,,
140,A.I.C.O. -Incarnation-,,['ONA'],12,Finished Airing,"Mar 9, 2018",,,"['Bandai Visual', 'Lantis', 'Hakuhodo DY Music & Pictures', 'Yamasa', 'Studio Easter']","None found,",['Bones'],Original,,24 min. per ep.,R - 17+ (violence & profanity),6.53,#6872,#1951,"119,603",259,56936,"In 2035, an incident known as “The Burst” occurs at a Japanese research facility, giving birth to the rapidly expanding, consuming, and self-replicating ""Matter."" Snaking its way through the remains of dams and military facilities in the Kurobe Gorge, the hostile Matter is besieged by task forces trying to prevent it from reaching the ocean and mercenaries seeking the truth behind its existence. Aiko Tachibana lives under constant medical surveillance after being rescued from the Matter. She spends her days waiting out her recovery by making paper planes. Soon, her daily life at school is disturbed by the arrival of transfer student Yuuya Kanzaki, who proceeds to point out a number of inconsistencies regarding her body. Why is she never injured, and why does she suddenly no longer need her wheelchair? He claims that there is more to her existence than she has been led to believe, and that she alone holds the key to ending The Burst. With many factions now interested in Aiko, she and Yuuya must gather allies and embark on a dangerous pilgrimage into the heart of the infested gorge before the net can close around them. To escape the conspiracy moving against them, the pair must face off against the Matter—an enemy that flows like water. [Written by MAL Rewrite]","['Adaptation (Manga) A.I.C.O.: Incarnation', '']",A.I.C.O. Incarnation,A.I.C.O. Incarnation,,"['Action', 'Sci-Fi']",,AICO,A.I.C.O. Incarnation,,,
141,ソードガイ The Animation,,['ONA'],12,Finished Airing,"Mar 23, 2018",,,['Production I.G'],"None found,","['DLE', 'LandQ studios']",['Manga'],,22 min. per ep.,R - 17+ (violence & profanity),5.74,#11194,#2672,"74,100",46,33838,"When the gods would not answer in humanity's desperate hour of need, it turned to a demon instead. The supposed savior came wielding the sword Zsoltgewinn, but its uncontrollable lust for blood led it to kill those who summoned it too. Although the sword was sealed away long ago, it has been uncovered by the Shoshidai, an organization that collects such cursed artifacts. However, Zsoltgewinn proves to be too strong to be tamed by humans when its corruptive power influences the administrator, Takuma Miura, to flee with it in his grasp. At the same time, Gai Ogata's family is torn apart due to the possession of another demonic sword, Shiryu, leading his father to be murdered and his mother to hang herself shortly after giving birth to him. Abandoned in the forest clutching the blade, he is discovered by the blacksmith Amon. Unnaturally transfixed by the sword, Gai works tirelessly for years to hone his smithing skills. However, when an accident costs him his arm, he gains a new one—in the form of a reforged Shiryu. Now having a cursed sword for an arm, Gai must learn to control its violent urges. All the while, Zsoltgewinn continues its rampage, leaving a path of blood in its wake. [Written by MAL Rewrite]","['Sequel (ONA) Sword Gai The Animation Part II', 'Adaptation (Manga) Sword Gai']",Sword Gai The Animation,,,"['Action', 'Supernatural']",,,,['Seinen'],,
142,オーバーロード　ぷれぷれぷれあです2,,['ONA'],13,Finished Airing,"Jan 9, 2018 to Apr 3, 2018",,,"None found,","None found,",['Studio PuYUKAI'],['Light novel'],,1 min. per ep.,PG-13 - Teens 13 or older,6.82,#5222,#3630,"42,751",28,20878,Super deformed parody shorts of Overlord II streamed on Kadokawa's official YouTube channel.,"['Prequel (Special) Overlord: Ple Ple Pleiades', 'Sequel (ONA) Overlord: Ple Ple Pleiades 3']",Overlord: Ple Ple Pleiades 2,,,"['Action', 'Comedy', 'Fantasy']",['Isekai'],,,,,
143,25歳の女子高生,"25-Year-Old High School Girl, I Wouldn’t Do This with a Kid",['ONA'],12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",,,"['Cosmic Ray', 'Picante Circus', 'Suiseisha', 'Tavac']","None found,",['Lyrics'],['Web manga'],['Hentai'],5 min. per ep.,Rx - Hentai,5.60,N/A,#3735,"40,498",133,14873,"Once most students are done with high school, they leave and never come back. However, at 25 years old, Hana Natori finds herself in the role of a student once more at her aunt's request. Since Hana's cousin, Kaho Miyoshi, refuses to go to school, her aunt begs Hana to take Kaho's place, since the two of them are practically identical. But as luck would have it, she is recognized by Okito Kanie—an old classmate from her days in high school—who is now a teacher! With her cover blown, Hana assumes Kanie will expose her secret. But when he suddenly kisses her, she soon learns he has other ideas. [Written by MAL Rewrite]","['Adaptation (Manga) 25-sai no Joshikousei: Kodomo ni wa Oshierarenai Koto Shiteyaru yo', '']",25-sai no Joshikousei,,,,['School'],25-Year-Old High School Girl,,['Josei'],,
144,斗罗大陆,Soul Land,['ONA'],26,Finished Airing,"Jan 20, 2018 to Jul 14, 2018",,,['Tencent Penguin Pictures'],"None found,",['Sparkly Key Animation Studio'],Novel,,20 min. per ep.,PG-13 - Teens 13 or older,7.93,#773,#4209,"31,333",598,12579,"Tang San is one of Tang Sect martial art clan's most prestigious disciples and peerless in the use of hidden weapons. With high expectations, the sect's elders believe his future will be bright; yet Tang chooses to forsake this life at the cost of obtaining the sect's forbidden lore—an action punishable by death. Tang, now content with his ascension of knowledge, sees no reason to keep on living and jumps from Hell's Peak, but little did he know that that would not be the end of his existence. In Douluo Continent, the strong prevail and the weak perish. Each person possesses an innate spirit, some of which can be cultivated and strengthened, bestowing its user with various benefits. Those who were born with such spirits can become Spirit Masters, a profession regarded as one of the continent's most noble. Tang, reincarnated into this strange world, knows only the life of a blacksmith's son. At the age of six, he takes part in the Spirit Master ceremony, and discovers his spirit is Blue Silver Grass—supposedly the world's most useless spirit. In contrast, however, he possesses strong spirit power. Now, aided by the memories of his previous life as well, Tang's future as a Spirit Master is in no way bleak. [Written by MAL Rewrite]","['Sequel (ONA) Douluo Dalu 2nd Season', 'Adaptation (Manhua) Douluo Dalu']",Douluo Dalu,,,"['Action', 'Adventure', 'Fantasy', 'Romance']",,Combat Continent,,,"['Historical', 'Martial Arts', 'Reincarnation']",
145,연애하루전,A Day Before Us,['ONA'],10,Finished Airing,"Jan 12, 2018 to Feb 23, 2018",,,"None found,","None found,","['LICO', 'Red Dog Culture House']",Original,,2 min. per ep.,PG-13 - Teens 13 or older,7.23,#3227,#4391,"28,825",63,11028,"When Ha Eun takes shelter from a sudden downpour, she runs into someone she recognizes as her classmate. She greets him but is met by a cold shoulder, his curt replies shutting down her other attempts at conversing with him. When the awning above Ha Eun tears apart, she takes cover under the boy's umbrella and accidentally hugs him. Abashed and still annoyed, Ha Eun apologizes as the boy boards his bus. As luck may have it, the two meet again when Ha Eun's university friend, Yeo Reum, invites both of them for dinner. The classmate is introduced as Yeon Woo and turns out to be Yeo Reum's childhood friend. After several drinks, another friend of Yeo Reum escorts him back home, leaving Ha Eun and Yeon Woo alone. The two share an intimate moment devoid of words. Will this be the first of many? [Written by MAL Rewrite]","['Prequel (ONA) Yeon-ae Halujeon Zero', 'Sequel (ONA) Yeon-ae Halujeon 2']",Yeon-ae Halujeon,,,"['Romance', 'Slice of Life']",,,,,,
146,迷域行者,Uncharted Walker,['ONA'],12,Finished Airing,"Feb 3, 2018 to Apr 21, 2018",,,"['bilibili', 'Jay Zone Comic']","None found,",['Thundray'],['Web manga'],,26 min. per ep.,R - 17+ (violence & profanity),7.30,#2815,#4926,"22,046",88,6141,"After narrowly escaping a deathtrap, a dazed Ning Yuan finds himself confined by a menacing gangster, He Zhiyang, alongside hysterical doctor, Su Jin. However, this proves to be the least of his concerns as he comes to terms with the group's newfound desperate situation: they are trapped on an isolated island that harbors malignant viruses, horrid mutations, and hostile tribes. Meanwhile, another group of individuals in the same vicinity happen to face the same predicament. Forced to put aside their differences and come together to fight their way to freedom, the two groups of stranded victims must resist their personal motivations which threaten to get the better of them. [Written by MAL Rewrite]",[],Mi Yu Xingzhe,,,"['Mystery', 'Suspense']",,Mi Yu Xing Zhe,,,"['High Stakes Game', 'Psychological', 'Survival']",
147,연애하루전2,A Day Before Us 2,['ONA'],15,Finished Airing,"Mar 30, 2018 to Jul 6, 2018",,,"None found,","None found,","['LICO', 'Red Dog Culture House']",Original,,2 min. per ep.,PG-13 - Teens 13 or older,7.39,#2415,#5392,"17,622",27,8748,Second season of A Day Before Us.,"['Prequel (ONA) Yeon-ae Halujeon', '']",Yeon-ae Halujeon 2,,,"['Romance', 'Slice of Life']",,,,,,
