,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Theme,Demographic,Spanish,German,French,Demographics
117,極主夫道,The Way of the Househusband Part 2,['ONA'],5,Finished Airing,"Oct 7, 2021",,,"None found,","None found,",['J.C.Staff'],['Web manga'],,"['Adult Cast', 'Gag Humor', 'Organized Crime']",18 min. per ep.,PG-13 - Teens 13 or older,7.54,#1825,#1479,"170,896",367,91961,"Once a terrifying yakuza, ""Immortal Dragon"" Tatsu now continues to conquer the challenges of mundane life. While his beloved wife Miku works, Tatsu equips his trusted apron, takes care of their finances, hunts down the biggest store sales, and learns the way of a true househusband with the help of the neighborhood wives. Although Tatsu abandoned the life of violence, his former colleagues and enemies reappear around every corner—but this time only as rivals in homemaking ventures. Surrounded by a myriad of chores to occupy him, it seems that no matter how tough things get, Tatsu's undying perseverance prevails as he gives his tasks his absolute best. [Written by MAL Rewrite]","['Prequel (ONA) Gokushufudou', 'Sequel (ONA) Gokushufudou Season 2', 'Adaptation (Manga) Gokushufudou', '']",Gokushufudou Part 2,"The Way of the House Husband 2, The Way of the Househusband 2, Gokushufudou 2",['Comedy'],,,,,,
118,仙王的日常生活 第二季,The Daily Life of the Immortal King 2,['ONA'],12,Finished Airing,"Oct 30, 2021 to Jan 8, 2022",,,['bilibili'],"None found,",['Pb Animation Co. Ltd.'],Web novel,"['Adventure', 'Comedy', 'Fantasy']","['Mythology', 'School', 'Urban Fantasy']",19 min. per ep.,PG-13 - Teens 13 or older,7.38,#2474,#1503,"167,799",668,67027,"Wang Ling has been living a quiet life ever since resolving a particular incident, but thanks to his previous tampering with the laws of nature, the level of psionic powers in the world has dropped drastically. To stop the levels from plummeting further, his spirit sword Jingke comes to the rescue. But due to the excessive use of power, Jingke ends up ripping a crack in space. This crack allows demons to infiltrate the world and steal spiritual energy essential to powering human society. Now the only person who has the power to thwart their plans is none other than Wang Ling. In an attempt to balance his high school life with his supernatural one, Wang Ling must confront challenges ranging from teacher home visits, crafting spiritual swords, grappling with his growing feelings for Sun Rong, and battling invading demons! [Written by MAL Rewrite]","['Prequel (ONA) Xian Wang de Richang Shenghuo', 'Sequel (ONA) Xian Wang de Richang Shenghuo 3']",Xian Wang de Richang Shenghuo 2,"Xian Wang de Richang Shenghuo Er, 仙王的日常生活 贰",,,,,,,
119,大王饶命,"Spare Me, Great Lord!",['ONA'],12,Finished Airing,"Dec 3, 2021 to Feb 11, 2022",,,['Tencent Penguin Pictures'],"None found,",['Big Firebird Culture'],Novel,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,7.53,#1835,#2224,"99,492",651,23485,"Lü Shu is a frail teenager with an iron will. After losing his parents, he enrolls in a prestigious high school while working for a living and looking after his adoptive sister, Lü Xiaoyu. However, Lü Shu's quiet life abruptly changes when a car accident awakens his latent cultivation superpowers. Now cured of his physical weakness, he decides to hide his newfound abilities, as the art of cultivation is still shrouded in mystery—and the fate of cultivators uncertain. Meanwhile, Tian Luo Di Wang, the international foundation responsible for monitoring the cultivators, sets its plans in motion. Under the impetus of their member Xi Fei, a special cultivation training group is established in Lü Shu's high school. Although Lü Shu is forced to join the program, he is determined to hide the nature of his fearsome power, for his cultivation draws from an unlimited resource: the negative emotions of others brought about by his actions. [Written by MAL Rewrite]","['Sequel (ONA) Da Wang Rao Ming 2', 'Adaptation (Manhua) Da Wang Rao Ming']",Da Wang Rao Ming,Dawang Raoming,,,,,,,
120,スーパー・クルックス,Super Crooks,['ONA'],13,Finished Airing,"Nov 25, 2021",,,"None found,","None found,",['Bones'],Other,"['Action', 'Drama', 'Suspense']","['Adult Cast', 'Super Power']",25 min. per ep.,PG-13 - Teens 13 or older,7.21,#3310,#2304,"94,257",324,41013,"One last heist. That's what they all say, right? Just one final score, and everyone can retire and take up fishing. Thing is, the jails are filled with super villains who thought the same thing, and got busted. But the Heat's in a jam. He's run up the kind of gambling debt that - if he can't pay it back in cash - will be paid in blood. Nobody wants to see the most beloved supercrook of all time rubbed out by the mob - especially his biggest fan, Johnny Bolt. And Johnny's got a plan to help the Heat and make all his buddies disgustingly rich at the same time. Unfortunately for Johnny's recruits, they have to head to Spain and rob the world's most notorious super villain blind. And that's where things get tricky. (Source: Marvel Comics)",[],Super Crooks,,,,,,,,
121,魔道祖师 完结篇,The Master of Diabolism 3,['ONA'],12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",,,['Tencent Penguin Pictures'],"None found,",['B.CMAY PICTURES'],Web novel,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']","['Historical', 'Mythology', 'Reincarnation']",24 min. per ep.,R - 17+ (violence & profanity),8.68,#67,#2420,"86,993","1,672",30891,"Along an empty road in the rural countryside, Wei Wuxian and Lan Wangji stumble across a stone plaque that reads ""Yi City."" Still on their quest to unravel the mystery behind the cursed severed arm, they venture into the deserted city to obtain further leads. However, with the appearance of a mysterious new cultivator, the demonic arm investigation leads Wei Wuxian and Lan Wangji to a plot that threatens the cultivation world as they know it. The gravity of the new situation escalates when the two find it involves the chief cultivator of the renowned Lanling Jin Sect—Jin Guangyao. As the pair continue to piece together the crucial conspiracies of the cultivation history, their friends and colleagues grow suspicious of their motives. With the world against him, Wei Wuxian must prove he is not the demonic sorcerer people believe him to be to regain their trust and save the cultivation world from the sinister evil lurking within it. [Written by MAL Rewrite]","['Prequel (ONA) Mo Dao Zu Shi: Xian Yun Pian', 'Adaptation (Manhua) Mo Dao Zu Shi', 'Adaptation (Novel) Mo Dao Zu Shi', '']",Mo Dao Zu Shi: Wanjie Pian,"Grandmaster of Demonic Cultivation 3, The Founder of Diabolism 3, Mo Dao Zu Shi 3rd Season, Mo Dao Zu Shi Final Arc",,,,,,,
122,スーパードラゴンボールヒーローズ,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",,8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11259,#2568,"79,049",256,30939,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,,,['Martial Arts'],['Shounen'],,,,
123,アグレッシブ烈子第4期,Aggretsuko (ONA) 4th Season,['ONA'],10,Finished Airing,"Dec 16, 2021",,,['Sanrio'],"None found,",['Fanworks'],Other,,"['Anthropomorphic', 'Workplace']",18 min. per ep.,PG-13 - Teens 13 or older,7.28,#2912,#3057,"58,459",75,33327,Fourth season of Aggressive Retsuko.,"['Prequel (ONA) Aggressive Retsuko (ONA) 3rd Season', 'Sequel (ONA) Aggressive Retsuko (ONA) 5th Season']",Aggressive Retsuko (ONA) 4th Season,Aggretsuko 4th Season,['Comedy'],,,Aggretsuko Temporada 4,Aggretsuko Staffel 4,Aggretsuko Saison 4,
124,ホロのぐらふぃてぃ,Holo Graffiti,['ONA'],Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found,","None found,",['Hololive Production'],Other,,,1 min.,PG-13 - Teens 13 or older,8.16,#449,#3098,"56,853","1,893",17907,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps. [Written by MAL Rewrite]",[],Holo no Graffiti,"Horogura, HoloGra",['Comedy'],,,,,,
125,Obey Me!,Obey Me!,['ONA'],12,Finished Airing,"Jul 16, 2021 to Dec 24, 2021",,,"['Sotsu', 'Bouncy', 'Toei Advertising', 'Colored Pencil Animation']",['Funimation'],['Colored Pencil Animation Japan'],Game,"['Comedy', 'Fantasy']",,7 min. per ep.,PG-13 - Teens 13 or older,7.14,#3703,#3428,"47,023",822,15824,"Brothers Lucifer, Mammon, Leviathan, Satan, Asmodeus, Beelzebub, and Belphegor are among the most powerful demons in the Devildom, serving as officers on the student council at the Royal Academy of Diavolo (RAD). However, being avatars of the seven deadly sins, their behaviors often tend toward the extreme. Their everyday antics belie their high status and fearsome reputations among others of their kind. When viewed behind the scenes, the members of this family are more lovable—and laughable—than they first seem! [Written by MAL Rewrite]","['Prequel (Special) Obey Me!: Makai Dai Ryokou!', 'Sequel (ONA) Obey Me! Season 2', 'Adaptation (Manga) Obey Me! The Comic', '']",Obey Me!,,,['Mythology'],,,,,
126,魔王イブロギアに身を捧げよ,Everything for Demon King Evelogia,['ONA'],9,Finished Airing,"Oct 2, 2021 to Nov 27, 2021",,,"['Suiseisha', 'blackflag']",['Ascendent Animation'],['Studio Hokiboshi'],['Manga'],"['Boys Love', 'Fantasy', 'Erotica']",,6 min. per ep.,R+ - Mild Nudity,5.99,N/A,#5127,"20,037",203,4437,"Ever since he laid hands on his favorite game, Toshiaki Gozu has admired its loathsome main villain: the demon king Evelogia, detested by all yet a character accompanied by loneliness his entire life. With his past crimes having caught up to him, Toshiaki is held hostage at gunpoint by a yakuza and is ultimately killed. Following his untimely end, he finds himself in a surprisingly familiar room—a setting of the game where Evelogia exists. Although the revelation delights him, disappointment creeps in as Toshiaki realizes that he is the character who is destined to assassinate the great demon king. However, Toshiaki rejects his role and instead allies himself with Evelogia. Now with someone trustworthy by his side for the first time ever, Evelogia is emotional. But living regular lives proves to be challenging for both of them; Evelogia wields uncontrollable destructive power while Toshiaki grows dangerously obsessed with the antagonist. [Written by MAL Rewrite]","['Adaptation (Manga) Maou Evelogia ni Mi wo Sasage yo', '']",Maou Evelogia ni Mi wo Sasage yo,Reincarnated into Demon King Evelogia's World,,['Isekai'],,,,,
127,しょうたいむ！～歌のお姉さんだってしたい,Show Time!,['ONA'],8,Finished Airing,"Oct 4, 2021 to Nov 22, 2021",,,"['Studio Mausu', 'Suiseisha']",['Ascendent Animation'],['Rabbit Gate'],['Manga'],,,6 min. per ep.,Rx - Hentai,6.78,N/A,#5787,"14,679",104,5697,"The story begins when Shouji Fujimoto, a widowed single father who aspires to be a picture book author, encounters Minami Takasaki, a singing idol on the children's educational show Oneesan to Utaou! (Let's Sing Along With Our Songstress!), outside work. As a television idol for children, Minami is lonely in her private life and is not allowed to fall in love. Any scandals are absolutely prohibited. Thus begins an adult love story with a songstress. (Source: ANN, edited)","['Sequel (ONA) Showtime! Uta no Oneesan datte Shitai 2', '']",Showtime! Uta no Oneesan datte Shitai,,['Hentai'],,,,,,
128,时光照相馆的日常,Link Click: The Daily Life in Lightime,['ONA'],18,Finished Airing,"Oct 10, 2021 to Mar 10, 2023",,,"['bilibili', 'BeDream', 'Studio Goindol']","None found,","['LAN Studio', 'Kung Fu Frog Animation']",Original,,,7 min. per ep.,PG-13 - Teens 13 or older,7.03,#4251,#6475,"11,024",46,3101,Chibi-styled episodes of daily life at the photo studio.,[],Shiguang Zhaoxiangguan de Richang,"Shiguang Dailiren Xiao Juchang, 时光代理人小剧场, Link Click Mini Theater",['Comedy'],['Time Travel'],,,,,
129,萌妻食神之再结良缘,Cinderella Chef: Adorable Food Goddess,['ONA'],12,Finished Airing,"Oct 9, 2021 to Dec 18, 2021",,,"['bilibili', 'Yuewen Animation & Comics']","None found,",['Wawayu Animation'],Web novel,"['Adventure', 'Comedy', 'Drama', 'Gourmet', 'Romance']","['Historical', 'Time Travel']",20 min. per ep.,PG-13 - Teens 13 or older,7.43,#2242,#6897,"9,492",36,3405,"Ye Jiayao is a modern-day celebrity chef who loves traditional Chinese recipes and often experiments with them. However, when a food experiment goes wrong, she travels back in time to the ancient times, where she becomes the daughter of a magistrate with the name Ye Jin Xuan. When she wakes up she is suddenly kidnapped to Hei Fang Camp where she meets the leader of the bandits, Xia Chun Yu, the young master of the Jing An Marquis manor, who is actually an undercover agent for the king. He had infiltrated the Black Wind Fortress bandits to investigate a plot to overthrow the king. The two then get engaged in a fake marriage. Ye Jia Yao starts to win over hearts, including Xia Chun Yu's, with her superb cooking skills and modern street smarts. (Source: Wikipedia)","['Prequel (ONA) Meng Qi Shi Shen', 'Sequel (ONA) Meng Qi Shi Shen: Huanxi Zhui Hun']",Meng Qi Shi Shen: Zaijie Liangyuan,"Meng Qi Shi Shen 2nd Season, Adorable Food Goddess, Cinderella Chef",,,,,,,
130,烈火浇愁,Drowning Sorrows in Raging Fire,['ONA'],12,Finished Airing,"Oct 7, 2021 to Dec 16, 2021",,,['bilibili'],"None found,",['Shengying Animation'],Novel,"['Action', 'Drama', 'Supernatural']",,20 min. per ep.,PG-13 - Teens 13 or older,7.27,#2969,#6938,"9,383",72,2573,"In the current era, a small percentage of people called ""Special Abilities"" have skills and powers normal humans do not possess. An autonomous organization, the Deviant Control Office, keeps these Special Abilities in check. Though some wish to maintain this order and peace, some wish to take advantage of their abilities and obtain more power in this world.",[],Liehuo Jiao Chou,"LHJC, Rekka Gyoushuu",,,,,,,
131,斗破苍穹 三年之约,Fights Break Sphere: Three Year Agreement,['ONA'],13,Finished Airing,"Oct 31, 2021 to Jan 16, 2022",,,['Tencent Penguin Pictures'],"None found,",['Motion Magic'],Novel,"['Action', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,8.58,#106,#7117,"8,820",193,4129,"Three years ago, Na lan Yan Ran dropped her engagement, which made the Xiao family a laughing stock in the eyes of the Empire. Xiao Yan trained for three whole years through mountains and deserts to regain his honor. He will prove by himself that everything in this world can be changed, so do not underestimate the young. Today he will put an end to the history of his past, because the future awaits him!","['Prequel (ONA) Doupo Cangqiong 4th Season', 'Sequel (ONA) Doupo Cangqiong: Nian Fan', 'Adaptation (Manhua) Doupo Cangqiong', 'Adaptation (Novel) Doupo Cangqiong']",Doupo Cangqiong: San Nian Zhi Yue,Battle Through the Heavens: Three Year Agreement,,['Martial Arts'],,,,,
132,POKÉTOON,Pokétoon,['ONA'],8,Finished Airing,"Jun 4, 2020 to Dec 28, 2021",,,"['Nintendo', 'Creatures Inc.']","None found,","['Magic Bus', 'Studio Colorido', 'DandeLion Animation Studio', 'Studio GOONEYS', 'Pancake', 'Mimoid', 'team Yamahitsuji']",Game,"['Adventure', 'Comedy']",,8 min. per ep.,G - All Ages,7.30,#2823,#7481,"7,719",19,3603,"Animations released on Pokémon Kids TV Japan YouTube channel. Episodes: #1: Zuruggu to Mimikkyu - Chase the Beans (ズルッグとミミッキュ), animated by Dandelion Animation Studio, released June 4, 2020. #2: Hero ni Naritai Yanchamu (ヒーローになりたいヤンチャム), animated by Pancakes, released May 5, 2021. #3: Yume no Tsubomi (ユメノツボミ), animated by Studio Colorido, released June 6, 2021. #4: Mattete ne! Koiking (まっててね！コイキング), animated by Studio Colorido, released July 2, 2021. #5: Pokapoka Magumaggu House (ぽかぽかマグマッグハウス), animated by Studio Colorido, released August 5, 2021. #6: Gengar ni Nacchatta!? (ゲンガーになっちゃった！？), animated by Studio Colorido, released September 10, 2021. #7: Fubuki no Natsu Yasumi (ふぶきのなつやすみ), animated by Mimoid, released October 8, 2021. #8: Purin no Uta (プリンのうた), animated by StudioGOONEYS, released December 28, 2021.","['Sequel (ONA) Poketoon (2024)', '']",Poketoon,"Pokétoon, Zuruggu to Mimikkyu - Chase the Beans, Hero ni Naritai Yanchamu, Yume no Tsubomi, Mattete ne! Koiking, Gengar ni Nacchatta!?, Pokapoka Magumaggu House",,,['Kids'],,,,
133,けものっ娘通信 〜The Animation〜,,['ONA'],Unknown,Currently Airing,"Dec 25, 2021 to ?",,,"None found,","None found,","None found,",['Manga'],,,18 min.,Rx - Hentai,6.48,N/A,#7562,"7,520",75,3384,"Episode 1 Hiro Kuroda is a boy who worries about his small body but hates the taste of milk. One day, he inadvertently summons a cowgirl named Bell from another world through a strange application on his smartphone. Bell soon starts to work as a farmer in Hiro's world while building a strong friendship with her summoner. Noticing that her summoner strongly dislikes milk despite his desire to grow taller, Bell offers him a kind that she knows he will love and help him grow. Episode 2 Single and middle-aged Toru Negishi registers for a sexual pet website that is said to give its users a free beast girl. Asking for a catgirl while signing up, Negishi is surprised when his request is immediately accepted. Suddenly, a magic circle appears in his living room, summoning a catgirl in heat called Nia. Unluckily for her, she arrives from another world having just masturbated and, therefore, naked. Nia is initially displeased with what happened, but after living with Negishi for some time, she starts to feel sexually attracted toward him. [Written by MAL Rewrite]","['Adaptation (Manga) Kemonokko Tsuushin: Risou no Kemomusume, Anata ni Otodoke♥', '']",Kemonokko Tsuushin: The Animation,,['Hentai'],['Anthropomorphic'],,,,,
134,吞噬星空 第二季,Swallowed Star 2nd Season,['ONA'],26,Finished Airing,"Dec 29, 2021 to Sep 7, 2022",,,"['Tencent Animation & Comics', 'Tencent Penguin Pictures']","None found,",['Sparkly Key Animation Studio'],Novel,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,21 min. per ep.,PG-13 - Teens 13 or older,8.30,#276,#7779,"7,008",135,2575,Second season of Tunshi Xingkong.,"['Prequel (ONA) Tunshi Xingkong', 'Sequel (ONA) Tunshi Xingkong 3rd Season', 'Adaptation (Manhua) Tunshi Xingkong', '']",Tunshi Xingkong 2nd Season,吞噬星空 壮志凌云,,['Martial Arts'],,,,,
135,BanG Dream! ガルパ☆ピコ ふぃーばー！,,['ONA'],26,Finished Airing,"Oct 7, 2021 to Mar 31, 2022",,,"None found,","None found,","['SANZIGEN', 'W-Toon Studio', 'DMM.futureworks']",Mixed media,,,3 min. per ep.,PG-13 - Teens 13 or older,7.71,#1257,#7814,"6,950",32,3440,The third season of the mini series starring the girls of BanG Dream!,"['Prequel (ONA) BanG Dream! Garupa☆Pico: Oomori', '']",BanG Dream! Garupa☆Pico Fever!,,['Comedy'],['Music'],,,,,
136,ブライト: サムライソウル,Bright: Samurai Soul,['ONA'],1,Finished Airing,"Oct 12, 2021",,,"None found,","None found,",['ARECT'],Original,"['Action', 'Adventure', 'Fantasy']",,1 hr. 19 min.,R - 17+ (violence & profanity),5.39,#12449,#8461,"5,755",5,2135,"In the early years of Japan's Meiji Restoration, a human ronin must unite with an orc assassin to save an elf orphan from their common adversary. (Source: Netflix)",[],Bright: Samurai Soul,,,,,,,,
137,ガンダムブレイカー バトローグ,,['ONA'],6,Finished Airing,"Oct 19, 2021 to Nov 23, 2021",,,"None found,","None found,",['Sunrise'],Original,,,8 min. per ep.,PG-13 - Teens 13 or older,6.15,#9106,#8895,"5,049",5,1994,"After intense fighting, the Gunpla Battle U.S. Championship enters its final round. Here, the figure of a certain fighter appears. A few months later Misa Satsukino, building a new Gunpla in the Ayato Shopping Street, seems to be in a worse mood than usual. As an outlet for her unfocused anger, she sets her completed Gunpla in a simulator and enters battle, but the Gunpla is suddenly restrained. On the eve of the huge GB Festa event, the fates of the Gunpla Fighters are at a critical juncture. (Source: Gundam.info)",[],Gundam Breaker: Battlogue,,['Action'],['Mecha'],,,,,
138,妖神记第五季,Tales of Demons and Gods Season 5,['ONA'],52,Finished Airing,"Oct 30, 2021 to Apr 20, 2022",,,"['bilibili', 'Tencent Penguin Pictures']","None found,",['Ruo Hong Culture'],Novel,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Martial Arts', 'Mythology']",7 min. per ep.,PG-13 - Teens 13 or older,7.52,#1876,#9098,"4,718",26,1618,Fifth season of Yao Shen Ji.,"['Prequel (ONA) Yao Shen Ji 4th Season', 'Sequel (ONA) Yao Shen Ji 6th Season']",Yao Shen Ji 5th Season,"Yao Shen ji 5th Season, Tales of Demons and Gods 5th Season",,,,,,,
139,斗神姬,Ancient Girls Frame,['ONA'],12,Finished Airing,"Oct 11, 2021 to Dec 20, 2021",,,"['bilibili', 'Youku']","None found,","['Seven Stone Entertainment', 'TrioPen Studio']",Original,"['Action', 'Sci-Fi']","['Mecha', 'Space']",24 min. per ep.,PG-13 - Teens 13 or older,5.82,#10813,#9620,"3,978",6,969,"At the end of the 21st century, the discovery of a new energy source called ""DG energy"" (short for ""divine grace energy"") has revolutionized Earth's economy and allowed humanity to colonize space. However, when the initial expedition reaches Pluto, they are attacked by a mysterious, giant life-form known as ""Nergal."" The Earth Alliance Army fights back by creating an ""AG Unit"" using ancient robot weapons known as the ""G's Frame"" which were excavated from archaeological sites all around the world. Girls with special qualities known as ""Ancient Girls"" can pilot these robots against the Nergal. However, the first AG Unit suffers heavy casualties in the Jupiter Trojan campaign, and the pilot of Unit 04, Minamiya Reiu, goes missing-in-action... Years later, Minamiya Reika, the younger sister of Reiu, enlists with the AG Unit to search for her sister and to protect the Earth from the Nergal. A story of friendship, ancient robot weapons, and battles to the death with the Nergal ensues. (Source: Crunchyroll News)",[],Dou Shen Ji,"Toushinki G's Frame, 闘神機ジーズフレーム",,,,,,,
140,The Missing 8,,['ONA'],8,Finished Airing,"Dec 28, 2021 to Nov 8, 2022",,,['Half H.P Studio'],"None found,",['Wit Studio'],Original,,,14 min. per ep.,PG-13 - Teens 13 or older,6.48,#7234,#9597,"4,008",7,677,"A devastated world ── Androids and robots live there. ""Poppy"" is an android that looks like a human. Android ""Punkun"" who is not interested in humans. One night, a star fell in front of them looking up at the sky... (Source: Official YouTube channel)",[],The Missing 8,,['Sci-Fi'],,,,,,
141,凡人修仙传,A Record of a Mortal's Journey to Immortality Season 2,['ONA'],51,Finished Airing,"Nov 14, 2021 to Oct 15, 2022",,,['bilibili'],"None found,","['Original Force', 'Wonder Cat Animation']",Novel,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",19 min. per ep.,PG-13 - Teens 13 or older,7.91,#802,#9894,"3,657",34,1522,Second season of Fanren Xiu Xian Chuan.,"['Prequel (ONA) Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan', 'Sequel (ONA) Fanren Xiu Xian Chuan: Xinghai Feichi Pian Xuzhang', 'Adaptation (Manhua) Fanren Xiu Xian Chuan', '']",Fanren Xiu Xian Chuan 2nd Season,,,,,,,,
142,冰火魔厨,The Magic Chef of Ice and Fire,['ONA'],52,Finished Airing,"Dec 11, 2021 to Nov 26, 2022",,,"['Youku', 'Xuanshi Tangmen']","None found,",['Joicy Studio'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,18 min. per ep.,PG-13 - Teens 13 or older,7.21,#3326,#10019,"3,497",22,1046,"Nian Bing is the son of a fire mage and an ice mage. After both of his parents were killed by the Ice Lord, Nian Bing received both of his parents' magic gems. When Nian Bing was trying to escape from the Ice Lord's followers, he managed to cast both fire and ice magic at the same time. An impossible feat for a mage. He fell from the cliff, unconscious, and was saved by an oldman. After he woke up, the oldman gave him a food so delicious he never tasted before. It turned out that the oldman was a genius chef, once called a spirit chef. And he wants Nian Bing to be his disciple no matter what! Is Nian Bing able to seek vengeance while aiming to become the greatest chef? (Source: MU)","['Sequel (ONA) Binghuo Mochu 2', 'Adaptation (Manhua) Binghuo Mochu']",Binghuo Mochu,Bing Huo Mo Chu,,,,,,,
143,よしまほ,Yoshi Yoshi Magic,['ONA'],15,Finished Airing,"Jul 1, 2021 to Jan 13, 2022",,,"None found,","None found,",['DLE'],Mixed media,"['Fantasy', 'Slice of Life']","['Childcare', 'Isekai']",1 min. per ep.,PG-13 - Teens 13 or older,5.22,#12877,#10098,"3,417",17,402,"Exhausted by your daily life, you were seeking a way to heal. You wanted to be kindly praised and comforted. ""Toddlers can be legally fawned over, they're so lucky..."" Such thoughts were an escape from reality. One day, you bought a blue pacifier from a general store. When you popped it into your mouth, you were engulfed by a mysterious light. Before you knew it, you were reincarnated in another world as a five-year-old child! (Source: MAL News)",[],Yoshimaho,,,,,,,,
144,真武巅峰,The Peak of True Martial Arts,['ONA'],40,Finished Airing,"Dec 24, 2021 to May 2, 2022",,,['Youku'],"None found,",['Ruo Hong Culture'],Original,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",10 min. per ep.,PG-13 - Teens 13 or older,7.06,#4115,#10578,"2,954",21,866,"Nie Feng has a body of true yang, but he came from an ordinary background, has a rough fate, was repeatedly oppressed and calculated, and finally embarked on the road of confronting the eight major sects alone. Unexpectedly, Nie Feng did not die because of this, but was reborn back to his boyhood at the age of seventeen. In this life, although he was from an ordinary background, he possessed peerless martial arts and rose rapidly in the martial arts. The regrets of the previous life will be made up. All enemies will be buried. (Source: baike.baidu)","['Sequel (ONA) Zhen Wu Dianfeng 2nd Season', '']",Zhen Wu Dianfeng,,,,,,,,
145,まっさら,,['ONA'],1,Finished Airing,"Nov 30, 2021",,,['FIREBUG'],"None found,",['Enishiya'],Music,,,6 min.,G - All Ages,6.88,#4921,#10948,"2,654",9,1367,"Massara is an original short inspired from the song of the same name by Kiyoe Yoshioka (of Ikimono-gakari). The song is Yoshioka's first solo single. The short is directed by Keita Nagahara, and animated by the studio Enishiya Inc. The anime's story centers on a singer-songwriter, Nazuna, who is about to stop chasing her dream, and a very shy girl, Yuna. They meet and influence each other to create their own future. (Source: Crunchyroll)",[],Massara,,['Slice of Life'],['Music'],,,,,
146,雪鹰领主 第三季,,['ONA'],26,Finished Airing,"Dec 27, 2021 to Jun 13, 2022",,,['Tencent Penguin Pictures'],"None found,",['Mili Pictures'],Web novel,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Martial Arts']",18 min. per ep.,PG-13 - Teens 13 or older,7.27,#2996,#11213,"2,448",23,838,The third season of Xue Ying Ling Zhu.,"['Prequel (ONA) Xue Ying Ling Zhu 2nd Season', '']",Xue Ying Ling Zhu 3rd Season,"Lord Xue Ying, Snow Eagle Lord",,,,,,,
147,紫川,Purple River,['ONA'],42,Finished Airing,"Dec 21, 2021 to Sep 20, 2022",,,['Tencent Penguin Pictures'],"None found,",['BUILD DREAM'],Novel,"['Action', 'Fantasy']",,20 min. per ep.,PG-13 - Teens 13 or older,7.12,#3819,#11236,"2,432",20,607,"Two hundred years ago, on the Battlefield of the Blue River, the last remaining army of the Empire of Light collapsed in the midst of demonic outcries. As the last Field Marshal and Emperor fell, the chaotic world of the Western River no longer had a common ruler. Factions were formed and endless conflicts ensued, military might became the only currency of survival, and the dream to reunite the lands became the sole goal of many rulers in the generations that came after. In the south-eastern part of the land, a powerful faction with over two hundred years of history – House Zichuan – fought off the Demons to the east, defended against the House Liufeng to the west, and contained the House Lin to the south. In order to accomplish their great ambitions and extend the bloodline of their family, countless heroes of Zichuan gave their lives in order to make this magnificent hymn come to life. This is a story about this legendary family and a hundred years of their blood and tears. (Source: AniList)",[],Zi Chuan,"Zi Chuan, Zichuan",,['Military'],,,,,
