,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Themes,Demographics
10,HxH,HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,,Hunter X Hunter: Cazadores de Tesoros,,['TV'],62,Finished Airing,"Oct 16, 1999 to Mar 31, 2001",['Fall 1999'],Saturdays at 18:00 (JST),['Fuji TV'],['VIZ Media'],['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.42,#183,#375,"616,841","11,537",300255,"Hunters are specialized in a wide variety of fields, ranging from treasure hunting to cooking. They have access to otherwise unavailable funds and information that allow them to pursue their dreams and interests. However, being a hunter is a special privilege, only attained by taking a deadly exam with an extremely low success rate. Gon Freecss, a 12-year-old boy with the hope of finding his missing father, sets out on a quest to take the Hunter Exam. Along the way, he picks up three companions who also aim to take the dangerous test: the revenge-seeking Kurapika, aspiring doctor Leorio Paladiknight, and a mischievous child the same age as Gon, Killua Zoldyck. As the four aspiring hunters embark on a perilous adventure, they fight for their dreams while defying the odds. [Written by MAL Rewrite]","['Sequel (OVA) Hunter x Hunter: Original Video Animation', 'Adaptation (Manga) Hunter x Hunter']",Hunter x Hunter,,,
11,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,,,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Strategy Game'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1977,#603,"412,205","5,011",259909,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,,,
12,Detective Conan,名探偵コナン,Case Closed,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#705,"360,897","15,328",164370,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,,
13,,ラブひな,Love Hina,,,,['TV'],24,Finished Airing,"Apr 19, 2000 to Sep 27, 2000",['Spring 2000'],Wednesdays at 22:28 (JST),"['TV Tokyo', 'Yomiko Advertising']","['Funimation', 'Bandai Entertainment']",['Xebec'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",['Harem'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.09,#3927,#944,"274,035","1,498",138371,"Keitaro Urashima promised a girl when he was young that they would meet up again at Tokyo University in the future. Sadly, in the National Practice Exam, Keitaro ranked 27th from the bottom. Knowing his grandmother owned a hotel, Keitaro intended to stay there while continuing his studies for Tokyo U, only to find out the hotel had long been transformed into an all-girls dormitory. Through an odd twist of fate, Keitaro eventually became the manager of the dorm, beginning his life of living with five other girls.","['Sequel (OVA) Love Hina Again', 'Adaptation (Manga) Love Hina Read Manga']",Love Hina,,,
14,"Digimon Adventure Zero Two, Digimon: Digital Monsters 02",デジモンアドベンチャー０２,Digimon Adventure 02,,,,['TV'],50,Finished Airing,"Apr 2, 2000 to Mar 25, 2001",['Spring 2000'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['Discotek Media', 'Saban Entertainment', 'Flatiron Film Company']",['Toei Animation'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],['Kids'],25 min. per ep.,PG - Children,7.24,#3167,#1145,"227,507",779,146393,"Taichi Yagami and his friends have moved on to junior high, but by that time, they have lost contact with their Digimon partners. Taichi is therefore surprised to suddenly receive a distress call summoning him to the Digital World. Once there, he learns that Digimon are living in fear of the mysterious Digimon Emperor, who is somehow suppressing their ability to Digivolve! In the real world, Hikari Yagami and Takeru Takaishi reunite in the same fifth grade class. They share three schoolmates: Daisuke Motomiya, who reminds them both of Taichi; Miyako Inoue, a technical wizard; and Iori Hida, Miyako's neighbor. When these three children receive ""D-3"" Digivices, they—along with Hikari and Takeru, who still possess their own original Digivices—comprise the new generation of ""Chosen Children"" who must save the world once again. With the power of the Armored Digi-Eggs, they must thwart the Digimon Emperor's plans to spread his influence over the entire Digital World. [Written by MAL Rewrite]","['Prequel (Movie) Digimon Adventure: Bokura no War Game!', 'Sequel (Movie) Digimon Adventure 02: Diablomon no Gyakushuu', 'Adaptation (Manhua) Digimon Zero Two', '']",Digimon Adventure 02,,,
15,"Big O Roger, Big O",THEビッグオー,The Big O,,,,['TV'],26,Finished Airing,"Oct 13, 1999 to Mar 27, 2003",['Fall 1999'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Mystery', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1863,#2202,"101,850","1,013",39647,"Paradigm City, a city of amnesia and a place of belonging. It remains populated by forgotten pasts and the ruins of their labors due to a calamity 40 years ago. Shrouded in a fog-like mystery, it is up to people like Roger Smith to shine a light through the mist. Acting as a professional negotiator and suave agent, Roger is a self-tailored ladies man whose only love is for funeral black. However, as he gets deeply involved with his clients, what often starts as a simple negotiation evolves into Roger saving Paradigm from crime and peril. In the process, Roger stumbles even deeper into the untold folds of the city. As a rule, things are hardly ever as they appear. Serving as gray knight in a gray world, Roger is not without allies. By his side are Norman, a loyal and widely skilled butler, and Dorothy, a human-like android with deadpan snark. Together with the relic Big O, a jet-black mecha of gargantuan size and weight, they help Roger serve iron justice to Paradigm's lurking villains as he discovers the truth about 40 years ago. [Written by MAL Rewrite]","['Adaptation (Manga) The Big O', '']",The Big O,,"['Adult Cast', 'Mecha', 'Psychological']",
16,,クレヨンしんちゃん,Shin Chan,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,095","1,330",42202,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,
17,,ドラえもん,Doraemon,,Doraemon,,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Anthropomorphic'],,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,"['Kids', 'Shounen']"
18,,妖しのセレス,"Ceres, Celestial Legend","Ceres, Celestial Legend",Ceres: La Leyenda Celestial,,['TV'],24,Finished Airing,"Apr 20, 2000 to Sep 28, 2000",['Spring 2000'],Thursdays at 18:30 (JST),"['Bandai Visual', 'Shogakukan']","['VIZ Media', 'Discotek Media']",['Pierrot'],['Manga'],"['Adventure', 'Drama', 'Horror', 'Romance', 'Supernatural']",,['Shoujo'],21 min. per ep.,R - 17+ (violence & profanity),7.17,#3507,#2907,"64,425",489,28170,"Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed. Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an amount of tennyo blood. On her 16th birthday, she and her twin brother, Aki, are thrown a party. At the ""party,"" Aya's grandpa plans to kill her, for she has tennyo powers unlike the rest of the family, and can actually become Ceres herself and destroy the Mikage family. Aya, however, can switch back, so this transformation happens quite frequently. With protector Yuuhi by her side, it is up to Aya to control Ceres and keep her from coming back, but her relationship with an ex-worker for her evil grandpa may be a distraction.","['Adaptation (Manga) Ayashi no Ceres', '']",Ayashi no Ceres,,"['Psychological', 'Reincarnation']",
19,Gensou Maden Saiyuki,幻想魔伝 最遊記,Saiyuki,Saiyuki,Saiyuki,,['TV'],50,Finished Airing,"Apr 4, 2000 to Mar 27, 2001",['Spring 2000'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu', 'Group TAC']",['ADV Films'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy']",['Mythology'],['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.54,#1822,#3085,"57,356",799,21888,"Many years ago, humans and demons lived in harmony. But that unity ended when demons started attacking humans and plotted a mission to unleash Gyumao—an evil demon imprisoned for thousands of years. Now, Genjo Sanzo, a rogue priest, must team up with three demons—Sha Gojyo, Son Goku, and Cho Hakkai—and embark on a perilous journey to the west to stop these demons from resurrecting Gyumao and restore the balance between humans and demons on Earth. (Source: ANN)","['Prequel (OVA) Saiyuuki Reload: Burial', 'Sequel (TV) Saiyuuki Reload', 'Adaptation (Manga) Saiyuuki Read Manga', '']",Gensoumaden Saiyuuki,,,
20,"Zoids Classic, Zoids: Chaotic Century, Zoids: Guardian Forces",ゾイド,Zoids,,,,['TV'],67,Finished Airing,"Sep 4, 1999 to Dec 23, 2000",['Fall 1999'],Saturdays at 18:00 (JST),['Shogakukan Productions'],['VIZ Media'],['Xebec'],Other,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],,25 min. per ep.,PG-13 - Teens 13 or older,7.37,#2484,#3240,"52,091",289,26864,"In a remote desert on the Planet Zi, a boy named Van discovers an abandoned, dilapidated facility. Inside, he finds an opaque cocoon that breaks on its own, and a dinosaur-like robot known as an ""Organoid"" emerges from the shell. Van names the creature Zeke and claims it for himself, but a group of bandits come after him to seize the Organoid. The bandits are equipped with ""Zoids,"" beast-like mechanical units that are used for combat. Van is able to fend off his pursuers by reviving and fusing with an old Zoid dubbed the ""Shield Liger."" Van returns to the facility with Zeke in tow and finds a new cocoon. He is ecstatic that he may have obtained another Organoid, but when the cocoon breaks, a girl emerges from it instead. Unaware of her origins, the girl only remembers that her name is Fiona and that she has to locate an object called the ""Zoid Eve."" Determined to solve the mystery behind her existence, Fiona ventures out alongside Van and Zeke to uncover what the Zoid Eve truly is. The trio runs across many friends and foes in their adventure, encountering various dangers and experiencing slices of light-heartedness as they travel. [Written by MAL Rewrite]","['Adaptation (Manga) Kijuushin Seiki Zoids', '']",Zoids,,,
21,"Les Enquetes de Kindaichi, Young Kindaichi's Casebook, Kindaichi Case Files",金田一少年の事件簿,The File of Young Kindaichi,,,,['TV'],148,Finished Airing,"Apr 7, 1997 to Sep 11, 2000",['Spring 1997'],Mondays at 19:00 (JST),"['Dentsu', 'Yomiuri Telecasting']","None found,",['Toei Animation'],['Manga'],,,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.94,#751,#4118,"33,304",265,8401,"Hajime Kindaichi's unorganized appearance and lax nature may give the impression of an average high school student, but a book should never be judged by its cover. Hajime is the grandson of the man who was once Japan's greatest detective, and he is also a remarkable sleuth himself. With the help of his best friend, Miyuki Nanase, and the peculiar inspector Isamu Kenmochi, Hajime travels to remote islands, ominous towns, abysmal seas, and other hostile environments. His life's mission is to uncover the truth behind some of the most cunning, grueling, and disturbing mysteries the world has ever faced. [Written by MAL Rewrite]","['Sequel (TV) Kindaichi Shounen no Jikenbo Returns', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: File Series', 'Adaptation (Light Novel) Kindaichi Shounen no Jikenbo', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Short File Series']",Kindaichi Shounen no Jikenbo,['Mystery'],,
22,Sakura Taisen TV,サクラ大戦,Sakura Wars TV,Sakura Wars,Sakura Wars,Sakura Wars,['TV'],25,Finished Airing,"Apr 8, 2000 to Sep 23, 2000",['Spring 2000'],Saturdays at 17:30 (JST),"['Mainichi Broadcasting System', 'TBS', 'Sega', 'Avex Pictures', 'Imagine']","['ADV Films', 'Sentai Filmworks']",['Madhouse'],Game,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.84,#5149,#4405,"28,696",63,8816,"It is the 1920s, and Japan is under attack by demonic invaders. The government has designed sturdy, albeit steam-powered, robot armor suits for the impending battle, but only young ladies with the proper combination of virtue and spirit can pilot the robots successfully. Enter young Sakura, arriving in the Imperial Capital from the countryside to join the Imperial Flower Combat Troop. She has the qualifications to be a fine robot pilot, but she's surprised to learn that this secret Defense Force has a cover story as a musical theatre troupe-and they take their cover jobs very seriously indeed. It's costumes, line readings and robot combat galore, as Sakura struggles to learn the ropes, learn her lines, and do her part to save the nation! (Source: ADV Films)","['Sequel (OVA) Sakura Taisen: Gouka Kenran', 'Sequel (TV) Shin Sakura Taisen the Animation', 'Adaptation (Manga) Sakura Taisen', '']",Sakura Taisen,,"['Mecha', 'Performing Arts']",
23,"Da!Da!Da!, UFO Baby",だぁ! だぁ! だぁ!,,,,,['TV'],78,Finished Airing,"Mar 28, 2000 to Feb 26, 2002",['Spring 2000'],Tuesdays at 18:00 (JST),"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Sci-Fi']",['Childcare'],['Shoujo'],25 min. per ep.,G - All Ages,7.63,#1483,#4553,"26,883",253,12282,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. (Source: ANN)","['Adaptation (Manga) Daa! Daa! Daa!', '']",Daa! Daa! Daa!,,,
