,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Theme,Demographic,Genre,Demographics
10,,パタパタ飛行船の冒険,Secret of Cerulean Sand,['TV'],26,Finished Airing,"Jan 5, 2002 to Jun 29, 2002",['Winter 2002'],Unknown,['TMS Entertainment'],"None found,",['Telecom Animation Film'],Novel,"['Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1856,#6963,"9,350",85,2856,"Jane's mother dies when she is born, and her father, a rich English aristocrat, soon remarries to a woman with a son, William, who despises his new father and brother. George and Jane grow up with a dream to make a flying machine. George believes the distant Asian sands hold a secret: a mysterious cerulean sand which can make machines fly. He goes on an expedition to find it, and soon is reported executed for treason. William disappears too. After she recieves an unsigned letter holding a handful of pale-blue sand which floats in the air, Jane is sure her brother is alive and leaves to the East to find him and prove him innocent. There are many mysteries to unravel in store for Jane and her new friends on her journey. But perhaps a mystery should forever remain a mystery... (Source: ANN)",[],Patapata Hikousen no Bouken,,,,,,,
11,"Nana 7 of 7, Nana Seven of Seven",七人のナナ,,['TV'],25,Finished Airing,"Jan 10, 2002 to Jun 27, 2002",['Winter 2002'],Thursdays at 18:00 (JST),"['TV Tokyo', 'HAL Film Maker', 'Genco', 'Asatsu DK', 'd-rights', 'AT-X']","['Media Blasters', 'NYAV Post']",['A.C.G.T.'],Original,"['Adventure', 'Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.72,#5788,#7336,"8,226",23,2236,"On the last Valentine's Day before her high school entrance exams, Nana Suzuki tries to build up the courage to confess to her longtime crush. However, when her chocolates are accidentally ruined, she rushes back to her house to make more—not realizing that the microwave has been turned into a strange invention by her grandfather. Suddenly, six additional copies of Nana appear, each possessing their own extreme personality and a crystal that grants them magic powers! With her plans ruined, Nana vows to confess to her crush in her first year of high school. The only problem is that her crush is top student Yuuichi Kamichika, and following him to his elite high school will mean that she has to hit the books. With six new allies to help her, Nana begins to prepare for anything that the exam season might throw at her. [Written by MAL Rewrite]","['Adaptation (Manga) Shichinin no Nana', '']",Shichinin no Nana,,,,['School'],,,
12,"Di Gi Charat Panyo Panyo, DiGi Charat Panyo Panyo",ぱにょぱにょ　デ・ジ・キャラット,,['TV'],48,Finished Airing,"Jan 6, 2002 to Apr 3, 2003",['Winter 2002'],Unknown,['Broccoli'],"None found,",['Madhouse'],Unknown,,,8 min. per ep.,G - All Ages,6.64,#6230,#8020,"6,548",14,2488,"Deijiko is the princess of the planet of Di Gi Charat. After reading a book, she is influenced to want to help everyone be happy. She leaves the castle and pretends to be a normal girl. She tries to make everyone happy by taking various jobs around the town and thereby making all sorts of new friends and inevitably, enemies. (Source: ANN)","['Sequel (TV) Di Gi Charat', '']",Panyo Panyo Di Gi Charat,,,,,,['Comedy'],
13,"Bistro Recipe, Bistro Recipe - Fighting Chef Zen, Legend of Grapple Cooking Bistro Recipe",格闘料理伝説ビストロレシピ,Fighting Foodons,['TV'],26,Finished Airing,"Dec 11, 2001 to Jun 25, 2002",['Winter 2002'],Unknown,['Kodansha'],"['4Kids Entertainment', 'Enoki Films', 'Discotek Media']",['Group TAC'],Game,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,25 min. per ep.,G - All Ages,6.01,#9844,#8509,"5,716",12,2520,"An 11-year old boy named Zen bands together with his younger sister, Karen, and a young boy who has a large appetite, Pitan, to battle an evil empire by using their ""Foodons""; strange monsters that are created from various foods. (Source: ANN)",[],Kakutou Ryouri Densetsu Bistro Recipe,,,,['Strategy Game'],['Shounen'],,
14,"Genma Taisen, Genma Wars: Eve of Mythology, Ghenma Wars, Great War of the Demon of Illusions: The Chapter of the Previous Night of the Myth",幻魔大戦－神話前夜の章,Genma Wars,['TV'],13,Finished Airing,"Feb 2, 2002 to May 11, 2002",['Winter 2002'],Unknown,['Groove Corporation'],['Media Blasters'],['E&G Films'],['Manga'],"['Adventure', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural']",,25 min. per ep.,PG-13 - Teens 13 or older,4.95,#13271,#10996,"2,628",1,1054,"In the distant future, monsters and inhumans roam the land, and the ruling Evil King seeks a human woman to bear him powerful, force-adept heirs. Non offers herself to the Evil King in order to save her village from Ape Clan raiders, and gives him twin sons, Loof and Jin. She and her sons are exiled by the ungrateful villagers, however, and Non's companion Nue (a Demon Clan member changed into a wolf for disobedience) takes Loof to be raised by his father, the Evil King. The Evil One's Queen Parome despises humans, however, and her malevolence towards Loof deepens... (Source: AnimeNfo)","['Adaptation (Manga) Genma Taisen: Shinwa Zenya no Shou', '']",Genma Taisen: Shinwa Zenya no Shou,,,,,['Shounen'],,
15,Akubi-chan,よばれてとびでて！アクビちゃん,,['TV'],26,Finished Airing,"Dec 11, 2001 to Mar 26, 2002",['Winter 2002'],Unknown,"None found,","None found,",['Tatsunoko Production'],Original,"['Comedy', 'Fantasy']",,20 min. per ep.,G - All Ages,5.74,#11196,#13677,"1,176",0,351,"Koron Nemuta is a girl who yawns when embrassed. One day, she found a vase when she was lost. When she yawns, the genie Akubi will come out of it, but, when she yawns again, Akubi will come back into the vase. (Source: ANN)",[],Yobarete Tobidete Akubi-chan,,,,,['Kids'],,
16,,キックオフ２００２,Kick Off (2002),['TV'],26,Finished Airing,"Feb 18, 2002 to Sep 2, 2002",['Winter 2002'],Mondays at 18:02 (JST),"['Half H.P Studio', 'KBS']","None found,","None found,",Game,,,23 min. per ep.,PG - Children,[],#19415,#15721,669,0,,"A soccer animation produced for the 2002 FIFA World Cup co-hosted by Korea and Japan. The main characters are two young men, a Japanese playmaker and a Korean striker. Friendship with teammates, their growth as soccer players, etc. are drawn. (Source: Wikipedia)",[],Kick Off 2002,,,,['Team Sports'],,['Sports'],
17,Turtle Hero,해로와 토레미,Hero & Amy,['TV'],26,Finished Airing,"Jan 18, 2002 to Aug 20, 2002",['Winter 2002'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,[],#18353,#23417,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Haerowa Toremi,,,,,['Kids'],,
18,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,554","234,836",1420228,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,,['Shounen'],,
19,Inu Yasha,犬夜叉,InuYasha,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,189","19,337",402566,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,,Inuyasha,,,['Shounen'],,
20,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",ポケットモンスター,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,7.40,#2383,#349,"654,011","5,565",411328,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,Pokémon,Pokémon,Pokémon,,['Kids'],,
21,"The First Step, Hajime no Ippo: The Fighting",はじめの一歩 THE FIGHTING!,Fighting Spirit,['TV'],75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",['Fall 2000'],Tuesdays at 00:50 (JST),['VAP'],"['Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,8.78,#37,#360,"638,177","23,543",315370,"In his father's absence, teenager Ippo Makunouchi works hard to help his mother run her fishing boat rental business. Ippo's timid nature, his lack of sleep, and the sea smell make him an easy target for relentless bullies who leave him bruised and beaten on a daily basis. Mamoru Takamura, an up-and-coming boxer, rescues Ippo from a violent after-school incident and takes him back to the Kamogawa Boxing Gym for recovery. Takamura and his fellow boxers, Masaru Aoki and Tatsuya Kimura, are stunned by Ippo's powerful punches—a result of strong muscles developed through years serving his physically taxing family business. Following brief training under Takamura, Ippo impresses the other boxers in a practice match against prodigy Ichirou Miyata. He gains a rival in Miyata and a coach in Genji Kamogawa, the gym owner and a former boxer himself. As Ippo takes the first steps in his official boxing career, he faces off against a series of challenging opponents, each more powerful than the last. Victory, loss, and a cycle of dedicated training await Ippo on his journey to achieve greatness. With his tough body and unstoppable fighting spirit, the kind young man seeks to take on the world. [Written by MAL Rewrite]","['Sequel (TV Special) Hajime no Ippo: Champion Road', 'Adaptation (Manga) Hajime no Ippo']",Hajime no Ippo,,Hajime no Ippo: Espíritu de Lucha,IPPO Le Challenger,['Combat Sports'],['Shounen'],['Sports'],
22,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1978,#603,"412,191","5,011",259903,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,,,Yu-Gi-Oh!,['Strategy Game'],['Shounen'],,
23,,シャーマンキング,Shaman King,['TV'],64,Finished Airing,"Jul 4, 2001 to Sep 25, 2002",['Summer 2001'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music']","['4Kids Entertainment', 'Discotek Media']",['Xebec'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.73,#1204,#673,"375,025","3,721",199513,"A battle is about to begin in Tokyo: the Shaman Fight, a tournament held every five hundred years where shaman—those who can command spirits—confront each other in combat. The victor of this contest becomes the Shaman King and the only one who is able to contact and control the Great Spirit, allowing them to reshape the world as they please through its immense power. During a late night walk, Manta Oyamada runs into his classmate, the carefree You Asakura, who invites him to come stargazing with some friends, who, to Manta's horror, turn out to be ghosts from a local cemetery! However, the knowledge that Manta possesses—a rare sixth sense that allows Manta to see these spirits—endears the boy to You. So when You finds out that his new comrade has been beaten up by a local gang, he decides to avenge him with the help of Amidamaru, a samurai ghost whose tomb was broken by the gang leader. Soon Manta uncovers more about the world of spirits, including the Shaman Fight, in which his new friend You aims to claim victory. [Written by MAL Rewrite]","['Adaptation (Manga) Shaman King Read Manga', '']",Shaman King,,,,,['Shounen'],,
