,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Themes,Demographics
10,B[ボンバーマン]ビーダマン爆外伝V[ビクトリー],,['TV'],50,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",['Winter 1999'],Sundays at 07:00 (JST),['Nagoya Broadcasting Network'],"None found,",['Madhouse'],Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7250,#11072,"2,573",0,1148,"The sequel to B.B-DAMAN BAKUGAIDEN starts when SHIRO BOM and AO BOM are members of the B-da cops who protect the peace of B-da Union. One day, they see a space ship being chased by space pirate and they crash into the wilderness. Princess (AKA BOM) whose kingdom has been attached was lying beside a shining gem with mysterious power called ""Crysmond"". The enemy is after this gem! Joined by KIIRO BOM and KURO BOM, B-daman’s adventure to protect the Crysmond from the Devil Veders starts… (Source: d-rights)","['Prequel (TV) Bomberman B-Daman Bakugaiden', '']",Bomberman B-Daman Bakugaiden Victory,"Bomberman Bedaman Bakuretsu Gaiden V, Bomber Man & Bidaman Bakugaiden V, B Bidaman Bakugaiden V, B-Daman Bakugaiden Victory",,,,['Sci-Fi'],,
11,爆球連発!!スーパービーダマン,,['TV'],18,Finished Airing,"Jan 4, 1999 to Sep 27, 1999",['Winter 1999'],Unknown,"['TV Tokyo', 'Shogakukan Productions']","None found,",['Xebec'],['Manga'],,['Strategy Game'],['Kids'],40 min. per ep.,G - All Ages,6.22,#8731,#12132,"1,877",7,864,"Tamago Tosaka is a fifth-grader who loves nothing more than a B-Daman battle. One day, Ganma Nishibe, a talented bead-warrior, is transferred to Tamago's school. Their B-Daman battles set the stage for this story. Beginning as rivals, the two come together to prepare for the B-Daman championships. The two boys come to trust and help one another as they work toward their shared goal. (Source: d-rights)","['Adaptation (Manga) Bakukyuu Renpatsu!! Super B-Daman', '']",Bakukyuu Renpatsu!! Super B-Daman,"Bakukyu Renpatsu!! Super Bedaman, Bakukyuu Renpatsu!! Super B-Daman, Blast Ball Rapid Fire!! Super B-Daman",,,,['Adventure'],,
12,日本一の男の魂,,['TV'],16,Finished Airing,"Jan 5, 1999 to Jan 29, 1999",['Winter 1999'],Unknown,"None found,","None found,",['Studio Deen'],['Manga'],"['Comedy', 'Romance']",,,7 min. per ep.,R+ - Mild Nudity,5.96,#10124,#12254,"1,792",4,246,"Tales of sex and sadomasochism, based on the manga in Young Sunday by Masahiko Kikuni, creator of Kizu darake no Tenshi-tachi (Heartbroken Angels). With a TV share of 9.1% in the graveyard slot, it was broadcast daily as part of the Wonderful anthology program. (Source: The Anime Encyclopedia)","['Sequel (TV) Nippon-ichi no Otoko no Tamashii 2', '']",Nippon-ichi no Otoko no Tamashii,"Nihon-ichi no Otoko no Tamashii, Most Spirited Man in Japan",,,,,,
13,小さな巨人ミクロマン,,['TV'],52,Finished Airing,"Jan 4, 1999 to Dec 27, 1999",['Winter 1999'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","None found,",['Pierrot'],Other,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,G - All Ages,6.33,#8065,#12388,"1,712",3,595,3 kids meet 5 micro-sized superheroes from another world who enlist in their aid in fighting off alien invaders.,[],Chiisana Kyojin Microman,"Chisana Kyoujin Mikuroman, The Small Giant Microman, Microman MagnePowers",,,,,"['Mecha', 'Super Power']",
14,超発明BOYカニパン,,['TV'],21,Finished Airing,"Feb 5, 1999 to Jun 25, 1999",['Winter 1999'],Fridays at 18:00 (JST),"None found,",['Saban Entertainment'],['Studio Comet'],Original,"['Adventure', 'Comedy', 'Romance']",['Mecha'],,30 min. per ep.,G - All Ages,6.62,#6377,#12606,"1,596",2,599,"Cho Hatsumei Boy Kanipan is a continued story from Hatsumei Boy Kanipan. Kanipan is now a teenager, and still a famous inventor. But one day, a mysterious ship fell from the sky and crashed at a beach. Inside was a female humanoid that has forgotten all about herself. It is up to Kanipan to revive the humanoid's memory, and he accidentally discover that his planet is in great danger as he strived. (Source: ANN)","['Prequel (TV) Hatsumei Boy Kanipan', '']",Chou Hatsumei Boy Kanipan,Super Inventor Kanipan,,,,,,
15,레스톨 특수 구조대,"RESTOL, The Full-Armed Rescue Squad",['TV'],26,Finished Airing,"Jan 29, 1999 to Jul 23, 1999",['Winter 1999'],Unknown,"None found,","None found,",['Seoul Movie'],Unknown,"['Action', 'Adventure']",,,25 min. per ep.,G - All Ages,5.95,#10148,#13994,"1,080",1,235,"It is the year 2035, a world filled with advanced science and technology, sophisticated computer systems, audio/video multimedia converstions,world government unification, network wars by hackers, and the future world controlled by one huge multinational company. A 14-year old named Kang Maru, a boy with excellent manuevering skills in a RESTOL simulation game, was chosen by GEONOID, a company with the task of protecting the earth against natural calamities, to pilot RESTOL 03, one of the 5 RESTOLs, to rescue people in different calamities. Now, he and his teammates faces different challenges in their duty, including being hacked their space-based rescue station R-SAT.",[],Restol: Teugsu Gujo Dae,"Soukou Kyuujo Butai RESTOL, Restol, The Special Rescue Squad, RESTOL SRS",,,,,"['Detective', 'Mecha']",
16,カウボーイビバップ,Cowboy Bebop,['TV'],26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",['Spring 1998'],Saturdays at 01:00 (JST),"['Bandai Visual', 'Victor Entertainment', 'Audio Planning U']",['Funimation'],['Sunrise'],Original,"['Action', 'Award Winning', 'Sci-Fi']",,,24 min. per ep.,R - 17+ (violence & profanity),8.75,#47,#42,"1,949,592","85,716",1007350,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters. Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh corgi. While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds. [Written by MAL Rewrite]","['Adaptation (Manga) Shooting Star Bebop: Cowboy Bebop', 'Adaptation (Manga) Cowboy Bebop']",Cowboy Bebop,,,,,,"['Adult Cast', 'Space']",
17,ポケットモンスター,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,563",411352,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",Pokémon,Pokémon,Pokémon,,,
18,カードキャプターさくら,Cardcaptor Sakura,['TV'],70,Finished Airing,"Apr 7, 1998 to Mar 21, 2000",['Spring 1998'],Tuesdays at 18:00 (JST),"['NHK', 'Kodansha', 'Sogo Vision']","['Nelvana', 'NIS America, Inc.', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Romance']",,['Shoujo'],25 min. per ep.,PG - Children,8.17,#443,#531,"454,371","14,101",226693,"Ten-year-old Sakura Kinomoto is an ordinary fourth-grade student living in Tomoeda until, one day, she stumbles upon a mysterious book of cards titled ""The Clow."" Pondering over her discovery, she unintentionally causes a magical gust of wind to scatter the cards all over town. The accident awakens the Beast of the Seal—Keroberos, nicknamed ""Kero""—who tells Sakura that she has released the mystical ""Clow Cards"" created by the sorcerer Clow Reed. Due to each Card's ability to act independently and their incredible power, Clow had sealed them away. Now that they have been set free, the Cards pose great danger to the world, and it is up to Sakura to put an end to them. Appointing Sakura as the ""Cardcaptor"" and granting her the Sealed Key, Kero tasks her with finding and recapturing all the Clow Cards. Alongside her best friend Tomoyo Daidouji, and with Kero's guidance, Sakura must learn to balance her new secret duty with the everyday troubles as she takes flight on her magical adventures as Cardcaptor Sakura. [Written by MAL Rewrite]","['Sequel (Movie) Cardcaptor Sakura Movie 2: Fuuin Sareta Card', 'Sequel (OVA) Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma', 'Adaptation (Manga) Cardcaptor Sakura Read Manga', '']",Cardcaptor Sakura,"CCS, Cardcaptors, Card Captor Sakura",,,,,"['Mahou Shoujo', 'School']",
19,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,906","15,328",164371,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,Case Closed,,,,,
20,彼氏彼女の事情,His and Her Circumstances,['TV'],26,Finished Airing,"Oct 2, 1998 to Mar 26, 1999",['Fall 1998'],Fridays at 18:30 (JST),"['TV Tokyo', 'SoftX', 'GANSIS']",['Nozomi Entertainment'],"['Gainax', 'J.C.Staff']",['Manga'],"['Comedy', 'Drama', 'Romance']",['School'],['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.60,#1576,#1071,"242,319","2,761",83821,"Yukino Miyazawa is the female representative for her class and the most popular girl among the freshmen at her high school. Good at both academics and sports on top of being elegant and sociable, she has been an object of admiration all her life. However, in reality, she is an incredibly vain person who toils relentlessly to maintain her good grades, athleticism, and graceful appearance. She wants nothing more than to be the center of attention and praise—which is why she cannot stand Souichirou Arima, the male representative for her class and the only person more perfect than her. Since the first day of high school, she has struggled to steal the spotlight from her new rival but to no avail. At last, on the midterm exams, Yukino gets the top score and beats Souichirou. But, to her surprise, he congratulates her on her achievement, leading her to question her deceptive lifestyle. When Souichirou confesses his love to Yukino, she turns him down and gloats about it at home with only a hint of regret. But the very next day, Souichirou visits Yukino house to bring her a CD and sees her uninhibited self in action; now equipped with the truth, he blackmails her into completing his student council duties. Coerced into spending time with Souichirou, Yukino learns that she is not the only one hiding secrets. [Written by MAL Rewrite]","['Adaptation (Manga) Kareshi Kanojo no Jijou', '']",Kareshi Kanojo no Jijou,"Kare Kano, Karekano",,Kare Kano,Entre Elle et Lui,,,
21,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,103","1,330",42205,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,Shin Chan,Shin Chan,,,,
22,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Anthropomorphic'],,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,Doraemon,,,,"['Kids', 'Shounen']"
23,魔術士オーフェン,Orphen,['TV'],24,Finished Airing,"Oct 3, 1998 to Mar 27, 1999",['Fall 1998'],Saturdays at 17:00 (JST),"['Kadokawa Shoten', 'TBS']","['ADV Films', 'Sentai Filmworks']",['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.08,#4011,#3368,"48,649",182,16441,"Six years ago at the magic school known as the Tower of Fang, a grave accident happened involving the magical sword Baltanders and the magic user Azalie. Unable to control the sword's power, Azalie was transformed into the shape of a great dragon who since that day became known as Bloody August. Krilancelo, a young magician at the Tower who cared greatly for Azalie found much to his disgust that the elders of the Tower of Fang were less than willing to save Azalie and wanted rather to pretend the accident never happened. Angered by their stand, Krilanceloa swore that he would find a way to return Azalie to her former self. Thus he forsook the name Krilancelo and declared himself Orphen, leaving the Tower and his magical studies behind to wander the world... (Source: ANN, edited)","['Sequel (TV) Majutsushi Orphen: Revenge', 'Adaptation (Manga) Majutsushi Orphen Hagure Tabi', 'Adaptation (Manga) Majutsushi Orphen Hagure Tabi Max', 'Adaptation (Manga) Majutsushi Orphen Hagure Tabi: Waga Yobigoe ni Kotae yo, Kemono']",Majutsushi Orphen,"Sorcerer Stabber Orphen, Sorcerous Stabber Orphen",,Orphen,Orphen: Le Sorcier Noir,,,
24,バブルガムクライシス TOKYO2040,,['TV'],26,Finished Airing,"Oct 8, 1998 to Apr 1, 1999",['Fall 1998'],Thursdays at 01:15 (JST),"['Victor Entertainment', 'Toshiba EMI']","['ADV Films', 'Funimation']",['AIC'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,R - 17+ (violence & profanity),7.08,#3991,#3668,"41,896",205,15686,"In the wake of an earthquake that devastated most of the city, Tokyo has been rebuilt in record time due to the development of humanoid robots known as boomers. After the disaster, these machines now service the city as cheap labor. Genom Corporation is the mastermind behind the boomers, having become so rich and powerful that they have extended its influence into space. However, all is not well with the boomers. Random breakdowns in their neural structure are causing some of them to go berserk, destroying property and killing humans in violent rampages. To combat this, Tokyo has formed the Advanced Police, a peacekeeping force with jurisdiction over boomer matters. There are also rumors of a second group known as the Knight Sabers, a vigilante unit operating from the shadows. Trying to investigate the Knight Sabers, the adventurous Linna Yamazaki travels to Tokyo in pursuit of her heroes. There, she finds the enigmatic singer Priscilla Asagiri, the beautiful entrepreneur Sylia Stingray, and the exuberant Nene Romanova, each with their own reasons for coming together. As the struggle intensifies, the girls learn that the boomer problem might delve deeper than any of them could ever imagine. [Written by MAL Rewrite]",[],Bubblegum Crisis Tokyo 2040,Bubblegum Crisis 2040,,,,,"['Adult Cast', 'Mecha']",
