,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,German,Spanish,Demographics,French
10,スキップとローファー,Skip and Loafer,['TV'],12,Finished Airing,"Apr 4, 2023 to Jun 20, 2023",['Spring 2023'],Tuesdays at 23:00 (JST),"['Kodansha', 'Kansai Telecasting', 'Crunchyroll', 'A-Sketch', 'DMM pictures', 'DMM Music', 'NetEase']","None found,",['P.A. Works'],['Manga'],,['School'],['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,8.12,#493,#870,"302,868","3,523",140526,"In order to pursue her dream of bringing positive changes to Japan, Mitsumi Iwakura leaves her countryside town to attend a prestigious high school in the hustle and bustle of Tokyo. As she has already mapped a clear life plan, she has absolute confidence that there will be zero mishaps from then onwards. Despite her ambitious promise, the country girl ends up running late on the first day when she gets lost on her way to school. Fortunately, she meets a fellow first-year student, Sousuke Shima, who is in the same situation and offers to go with her. They eventually make it to school, but the misfortunes do not end there, as Mitsumi leaves an unfavorable first impression in front of her classmates. Nevertheless, the class soon takes notice of her friendship with Sousuke despite their opposing personalities. Only time will tell whether Mitsumi will be able to forge fruitful relationships with her classmates, and she will certainly not be alone. [Written by MAL Rewrite]","['Sequel (TV) Skip to Loafer 2nd Season', 'Adaptation (Manga) Skip to Loafer']",Skip to Loafer,,,['Drama'],,,,
11,トニカクカワイイ,Tonikawa: Over The Moon For You Season 2,['TV'],12,Finished Airing,"Apr 8, 2023 to Jun 24, 2023",['Spring 2023'],Saturdays at 01:05 (JST),"['Shogakukan-Shueisha Productions', 'Warner Bros. Japan', 'KlockWorx', 'Shogakukan', 'Crunchyroll']","None found,",['Seven Arcs'],['Manga'],"['Comedy', 'Romance']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.61,#1535,#967,"268,284","2,477",91718,"In the wake of their first home burning down, Nasa and Tsukasa Yuzaki are seeking temporary shelter at the Arisugawas' bathhouse. Though they have only been married for a short time, their relationship has only become sweeter by the day. Nasa is determined to spend as much time with his wife as possible, basking in the happiness of their marriage. The newlyweds find new ways to explore their relationship. From adopting a cat, going to an amusement park, and even watching an impromptu romantic comedy featuring Nasa's former teacher, every day is a new experience. But while Tsukasa continues to meet the people in Nasa's life, Nasa has yet to meet more of Tsukasa's family. Though they appear to be the picture-perfect couple to everyone around them, Nasa begins to wonder if he will ever learn more about his wife's mysterious past. [Written by MAL Rewrite]","['Prequel (Special) Tonikaku Kawaii: Seifuku', 'Sequel (ONA) Tonikaku Kawaii: Joshikou-hen', 'Adaptation (Manga) Tonikaku Kawaii', '']",Tonikaku Kawaii 2nd Season,,,,,,,
12,デッドマウント・デスプレイ,Dead Mount Death Play,['TV'],12,Finished Airing,"Apr 11, 2023 to Jun 27, 2023",['Spring 2023'],Tuesdays at 00:00 (JST),"['Square Enix', 'Movic', 'Half H.P Studio', 'F.M.F', 'King Records', 'Crunchyroll', 'Kadokawa Media House', 'Geek Pictures']","None found,",['Geek Toys'],['Manga'],"['Action', 'Fantasy']",,['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),7.27,#3009,#1002,"259,807","1,242",111804,"A powerful necromancer known as the Corpse God dies during a legendary battle, only to be reborn as Polka Shinoyama, a young boy in modern-day Tokyo. In the process of trying to adapt to his new physical body, he gets targeted by various groups that deal with the supernatural. Among them is Misaki Sakimiya, a high school girl who can see spirits and is out for his blood from the very moment they meet. Attempting to make sense of this situation where unknown parties want him dead, Polka eventually meets Takumi Kuruya, a contractor skilled in surveillance and hacking, and Lisa Kuraki, a crime boss operating out of Shinjuku. Alongside these—and other unexpected—allies, Polka braves danger to reveal the truth of his reincarnation and the fate awaiting the world he now lives in. [Written by MAL Rewrite]","['Sequel (TV) Dead Mount Death Play Part 2', 'Adaptation (Manga) Dead Mount Death Play']",Dead Mount Death Play,,"['Reincarnation', 'Urban Fantasy']",,,,,
13,君は放課後インソムニア,Insomniacs After School,['TV'],13,Finished Airing,"Apr 11, 2023 to Jul 4, 2023",['Spring 2023'],Tuesdays at 00:00 (JST),"['TV Tokyo', 'Pony Canyon', 'Ultra Super Pictures', 'Shogakukan', 'MAGNET', 'CHOCOLATE']",['Sentai Filmworks'],['LIDENFILMS'],['Manga'],,['School'],['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,8.07,#569,#1078,"240,766","2,214",92355,"High schooler Ganta Nakami has trouble falling asleep most nights. As a result, he is irritable at school, always searching for an opportunity to find a secluded place to doze off. On the other hand, Isaki Magari is a free spirit who is well liked by her friends, but no one is aware of her sleep disorder. She makes use of the school's abandoned astronomy club observatory as her secret sleeping bunker when she needs to get some shut-eye. As fate would have it, Nakami finds Magari napping in the observatory. When Magari discovers that she and Nakami have something in common, she offers to share her secret sleeping spot with her fellow insomniac. As the two find warmth in each other's company, the struggles they face start to become easier to confront. [Written by MAL Rewrite]","['Adaptation (Manga) Kimi wa Houkago Insomnia', '']",Kimi wa Houkago Insomnia,Kimisomu,,['Romance'],,,,
14,神無き世界のカミサマ活動,Kamikatsu: Working for God in a Godless World,['TV'],12,Finished Airing,"Apr 6, 2023 to Jul 6, 2023",['Spring 2023'],Thursdays at 01:30 (JST),"['Lantis', 'DAX Production', 'Kansai Telecasting', 'BS NTV', 'Kadokawa', 'MAGNET', 'Bandai Namco Music Live']",['Crunchyroll'],['Studio Palette'],['Manga'],"['Action', 'Comedy', 'Fantasy']",,['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),6.70,#5876,#1218,"211,872",736,91617,"Under the belief that the omnipotent god Mitama will come to save him, Yukito Urabe participates in a ritual to become the new leader of his father's cult. But when the boy drowns during the ritual, he wishes to be reborn in a world without gods or religion. Reawakening in a completely different world devoid of spirituality. He meets a deviant girl named Aruaru, who introduces him to her village. However, his idyllic image of this world's society is short-lived when he witnesses a public group suicide and learns of the country's end-of-life system: at any moment, the government may order any citizen to die. Aruaru and her sister are forcibly taken for execution soon after, prompting Yukito to rush to their rescue—but to no avail. In a moment of desperation, Yukito recalls his father's teachings and utters a prayer for Mitama to save them. Seemingly answering his call, a little girl descends from the sky and annihilates everyone who harmed Yukito and his friends. To Yukito's surprise, the girl introduces herself as Mitama. [Written by MAL Rewrite]","['Adaptation (Manga) Kaminaki Sekai no Kamisama Katsudou', '']",Kaminaki Sekai no Kamisama Katsudou,"Kamikatsu, What God Does in a World Without Gods","['Isekai', 'Parody']",,,,,
15,魔法使いの嫁 SEASON2,The Ancient Magus' Bride Season 2,['TV'],12,Finished Airing,"Apr 6, 2023 to Jun 22, 2023",['Spring 2023'],Thursdays at 22:00 (JST),"['flying DOG', 'Sound Team Don Juan', 'bilibili', 'Mag Garden', 'Chiptune', 'Twin Engine']",['Crunchyroll'],['Studio Kafka'],['Manga'],"['Drama', 'Fantasy', 'Romance']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.76,#1141,#1282,"199,202","1,064",66222,"Apprentice mage Chise Hatori is invited to enroll at the College, a prestigious learning institution for sorcerers, to examine and look for a way to remove the curses she bears. Despite the reluctance of her groom, Elias Ainsworth, Chise accepts the proposal, as she believes attending the school might help her minimize her self-sacrificing tendencies. From the get-go, Chise grabs the attention of her classmates and professors alike, who have never seen a mage in action before. However, there is a sinister plot brewing behind the College's back, and the young mage will have to determine who is friend or foe in order to put a stop to it. [Written by MAL Rewrite]","['Prequel (TV) Mahoutsukai no Yome', 'Sequel (TV) Mahoutsukai no Yome Season 2 Part 2', 'Adaptation (Manga) Mahoutsukai no Yome', '']",Mahoutsukai no Yome Season 2,"The Ancient Magus Bride 2, Mahoutsukai no Yome 2, Mahoyome","['Mythology', 'School', 'Urban Fantasy']",,,,,
16,転生貴族の異世界冒険録～自重を知らない神々の使徒～,The Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far,['TV'],12,Finished Airing,"Apr 3, 2023 to Jun 19, 2023",['Spring 2023'],Mondays at 00:00 (JST),"['Nippon Columbia', 'Studio Mausu', 'Docomo Anime Store', 'BS11', 'Crunchyroll', 'Yomiuri TV Enterprise', 'Happinet Phantom Studios', 'Tohjak', 'Hifumi Shobo']","None found,","['Magic Bus', 'EMT Squared']",['Light novel'],"['Action', 'Fantasy', 'Romance']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.68,#6010,#1300,"196,659",996,99872,"On his way to a convenience store, Kazuya Shiina tries to defend two young girls from an armed assailant, only to end up getting stabbed himself and dying on the spot. This good deed allows him to be reborn with all his memories in another world as Cain von Silford, the third son of a margrave. When Cain turns five, a baptismal ceremony in the church grants him an audience to the seven gods who preside over the world. Not only do the gods fill him in on the circumstances of his reincarnation, but they also give Cain their respective divine protections—allowing him to use cheat-like abilities in swordsmanship, magic, and many other aspects. With these blessings, Cain sets out to live a fulfilling life that he deems a dream come true. However, it soon becomes clear that the gods have more plans for him than just a haphazard bestowal of overwhelming power. [Written by MAL Rewrite]","['Adaptation (Manga) Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito', 'Adaptation (Light Novel) Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito']",Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,Chronicles of an Aristocrat Reborn in Another World: The Apostle of the Gods Who Know No Self-Restraint,"['Harem', 'Isekai', 'Reincarnation']",,,,,
17,異世界召喚は二度目です,Summoned to Another World for a Second Time,['TV'],12,Finished Airing,"Apr 9, 2023 to Jun 25, 2023",['Spring 2023'],Sundays at 02:00 (JST),"['Futabasha', 'BS11', 'ABC Animation', 'Jinnan Studio', 'Bushiroad Move', 'Crest']","None found,",['Studio Elle'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy', 'Romance']",,,23 min. per ep.,PG-13 - Teens 13 or older,5.67,#11532,#1460,"172,138",760,65496,"There was once a man who was summoned to another world, and saved it. Of course, he became too popular there, and turned into an isekai-normie. However, that man fell into a ""trap"" and was forcibly returned to his original world. Moreover, he had to start over as a baby! This is the story of the way-too-fantastic ex-hero who lived as a gloomy high-schooler, as he gets summoned once again to that same other world in a very unexpected development! (Source: Coolmic, edited)","['Adaptation (Manga) Isekai Shoukan wa Nidome desu', 'Adaptation (Light Novel) Isekai Shoukan wa Nidome desu']",Isekai Shoukan wa Nidome desu,Isenido,"['Harem', 'Isekai']",,,,,
18,彼女が公爵邸に行った理由,Why Raeliana Ended up at the Duke's Mansion,['TV'],12,Finished Airing,"Apr 10, 2023 to Jun 26, 2023",['Spring 2023'],Mondays at 21:30 (JST),"['Frontier Works', 'Lantis', 'AT-X', 'Glovision', 'Crunchyroll', 'Kadokawa', 'arma bianca', 'Bandai Namco Music Live', 'Happinet Phantom Studios', 'D&C WEBTOON Biz']","None found,",['Typhoon Graphics'],['Web manga'],"['Fantasy', 'Romance']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.53,#1849,#1498,"168,841","1,532",76793,"When, after her sudden death, Rinko Hanasaki is reborn as Raeliana McMillan, she is not sure whether to curse her luck. Raeliana was a minor character in a novel Rinko read, and as the eldest daughter of a nouveau-riche baron, she led a carefree life until her unfortunate demise at the hands of her fiancé, Lord Francis Brooks. To avoid her destined fate, Raeliana is determined to end her engagement with Francis. However, when Francis refuses to break things off, Raeliana decides to seek help from someone of higher standing and approaches Duke Noah Wynknight—the novel's male protagonist. Using her knowledge of the plot, Raeliana captures the duke's interest by proposing a deal: she will not expose his secrets if Noah agrees to act as her fiancé. Little does she know that getting involved with a duke who only shows his true colors around her may lead to more than she bargained for. [Written by MAL Rewrite]","[""Adaptation (Manhwa) Why Raeliana Ended Up at the Duke's Mansion"", '']",Kanojo ga Koushaku-tei ni Itta Riyuu,"Geunyeoga Gongjagjeolo Gaya Haessdeon Sajeong, 그녀가 공작저로 가야 했던 사정","['Isekai', 'Reincarnation']",,,,,
19,おとなりに銀河,A Galaxy Next Door,['TV'],12,Finished Airing,"Apr 9, 2023 to Jun 25, 2023",['Spring 2023'],Sundays at 01:30 (JST),"['Kodansha', 'KlockWorx', 'Ai Addiction', 'King Records', 'Crunchyroll']","None found,",['Asahi Production'],['Manga'],"['Romance', 'Supernatural']",,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.15,#3620,#1557,"161,272",611,61985,"Ichirou Kuga has suddenly found himself taking on the responsibility of caring for his two younger siblings after their father's untimely death. To make ends meet, Ichirou rents out rooms in the apartment complex he inherited and works full-time as a shoujo manga artist. However, his manga sales are low, his assistants have recently left, and deadlines are fast approaching. As stress threatens to overtake Ichirou, salvation comes in the form of an extremely competent novice artist, Shiori Goshiki, who becomes his new assistant. With her skills, they are able to tide over the difficult situation, and things begin looking up. But in a bizarre accident, a supernatural experience unfolds between Ichirou and Shirou, which leads her to declare them engaged. With this seemingly innocuous action upending his life, Ichirou now has to manage his new and peculiar relationship with the mysterious girl, all the while following his own passion and fulfilling the duties that rest on his shoulders. [Written by MAL Rewrite]","['Adaptation (Manga) Otonari ni Ginga', '']",Otonari ni Ginga,,"['Childcare', 'Otaku Culture']",,,,,
