,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,Genre,Themes,Demographic,German,French,Demographics
53,ディー・グレイマン,D.Gray-man,['TV'],103,Finished Airing,"Oct 3, 2006 to Sep 30, 2008",['Fall 2006'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Half H.P Studio', 'Sony Music Entertainment']",['Funimation'],['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Urban Fantasy'],23 min. per ep.,PG-13 - Teens 13 or older,8.00,#662,#303,"710,696","13,697",291835,"Losing a loved one is so painful that one may sometimes wish to be able to resurrect them—a weakness that the enigmatic Millennium Earl exploits. To make his mechanical weapons known as ""Akuma,"" he uses the souls of the dead that are called back. Once a soul is placed in an Akuma, it is trapped forever, and the only way to save them is to exorcise them from their vessel using the Anti-Akuma weapon, ""Innocence."" After spending three years as the disciple of General Cross, Allen Walker is sent to the Black Order—an organization comprised of those willing to fight Akuma and the Millennium Earl—to become an official Exorcist. With an arm as his Innocence and a cursed eye that can see the suffering souls within an Akuma, it's up to Allen and his fellow Exorcists to stop the Millennium Earl's ultimate plot: one that can lead to the destruction of the world. [Written by MAL Rewrite]","['Sequel (TV) D.Gray-man Hallow', 'Adaptation (Manga) D.Gray-man']",D.Gray-man,"D. Gray-man, D. Grey-man",,,,['Shounen'],,,
54,家庭教師ヒットマンREBORN!,Reborn!,['TV'],203,Finished Airing,"Oct 7, 2006 to Sep 25, 2010",['Fall 2006'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Marvelous Entertainment', 'Pony Canyon', 'd-rights']","['VIZ Media', 'Discotek Media']",['Artland'],['Manga'],"['Action', 'Comedy']",,24 min. per ep.,PG-13 - Teens 13 or older,8.12,#500,#415,"570,911","16,014",264927,"There is no putting it lightly—Tsunayoshi Sawada is just no good. He is clumsy, talentless, and desperately in love with the school idol Kyouko Sasagawa, a girl so completely out of his league. Dubbed ""Loser Tsuna"" by his classmates, he seems to be the very personification of failure in the guise of a middle-schooler. Tsuna's boring life takes an extraordinary twist when he encounters the mysterious Reborn, who happens to be a hitman... and shockingly, a baby! Sent from the strongest Mafia family in Italy, Reborn is assigned the daunting mission of preparing the dull middle schooler to succeed the ninth boss of the notorious Vongola family, who is on the brink of retirement. The dull boy has a grueling road ahead, but with the help of his new criminal affiliates and his peculiar home tutor, perhaps even Loser Tsuna can achieve greatness. [Written by MAL Rewrite]","['Adaptation (Manga) Katekyou Hitman Reborn!', '']",Katekyou Hitman Reborn!,"Kateikyoushi Hitman Reborn!, Home Tutor Hitman Reborn!",Reborn!,,"['Organized Crime', 'Super Power']",['Shounen'],,Mon prof le tueur Reborn!,
55,ひぐらしのなく頃に解,Higurashi: When They Cry – Kai,['TV'],24,Finished Airing,"Jul 6, 2007 to Dec 18, 2007",['Summer 2007'],Fridays at 02:30 (JST),"['Frontier Works', 'Sotsu', 'Movic']",['Sentai Filmworks'],['Studio Deen'],Visual novel,"['Horror', 'Mystery', 'Suspense']",,24 min. per ep.,R - 17+ (violence & profanity),8.16,#456,#486,"492,853","7,514",260306,"In the small village of Hinamizawa, Rika Furude and her friends live together in relative harmony. Beneath this mask of peace, however, lies a hidden darkness, one that Rika understands all too well. In this eternal summer, she has been witness to unspeakable horrors. Every time the clock resets, Rika must try to find the villain behind these senseless deaths before tragedy strikes again. However, trying to decipher a mystery when only half the clues are present proves time and again to be disastrous, and each time she believes that things will change, she inevitably fails. As the annual festival approaches, Rika begins her descent from hope to despair in her struggle to break the chains of fate entangling them all. [Written by MAL Rewrite]","['Prequel (TV) Higurashi no Naku Koro ni', 'Sequel (OVA) Higurashi no Naku Koro ni Rei', 'Adaptation (Manga) Higurashi no Naku Koro ni Kai: Minagoroshi-hen Read Manga', 'Adaptation (Manga) Higurashi no Naku Koro ni Kai: Matsuribayashi-hen Read Manga']",Higurashi no Naku Koro ni Kai,"Higurashi no Naku Koro ni 2, Higurashi no Naku Koro ni 2nd Series, Higurashi no Nakukoro ni 2nd Season, The Moment the Cicadas Cry 2",,,"['Gore', 'Psychological']",,,,
56,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,833","15,329",164331,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,,,['Shounen'],Case Closed,,
57,ハヤテのごとく！,Hayate the Combat Butler,['TV'],52,Finished Airing,"Apr 1, 2007 to Mar 30, 2008",['Spring 2007'],Sundays at 10:00 (JST),"['TV Tokyo', 'Studio Tulip', 'Shogakukan Productions']","['Bandai Entertainment', 'Sentai Filmworks']",['SynergySP'],['Manga'],"['Action', 'Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.50,#1976,#1127,"231,544","1,591",99445,"According to Murphy's Law, ""anything that can go wrong, will go wrong,"" and truer words cannot describe the unfortunate life of the hard-working Hayate Ayasaki. Abandoned by his parents after accumulating a debt of over one hundred fifty million yen, he is sold off to the yakuza, initiating his swift getaway from a future he does not want. On that fateful night, he runs into Nagi Sanzenin, a young girl whom he decides to try and kidnap to pay for his family's massive debt. Unfortunately, due to his kind-hearted nature and a string of misunderstandings, Nagi believes Hayate to be confessing his love to her. After saving her from real kidnappers, Hayate is hired as Nagi's personal butler, upon which she is revealed to be a member of one of the wealthiest families in Japan. Highly skilled but cursed with the world's worst luck, Hayate gets straight to work serving his employer all the while trying to deal with the many misfortunes that befall him. From taking care of a mansion to fending off dangerous foes, and even unintentionally wooing the hearts of the women around him, Hayate is in over his head in the butler comedy Hayate no Gotoku! [Written by MAL Rewrite]","['Sequel (OVA) Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!', 'Adaptation (Manga) Hayate no Gotoku!']",Hayate no Gotoku!,Hayate no Gotoku!,Hayate the Combat Butler!,,"['Harem', 'Parody']",['Shounen'],Hayate the Combat Butler!,Hayate the Combat Butler!,
58,遊☆戯☆王　デュエルモンスターズ GX,Yu-Gi-Oh! GX,['TV'],180,Finished Airing,"Oct 6, 2004 to Mar 26, 2008",['Fall 2004'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']","['Konami', 'Funimation']",['Gallop'],['Manga'],"['Action', 'Comedy', 'Fantasy']",['Strategy Game'],23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3344,#1156,"225,873","1,729",140763,"In the world of Duel Monsters, a new generation of duelists await their turn to bid for the highest title: The King of Games. As an aspiring duelist, the happy-go-lucky Juudai Yuuki enrolls at the Duel Academy, a reputable institution tasked with nurturing these potential challengers. On his first day, however, Juudai's laid back and careless attitude causes him to arrive late to his entrance exam. There, he stumbles upon a familiar figure who entrusts him the ""Winged Kuriboh,"" a card which becomes Judai's new partner. Soon, he begins living as a duelist—but will destiny and darkness bend his reality into something beyond his imagination? Yu☆Gi☆Oh!: Duel Monsters GX follows the story of Juudai as he strives to fulfill his goal of becoming the next King of Games. As they are thrust into countless unprecedented circumstances, one thing is for sure for Juudai and his friends—there will never be a dull moment at the Duel Academy! [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters', ""Sequel (TV) Yu☆Gi☆Oh! 5D's"", 'Adaptation (Manga) Yu☆Gi☆Oh! GX', '']",Yu☆Gi☆Oh! Duel Monsters GX,"Yu-Gi-Oh! GX, Yugioh GX, Yu-Gi-Oh! Genex, Yugioh Genex, Yu-Gi-Oh!: Duel Monsters GX, Yugioh: Duel Monsters GX, Yu-Gi-Oh!: Duel Monsters Genex, Yugioh: Duel Monsters Genex, Game King of Duel Monsters GX",Yu-Gi-Oh! GX,,,['Shounen'],,Yu-Gi-Oh! GX,
59,アイシールド21,,['TV'],145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",['Spring 2005'],Wednesdays at 19:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']","['VIZ Media', 'Sentai Filmworks']",['Gallop'],['Manga'],,['Team Sports'],23 min. per ep.,PG-13 - Teens 13 or older,7.91,#798,#1355,"189,270","2,064",91279,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad. As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College. Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges valuable bonds along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Eyeshield 21', '']",Eyeshield 21,Eyeshield21,,['Sports'],,['Shounen'],,,
60,ポケットモンスター ダイヤモンド&パール,Pokémon: Diamond and Pearl,['TV'],191,Finished Airing,"Sep 28, 2006 to Sep 9, 2010",['Fall 2006'],Thursdays at 19:00 (JST),"['TV Tokyo', 'SoftX', 'Nintendo', 'Shogakukan Productions']","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,PG - Children,7.31,#2803,#1607,"155,205",537,94734,"Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pokémon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi—a Pokémon breeder with whom he has traveled through many regions—and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pokémons' feelings. Still in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari—a novice trainer aiming to be the top Pokémon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Satoshi and his friends begin their journey through the exciting land of Sinnoh. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Advanced Generation', 'Sequel (TV) Pokemon Best Wishes!']",Pokemon Diamond & Pearl,"Pocket Monsters: Diamond & Pearl, Diamond and Pearl, DP: Battle Dimension, DP: Galactic Battles, DP: Sinnoh League Victors",Pokémon Diamond and Pearl,,,['Kids'],Pokémon: Diamant und Perl,Pokémon Diamond and Pearl,
61,電脳コイル,Den-noh Coil,['TV'],26,Finished Airing,"May 12, 2007 to Dec 1, 2007",['Spring 2007'],Unknown,"['Bandai Visual', 'NHK', 'Tokuma Shoten']",['Maiden Japan'],['Madhouse'],Original,"['Adventure', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi']",,25 min. per ep.,G - All Ages,8.02,#640,#1631,"152,185","1,666",44951,"In the near future, augmented reality has become a key part of daily life. A gentle middle school girl named Yuuko ""Yasako"" Okonogi and her family have just moved to Daikoku City despite rumors of people disappearing. There, her grandmother, nicknamed ""Mega-baa,"" runs a shop called Megasia that specializes in illegal tools which interact with parts of the virtual world. Mega-baa also hosts an unofficial detective agency called ""Coil,"" a group of children around Yasako's age who find and handle corruption of the virtual world. Yasako gets involved with the group when Fumie Hashimoto, a playful member of Coil, helps rescue her cyberdog Densuke after getting trapped in virtual space while chasing a mysterious virus. Also investigating these corruptions and viruses is an abrasive hacker named Yuuko Amasawa, who the others take to calling Isako. Can Coil discover the truths behind the mysterious viruses and corruption, and if they can, at what cost? [Written by MAL Rewrite]","['Adaptation (Light Novel) Dennou Coil', 'Adaptation (Manga) Dennou Coil']",Dennou Coil,"Cyber Coil, Coil - A Circle of Children, Denno Coil",,,,,,Dennoh Coil,
62,結界師,Kekkaishi,['TV'],52,Finished Airing,"Oct 16, 2006 to Feb 5, 2008",['Fall 2006'],Mondays at 19:00 (JST),"['Yomiuri Telecasting', 'Tohokushinsha Film Corporation']","['VIZ Media', 'Discotek Media']",['Sunrise'],['Manga'],"['Action', 'Adventure', 'Supernatural']",['Mythology'],24 min. per ep.,PG-13 - Teens 13 or older,7.59,#1612,#2031,"114,463",626,51481,"Yoshimura Sumimura comes from a long line of ""Kekkaishi,"" individuals who have supernatural abilities and are able to destroy evil creatures called Ayakashi that venture into the human realm from time to time. The Ayakashi are demons that look to feast on the power emanating from the land of Karasumori, which also happens to be where Yoshimura's high school is located. Now, Yoshimura must fight to protect his beloved school and hometown. Although, if it were up to him, he would rather be baking cakes than fighting off the ugly characters that show up at night. Thankfully, Yoshimura isn't the only one helping to keep the baddies at bay. His childhood friend and neighbor, Tokine Yukimura, joins him in this righteous battle. Despite the fact that they are from rival clans, these two make a fantastic team. And teamwork is something vital to fighting the evil that is closing in, as the Ayakashi attack in waves, looking to claim the land as their own, and a shadowy organization looks on, ready to pounce when the time is right...","['Adaptation (Manga) Kekkaishi', '']",Kekkaishi,Barrier Master,Kekkaishi,,,['Shounen'],,,
63,爆丸バトルブローラーズ,,['TV'],52,Finished Airing,"Apr 5, 2007 to Mar 27, 2008",['Spring 2007'],Thursdays at 17:30 (JST),['Nelvana'],['Warner Bros. Pictures'],['TMS Entertainment'],Original,"['Action', 'Fantasy']",['Strategy Game'],24 min. per ep.,PG - Children,6.47,#7236,#2039,"113,871",459,70775,"Mysterious cards came down from the sky one day. Capable of summoning powerful creatures from another dimension, they became the centerpiece of a new game called Bakugan. The game gained instant popularity among children and teenagers, with the best of them competing in a worldwide ranking. Meanwhile, war for domination over Vestroia, the homeland of Bakugan cards, rages on. Invaded by the White Dragon Naga and his servants, the Doom Beings, the realm becomes increasingly destabilized. Dimensions begin to merge and many Bakugan players come to realize that their pastime is not merely a game. Danma Kuusou, one such Bakugan player, intends to become the World Ranking's leader someday. However, during one of his fights he experiences a vision of a clash in Vestroia. The fight suddenly moves to Earth, where Danma comes into possession of a talking, mighty fire Bakugan, Pyrus Dragonoid. He soon gets dragged into the conflict, and together with his Bakugan Brawlers team, must traverse the dimensions and restore balance in a ravaged world. [Written by MAL Rewrite]","['Sequel (TV) Bakugan Battle Brawlers: New Vestroia', '']",Bakugan Battle Brawlers,,,,,,,,
64,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],21 min.,G - All Ages,7.80,#1050,#2402,"88,074","1,330",42190,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,Shin Chan,,,['Seinen'],Shin Chan,,
65,ケロロ軍曹,Sgt. Frog,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",['Parody'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1300,#2552,"80,338","1,281",35925,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,Sergeant Frog,,,,['Shounen'],,,
66,ブルー・ドラゴン,,['TV'],51,Finished Airing,"Apr 7, 2007 to Mar 29, 2008",['Spring 2007'],Saturdays at 09:00 (JST),['Pony Canyon'],['VIZ Media'],['Pierrot'],Game,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,6.40,#7689,#3095,"57,048",116,29236,"As Shu's village was being attacked by an unknown enemy, he and his friends, Jiro and Kluke decide to defend their home. They soon meet warrior Zola and receive the powers of Shadow, an ability that let's them transform their shadow into a powerful monster. Shu receives one of the most powerful monsters, Blue Dragon, and they all set out to defeat their enemy. (Source: ANN)","['Sequel (TV) Blue Dragon: Tenkai no Shichi Ryuu', '']",Blue Dragon,,,,,,,,
67,湾岸ミッドナイト,,['TV'],26,Finished Airing,"Jun 15, 2007 to Sep 13, 2008",['Summer 2007'],Unknown,['OB Planning'],"None found,",['A.C.G.T.'],['Manga'],,['Racing'],25 min. per ep.,PG-13 - Teens 13 or older,7.49,#2003,#3403,"47,602",652,18539,"From dusk until dawn, street racers gather on a Tokyo highway—the Wangan Route—in search of only one thing: speed. Among them, a newcomer attracts the attention of the route's veterans after he purchases a Nissan Fairlady Z, a car infamously nicknamed The Devil Z. The newcomer ignores the warnings of Eriko Asakura, who lost her brother, Akio, in an accident involving the same vehicle. The Devil Z's new owner, who coincidentally shares the exact same name as Eriko's brother, becomes bewitched by the car's mysterious power—even after crashing twice. Now a high school dropout who works to pay for his car repairs, Akio befriends regular street racers of the area: the legendary owner of the Porsche 911 Turbo, a car known on the streets as ""Blackbird;"" the genius surgeon Tatsuya Shima; and Reina Akikawa, who works as a model by day and displays unparalleled skill in her Nissan Skyline GT-R by night. Thanks to these connections, Akio manages to find the retired designer of The Devil Z's engine, a solitary man named Jun Kitami. Following his meeting with Akio, Jun resumes building overpowered yet dangerous engines. Meanwhile, the racers of the Wangan Route are caught in a desperate race against The Devil Z with no clear end in sight. [Written by MAL Rewrite]","['Adaptation (Manga) Wangan Midnight', '']",Wangan Midnight,,,['Action'],,['Seinen'],,,
68,彩雲国物語 第2シリーズ,Tales of Saiunkoku,['TV'],39,Finished Airing,"Apr 7, 2007 to Mar 8, 2008",['Spring 2007'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","None found,",['Madhouse'],['Light novel'],"['Adventure', 'Fantasy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,8.00,#675,#3623,"42,907",204,18439,"Shuurei Kou and her friend Eigetsu To, a boy prodigy of humble origins, have been appointed co-governors of the Sa province, one of the eight provinces in Saiunkoku. Together, they decide to make the province an academic research center in the hopes of bringing a long overdue prosperity to the region. However, while Shuurei goes to the capital to obtain approvals for the ambitious project, the Sa province's recently established tranquility is threatened by a pandemic that brings both death and turmoil as it begins to spread among the people. Counting on Eigetsu to monitor the situation until her return, Shuurei seeks support from her allies to find a suitable treatment. Yet, Eigetsu's past personal conflicts distract him, providing an opportunity for opponents of Shuurei's position to take advantage of the troubles and undermine her authority. Becoming a government official has been Shuurei's lifelong dream, but it is no easy task for the first woman undertaking such a position. Will she step up and overcome this great challenge or give in to the looming adversities? [Written by MAL Rewrite]","['Prequel (TV) Saiunkoku Monogatari', 'Adaptation (Manga) Saiunkoku Monogatari', 'Adaptation (Light Novel) Saiunkoku Monogatari', '']",Saiunkoku Monogatari 2nd Season,"Saiunmono, Saimono, Saiunkoku Monogatari Dai 2 Series",,,"['Historical', 'Reverse Harem']",['Shoujo'],,,
69,きらりん☆レボリューション,Kirarin Revolution,['TV'],153,Finished Airing,"Apr 7, 2006 to Mar 27, 2009",['Spring 2006'],Fridays at 18:00 (JST),"['MediaNet', 'Sony Music Entertainment', 'Shogakukan Productions']","None found,","['SynergySP', 'G&G Entertainment']",['Manga'],"['Comedy', 'Drama', 'Romance']",['Showbiz'],22 min. per ep.,PG-13 - Teens 13 or older,7.08,#4001,#4051,"34,226",275,14290,"Kirari Tsukishima, a gluttonous 14-year-old beauty, is a girl who does not care about idols and the entertainment world because her mind is occupied by food. Her obsession with food only causes her to be clueless about love. One day, after saving a turtle that is stranded in a tree, Kirari meets with a handsome and gentle boy named Seiji, who gives her ticket to a SHIPS (a popular idol group) concert to show his gratitude for her saving his pet. Kirari then storms off to the concert and runs into another boy, who tears up her ticket and warns her to stay away from Seiji because she and Seiji live in different worlds. The outraged Kirari then sneaks into the concert, only to discover that Seiji and the boy who tore her ticket, named Hiroto, are actually members of SHIPS. Finally understanding the meaning of ""different worlds"" (Seiji is a popular idol while she is an average middle school student), Kirari refuses to give up. Filled with determination to be with Seiji, she declares that she will also become an idol. (Source: Wikipedia)","['Adaptation (Manga) Kirarin☆Revolution', '']",Kirarin☆Revolution,,,,,['Shoujo'],,,
70,レ・ミゼラブル 少女コゼット,,['TV'],52,Finished Airing,"Jan 7, 2007 to Dec 30, 2007",['Winter 2007'],Sundays at 19:30 (JST),"None found,","None found,",['Nippon Animation'],Novel,,['Historical'],24 min. per ep.,G - All Ages,7.90,#814,#4205,"31,536",292,10318,"In 19th century France, a struggling single mother, Fantine, leaves her three-year-old daughter Cosette in the care of her new acquaintances, the Thernadiers. Unfortunately, Cosette's caretakers prove to be anything but loving, and the poor girl is subjected to repeated abuse and forced servitude. Still, she endures the torment in the hopes of seeing her mother once again. One night, while doing errands for her host family, Cosette is assisted by an honorable stranger named Jean Valjean. After a brief conversation with the young girl, Jean acknowledges her as the type of person he has been seeking and rescues her from the clutches of the Thernadiers. They make their way to a nearby town where Cosette enjoys a new life thanks to her savior. Under Jean's guidance, Cosette promises to help others with her newfound freedom. She pledges to heal the nation, ensuring that no one else suffers her fate. Though the road ahead is paved with tragedies left by the French Revolution, this idealistic girl will not rest until France is freed from poverty and suffering. [Written by MAL Rewrite]",[],Les Misérables: Shoujo Cosette,Les Miserables: Shoujo Cosette,,['Drama'],,,,,
71,デルトラクエスト,Deltora Quest,['TV'],65,Finished Airing,"Jan 6, 2007 to Mar 29, 2008",['Winter 2007'],Saturdays at 08:00 (JST),"['Dentsu', 'Genco', 'Kodansha', 'Half H.P Studio']",['Flatiron Film Company'],['OLM'],Book,"['Adventure', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,7.09,#3959,#4223,"31,141",221,13134,"Long ago, the blacksmith Adin forged a belt of seven powerful gems, one from each of the seven tribes of Deltora. Wielding the belt's unparalleled power, he repelled the Shadow Lord's attempt to overthrow the kingdom. Adin was crowned king of Deltora, but he never forgot that the enemy remained unbeaten. Centuries later, memory of the Shadow Lord has become faded and almost forgotten, and the people of Deltora see their monarchy as detached and uncaring. Much to their dismay, the Shadow Lord strikes once more, breaking the Belt of Deltora by scattering the seven gems across the continent. Jarred, a close friend of the young king Endon, assists him and his wife in escaping from the castle as the Shadow Lord takes over, and they part ways to go into hiding. The Shadow Lord now reigns over Deltora and many years pass under his tyrannical rule. However, there is a glimmer of hope in Jarred's son Lief, whom he has lovingly raised and trained to find the scattered gemstones and reassemble the Belt of Deltora. Along with his companions Barda and Jasmine, Lief must face devious enemies and dangerous beasts to oust the Shadow Lord and return peace to Deltora. [Written by MAL Rewrite]","['Adaptation (Manga) Deltora Quest', '']",Deltora Quest,,,,,['Kids'],,,
72,古代王者 恐竜キング Ｄキッズアドベンチャー,Dinosaur King,['TV'],49,Finished Airing,"Feb 4, 2007 to Jan 27, 2008",['Winter 2007'],Unknown,"['Asatsu DK', 'Sega', 'Happinet Pictures', 'Nagoya Broadcasting Network']","['4Kids Entertainment', 'Discotek Media']",['Sunrise'],Game,"['Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,6.44,#7467,#4382,"29,017",146,17227,"Dr. Taylor was on a paleontology mission with his son, Max in Africa. Rex, Max's best friend, joins along as well. When Max had stumbled across some magic stone slabs with images of dinosaurs, the boys and their friend Zoe were being called out by the dinosaurs for help. It seems that an evil organization called the ""Alpha Gang,"" led by the nefarious Dr. Z, traveled back in time to hunt down the dinosaurs so that they could take over the world by using those dinosaurs. It is up to Max, Rex, and their friend Zoe to travel around the world, defeating Dr. Z and the Alpha Gang while hunting down the dinosaurs. (Source: Wikipedia)","['Sequel (TV) Kodai Ouja Kyouryuu King: Yokuryuu Densetsu', 'Adaptation (Manga) Dinosaur King']",Kodai Ouja Kyouryuu King,"Kodai Oja Kyoryu King D-Kids Adventure, Ancient Ruler Dinosaur King",Dinosaur King,,,['Kids'],Dinosaur King: The Adventure begins,Dinosaur King: The Adventure begins,
73,スカイガールズ,,['TV'],26,Finished Airing,"Jul 6, 2007 to Dec 28, 2007",['Summer 2007'],Unknown,"['Konami', 'Geneon Entertainment']","None found,",['J.C.Staff'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,6.99,#4413,#4657,"25,289",51,9490,"In the near future, Earth is at war with aliens called Worms. The war leaves the population of Earth decimated, with young men the main casualties. The Worms were beaten back but their re-emergence heralds the creation of a mecha unit called the Sonic Divers, piloted by 3 young girls to counter this threat.",[],Sky Girls,"Sky Girls TV, Sky Girls (2007)",,['Sci-Fi'],"['Mecha', 'Military']",,,,
