,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Theme,Genre,Demographics
10,私に天使が舞い降りた！,Wataten! an Angel Flew Down to Me,Wataten!: An Angel Flew Down to Me,Wataten!: An Angel Flew Down to Me,Wataten!: An Angel Flew Down to Me,['TV'],12,Finished Airing,"Jan 8, 2019 to Mar 26, 2019",['Winter 2019'],Tuesdays at 22:00 (JST),"['AT-X', 'flying DOG', 'Sony Music Communications', 'Kadokawa Media House', 'Ichijinsha', 'Kadokawa']","None found,",['Doga Kobo'],['4-koma manga'],,"['CGDCT', 'Otaku Culture']",,23 min. per ep.,PG-13 - Teens 13 or older,7.26,#3069,#1226,"210,608",952,86564,"College student Miyako Hoshino is quite shy around other people. She mostly spends her time in her room making cosplay outfits. When her fifth-grade sister Hinata brings her classmate Hana Shirosaki home, Miyako instantly becomes captivated with Hana's cuteness. Miyako tries to do various things, ranging from making Hana wear cosplay dresses to giving her sweets. This gives Hana a bad impression of her at first, but Miyako will do anything to grow closer to the angel who has descended before her. [Written by MAL Rewrite]","['Sequel (Movie) Watashi ni Tenshi ga Maiorita! Precious Friends', 'Adaptation (Manga) Watashi ni Tenshi ga Maiorita!']",Watashi ni Tenshi ga Maiorita!,Wataten,,['Comedy'],
11,同居人はひざ、時々、頭のうえ。,My Roommate is a Cat,My Roommate is a Cat,My Roommate is a Cat,My Roommate is a Cat,['TV'],12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",['Winter 2019'],Wednesdays at 23:30 (JST),"['AT-X', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'Avex Pictures', 'Q-Tec', 'BS11', 'ABC Animation', 'GYAO!', 'BookLive']",['Funimation'],['Zero-G'],['Web manga'],,"['Adult Cast', 'Pets']",,23 min. per ep.,PG-13 - Teens 13 or older,7.72,#1248,#1260,"203,674","1,290",94197,"Subaru Mikazuki is a 23-year-old mystery novel author, major introvert, and an awkwardly shy person. He would much rather stay home to read a book than go outside and interact with others. Further exacerbating this life of solitude, his parents tragically died in an accident many years ago, leaving him alone in the world. One day, while giving offerings at his parents' grave, Subaru runs into a small grey and white cat named Haru, which he ends up taking home with him. Subaru, however, has never taken care of anyone else in his life—can he even take care of a cat? Haru is grateful toward Subaru, as he gives her all the food she wants—a luxury for a cat who is used to a rough life on the streets. But she notices that Subaru can't even seem to take care of himself! Will she be okay with this dunce? Doukyonin wa Hiza, Tokidoki, Atama no Ue. tells the story of an unlikely friendship between a human and a cat who try to foster an understanding with each other. [Written by MAL Rewrite]","['Adaptation (Manga) Doukyonin wa Hiza, Tokidoki, Atama no Ue.', '']","Doukyonin wa Hiza, Tokidoki, Atama no Ue.","My roommate is sometimes on my knees, sometimes on my head, Hizaue",,['Slice of Life'],
12,3D彼女 リアルガール(第2シーズン),Real Girl Season 2,,,,['TV'],12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",['Winter 2019'],Wednesdays at 01:59 (JST),"['VAP', 'Docomo Anime Store', 'DeNA', 'D.N. Dream Partners']",['Sentai Filmworks'],['Hoods Entertainment'],['Manga'],,"['Otaku Culture', 'School']",['Shoujo'],22 min. per ep.,PG-13 - Teens 13 or older,7.67,#1363,#1280,"199,530","1,225",106734,"Teenage otaku Tsutsui is finally starting to feel comfortable in his relationship with his beautiful classmate Iroha, but the real world continues to make things tough for both of them. With the school cultural festival coming up, Tsutsui gets stuck working on the festival committee while Iroha's classmates pressure her to enter the beauty contest. Meanwhile, Tsutsui's best friend Itou finally works up the courage to confess his feelings to Ayado, but she turns him down. As Itou works to get over this rejection and Tsutsui struggles just to survive the festival, they both decide to do whatever they can to become better people. Will their good intentions pave the way to a happy outcome, or will more hearts be broken along the way? (Source: ANN)","['Prequel (TV) 3D Kanojo: Real Girl', 'Adaptation (Manga) Real Girl']",3D Kanojo: Real Girl 2nd Season,3D Girlfriend 2nd Season,,['Romance'],
13,マナリアフレンズ,Mysteria Friends,Mysteria Friends,Mysteria Friends,Mysteria Friends,['TV'],10,Finished Airing,"Jan 21, 2019 to Mar 25, 2019",['Winter 2019'],Mondays at 00:30 (JST),"['Asmik Ace', 'Cygames', 'Happinet']",['Sentai Filmworks'],['CygamesPictures'],Card game,"['Fantasy', 'Slice of Life']","['Iyashikei', 'School']",,14 min. per ep.,PG-13 - Teens 13 or older,6.68,#6050,#1834,"129,604",330,36129,"Mysteria Academy is a prestigious magic school that teaches magic without discrimination to the three factions (men, gods, demons), who usually are engaged in battle with each other. Two of the academy's students are Anne, a princess and honor student, and Grea, a princess born from a dragon and a human. (Source: ANN)","['Adaptation (Manga) Shingeki no Bahamut: Manaria Friends', '']",Manaria Friends,"Rage of Bahamut: Manaria Friends, Shingeki no Bahamut: Manaria Friends",,,
14,上野さんは不器用,"How clumsy you are, Miss Ueno.","How clumsy you are, Miss Ueno.","How Clumsy You Are, Miss Ueno.","How Clumsy You Are, Miss Ueno.",['TV'],12,Finished Airing,"Jan 7, 2019 to Mar 25, 2019",['Winter 2019'],Mondays at 00:30 (JST),['Nippon Columbia'],['Sentai Filmworks'],['Lesprit'],['Manga'],"['Comedy', 'Romance']","['Love Status Quo', 'School']",['Seinen'],12 min. per ep.,PG-13 - Teens 13 or older,6.55,#6772,#1884,"125,740",204,55877,"As the head of her middle school's science club, it's only fitting that Ueno is also a brilliant inventor. With devices that can convert any liquid into drinkable water, deodorize the most foul smells, or even generate dark matter to be used as a means of concealment, it seems like nothing is beyond Ueno's capabilities. However, she doesn't invent these devices for the advancement of mankind. Rather, the one force that motivates her is love, the only phenomenon she can't quite figure out. Ueno is head over heels for Tanaka, her nonchalant fellow club member. Yet, because she is too nervous to confess her love and he is too oblivious to notice her affection, her love life is completely stagnant. In Ueno's mind, if she could just expose him to perverted situations, then surely he'd get flustered and fall for her, right? Assisted by her stone-faced classmate and dedicated wingwoman Yamashita, Ueno employs her many inventions on Tanaka in a lewd manner in hopes that he may one day understand how she feels. [Written by MAL Rewrite]","['Adaptation (Manga) Ueno-san wa Bukiyou', '']",Ueno-san wa Bukiyou,,,,
15,魔法少女特殊戦あすか,Magical Girl Spec-Ops Asuka,Magical Girl Spec-Ops Asuka,Magical Girl Spec-Ops Asuka,Magical Girl Spec-Ops Asuka,['TV'],12,Finished Airing,"Jan 12, 2019 to Mar 30, 2019",['Winter 2019'],Saturdays at 02:25 (JST),['Kadokawa'],['Funimation'],['LIDENFILMS'],['Manga'],"['Action', 'Drama']","['Gore', 'Mahou Shoujo', 'Military']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),6.33,#8092,#2362,"90,457",148,29002,"Three years ago, a bloodthirsty race of interdimensional beings known as the Disas appeared and destroyed everything they could reach on Earth. With regular weapons rendered useless, humanity's only hope of survival relied on humans who became magical girls after forming an alliance with the Spirit Realm, who had followed the Disas to Earth. After a violent conflict, the squad of magical girls emerge victorious, with the survivors now known as the ""Magical Five."" Following the war with the Disas, the Magical Five disbands. Kurumi Mugen, Mia Cyrus, Tamara Volkova, and Lau Peipei independently continue their own military services, while their leader, Asuka Ootorii, retires and becomes a high school student. However, Asuka's peace is short-lived, as it seems there were survivors on the enemy's side as well. As magic must be fought with magic, Asuka is dragged back into combat as an even worse battle looms on the horizon. [Written by MAL Rewrite]","['Adaptation (Manga) Mahou Shoujo Tokushusen Asuka', '']",Mahou Shoujo Tokushusen Asuka,,,,
16,ガーリー・エアフォース,,,,,['TV'],12,Finished Airing,"Jan 10, 2019 to Mar 28, 2019",['Winter 2019'],Thursdays at 23:00 (JST),"['Sotsu', 'AT-X', 'KlockWorx', 'Tokyo MX', 'Avex Pictures', 'BS11', 'Crunchyroll', 'Cygames', 'Kadokawa', 'CA-Cygames Anime Fund']",['Discotek Media'],['Satelight'],['Light novel'],"['Action', 'Sci-Fi']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.14,#9166,#2484,"83,633",195,31834,"Kei Narutani and his childhood friend, Song Minghua, are Chinese refugees who are fleeing from the Zai, a mysterious organization that indiscriminately terrorizes their country and its people. Fortunately, during their escape to Japan, they are saved by a strange red aircraft. Kei's fascination with this aircraft leads him to meet his savior: a girl who is an ""Anima""—the pilot of a unique type of airplane called a ""Daughter."" The girl goes by Gripen, an adorable JAS-39F fighter aircraft. Kei develops a bond with Gripen and is then recruited by the Japan Self-Defense Force to help Gripen overcome her troubles with flying. Later joined by Eagle, a carefree F-15J-ANM, and Phantom, a proud RF-4EJ-ANM, the squadron takes up arms, determined to protect humanity. Together, the five individuals battle against the invasive Zai, forming the last line of defense against the threatening alien force. [Written by MAL Rewrite]","['Adaptation (Manga) Girly Air Force', 'Adaptation (Light Novel) Girly Air Force']",Girly Air Force,,['Military'],,
17,えんどろ～！,ENDRO!,Endro!,Endro!,Endro!,['TV'],12,Finished Airing,"Jan 13, 2019 to Mar 31, 2019",['Winter 2019'],Sundays at 01:00 (JST),"['Egg Firm', 'Sega Games']",['Funimation'],['Studio Gokumi'],Original,"['Fantasy', 'Slice of Life']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.90,#4819,#2557,"79,859",190,28130,"In a world of adventurers and magic lies Naral Island. Every generation, a Demon Lord rises to plague the land, and every generation, a Hero is born to subdue him. For countless centuries, the cycle has repeated with no end in sight. The latest Hero, Juulia ""Yusha"" Charldetto, has almost completed her valiant campaign alongside her party members: responsible priest Seiran ""Seira"" Élénoir, enigmatic mage Meiza ""Mei"" Endust, and hyper-energetic warrior Fai Fai. In the final battle against the Demon Lord, Yusha's party attempt a risky spell to cast their enemy into the drifts of time. But the incantation goes awry, sending Yusha and her friends back to a time before the Demon Lord, before Yusha becomes the Hero, and before the party had even graduated as adventurers. With their memories of the future erased, the four girls restart their ambitions to become the Hero's Party, aspiring to defeat the Demon Lord. However, in a sudden twist of fate, the Demon Lord was also sent back in time with her memories intact. Reduced to the form of a little girl, the Demon Lord takes the name Mao and infiltrates the adventurers' school as a teacher, planning to stop Yusha before she becomes a hero. Thus begins the story of Yusha and her friends, in their quest to defeat the Demon Lord, not knowing that the one they seek is right by their side. [Written by MAL Rewrite]","['Adaptation (Manga) Endro~!', '']",Endro~!,Endoro~!,['CGDCT'],,
18,revisions リヴィジョンズ,,,,,['TV'],12,Finished Airing,"Jan 10, 2019 to Mar 28, 2019",['Winter 2019'],Thursdays at 00:55 (JST),"['Fuji TV', 'Slow Curve']",['Sentai Filmworks'],['Shirogumi'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Time Travel']",,22 min. per ep.,PG-13 - Teens 13 or older,6.02,#9856,#2829,"67,068",80,20876,"""This is a prophecy for you, where five people will meet huge adversaries, and only you can protect everyone."" Daisuke Dojima is a second-year high school student who was abducted when he was young. He was involved in a special phenomenon—Shibuya Drift—with his childhood friends Gai, Lu, Marimari, and Keisaku. They were transferred to the center of Shibuya over 300 years into the future. What's waiting for them is endless wilderness and forest, Interspersed ruin, future citizens, and ""Revisions"" which are huge mechanical monsters. Trampled by the monsters without understanding the situation, a girl who has the same name as the person who saved Daisuke when he was abducted, Milo, provided a mobile suit ""String Puppet"" and told them to save Shibuya. With separated paths, adversaries, destined prophecies, the boys, and girls are on their journey to return to their original time. (Source: MAL News)","['Adaptation (Manga) Revisions', '']",Revisions,,,,
19,明治東亰恋伽,,,,,['TV'],12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",['Winter 2019'],Wednesdays at 23:30 (JST),"['BS Fuji', 'MAGES.', 'Tokyo MX', 'TV Aichi']",['Funimation'],['TMS Entertainment'],Visual novel,"['Romance', 'Supernatural']","['Historical', 'Reverse Harem', 'Time Travel']",['Josei'],23 min. per ep.,PG-13 - Teens 13 or older,7.04,#4215,#3014,"59,669",283,22953,"Mei Ayazuki is just your ordinary, everyday high-school girl. That is until one night, when the moon is full and red, she’s transported through time to the Meiji Period by Charlie, a self-proclaimed magician. She ends up in a strange, Meiji-era ‘Tokyo’ where the existence of ghosts is accepted. Led by Charlie, she finally arrives at the Rokumeikan. There, waiting for her to arrive, are the historical figures Ougai Mori, Shunsou Hishida, Otojirou Kawakami, Kyouka Izumi, Gorou Fujita, Yakumo Koizumi, and Tousuke Iwasaki. Whilst interacting with these men, she discovers she is a Tamayori - someone who can see ghosts - a skill that is highly valued in the Meiji Period. Due to these powers, her relationship with the men begins to change… As she gets to know these handsome men in a new era she just can’t get used to, a love begins to grow within her. Will Mei be able to return to her time? What will become of her love - a love that crosses the boundaries of time and space? (Source: Honey's Anime)",[],Meiji Tokyo Renka,,,,
