,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Demographic,Genre,Theme,Demographics
10,電波女と青春男,Ground Control to Psychoelectric Girl,['TV'],12,Finished Airing,"Apr 15, 2011 to Jul 1, 2011",['Spring 2011'],Fridays at 01:55 (JST),"['Starchild Records', 'TBS']","['NIS America, Inc.']",['Shaft'],['Light novel'],"['Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.11,#3841,#827,"313,704","1,139",129650,"Makoto Niwa meticulously tallies the amount of positive and negative youthful experiences he engages in as if to grade his own life. When his parents go overseas, he moves to a new town to live with his aunt, welcoming the change and ready for a fresh start. However, as ordinary as he had imagined his adolescence to be, he could never have taken the existence of an enigmatic long-lost cousin into account. Upon moving into his aunt's house, he discovers the cousin he never knew about: Erio Touwa. Despite being Makoto's age, she couldn't be more different: Erio chooses to wrap herself in a futon all day rather than to go to school. She even claims to be an alien, and with a speech pattern and personality to back it up, any chance of Makoto's dreamt-of normal life is instantly tossed out the window. As he meets a string of other eccentric girls in town, Makoto must face the possibility of seeing his youth points in the red. However, he might be surprised by how thrilling an abnormal youth can be. [Written by MAL Rewrite]","['Sequel (Special) Denpa Onna to Seishun Otoko: Mayonaka no Taiyou', 'Adaptation (Manga) Denpa Onna to Seishun Otoko', 'Adaptation (Light Novel) Denpa Onna to Seishun Otoko', '']",Denpa Onna to Seishun Otoko,Electromagnetic Wave Woman and Adolescent Man,,,,,,,
11,TIGER & BUNNY （タイガー・アンド・バニー）,Tiger & Bunny,['TV'],25,Finished Airing,"Apr 3, 2011 to Sep 18, 2011",['Spring 2011'],Sundays at 01:58 (JST),"['Bandai Visual', 'Mainichi Broadcasting System', 'Tohokushinsha Film Corporation']",['VIZ Media'],['Sunrise'],Original,"['Action', 'Comedy', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,7.83,#974,#1123,"232,488","2,999",93285,"In Stern Bild City, those with special abilities are called NEXT, and can use their powers for good or bad. A unique organized group of NEXT appear regularly on Hero TV, where they chase down evildoers to bring limelight to their sponsors and earn Hero Points in the hopes of becoming the next King of Heroes. Kotetsu T. Kaburagi, known as ""Wild Tiger,"" is a veteran hero whose performance has been dwindling as of late, partially due to his inability to cooperate with other heroes. After a disappointing season in which most of the other heroes far outperformed Tiger, he is paired up with a brand new hero who identifies himself by his real name—Barnaby Brooks Jr. Barnaby, nicknamed ""Bunny"" by his frivolous new partner, quickly makes it clear that the two could not be more different. Though they mix as well as oil and water, Tiger and Bunny must learn to work together, both for the sake of their careers and to face the looming threats within Stern Bild. [Written by MAL Rewrite]","['Prequel (Special) Tiger & Bunny Pilot', 'Sequel (Movie) Tiger & Bunny Movie 2: The Rising', 'Adaptation (One-shot) Tiger & Bunny', 'Adaptation (Manga) Tiger & Bunny']",Tiger & Bunny,"Tiger and Bunny, Taibani",,,,,,,
12,スケットダンス,SKET Dance,['TV'],77,Finished Airing,"Apr 7, 2011 to Sep 27, 2012",['Spring 2011'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Avex Entertainment', 'Dentsu']","None found,",['Tatsunoko Production'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,8.20,#393,#1129,"230,805","3,237",86432,"At Kaimei High School there is a special club dedicated to helping others known as the SKET Brigade. The brains of the group is Kazuyoshi ""Switch"" Usui, a tech-savvy otaku who speaks through speech synthesis software, while the brawn is provided by Hime ""Himeko"" Onizuka, the hockey stick-wielding girl once known as ""Onihime."" And last but not least, their leader is Yuusuke ""Bossun"" Fujisaki, whose latent ability is evoked by his goggles, allowing him to summon the awesome power of extraordinary concentration. However, most of the school only know them as the club that handles odd jobs. Many of their days are spent in the clubroom slacking off, but when there is something to be done, they give their all to help others—usually in sincere, but unintentionally hilarious, ways. The SKET Brigade do all they can to provide support, kindness, encouragement, and troubleshooting to any students crazy enough to ask for their services. [Written by MAL Rewrite]","['Adaptation (Manga) SKET Dance', '']",SKET Dance,,,,,['Shounen'],['Comedy'],['School'],
13,世界一初恋 TV,Sekai Ichi Hatsukoi - World's Greatest First Love,['TV'],12,Finished Airing,"Apr 9, 2011 to Jun 25, 2011",['Spring 2011'],Saturdays at 01:05 (JST),"['Lantis', 'Kadokawa Shoten', 'AT-X', 'DAX Production', 'KlockWorx']",['Funimation'],['Studio Deen'],['Manga'],,"['Adult Cast', 'Otaku Culture', 'Workplace']",23 min. per ep.,PG-13 - Teens 13 or older,7.62,#1519,#1165,"224,135","3,045",121476,"After having to deal with jealousy from his co-workers for working under his father's name, prideful literary editor Ritsu Onodera is determined to establish himself in the industry. To accomplish this, he quits his job at his father's publishing company and transfers to Marukawa Publishing. But instead of being placed in their literary division, Ritsu finds himself working as the rookie manga editor for the Emerald editing department, a team that operates under extremely tight schedules in order to meet deadlines. There, Ritsu is introduced to the infamous editor-in-chief Masamune Takano, a persistent man who strives for results. As it turns out, Takano is actually Ritsu's high school love, and it is the aftermath of that heartbreak has caused Ritsu's reluctance to fall in love again. Now with the two reunited after several years of separation, the reestablishment of their relationship is marked by Takano's vow to make Ritsu say that he loves him again. Sekaiichi Hatsukoi follows three couples that are interconnected within the manga industry, with each being subject to the budding of first love. [Written by MAL Rewrite]","['Sequel (TV) Sekaiichi Hatsukoi 2', 'Adaptation (Manga) Sekaiichi Hatsukoi: Onodera Ritsu no Baai']",Sekaiichi Hatsukoi,"Sekai-ichi Hatsukoi, Sekai'ichi Hatsukoi, World's Greatest First Love",,,,,['Boys Love'],,
14,逆境無頼カイジ 破戒録篇,Kaiji: Against All Rules,['TV'],26,Finished Airing,"Apr 6, 2011 to Sep 28, 2011",['Spring 2011'],Wednesdays at 00:59 (JST),"['VAP', 'Nippon Television Network']",['Sentai Filmworks'],['Madhouse'],['Manga'],,"['Adult Cast', 'High Stakes Game', 'Psychological', 'Strategy Game']",24 min. per ep.,R - 17+ (violence & profanity),8.24,#344,#1266,"202,399","2,865",111640,"Owing to an increasing debt, Kaiji Itou ends up resuming his old lifestyle. One day, while walking on the street, he stumbles upon Yuuji Endou, who is hunting Kaiji due to the money he owes to the Teiai Group. Unaware of this, Kaiji eagerly follows Endou, hoping for a chance to participate in another gamble, but soon finds out the loan shark's real intentions when he is kidnapped. Given that Kaiji is unable to pay off his huge debt, the Teiai Group instead sends him to work in an underground labor camp. He is told that he will have to live in this hell for 15 years, alongside other debtors, until he can earn his freedom. His only hope to put an early end to this nightmare is by saving enough money to be able to go back to the surface for a single day. Once he is there, he plans to obtain the remaining money needed to settle his account by making a high-stakes wager. However, as many temptations threaten his scarce income, Kaiji may have to resort to gambling sooner than he had expected. [Written by MAL Rewrite]","['Prequel (TV) Gyakkyou Burai Kaiji: Ultimate Survivor', 'Adaptation (Manga) Tobaku Hakairoku Kaiji']",Gyakkyou Burai Kaiji: Hakairoku-hen,"Gyakkyou Burai Kaiji S2, The Suffering Pariah Kaiji: Backslide Arc",Kaiji: Against All Rules,Kaiji: Against All Rules,Kaiji: Against All Rules,['Seinen'],['Suspense'],,
15,ドッグデイズ,,['TV'],13,Finished Airing,"Apr 2, 2011 to Jun 25, 2011",['Spring 2011'],Saturdays at 23:30 (JST),"['Aniplex', 'Good Smile Company']","None found,",['Seven Arcs'],Original,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.84,#5123,#1332,"191,980",566,88321,"Dog Days takes place in the world of Flonyard, an alternate Earth inhabited by beings who resemble humans, but also have the ears and tails of specific animals. The Republic of Biscotti, a union of dog-like citizens, has come under attack by the feline forces of the Galette Leo Knights. In an effort to save Biscotti, Princess Millhiore summons a champion from another world in order to defend her people. That champion is Cinque Izumi, a normal junior high student from Earth. Agreeing to assist Biscotti, Cinque retrieves a sacred weapon called the Palladion and prepares for war. In Flonyard, wars are fought with no casualties and are more akin to sports competitions with the goal of raising money for the participating kingdoms. Cinque is successful in his role as Biscotti’s champion, but learns that a summoned champion cannot be returned to their home world. The scientists of Biscotti will endeavor to find a way for Cinque to return home, but until they figure something out, he must serve Princess Millhiore by continuing to fight as Biscotti’s hero.","[""Sequel (TV) Dog Days'"", 'Adaptation (Light Novel) Dog Days', 'Adaptation (Manga) Dog Days', '']",Dog Days,Dog Days,,,,,,['Isekai'],
16,星空へ架かる橋,A Bridge to the Starry Skies,['TV'],12,Finished Airing,"Apr 11, 2011 to Jun 27, 2011",['Spring 2011'],Mondays at 09:00 (JST),"['Dentsu', 'Sotsu', 'Marvelous Entertainment', 'Pony Canyon', 'feng', 'Jumondo']","None found,",['Doga Kobo'],Visual novel,"['Comedy', 'Romance', 'Ecchi']","['Harem', 'School']",25 min. per ep.,R+ - Mild Nudity,6.67,#6102,#1400,"181,698",356,91414,"Kazuma Hoshino is preparing himself for a new stage of his life as a teenager. Because of his brother Ayumu's weaker than average health, their parents thought it best for the family to move out from the city to a more rural environment. Now the two brothers are off to the Yorozuyo Inn where they’ll be staying until their parents can settle affairs back in the city and set up their new home. Their arrival to the inn doesn't go as planned though when they catch the wrong bus, wind up in the middle of nowhere, Ayumu gets his hat stolen by a wild monkey, and Kazuma gets lost in the woods trying to track the animal down. It all leads to a chance encounter with a spirited young girl named Ui, who Kazuma ends up accidentally falling onto and kissing while she tries leading him back to the bus stop. This hardly sits well with Ui’s friend Ibuki who swiftly kicks Kazuma and sends him on his way. Much to Kazuma's continued horror, his bad luck is perpetuated at the inn thanks to its landlady Senka and her slightly perverted sense of humor, and then finding out that two of his classmates are the girls he embarrassed himself in front of back in the woods! Hoshizora e Kakaru Hashi finds Kazuma adapting to his new school, dealing with the multiple women who have entered his life, providing emotional support for his younger brother, and coping with living with his new landlady. However, for some reason, something about this place is bringing whispers of the past into Kazuma's mind. Small flashes back to a more innocent time and a friendship long forgotten. What could this déjà vu mean?","['Sequel (Special) Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi', 'Adaptation (Manga) Hoshizora e Kakaru Hashi']",Hoshizora e Kakaru Hashi,Hoshizora e Kakaru Hashi,A Bridge to the Starry Skies,A Bridge to the Starry Skies (Hoshizora e Kakaru Hashi),A Bridge to the Starry Skies,,,,
17,アスタロッテのおもちゃ！,Astarotte's Toy,['TV'],12,Finished Airing,"Apr 11, 2011 to Jun 26, 2011",['Spring 2011'],Unknown,"['Kadokawa Shoten', 'Pony Canyon', 'DAX Production', 'KlockWorx', 'ASCII Media Works']","None found,",['Diomedéa'],['Manga'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai']",23 min. per ep.,PG-13 - Teens 13 or older,6.46,#7341,#1638,"150,959",241,70971,"Succubi, like the young princess Astarotte ""Lotte"" Ygvar, require the life seed from men to survive, replenish their magic, and continue the royal lineage of the magical realm. This means succubi are required to keep a harem of men close at hand. Ironically, Lotte despises men, which will put her life at risk once she matures. To convince her to fulfill her duties, one of her attendants, Judith Snorrevik, goes to the human realm to find a human male whom Lotte can tolerate. Judith returns with 23-year-old Naoya Touhara, a single father who unfortunately leaves his daughter, Asuha, behind in the human realm. As the first member of Lotte's harem, Naoya quickly adapts to this new environment, serving the princess to make her happy, rather than viewing her with sexual intent. Unfortunately, when his daughter is allowed to arrive in the magical realm, Naoya's relationship quickly worsens with Lotte. Even so, he strives to patch up their relationship. It soon becomes clear, however, that Naoya's presence in the magical realm is more than just mere coincidence. As he develops his bond with Lotte, fate begins to pull together the connections that tie him and everyone else within this enchanting world. [Written by MAL Rewrite]","['Adaptation (Manga) Rotte no Omocha!', '']",Astarotte no Omocha!,Lotte no Omocha!,,Astarotte's Toy,,['Seinen'],,,
18,聖痕のクェイサー II,The Qwaser of Stigmata II,['TV'],12,Finished Airing,"Apr 12, 2011 to Jun 28, 2011",['Spring 2011'],Tuesdays at 02:30 (JST),"None found,",['Sentai Filmworks'],['Hoods Entertainment'],['Manga'],"['Action', 'Ecchi']","['Gore', 'Harem', 'School', 'Super Power']",24 min. per ep.,R+ - Mild Nudity,6.29,#8302,#1715,"141,833",134,64330,"Sasha is partnered with Hana as his new Maria. They infiltrate an all-girls academy, forcing Sasha to crossdress, in search of a Qwaser-related artifact called the Magdalena of Thunder which has appeared in one of the students. However, they have some competition in their search of it. (Source: ANN)","['Prequel (TV) Seikon no Qwaser', 'Adaptation (Manga) Seikon no Qwaser']",Seikon no Qwaser II,,,,,['Seinen'],,,
19,トリコ,Toriko,['TV'],147,Finished Airing,"Apr 3, 2011 to Mar 30, 2014",['Spring 2011'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV', 'Shueisha']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1924,#1795,"134,188",876,52975,"Hamburgers that grow out of the ground like four-leaf clovers, mountain ranges carved out of ice cream, and warm servings of mac and cheese that stew deep within the stomachs of volcanoes fill the landscape. This world of delectable natural wonders has reached a prime age of exploration—the Gourmet Age! Citizens and chefs alike aspire to taste and prepare the finest dishes, while adventurers called ""Gourmet Hunters"" seek out delicious rare ingredients. Possessing a unique set of skills, the wild and passionate Gourmet Hunter Toriko is infamous for discovering 2% of all known ingredients. Together with his friend Komatsu—a highly skilled chef working at a five-star hotel—Toriko strives to complete his Full Course Menu of Life. But it isn’t going to be easy; in order to obtain the most delicious ingredients, Toriko must battle against obstacles like deadly monsters, evil organizations, and food itself! [Written by MAL Rewrite]","['Prequel (Movie) Toriko 3D: Kaimaku Gourmet Adventure!!', 'Adaptation (Manga) Toriko']",Toriko,"Toriko (2011), Toriko (TV), Toriko x One Piece Collabo Special",,,,['Shounen'],,,
