,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Synonyms,Genre,German,Spanish,Demographics,French
83,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4018,#7384,"8,008",77,2549,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",['Comedy'],,El Ninja Boy Rantaró,,
84,シャドウバースF（フレイム）,Shadowverse Flame,['TV'],50,Finished Airing,"Apr 2, 2022 to Mar 25, 2023",['Spring 2022'],Saturdays at 09:30 (JST),['Sonilude'],"None found,",['Zexcs'],Card game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.74,#5644,#7857,"6,860",36,1580,"Shadowverse Flame features a new protagonist Light Tenryu and its story is set in Shadowverse College, a facility that trains professional players of the Shadowverse game. Tenryu Light, a transfer student, decides to join ""Seventh Flame,"" one of the seven Shadowverse clubs. However, Seventh Flame is on the verge of closure due to a lack of members! In order to avoid the club's demise, Light decides to look for new members. But what awaits him are powerful rivals who control a wide variety of cards... (Source: Crunchyroll)","['Prequel (TV) Shadowverse', 'Sequel (TV) Shadowverse Flame: Seven Shadows-hen']",Shadowverse Flame,['Strategy Game'],Shadowverse F,['Fantasy'],,,,
85,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,['Shoujo'],23 min.,G - All Ages,7.34,#2631,#7918,"6,752",62,2175,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),['School'],Maruko-chan,['Comedy'],,Chibi Maruko-chan,,
86,遊☆戯☆王ゴーラッシュ!!,,['TV'],Unknown,Currently Airing,"Apr 3, 2022 to ?",['Spring 2022'],Sundays at 07:30 (JST),"['TV Tokyo', 'Konami', 'Shueisha']","None found,",['Bridge'],Card game,"['Action', 'Fantasy']",,,24 min.,PG-13 - Teens 13 or older,5.65,#11611,#7917,"6,752",52,1140,"After inheriting the company from their parents, siblings Yuuhi and Yuamu Oudou have started to work at Ultraterrestrial Trouble Solutions, an organization that hunts aliens. Although they have never encountered aliens before, Yuuhi is desperate to meet one as he believes that an alien has stolen his important item called the ""Earthdamar."" One day, while searching for extraterrestrial creatures, Yuuhi and Yuamu find a strange spot in the forest where many trees have fallen, forming a scenery similar to a crop circle. As they venture further, they discover a mysterious spaceship and enter it out of curiosity. To their surprise, they come across Yudias Velgear, an alien from the Velgear Star Cluster. As it turns out, Yudias is seeking to learn about Rush Duel—a card game popular among elementary school students—as he believes that it will save his home from a long war. With the siblings agreeing to teach Yudias about Rush Duel, they eventually realize that their first contact with an alien may not be a random coincidence. [Written by MAL Rewrite]","['Adaptation (Manga) Yu☆Gi☆Oh! Go Rush!!', '']",Yu☆Gi☆Oh! Go Rush!!,['Strategy Game'],Yuu Gi Ou: Go Rush!!,,,,,
87,ちいかわ,,['TV'],Unknown,Currently Airing,"Apr 4, 2022 to ?",['Spring 2022'],Fridays at 07:40 (JST),"None found,",['Sentai Filmworks'],['Doga Kobo'],['Web manga'],,,['Seinen'],1 min.,G - All Ages,7.60,#1586,#8298,"6,006",139,1495,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible. (Source: HIDIVE, edited)","['Adaptation (Manga) Chiikawa: Nanka Chiisakute Kawaii Yatsu', '']",Chiikawa,,,['Comedy'],,,,
88,メガトン級ムサシ,Megaton Musashi Season 2,['TV'],15,Finished Airing,"Oct 7, 2022 to Mar 17, 2023",['Fall 2022'],Fridays at 22:00 (JST),"None found,","None found,",['OLM'],Mixed media,"['Action', 'Sci-Fi']","['Mecha', 'School']",,27 min. per ep.,PG-13 - Teens 13 or older,6.55,#6759,#9038,"4,798",16,1369,Second season of Megaton-kyuu Musashi.,"['Prequel (TV) Megaton-kyuu Musashi', '']",Megaton-kyuu Musashi 2nd Season,,,,,,,
89,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6591,#9183,"4,599",31,1735,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,,
90,ぼのぼの,Bono Bono,['TV'],Unknown,Currently Airing,"Apr 2, 2016 to ?",['Spring 2016'],Saturdays at 04:52 (JST),"['Fuji TV', 'Glovision']","None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,5 min.,G - All Ages,6.37,#7891,#10230,"3,276",19,759,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more. Enjoy the easygoing days and minor misadventures of Bonobono and his friends! (Source: Fuji Creative)","['Adaptation (Manga) Bonobono', 'Adaptation (Manga) Bono-chan']",Bonobono (TV 2016),['Anthropomorphic'],,,Bono Bono,Bono Bono,,Bono Bono
91,ニンジャラ,,['TV'],Unknown,Currently Airing,"Jan 8, 2022 to ?",['Winter 2022'],Saturdays at 07:00 (JST),['TV Tokyo'],['Sentai Filmworks'],['OLM'],Game,,,,23 min.,PG - Children,5.57,#11917,#10494,"3,040",24,424,"The year is 20XX. The ninja, who once forged the history of Japan, were scattered across the country during the Meiji Restoration. As these ninja mingled with the other clans, their bloodline thinned, and they gradually faded from sight. The descendants of these ninja clans, seeking to preserve their heritage, formed the WNA (World Ninja Association) in the hope of carrying on their legacy. And so it was that the WNA succeeded in developing Ninja-Gum, an art which could summon forth the strength of the Shinobi. And yet creating the most powerful Ninja-Gum requires the strongest of ninja DNA. So it was that the Ninjala Tournament was held, that the mightiest of all ninjas could be found... (Source: Official Game website)","['Adaptation (Manga) Ninjala', '']",Ninjala (TV),,,['Action'],,,,
92,妖怪ウォッチ♪,,['TV'],98,Finished Airing,"Apr 9, 2021 to Mar 31, 2023",['Spring 2021'],Fridays at 18:25 (JST),"None found,","None found,",['OLM'],Game,"['Comedy', 'Supernatural']",,['Kids'],24 min. per ep.,G - All Ages,6.47,#7254,#10756,"2,816",28,767,"The new show will feature unique and returning Yo-kai. The comedy will also center on the original series' main characters: fifth-grader Keita (Nate in the English version), ghost butler Whisper, and popular Yo-kai like Jibanyan and Komasan. The original cast members for these four characters are returning for this new series. (Source: ANN)","['Prequel (TV) Youkai Watch!', '']",Youkai Watch ♪,['Mythology'],,,,,,
93,しかるねこ,,['TV'],Unknown,Currently Airing,"Mar 22, 2021 to ?",['Spring 2021'],Unknown,"None found,","None found,","None found,",['Manga'],,,,30 sec.,G - All Ages,[],#14192,#11244,"2,433",17,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Shikaru Neko', '']",Shikaru Neko,,,['Slice of Life'],,,,
94,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7761,#11546,"2,223",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,,
95,ふしぎ駄菓子屋 銭天堂,,['TV'],Unknown,Currently Airing,"Sep 8, 2020 to ?",['Fall 2020'],Tuesdays at 18:45 (JST),"None found,","None found,","['Toei Animation', 'Gallop', 'Kanaban Graphics']",Novel,,,['Kids'],10 min.,G - All Ages,6.03,#9764,#11791,"2,061",5,203,"Zenitendo is a mysterious candy store that only lucky people can reach. All the candy recommended by Beniko, the owner of the store, is perfectly suited to the buyer's troubles. However, it depends on whether the candy will be used or eaten correctly that it can bring happiness or misfortune. (Source: MAL News)","['Prequel (Movie) Fushigi Dagashiya: Zenitendou Movie - Tsuri Taiyaki', '']",Fushigi Dagashiya: Zenitendou,,,['Mystery'],,,,
96,パズドラ,Puzzle & Dragon,['TV'],Unknown,Currently Airing,"Apr 2, 2018 to ?",['Spring 2018'],Mondays at 18:25 (JST),['Akatsuki'],"None found,",['Pierrot'],Game,,,['Kids'],24 min.,PG - Children,5.84,#10756,#12377,"1,701",6,147,"The story is set in modern day Japan following the growth of the protagonist Taiga Akashi, an elementary school kid who wants to be a professional gamer someday. (Source: Crunchyroll)",[],Puzzle & Dragon,['Strategy Game'],PazuDora,,,,,
97,とむとじぇりーごっこ,Tom and Jerry,['TV'],Unknown,Currently Airing,"Nov 11, 2022 to ?",['Fall 2022'],Unknown,['Warner Bros. Japan'],"None found,","['Fanworks', 'Studio Nanahoshi']",Other,,,['Kids'],1 min.,G - All Ages,6.36,#7952,#13113,"1,354",2,517,"To celebrate ""Cheese Day,"" (November 11 in Japan), Cartoon Network Japan aired an anime spin on Tom and Jerry that combines the fast-paced humor of the original with a cute, ""pop"" worldview. The pair are joined by the diaper-wearing Tuffy Mouse, another recurring character from the classic cartoon. (Source: Crunchyroll)",[],Tom to Jerry Gokko,,Tom and Jerry Play,['Comedy'],,,,
98,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,['TV'],Unknown,Currently Airing,"Nov 16, 2012 to ?",['Fall 2012'],Not scheduled once per week,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,,2 min.,G - All Ages,[],#16806,#13287,"1,296",0,,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.","['Prequel (Movie) Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?', '']",Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,Kamiusagi Rope 4,,,,,
99,キャップ革命 ボトルマンDX,Cap Revolution Bottleman DX,['TV'],51,Finished Airing,"Apr 3, 2022 to Mar 26, 2023",['Spring 2022'],Sundays at 09:30 (JST),"None found,","None found,",['Gaina'],Game,,,['Kids'],12 min. per ep.,G - All Ages,6.15,#9088,#14119,"1,038",8,185,Second season of Cap Kakumei Bottleman.,[],Cap Kakumei Bottleman DX,['Strategy Game'],,['Action'],,,,
100,まめきちまめこニートの日常,Mameko Mamekichi's NEET Everyday Life,['TV'],48,Finished Airing,"Oct 3, 2022 to Apr 3, 2023",['Fall 2022'],Not scheduled once per week,"None found,","None found,",['Tezuka Productions'],['Web manga'],,,,1 min. per ep.,PG-13 - Teens 13 or older,[],#17503,#14250,"1,003",3,,"Mameko is a NEET (Not in Education, Employment, or Training). She lives with her dog Komachi and her cats Tabi, Simba, and Melo. Mameko promises God that she will do her best from tomorrow, but the next day she says, ""God is telling me to sleep..."" and loses to herself. This is the story of Mameko's everyday life, which seems to be nothing and is somewhat strange. (Source: Official Site)","['Sequel (TV) Mamekichi Mameko NEET no Nichijou 2nd Season', '']",Mamekichi Mameko NEET no Nichijou,,,['Comedy'],,,,
101,はなかっぱ,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,['Kids'],10 min.,PG - Children,6.00,#9923,#14248,"1,002",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,,Hana Kappa,['Comedy'],,,,
102,しあわせ配達おみくじタネコ,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,,Unknown,None,[],#14179,#14321,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,,['Comedy'],,,,
103,デュエル・マスターズWIN,,['TV'],29,Finished Airing,"Sep 4, 2022 to Mar 26, 2023",['Fall 2022'],Sundays at 08:30 (JST),"None found,","None found,","[""Brain's Base"", 'Shogakukan Music & Digital Entertainment']",Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],25 min. per ep.,G - All Ages,[],#20451,#14305,985,3,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Duel Masters King Max', 'Sequel (TV) Duel Masters Win: Duel Wars-hen', 'Adaptation (Manga) Duel Masters Win', '']",Duel Masters Win,,,,,,,
104,宇宙なんちゃらこてつくん,Space Academy,['TV'],64,Finished Airing,"Apr 7, 2021 to Feb 23, 2023",['Spring 2021'],Thursdays at 18:40 (JST),"None found,","None found,",['Fanworks'],['Web manga'],"['Comedy', 'Sci-Fi']",,,9 min. per ep.,G - All Ages,[],#15092,#14759,873,3,,"It follows the daily life of Kotetsu-kun, who aspires to be an astronaut, and friends at the Animal Space Academy as they all pursue their dreams. (Source: ANN)",[],Uchuu Nanchara Kotetsu-kun,['Space'],,,,,,
105,しまじろうのわお!,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],8 min.,G - All Ages,[],#14211,#15582,687,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,,,,,
106,マヌ～ルのゆうべ,,['TV'],Unknown,Currently Airing,"Nov 11, 2018 to ?",['Fall 2018'],Sundays at Unknown,['NHK'],"None found,","None found,",['Web manga'],,,,1 min.,PG-13 - Teens 13 or older,[],#17534,#15791,654,1,,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).",[],Manul no Yuube,,,['Slice of Life'],,,,
107,ぷにるんず,,['TV'],25,Finished Airing,"Oct 2, 2022 to Mar 26, 2023",['Fall 2022'],Sundays at 09:45 (JST),"None found,","None found,",['OLM Digital'],Original,"['Fantasy', 'Slice of Life']",,['Kids'],12 min. per ep.,PG - Children,5.90,#10470,#15884,639,2,148,"The anime follows the daily life of PuniRunes—mysterious creatures who love to be coddled—and Yuka, a fourth-grade girl who loves soft, squishy things. (Source: ANN, edited)","['Sequel (TV) Punirunes: Puni 2', '']",Punirunes,,,,,,,
108,ごはんかいじゅうパップ,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,['Kids'],30 sec.,G - All Ages,[],#20832,#16419,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,,Rice Monster Pap,,,,,
109,よわむしモンスターズ,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,['Kids'],1 min.,PG - Children,[],#16116,#16758,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,,Yowamon,,,,,
110,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",['Kids'],5 min. per ep.,PG - Children,[],#20492,#17163,487,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,['Horror'],,,,
111,オトッペ,,['TV'],265,Finished Airing,"Apr 3, 2017 to Mar 31, 2023",['Spring 2017'],Mondays at 08:40 (JST),['NHK'],"None found,","None found,",Original,,,['Kids'],3 min. per ep.,G - All Ages,[],#18428,#17783,433,0,,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.",[],Otoppe,['Music'],,['Fantasy'],,,,
112,おばけずかん！,,['TV'],13,Finished Airing,"Oct 5, 2022 to Mar 29, 2023",['Fall 2022'],Wednesdays at 07:20 (JST),"None found,","None found,",['Fanworks'],Picture book,"['Comedy', 'Fantasy', 'Supernatural']",,['Kids'],2 min. per ep.,PG - Children,[],#18289,#17786,433,0,,Second Season of Obake Zukan.,"['Prequel (TV) Obake Zukan', '']",Obake Zukan!,['Mythology'],Obake Zukan 2nd Season,,,,,
113,チキップダンサーズ,,['TV'],26,Finished Airing,"Sep 27, 2022 to Mar 28, 2023",['Fall 2022'],Tuesdays at 08:45 (JST),"None found,","None found,",['Fanworks'],Other,,,,5 min. per ep.,G - All Ages,[],#19909,#17943,422,2,,Second season of Chickip Dancers.,"['Prequel (TV) Chickip Dancers', 'Sequel (TV) Chickip Dancers 3rd Season']",Chickip Dancers 2nd Season,,,['Slice of Life'],,,,
114,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,['Kids'],1 min.,G - All Ages,[],#18456,#18293,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,,,,
115,新ニッポンヒストリー,,['TV'],Unknown,Currently Airing,"Jan 6, 2020 to ?",['Winter 2020'],Mondays at 01:00 (JST),"None found,","None found,","None found,",Original,,,,23 min.,G - All Ages,[],#14234,#18531,377,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shin Nippon History,['Historical'],"Shin Nippon History: Minna ga Shiranai, Atarashii Nihon no Rekishi.",['Comedy'],,,,
116,おりがみにんじゃ コーヤン＠きんてれ,,['TV'],Unknown,Currently Airing,"Apr 7, 2020 to ?",['Spring 2020'],Tuesdays at 07:30 (JST),['TV Tokyo'],"None found,",['Directions'],Unknown,,,['Kids'],Unknown,PG - Children,[],#18387,#18666,366,0,,"Koyan, the Origami Ninja, came to Earth from his planet Origamio to find the magical stone ""Hapiton"" that has the ability to make people happy. On the way, he was joined by childhood friend Namin anda new friend Lublin. One day, a villain called Evilrun appeared. Evilrun has a black hole in her stomach and tries to inhale anything. Every time an event happens, Evilrun gets in the way of Koyan and friends. But what Evilrun's aim is remains a mystery...",[],Origami Ninja Koyankinte,,Happy Smile ♡ Dream,['Comedy'],,,,
117,マッドトイチャッティ,,['TV'],50,Finished Airing,"Apr 20, 2022 to Apr 26, 2023",['Spring 2022'],Wednesdays at 02:34 (JST),['CHANCE iN'],"None found,",['Kachidoki Studio'],Original,,,,1 min. per ep.,G - All Ages,[],#17455,#19206,330,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Madtoy Chatty,,,['Comedy'],,,,
118,알쏭달쏭 캐치! 티니핑,Secret Catch! Teenieping,['TV'],26,Finished Airing,"Sep 14, 2022 to Mar 8, 2023",['Fall 2022'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,"['Mahou Shoujo', 'School']",,11 min. per ep.,PG - Children,[],#19177,#19768,296,1,,Secret Key teeniepings appear in Harmony Town! And there’s a mysterious secret teenieping too! Will Romi and the new Royal teeniepings be able to catch all the Key Teeniepings scattered in Harmony Town and reveal the identity of the mysterious secret Teenieping? (Source: Official Site),"['Prequel (TV) Banjjagbanjjag Catch! Tiniping', 'Sequel (TV) Saekomdalkom Catch! Tiniping']",Alssongdalssong Catch! Tiniping,,,['Fantasy'],,,,
119,アイラブみー,,['TV'],Unknown,Currently Airing,"Oct 23, 2022 to ?",['Fall 2022'],Unknown,['NHK'],"None found,",['Oddjob'],Original,,,['Kids'],10 min.,G - All Ages,[],#21441,#19855,290,0,,The second season of I Love Me.,"['Prequel (TV) I Love Me', '']",I Love Me 2nd Season,,,,,,,
120,ようこそ認知症世界へ,,['TV'],Unknown,Currently Airing,"Aug 14, 2022 to ?",['Summer 2022'],Unknown,['NHK'],"None found,","None found,",Original,"['Adventure', 'Slice of Life']",,,5 min.,G - All Ages,[],#16103,#20747,242,0,,"Travel through the words of people with dementia by seeing how they experience the everyday and problems they face. (Source: Official site, translated)",[],Youkoso Ninchishou Sekai e,['Educational'],,,,,,
121,むかしばなしのおへや　〜伝えたい日本昔話〜,,['TV'],Unknown,Currently Airing,"Jun 14, 2020 to ?",['Summer 2020'],Not scheduled once per week,['BS-TBS'],"None found,",['Oddjob'],Other,,,['Kids'],18 min.,G - All Ages,[],#17989,#21874,179,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,,,['Fantasy'],,,,
122,메카드볼 메가,,['TV'],26,Finished Airing,"Nov 5, 2022 to May 6, 2023",['Fall 2022'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing', 'Strategy Game']",['Kids'],13 min. per ep.,PG - Children,[],#17614,#22888,139,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Mecard Ball', '']",Mecard Ball Mega,,,['Action'],,,,
123,헬로 카봇 시즌12,,['TV'],39,Finished Airing,"Apr 3, 2022 to Mar 26, 2023",['Spring 2022'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing']",['Kids'],11 min. per ep.,PG - Children,[],#21125,#23106,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 11', 'Sequel (TV) Hello Carbot Season 13']",Hello Carbot Season 12,,Hello Carbot: Boom Bar,['Action'],,,,
124,미니특공대 브이레인저스,Miniforce V Rangers,['TV'],26,Finished Airing,"Sep 1, 2022 to Feb 23, 2023",['Fall 2022'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,"['Anthropomorphic', 'Mecha']",['Kids'],11 min. per ep.,PG - Children,[],#17798,#23263,127,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Miniforce V Rangers,,,['Action'],,,,
125,좀비덤 3,ZombieDumb 3,['TV'],17,Finished Airing,"Oct 27, 2022 to Mar 23, 2023",['Fall 2022'],Unknown,"None found,","None found,",['ANYZAC'],Original,"['Comedy', 'Supernatural']",,['Kids'],13 min. per ep.,PG - Children,[],#16391,#23556,120,0,,The third season of Zombie Dumb.,"['Prequel (TV) Zombie Dumb 2', '']",Zombie Dumb 3,,,,,,,
126,終末のワルキューレII,Record of Ragnarok II,['ONA'],10,Finished Airing,"Jan 26, 2023",,,"['Mainichi Broadcasting System', 'Warner Bros. Japan', 'KlockWorx', 'Coamix', 'Sammy']","None found,","['Yumeta Company', 'Graphinica']",['Manga'],"['Action', 'Drama', 'Fantasy']","['Gore', 'Mythology']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),7.49,#1983,#1785,"134,783",447,76935,"In a shocking turn of events, humanity has won its first battle in the Ragnarök tournament—a series of 13 fights that will decide the fate of mankind. Zeus, the head of gods, sends the demigod Heracles for the next round to avenge the humiliated Greek pantheon. To face this hero loved by gods and humans alike, the Valkyrie Brunhilde decides to use Heracles' complete moral opposite: the infamous serial killer Jack the Ripper—leaving human beings unsure who they should support. Meanwhile, tensions begin to rise between various divine pantheons, and rumors of a traitor jeopardize the unity of those who want to annihilate humanity. As the line between friend and foe becomes blurred, Brunhilde will do everything she can to make her machinations successful. [Written by MAL Rewrite]","['Prequel (ONA) Shuumatsu no Walküre', 'Sequel (ONA) Shuumatsu no Walküre II Part 2', 'Adaptation (Manga) Shuumatsu no Walküre', '']",Shuumatsu no Walküre II,,"Shuumatsu no Walküre 2nd Season, Record of Ragnarok 2nd Season, Shuumatsu no Valkyrie, Valkyrie of the End",,,,,
127,極主夫道,The Way of the Househusband Season 2,['ONA'],5,Finished Airing,"Jan 1, 2023",,,['Netflix'],"None found,",['J.C.Staff'],['Web manga'],,"['Adult Cast', 'Gag Humor', 'Organized Crime']",,17 min. per ep.,PG-13 - Teens 13 or older,7.57,#1698,#2424,"86,795",118,43537,"With a wicked scar on his face, a terrifying gaze, and an apron adorned with a teddy bear, ex-yakuza member Tatsu proudly assumes the role of a full-time househusband. Already familiar with the regular challenges of grocery shopping, Tatsu now takes it to the next level by joining a women's organization—but acceptance is not easily achieved without first mastering the elegance of flower arranging and housekeeping. Approaching homemaking ventures through the lens of his former occupation, Tatsu faces haiku battles, typhoon alerts, and cosplaying villains. For his dearest wife Miku, Tatsu will do anything, even if he is interrupted by his old acquaintances, whose former vigor has also yet to subside. Never faltering before a new challenge, Tatsu's tranquil days as a househusband are proving to be just as hectic as before. [Written by MAL Rewrite]","['Prequel (ONA) Gokushufudou Part 2', 'Adaptation (Manga) Gokushufudou']",Gokushufudou Season 2,,,['Comedy'],,,,
