,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Genre,German,Spanish,French,Demographics
32,Kami Kuzu Idol,神クズ☆アイドル,Phantom of the Idol,['TV'],10,Finished Airing,"Jul 2, 2022 to Sep 3, 2022",['Summer 2022'],Saturdays at 01:53 (JST),"['TV Tokyo', 'Sotsu', 'AT-X', 'TV Tokyo Music', 'Avex Pictures', 'BS11', 'Nippon Television Music', 'Contents Seed', 'Ichijinsha', 'Bit grooove promotion']",['Sentai Filmworks'],['Studio Gokumi'],['Manga'],"['Comedy', 'Supernatural']","['Idols (Female)', 'Idols (Male)', 'Music']",23 min. per ep.,PG-13 - Teens 13 or older,6.75,#5614,#4606,"25,946",53,8833,"Kazuki Yoshino and Yuuya Niyodo are idols who make up the duo ZINGS. While Kazuki gives his all in every performance, Yuuya views the job as just another means of making money. Yuuya's apathetic attitude toward the fans and inability to take his job seriously causes his manager to give him an ultimatum: unless he starts putting in more effort, he will be fired. Backstage, Yuuya meets Asahi Mogami, an idol dressed in a colorful costume. Asahi would have had a bright future ahead of her—had she not died a year prior. Even as a ghost, Asahi wants nothing more than to perform for fans again. When she finds out that Yuuya does not hold the same passion for the idol life that she once did, she is overcome by a fit of rage and demands that he let her take his place. In a strange twist, Yuuya wakes up to find that Asahi has possessed him and can do what he is too lazy to do himself. With Asahi performing for him, Yuuya thinks he has a ticket to an easy idol life. However, Asahi has other plans. Though she is no longer alive, she wishes for Yuuya to find the ambition that she still has. Together, she wants them to become the best idol the world has ever seen. But can an unmotivated man like Yuuya ever care about anything besides money? [Written by MAL Rewrite]","['Adaptation (Manga) Kami Kuzu☆Idol', '']",Kami Kuzu☆Idol,,['Josei'],,,,,
33,"Allied Air Force Magical Idols Luminous Witches, Idol Witches, Ongakutai Witches",連盟空軍航空魔法音楽隊 ルミナスウィッチーズ,League of Nations Air Force Aviation Magic Band Luminous Witches,['TV'],12,Finished Airing,"Jul 3, 2022 to Sep 25, 2022",['Summer 2022'],Sundays at 21:00 (JST),"['AT-X', 'Docomo Anime Store', 'Sammy', 'TV Aichi', 'Kadokawa Media House', 'DeNA', 'Production Ace', 'BS NTV', 'Kadokawa']",['Sentai Filmworks'],['Shaft'],Original,,"['Idols (Female)', 'Military', 'Music']",24 min. per ep.,PG-13 - Teens 13 or older,6.68,#6062,#4663,"25,200",70,5773,"As the united world fights for its freedom against the alien forces known as the Neuroi, human girls with magical abilities—called witches—continue to battle. With the persisting conflict affecting morale, Grace Maitland Steward, a retired witch who still serves in the army, presents a plan advocating the power of music as an invaluable support that can change the tides of war. Unfortunately, her proposal is written off, prompting Grace to find a way to prove the potential of her idea to her superiors. She enlists the help of Aila Paivikki Linnamaa and Eleonore Giovanna Gassion—two witches who have already seen some success as singers—to recruit other witches and form the League of Nations Air Force's Music Squadron. The campaign manages to produce seven promising candidates. Among them, 14-year-old Virginia Robertson, despite having no military experience whatsoever, seems to possess an ability too significant to ignore. [Written by MAL Rewrite]",[],Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,,,['Sci-Fi'],,,,
34,,てっぺんっ!!!!!!!!!!!!!!!,Teppen—!!!!!!!!!!!!!!! Laughing 'til You Cry,['TV'],12,Finished Airing,"Jul 2, 2022 to Sep 24, 2022",['Summer 2022'],Saturdays at 22:30 (JST),"['DAX Production', 'Tokyo MX', 'CyberAgent', 'Epicross', 'Bushiroad Move', 'Bushiroad Creative']","None found,",['Drive'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,6.61,#6439,#5074,"20,637",41,6611,"The Teppen Grand Prix is a competition established out of an appreciation for stand-up comedy. As devoted fans of such performances, Yayoi Sakamoto and her two friends—Yomogi Takahashi and Yuzu Hosono—form the stand-up trio Young Wai-Wai. After qualifying for the final round in the prix, the three go up against other comedic trios, but only one group can emerge victorious. With participants housed in a famous dorm where many comedians before them have lodged, the contestants' time living at the establishment will give them a chance to prove they have what it takes to make their audience laugh until they cry! [Written by MAL Rewrite]","['Adaptation (Manga) Teppen!!!', '']",Teppen!!!!!!!!!!!!!!!,['School'],,['Comedy'],,,,
35,You0 DECO,ユーレイデコ,Yurei Deco,['TV'],12,Finished Airing,"Jul 3, 2022 to Sep 18, 2022",['Summer 2022'],Sundays at 23:00 (JST),"['Crunchyroll', 'NetEase', 'Bandai Namco Filmworks']","None found,",['Science SARU'],Original,,,23 min. per ep.,PG-13 - Teens 13 or older,6.03,#9802,#5123,"20,122",43,6934,"In the cyber city Tom Sawyer, society revolves around earning ""Love,"" akin to receiving likes on social media. Citizens of this augmented reality exchange Love for public services and appearance-changing avatars via the Decoration Customizer, also known as ""Deco,"" a hologram device implanted in an individual's eyes from early childhood. Under the government's careful management, the people of Tom Sawyer live a peaceful existence, outside the occasional appearance of Phantom Zero, a mysterious criminal who brings all Love to zero within their vicinity. Berry, a mischievous girl fascinated by Phantom Zero, lives comfortably in the system of Tom Sawyer until her Deco malfunctions, enabling her to see a camouflaged prankster named Hack. Believing Hack to be Phantom Zero, Berry chases after the suspect and, in the process, begins to uncover society's most well-kept secrets. As it turns out, Hack is not the only person living outside the system's rules—and the vibrant colors of Tom Sawyer hide a darker nature. [Written by MAL Rewrite]",[],Yuurei Deco,,,['Sci-Fi'],,,,
36,,シュート! Goal to the Future,Shoot! Goal to the Future,['TV'],13,Finished Airing,"Jul 2, 2022 to Sep 24, 2022",['Summer 2022'],Saturdays at 23:30 (JST),"['AT-X', 'BS Fuji', 'Being', 'Amusement Media Academy', 'Crunchyroll', 'Yomiuri TV Enterprise', 'NTT Plala', 'Production Ace', 'BS NTV', 'MAGNET', 'HoriPro International']","None found,","['Magic Bus', 'EMT Squared']",['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,5.28,#12732,#5410,"17,498",77,5691,"Atsushi Kamiya is a former captain at Kakegawa High School and the world-renowned ""courageous captain"" for a famous Italian soccer team. Hideto Tsuji is a student at the same school, who seems uninterested in the now-weakened soccer team. Their meeting is the start of a new legend... (Source: Official Site, edited)","['Prequel (Movie) Aoki Densetsu Shoot! (Movie)', 'Adaptation (Manga) Shoot!']",Shoot! Goal to the Future,['Team Sports'],['Shounen'],['Sports'],,,,
37,,新テニスの王子様 U-17 WORLD CUP,The Prince of Tennis II: U-17 World Cup,['TV'],13,Finished Airing,"Jul 7, 2022 to Sep 29, 2022",['Summer 2022'],Thursdays at 00:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems', 'Marvelous AQL', 'Shueisha', 'Jinnan Studio', 'Bandai Namco Filmworks']","None found,","['M.S.C', 'Studio Kai']",['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,6.77,#5471,#5484,"16,843",128,5406,"With the arrival of the U-17 World Cup, youth tennis teams from all around the world gather in Melbourne, Australia to determine which is the best. With nine-time champion Germany vying to defend their title once more, and powerhouse nations—Switzerland, France, and the United States—determined to make things interesting, the road to victory is perilous. Although Japan is sitting at the bottom of the rankings, the addition of the nation's strongest middle school players has reinvigorated their chances at winning. Captained by the ruthless Houou Byoudouin, Japan is ready to show the world what they are capable of. However, before the real competition starts, the teams will have a chance to prove their strength through exhibition matches. As luck would have it, Japan is slated to face off against defending champion Germany—a match they are likely to lose. To make matters worse, old allies have suddenly reappeared as sworn enemies. Before Team Japan crumbles under the pressure of the international stage, they must rise from the ashes and claim the title for themselves. [Written by MAL Rewrite]","['Prequel (OVA) Shin Tennis no Oujisama vs. Genius 10', 'Sequel (TV) Shin Tennis no Oujisama: U-17 World Cup Semifinal', 'Adaptation (Manga) Shin Tennis no Oujisama', '']",Shin Tennis no Oujisama: U-17 World Cup,['School'],['Shounen'],['Sports'],,,,
38,Zutto Neko Shoshinsha,夜は猫といっしょ,Nights with a Cat,['TV'],30,Finished Airing,"Aug 4, 2022 to Jan 11, 2023",['Summer 2022'],Thursdays at 01:00 (JST),['Kadokawa'],"None found,",['Studio PuYUKAI'],['Web manga'],,,2 min. per ep.,G - All Ages,7.19,#3407,#5717,"15,154",107,4679,"Fuuta-kun has never owned a cat before, but his younger sister, Pii-chan, moves into his house with the round gray cat Kyuruga. Inexperienced with cats, Fuuta-kun has no idea what to expect, and each night after he returns home is marked by odd and endearing surprises from his new pet. [Written by MAL Rewrite]","['Sequel (ONA) Yoru wa Neko to Issho Season 2', 'Adaptation (Manga) Yoru wa Neko to Issho']",Yoru wa Neko to Issho,['Pets'],,['Comedy'],,,,
39,,Extreme Hearts（エクストリームハーツ）,,['TV'],12,Finished Airing,"Jul 10, 2022 to Sep 25, 2022",['Summer 2022'],Sundays at 01:30 (JST),"['TBS', 'King Records']","None found,",['Seven Arcs'],Original,"['Sci-Fi', 'Sports']","['Idols (Female)', 'Music', 'Team Sports']",24 min. per ep.,PG-13 - Teens 13 or older,6.53,#6894,#6062,"12,968",33,4658,"Hiyori Hayama is an aspiring singer who moved to Tokyo to make her debut. She has always loved singing and hopes to stand on stage like her favorite artist. Unfortunately, the entertainment industry is not all fun and games, as she fails her auditions one after another and struggles to sell her songs. Finding herself still standing at the start line, Hiyori pursues her only opportunity to take the next step forward—partaking in Extreme Hearts. The popular event is a Hyper Sports tournament where participants compete in various sports using ability-enhancing gear for a chance to make their big break. Despite being athletic, however, Hiyori's lack of familiarity with Hyper Sports poses a problem for her. Fortunately, she befriends girls experienced in different sports, and they join the tournament alongside Hiyori, hoping to see her rise to the top. Now playing under Team RISE, Hiyori and her teammates learn about the unspoken rule of Extreme Hearts—all competitors must be entertainers or aspire to be one. For the members of Team RISE, facing the competition head-on is an inspiring endeavor that paves the way to discovering newfound interests and everlasting friendships. [Written by MAL Rewrite]",[],Extreme Hearts,,,,,,,
40,,むさしの！,Musasi-no,['TV'],12,Finished Airing,"Jul 2, 2022 to Sep 17, 2022",['Summer 2022'],Saturdays at 23:30 (JST),['Harappa'],"None found,",['A-Real'],Original,,,3 min. per ep.,PG - Children,4.66,#13539,#6562,"10,668",14,1977,Sequel series to Urawa no Usagi-chan.,"['Prequel (TV) Urawa no Usagi-chan', 'Prequel (Special) Urawa no Usagi-chan: Natsu no Hi to, Bushitsu to, Tomodachi to']",Musashino!,['School'],,['Comedy'],,,,
41,,KJ FILE (KJファイル),KJ File,['TV'],13,Finished Airing,"Jul 11, 2022 to Oct 3, 2022",['Summer 2022'],Mondays at 03:05 (JST),['TV Tokyo'],"None found,","['ILCA', 'yell']",Original,"['Action', 'Sci-Fi']",,4 min. per ep.,PG-13 - Teens 13 or older,4.64,#13553,#7279,"8,339",68,492,The story is set in a world where unique kaijuus suddenly begin to appear in various places around the world. Members of the United Nations Monster Observatory will explore a world where kaijuus with great powers and humankind live together. (Source: MAL News),"['Sequel (TV) KJ File 2nd Season', '']",KJ File,,,,,,,
42,"Cardfight!! Vanguard: overDress Season 3, Cardfight!! Vanguard: Over Dress",カードファイト!! ヴァンガード will+Dress,Cardfight!! Vanguard: will+Dress,['TV'],13,Finished Airing,"Jul 5, 2022 to Sep 27, 2022",['Summer 2022'],Tuesdays at 00:00 (JST),['Bushiroad'],['Sentai Filmworks'],"['Kinema Citrus', 'GIFTanimation', 'Studio Jemi']",Original,,,24 min. per ep.,PG-13 - Teens 13 or older,6.86,#5027,#7713,"7,182",40,2123,"Four months after the battle at Nagoya Castle, Yu-yu and friends received an invitation to a tournament. That ""Deluxe"" tournament aims to determine the strongest fighter, bringing together both ""Front Fighters"" who are active in official tournaments, and hidden powerhouse ""Counter Fighters"" like ""Blackout"" that compete against each other for flags. The existing characters from overDress will be competing with new characters from will+Dress such as Raika, Michiru, and Urara, to become the strongest of them all! (Source: Official Site)","['Prequel (TV) Cardfight!! Vanguard: overDress Season 2', 'Sequel (TV) Cardfight!! Vanguard: will+Dress Season 2']",Cardfight!! Vanguard: will+Dress,['Strategy Game'],,['Action'],,,,
43,,ハナビちゃんは遅れがち,Hanabi-chan: The Girl Who Popped Out of the Game World,['TV'],12,Finished Airing,"Jul 10, 2022 to Sep 25, 2022",['Summer 2022'],Sundays at 21:55 (JST),"None found,","None found,",['Gaina'],['Manga'],,,4 min. per ep.,PG-13 - Teens 13 or older,6.13,#9252,#8639,"5,464",13,2339,"Recent college graduate Musashi Shinonome is visiting the Shitamachi God Heaven pachinko hall after inheriting it from his late grandfather. Inside, he stumbles upon a girl sleeping in a futon, who wakes up upon his arrival. She introduces herself as Hanabi Hana Ariake: a self-proclaimed perfected pachislot machine that has turned into a human. To prove this, she demonstrates her ability to transform and shoot fireworks out of her body. Over the following days, Musashi meets two of Ariake's human pachislot machine sisters—the energetic Versus Ikusa Takanawa and the loving Thunder Rai Nihonbashi. Now, Musashi and the dynamic trio must work together to make the grand reopening of Shitamachi God Heaven a success. [Written by MAL Rewrite]",[],Hanabi-chan wa Okuregachi,,,['Comedy'],,,,
44,,ななし怪談,,['TV'],10,Finished Airing,"Aug 8, 2022 to Aug 19, 2022",['Summer 2022'],Not scheduled once per week,"['Shogakukan-Shueisha Productions', 'Tokyo Animator Gakuin']","None found,","None found,",Original,,,3 min. per ep.,G - All Ages,5.51,#12092,#8699,"5,373",51,269,"The collection of horror short stories center on those uneasy feelings of ""something out there"" that children sense in their lives. (Source: ANN)","['Sequel (TV) Nanashi Kaidan 2nd Season', '']",Nanashi Kaidan,,,['Horror'],,,,
45,,ちみも,Chimimo,['TV'],12,Finished Airing,"Jul 8, 2022 to Sep 23, 2022",['Summer 2022'],Fridays at 01:30 (JST),"['Shochiku', 'Studio Mausu', 'ensky', 'Shueisha', ""Toy's Factory"", 'Marui Group', 'ADK Emotions', 'BS Asahi', 'TV Tokyo Communications']",['Sentai Filmworks'],['Shin-Ei Animation'],Original,,,24 min. per ep.,G - All Ages,6.91,#4799,#9494,"4,143",24,1309,"In her house, Mei Onigami discovers a strange round creature that only says ""chimi."" Her sisters, Mutsumi and Hazuki, agree to let the being stay with them until its owner comes to claim it. However, as soon as one of them utters the word ""hell,"" more creatures show up until there are 12 in total. The sisters think nothing of this until the critters create a portal that summons an envoy from Hell. Jabberwock the Eighth, a horned and fanged man covered in fur, has come to unleash a living hell on earth under orders from his boss. However, when living in the human realm proves to be challenging, the Onigami sisters allow him to stay with them. They also take in his ""Chimimoryo spirits""—the round demons that preceded his arrival. Called Jigoku-san by the Onigami sisters, this messenger from Hell has a lot of work cut out for him if he wants to take over the world. But before that, he will have to survive the everyday hells of human life. [Written by MAL Rewrite]",[],Chimimo,['Mythology'],,['Comedy'],,,,
46,The 500 Million Yen Button,5億年ボタン,,['TV'],12,Finished Airing,"Jul 15, 2022 to Sep 30, 2022",['Summer 2022'],Fridays at 00:30 (JST),"None found,","None found,",['Studio Sota'],Other,"['Comedy', 'Sci-Fi']",,21 min. per ep.,PG-13 - Teens 13 or older,6.15,#9081,#14398,958,2,191,"The story centers on a button that grants a million yen to whomever pushes it, with the condition that they must spend 500 million years alone in an empty space. However, at the end of the 500 million years, the person's loses that memory and returns to the point in time when they pushed the button. A person with this button appears in front of 5-year-old Tonio, 14-year-old Jaibi, and 17-year-old Suneko - three siblings who need money to pay for their father's hospital treatment. (Source: Anime News Network)","['Sequel (TV Special) 5-Okunen Button (TV Special)', '']",5-Okunen Button,,,,,,,
47,Iii Icecrin 2,iiiあいすくりん2（あいあいあい あいすくりん ダブル）,,['TV'],12,Finished Airing,"Jul 2, 2022 to Sep 17, 2022",['Summer 2022'],Saturdays at 07:00 (JST),"None found,","None found,","['Shin-Ei Animation', 'Toho Interactive Animation']",Original,,,2 min. per ep.,G - All Ages,[],#21461,#17964,421,2,,Second season of Iii Icecrin.,"['Prequel (TV) Iii Icecrin', '']",Iii Icecrin Double,,['Kids'],,,,,
48,,炸裂！あまびえ姫。,,['TV'],12,Finished Airing,"Jul 2, 2022 to Sep 24, 2022",['Summer 2022'],Saturdays at 17:55 (JST),"None found,","None found,",['CANON RECORDINGS'],Original,,,3 min. per ep.,G - All Ages,[],#19044,#18205,404,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Sakuretsu! Amabie-hime. Season 2', '']",Sakuretsu! Amabie-hime.,,,['Comedy'],,,,
49,,がんばれ! 長州くん,,['TV'],60,Finished Airing,"Aug 1, 2022 to Dec 8, 2022",['Summer 2022'],Mondays at 10:15 (JST),"None found,","None found,",['Oddjob'],Original,,,1 min. per ep.,G - All Ages,[],#20726,#18837,353,4,,"Choushuu-kun, a rambunctious grade schooler, experiences a slightly strange everyday life with his classmates. (Source: ANN)",[],Ganbare! Choushuu-kun,,,['Comedy'],,,,
50,,ようこそ認知症世界へ,,['TV'],Unknown,Currently Airing,"Aug 14, 2022 to ?",['Summer 2022'],Unknown,['NHK'],"None found,","None found,",Original,"['Adventure', 'Slice of Life']",,5 min.,G - All Ages,[],#16102,#20745,242,0,,"Travel through the words of people with dementia by seeing how they experience the everyday and problems they face. (Source: Official site, translated)",[],Youkoso Ninchishou Sekai e,['Educational'],,,,,,
51,Botos Family 2nd Season,보토스 패밀리 2,Bo & To's Family 2nd Season,['TV'],10,Finished Airing,"Jul 30, 2022 to Oct 1, 2022",['Summer 2022'],Unknown,"None found,","None found,",['Comma Studio'],Original,,,12 min. per ep.,G - All Ages,[],#19617,#21398,206,0,,Second season of Bo & To's Family.,"[""Prequel (TV) Bo & To's Family Part 2"", '']",Bo & To's Family 2nd Season,,['Kids'],['Slice of Life'],,,,
52,,다이노 파워즈,DinoPowers,['TV'],26,Finished Airing,"Jun 2, 2022 to Dec 30, 2022",['Summer 2022'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,[],#20269,#23250,127,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Dino Powers 2', '']",Dino Powers,['Mecha'],['Kids'],['Action'],,,,
53,,히어로 써클 2,,['TV'],26,Finished Airing,"Jun 29, 2022 to Sep 21, 2022",['Summer 2022'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy']",,11 min. per ep.,PG - Children,[],#21168,#23772,115,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hero Circle', '']",Hero Circle 2,['Super Power'],['Kids'],,,,,
54,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,493,077","234,344",1417487,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,['Shounen'],,,,,
55,,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9915,#208,"894,766","7,372",456672,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,['Martial Arts'],['Shounen'],,,,,
56,,サマータイムレンダ,Summer Time Rendering,['TV'],25,Finished Airing,"Apr 15, 2022 to Sep 30, 2022",['Spring 2022'],Fridays at 00:00 (JST),"['Shogakukan-Shueisha Productions', 'Movic', 'MAGES.', 'Tokyo MX', 'Shueisha', ""Toy's Factory"", 'Bandai Spirits']","None found,",['OLM'],['Manga'],"['Mystery', 'Supernatural', 'Suspense']",,23 min. per ep.,R - 17+ (violence & profanity),8.47,#156,#388,"597,499","10,147",251587,"Since the death of his parents, Shinpei Ajiro had lived with the Kofune family and their two daughters—Mio and Ushio. Although he then left his home island to continue his education in Tokyo, Shinpei returns after Ushio tragically drowns during the attempted rescue of a little girl. During the funeral, his best friend informs him about bruises found around Ushio's neck, casting doubt over the cause of her death. Suspecting a murder has taken place, Shinpei reevaluates recent events, but strange incidents only continue to transpire. Disappearing people and other unexplainable occurrences lead Mio to recall an old folktale referring to entities called ""Shadows,"" which may not be entirely fantasy. Supposedly, an encounter with one's Shadow foretells the person's impending demise. Facing the dark side of Hitogashima Island, Shinpei stands against his grim fate to fulfill Ushio's final will—to protect Mio. [Written by MAL Rewrite]","['Adaptation (Manga) Summertime Render', '']",Summertime Render,['Time Travel'],['Shounen'],,,,,
57,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#434,#703,"360,527","15,321",164219,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,['Detective'],['Shounen'],,Case Closed,,,
58,Cuckoo's Fiancee,カッコウの許嫁,A Couple of Cuckoos,['TV'],24,Finished Airing,"Apr 24, 2022 to Oct 2, 2022",['Spring 2022'],Sundays at 01:30 (JST),"['TV Asahi', 'Kodansha', 'Crunchyroll', 'Kadokawa']","None found,","['SynergySP', 'Shin-Ei Animation']",['Manga'],"['Comedy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,6.87,#4981,#867,"303,145","2,268",116144,"Nagi Umino and Erika Amano, a studious high school student and a social media star, had nothing that linked them together—until they found out they were swapped at birth. When the sudden news is revealed to both of their families, their parents quickly devise a proposition with neither Nagi's nor Erika's knowledge: in order to restore them both to their rightful families and ensure everyone's happiness, the two should get engaged. When informed of this, Nagi and Erika are quick to reject the absurd plan, refusing to go along with their parents' wishes. But, with neither party willing to back down, only time can tell where their relationship will go. [Written by MAL Rewrite]","['Sequel (TV) Kakkou no Iinazuke 2nd Season', 'Adaptation (Manga) Kakkou no Iinazuke']",Kakkou no Iinazuke,['Harem'],['Shounen'],,,,,
59,,アオアシ,Aoashi,['TV'],24,Finished Airing,"Apr 9, 2022 to Sep 24, 2022",['Spring 2022'],Saturdays at 18:25 (JST),"['Shogakukan-Shueisha Productions', 'Marvelous Entertainment', 'NHK Enterprises', 'Bandai Spirits']",['Crunchyroll'],['Production I.G'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,8.16,#446,#1123,"232,220","3,247",117275,"In a quiet rural town, the spotlight of a local junior high school football team rests on one player: Ashito Aoi. Known for his unpredictable moves and self-centered playing style, Ashito is the sole powerhouse pushing his team through an important high school preliminary tournament. However, their win streak is short-lived—an opponent causes Ashito to lose his temper and act violently, resulting in his removal from the rest of the game. Without their star player, the team is quickly eliminated from the tournament. Just as he believes all hope is lost, Ashito is approached by a youth team coach named Tatsuya Fukuda who senses potential in him, and Fukuda invites him for tryouts in Tokyo. In an unfamiliar setting surrounded by talent, Ashito must bring out the best of his ability to prove himself and secure what could be a life-changing career. [Written by MAL Rewrite]","['Adaptation (Manga) Ao Ashi', '']",Ao Ashi,['Team Sports'],['Seinen'],['Sports'],,,,
60,"Pocket Monsters, Pokemon 2019, Pokémon",ポケットモンスター(2019),Pokémon Journeys: The Series,['TV'],136,Finished Airing,"Nov 17, 2019 to Dec 16, 2022",['Fall 2019'],Fridays at 18:55 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'MediaNet']",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,PG - Children,7.55,#1784,#2285,"95,684",655,40336,"On a new day in the Kanto region, Satoshi gets invited by Professor Yukinari Ookido over to Professor Sakuragi's lab-opening ceremony in Vermillion City. During the ceremonial speech, Professor Sakuragi receives an alert of a possibly rare Pokémon appearing in Vermillion City's harbor, leading Satoshi and the other trainers to rush to the area in hopes of finding the mysterious Pokémon. At the harbor, they find Lugia—a Legendary Pokémon—engaged in combat with other trainers. Noticing the other trainers' tactics, Satoshi has his partner, Pikachu, strike Lugia with a Thunderbolt attack. Unfazed, Lugia flees, but not before Satoshi determinedly leaps onto its back. To Satoshi's surprise, he meets another boy, Gou, who leapt onto Lugia's back as well. The two ride on Lugia's back as it brings them along on a bizarre adventure across the seas. As it lets the two back on the ground, Satoshi and Gou bid their farewells to Lugia and return to Sakuragi Institute. Impressed by Gou's findings and Satoshi's insight taken during their encounter, Sakuragi requests for the duo to be his new research partners. And so the duo's journey begins, traveling across multiple regions to meet many new Pokémon—including ones that have the ability to Gigantamax! [Written by MAL Rewrite]","['Prequel (TV) Pokemon Sun & Moon', 'Sequel (TV) Pokemon: Mezase Pokemon Master', 'Adaptation (Manga) Pocket Monsters: Satoshi to Gou no Monogatari!', '']",Pokemon (2019),,['Kids'],,,Pokémon Viajes Serie,,
