,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Theme,Demographic,Demographics
10,アマガミSS+ plus,Amagami SS+ plus,['TV'],13,Finished Airing,"Jan 6, 2012 to Mar 30, 2012",['Winter 2012'],Unknown,['TBS'],['Sentai Filmworks'],['AIC'],Visual novel,,"['Harem', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.38,#2436,#1444,"174,852",376,92708,"In the aftermath of Amagami SS, high school student Junichi Tachibana continues his relationships with the girls at his school. Amagami SS+ Plus offers a glimpse into what happened after the resolution of each girl's individual story. New events begin to take place between each of the girls and Junichi. Tsukasa Ayatsuji, the class representative, runs for student council president; Rihoko Sakurai, who has taken over the Tea Club with Junichi, still wants to confess her feelings to him; Ai Nanasaki questions the future of her relationship with Junichi when he leaves for college; Kaoru Tanamachi wonders if her relationship with Junichi will ever go any further; Sae Nakata and Junichi deal with classmates who still can't believe that someone so cute is his girlfriend; and Haruka Morishima wants to take their relationship to the next level and get married. [Written by MAL Rewrite]","['Prequel (TV) Amagami SS', 'Sequel (TV) Seiren']",Amagami SS+ Plus,"Amagami SS Dai Ni Ki, Amagami SS Second Season, Amagami SS 2nd Season",,,,['Romance'],,,
11,ブレイブ・テン,Brave 10,['TV'],12,Finished Airing,"Jan 8, 2012 to Mar 25, 2012",['Winter 2012'],Sundays at Unknown,"['Media Factory', 'Studio Saki Makura', 'TMS Music']","['NIS America, Inc.', 'Discotek Media']",['TMS Entertainment'],['Manga'],"['Action', 'Adventure']","['Historical', 'Samurai', 'Super Power']",23 min. per ep.,R - 17+ (violence & profanity),6.73,#5732,#1639,"150,831",257,71509,"Isanami, a young priestess of Izumo, is forced to watch as a group of evil ninja burn her temple to the ground and slaughter the people within, leaving her no choice but to flee into the forest to escape the same fate. By chance, she stumbles upon Saizou Kirigakure, a masterless ninja from the Iga school. The two travel to Ueda Castle to ask Yukimura Sanada for help. Isanami's possession of a strange and devastating power is revealed, and Sanada readily agrees to help her, gathering ten brave warriors to Isanami's side. Thus begins Brave 10, a story set in the Warring States period. It follows Saizou and Isanami's journey throughout the war-laden lands in search of brave warriors to serve under Yukimura's banner, each possessing powerful skills of their own. They'll have to travel far and wide, all while trying to fend off those who would chase after the dark power that she possesses to make it their own.","['Adaptation (Manga) Brave 10', '']",Brave 10,"Brave10, Brave Ten",,,,,,['Seinen'],
12,キルミーベイベー,Kill Me Baby,['TV'],13,Finished Airing,"Jan 6, 2012 to Mar 30, 2012",['Winter 2012'],Fridays at 01:25 (JST),"['Pony Canyon', 'TBS', 'Magic Capsule']",['Sentai Filmworks'],['J.C.Staff'],['4-koma manga'],,"['Gag Humor', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,6.87,#4980,#1881,"126,156",592,52179,"Kill Me Baby is the touching story of Yasuna, a normal (?) high school girl, and Sonya, her best friend who happens to be an assassin. Unfortunately, little Sonya's trained assassin instincts often work against her and others in her daily high school life, as Yasuna's often-broken wrist can attest to. She just wanted a hug, but she ended up with a broken neck. Isn't it sad? No, it's hilarious. Not even Yasuna's intense ninja training can prepare her for the exciting adventures in this explosive 4-panel manga adaptation.","['Adaptation (Manga) Kill Me Baby', '']",Kill Me Baby,"Baby, Please Kill Me.",,,,['Comedy'],,,
13,戦姫絶唱シンフォギア,Symphogear,['TV'],13,Finished Airing,"Jan 6, 2012 to Mar 30, 2012",['Winter 2012'],Fridays at 23:00 (JST),"['Aniplex', 'Memory-Tech', 'Dwango', 'Bushiroad', 'Good Smile Company', 'King Records', 'Kinyosha']",['Discotek Media'],"['Satelight', 'Encourage Films']",Original,"['Action', 'Sci-Fi']","['Idols (Female)', 'Music']",23 min. per ep.,PG-13 - Teens 13 or older,7.04,#4170,#1911,"123,757","1,155",46531,"Tsubasa Kazanari and Kanade Amou—the idol duo known as Zwei Wing—use their songs to power ancient weapons known as ""symphogears"" to combat a deadly alien race called the ""Noise."" While the general public is aware of the Noise's existence, knowledge of the symphogears are kept a secret. When the Noise attack one of Zwei Wing's concerts, Kanade sacrifices herself to protect a young girl named Hibiki Tachibana, leaving Tsubasa devastated and a fragment of her symphogear embedded within Hibiki. Two years pass and Hibiki is once again dragged into a Noise attack. While rescuing a young girl who has been left behind during the evacuation, she awakens the power of Kanade's symphogear lying within her. Although Tsubasa still grieves over the loss of Kanade, both girls must now learn to work together using their powers to defend humanity against the Noise. [Written by MAL Rewrite]","['Sequel (TV) Senki Zesshou Symphogear G', 'Adaptation (Manga) Senki Zesshou Symphogear']",Senki Zesshou Symphogear,Senhime Zesshou Symphogear,Symphogear,Symphogear,Symphogear,,,,
14,アクエリオンEVOL,Aquarion Evol,['TV'],26,Finished Airing,"Jan 9, 2012 to Jun 25, 2012",['Winter 2012'],Unknown,"['Media Factory', 'Bandai', 'Tohokushinsha Film Corporation', 'Overlap']",['Funimation'],"['Satelight', '8bit']",Original,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4047,#2100,"108,610",417,45917,"12,000 years after the events in Genesis Aquarion, humans live on the star Vega under constant threat of trans-dimensional beings called Abductors. These enemies originate from Vega’s sister star Altair and raid Vega for human life. As a countermeasure, an organization known as Neo-DEAVA formed to combat the Abductors. They pilot advanced mecha suits called Aquaria and are strictly separated by gender. Boys and girls are not allowed contact; they are even restrained from fighting on the same battlefield. However, events take a shocking turn when an advanced Abductor mecha suit joins the fray. Two teenagers, Mikono and Amata, are dragged into the conflict. Unknowingly, Amata performs a taboo when he summons an Aquaria and initializes what is called the Forbidden Union between male and female Aquaria. Neo-DEAVA is shocked, and the repercussions of Amata’s actions are much farther reaching than he realizes. How was he able to summon an Aquaria? Where did he learn to form a Forbidden Union? And why was Mikono also able to pilot the mecha suit?","['Prequel (TV) Sousei no Aquarion', 'Sequel (TV) Aquarion Logos', 'Adaptation (Manga) Aquarion Evol', '']",Aquarion Evol,,,,,,['Mecha'],,
15,エリアの騎士,The Knight in the Area,['TV'],37,Finished Airing,"Jan 7, 2012 to Sep 29, 2012",['Winter 2012'],Saturdays at 06:00 (JST),"['TV Asahi', 'Imagine']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sports']","['School', 'Team Sports']",25 min. per ep.,PG-13 - Teens 13 or older,7.16,#3573,#2582,"78,375",226,36260,"Kakeru and Suguru are brothers who both have a flaming passion for soccer. However, while Suguru becomes a rising star in the Japanese youth soccer system, Kakeru decides to take on a managerial role after struggling on the field. But due to a cruel twist of fate, Kakeru ends up reevaluating the role he has chosen. In hopes of one day being able to enter the World Cup by becoming a member of the national team, Kakeru trains harder than anyone else. He isn’t alone in this quest for glory, though. Kakeru's childhood friend, Nana, is a soccer prodigy of her own, with the wicked nickname “Little Witch”. She is a top-ranked player and is already playing for Nadeshiko Japan, the Japanese women’s national team. Nana's success gives Kakeru the extra push he needs to reach for his goals. Soccer and adolescent fervor combine for an epic, emotional ride. Check it out for yourself in Area no Kishi!","['Adaptation (Manga) Area no Kishi', '']",Area no Kishi,,,,,,,['Shounen'],
16,モーレツ宇宙海賊,Bodacious Space Pirates,['TV'],26,Finished Airing,"Jan 8, 2012 to Jul 1, 2012",['Winter 2012'],Sundays at 00:30 (JST),"['Starchild Records', 'Magic Capsule']",['Sentai Filmworks'],['Satelight'],['Light novel'],"['Award Winning', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.13,#3769,#2622,"76,346",293,28237,"Far in the future, where interstellar travel is considered commonplace, high school student Marika Katou balances her duties in the space yacht club and her job as a restaurant waitress. Following a chance encounter with a peculiar pair of customers, Marika meets them again and learns that her absent father has passed away. During his life, he was known as the legendary pirate ""Gonzaemon."" He has left behind his infamous ship Bentenmaru and its crew exclusively for Marika to inherit. With one of the few remaining Letters of Marque that permit legal piracy, Marika must choose whether to stay as a regular student or take up a second life as a high-octane space pirate. As Marika ponders her decision, the delicate situation attracts the eyes of various government agencies and the mysterious transfer student Chiaki Kurihara, all eager to see if the upcoming captain lives up to her father's reputation. If the crew of the Bentenmaru want to maintain their status, they will need to set sail into the vast expanse of space and once again become a name to be feared. [Written by MAL Rewrite]","['Sequel (Movie) Mouretsu Pirates: Abyss of Hyperspace', 'Adaptation (Manga) Miniskirt Pirates', 'Adaptation (Light Novel) Miniskirt Pirates', '']",Mouretsu Pirates,"Mouretsu Uchuu Kaizoku, Miniskirt Pirates, Moretsu Uchuu Kaizoku",,Moretsu Pirates,,,['Space'],,
17,輪廻のラグランジェ,Lagrange: The Flower of Rin-ne,['TV'],12,Finished Airing,"Jan 8, 2012 to Mar 25, 2012",['Winter 2012'],Sundays at 22:00 (JST),"['Production I.G', 'Bandai Visual', 'Yomiuri Telecasting', 'flying DOG', 'Dwango']",['VIZ Media'],['Xebec'],Original,"['Action', 'Comedy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.88,#4927,#2648,"75,208",149,24573,"Madoka Kyouno is an energetic girl who is full of passion. As the proud, and only, member of the Kamogawa Girls' High School Jersey Club, she goes around helping people in need. Madoka's life is turned upside down when she is suddenly asked by a mysterious girl named Lan to pilot a robot. Motivated by her desire to protect the people and city of Kamogawa, Madoka agrees to pilot the resurrected Vox robot to fight against extraterrestrials that have come to attack Earth. (Source: VIZ Media)","['Sequel (OVA) Rinne no Lagrange: Kamogawa Days', 'Adaptation (Light Novel) Rinne no Lagrange']",Rinne no Lagrange,"Flower declaration of your heart, Lag-Rin",,,,,['Mecha'],,
18,新テニスの王子様,The Prince of Tennis II,['TV'],13,Finished Airing,"Jan 5, 2012 to Mar 29, 2012",['Winter 2012'],Unknown,"['TV Tokyo', 'Bandai Visual', 'Nihon Ad Systems', 'TV Tokyo Music', 'Marvelous AQL', 'Shueisha']","None found,","['Production I.G', 'M.S.C']",['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.53,#1857,#2858,"66,247",206,32356,"Ryouma Echizen is one of 50 nationally ranked middle school tennis players to receive an invitation for the Japan U-17 tennis training camp. Previously open only to high school players, the exclusive regiment trains the best players in the country for the upcoming U-17 World Cup. The high schoolers are not pleased that these middle schoolers are allowed into the camp, but the middle schoolers easily overwhelm them before they are halted by the coaches. The rules of the camp are soon explained: the players are split into one of 16 courts based on skill, with the best players occupying Court 1. Players move up and down courts based on ""shuffle matches"" that occur before practice begins each day. In anticipation of a game, the middle schoolers are asked to pair up with one another, only to find out that they would not be playing doubles with their partners. Instead, they are pitted against each other in a tiebreaker-style game. The winner of the match would be allowed to stay to further develop their skills whereas the loser would be sent home. For the sake of tennis, friendships and camaraderie are all put on the line. As the fierce competition between the middle and high schoolers persists, the situations they find themselves in goes deeper than just playing to remain in the camp. [Written by MAL Rewrite]","['Prequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen - Final', 'Prequel (Movie) Ryouma! The Prince of Tennis Shinsei Movie: Tennis no Oujisama', 'Sequel (OVA) Shin Tennis no Oujisama vs. Genius 10', 'Adaptation (Manga) Shin Tennis no Oujisama']",Shin Tennis no Oujisama,New Prince of Tennis,The Prince of Tennis II,Shin Tennis no Ōji-sama,The Prince of Tennis II,['Sports'],['School'],['Shounen'],
19,リコーダーとランドセル　ド♪,Recorder and Randsell,['TV'],13,Finished Airing,"Jan 6, 2012 to Mar 28, 2012",['Winter 2012'],Unknown,"['Takeshobo', 'Dream Creation']","None found,",['Seven'],['4-koma manga'],"['Comedy', 'Slice of Life']",,3 min. per ep.,PG-13 - Teens 13 or older,6.62,#6418,#3108,"56,590",32,26450,"Atsushi Miyagawa is an 11-year-old boy with the appearance of a fully-grown man. His 17-year-old sister, Atsumi, has the stature of a child! From Atsushi being arrested numerous times as a suspected predator to Atsumi constantly grabbed like a small child more times than she can count, many things go wrong for this curious sibling duo. Atsumi's classmate is even in love with Atsushi, oblivious to his true age! Despite all this, indeed, there is not a single dull moment in the Miyagawa household. [Written by MAL Rewrite]","['Sequel (TV) Recorder to Randoseru Re♪', 'Adaptation (Manga) Recorder to Randoseru']",Recorder to Randoseru Do♪,"Recorder and Backpack Do, Recorder and Satchel Do, Recorder and Randsell Do, Recorder and Ransel Do, Recorder to Randsell Do, Recorder to Ransel Do",Recorder & Randsell,Recorder to Randsell,Recorder & Randsell,,['School'],['Seinen'],
20,スマイルプリキュア,Glitter Force,['TV'],48,Finished Airing,"Feb 5, 2012 to Jan 27, 2013",['Winter 2012'],Sundays at 08:30 (JST),['Saban Brands'],"None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,6.84,#5152,#3382,"48,110",433,24349,"To teenager Miyuki Hoshizora, fairy tales are a world of wondrous encounters and happy endings. Inspired by her love for these stories, she lives every day searching for happiness. While running late on her first day of school as a transfer student, Miyuki meets Candy—a mysterious fairy from the world of fairy tales, Märchenland. However, when Candy disappears as quickly as she appeared, Miyuki is left believing the encounter was only a dream. After an eventful first day, Miyuki finds a mysterious library at school. While combing through the bookshelves, she is transported next to Candy, who claims to be searching for the so-called legendary warriors, Precure. When forced to protect Candy's and everyone else's happiness, Miyuki transforms into ""Cure Happy,"" one of the Precure warriors! As Cure Happy, Miyuki is now tasked with finding the other legendary warriors and protecting the world from destruction, all while possibly discovering her very own happy ending. [Written by MAL Rewrite]","['Adaptation (Manga) Smile Precure!: Precure Collection', '']",Smile Precure!,Smile Pretty Cure!,,,,['Action'],['Mahou Shoujo'],,
