,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,French,Themes,German,Demographic,Genre,Spanish,Demographics
10,るろうに剣心 -明治剣客浪漫譚-,Rurouni Kenshin,['TV'],94,Finished Airing,"Jan 10, 1996 to Sep 8, 1998",['Winter 1996'],Wednesdays at 19:30 (JST),"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Media Blasters', 'Aniplex of America']","['Gallop', 'Studio Deen']",['Manga'],"['Action', 'Comedy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,8.28,#306,#466,"510,267","10,248",242626,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans. Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels. Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals? [Written by MAL Rewrite]","['Prequel (OVA) Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen', 'Sequel (OVA) Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen', 'Adaptation (Manga) Rurouni Kenshin: Meiji Kenkaku Romantan', '']",Rurouni Kenshin: Meiji Kenkaku Romantan,"Samurai X, Wandering Kenshin: Romantic Tales from the Meiji Era",Kenshin le Vagabond,"['Historical', 'Samurai']",Rurouni Kenshin,['Shounen'],,"Kenshin, el Guerrero Samurai",
11,カードキャプターさくら,Cardcaptor Sakura,['TV'],70,Finished Airing,"Apr 7, 1998 to Mar 21, 2000",['Spring 1998'],Tuesdays at 18:00 (JST),"['NHK', 'Kodansha', 'Sogo Vision']","['Nelvana', 'NIS America, Inc.', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Romance']",,25 min. per ep.,PG - Children,8.17,#443,#531,"454,355","14,101",226684,"Ten-year-old Sakura Kinomoto is an ordinary fourth-grade student living in Tomoeda until, one day, she stumbles upon a mysterious book of cards titled ""The Clow."" Pondering over her discovery, she unintentionally causes a magical gust of wind to scatter the cards all over town. The accident awakens the Beast of the Seal—Keroberos, nicknamed ""Kero""—who tells Sakura that she has released the mystical ""Clow Cards"" created by the sorcerer Clow Reed. Due to each Card's ability to act independently and their incredible power, Clow had sealed them away. Now that they have been set free, the Cards pose great danger to the world, and it is up to Sakura to put an end to them. Appointing Sakura as the ""Cardcaptor"" and granting her the Sealed Key, Kero tasks her with finding and recapturing all the Clow Cards. Alongside her best friend Tomoyo Daidouji, and with Kero's guidance, Sakura must learn to balance her new secret duty with the everyday troubles as she takes flight on her magical adventures as Cardcaptor Sakura. [Written by MAL Rewrite]","['Sequel (Movie) Cardcaptor Sakura Movie 2: Fuuin Sareta Card', 'Sequel (OVA) Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma', 'Adaptation (Manga) Cardcaptor Sakura Read Manga', '']",Cardcaptor Sakura,"CCS, Cardcaptors, Card Captor Sakura",,"['Mahou Shoujo', 'School']",,['Shoujo'],,,
12,頭文字〈イニシャル〉D,Initial D First Stage,['TV'],26,Finished Airing,"Apr 19, 1998 to Dec 6, 1998",['Spring 1998'],Tuesdays at 00:00 (JST),"['OB Planning', 'Fuji TV']","['Funimation', 'Tokyopop']","['Gallop', 'Studio Comet']",['Manga'],"['Action', 'Drama']",['Racing'],25 min. per ep.,PG-13 - Teens 13 or older,8.35,#244,#606,"409,896","13,082",204653,"Unlike his friends, Takumi Fujiwara is not particularly interested in cars, with little to no knowledge about the world of car enthusiasts and street racers. The son of a tofu shop owner, he is tasked to deliver tofu every morning without fail, driving along the mountain of Akina. Thus, conversations regarding cars or driving in general would only remind Takumi of the tiring daily routine forced upon him. One night, the Akagi Red Suns, an infamous team of street racers, visit the town of Akina to challenge the local mountain pass. Led by their two aces, Ryousuke and Keisuke Takahashi, the Red Suns plan to conquer every racing course in Kanto, establishing themselves as the fastest crew in the region. However, much to their disbelief, one of their aces is overtaken by an old Toyota AE86 during a drive back home from Akina. After the incident, the Takahashi brothers are cautious of a mysterious driver geared with remarkable technique and experience in the local roads—the AE86 of Mount Akina. [Written by MAL Rewrite]","['Sequel (TV) Initial D Second Stage', 'Adaptation (Manga) Initial D Read Manga']",Initial D First Stage,ID,,,,['Seinen'],,Initial D: Supera el Límite de Velocidad Temporada 1,
13,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,904","15,328",164371,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,,Case Closed,['Shounen'],,,
14,遊☆戯☆王,,['TV'],27,Finished Airing,"Apr 4, 1998 to Oct 10, 1998",['Spring 1998'],Saturdays at 18:00 (JST),['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Action', 'Comedy', 'Fantasy']",['Strategy Game'],24 min. per ep.,PG-13 - Teens 13 or older,7.24,#3153,#1019,"256,883","1,314",146818,"Bullies often target someone frail and weak—someone exactly like Yuugi Mutou. His beautiful childhood friend, Anzu Mazaki, is always there to stand up for him, but he can't depend on her forever. Katsuya Jonouchi, who is almost always accompanied by his verbal sparring partner Hiroto Honda, doesn't seem like a bad person either, despite always bringing Yuugi trouble. But most of all, Yuugi wishes for a true friend who understands him and would never betray him. Yuugi treasures his Millennium Puzzle, an ancient Egyptian artifact that was brought into his grandfather's game shop. Believing that solving the puzzle will grant him his wish, he completes the puzzle, unleashing a new personality within him—the soul of the ""King of Games."" Dark, twisted, strong, and reliable, the new personality named Yami Yuugi is the exact opposite of Yuugi. Upon any injustice toward him, Yami Yuugi takes over Yuugi's body and forces the opponent into a ""Shadow Game."" The stakes are high as whoever loses shall have a taste of the darkness that resides within their own heart. [Written by MAL Rewrite]","['Sequel (Movie) Yu☆Gi☆Oh! (Movie)', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters', 'Adaptation (Manga) Yu☆Gi☆Oh!', '']",Yu☆Gi☆Oh!,"Game King, Yugioh, King of Games, Yu-Gi-Oh! First Series, Yu-Gi-Oh! Serie Zero, Yugi-Oh, Yuugiou, Yu-Gi-Oh Season 0",Yu-Gi-Oh!,,Yu-Gi-Oh!,['Shounen'],,Yu-Gi-Oh!,
15,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],21 min.,G - All Ages,7.80,#1030,#2402,"88,104","1,330",42205,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,,Shin Chan,['Seinen'],,Shin Chan,
16,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Anthropomorphic'],11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,,,,,Doraemon,"['Kids', 'Shounen']"
17,ロードス島戦記　英雄騎士伝,Record of Lodoss War: Chronicles of the Heroic Knight,['TV'],27,Finished Airing,"Apr 1, 1998 to Sep 30, 1998",['Spring 1998'],Wednesdays at 18:00 (JST),"['Kadokawa Shoten', 'Yomiko Advertising', 'Marubeni']","['Funimation', 'Central Park Media']",['AIC'],Novel,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,7.11,#3858,#3909,"36,858",136,12337,"Five years after the death of the Emperor of Marmo in the War of Heroes, Parn is now the Free Knight of Lodoss, he and his old allies now famous through the land. However, the Emperor's right-hand man, Ashram, seeks the scepter of domination to re-unify Lodoss under his former leader's banner. Meanwhile, beyond his attempts at conquest lies a more sinister force beginning to set the stage for the resurrection of the goddess of death and destruction... (Source: ANN)","['Adaptation (Manga) Lodoss-tou Senki: Eiyuu Kishi Den', '']",Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War TV,Chroniques de la Guerre de Lodoss: La Légende du Chevalier Heroïque,,,,,Las Crónicas de Lodoss Los Ovas,
18,金田一少年の事件簿,The File of Young Kindaichi,['TV'],148,Finished Airing,"Apr 7, 1997 to Sep 11, 2000",['Spring 1997'],Mondays at 19:00 (JST),"['Dentsu', 'Yomiuri Telecasting']","None found,",['Toei Animation'],['Manga'],,,24 min. per ep.,R - 17+ (violence & profanity),7.94,#751,#4118,"33,304",265,8401,"Hajime Kindaichi's unorganized appearance and lax nature may give the impression of an average high school student, but a book should never be judged by its cover. Hajime is the grandson of the man who was once Japan's greatest detective, and he is also a remarkable sleuth himself. With the help of his best friend, Miyuki Nanase, and the peculiar inspector Isamu Kenmochi, Hajime travels to remote islands, ominous towns, abysmal seas, and other hostile environments. His life's mission is to uncover the truth behind some of the most cunning, grueling, and disturbing mysteries the world has ever faced. [Written by MAL Rewrite]","['Sequel (TV) Kindaichi Shounen no Jikenbo Returns', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: File Series', 'Adaptation (Light Novel) Kindaichi Shounen no Jikenbo', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Short File Series']",Kindaichi Shounen no Jikenbo,"Les Enquetes de Kindaichi, Young Kindaichi's Casebook, Kindaichi Case Files",,,,['Shounen'],['Mystery'],,
19,ああっ女神さまっ 小っちゃいって事は便利だねっ,Oh! My Goddess: The Adventures of Mini-Goddess,['TV'],48,Finished Airing,"Apr 6, 1998 to Mar 29, 1999",['Spring 1998'],Mondays at 19:00 (JST),['Bandai Visual'],['Geneon Entertainment USA'],['OLM'],['4-koma manga'],"['Comedy', 'Supernatural']",,7 min. per ep.,G - All Ages,6.88,#4940,#4836,"23,145",27,10515,"A large collection consisting of the adventures of the Goddesses featured in the anime and manga series Ah My Goddess. Parodies of other works, and a large number of jokes pervade this series of shorts in which the Goddesses torture and hang out with their friend Gan the rat.","['Adaptation (Manga) Aa! Megami-sama!: Chicchai tte Koto wa Benri da ne', '']",Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,"Oh! My Goddess: Being Small is Convenient, Ah! My Goddess!: Chichaitte Koto wa Benri da ne",,,,,,,
20,中華一番,,['TV'],52,Finished Airing,"Apr 27, 1997 to Sep 13, 1998",['Spring 1997'],Sundays at 19:30 (JST),"None found,","None found,",['Nippon Animation'],['Manga'],"['Action', 'Comedy', 'Drama', 'Gourmet']",,23 min. per ep.,PG-13 - Teens 13 or older,7.60,#1589,#5057,"20,930",123,8605,"The story takes place in 19th century China during the Qing Dynasty, where the Emperor was weakened and the country was close to chaos. It is also during a fictitious era called ""The Era of the Cooking Wars"". It was an era in which top chefs with different cooking styles tried their best to improve their skills and to become the best chef in China. It is a country where insulting a high-grade chef or fooling around with cooking could land a person in a jail, and impersonating a top-chef is as good as usurpation of authority. Chefs compete with each other in order to gain respect and even power, but also with the risks of losing everything. The country of China has four major regions: Beijing, Szechuan, Shanghai, and Guangdong. The beginning of the story takes place in Szechuan, Mao's birthplace. After the death of Mao's mother, Pai, who was called the 'Fairy of Cuisine', Mao becomes a Super Chef in order to take the title as Master Chef of his mother's restaurant. However, before he takes his mother's place as Master Chef, he continues to travel China in order to learn more of the many ways of cooking, in the hopes of becoming a legendary chef, just like his mother. During his journey, he meets great friends and fierce rivals who wish to challenge him in the field of cooking. (Source: Wikipedia)","['Sequel (TV) Shin Chuuka Ichiban!', 'Adaptation (Manga) Chuuka Ichiban!']",Chuuka Ichiban!,Cooking Master Boy,,,,['Shounen'],,,
21,こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,,25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",,"['Adult Cast', 'Detective', 'Gag Humor']",,['Shounen'],['Comedy'],Kochikame,
22,Weiß kreuz　ヴァイス　クロイツ,Knight Hunters,['TV'],25,Finished Airing,"Apr 9, 1998 to Oct 1, 1998",['Spring 1998'],Unknown,"['animate Film', 'Polygram Japan']",['Media Blasters'],"['Plum', 'Magic Bus']",Original,"['Action', 'Drama']",,23 min. per ep.,PG-13 - Teens 13 or older,6.67,#6077,#5154,"19,886",147,7809,"Aya, Youji, Ken, and Omi are the four young men who comprise Weiss Kreuz (WK), an assassin group that eliminates certain menaces to society. Each member has his own trademark fighting style. Aya is adept at fighting with a katana, Youji has mastered the art of strangulation via strings, Ken is lethal with his metal claws, while Omi specializes in a wide array of projectiles. Under the command of a mysterious man known only as ""Persia"", the WK is dispatched to take care of drug rings, terrorist factions, and the like. But as things go along, they discover that most, if not all, the bad elements they have dealt with are somehow connected to the Takatori family. The Takatori family is rich, powerful, and influential. It seems if the problem is to be nipped in the bud, the WK would have to put an end to one of Japan's most prominent clans. (Source: AniDB)","['Sequel (OVA) Weiß Kreuz OVA', 'Sequel (TV) Weiß Kreuz Glühen', 'Adaptation (Manga) Weiß: An Assassin and White Shaman', '']",Weiß Kreuz,"Weiss Kreuz, White Cross",,,,,,,
