,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Themes,Demographic,Genre,Demographics
10,Erementar Gerade,エレメンタルジェレイド,Elemental Gelade,Elemental Gelade,Elemental Gerad,['TV'],26,Finished Airing,"Apr 5, 2005 to Sep 27, 2005",['Spring 2005'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Victor Entertainment', 'Omnibus Promotion']","['Funimation', 'Discotek Media', 'Geneon Entertainment USA']",['Xebec'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.23,#3185,#2250,"98,283",472,45741,"After a routine raid, the rookie sky pirate Coud finds a most unusual cargo in his mates' cargo hold: Ren, an ""Edel Reid"", a race prized by humans for granting special combat power to their partners through ""Reacting"". He quickly discovers, however, that Ren is even more prized than he expected. The pirate ship is visited by three members of the Edel Reid Complete Protection Agency ""Arc Aire"", who try to purchase her. When Coud refuses, the ship is suddenly attacked by a mysterious force, and Coud's captain charges him with Ren's protection. (Source: ANN)","['Adaptation (Manga) Erementar Gerad', '']",Erementar Gerad,Elemental Gelade,,['Shounen'],,
11,"Genesis of Aquarion, Holy Genesis Aquarion",創聖のアクエリオン,Aquarion,,Aquarion,['TV'],26,Finished Airing,"Apr 5, 2005 to Sep 27, 2005",['Spring 2005'],Unknown,"['Media Factory', 'Bandai', 'Tohokushinsha Film Corporation', 'Hakuhodo DY Media Partners']",['Funimation'],['Satelight'],Original,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.08,#4025,#2557,"80,020",364,32427,"Once upon a time, a race known as the Shadow Angels attacked Earth to harvest the life force of all those who inhabited the planet. Thanks to some outrageous miracle, the Shadow Angels went dormant, and humanity was able to live another 12,000 years without fearing their presence. But 11 years after a catastrophe dubbed the Holy Genesis brought ruin to the Earth, the Shadow Angels were stirred from their slumber and resumed the attacks once more. To give humanity somewhat of a chance, an organization known as DEAVA was formed, and use of a robotic weapon named Aquarion has been authorized. In order for the Aquarion to be brought to full power, three pilots must combine their hearts, bodies, and souls into one—a feat few can hope to accomplish. Thus, the search for so-called 'Element Users' was prioritised, hoping to ensure humanity's future. Sousei no Aquarion follows the story of Apollo, a near-feral young man brought up in poverty, who is believed to be a legendary hero reincarnated. After his best friend is taken by the Shadow Angels, Apollo chooses to become an Aquarion pilot. Will he be able to turn the tides of the war, and free humanity from the threat of the Shadow Angels for once and for all?","['Sequel (TV) Aquarion Evol', 'Adaptation (Manga) Sousei no Aquarion: Mirai Shinwa', 'Adaptation (Manga) Sousei no Aquarion: Kokuu no Tenshi', '']",Sousei no Aquarion,,"['Mecha', 'Super Power']",,,
12,That's My Master,これが私の御主人様,He is My Master,He is My Master,He is My Master,['TV'],12,Finished Airing,"Apr 8, 2005 to Jul 1, 2005",['Spring 2005'],Fridays at 00:30 (JST),"['TBS', 'DAX Production', 'Memory-Tech', 'Geneon Entertainment']",['Sentai Filmworks'],"['Gainax', 'Shaft']",['Manga'],"['Comedy', 'Ecchi']",['Harem'],24 min. per ep.,R+ - Mild Nudity,6.51,#7004,#2571,"79,105",128,38828,"Izumi Sawatari and her younger sister, Mitsuki Sawatari, have run away from home and are in need of employment. The only jobs available are as maids in the mansion of 14-year-old millionaire, Yoshitaka Nakabayashi. What seems like simple work is soon revealed to be far more than the girls bargained for when they find Yoshitaka to be an authoritative employer who demands they call him ""Master"". (Source: Sentai Filmworks)","['Adaptation (Manga) Kore ga Watashi no Goshujinsama', '']",Kore ga Watashi no Goshujinsama,,,['Shounen'],,
13,,英國戀物語エマ,Emma: A Victorian Romance,Emma: A Victorian Romance,Emma: A Victorian Romance,['TV'],12,Finished Airing,"Apr 3, 2005 to Jun 19, 2005",['Spring 2005'],Sundays at 00:30 (JST),"['Pony Canyon', 'TBS', 'Toshiba Entertainment', 'Fuji Creative']",['Nozomi Entertainment'],['Pierrot'],['Manga'],"['Drama', 'Romance']",,24 min. per ep.,G - All Ages,7.61,#1544,#2962,"62,243",362,19951,"Emma has been a maid for most of her life. Working for a retired governess—the strict but compassionate Kelly Stownar—Emma has grown to love her work and has long since accepted her place in society. Beautiful, hardworking, and exceptionally kind, Emma has captured the hearts of many of London's working men—but their feelings always remain unrequited. Emma is waiting for love, and she finds it in the most unlikely of places. William is the eldest son of the wealthy Jones household—a family that has only recently been accepted into the gentry, securing their position in high society. He is also the former ward of Mrs. Stownar, and on his first visit in years, he falls madly in love with her maid. His earnest attempts to win her affection, coupled with his good nature and warm personality, have captured Emma's heart. But the polite society of 19th century England does not take kindly to the rejection of tradition. As a result, Emma and William's relationship could not face more opposition. In a world where the class lines are as strongly defended as the borders of nations, does their love have the strength to survive? [Written by MAL Rewrite]","['Sequel (TV) Eikoku Koi Monogatari Emma: Molders-hen', 'Adaptation (Manga) Emma']",Eikoku Koi Monogatari Emma,Emma: Un Romance Victoriano,"['Adult Cast', 'Historical']",['Seinen'],,
14,"Marchen Awakens Romance, Märchen Awakens Romance, MAR-Heaven, MÄR Heaven",メル,,,Mär: Märchen Awakens Romance,['TV'],102,Finished Airing,"Apr 3, 2005 to Mar 25, 2007",['Spring 2005'],Sundays at 10:00 (JST),"['TV Tokyo', 'Shogakukan Productions']",['VIZ Media'],['SynergySP'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],24 min. per ep.,PG-13 - Teens 13 or older,7.24,#3135,#3158,"54,726",313,22325,"Dreaming of a magical world every night, the young Toramizu Ginta yearns to be able to go there. With only his friend Koyuki believing in his dreams, Ginta remains positive despite the slander he receives from others over his dreams. But his wishes are answered, as one day a large door appears in front of Ginta, summoning him to the land of MAR Heaven. In this land, the weapons known as ARMS exist. While initially Ginta greatly enjoyed the discovery of this magical world, he soon learns of the terrible wars that have once plagued MAR Heaven and the upcoming war that may soon appear.","['Adaptation (Manga) MÄR', '']",MÄR,,,['Shounen'],,
15,,ガラスの仮面 (2005),Glass Mask,Glass Mask,Glass Mask,['TV'],51,Finished Airing,"Apr 6, 2005 to Mar 29, 2006",['Spring 2005'],Unknown,"['TMS Entertainment', 'MediaNet']",['Sentai Filmworks'],['Tokyo Movie Shinsha'],['Manga'],"['Drama', 'Romance']",,23 min. per ep.,G - All Ages,8.03,#625,#3670,"41,868",524,13207,"Two Girls. One Dream. And the entire world for a stage. At 13 years old, Maya Kitajima seems destined to spend the rest of her life toiling in a crowded restaurant alongside her bitter and unstable mother. But when her incredible acting talent is discovered by the legendary diva Chigusa Tsukikage, Maya finds a new future filled with both golden opportunities and terrifying risks. For Ayumi Himekawa, success has always been assured, yet she longs to be recognized for her own talents and skills, not her famous parents' connections. For both, the ultimate prize is the role of The Crimson Goddess in the play of the same name, a part created by Chigusa. To achieve this goal, both Maya and Ayumi must seek out and conquer every acting challenge, pushing the limits of their talent and endurance to the utmost, until they are worthy of the part… But for one to win, the other must fail! (Source: Sentai Filmworks)","['Adaptation (Manga) Glass no Kamen', '']",Glass no Kamen (2005),Glass Mask,"['Performing Arts', 'Showbiz']",['Shoujo'],,
16,Futakoi 2,フタコイ オルタナティブ,,,,['TV'],13,Finished Airing,"Apr 7, 2005 to Jun 30, 2005",['Spring 2005'],Thursdays at 03:10 (JST),['Lantis'],['Discotek Media'],"['ufotable', 'feel.', 'Studio Flag']",Original,"['Comedy', 'Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.84,#5126,#4150,"32,754",83,12328,"The Futaba Detective Agency, being run by Rentarou, who has taken over the family business, after his father's death 3 weeks ago. Along with Sara & Souju, his live-in identical twin assistants. He ends up running afoul of the local Yakuza. (Source: ANN)","['Adaptation (Manga) Futakoi Alternative', '']",Futakoi Alternative,,,,,
17,"Absolute Boy, Zettai Shonen",絶対少年,,,Zettai Shonen,['TV'],26,Finished Airing,"May 21, 2005 to Nov 19, 2005",['Spring 2005'],Saturdays at 08:06 (JST),"['Bandai Visual', 'Mellow Head', 'Genco', 'Sogo Vision', 'Jinnan Studio', 'MICO']","None found,",['Ajia-do'],Original,"['Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.85,#5100,#4980,"21,658",71,4376,"Oftentimes, people are most vulnerable when they are lonely and unable to get along with those around them. Isolation is felt more keenly amongst a crowd, so some will try to find solace in the strangest of places, where the unknown lurks. Such people include Ayumu Aizawa, a former city boy now living in the countryside of Tana, and Kisa Tanigawa, a young girl who has a hard time relating to others. What these two share in common is a feeling that their life has gone astray. Zettai Shounen tells a story of strange phenomena affecting two different settings, with no explanations of their origin or sudden appearance. All that is known is that these phenomena seem to center on individuals with mixed emotions toward themselves and others. [Written by MAL Rewrite]","['Adaptation (Light Novel) Zettai Shounen', '']",Zettai Shounen,,,,,
18,,ドラえもん (2005),,,,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",['Anthropomorphic'],25 min.,PG - Children,7.71,#1262,#5003,"21,435",239,9595,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,,"['Kids', 'Shounen']"
19,Gokujo Seitokai,極上生徒会,Best Student Council,,,['TV'],26,Finished Airing,"Apr 7, 2005 to Sep 29, 2005",['Spring 2005'],Unknown,['Konami'],['ADV Films'],['J.C.Staff'],Original,,['School'],24 min. per ep.,PG-13 - Teens 13 or older,6.91,#4802,#5039,"21,058",62,7324,"Randou Rino is a young girl with a head full of air and a talking puppet on her hand. She is accepted into the illustrious Gokujou all-girl's school, and is summarily, almost curiously, accepted as part of the even more illustrious Gokujou Student Council, who has more power and business ventures than most large businesses. Now a part of the student council, she befriends the talented members of the Gokujou Student Council, leaving one to wonder how a girl with seemingly no talents or redeeming qualities would get chosen for such a group. (Source: ANN)","['Adaptation (Manga) Gokujou Seitokai', '']",Gokujou Seitokai,,,,['Comedy'],
20,,おねがいマイメロディ,Onegai My Melody,,,['TV'],52,Finished Airing,"Apr 3, 2005 to Mar 26, 2006",['Spring 2005'],Sundays at 09:30 (JST),"['TV Osaka', 'Yomiko Advertising', 'Sanrio']","None found,",['Studio Comet'],Unknown,"['Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,7.33,#2670,#5271,"18,768",228,5474,"My Melody arrives on Earth much to the surprise of her rival Kuromi. Together with one of the junior high school students, Yumeno Uta, they decide to protect the dreams of the people with the help of magic.","['Sequel (TV) Onegai My Melody: Kurukuru Shuffle!', '']",Onegai My Melody,,,,,
21,"Koikoi7, Koikoi 7",こいこい7,Koi Koi Seven,Koi Koi Seven,Koi Koi Seven,['TV'],13,Finished Airing,"Apr 2, 2005 to Jun 25, 2005",['Spring 2005'],Saturdays at 01:30 (JST),['Trinet Entertainment'],['Discotek Media'],['Studio Flag'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,25 min. per ep.,R+ - Mild Nudity,5.73,#11236,#5388,"17,699",16,6566,"Tanaka Tetsuro is excited at getting a full scholarship at a new high school, far away from his family. What he does not know is that he will be the only boy in an all girl school, and that there is a girl head-over-heels in love with him, waiting for his arrival. But his special friendship with the very cute and dynamic Asuka also causes him to get into a lot of trouble with the powerful student council leadership, as they are at open war with Asuka and her five friends, a group of super amazon warriors called the Koi Koi Seven.","['Adaptation (Manga) Koi Koi 7', '']",Koi Koi 7,Koi Koi Seven,"['Harem', 'School']",['Shounen'],,
22,,ゾイド ジェネシス,Zoids Genesis,,,['TV'],50,Finished Airing,"Apr 10, 2005 to Mar 26, 2006",['Spring 2005'],Unknown,['Shogakukan Productions'],['VIZ Media'],['Shogakukan Music & Digital Entertainment'],Original,"['Action', 'Adventure', 'Comedy']",,25 min. per ep.,PG-13 - Teens 13 or older,7.19,#3405,#5509,"16,653",33,6958,"Natural disasters have devastated planet Zi, killing off almost all life. A thousand years later humans have gradually re-established civilization, salvaging ancient Zoids through diving and mining efforts. In a village whose most previous item is a giant sword which they worship as a holy symbol. A teenage boy discovers an ancient Liger-type Zoid while on a deep water salvage operation. Suddenly the village is attacked by skeletal Bio-Zoids intent on stealing a powerful generator located in the village. Our teenage hero awakens the Liger and discovers that the town`s sacred sword is the Liger`s weapon, together they fight off the mysterious Bio-Zoids. At least for now... (Source: AniDB)",[],Zoids Genesis,,"['Mecha', 'Military']",,,
