,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genre,Theme,Demographics
48,Sergeant Frog,ケロロ軍曹,Sgt. Frog,,,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1298,#2552,"80,330","1,281",35920,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,,,['Parody'],
49,,ジャイアントキリング,Giant Killing,,,['TV'],26,Finished Airing,"Apr 4, 2010 to Sep 26, 2010",['Spring 2010'],Sundays at 09:25 (JST),['NHK'],"None found,",['Studio Deen'],['Manga'],"['Drama', 'Sports']",,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1839,#2700,"73,107",375,36488,"East Tokyo United (ETU) has been struggling in Japan's top soccer league for the past few years. It has taken everything they have just to avoid relegation. To make matters even worse, the team has lost five matches in a row, leading to abysmal team morale. Even the fans are beginning to abandon them, and rumors hint that the home ground municipality is going to withdraw their support. With countless coaches fired and poor financial choices in hiring players, it is a downward spiral for ETU. The board of directors, under pressure from general manager Kousei Gotou, takes a gamble and hires a new coach—the slightly eccentric Takeshi Tatsumi. Though considered a great soccer player when he was younger, Tatsumi abandoned ETU years ago. However, since then, he has proven himself successful as the manager of one of England's lower division amateur teams. Tatsumi's task won't be easy; ETU fans call him a traitor, and the team is pitted against others with larger budgets and better players. Yet even the underdog can take down a goliath, and Tatsumi claims he is an expert at giant killing. [Written by MAL Rewrite]","['Adaptation (Manga) Giant Killing', '']",Giant Killing,,,['Team Sports'],
50,,爆丸バトルブローラーズ  New Vestroia,Bakugan: New Vestroia,,,['TV'],52,Finished Airing,"Mar 2, 2010 to Mar 5, 2011",['Spring 2010'],Unknown,['Nelvana'],"None found,",['TMS Entertainment'],Original,"['Adventure', 'Fantasy']",,,24 min. per ep.,PG - Children,6.57,#6622,#2774,"69,713",212,43420,"After the final downfall of the rogue Bakugan Naga, peace was brought back to Vestroia. With the help of Danma Kuusou, his companion Pyrus Dragonoid, and other Battle Brawlers, the Infinity and Silent Cores were combined and the realm was recreated. However, New Vestroia will not be given any respite as humanoid alien invaders, the Vestals, arrive and conquer the Bakugan world in one fell swoop. Armed with a fearsome machine capable of restricting Bakugan into their ball forms, they aim to enslave the race as a form of entertainment. Now, the only force standing in their way is the Bakugan Battle Brawlers Resistance—a group of humans, Bakugan, and Vestals who oppose the idea of annihilating a sentient race. Led by Danma, they must venture into enemy-occupied New Vestroia and repel the invaders, to assure the survival of the entire world. [Written by MAL Rewrite]","['Prequel (TV) Bakugan Battle Brawlers', 'Sequel (TV) Bakugan Battle Brawlers: Gundalian Invaders']",Bakugan Battle Brawlers: New Vestroia,,,['Strategy Game'],
51,Major 6th Season,メジャー 第6シリーズ,,,,['TV'],25,Finished Airing,"Apr 3, 2010 to Sep 25, 2010",['Spring 2010'],Saturdays at 18:00 (JST),"['Shogakukan-Shueisha Productions', 'NHK', 'NHK Enterprises']","None found,",['SynergySP'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.31,#271,#2896,"64,777",473,37938,"The intense Baseball World Cup has reached its conclusion. Gorou Honda has regained his passion for baseball and is once again back in full gear. He has secured a team position with the Hornets and has travelled back to America to prepare for his spectacular debut as a Major League pitcher. However, Gorou encounters a sudden series of unexpected issues and devastating events follow, crushing his motivation and potentially reducing the baseball career that he has worked tirelessly to maintain into crumbs. In the final season of Major, Gorou must yet again overcome immense hardship in order to save his baseball career. This time there is no simple solution, as the problem is deeply rooted within his own mind... [Written by MAL Rewrite]","['Prequel (TV) Major S5', 'Sequel (OVA) Major: World Series', 'Adaptation (Manga) Major', '']",Major S6,,['Sports'],['Team Sports'],
52,"Metal Fight Beyblade: Explosion, Metal Fight Beyblade 2, Beyblade: Metal Fusion 2",メタルファイト ベイブレード～爆～,Beyblade: Metal Masters,,Beyblade: Metal Masters,['TV'],51,Finished Airing,"Apr 4, 2010 to Mar 27, 2011",['Spring 2010'],Unknown,"['TV Tokyo', 'd-rights']",['Nelvana'],['SynergySP'],['Manga'],"['Adventure', 'Comedy', 'Sports']",,['Kids'],25 min. per ep.,PG - Children,7.04,#4212,#3055,"58,524",207,37648,"Ginga Hagane and his crew of Bladers are back and ready to take on new challenges. The World Championship beckons, and Ginga is more than prepared, now equipped with a new Beyblade, the Galaxy Pegasus W105R2F. And he will be battling with a tag-partner from the USA, Masamune Kadoya. However, Masamune has also set his eyes on the championship, and plans to defeat Gingka. Masamune may be not the only threat to Ginga's path to victory. The world's top Blader Kyoya was chosen alongside Ginga, Masamune, Tsubasa, and Yu to represent Japan, but instead decides to join the African team. Together with his teammate Benkei, he wishes to take down Ginga and the Japanese team. The stage is now set for one of the most dramatic showdowns in Metal Fight Beyblade: Baku.","['Prequel (TV) Metal Fight Beyblade', 'Sequel (TV) Metal Fight Beyblade 4D']",Metal Fight Beyblade: Baku,Beyblade Metal Masters,,,
53,,ヒーローマン,,,,['TV'],26,Finished Airing,"Apr 1, 2010 to Sep 23, 2010",['Spring 2010'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Dentsu', 'Square Enix', 'Fonishia']","None found,",['Bones'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Super Power']",,24 min. per ep.,PG-13 - Teens 13 or older,6.81,#5275,#3639,"42,637",82,16460,"In California's Center City, shy but kindhearted Joseph Carter ""Joey"" Jones lives with his grandmother, working in a coffee shop. Though his family is financially burdened and he is bullied at school, he remains cheerful. A robotics enthusiast, he wants a top-of-the-line toy robot called a Heybo more than anything. One day Joey and his friend Simon ""Psy"" Kaina come across a destroyed Heybo discarded by a group of rich kids. He takes it home and repairs it himself, excitedly naming it Heroman. However, one night Heroman is struck by lightning and comes to life, growing several times its size in the process. That same night Center City is attacked by aliens called Skrugg whose attention was brought to Earth after Joey's acquaintance Professor Matthew Denton made attempts to contact them. Along with Joey, Heroman quickly heads to the scene of the attack, where he finds people in trouble, including his friend Lina Davis and her father. Using an arm-mounted controller, Joey is able to command Heroman to use superpowers to fight off the Skrugg and rescue civilians. As the aliens continue their invasion of Earth, the duo are the only ones separating humanity and destruction. [Written by MAL Rewrite]","['Adaptation (Manga) Heroman', '']",Heroman,,,,
54,Heartcatch Pretty Cure!,ハートキャッチプリキュア!,,,,['TV'],49,Finished Airing,"Feb 7, 2010 to Jan 30, 2011",['Winter 2010'],Sundays at 08:30 (JST),"None found,","None found,",['Toei Animation'],Original,"['Action', 'Comedy']",,,24 min. per ep.,G - All Ages,7.86,#901,#4025,"34,679",658,13268,"Young flower enthusiast Tsubomi Hanasaki is often modest and quiet. But with her family moving to a new town, she aims to reinvent her image at her new school as someone more confident and outgoing. On moving day, she dreams of a mysterious tree in the sky guarded by a warrior named ""Cure Moonlight."" Tsubomi quickly learns that this was no ordinary dream when she encounters two mysterious fairies—Chypre and Coffret—who are being hunted down by a strange woman. When the woman summons a giant monster to attack the city, Tsubomi finds herself transforming into a warrior to fight the enemy! Taking on the alias ""Cure Blossom,"" Tsubomi learns that the woman is part of a villainous group that aims to turn the world into a lifeless desert, with her new duty being to stop it from happening. As Tsubomi continues to battle more monsters and uncover the secrets behind Cure Moonlight, will she find the confidence needed to overcome her timid nature? [Written by MAL Rewrite]","['Adaptation (Manga) Heartcatch Precure!', 'Adaptation (Novel) Shousetsu Heartcatch Precure!']",Heartcatch Precure!,,,['Mahou Shoujo'],
55,,ドラえもん (2005),,,,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,,25 min.,PG - Children,7.71,#1259,#5003,"21,420",239,9589,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,['Anthropomorphic'],"['Kids', 'Shounen']"
56,"Jewelpet Twinkle Star, Jewelpet 2, Jewelpet Tinkle",ジュエルペット てぃんくる☆,,Jewelpet Temporada 2,,['TV'],52,Finished Airing,"Apr 3, 2010 to Apr 2, 2011",['Spring 2010'],Unknown,"['TV Tokyo', 'Sotsu', 'MediaNet', 'Sanrio', ""We've Inc.""]","None found,",['Studio Comet'],Original,,"['Anthropomorphic', 'Mahou Shoujo', 'School']",,24 min. per ep.,PG - Children,7.42,#2248,#5950,"13,683",137,5607,"In Jewel Land, Jewelpets, creatures who has the natural ability to use magic lived in harmony with the Witches, attending the School of Witchcraft and Wizardry to learn to use magic with their Jewel Eyes. However for Ruby, a white Japanese Hare whose magic sometimes fail, is appointed to go to the Human World to search for her partner. But when she used the card the magicians gave her, she was sent to the Human World by accident. In the Human World, A girl named Akari Sakura met her on the beach on her way to school. At first, Akari can't understand her due to her Jewel Land Language until Ruby took a special candy so she could speak and understand human language. As the day passes, Ruby knew about her problems and later apologized. A Jewel Charm appeared on Akari's hand and she realized it that she's chosen by Ruby to be her partner. After that, she decided to enter the Jewel Star Grand Prix, on the prize is that any wish that they wanted will be granted. Will she be the Next Jewel Star and her wish be granted in the end? Or It'll just end in one big disaster... (Source: Wikipedia)","['Prequel (TV) Jewelpet', 'Sequel (Special) Jewelpet Twinkle☆: Hohoemi no Niji ni Dokki☆Doki!', 'Adaptation (Manga) Jewel Pet', '']",Jewelpet Twinkle☆,,['Fantasy'],,
57,Himechan! Otogitic Idol Lil'Pri,ひめチェン! おとぎちっくアイドル リルぷりっ,Spellbound! Magical Princess Lilpri,Spellbound! Magical Princess Lilpri,Spellbound! Magical Princess Lilpri,['TV'],51,Finished Airing,"Apr 4, 2010 to Mar 27, 2011",['Spring 2010'],Sundays at 09:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,",['TMS Entertainment'],Game,,,,24 min. per ep.,PG - Children,6.96,#4553,#6343,"11,588",52,4451,"The Fairytale World is in trouble. Its princesses and their respective worlds are disappearing, causing a ripple effect in the human world where their stories are popular. In order to save the Fairytale World, the Queen sends three magic animals, Sei, Dai, and Ryoku, to the human world with magic gems to find three girls who can become the ""Super Miracle Idols,"" the princesses Snow White, Cinderella, and Kaguya-hime. Those ""princesses"" end up being three little girls: Yukimori Ringo, Takashiro Layla, and Sasahara Natsuki. But the gems transform them into older singing superstars, and after their accidental debut at the singer Wish's concert, they become known as ""Little Princesses,"" or ""LilPri."" Now they must collect Happiness Tones from humans in order to restore the Fairytale World.","['Adaptation (Manga) Lilpri', '']",Hime Chen! Otogi Chikku Idol Lilpri,Spellbound! Magical Princess Lilpri,['Fantasy'],['Mahou Shoujo'],
58,"Anymal Tantei Kiruminzoo, Animal Tantei Kiruminzoo, Animal Detectives Kiruminzoo, Anyamaru Tantei Kiruminzoo, Anyamaru Tantei Kiruminzuu",あにゃまる探偵 キルミンずぅ,,,,['TV'],50,Finished Airing,"Oct 5, 2009 to Sep 20, 2010",['Fall 2009'],Mondays at 17:30 (JST),"['HAL Film Maker', 'Sotsu', 'Starchild Records', 'MediaNet', 'AT-X', 'JM Animation', 'Aoni Entertainment']","None found,",['Satelight'],Original,,,,23 min. per ep.,G - All Ages,7.14,#3665,#6866,"9,627",64,2541,"While searching for a run-away cat the twins Riko and Rimu Mikogami find a strange device that transforms them into ""Kirumin."" It also enables them to turn into real animals. Their older sister Nagisa soon joins them. Now the three have cute, funny and sometimes dangerous adventures.",[],Anyamal Tantei Kiruminzoo,,['Comedy'],,
59,,サザエさん,Mrs. Sazae,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9129,#7131,"8,800",39,1933,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,
60,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,El Ninja Boy Rantaró,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4017,#7391,"8,012",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,['Comedy'],,
61,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,Chibi Maruko-chan,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,['Shoujo'],23 min.,G - All Ages,7.34,#2626,#7914,"6,770",62,2183,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,['Comedy'],['School'],
62,BB Senshi,SDガンダム三国伝 Brave Battle Warriors,,,,['TV'],51,Finished Airing,"Apr 3, 2010 to Mar 19, 2011",['Spring 2010'],Unknown,"['Sotsu', 'TV Tokyo Music']",['Nozomi Entertainment'],['Sunrise'],Original,,"['Historical', 'Mecha']",,12 min. per ep.,PG - Children,6.27,#8463,#8635,"5,488",5,1972,A Romance of the Three Kingdoms retelling using SD Gundams.,"['Sequel (ONA) SD Gundam World: Sangoku Souketsuden', '']",SD Gundam Sangokuden Brave Battle Warriors,,['Action'],,
63,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6586,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,
64,Battle Spirits Season 2,バトルスピリッツ 少年激覇ダン,,,,['TV'],50,Finished Airing,"Sep 13, 2009 to Sep 5, 2010",['Fall 2009'],Unknown,"None found,","None found,",['Sunrise'],Card game,,"['Isekai', 'Military', 'Strategy Game']",,23 min. per ep.,PG - Children,6.96,#4538,#9295,"4,435",11,1720,"Dan Bashin is a spirited teenager known for his aggressive playstyle in the card game Battle Spirits, earning him the title of ""Clash King."" One day, a mysterious green-haired girl transports him to the otherworldly land of ""Grand Rolo,"" where disputes are settled by card duels. Upon his arrival, Dan is immediately thrust into a conflict between the kingdom's imperial army and its oppressed natives. There, he learns that he is a prophetic warrior known as a ""bearer of cores' light,"" chosen to save the land from its evil king. Accompanied by a young boy named Zungurii and the eccentric witch Magisa, Dan travels across Grand Rolo and encounters the other chosen warriors through card battles. With the name of the Clash King gaining fame throughout Grand Rolo, secrets that lurk within the shadows of the kingdom's colonial past begin to surface. Only time will tell if Dan's campaign will affect the world on a scale much larger than he ever could have imagined. [Written by MAL Rewrite]","['Sequel (TV) Battle Spirits: Brave', 'Adaptation (Manga) Battle Spirits: Shounen Gekiha Dan']",Battle Spirits: Shounen Gekiha Dan,,['Adventure'],,
65,Gokujo!! Mecha Mote Iincho Second Collection,極上!!めちゃモテ委員長 セカンドコレクション,The Best!! Extremely Cool Student Council President Second Collection,,,['TV'],51,Finished Airing,"Apr 3, 2010 to Apr 10, 2011",['Spring 2010'],Unknown,"['TV Tokyo', 'Shogakukan-Shueisha Productions']","None found,",['Shogakukan Music & Digital Entertainment'],['Manga'],"['Comedy', 'Romance']",,['Shoujo'],24 min. per ep.,PG - Children,6.26,#8504,#10153,"3,378",5,983,The continuation of Gokujou!! Mecha Mote Iinchou with a new title. Episode numbers continue from 51.,"['Prequel (TV) Gokujou!! Mecha Mote Iinchou', 'Adaptation (Manga) Gokujou!! Mecha Mote Iinchou']",Gokujou!! Mecha Mote Iinchou Second Collection,,,['School'],
66,"Mainichi Kaa-san, Every Day Mom",毎日かあさん,Kaasan: Mom's Life,Kaasan Mom's Life,Kaasan Mom's Life,['TV'],142,Finished Airing,"Apr 1, 2009 to Mar 25, 2012",['Spring 2009'],Unknown,['Nihon Ad Systems'],"None found,","['Gallop', 'TYO Animations', 'Dongwoo A&E']",['Manga'],"['Comedy', 'Slice of Life']",,,20 min. per ep.,PG - Children,7.22,#3274,#10187,"3,347",24,1068,Based on Rieko Saibara's humorous semi-autobiographical manga about her life raising her two children.,[],Mainichi Kaasan,Kaasan Mom's Life,,['Childcare'],
67,Zui Qiang Wujiang Chuan · Sanguo Yanyi,最强武将传·三国演义,The Legend of the Strongest General: Romance of the Three Kingdoms,,,['TV'],52,Finished Airing,"Apr 4, 2010 to Mar 27, 2011",['Spring 2010'],Sundays at 09:30 (JST),"['Hisashishi Videos', 'TOMY Company']","None found,","['Future Planet', 'Beijing Huihuang Animation Company']",Novel,,,,25 min. per ep.,PG-13 - Teens 13 or older,6.81,#5298,#10633,"2,927",5,434,"Chinese-Japanese anime adaptation of the ""Romance of the Three Kingdoms"" classic novel. Lui Bei embarks on a journey to quell the chaos that plagues his homeland, bringing with him his sworn brothers, Zhang Fei and Guan Yu. With only a small army and no land Lui Bei is forced to take a subservient role to other Generals, in order to keep him safe from those who continually come after his life.",[],Saikyou Bushouden: Sangoku Engi,,,['Historical'],
68,Cooking Idol,クッキンアイドル　アイ！マイ！まいん！,,,,['TV'],305,Finished Airing,"Mar 30, 2009 to Mar 22, 2013",['Spring 2009'],Unknown,"['NHK', 'Nihon Ad Systems']","None found,",['Studio Deen'],Original,"['Comedy', 'Gourmet']",,['Kids'],6 min. per ep.,PG - Children,6.25,#8567,#10690,"2,884",9,739,"Cooking Idol teaches children how to cook through instruction of the main character, MAIN. The show itself is divided into an animated segment featuring MAIN, and a live-action segment featuring the voice actor of MAIN, Fukuhara Haruka, as she practices the cooking herself. The live-action segment is not included in the avg episode duration.",[],Cookin' Idol Ai! Mai! Main!,,,,
69,,デュエル・マスターズ クロスショック,,,,['TV'],50,Finished Airing,"Apr 3, 2010 to Mar 26, 2011",['Spring 2010'],Unknown,"['Shogakukan-Shueisha Productions', 'Asahi Broadcasting']","None found,",['Shogakukan Music & Digital Entertainment'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],10 min. per ep.,PG-13 - Teens 13 or older,6.16,#9059,#11447,"2,297",1,756,"Shobu and friends continue to face the members of Fua Duelist in the world championship and defeat them all. And now Shobu is the world champion. Before Shobu could relax he is being called into the creature world to face Diabolos Zeta, Temporal Ruler, who is about to bring annihilation. Shobu and friends gather the new legendary cards and stop him with their new powers of these cards. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Cross', 'Sequel (TV) Duel Masters Victory']",Duel Masters Cross Shock,,,['Strategy Game'],
70,,おじゃる丸,Prince Mackaroo,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7746,#11556,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,
71,,たまごっち!,,,,['TV'],143,Finished Airing,"Oct 12, 2009 to Sep 3, 2012",['Fall 2009'],Unknown,"None found,","None found,",['OLM Digital'],Game,,,['Kids'],25 min. per ep.,G - All Ages,6.34,#8029,#11901,"2,006",11,552,The stories will follow the daily lives of the Tamagotchi and feature new characters and settings. (Source: ANN),"['Sequel (TV) Tamagotchi! Yume Kira Dream', '']",Tamagotchi!,,['Comedy'],,
72,"Marie to Gali ver.2.0, Marie and Gali 2.0",マリー＆ガリー ver.2.0,,,,['TV'],30,Finished Airing,"Mar 20, 2010 to Mar 22, 2011",['Spring 2010'],Saturdays at 18:55 (JST),['NHK'],"None found,",['Toei Animation'],Original,,,,5 min. per ep.,PG-13 - Teens 13 or older,5.99,#9977,#13156,"1,350",0,345,The second season of Marie & Gali.,"['Prequel (TV) Marie & Gali', '']",Marie & Gali ver. 2.0,,['Comedy'],['Educational'],
73,,親子クラブ,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12199,#13602,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,
74,Hana Kappa,はなかっぱ,,,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,['Kids'],10 min.,PG - Children,6.00,#9912,#14258,"1,005",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,,['Comedy'],,
75,,최강 합체 믹스마스터,Mix Master: Final Force,,,['TV'],39,Finished Airing,"May 26, 2010 to Mar 16, 2011",['Spring 2010'],Unknown,['Sunwoo Entertainment'],"None found,","None found,",Original,"['Adventure', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.12,#9247,#14309,991,4,234,"Mix Masters Final Force is the second season of the original mix masters show. In this story, Ditt forgets that he was a mix master. But when the time comes to save the world once again, he finds new friends to help him in his battle against Eva and Babel, the two new antagonists. (Source: Wikipedia)","['Prequel (TV) Card Wang: Mix Master', '']",Choegang Habche: Mix Master,,,,
76,Chii-Sui Maru,ちーすい丸,,,,['TV'],41,Finished Airing,"Feb 6, 2010 to Nov 26, 2010",['Winter 2010'],Unknown,"None found,","None found,","None found,",Original,,,,1 min. per ep.,G - All Ages,5.79,#10971,#15690,672,1,133,"The offensive and defensive battles between Nobuo, an office worker, and Chi-Sui Maru, a mosquito.","['Sequel (TV) Chi-Sui Maru 2nd Season', '']",Chi-Sui Maru,,['Comedy'],,
77,,リトル・チャロ2,Little Charo 2: Adventure in the Middle World,,,['TV'],50,Finished Airing,"Mar 29, 2010 to Mar 21, 2011",['Spring 2010'],Mondays at Unknown,['NHK'],"None found,","None found,",Original,,,,5 min. per ep.,G - All Ages,[],#19842,#16448,568,0,,"NHK's English education program. In Little Charo 2, the puppy journeys with his master through a mysterious place called the Middle World, which lies between the World of the Living and the World of the Dead. (Source: AniDB)",[],Little Charo 2,,['Slice of Life'],['Educational'],
78,The Animal Conference on the Environment,動物かんきょう会議,,,,['TV'],20,Finished Airing,"Mar 20, 2010 to Aug 20, 2010",['Spring 2010'],Unknown,['NHK'],"None found,",['Studio Deen'],Unknown,,"['Anthropomorphic', 'Educational']",['Kids'],5 min. per ep.,G - All Ages,[],#17781,#16712,535,1,,"The Animal Conference on the Environment is a fun animated series through which children can learn about environmental issues and explore different cultures. Animals from all over the world, each with their own unique personality and backstory, get together and discuss the environment around them. By sharing information, prejudices, and misconceptions, they come to understand each other and value the environment. (Source: Official site)",[],Doubutsu Kankyou Kaigi,,,,
79,,えほん寄席,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",['Kids'],5 min. per ep.,PG - Children,[],#17873,#17187,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,['Horror'],,
80,"Panpaka Panties, Panpaka Underwear",パンパカパンツ,Panpaka Pantsu,,,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,['Kids'],15 sec. per ep.,G - All Ages,[],#20959,#17400,467,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,,['Comedy'],,
