,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Themes,Genre,Demographics
10,Duel Masters 2.0,デュエル・マスターズ,,['TV'],26,Finished Airing,"Oct 21, 2002 to Apr 4, 2003",['Fall 2002'],Unknown,['Shogakukan Productions'],['Hasbro'],"['Studio Hibari', 'A.C.G.T.']",['Manga'],"['Action', 'Comedy', 'Fantasy']",['Strategy Game'],['Kids'],21 min. per ep.,PG-13 - Teens 13 or older,5.84,#10728,#4750,"24,170",40,13409,"The world of Duel Masters is one of five great civilizations. Through a card game, duelists can bring these worlds into existence, making what was previously abstract into reality. These skilled duelists are known as Kaijudo masters. Shobu Kirifuda is the best player at his local playground, and seeks to become a world-class master like his father. His first step on the road to conquest begins with winning a local tournament. Rather, it should have, except he is destroyed by the best Kaijudo master in the world, Knight. Shobu loses, but upon remembering the words of wisdom his father instilled into him, decides to continue on the road of becoming a duelist who can enjoy the game for what it is. And so begins his journey to victory－and as we all know, the journey is the most important part!","['Sequel (TV) Duel Masters Charge', 'Adaptation (Manga) Duel Masters']",Duel Masters,,,,,,
11,"Habitat Ground Jewdo, Heat Guy Jay, HeatGuy-J",ヒートガイジェイ,HeatGuy J,['TV'],25,Finished Airing,"Oct 2, 2002 to Mar 26, 2003",['Fall 2002'],Wednesdays at 01:50 (JST),"['Bandai Visual', 'TBS']","['Funimation', 'Geneon Entertainment USA']",['Satelight'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.12,#3828,#5119,"20,284",73,7285,"In the city of Judoh, Claire Leonelli has inherited leadership of the Mafia group ""Vampire"" following the death of his father. To keep Claire's and other criminal activities in check, the city's Bureau of Urban Safety has Special Services Division operative Daisuke Aurora and the super android codenamed ""J"" (whose identity is apparently kept in secrecy, as androids are banned in the city). With both of them around, crime now has little room to breathe in Judoh. (Source: ANN)","['Adaptation (Manga) Heat Guy J', '']",Heat Guy J,,Heat Guy J,Heat Guy J,"['Detective', 'Organized Crime']",,
12,Hanada Shonen-Shi,花田少年史,,['TV'],25,Finished Airing,"Oct 2, 2002 to Mar 26, 2003",['Fall 2002'],Unknown,"['VAP', 'Nippon Television Network']","None found,",['Madhouse'],['Manga'],"['Comedy', 'Drama', 'Supernatural']",,['Seinen'],23 min. per ep.,R+ - Mild Nudity,7.98,#690,#5486,"16,869",165,5058,"Ichiro Hanada is a hyperactive little boy who lives with his parents, sister, and grandfather in a rural town. He is always up to some kind of mischief, often teasing his sister or making rude comments to others. Consequently, his mother constantly scolds him, and even the neighbours express disturbance from time to time on how rowdy he can be. One day, after pulling a terrible prank, Ichiro sprints onto the streets as his mother chases him. He steals a nearby bicycle and takes on a dangerous route, eventually being hit by a truck. Miraculously, he survives the crash, requiring nine stitches to the back of his head and balding for the surgery. However, the near-death experience gains him the ability to see ghosts—the last thing he needs in his life. Since Ichiro is the only one who can communicate with them, several ghosts of people who have recently died come to him, seeking help to fulfill their last wishes before achieving enlightenment. Each adventure with a ghost leaves the young and curious boy with a different lesson that gradually makes him wiser. [Written by MAL Rewrite]","['Adaptation (Manga) Hanada Shounen-shi', '']",Hanada Shounen-shi,,,,,,
13,"Petite Pri Yuushi, Puchi Puri Yuushi",ぷちぷり＊ユーシィ,Petite Princess Yucie,['TV'],26,Finished Airing,"Sep 30, 2002 to Mar 24, 2003",['Fall 2002'],Mondays at 18:00 (JST),"None found,",['ADV Films'],"['Gainax', 'AIC']",Game,"['Comedy', 'Fantasy']",,,25 min. per ep.,G - All Ages,7.40,#2386,#5544,"16,429",96,6614,"Despite recently turning 17, the otherwise ordinary Yucie still has the body of a child. Having stopped growing past the age of 10, Yucie yearns to fully mature into an adult body. One day, she is chosen as a candidate for the title of ""Platinum Princess,"" given once in a thousand years to whoever is worthy of the Eternal Tiara—a mysterious crown said to grant any wish. She's not alone either, as four other candidates also compete to have their own wishes granted by the crown. As a result, Yucie enrolls at the nearby Princess Academy in order to grow her heart and work towards becoming qualified for the Eternal Tiara. With her family, rivals, and even the principal of the academy there to lend a hand, will Yucie's much-desired wish finally come true? [Written by MAL Rewrite]","['Adaptation (Manga) Puchi Puri Yuushi', '']",Puchi Pri*Yucie,,,,,,
14,Gravion,超重神グラヴィオン,Super Heavy God Gravion,['TV'],13,Finished Airing,"Oct 8, 2002 to Dec 17, 2002",['Fall 2002'],Tuesdays at 02:10 (JST),"['Fuji TV', 'Imagica']",['ADV Films'],['Gonzo'],Original,"['Action', 'Comedy', 'Sci-Fi']",['Mecha'],,23 min. per ep.,PG-13 - Teens 13 or older,6.38,#7791,#5722,"15,172",19,5442,"The year is now 2041 AD. A new enemy called Zeravire suddenly appears in the solar system, destroying all military installations it comes across. However, a wealthy man named Klein Sandman is already aware of this planned invasion and had been secretly preparing his army for battle. His trump card is Gravion, a giant robot that utilizes gravity as its source of energy. Meanwhile a young man named Eiji secretly enters Sandman's base in search for his missing sister. It is there that he meets another young man by the name of Toga... These two must now fight together with four other individuals aboard the super robot, Gravion to fend off the Zeravire threat. (Source: ANN)","['Sequel (TV) Choujuushin Gravion Zwei', '']",Choujuushin Gravion,,,,,,
15,,オーバーマン キングゲイナー,,['TV'],26,Finished Airing,"Sep 7, 2002 to Mar 22, 2003",['Fall 2002'],Saturdays at 19:05 (JST),"['Bandai Visual', 'WOWOW']","['Bandai Entertainment', 'Sentai Filmworks', 'Discotek Media']",['Sunrise'],Original,"['Action', 'Adventure', 'Sci-Fi']",['Mecha'],,25 min. per ep.,PG-13 - Teens 13 or older,6.93,#4687,#5769,"14,846",43,4567,"Sometime in the distant future, mankind is forced to live in domed cities while the rest of the world is left to recover from years of environmental hardships. In the Siberian Dome-polis, professional gamer Gainer Sanga and mercenary Gain Bijou commandeer an Overman and lead a mass exodus out of the city. (Source: ANN)","['Adaptation (Manga) Overman King Gainer', '']",Overman King Gainer,,,,,,
16,"Weiss Kreuz Gluehen, Weiss Kreuz Gluhen, White Cross Glowing",ヴァイスクロイツ・グリーエン,Knight Hunters Eternity,['TV'],13,Finished Airing,"Nov 28, 2002 to Mar 20, 2003",['Fall 2002'],Unknown,"['animate Film', 'Kids Station', 'Movic']",['Media Blasters'],['ufotable'],Original,"['Action', 'Drama']",,,24 min. per ep.,R - 17+ (violence & profanity),6.52,#6953,#6475,"11,089",22,4153,"Koua is an academy that brings Japanese's most talented people and students together. The mission is to train talented people to bear the world's future leadership. However, recently, the suicide rate in the academy is increasing and there is hardly any information being released to the public. Fujimiya Aya is sent to infiltrate this school carrying out criminal investigation and disguise himself as a teacher. In fact, actually, there is a connection between Koua academy and the global terrorist activities that are frequently occur. Therefore Persia assigns Hidaka Ken and Kudou Youji as well into this mission to solve the truth and connection of the incident behind Koua academy. (Source: AniDB)","['Prequel (TV) Weiß Kreuz', 'Prequel (OVA) Weiß Kreuz OVA']",Weiß Kreuz Glühen,,,,,,
17,Galaxy Angel AA,ギャラクシーエンジェルＡ; ギャラクシーエンジェルＡＡ,Galaxy Angel A,['TV'],26,Finished Airing,"Oct 6, 2002 to Mar 31, 2003",['Fall 2002'],Sundays at 09:30 (JST),"['Bandai Visual', 'TV Osaka', 'Broccoli', 'Yomiko Advertising']","['Nozomi Entertainment', 'Bandai Entertainment']",['Madhouse'],Original,"['Comedy', 'Sci-Fi']",,,24 min. per ep.,PG - Children,7.28,#2927,#6584,"10,632",19,4761,"Their mission is to locate and retrieve the mysterious Lost Technology, even though these girls have never been known to stick to their mission. Milfeulle, Forte, Ranpha, Mint, and Vanilla are back for another round of hilarity. The Galaxy Angels have sworn to protect the galaxy one planet at a time. Now with some competition with the newly-formed Twin Star Brigade, they continue to find themselves in the center of chaos... though usually they're the ones at fault for its cause. (Source: ANN)","['Prequel (TV) Galaxy Angel Z', 'Sequel (TV) Galaxy Angel 4']",Galaxy Angel 3,,,,,,
18,Sister Princess Repure,シスター・プリンセス ～リピュア～,,['TV'],13,Finished Airing,"Oct 4, 2002 to Dec 25, 2002",['Fall 2002'],Unknown,['Omnibus Promotion'],['Discotek Media'],['Zexcs'],['Light novel'],"['Drama', 'Romance']",['Harem'],,25 min. per ep.,PG-13 - Teens 13 or older,6.29,#8311,#6692,"10,226",11,3809,"After a long time, Wataru has decided to leave his family home and live on his own. The girls have also decided to split up and most of them are living separately as well. But none of them have forgotten about their brother and still stick together to meet him. (Source: AniDB)","['Prequel (TV) Sister Princess', 'Adaptation (Light Novel) Sister Princess']",Sister Princess: Re Pure,,,,,,
19,,PIANO,Piano: The Melody of a Young Girl's Heart,['TV'],10,Finished Airing,"Nov 11, 2002 to Jan 13, 2003",['Fall 2002'],Mondays at 20:00 (JST),"['animate Film', 'Kids Station', 'Pioneer LDC']",['Nozomi Entertainment'],['OLM'],Original,"['Drama', 'Romance']",['Music'],,24 min. per ep.,G - All Ages,5.98,#10003,#6868,"9,656",12,3562,"When Miu was young, she was fascinated by the piano and took up lessons. When the show opens, Miu is in middle school. She is shy, a soft-spoken girl who doesn't have a lot of confidence in herself. Her friends would describe her as ""sweet"" and ""quiet."" At this point, Miu has been taking piano lessons for some time and while people have told her that she's gotten very good over the years, Miu herself feels she's not really good at anything—including the piano. Her teacher, Mr. Shirakawa, is often frustrated with her playing. Although she plays every note exactly correct, her heart just isn't in it... Meanwhile, Miu's come of the age when she's noticing boys and this shy young lady has noticed the handsome Kazuya Takahashi—even if he hasn't noticed her. This is Miu's story. The story of a young girl who is on a journey to discover the melody within her own heart and the courage to express it. (Source: RightStuf)",[],Piano,,,,,,
20,,プラトニック・チェーン,,['TV'],24,Finished Airing,"Oct 5, 2002 to Mar 29, 2003",['Fall 2002'],Saturdays at 02:25 (JST),"None found,","None found,",['ACiD FiLM'],Novel,"['Sci-Fi', 'Slice of Life']",,,6 min. per ep.,PG-13 - Teens 13 or older,5.72,#11303,#8435,"5,820",25,1129,"In the near future, technology has made a few leaps and bounds, and videophones and constant wireless internet access are available to everyone. However, it would seen that the government has been careless and a skilled hacker was able to break into the national information archive. Using the data held there he creates the Platonic Chain website for people to discover information about themselves and their friends. Words start to spread quickly that there is a site that enables you to look up anything. Coincidentally, three young girls, Hitomi, Rika, and Kanae, are able to access the site. (Source: ANN)","['Adaptation (Manga) Platonic Chain', '']",Platonic Chain,,,,,,
21,Bomberman Jetterz,ボンバーマン ジェッターズ,,['TV'],52,Finished Airing,"Oct 2, 2002 to Sep 24, 2003",['Fall 2002'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems']","None found,",['Studio Deen'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Space'],,23 min. per ep.,G - All Ages,6.90,#4809,#8840,"5,159",56,1914,"Deep Space, many different cultures have come together to live on planet Jet. To keep the peace an organization known as the Jetters is formed. This space police group fight against the villains known as the ""Hige hige dan"" making sure that the universe is safe. The leader of the Jetters Mighty is a powerful Bomberman, who is looked up to and respected....his brother however is a lazy crude slacker named Shirobon. Suddenly Mighty disappears and Shiro finds himself placed in a new situation. Shiro steps up and become a responsible Bomberman, and with the new friends he made of the Jetters it may become possible for him to be the next ""Jetters leader."" (Source: ANN)",[],Bomberman Jetters,,,,,,
22,"Asobotto Senki Goku, Anbot Senki Gokyuu, Association Robot Goku",アソボット戦記五九,Monkey Typhoon,['TV'],52,Finished Airing,"Oct 1, 2002 to Sep 30, 2003",['Fall 2002'],Tuesdays at 18:30 (JST),['TV Tokyo'],"None found,",['Studio Egg'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.59,#6527,#9567,"4,068",8,1480,"Four years into the future, the world has lost its balance... 10 thousand metres of vast woodland is gone, preventing humans to live and leaving a desert to spread endlessly. And so, they head into the world of Meshichi, to live together with the Anbots. As if guided by fate, Sanzou and Gokyuu meet. Traveling together, Sanzou - a young man shrouded in mystery, Gokyuu - the strongest and worst Anbot around, Tongoh - an Anbot fond of drinking, Jou - someone who is great with machines, Suuji - a female Anbot thief, and last but not least, Mioto. And so, their journey begins to the boundless East, to the land where the sun was born! (Source: AnimeNfo)","['Adaptation (Manga) Assobot Goku', '']",Asobot Senki Gokuu,,,,,,
23,,奇鋼仙女ロウラン,Strange Steel Fairy Rouran,['TV'],28,Finished Airing,"Nov 15, 2002 to May 30, 2003",['Fall 2002'],Unknown,['Starchild Records'],"None found,",['Zexcs'],Original,"['Action', 'Fantasy']",['Mecha'],,12 min. per ep.,PG-13 - Teens 13 or older,5.69,#11433,#10704,"2,879",3,769,"When the secret occult society, Shiromorishuua, sends a huge monster to attack Tokyo, ASY, a peace-keeping organization in Japan, retaliates with a Gousen (metal faery). ASY's Gousen annihilates the creature after driving it into open ocean. Although successful, a surprise attack follows. A girl, floating in midair and glowing with radiance, strikes with a beam of light. This girl is ""Rouran."" She knows neither her identity, her origins, nor why whenever she senses the Gousen or Kyoushi (reanimated corpses) she transforms into an avenging angel. As Rouran worries about her mysterious existence, Tetsuya kindly watches over her in Tokyo Arcadia, a settlement of expatriates and dissidents. (Source: AniDB)",[],Kikou Sennyo Rouran,,,,,,
24,,真･女神転生Ｄチルドレン ライト＆ダーク,,['TV'],52,Finished Airing,"Oct 5, 2002 to Sep 27, 2003",['Fall 2002'],Unknown,"None found,","None found,",['Actas'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']",,['Kids'],24 min. per ep.,PG - Children,6.44,#7428,#10913,"2,698",3,730,"A series based off of the Shin Megami Tensei Devil Children: Light & Dark games (known as DemiKids in the U.S.). The year is 200X. Jin, Akira and Lena are three child hood friends who like mysterious things. One day in the library, along with the mysterious transfer student Ami, they find the ""Akuma Compendium"". They chanted an incantation in the book and, to their surprise, devils appeared. Ami then told Jin and Akira that they are the Devil Children that will decide the fate of the world. She hands them their Devil Risers. The group then pass through the ""Door of Time"" to the land of Valhalla where they fight an evil ruler known as Imperius who plans on conquering all of the world. The Nakama of Jin is Rand, a Sol Lion, and Akira's is Gale, a Hylon. (Source: Wikipedia.org)","['Prequel (TV) Shin Megami Tensei Devil Children', '']",Shin Megami Tensei Devil Children: Light & Dark,,,,"['Mythology', 'Video Game']",,
25,"Shin Seiki Den Mars, Mars, New Century Legend Mars, Mars the Terminator",神世紀伝マーズ,,['TV'],13,Finished Airing,"Oct 31, 2002 to Feb 6, 2003",['Fall 2002'],Unknown,"['MediaNet', 'AT-X', 'Tsuburaya Productions']","None found,","['Plum', 'Studio Guts']",['Manga'],"['Action', 'Sci-Fi']",['Mecha'],['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,5.46,#12247,#11844,"2,046",1,760,"While reporting on a recently formed volcanic island, journalist Iwakura finds a stranded young man with no memories. News of the incident catches the attention of a mysterious person called Rush, who tracks down the amnesiac and explains to him the truth about his identity. The young man is named Mars and, like Rush, he is not originally from Earth. Mars was dispatched with one mission: to command a tremendously powerful robot named Gaia to destroy Earth when it becomes clear that humans are attempting to extend their influence into outer space. As a precaution, Gaia is programmed to self-destruct, taking the planet along with it, in the event that Mars dies. In light of Mars' amnesia, Rush agrees to give him 10 days to study Earth's history and decide his course of action. Mars must now choose whether to follow through with his duty or fight to save humanity. [Written by MAL Rewrite]","['Adaptation (Manga) Mars', '']",Shinseikiden Mars,,,,,,
