,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genre,Themes,Spanish,Demographics
10,,クロスゲーム,Cross Game,,['TV'],50,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 10:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,",['SynergySP'],['Manga'],"['Drama', 'Romance', 'Sports']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.37,#219,#1861,"128,199","3,061",52312,"Kou Kitamura and Aoba Tsukishima are often at odds—even though their families happen to be close friends and business partners. Although the only child of a sports shop owner, Kou has never been interested in playing baseball. Despite this, he possesses an impressive batting ability honed by frequent visits to the local baseball batting center run by the Tsukishima family. On the other hand, Aoba loves to play baseball and is a star player with exceptional pitching form. However, these two seemingly complete opposites share something very important to them—Wakaba Tsukishima, Aoba's older sister and Kou's destined sweetheart. Admired by the quarrelsome duo, Wakaba often finds herself the catalyst to their never-ending rivalry. But whether or not they realize that they have more in common than either would care to admit, only time will tell. The game of baseball may just be what the pair needs to ultimately overcome their own personal struggles. [Written by MAL Rewrite]","['Adaptation (Manga) Cross Game', '']",Cross Game,,,"['School', 'Team Sports']",,
11,Hayate the Combat Butler Season 2,ハヤテのごとく!!,Hayate the Combat Butler!!,Hayate the Combat Butler Saison 2,['TV'],25,Finished Airing,"Apr 4, 2009 to Sep 19, 2009",['Spring 2009'],Saturdays at 01:23 (JST),"['TV Tokyo', 'Geneon Universal Entertainment', 'Shogakukan-Shueisha Productions', 'Shogakukan Music & Digital Entertainment']",['Sentai Filmworks'],['J.C.Staff'],['Manga'],"['Action', 'Comedy', 'Romance']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.66,#1405,#1985,"117,677",462,58293,"Hayate Ayasaki's misfortune continues to hand him the short end of the stick. Now settled into his routine at the Sanzenins' mansion and Hakuou Academy, the butler continues to work as hard as ever in caring for his young mistress Nagi while studying the school's grueling curriculum—all on top of trying his best to survive the multitude of troubles that life relentlessly pushes onto him. The unintentional chick magnet's life is far from quiet, forced to deal not only with Nagi's yet unnoticed infatuation with him, but also the evergrowing string of accidentally seduced girls—most notably, the exceptionally plain Ayumu Nishizawa, a friend of his before he became a butler, and the diligent Hinagiku Katsura, Hakuou's student council president. While one struggles to gain his affection and the other desperately tries to deny her own, both the girls are going to make the boy's life a little more complicated than it already is. [Written by MAL Rewrite]","['Prequel (OVA) Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!', 'Sequel (Movie) Hayate no Gotoku! Heaven Is a Place on Earth', 'Adaptation (Manga) Hayate no Gotoku!', '']",Hayate no Gotoku!!,Hayate the Combat Butler! Season 2,,"['Harem', 'Parody']",Hayate the Combat Butler! Temporada 2,
12,"Queen's Blade, Sentou Kyoukain Alain",クイーンズブレイド 流浪の戦士,Queen's Blade: The Exiled Virgin,Queen's Blade,['TV'],12,Finished Airing,"Apr 2, 2009 to Jun 18, 2009",['Spring 2009'],Unknown,"['Genco', 'Media Factory', 'AT-X', 'Magic Capsule', 'Hobby Japan', 'Toranoana']",['Media Blasters'],['Arms'],Other,"['Action', 'Adventure', 'Fantasy', 'Ecchi']",,,24 min. per ep.,R+ - Mild Nudity,6.12,#9279,#2138,"105,601",240,37837,"In a land where a queen is chosen every few years solely by winning a tournament, there can be no short supply of formidable opponents. For one woman warrior however, an early defeat clearly shows her that she is lacking in experience though she may be bountiful in body. Fortunately, while defeat could spell one's doom, her life is saved by a powerful stranger. But unfortunately for this savior, less-than-pure motives and shrewd family members mean her reward is a prison cell. Her release is prompt when the unseasoned warrior she saved, tired of her current lifestyle of nobility, sets off to prove herself. (Source: Media Blasters)","[""Sequel (TV) Queen's Blade: Gyokuza wo Tsugu Mono"", ""Adaptation (Manga) Queen's Blade: Hide & Seek"", ""Adaptation (Manga) Queen's Blade: Rurou no Senshi"", '']",Queen's Blade: Rurou no Senshi,Queen's Blade,,,,
13,Hatsukoi Gentei.,初恋限定。,Hatsukoi Limited,Hatsukoi Limited,['TV'],12,Finished Airing,"Apr 12, 2009 to Jun 28, 2009",['Spring 2009'],Sundays at 00:00 (JST),"['Geneon Universal Entertainment', 'Lantis', 'Magic Capsule', 'KlockWorx', 'Shueisha']",['Sentai Filmworks'],['J.C.Staff'],['Manga'],"['Comedy', 'Romance']",['School'],['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.26,#3035,#2160,"104,415",237,41610,"Ayumi Arihara believes that being loved is the ultimate key to happiness—which is why her greatest wish is to have a boy confess to her. A series of unfortunate events leads to her ideal dream coming true, albeit in a nightmarish way: the towering and terrifying Misao Zaitsu confesses his love to Ayumi through a letter. Mentally exhausted from not knowing what to do, Ayumi collapses in class. A classmate comes to her rescue, carrying her princess-style to the infirmary. This makes Ayumi fall in love with the cute boy, only to realize he is none other than Misao's younger brother, Mamoru. Feeling caught between a rock and a hard place, Ayumi must decide whether to stick to her idea of love or pursue what she truly desires. However, Ayumi is not alone in her struggles—all her friends are also taking on the challenges of first love, and for teenagers, it is never as easy as it seems. [Written by MAL Rewrite]","['Adaptation (Manga) Hatsukoi Limited.', '']",Hatsukoi Limited.,,,,,
14,Asura Kurain,アスラクライン,,,['TV'],13,Finished Airing,"Apr 2, 2009 to Jun 25, 2009",['Spring 2009'],Thursdays at 08:00 (JST),"['TV Tokyo', 'Starchild Records', 'Raku High Student Council']",['Maiden Japan'],['Seven Arcs'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.88,#4946,#2164,"103,849",175,47727,"Natsume Tomoharu is a normal high-school student in every way with one exception: he's being followed by the ghost of his best friend, Misao. After moving into his brother's old house, Tomoharu expects to continue living his normal life but is one day left with a mysterious and locked briefcase without any instruction. At first he plans to leave it in storage; however, his house is soon invaded by multiple groups of people after the briefcase. Although still not knowing the purpose of the briefcase, Tomoharu and Misao attempt to escape with it. From there on, Tomoharu tries to learn the secrets behind the briefcase, the connections between it and Misao, and why it has the power to change the world. [Written by MAL Rewrite]","[""Sequel (TV) Asura Cryin' 2"", ""Adaptation (Manga) Asura Cryin'"", ""Adaptation (Light Novel) Asura Cryin'"", '']",Asura Cryin',,,"['Harem', 'Mecha', 'School']",,
15,,メタルファイト ベイブレード,Beyblade: Metal Fusion,Bayblade Metal Fusion,['TV'],51,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 08:30 (JST),"['TV Tokyo', 'd-rights']",['Nelvana'],['Tatsunoko Production'],['Manga'],"['Adventure', 'Comedy', 'Sports']",,['Kids'],25 min. per ep.,PG - Children,6.92,#4744,#2228,"99,250",482,64847,"A new cast of characters take on the continued battle between good and evil. Ginga, our hero, and his group of loyal friends take on a dangerous group called the Dark Nebula. The Dark Nebula’s sole mission is to take over the world and unleash their evil upon it; but before they can do so, they must destroy Ginga as he is the only person that’s strong enough to stand in their way. The plot thickens as friends become enemies and enemies become allies. Everything starts and ends with Ginga as he struggles to find the strength to defend his world and the honor of Beyblade. (Source: Beyblade.com)","['Sequel (TV) Metal Fight Beyblade: Baku', 'Adaptation (Manga) Metal Fight Beyblade']",Metal Fight Beyblade,Bayblade Metal Fusion,,,Beyblade: Metal Fusion,
16,,咲-Saki-,,,['TV'],25,Finished Airing,"Apr 6, 2009 to Sep 28, 2009",['Spring 2009'],Mondays at 02:00 (JST),"['TV Tokyo', 'Square Enix', 'Sotsu', 'Lantis', 'Pony Canyon', 'KlockWorx', 'TV Tokyo Music', 'Kiyosumi High School Mahjong Club', 'Sotsu Music Publishing', 'Future Vision Music']","None found,","['Gonzo', 'Picture Magic']",['Manga'],,,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.45,#2148,#2272,"96,914",841,39045,"Due to childhood circumstances, first-year high school student Saki Miyanaga hates anything related to mahjong. When she does play the game, she keeps a low profile to avoid standing out. One day, her friend Kyoutarou Suga drags her along to the school's mahjong club. There, she meets Nodoka Haramura, the champion of the previous year's national middle school mahjong championship, and Yuuki Kataoka, a fellow club member. As the club play a few rounds, Saki attempts to hide her talent. However, the club president, Hisa Takei, notices Saki's unusual playstyle. Realizing her potential, she puts Saki's real ability to the test—proving her to be more talented than expected. This revelation damages Nodoka's pride, and their relationship gets off to a rocky start. Saki ends up joining the club, and after clearing up the misunderstandings between her and Nodoka, friendship blooms between them. As Saki slowly warms up to mahjong once again, she and the rest of her club only have one goal—to win nationals! [Written by MAL Rewrite]","['Sequel (TV) Saki: Zenkoku-hen', 'Adaptation (Manga) Saki']",Saki,,['Slice of Life'],"['School', 'Strategy Game']",,
17,,ティアーズ・トゥ・ティアラ,Tears to Tiara,,['TV'],26,Finished Airing,"Apr 6, 2009 to Sep 28, 2009",['Spring 2009'],Unknown,"['Dwango', 'Bushiroad', 'Showgate', 'Good Smile Company']",['Sentai Filmworks'],['White Fox'],Visual novel,"['Action', 'Adventure', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.14,#3712,#2536,"81,060",179,31755,"As the Holy Empire rises to power, the neighboring lands begin to gradually fall under its control. The Empire's conquest eventually reaches the small island of Erin, home to the Gael tribe. There, a priestess named Riannon is kidnapped to be offered as a living sacrifice to the demon king Arawn, a malevolent being rumored to have caused untold destruction in the past. Riannon's brother, First Warrior Arthur, rescues her, when Arawn suddenly materializes before them as a handsome grey-haired man. Hiding his true identity and remaining enigmatic, Arawn pledges his power and leadership to the tribe's cause and joins Arthur, Riannon, and their merry band of friends—including a talented swordsman, an agile hunter, and a group of ecstatic pixies—as they fight back against the Empire, while uncovering the dark secrets of the land along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Tears to Tiara: Kakan no Daichi', '']",Tears to Tiara,,,,,
18,Tayutama,タユタマ -Kiss on my Deity-,,,['TV'],12,Finished Airing,"Apr 6, 2009 to Jun 22, 2009",['Spring 2009'],Mondays at 00:30 (JST),"['Media Factory', 'Delfi Sound']",['Sentai Filmworks'],['SILVER LINK.'],Visual novel,"['Romance', 'Supernatural']",['Harem'],,23 min. per ep.,PG-13 - Teens 13 or older,6.70,#5896,#2722,"72,419",121,30818,"Yuuri Mito is a typical, normal Japanese teenager. He goes to school, works on people's motorcycles and performs exorcisms. Okay, that last part's a little bit unusual, but his family lives in a shrine and they do that sort of thing. Still, you would think he'd know enough to be careful with an ancient relic he finds in the woods, especially when a mysterious goddess appears and tells him to leave it alone. Unfortunately, despite Mito's best efforts, the seal gets broken anyway and a number of dangerous ""tayuti"" that it held in stasis get loose. This is bad. Mito also ends up with a beautiful goddess girl who decides that she's going to marry him. This might not be so bad. if he wasn't already caught up in the middle of a war between the entities he's released. The flesh may be weak but the spirit's more than willing to compensate. (Source: Sentai Filmworks)","['Adaptation (Manga) Tayutama: Kiss on my Deity', '']",Tayutama: Kiss on My Deity,,,,,
19,,花咲ける青少年,Hanasakeru Seishonen,Hanasakeru Seishonen,['TV'],39,Finished Airing,"Apr 5, 2009 to Feb 14, 2010",['Spring 2009'],Sundays at 23:01 (JST),"['NHK', 'Sogo Vision']",['Discotek Media'],['Pierrot'],['Manga'],"['Drama', 'Romance']",['Reverse Harem'],['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.69,#1331,#2742,"71,312",608,26937,"Kajika Louisa Kugami Burnsworth is the only daughter of Harry Burnsworth, an influential and respected industrialist who has the power to move the world. There was a threat on Kajika’s life when she was just two years old, and her mother died protecting her. After this tragic incident, Harry sent his only child to an isolated island, Giviolle, where she was raised by the island’s native, Maria. Kajika’s companions during her time there include a white leopard named Mustafa and a boy named Li Ren Fang, who visited her two or three times a year. Kajika, now fourteen, returns to her father's side, only to be told to begin a game to find her future husband. Harry makes sure that Kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband. She needs to decide among the three candidates that Harry has personally chosen, but it won’t be easy. Kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm. All the while, the men aren't even aware that they are the chosen ones. Kajika must also choose wisely, as her partner has to willingly accept her to be his bride. Hansakeru Seishounen revolves around endearing love, intense passion, noble friendship, undying loyalty, family relations, and political intrigue. The heaviness of Kajika’s fate is real, the threat on Kajika’s life is inevitable, and the husband game is more than just a mere game. Harry needs to find a suitable partner to protect his daughter before someone discovers Kajika’s deep secret—a secret even she is unaware of.","['Adaptation (Manga) Hanasakeru Seishounen', '']",Hanasakeru Seishounen,Hanasakeru Seishonen,,,Hanasakeru Seishonen,
20,,シャングリ・ラ,Shangri-La,,['TV'],24,Finished Airing,"Apr 6, 2009 to Sep 14, 2009",['Spring 2009'],Mondays at 00:00 (JST),"['NTT Docomo', 'Atelier Musa']",['Funimation'],['Gonzo'],Novel,"['Action', 'Drama', 'Sci-Fi']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.04,#4171,#2860,"66,237",145,21011,"In a post-apocalyptic society, much of earthquake-riddled Japan has been left to ruin, resulting in an abundance of greenery. Governments manage much of the world's emissions, resulting in a massive class divide and economic disparity. The Japanese government launches ""Project Atlas,"" a utopian city that will replace Tokyo but can only fit a certain amount of people. This limitation means that some people will have to live outside the city in jungles, as refugees. However, with any flawed plan comes those who are willing to challenge it. These include Kuniko Houjou, an heir to a renegade town; Mikuni, a mysterious and powerful child kept in a secret temple; Kunihito Kusanagi, a soldier for the high-tech and exclusive monopoly Atlas; Karin Ishida, a genius economics whiz with her hand in markets across the world; and the villainous Ryouko Naruse, leading Atlas in its domination of this future world. Can this group of rebels, forming a movement known as ""Metal-Age,"" band together to demonstrate that inclusion and teamwork prevail over cruel segregation? [Written by MAL Rewrite]","['Adaptation (Manga) Shangri-La', '']",Shangri-La,,,,,
