,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Synonyms,Demographics
153,スーパードラゴンボールヒーローズ,,,,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",,['Shounen'],8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11258,#2567,"79,112",255,30977,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,['Martial Arts'],,,
154,じょしおちっ！～2階から女の子が…降ってきた！？～,What She Fell on Was the Tip of My Dick,,,,['ONA'],9,Finished Airing,"Jul 2, 2018 to Aug 27, 2018",,,"['Tokyo MX', 'Suiseisha']","None found,",['Ark'],['Manga'],"['Comedy', 'Hentai']",,,6 min. per ep.,Rx - Hentai,6.54,N/A,#3057,"58,454",268,21694,"The ceiling collapsed and a girl fell through from the second floor!? Sousuke lives in a rundown apartment building where his only consolation is that the landlord is a beautiful woman and the girl who lives above him is cute. One day though, the ceiling above him creaks and... Bang! In from the second floor, directly above him, the cute girl comes crashing down on him…!? In an erotic encounter that can only be classified as a miracle, hearts and bodies are connected by chance. Then for some reason, he starts to live with both of these beautiful women!? Under this one roof, just what exactly will become of this crowded love triangle...!? (Source: Honey's Anime)","['Adaptation (Manga) Joshiochi!: 2-kai kara Eromusume ga Futtekite, Ore no Are ni!?', '']",Joshiochi! 2-kai kara Onnanoko ga... Futtekita!?,['Love Polygon'],,"Falling Girls! A Girl Comes... Falling from the Second Floor, Joshi Ochi! A Girl Fell from the 2nd Floor",
155,爆丸バトルブローラーズ Mechtanium Surge,Bakugan: Mechtanium Surge,,,,['ONA'],46,Finished Airing,Sep 2018 to 2018,,,"None found,",['Nelvana'],['TMS Entertainment'],Original,"['Action', 'Adventure', 'Fantasy']",,,24 min. per ep.,G - All Ages,6.24,#8595,#3409,"47,458",73,27722,"After returning from the feuding realms of Gundalia and Neathia, Danma Kuusou and his companions continue their lives on Earth. Now, a year later, the virtual reality world of Bakugan Interspace has finally recovered from the alien invasion and has once again become a place for brawlers to gather and challenge themselves. It turns out, however, that whenever Danma's Bakugan, Pyrus Dragonoid, unleashes his might in battle, the Interspace experiences new disruptions. Unable to harness the incredible powers granted to him by Code Eve—the Bakugan Mother spirit—he struggles to maintain control over the Mechtogan contained within him. When it goes out of control, the mysterious mechanical entity wreaks havoc on the battlefield, attacking friends and foes alike. To make matters worse, Bakugan Interspace is at risk of being infiltrated again. An unknown mastermind is sending mutated Chaos Bakugan into the system in order to brainwash brawlers and take control of the virtual realm. In anticipation of the inevitable confrontation, Danma must find a way to keep the Mechtogan's destructive force at bay and rally the Battle Brawlers once again. [Written by MAL Rewrite]","['Prequel (TV) Bakugan Battle Brawlers: Gundalian Invaders', '']",Bakugan Battle Brawlers: Mechtanium Surge,['Strategy Game'],,,
156,ネコぱら 仔ネコの日の約束,,,,,['ONA'],1,Finished Airing,"Jul 27, 2018",,,"None found,","None found,","['Felix Film', 'aNCHOR']",Visual novel,"['Comedy', 'Romance']",,,21 min.,PG-13 - Teens 13 or older,7.01,#4376,#4029,"34,621",46,15317,"Six months before the opening of the patisserie La Soleil, Chocola and Vanilla are still kittens trying to fit into the Minazuki household. As the two youngest catgirls under Kashou and Shigure's care, the two learn from and mature alongside four other catgirls⁠—Azuki, Maple, Cinnamon, and Coconut⁠⁠. Soon, they approach their first Christmas together as a family. [Written by MAL Rewrite]","['Sequel (OVA) Nekopara OVA', '']",Nekopara: Koneko no Hi no Yakusoku,['Anthropomorphic'],,Nekopara OVA Extra,
157,オーバーロード　ぷれぷれぷれあです3,,,,,['ONA'],13,Finished Airing,"Jul 10, 2018 to Oct 2, 2018",,,"None found,","None found,",['Studio PuYUKAI'],['Light novel'],"['Action', 'Comedy', 'Fantasy']",,,1 min. per ep.,PG-13 - Teens 13 or older,6.81,#5295,#4096,"33,540",19,16128,Super deformed parody shorts of Overlord III streamed on Kadokawa's official YouTube channel.,"['Prequel (ONA) Overlord: Ple Ple Pleiades 2', 'Sequel (ONA) Overlord: Ple Ple Pleiades 4']",Overlord: Ple Ple Pleiades 3,['Isekai'],,,
158,ソードガイ The Animation Part II,,Sword Gai The Animation Teil 2,Sword Gai The Animation Part 2,Sword Gai The Animation Partie 2,['ONA'],12,Finished Airing,"Jul 30, 2018",,,['Production I.G'],"None found,","['DLE', 'LandQ studios']",['Manga'],"['Action', 'Supernatural']",,['Seinen'],22 min. per ep.,R - 17+ (violence & profanity),5.74,#11195,#4152,"32,571",29,16864,Part II of Sword Gai: The Animation.,"['Prequel (ONA) Sword Gai The Animation', 'Adaptation (Manga) Sword Gai']",Sword Gai The Animation Part II,,,,
159,刺客伍六七 番外,Killer Seven,,,,['ONA'],4,Finished Airing,"Aug 1, 2018 to Aug 22, 2018",,,"['Sharefun Studio', 'AHA Entertainment']","None found,","None found,",Original,"['Action', 'Comedy', 'Drama', 'Mystery', 'Romance']","['Martial Arts', 'Super Power']",,12 min. per ep.,R - 17+ (violence & profanity),7.53,#1833,#4515,"27,214",63,15677,Extra episodes of Killer Seven.,"['Sequel (ONA) Cike Wu Liuqi', '']",Cike Wu Liuqi Fanwai,,,"Cike Wuliuqi Fanwai, Ci Ke Wu Liu Qi: Fan Wai, Assassin Seven: Extra Story",
160,Dies irae: To the ring reincarnation,,Dies Irae ONA,Dies Irae ONA,Dies Irae ONA,['ONA'],6,Finished Airing,"Jul 1, 2018",,,"['Genco', 'DMM pictures', 'Greenwood', 'My Theater D.D.', 'Brave Hearts', 'Crunchyroll SC Anime Fund']",['Funimation'],['A.C.G.T.'],Visual novel,,,,28 min. per ep.,R - 17+ (violence & profanity),5.99,#9973,#4727,"24,377",37,8478,Episodes 12–17 of Dies Irae released exclusively on the web.,"['Prequel (TV) Dies Irae', 'Adaptation (Manga) Dies Irae: Amantes Amentes']",Dies Irae: To the Ring Reincarnation,['Super Power'],['Action'],"Day of Wrath, Dies Irae ONA",
161,BanG Dream! ガルパ☆ピコ,,,,,['ONA'],26,Finished Airing,"Jul 5, 2018 to Dec 27, 2018",,,"None found,","None found,","['SANZIGEN', 'DMM.futureworks']",Mixed media,,,,3 min. per ep.,PG-13 - Teens 13 or older,7.74,#1172,#4815,"23,357",134,12536,Mini anime series featuring the girls from Girls Band Party!,"['Sequel (ONA) BanG Dream! Garupa☆Pico: Oomori', '']",BanG Dream! Garupa☆Pico,['Music'],['Comedy'],"BanG Dream! Garupa Pico, BanG Dream! Girls Band Party!☆PICO",
162,メカウデ,Mechanical Arms,,,,['ONA'],1,Finished Airing,"Sep 30, 2018",,,"None found,","None found,",['TriF Studio'],Original,"['Action', 'Sci-Fi']",,,25 min.,PG-13 - Teens 13 or older,6.78,#5442,#4902,"22,324",55,8043,"Long ago, alien lifeforms came to Earth, fusing with people on the planet. Due to their appearance, they were dubbed ""Mecha-ude,"" as when fused, they bore a striking resemblance to mechanized limbs. Through an involuntary partnership, average middle schooler Hikaru Amatsuga works alongside the Mecha-ude Arma, who is an extremely rare and special existence. To protect Arma, the resistance group ARMS assigns the dual Mecha-ude user Aki Murasame to follow him wherever he goes. However, she is also looking for a mysterious Snake-Type Mecha-ude wielder, who has put many of her comrades in a critical state. Behind the scenes, an organization known as the Kagami Group is searching for the mythical ""Trigger Arm,"" a Mecha-ude said to grant unlimited power. When Aki's life is threatened by this group, Hikaru must team up with Arma to find the courage to fight back and, along the way, learn that his life will never be ordinary again. [Written by MAL Rewrite]",[],Mecha-ude,,,,
163,喂，看見耳朵啦！,,,,,['ONA'],12,Finished Airing,"Aug 25, 2018 to Nov 3, 2018",,,"['bilibili', 'Alchemy Bros.']","None found,",['monofilmo'],['Web manga'],"['Boys Love', 'Comedy']",,,3 min. per ep.,PG-13 - Teens 13 or older,7.23,#3225,#5139,"19,965",104,8968,"Da Shu is a a manga creator who grew up in an orphanage, and whose works do not sell very well. Da Shu lives each lonely day in boredom, but one day he meets a young man named Miao who has cat ears, and his everyday life completely changes. Miao gets in trouble every day, but for the first time in his life, Da Shu's heart experiences ""warmth."" (Source: ANN)","['Sequel (ONA) Wei, Kanjian Erduo La! 2', '']","Wei, Kanjian Erduo La!",['Anthropomorphic'],,"Hora, Mimi ga Mieteru yo!, Hey, Your Ears Are Showing!",
164,あるゾンビ少女の災難,Calamity of the Zombie Girl,Calamity of a Zombie Girl,,,['ONA'],1,Finished Airing,"Jul 4, 2018",,,"None found,","None found,","['Gonzo', 'Stingray']",['Light novel'],"['Action', 'Horror', 'Supernatural']",,,1 hr. 19 min.,R+ - Mild Nudity,5.32,#12641,#5658,"15,484",22,6703,"On a hot summer day, five university students sneak into the library storage to look for some treasure. They find two sets of female antique mummies from Italy around the age of 14–20 years old. One of the students, Sayaka, rips open the mummy and takes out a stone called ""stone of life,"" which gave the mummies super strength and eternal life. Having stolen their ""stone of life,"" the two mummy girls wake up and become zombies after 100 years in order to get it back in a bloody gruesome way, smashing their heads and eating their flesh for power. The only way for the students to get out is to somehow find a way to kill the zombie girls. Will they be able to survive? (Source: Shochiku)","['Adaptation (Light Novel) Aru Zombie Shoujo Series', '']",Aru Zombie Shoujo no Sainan,['Gore'],,"The Misfortune of a Certain Zombie Girl, Calamity of a Zombie Girl",
165,小绿和小蓝,Beryl and Sapphire,,,,['ONA'],72,Finished Airing,"Aug 27, 2018 to Feb 16, 2019",,,['Tencent Animation & Comics'],"None found,",['Haoliners Animation League'],['Web manga'],"['Boys Love', 'Comedy', 'Drama', 'Sci-Fi']",,,12 min. per ep.,PG-13 - Teens 13 or older,7.45,#2163,#6497,"10,955",104,2155,"""I've been holding a few words back for a long time — I like you!"" ""Beryl and Sapphire"" is a popular manhua created by artist Ocarina. Here includes protagonists with the most random names in history — the mild-mannered Beryl (Green) and the easily-embarrassed Sapphire (Blue). At times the closest of friends, at others the worst of enemies… In this donghua where each episode is set in a different world, how would they encounter each other time and again?? Only angst? Too painful! Nothing but fluff? Too sugary! Come watch B&S, the show where you'll never guess the ending… (Source: Guodong Subs)","['Sequel (ONA) Xiao Lu He Xiao Lan 2nd Season', '']",Xiao Lu He Xiao Lan,['School'],,"Xiaolu He Xiaolan, Xiao Lv He Xiao Lan, Xiaolv He Xiaolan, Green and Blue, Lil' Green and Lil' Blue",
166,むち無知ッ強制成長中っ!!!,,,,,['ONA'],2,Finished Airing,"Jul 13, 2018 to Jul 20, 2018",,,['SELFISH'],"None found,",['Office TakeOut'],Original,,,,15 min. per ep.,Rx - Hentai,6.91,N/A,#6560,"10,692",88,4885,"Our protagonist is a teacher of a small class of girls. One day he gave the girls a snack, but that snack ended up having some HUGE effects! They grew up! They behave just as they did before, despite their voluptuous bodies... Receiving lots of their unintentional temptations, his patience is about to run out... (Source: hanime)",[],Muchi Muchi Kyousei Seichouchuu!!!,,['Hentai'],,
167,妖神记之影妖篇,,,,,['ONA'],40,Finished Airing,"Sep 25, 2018 to Feb 8, 2019",,,['bilibili'],"None found,",['Ruo Hong Culture'],Novel,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Martial Arts', 'Mythology']",,7 min. per ep.,PG-13 - Teens 13 or older,7.52,#1877,#7011,"9,148",26,4459,Third season of Yao Shen Ji.,"['Prequel (ONA) Yao Shen Ji 2nd Season', 'Sequel (ONA) Yao Shen Ji 4th Season']",Yao Shen Ji 3rd Season,,,"Yao Shen Ji: Ying Yao Pian, Tales of Demons and Gods 3rd Season",
168,一人之下 天师下山 番外篇,,,,,['ONA'],2,Finished Airing,"Sep 30, 2018 to Apr 14, 2019",,,['Tencent Animation & Comics'],"None found,",['Qiyuan Yinghua'],['Web manga'],"['Action', 'Supernatural']",,,16 min. per ep.,R - 17+ (violence & profanity),6.61,#6450,#7184,"8,619",6,1588,This story is about a Taoist master who went to the Heavenly Mountain.,"['Prequel (ONA) Yi Ren Zhi Xia 2', 'Adaptation (Manhua) Yi Ren Zhi Xia']",Yi Ren Zhi Xia: Fanwai Pian,['Super Power'],,"Hitori no Shita: The Outcast - Fanwai Pian, Yi Ren Zhi Xia: Tianshi Xia Shan, The Outcast OVA, The Outcast: Extra Story, The Outcast: Taoist Master Goes Down The Mountain",
169,約束の七夜祭り,Starlight Promises,Starlight Promises,Starlight Promisses,Starlight Promises,['ONA'],1,Finished Airing,"Aug 3, 2018",,,['XFLAG'],"None found,",['Yokohama Animation Laboratory'],Original,"['Drama', 'Sci-Fi']",,,1 hr. 2 min.,PG-13 - Teens 13 or older,6.70,#5911,#7364,"8,092",7,3829,"""A festival of miracle, where you can meet whoever you want to meet."" Mihara Shoma, a first-year in high school, receives a message from his best friend Atsushi, who he hadn't heard from in ages. ""Wanna come to this cool little festival I found? It's been a while, so I'd like to catch up."" Unable to sit around after that, Shoma heads to a ghost village in the mountains for the Tanabata Nanayamatsuri. But he doesn't find Atsushi there. Instead, he meets a girl named Shiori, who has someone she wants to meet as well. Will Shoma be able to meet Atsushi once again? (Source: Crunchyroll)",[],Yakusoku no Nanaya Matsuri,['Samurai'],,,
170,レイプ合法化っ!!!,,,,,['ONA'],2,Finished Airing,"Sep 14, 2018 to Sep 21, 2018",,,['SELFISH'],"None found,",['Office TakeOut'],Other,,,,15 min. per ep.,Rx - Hentai,5.94,N/A,#7679,"7,268",25,3141,"In which the act of rape has been legalized as long as the purpose is child-making, schoolgirls are raped on the train, mothers and daughters in the house and idols on the stage! And even two girls who beat up a guy who was trying to commit rape are... (Source: hanime)","['Adaptation (Manga) Kyousei Haramase Gouhouka!!!', '']",Rape Gouhouka!!!,,['Hentai'],"What happens if rape is legalized? Rape Gouhouka!!! Rape Legalization, Rape Has Been Legalized!!!",
171,あの日の彼女たち,The Diary of Our Days,,,,['ONA'],8,Finished Airing,"Mar 24, 2018 to Nov 12, 2018",,,['Half H.P Studio'],"None found,",['CloverWorks'],Original,,,,1 min. per ep.,G - All Ages,6.60,#6470,#8031,"6,503",20,1875,Web shorts focusing on each of the 22/7 idols in normal everyday life.,[],Ano Hi no Kanojo-tachi,['Idols (Female)'],['Slice of Life'],"22/7, Nanabun no Nijuuni",
172,盛世妆娘,The Beauty Blogger,,,,['ONA'],20,Finished Airing,"Jul 24, 2018 to Dec 4, 2018",,,['Tencent Penguin Pictures'],"None found,",['Imagineer'],Novel,"['Drama', 'Romance']","['Historical', 'Video Game']",,20 min. per ep.,PG-13 - Teens 13 or older,6.72,#5793,#8135,"6,315",32,1520,"A beauty blogger has been sent to a VR reality game, where she has to stand firm in a catfight in boudoir. But how so? She is given numerous cosmetic products that she can arm herself up with. Based on the popular online novel published on the famous female-oriented online novel website ""Jinjiang"", this animation is strongly recommended to those who love all kinds of cosmetics. (Source: Guodong Subs)",[],Sheng Shi Zhuang Niang,,,Shengshi Zhuangniang,
173,モンスターストライク The Animation,Monster Strike the Animation,,,,['ONA'],63,Finished Airing,"Jul 8, 2018 to Dec 31, 2019",,,['XFLAG'],"None found,","['Anima', 'ILCA', 'Studio GOONEYS', 'Dynamo Pictures', 'CGCG Studio']",Game,"['Action', 'Fantasy']",,,10 min. per ep.,PG-13 - Teens 13 or older,6.70,#5885,#8497,"5,721",10,1077,"The Angelic Guard, who call the heavens their home, have been tasked with collecting the orbs scattered across the world. Lucifer—a leader of the Angelic Guard with a rebellious streak, said to wield power rivaling the Almighty—carries out her duty along with Uriel, also a leader of the guard. Together, they go about executing their mission, until Holy Magistrate Keter—the one who leads the heavens under the Almighty's will—tells Uriel of Lucifer's planned rebellion. Initially in disbelief, Uriel then learns that the accusations against Lucifer may be connected to an event that once threatened to shatter the heavens. (Source: Official YouTube Channel)","['Prequel (ONA) Monster Strike The Animation Episode 0', 'Sequel (Movie) Monster Strike the Movie: Lucifer - Zetsubou no Yoake']",Monster Strike The Animation,['Video Game'],,,
174,ラブライブ！スクールアイドルフェスティバルALL STARS,,,,,['ONA'],1,Finished Airing,"Sep 19, 2018",,,"None found,","None found,",['Sunrise'],Other,,,,4 min.,PG-13 - Teens 13 or older,7.25,#3115,#8558,"5,628",14,1908,Special short to promote the release of the Love Live! School Idol Festival All Stars game.,[],Love Live! School Idol Festival All Stars,['Music'],,,
175,GOD EATER レゾなんとか劇場,GOD EATER Reso Somehow Theatre,,,,['ONA'],8,Finished Airing,"Apr 12, 2018 to Aug 4, 2018",,,"['Bandai Namco Entertainment', 'DMM.futureworks', 'Aoni Production']","None found,","['Passione', 'Creators in Pack']",Game,"['Fantasy', 'Sci-Fi']","['Military', 'Parody']",,7 min. per ep.,G - All Ages,5.61,#11750,#8821,"5,182",3,820,Short anime inspired by the iOS and Android mobile game God Eater Resonant Ops.,"['Prequel (Special) God Eater Reso Nantoka Gekijou: Nagerareta Shokupan', 'Sequel (ONA) God Eater Reso Nantoka Gekijou: Episode EX']",God Eater Reso Nantoka Gekijou,,,,
176,언빌리버블 스페이스 러브,,,,,['ONA'],10,Finished Airing,"Jul 17, 2018 to Aug 7, 2018",,,"None found,","None found,",['ABJ COMPANY'],Original,"['Boys Love', 'Drama', 'Sci-Fi']",,,1 min. per ep.,PG-13 - Teens 13 or older,6.85,#5095,#9042,"4,807",18,1788,"Gazing at the scenic view of the sky, a man is joined by a stranger who informs him that he is in a dream. Unable to recall the memories of his life, he relies on the visitor to take him on a journey of discovery. Revealing everything—from their seven-year relationship to the emotional hardships they faced together—the two rekindle their bond severed by time. Behind this beautiful love story, however, lies a much darker truth. [Written by MAL Rewrite]",[],Unbelievable Space Love,,,,
177,ようこそジャパリパーク,Welcome to Japari Park,Welcome To The Japari Park,Welcome to the Japari Park,Welcome to the Japari Park,['ONA'],36,Finished Airing,"Aug 10, 2018 to Sep 30, 2020",,,"None found,","None found,","None found,",Game,"['Adventure', 'Comedy', 'Fantasy']",,,6 min. per ep.,PG - Children,5.93,#10271,#9178,"4,623",4,1173,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Youkoso Japari Park,['Anthropomorphic'],,Kemono Friends: Youkoso Japari Park,
178,シンデレラガールズ劇場 火曜シンデレラシアター 第3期,THE IDOLM@STER CINDERELLA GIRLS Theater (Web) 3rd Season,The Idolm@ster Cinderella Girls Theater Staffel 3 (Web),The Idolm@ster Cinderella Girls Theater Temporada 3 (web),The Idolm@ster Cinderella Girls Gekijô Saison 3 (Web),['ONA'],7,Finished Airing,"Jul 3, 2018 to Sep 25, 2018",,,"['Nippon Columbia', 'Bandai Namco Entertainment', 'Kadokawa']",['Crunchyroll'],"['Gathering', 'Lesprit']",['4-koma manga'],"['Comedy', 'Slice of Life']",,,1 min. per ep.,PG-13 - Teens 13 or older,6.36,#7911,#9489,"4,157",3,1482,Bonus segments of Cinderella Girls Gekijou 3rd Season streamed on The iDOLM@STER Cinderella Girls Mobage following the television broadcast.,"['Prequel (ONA) Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season', 'Sequel (ONA) Cinderella Girls Gekijou: Kayou Cinderella Theater 4th Season', 'Adaptation (Manga) Cinderella Girls Gekijou', '']",Cinderella Girls Gekijou: Kayou Cinderella Theater 3rd Season,,,"THE IDOLM@STER CINDERELLA GIRLS Theater: Tuesday Cinderella Theater 3rd Season, Idolmaster Cinderella Girls Theater: Tuesday Cinderella Theater 3rd Season, Cingeki (Web) 3nd Season",
179,CHAINSAW BUNNY,Chainsaw Bunny,,,,['ONA'],1,Finished Airing,"Aug 1, 2018",,,"None found,","None found,","None found,",Original,"['Comedy', 'Horror', 'Supernatural', 'Suspense']",,,6 min.,R+ - Mild Nudity,5.18,#12949,#9511,"4,132",8,2437,"Two bunny girls get in trouble..... From the creator of CHAINSAW MAID and PUSSYCAT, another gory horror clay animation comes!! Never ending splatter carnival has begun!!",[],Chainsaw Bunny,,,,
180,『はるかなレシーブ』予告,Harukana Receive: Web Previews,,,,['ONA'],11,Finished Airing,"Jul 11, 2018 to Sep 19, 2018",,,"None found,","None found,",['C2C'],['Manga'],,,,20 sec. per ep.,PG - Children,5.83,#10798,#10014,"3,525",0,790,Web-exclusive next episode previews for Harukana Receive. These contain unique chibi animations and are released on Kadokawa's official YouTube channel. They are released about 2 days prior to the full episode airing.,[],Harukana Receive: Yokoku,,['Sports'],Harukana Receive next episode previews,
181,择天记 第四季,,,,,['ONA'],12,Finished Airing,"Aug 22, 2018 to Oct 31, 2018",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Foch Film'],Novel,"['Action', 'Adventure', 'Fantasy']",,,20 min. per ep.,PG-13 - Teens 13 or older,7.16,#3572,#10597,"2,950",3,1071,The fourth season of Ze Tian Ji.,"['Prequel (ONA) Ze Tian Ji 3rd Season', 'Sequel (ONA) Ze Tian Ji 5th Season']",Ze Tian Ji 4th Season,,,"Way of Choices 4th Season, Fighter of the Destiny 4th Season",
182,剑网3·侠肝义胆沈剑心,,,,,['ONA'],12,Finished Airing,"Sep 21, 2018 to Nov 30, 2018",,,"['bilibili', 'Seasun Pictures']","None found,",['Shengying Animation'],Game,"['Action', 'Adventure', 'Comedy']","['Historical', 'Martial Arts']",,17 min. per ep.,PG-13 - Teens 13 or older,6.98,#4472,#10677,"2,891",17,641,"Shen Jianxin is a security guard for Rye Scent Village, an average youth determined to become a legendary hero. While paying his respects at the prestigious Pure Yang Palace of Jianghu, he learned the palace’s ancestral secret manuals by accident. However, he was unaware of the power he gained. Thus, he entered Jianghu and gradually matured while experiencing the turmoil of Jianghu during the prosperous Tang Dynasty. An obscure security guard with unparalleled martial arts in Jianghu: who knows what storms are ahead? (Source: Guodong Subs)","['Sequel (ONA) Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 2nd Season', '']",Jian Wang 3: Xia Gan Yi Dan Shen Jianxin,,,JX3: Chivalrous Hero Shen Jianxin,
183,くの一牡丹,,,,,['ONA'],2,Finished Airing,"Aug 27, 2018 to Aug 31, 2018",,,['SELFISH'],"None found,",['Office No. 8'],Game,,,,14 min. per ep.,Rx - Hentai,5.72,N/A,#10768,"2,818",1,989,"One night in a merchant's mansion, a kunoichi (female ninja) named Yasuzu is violated by a group of men under the effect of ""Aura of Ogre"", called ""Demi-Ogre"". Although she had kept her virginity, the Demi-Ogres keeps sexually tormenting Yasuzu. Now the only thing Yasuzu can think about is her senior kunoichi Botan who she has longed for. At that time, Botan is sneaking into the merchant's mansion. Together with two of ""herselves"" which she created by her signature art of ninja ""Kagebunshin"", she beats watchmen down. There comes, however, the merchant carrying Yasuzu who has totally been screwed up. Botan and two of herselves get caught by Demi-Ogres in an off-guard moment... (Source: DLSite)",[],Kunoichi Botan,,['Hentai'],,
184,西行纪,The Westward,,,,['ONA'],16,Finished Airing,"Jul 18, 2018 to Oct 10, 2018",,,['Tencent Penguin Pictures'],"None found,",['BYMENT'],['Manga'],"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",,16 min. per ep.,PG-13 - Teens 13 or older,6.85,#5098,#10875,"2,715",9,713,"The journey to the West was a conspiracy of heaven! After Sutra went missing for more than a decade, Heaven sent its army to search, in order not to let the Sutra once again fall into the hands of heaven, the journey to West begin again. (Source: White Cloud Pavilion)","['Prequel (ONA) Xi Xing Ji: Zaijian Wu Kong', 'Prequel (ONA) Xi Xing Ji: Qiong Qi Didong', 'Prequel (ONA) Xi Xing Ji: Anying Mo Cheng', 'Sequel (ONA) Xi Xing Ji: Jijie Pian']",Xi Xing Ji,,,"Xi Xing Ji, Journey to the West, Westbound, Westbound Discipline",
185,GOD EATER レゾなんとか劇場 #EX,,,,,['ONA'],2,Finished Airing,"Aug 6, 2018 to Aug 8, 2018",,,"['Bandai Namco Entertainment', 'DMM.futureworks', 'Aoni Production']","None found,","['Passione', 'Creators in Pack']",Game,"['Fantasy', 'Sci-Fi']","['Military', 'Parody']",,3 min. per ep.,PG-13 - Teens 13 or older,5.50,#12127,#11119,"2,528",0,611,Short anime inspired by the iOS and Android mobile game God Eater Resonant Ops.,"['Prequel (ONA) God Eater Reso Nantoka Gekijou', '']",God Eater Reso Nantoka Gekijou: Episode EX,,,,
186,ケムリクサ,,,,,['ONA'],7,Finished Airing,"Aug 31, 2018 to Apr 6, 2019",,,"None found,","None found,",['Yaoyorozu'],Original,"['Fantasy', 'Sci-Fi']",,,1 min. per ep.,G - All Ages,6.14,#9174,#11409,"2,328",2,698,"Prequel vignettes to the Kemurikusa TV series released on Tatsuki's official Twitter. They have an irregular episode count as follows: ep 0 (in actuality, it is unnumbered), 0.5, 0.6, 0.7, 0.8, 0.9. After the Kumurikusa TV series finished airing, Tatsuki released another vignette the following week numbered ep 12.1 both on his Twitter account and official YouTube channel for a grand total of 7 web shorts tied directly to the TV series.","['Sequel (TV) Kemurikusa (TV)', '']",Kemurikusa (2018),,,,
187,テイルズ オブ クレストリア,Tales of Crestoria,,,,['ONA'],4,Finished Airing,"Sep 11, 2018 to Apr 26, 2020",,,"None found,","None found,",['Kamikaze Douga'],Game,,,,1 min. per ep.,PG-13 - Teens 13 or older,5.97,#10073,#11763,"2,087",3,474,"The Bandai Namco concept movies for Tales of Crestoria. It is promoting the new mobile RPG game. While part of the ""Tales of..."" franchise, the game will feature original characters and story, to act as an entrance into the franchise for new fans who have no yet partaken in any of the anime/manga/video games of the franchise. The main theme of the work is ""sin"" and follows people who are living for their precious things while being chased by those who want to convict them for their sins.",[],Tales of Crestoria,['Strategy Game'],['Fantasy'],,
188,へんたつ,,,,,['ONA'],9,Finished Airing,"Jan 31, 2018 to Sep 13, 2019",,,"None found,","None found,","None found,",Original,,,,1 min. per ep.,G - All Ages,5.33,#12606,#11905,"2,001",1,821,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Hentatsu (TV)', '']",Hentatsu,,['Comedy'],,
189,「ノラと皇女と野良猫ハート」ノラ副駅長就任式,,,,,['ONA'],1,Finished Airing,"Sep 14, 2018",,,"None found,","None found,","None found,",Original,,,,50 sec.,G - All Ages,5.32,#12632,#11922,"1,988",0,608,"A collaboration between the TV anime Nora to Oujo to Noraneko Heart and Aizu Tetsudou (Aizu Railway). Nora has decided to take office as the honorary deputy station master of Aizu Railway's Ashinomaki-Onsen Station. This is the station of the famous real-life cat named Bus, who acted as the station master (similar to the cat Tama of the Kishi Station). On September 17, 2018 Nora will be inaugurated, the ceremony will have commemorative goods available.",[],Nora to Oujo to Noraneko Heart: Nora Fuku Ekichou Shuunin-shiki,,['Comedy'],"Noratoto, Nora, Princess, and Stray Cat",
