,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Demographic,Theme,Demographics
35,,エスカ&ロジーのアトリエ ～黄昏の空の錬金術士～,Atelier Escha & Logy: Alchemists of the Dusk Sky,Atelier Escha und Logy,,,['TV'],12,Finished Airing,"Apr 10, 2014 to Jun 26, 2014",['Spring 2014'],Thursdays at 22:00 (JST),"['Sotsu', 'Pony Canyon']",['Sentai Filmworks'],['Studio Gokumi'],Game,,,23 min. per ep.,PG-13 - Teens 13 or older,6.42,#7575,#2887,"64,991",80,24908,"This world has gone through many Dusks, and is slowly nearing its end. Within this world, in the western reaches of the ""Land of Dusk,"" there was a nation that prospered thanks to its use of alchemy. There, in order to survive the eventual arrival of the ""Dusk End,"" the people devoted their efforts to rediscover and recreate lost alchemic technologies. Rediscovered technology from the past era was gathered in the alchemy research city known as ""Central,"" where research was conducted on how to halt the advance of the twilight. One of the heroes is a young man who researched alchemy in Central, the other a girl living in a small town on the frontier. This girl's name is Escha. In the process of using her knowledge of ancient alchemy to help others, she was assigned to the Development Department. The young man's name is Logy. Having learned the newest alchemic techniques in Central, he requested a transfer to this understaffed town to make use of his abilities, and meets Escha when he is assigned to the Development Department as well. The two make a promise to use their alchemy together, and bring success to the Development Department. (Source: Tecmo Koei Europe)","['Adaptation (Manga) Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi', '']",Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,['Fantasy'],,,
36,"M3: Sono Kuroki Tetsu, M3 The Dark Metal, Mortal Metal Memories",M3～ソノ黒キ鋼～,,,,,['TV'],24,Finished Airing,"Apr 22, 2014 to Sep 30, 2014",['Spring 2014'],Tuesdays at 01:35 (JST),"['Sotsu', 'Magic Capsule', 'flying DOG', 'Happinet Pictures', 'Bandai Namco Games', 'Mobcast']","None found,","['Satelight', 'C2C']",Original,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']",24 min. per ep.,R - 17+ (violence & profanity),6.56,#6686,#3071,"57,806",77,19190,"In a dark void known as the Lightless Realm, a group of children meet and bond, but are then separated and returned to their own dimension. Years later, these children reunite to fight ""Admonitions,"" monsters that originate from the same void, using robots known as ""Vess."" However, their efforts only slow the ever-encroaching and expanding Lightless Realm from infecting their world. Their lives take a drastic turn when a new foe appears in the form of a ""Corpse,"" whose song is rumored to kill any who hear it within nine days. The ""Corpse Song"" is heard by the group, and with this, they each begin to pull away and become caught up in their own personal problems—ultimately threatening the fate of humanity. [Written by MAL Rewrite]","['Adaptation (Manga) M3: Sono Kuroki Hagane', '']",M3: Sono Kuroki Hagane,,,,
37,,風雲維新ダイ☆ショーグン,Dai-Shogun: Great Revolution,Dai-Shogun: Great Revolution,Dai-Shogun: Great Revolution,Fuun Ishin Dai Shogun,['TV'],12,Finished Airing,"Apr 10, 2014 to Jun 26, 2014",['Spring 2014'],Unknown,"None found,",['Sentai Filmworks'],"['J.C.Staff', 'A.C.G.T.']",Original,,"['Historical', 'Mecha']",24 min. per ep.,R - 17+ (violence & profanity),5.66,#11582,#4427,"28,311",32,9825,"In the late Edo period, Japan had experienced an unprecedented crisis by Kurofune (Black Ships), the ships from foreign countries. But a giant robot called Onigami, which has existed since ancient time, dispelled the Kurofune ships and the exclusion of foreigners was accomplished. The story begins in Japan where Meiji restoration in 1868 didn't happen. The tagline says, ""I can be the greatest man in the world, because I am a virgin!!"" (Source: Crunchyroll)",[],Fuuun Ishin Dai☆Shougun,['Action'],,,
38,"Kiniro no Chord Blue♪Sky, La Corda D'Oro Blue♪Sky, Kin-iro no Corda 3, Kin'iro no Chord 3",金色のコルダ Blue♪Sky,La corda d'oro: Blue♪Sky,La corda d’oro -Blue♪Sky-,La Corda d’oro -Blue♪Sky-,La corda d’oro -Blue♪Sky-,['TV'],12,Finished Airing,"Apr 6, 2014 to Jun 22, 2014",['Spring 2014'],Unknown,['Koei'],['Sentai Filmworks'],['TYO Animations'],Visual novel,,"['Music', 'Performing Arts', 'Reverse Harem', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,6.40,#7693,#4465,"27,903",34,10821,"Soon after transferring to Seisou Gakuin, Kanade finds the orchestra club in the middle of preparing for the National concur. Teaming up with the other members, she will improve her skills, meet new rivals and create memories for what will become an unforgettable summer... (Source: La Corda D'oro Wikia)","['Adaptation (Manga) Kiniro no Corda: Blue♪Sky', '']",Kiniro no Corda: Blue♪Sky,['Romance'],['Josei'],,
39,"Kindaichi Shounen no Jikenbo R, Kindaichi Case Files Returns, Kindaichi Case Files R",金田一少年の事件簿R【リターンズ】,The File of Young Kindaichi Returns,,,,['TV'],25,Finished Airing,"Apr 5, 2014 to Sep 27, 2014",['Spring 2014'],Unknown,['Yomiuri Telecasting'],"None found,",['Toei Animation'],['Manga'],,,24 min. per ep.,R - 17+ (violence & profanity),7.54,#1805,#5175,"19,639",67,7959,"High school student Hajime Kindaichi is the supposed grandson of famous private detective Kosuke Kindaichi. Visiting Hong Kong for a fashion event with Kindaichi, our hero's girlfriend Miyuki is captured by a stranger in a case of mistaken identity. The journey to save Miyuki itself leads to yet another crime case... (Source: YTV)","['Prequel (TV) Kindaichi Shounen no Jikenbo', 'Sequel (TV) Kindaichi Shounen no Jikenbo Returns 2nd Season', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Shin Series', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: 20-shuunen Kinen Series']",Kindaichi Shounen no Jikenbo Returns,['Mystery'],['Shounen'],,
40,,カードファイト!! ヴァンガード レギオンメイト編,Cardfight!! Vanguard Legion Mate,Cardfight!! Vanguard Legion Mate Staffel 4,Cardfight!! Vanguard Legion Mate Temporada 4,Cardfight!! Vanguard Legion Mate Saison 4,['TV'],33,Finished Airing,"Mar 9, 2014 to Oct 19, 2014",['Spring 2014'],Sundays at 10:00 (JST),"['Dentsu', 'Sotsu', 'Bushiroad']","None found,",['TMS Entertainment'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,6.74,#5666,#5424,"17,385",37,8854,"In the wake of Aichi Sendou's heroic defeat of Link Joker, Toshiki Kai believes the world has returned to normal. However, during a routine visit to Card Capital, Kai discovers that everyone else has completely forgotten who Aichi is. Compelled to solve the mystery behind his friend's disappearance, Kai sets out to look for clues. While searching Aichi's high school, Kai sees a vision of Blaster Blade, Aichi's favorite Cardfight Vanguard unit. Suddenly, a stack of cards materializes in his hand: Aichi's Royal Paladin deck. Using these familiar cards, Kai challenges Aichi's companions to duels that help them recall their dear friend's impact on their lives. After regaining their memories, they join forces with Kai to find Aichi-—and to bring him home at any cost. [Written by MAL Rewrite]","['Prequel (TV) Cardfight!! Vanguard: Link Joker-hen', 'Sequel (TV) Cardfight!! Vanguard G']",Cardfight!! Vanguard: Legion Mate-hen,['Action'],,['Strategy Game'],
41,,魔法少女大戦,Magica Wars,,,,['TV'],26,Finished Airing,"Apr 8, 2014 to Sep 30, 2014",['Spring 2014'],Tuesdays at 21:55 (JST),"None found,","None found,",['Gainax'],Other,,,4 min. per ep.,PG-13 - Teens 13 or older,5.73,#11259,#5471,"16,997",5,5915,"""Mahou Shoujo Taisen"" is a project created from a variety show for the Otaku ""2.5 Chigen TV"" (2.5 Dimension TV). The characters are the mahou shoujo that represent each local town in Japan. The characters that won from the second illustration competitions that were held on pixiv will appear in the anime. (Source: MAL News)",[],Mahou Shoujo Taisen,,,,
42,,ぐでたま,The Lazy Egg,,,,['TV'],1717,Finished Airing,"Mar 31, 2014 to Dec 24, 2023",['Spring 2014'],Not scheduled once per week,['Sanrio'],"None found,",['Gathering'],Original,"['Comedy', 'Gourmet']",,1 min. per ep.,G - All Ages,6.62,#6484,#5997,"13,397",60,2721,"Gudetama, an egg that is dead to the world and completely lacks motivation. No matter what cooking method you use, Gudetama remains unmoved. (Source: ANN)",[],Gudetama,,['Kids'],,
43,,レディ ジュエルペット,,,,,['TV'],52,Finished Airing,"Apr 5, 2014 to Mar 28, 2015",['Spring 2014'],Unknown,"['TV Tokyo', 'Sotsu', 'MediaNet', 'Sanrio', 'Miracle Bus']","None found,","['Studio Comet', 'Zexcs']",Original,"['Fantasy', 'Romance']","['Anthropomorphic', 'Mahou Shoujo']",25 min. per ep.,PG - Children,7.46,#2099,#6169,"12,436",104,4056,"Momona is an ordinary junior-high school student hailing from Jewel Land. At her cousin's wedding, she envies the bride, Lady Diana, due to the fact that she is marrying the cousin who she had a slight crush on. However, once she sees Lady Diana and her cousin together, Momona begins to like her, and accepts her as her cousin's bride. Just as Lady Diana is about to properly meet her and introduce herself, Momona is transported to a snowy place in Jewel Land where the ruler, Lady Jewel, is giving a speech to the Petit Ladies, girls who are chosen as Jewel Candidates to be the next Lady Jewel. Momona meets her partner and mentor, Ruby, a white rabbit, who will guide her through the tasks in becoming Lady Jewel. Whoever passes the most tasks wins and becomes the next Lady Jewel, but standing in her way is Lillian, a girl who also aims to win the title of Lady Jewel, so she can choose her brother, Cayenne, to be her King alongside her. Momona soon also begins to fall in love with Cayenne, yet Lillian doesn't want her to get too close to him. Cayenne also seems to harbor feelings for Momona, but who will be chosen in the end as Lady Jewel to decide it all? And will Momona and Lillian ever become true friends and will Cayenne and Momona ever be together? (Source: Wikipedia)","['Adaptation (Manga) Lady Jewelpet', '']",Lady Jewelpet,,,,
44,"Keroro Gunsou TV 2, Keroro Gunsou (2014)",ケロロ,,,,,['TV'],23,Finished Airing,"Mar 22, 2014 to Sep 6, 2014",['Spring 2014'],Unknown,"None found,","None found,",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",,3 min. per ep.,PG-13 - Teens 13 or older,6.90,#4841,#6702,"10,171",28,4112,Second TV (flash animated) series of Keroro Gunsou.,"['Adaptation (Manga) Keroro Gunsou', '']",Keroro,,['Shounen'],,
45,,マジンボーン,,,,,['TV'],52,Finished Airing,"Apr 1, 2014 to Mar 31, 2015",['Spring 2014'],Unknown,"None found,","None found,",['Toei Animation'],Game,,,22 min. per ep.,PG-13 - Teens 13 or older,6.63,#6341,#6725,"10,123",34,3917,"Anime adaptation of Majin Bone, a digital card game project. Majin, the creator of the Universe, has been resurrected in the present day. Shougo Ryuujin, an ordinary high school student who transforms into the Bone Fighter Dragonbone with the Bone Card in order to save Earth. Together, with the other White Bone warriors take a stand against the Dark Bone, a foe that has appeared from darkness to devastate Earth. However, ""could the true enemy be ourselves?"" (Source: ANN)","['Adaptation (Manga) Majin Bone', '']",Majin Bone,,,['Strategy Game'],
46,Roughneck Sumo Wrestler!! Matsutarou,暴れん坊力士！！松太郎,Rowdy Sumo Wrestler Matsutaro!!,Rowdy Sumo Wrestler Matsutaro,Notari Matsutarō,Rowdy Sumo Wrestler Matsutaro,['TV'],23,Finished Airing,"Apr 6, 2014 to Sep 28, 2014",['Spring 2014'],Unknown,"None found,","None found,",['Toei Animation'],['Manga'],,,22 min. per ep.,PG-13 - Teens 13 or older,6.07,#9578,#6772,"9,960",12,4497,"Matsutarou Sakaguchi is a giant roughneck man with strength far beyond ordinary people. He never uttered words like ""work hard,"" ""strive,"" and ""dream"" like the typical shounen manga protagonist. However, he is stronger than anyone and peerless in sumo wrestling. His greatest weakness is his own carefree personality. He grows into a full-fledged sumo wrestler. (Source: ANN)","['Adaptation (Manga) Notari Matsutarou', '']",Abarenbou Rikishi!! Matsutarou,['Sports'],['Seinen'],['Combat Sports'],
47,,ディスク・ウォーズ：アベンジャーズ,,,,,['TV'],51,Finished Airing,"Apr 2, 2014 to Mar 25, 2015",['Spring 2014'],Wednesdays at 18:30 (JST),['TV Tokyo'],['Marvel Entertainment'],['Toei Animation'],Other,,,22 min. per ep.,PG - Children,5.84,#10715,#7026,"9,095",24,2874,"The story will revolve around how the Avengers—Iron Man, Captain America, Thor, and the Hulk together with the help of Spider-Man and a group of teens—will harness their respective fighting skills and superhuman powers to foil Loki's scheme to take over the world. Marvel Disk Wars: The Avengers will target boys in the 6-12 age group. (Source: Marvel)",[],Marvel Disk Wars: The Avengers,['Action'],['Kids'],['Super Power'],
48,Kantoku Fuyukitodoki,監督不行届,Insufficient Direction,,,,['TV'],13,Finished Airing,"Apr 4, 2014 to Jul 4, 2014",['Spring 2014'],Fridays at 02:05 (JST),"None found,","None found,",['DLE'],['Manga'],"['Comedy', 'Slice of Life']",,3 min. per ep.,PG-13 - Teens 13 or older,5.88,#10553,#7665,"7,296",4,2780,"This is the anime adaptation of Kantoku Fuyuki Todoki (Insufficient Direction), the first essay manga by the ""queen of the manga world,"" Moyoco Anno. The comedic and heartwarming autobiographical story follows her everyday married ""otaku lifestyle"" with Hideaki Anno, ""the founder of the otaku cult."" (Source: ANN)","['Adaptation (Manga) Kantoku Fuyuki Todoki', '']",Kantoku Fuyuki Todoki,,['Josei'],,
49,,ドラゴンコレクション,,,,,['TV'],51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Mondays at 08:15 (JST),['Konami'],"None found,",['OLM'],Card game,,,11 min. per ep.,PG-13 - Teens 13 or older,6.15,#9095,#8398,"5,858",7,2158,"Through an unexpected turn of events, an ordinary elementary school student, Hiro Enryuu, finds himself in the world of the ""Dragon Collection"" game. This is a world called Dragon Earth, where gods, humans, and monsters exist side by side. Those who roam this world using a magic book, called a Grimoire, and cards to summon monsters and search for treasures that bear the powers of dragons are called Dracolle Battlers. Despite his bewilderment, Hiro becomes a Dracolle Battler and, together with the friends he meets there, begins his adventure to become a legendary Dragon Master! (Source: Crunchyroll)","['Adaptation (Manga) Dragon Collection: Ryuu wo Suberumono', '']",Dragon Collection,['Fantasy'],,['Isekai'],
50,,テンカイナイト,Tenkai Knights,Tenkai Knights: Die Tenkai Ritter,Tenkai Knights: Caballeros Tenkai,Tenkai Knights: Les Chevaliers Tenkai,['TV'],52,Finished Airing,"Apr 5, 2014 to Mar 28, 2015",['Spring 2014'],Unknown,"None found,","None found,",['Bones'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Mecha', 'Super Power']",24 min. per ep.,G - All Ages,6.45,#7408,#8410,"5,847",34,2589,"Eons ago, a cube–like peaceful planet named Quarton, populated by shape–shifting living bricks called Tenkai, was ravaged by a war between two opposite factions: the Corekai and the Corrupted led by the ruthless warlord Vilius who desired to obtain the source of Tenkai Energy for his own purposes. However, the only ones who were strong enough to defeat him were the Tenkai Knights: Bravenwolf, Tributon, Valorn and Lydendor. Facing defeat, Vilius unleashed the mighty Tenkai Dragon, who was later defeated by the four Knights and its fragments were scattered across the planet. These heroes were never seen again, but the Corrupted have returned more powerful than ever. Now on planet Earth in the year 2034, four teenage humans named Guren, Ceylan, Toxsa, and Chooki find an interdimensional portal to Quarton where they are chosen by the Guardians to become the new generation of Tenkai Knights and prevent Vilius to take control of both worlds. (Source: Wikipedia)",[],Tenkai Knights,,['Kids'],,
51,,プリティーリズム・オールスターセレクション,,,,,['TV'],11,Finished Airing,"Apr 5, 2014 to Jun 14, 2014",['Spring 2014'],Saturdays at 10:00 (JST),"None found,","None found,","['Tatsunoko Production', 'Dongwoo A&E']",Game,,"['Idols (Female)', 'Music']",23 min. per ep.,PG - Children,6.54,#6857,#9792,"3,791",7,944,"This is the fourth anime series of Pretty Rhythm. The story features a girl named Laala Manaka, who desires to become an Idol. To further her debut the best, the three main protagonists from the previous Pretty Rhythm series Aira, Mia, and Naru give her lessons about how to be the best Idol. In addition to the lessons she's learning, the series also retells the events of the previous Pretty Rhythm series. (Source: Pretty Rhythm Wiki)",[],Pretty Rhythm: All Star Selection,['Sports'],,,
52,,ヒーローバンク,Herobank,,,,['TV'],51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Unknown,"['Tokyo Movie Shinsha', 'Sega', 'TMS Music']","None found,",['TMS Entertainment'],Game,,,23 min. per ep.,PG - Children,5.97,#10053,#10485,"3,057",10,924,"In Big Money City, players participate in ""Hero Battles"" using Bankfon Gs, which allows them to rent powerful hero suits and fight battles against other players, receiving power boosts from the system's public domain feature. Kaito Goushou, a young elementary school student who is always eager to help others, ends up hastily signing a contract to rent the powerful unlisted hero suit, ""Enter the Gold,"" from a mysteriously seedy priest named Sennen; however, he soon learns that the suit comes with a debt of 10 billion yen, and Kaito must now clear his dues by winning Hero Battles. (Source: Wikipedia)",[],Hero Bank,,['Kids'],['Strategy Game'],
53,PAC-MAN and the Ghostly Adventures,パックワールド,,"Pac-Man und die Geisterabenteuer - Das Abenteuer beginnt, Teil 1 + 2",,,['TV'],52,Finished Airing,"Apr 5, 2014 to Apr 25, 2015",['Spring 2014'],Saturdays at 18:30 (JST),['Bandai Namco Entertainment'],"None found,","['OLM Digital', 'Sprite Animation Studios']",Game,"['Adventure', 'Comedy', 'Sci-Fi']",,25 min. per ep.,PG - Children,5.48,#12175,#10538,"3,003",7,1465,"We follow the daily events of Pac as he saves Pac-World. Together with his friends Cyli and Spiral, Pac and his buds face the issues of being teenagers while also protecting Pac-World from a ghostly army led by the evil Betrayus. Pac-Worlders do not want Betrayus and his ghostly minions returning from the Netherworld and wreaking havoc. So, President Spheros teaches Pac and his pals the legend prophesizing a round yellow Pac-Worlder rescuing the planet. Pac, the only round yellow citizen, is the man for the job. Each adventure follows Pac and his friends as they try to return the ghosts to Netherworld, saving Pac-World. (Source: AniDB)",[],Pac-World,,,,
54,"Enjoy Record of Lodoss War: Is it Delicious?, Meshilo",召しませロードス島戦記～それっておいしいの？～,,,,,['TV'],13,Finished Airing,"Apr 6, 2014 to Jun 29, 2014",['Spring 2014'],Unknown,"['Kadokawa Shoten', 'DAX Production']","None found,","['Studio Deen', 'Studio Hibari']",['Light novel'],,,2 min. per ep.,PG-13 - Teens 13 or older,5.41,#12388,#10803,"2,784",3,443,Two Lodoss-obsessed students attempt to recruit party members so they can put on a Lodoss-themed play at their school festival.,[],Meshimase Lodoss-tou Senki: Sorette Oishii no?,['Comedy'],,,
55,,オレカバトル,,,,,['TV'],51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Mondays at 18:00 (JST),"None found,","None found,","['Xebec', 'OLM']",Game,,,11 min. per ep.,G - All Ages,5.91,#10421,#10897,"2,702",3,868,"The anime adaptation revolves around a young boy named Faiya Orega who loves Oreca competitions. One day, he is granted the power to summon real Oreca monsters due to the mysterious powers of the treasure chest Pandora. To protect the peace of the Oreca world, Faiya must fight the demon king who threatens the land. (Source: Crunchyroll)",[],Oreca Battle,,,['Strategy Game'],
56,World Fool News (2014),ワールド フールニュース,World Fool News,World Fool News,World Fool News,World Fool News,['TV'],12,Finished Airing,"Apr 17, 2014 to Jul 3, 2014",['Spring 2014'],Wednesdays at 11:00 (JST),"None found,","None found,",['CoMix Wave Films'],Other,"['Comedy', 'Slice of Life']",,9 min. per ep.,PG-13 - Teens 13 or older,5.89,#10482,#11331,"2,374",5,998,"A TV anime remake of the World Fool News ONA. Takahashi is transferred to a main anchor of a news program, which is known for being a little...weird. This is a comedy about somewhat ridiculous happenings occurring at a broadcasting station. (Source: YouTube)","['Sequel (TV) World Fool News (TV) Part II', '']",World Fool News (TV),,,['Workplace'],
57,Duel Masters Versus,デュエル・マスターズ VS,,,,,['TV'],49,Finished Airing,"Apr 5, 2014 to Mar 28, 2015",['Spring 2014'],Unknown,"None found,","None found,",['Ascension'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,5.79,#10979,#12632,"1,581",1,330,"The most anticipated card game, Duel Masters had returned after 2 years since the battle in the past season. However, Katta Kirifuda once the strongest duelist, is now a year 2 middle school student and had lost his passion of dueling throughout the 2 years, and dreams of curry bread every day. However, after an encounter with the baseball ace, Hokaben, a mysterious duelist and a reunion with his childhood friend Lulu Takigawa, he rekindled his dueling spirit and return to his journey of becoming the strongest duelist. With new friends and rivals and Katta's passionate duelist soul, the greatest battle begins! (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Victory V3', 'Sequel (TV) Duel Masters VSR']",Duel Masters VS,,['Kids'],,
58,"Lovely Muco! Season 2, Lovely Movie: Itoshi no Muco Series 2",ラブリームービー いとしのムーコ シーズン２,Lovely Movie: Lovely Muuuuuuuco! Season 2,,,,['TV'],22,Finished Airing,"Apr 27, 2014 to Oct 5, 2014",['Spring 2014'],Unknown,"None found,","None found,",['Doga Kobo'],['Manga'],,,2 min. per ep.,PG - Children,6.18,#8963,#14212,"1,016",0,224,Second season of the Lovely Muco series.,"['Prequel (TV) Lovely Movie: Itoshi no Muco', 'Adaptation (Manga) Itoshi no Muco']",Lovely Movie: Itoshi no Muco Season 2,['Slice of Life'],,['Pets'],
59,,GO-GO たまごっち！,,,,,['TV'],50,Finished Airing,"Apr 3, 2014 to Mar 26, 2015",['Spring 2014'],Unknown,"None found,","None found,",['OLM'],Unknown,"['Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,6.15,#9100,#14891,837,3,173,New series of Tamagotchi!.,"['Prequel (TV) Tamagotchi! Miracle Friends', 'Sequel (TV) Tamagotchi! Tamatomo Daishuu GO']",GO-GO Tamagotchi!,,['Kids'],,
60,Kutsushita ga Daru Daru ni Nacchau Wake: Imadoki Youkai Zukan,くつだる。,,,,,['TV'],48,Finished Airing,"Apr 2, 2014 to Sep 16, 2015",['Spring 2014'],Wednesdays at 18:45 (JST),['NHK'],"None found,",['Egg'],['Manga'],"['Fantasy', 'Slice of Life']",,9 min. per ep.,PG - Children,[],#19683,#15078,795,1,,"In a Tokyo suburb small town, there lives a girl named Nekota Kaoru. Being born into a normal family, being raised in a normal way, this spring she'll become a normal happy middle-schooler. However, since young age, Nekota had an abnormal ability to see Imadoki youkai (Modern Monster). And she has kept it a secret from others...",[],KutsuDaru.,,['Kids'],['School'],
61,Dayan the Cat,猫のダヤン,,,,,['TV'],52,Finished Airing,"Apr 26, 2014 to Apr 25, 2015",['Spring 2014'],Saturdays at 07:00 (JST),['Sotsu'],"None found,",['Kachidoki Studio'],Novel,,,3 min. per ep.,G - All Ages,[],#20609,#15153,774,0,,"Dayan the cat came to Wachi Field from the Earth through Snow magic. Wachi Field was originally part of the Earth, but separated by Snow God because of the War between Gods and Titans, which destroyed the land. After the war, the Earth's time flow faster than Wachi Field, which the life is slow with animals and fairies and full of mischief.","['Sequel (TV) Neko no Dayan: Nihon e Iku', '']",Neko no Dayan,['Fantasy'],['Kids'],['Anthropomorphic'],
62,,猫ピッチャー,,,,,['TV'],51,Finished Airing,"May 3, 2014 to Mar 29, 2016",['Spring 2014'],Tuesdays at 20:00 (JST),"None found,","None found,","None found,",['4-koma manga'],"['Comedy', 'Sports']","['Anthropomorphic', 'Team Sports']",2 min. per ep.,G - All Ages,6.05,#9667,#15173,767,1,210,A story about Cat pitcher Mi-Tarou's actions. It is a 23-koma that serialized in Yomiuri Shimbun Sunday.,"['Adaptation (Manga) Neko Pitcher', '']",Neko Pitcher,,['Kids'],,
63,Gigant Shooter Tsukasa,超爆裂異次元メンコバトル ギガントシューター つかさ,Gigant Big-Shot Tsukasa,,,,['TV'],32,Finished Airing,"Apr 1, 2014 to Feb 10, 2015",['Spring 2014'],Unknown,"['NHK', 'Asmik Ace', 'Bushiroad', 'FOREST Hunting One']","None found,",['Fanworks'],Original,"['Action', 'Comedy']",,9 min. per ep.,PG-13 - Teens 13 or older,5.48,#12180,#15795,655,2,175,"The anime follows Tsukasa, whose dream is to become the best at Gigant Shooter (battles in a game similar to pog) in the world. The menko card his father left for him called King Menger is his partner. Tsukasa's fellow gamers are the cute but tsundere Koide Miruko, the spectacled bully Numata Manabu, and the realist and sharp-tongued Doumoto Ataru. (Source: ANN)",[],Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,,['Kids'],['Strategy Game'],
64,Secret Society Eagle Talon Extreme,秘密結社鷹の爪 EX,,,,,['TV'],38,Finished Airing,"Apr 11, 2014 to Mar 6, 2015",['Spring 2014'],Unknown,"None found,","None found,",['DLE'],Unknown,,"['Parody', 'Super Power']",5 min. per ep.,PG-13 - Teens 13 or older,5.83,#10804,#15946,633,0,122,Sequel to the previous season of the flash anime series.,"['Prequel (TV) Himitsukessha Taka no Tsume MAX', 'Sequel (TV) Himitsukessha Taka no Tsume DO']",Himitsukessha Taka no Tsume EX,['Comedy'],,,
65,,カリーノ・コニ,,,,,['TV'],26,Finished Airing,"Apr 2, 2014 to Oct 1, 2014",['Spring 2014'],Unknown,"None found,","None found,",['Robot Communications'],Novel,,,3 min. per ep.,PG - Children,5.92,#10360,#16639,544,0,137,"A shy little Carino Coni is a rabbit boy who just started to live alone in the forest away from his family. Everyday Coni's heart raises with joy playing with his siblings who lives nearby, but suddenly cries of lonesomeness, which he cannot explain. This story is about all heart warming stories Coni encounters, and how he himself become not so lonely anymore as he gradually grows up. (Source: playsetproducts.jp)",[],Carino Coni,['Fantasy'],['Kids'],,
66,,おはようハクション大魔王,,,,,['TV'],237,Finished Airing,"Mar 31, 2014 to Mar 27, 2015",['Spring 2014'],Not scheduled once per week,"None found,","None found,",['Kate Arrow'],Other,,,1 min. per ep.,G - All Ages,5.79,#11012,#16735,532,0,122,"The 3rd continuation of NTV's ZIP! anime parody shorts. This one focuses on Hakushon Daimaou. Like with the previous season, occasionally the Gatchaman team and now the Mazinger Z team show up in some episodes.","['Prequel (TV) Mazinger ZIP!', 'Sequel (TV) Good Morning!!! Doronjo']",Ohayou Hakushon Daimaou,['Comedy'],,['Parody'],
67,Chu! Insect Story,昆虫物語 てんとうむChu!とみつばちハッChu!,,,,,['TV'],10,Finished Airing,"Apr 29, 2014 to Jul 8, 2014",['Spring 2014'],Unknown,"['VAP', 'Nippon Television Network', 'Opera House']","None found,",['Tatsunoko Production'],Unknown,,"['Idols (Female)', 'Music']",2 min. per ep.,G - All Ages,[],#19513,#17664,445,0,,"An animated program featuring members of AKB48, SKE48, NMB48, and HKT48.",[],Konchuu Monogatari Tentoumu Chu! to Mitsubachi Hatsu Chu!,,,,
68,,아스타를 향해 차구차구,,,,,['TV'],27,Finished Airing,"May 31, 2014 to Jan 3, 2015",['Spring 2014'],Unknown,"None found,","None found,","None found,",Game,,,20 min. per ep.,G - All Ages,[],#16650,#18214,404,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Astar-eul Hyanghae Chaguchagu,['Sports'],,['Team Sports'],
69,Nora Suko (TV),野良スコ,,,,,['TV'],43,Finished Airing,"May 19, 2014 to Mar 31, 2015",['Spring 2014'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,"['Comedy', 'Slice of Life']",,2 min. per ep.,G - All Ages,[],#20731,#18224,404,0,,musicる TV signed up Norasco for their channel. Some of the ONA's episodes were shown and then the episodes became mostly musicる TV exclusive.,"['Prequel (ONA) Norasco', '']",Norasco (TV),,,,
70,"Colo Colo Animal 2, Korokoro Animal 2",コロコロアニマル2,,,,,['TV'],63,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Unknown,['Milky Cartoon'],"None found,","None found,",Unknown,,,1 min. per ep.,G - All Ages,[],#17406,#20142,278,0,,"An educational program teaching children shapes, basic math, colors, and other subjects.","['Prequel (TV) ColoColo Animal', '']",ColoColo Animal 2,,['Kids'],,
71,,응까 소나타,,,,,['TV'],52,Finished Airing,"May 7, 2014 to Dec 3, 2014",['Spring 2014'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,12 min. per ep.,PG - Children,[],#17901,#22637,149,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Eungkka Sonata,,['Kids'],,
