,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genres,Theme,Demographics
10,田中くんはいつもけだるげ,Tanaka-kun is Always Listless,Tanaka-kun is Always Listless,,Tanaka-kun is Always Listless,['TV'],12,Finished Airing,"Apr 9, 2016 to Jun 25, 2016",['Spring 2016'],Saturdays at 22:00 (JST),"['Bandai Visual', 'Dentsu', 'Frontier Works', 'Lantis', 'Shochiku', 'Mainichi Broadcasting System', 'Movic', 'Yahoo! Japan', 'Grooove']",['Sentai Filmworks'],['SILVER LINK.'],['Web manga'],['Slice of Life'],"['Iyashikei', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,7.81,#1010,#496,"481,547","4,360",218638,"For high school student Tanaka, the act of being listless is a way of life. Known for his inattentiveness and ability to fall asleep anywhere, Tanaka prays that each day will be as uneventful as the last, seeking to preserve his lazy lifestyle however he can by avoiding situations that require him to exert himself. Along with his dependable friend Oota who helps him with tasks he is unable to accomplish, the lethargic teenager constantly deals with events that prevent him from experiencing the quiet and peaceful days he longs for. [Written by MAL Rewrite]","['Adaptation (Manga) Tanaka-kun wa Itsumo Kedaruge', '']",Tanaka-kun wa Itsumo Kedaruge,,,,
11,学戦都市アスタリスク,The Asterisk War Season 2,The Asterisk War 2nd Staffel,The Asterisk War Temporada 2,The Asterisk War 2nd Saison,['TV'],12,Finished Airing,"Apr 2, 2016 to Jun 18, 2016",['Spring 2016'],Saturdays at 22:30 (JST),"['Aniplex', 'Animax', 'Movic', 'flying DOG', 'Bandai Namco Entertainment', 'Asahi Broadcasting', 'Kadokawa']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],,"['Harem', 'School', 'Urban Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.98,#4468,#535,"450,121",782,261875,"Gakusen Toshi Asterisk 2nd Season continues the story of Genestella students Ayato Amagiri and Julis-Alexia von Riessfeld, who have progressed to the next round of the Phoenix Festa after a long and strenuous battle with sisters Irene and Priscilla Urzaiz. Despite Julis and Ayato's best attempts, the fact that Ayato's powers have been sealed is no longer a secret. Now at a major disadvantage, the duo must come up with a plan if they are to have any hope of winning the Phoenix Festa. Only one thing is for sure: the troubles heading their way are only going to get more insurmountable from here on. [Written by MAL Rewrite]","['Prequel (TV) Gakusen Toshi Asterisk', 'Adaptation (Manga) Gakusen Toshi Asterisk', 'Adaptation (Light Novel) Gakusen Toshi Asterisk', '']",Gakusen Toshi Asterisk 2nd Season,Academy Battle City Asterisk,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",,
12,ハンドレッド,Hundred,,,,['TV'],12,Finished Airing,"Apr 5, 2016 to Jun 21, 2016",['Spring 2016'],Tuesdays at 02:05 (JST),"['TV Tokyo', 'Sotsu', 'Half H.P Studio', 'AT-X', 'DIVE II Entertainment', 'Avex Pictures', 'BS TV Tokyo']","['Funimation', 'Crunchyroll']",['Production IMS'],['Light novel'],,"['Harem', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,6.30,#8266,#652,"385,467",680,197610,"When an extraterrestrial organism known as ""Savage"" attacks mankind, the only technology capable of combating the enemy is a weapon known as “Hundred.” A survivor of a Savage attack, Hayato Kisaragi is a teenager boasting the highest compatibility level with the aforementioned technology and as a result, is invited to master his skills at Little Garden, a prestigious military academy aboard a battleship. Over the course of his intense training for the battle ahead, he immediately attracts the interest of multiple female peers and gets drawn into a number of incidents as he tries to fight against the creatures that now inhabit Earth and threaten its safety. [Written by MAL Rewrite]","['Adaptation (Manga) Hundred', 'Adaptation (Light Novel) Hundred']",Hundred,,"['Action', 'Romance', 'Sci-Fi', 'Ecchi']",,
13,ふらいんぐうぃっち,Flying Witch,,,,['TV'],12,Finished Airing,"Apr 10, 2016 to Jun 26, 2016",['Spring 2016'],Sundays at 02:25 (JST),"['VAP', 'Kodansha', 'Magic Capsule', 'Nippon Television Network', 'RAB Aomori Broadcasting', 'Nippon Television Music']",['Sentai Filmworks'],['J.C.Staff'],['Manga'],,"['Iyashikei', 'Urban Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1953,#929,"277,428","1,371",110565,"In the witches' tradition, when a practitioner turns 15, they must become independent and leave their home to study witchcraft. Makoto Kowata is one such apprentice witch who leaves her parents' home in Yokohama in pursuit of knowledge and training. Along with her companion Chito, a black cat familiar, they embark on a journey to Aomori, a region favored by witches due to its abundance of nature and affinity with magic. They begin their new life by living with Makoto's second cousins, Kei Kuramoto and his little sister Chinatsu. While Makoto may seem to be attending high school like any other teenager, her whimsical and eccentric involvement with witchcraft sets her apart from others her age. From her encounter with an anthropomorphic dog fortune teller to the peculiar magic training she receives from her older sister Akane, Makoto's peaceful everyday life is filled with the idiosyncrasies of witchcraft that she shares with her friends and family. [Written by MAL Rewrite]","['Adaptation (Manga) Flying Witch', '']",Flying Witch,,"['Fantasy', 'Slice of Life']",,
14,ビッグオーダー,,Big Order,Big Order,Big Order,['TV'],10,Finished Airing,"Apr 16, 2016 to Jun 18, 2016",['Spring 2016'],Saturdays at 01:40 (JST),"['Lantis', 'Rakuonsha', 'KlockWorx', 'Kadokawa']","['Discotek Media', 'Crunchyroll']",['asread.'],['Manga'],['Action'],,['Shounen'],24 min. per ep.,R+ - Mild Nudity,5.35,#12561,#1090,"239,041",257,112040,"Ten years ago, a fairy by the name of Daisy appeared and asked the child Eiji Hoshimiya what his one and only wish was. Although his wish remains a mystery, the consequences were catastrophic. In an event called the ""Great Destruction,"" the world started to fall apart as everything collapsed and countless people died. Now, Eiji is a high school student whose only concern is his sick sister. He does not remember what he wished for; all that he remembers is that his wish caused the Great Destruction. In the years since that event, thousands of other people have also received abilities to make their heart's desire come true. These people called ""Orders"" are believed to be evil and are hated by the general public. However, some of these Orders are after Eiji's life in vengeance for those that he killed. Will Eiji be able to survive the numerous assassination attempts? And the biggest mystery of all: what did he wish for, and what were his intentions in wishing for something that caused so much desolation? [Written by MAL Rewrite]","['Adaptation (Manga) Big Order', '']",Big Order (TV),Big Order,,['Super Power'],
15,迷家-マヨイガ-,The Lost Village,The Lost Village,The Lost Village -Mayoiga-,The Lost Village,['TV'],12,Finished Airing,"Apr 1, 2016 to Jun 17, 2016",['Spring 2016'],Fridays at 22:30 (JST),"['WOWOW', 'Mainichi Broadcasting System', 'Pony Canyon', 'KlockWorx', 'Studio Mausu', 'Azumaker', 'Shogakukan']",['Ponycan USA'],['Diomedéa'],Original,,"['Psychological', 'Survival']",,24 min. per ep.,R - 17+ (violence & profanity),5.49,#12150,#1178,"221,315",296,112106,"A bus full of eccentric individuals is headed towards the urban legend known as Nanaki Village, a place where one can supposedly start over and live a perfect life. While many have different ideas of why the village cannot be found on any map, or why even the police cannot pinpoint its location, they each look forward to their new lives and just what awaits them once they reach their destination. After a few mishaps, they successfully arrive at Nanaki Village only to find it completely abandoned. Judging from the state of disrepair, it has been vacant for at least a year. However, secrets are soon revealed as some of the group begin to go missing while exploring the village and amidst the confusion, they find bloody claw marks in a forest. As mistrust and in-fighting break out, will they ever be able to figure out the truth behind this lost village? [Written by MAL Rewrite]","['Adaptation (Manga) Mayoiga: Tsumi to Batsu', '']",Mayoiga,,"['Drama', 'Horror', 'Mystery', 'Suspense']",,
16,ジョーカー・ゲーム,Joker Game,,,,['TV'],12,Finished Airing,"Apr 5, 2016 to Jun 21, 2016",['Spring 2016'],Tuesdays at 23:00 (JST),"['Frontier Works', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Sony Music Communications', 'Hakuhodo DY Music & Pictures', 'Sammy']","['Funimation', 'Crunchyroll']",['Production I.G'],Novel,,"['Historical', 'Military']",,23 min. per ep.,R - 17+ (violence & profanity),7.02,#4297,#1207,"214,719",615,90140,"With World War II right around the corner, intelligence on other countries' social and economic situation has become a valuable asset. As a result, Japan has established a new spy organization known as the ""D Agency"" to obtain this weapon. Under the command of Lieutenant Colonel Yuuki, eight agents have been assigned to infiltrate and observe some of the most powerful countries, reporting on any developments associated with the war. In order to carry out these dangerous tasks, these men have trained their bodies to survive in extreme conditions and studied numerous fields such as communications and languages. However, their greatest strength lies in their ability to manipulate people in order to obtain the information necessary to give their nation the upper hand. [Written by MAL Rewrite]","['Adaptation (Manga) Joker Game: The Animation', '']",Joker Game,,"['Drama', 'Mystery', 'Suspense']",,
17,宇宙パトロールルル子,Space Patrol Luluco,Space Patrol Luluco,Patrullera Espacial Luluco,Space Patrol Luluco,['TV'],13,Finished Airing,"Apr 1, 2016 to Jun 24, 2016",['Spring 2016'],Fridays at 22:30 (JST),"['Half H.P Studio', 'AT-X', 'flying DOG', 'Ultra Super Pictures', 'Good Smile Company', 'bilibili', 'Crunchyroll']",['Funimation'],['Trigger'],Original,,"['Parody', 'Space']",,7 min. per ep.,PG-13 - Teens 13 or older,7.52,#1872,#1593,"156,428","1,101",76549,"Living an abnormal existence in Ogikubo, an intergalactic melting pot of humans and aliens as well as the only Space Immigration Zone on Earth, Luluco is a bubbly middle school girl who just wants to be normal. One morning, however, her father, who works at the Space Patrol, eats a volatile sleep capsule by mistake and is frozen solid! To make matters worse, Luluco accidentally breaks him, so she hurries off to his office for help. There, the chief of the Space Patrol, Over Justice, hires Luluco as a space temp worker for undercover investigations, so that the institution may crack down on crime within her school. Made to don the Space Patrol suit and sent on her way to mete out justice, Luluco attempts to maintain the image of a normal girl who does not stand out in any way. But she soon discovers that with the automatic systems and inherently zealous judiciousness of the Space Patrol suit, continuing to be normal will be more difficult than she thought. [Written by MAL Rewrite]","['Adaptation (Manga) Uchuu Patrol Luluco', '']",Uchuu Patrol Luluco,,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,
18,SUPER LOVERS（スーパーラヴァーズ）,Super Lovers,,,,['TV'],10,Finished Airing,"Apr 6, 2016 to Jun 8, 2016",['Spring 2016'],Wednesdays at 23:30 (JST),"['DAX Production', 'Nippon Columbia', 'Kadokawa']","['Funimation', 'Crunchyroll']",['Studio Deen'],['Manga'],,,,24 min. per ep.,PG-13 - Teens 13 or older,6.73,#5714,#1647,"149,747","1,066",79988,"Upon hearing news that his mother was on verge of death, Haru Kaidou—the eldest son of the family—flies all the way to Canada. The moment he arrives, he learns that not only did his mother fool him, but he is also supposed to take care of his adoptive brother, Ren Kaidou, an antisocial kid who feels more comfortable around dogs than people. Due to his new brother's distrustful nature, Haru initially has a hard time reaching out to Ren but their relationship eventually grows. He makes a promise to Ren: they will live together in Japan after Haru graduates from high school. However, due to an unfortunate accident, Haru loses all memories of the summer they spent together, including the promise he made. Five years later, expecting Haru to keep his promise, Ren arrives in Tokyo; but to Haru, Ren is just a random boy claiming to be his brother. [Written by MAL Rewrite]","['Sequel (OVA) Super Lovers OVA', 'Sequel (TV) Super Lovers 2', 'Adaptation (Manga) Super Lovers', '']",Super Lovers,,"['Boys Love', 'Comedy', 'Drama']",,
19,クロムクロ,Kuromukuro,,,,['TV'],26,Finished Airing,"Apr 7, 2016 to Sep 29, 2016",['Spring 2016'],Thursdays at 21:00 (JST),"['Sotsu', 'Pony Canyon', 'AT-X', 'KlockWorx', 'Tokyo MX', 'Medicos Entertainment', 'Infinite']",['Ponycan USA'],['P.A. Works'],Original,,,,24 min. per ep.,R - 17+ (violence & profanity),7.13,#3763,#1668,"147,712",434,62520,"During the dawn of the 21st century, the United Nations Kurobe Research Institute was established in Japan to investigate an ancient artifact, which was discovered during the construction of the Kurobe Dam. Scientists from around the world have gathered in the facility to study the object, while their children enjoy their everyday lives attending Mt. Tate International Senior High School. Yukina Shirahane, a reserved high school girl, is the daughter of the facility's head scientist. While visiting her mother at the facility, Yukina manages to solve part of the artifact's puzzle. To her surprise, what appears before her is Kennosuke Tokisada Ouma, a young samurai from the Sengoku era. As a threat approaches from outer space, Yukina, along with Kennosuke, finds herself defending Earth against the invading forces. Along the way, she discovers the mystery behind Kennosuke and the reason he is determined to protect her. [Written by MAL Rewrite]",[],Kuromukuro,"Black Corpse, Black Relic","['Action', 'Sci-Fi']",['Mecha'],
