,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Theme,Genre,Demographics
45,うえきの法則,The Law of Ueki,The Law of Ueki,,The Law of Ueki,['TV'],51,Finished Airing,"Apr 4, 2005 to Mar 27, 2006",['Spring 2005'],Mondays at 18:30 (JST),"['Studio Tulip', 'TV Tokyo Music']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1280,#1929,"121,589",910,50031,"Unbeknownst to most humans, a bizarre tournament is held to decide the next ruler of the Heavenly World. In this tournament, 100 Heavenly Beings known as the ""God Candidates"" are required to search among the middle school students on Earth, and transfer their powers to a student of their choice. The chosen ones will then battle each other, representing their God Candidates. The victor of this tournament will be awarded the ""Blank Talent""—allowing them to choose any one unique ability they so desire—while the God Candidate they represent will obtain the position of ""God"" and become the king of the Heavenly World. Participating in this grand tournament is Kousuke Ueki, a middle school student who is given the power to turn trash into trees by his homeroom teacher, Kobayashi. Despite the concerns of his classmate, Ai Mori, Ueki embarks on a journey to pursue his own sense of justice after witnessing the people around him misusing their powers for selfish purposes. But as he encounters talented power users such as Seiichirou Sano, Rinko Jerrard, Robert Haydn, and Hideyoshi Soya, he realizes that achieving his goal might be harder than it seems. [Written by MAL Rewrite]","['Adaptation (Manga) Ueki no Housoku', '']",Ueki no Housoku,,['Super Power'],,
46,涼風,Suzuka,,,,['TV'],26,Finished Airing,"Jul 7, 2005 to Dec 29, 2005",['Summer 2005'],Thursdays at 01:00 (JST),"['Marvelous Entertainment', 'Starchild Records']",['Funimation'],['Studio Comet'],['Manga'],"['Drama', 'Romance', 'Sports']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.16,#3569,#1949,"119,871",656,55433,"Teenager Yamato Akitsuki has moved from the Hiroshima countryside to Tokyo to begin his high school career. In return for room and board, he has agreed to help his aunt and cousin run their bathhouse and the adjacent girls-only dormitory where he will be staying. On his way to meet his relatives, he passes by a local high school track and is mesmerized by a high jumper practicing her technique. Later on, Yamato finds out that the high jumper is not just another resident of the dorm, but is also his neighbor. Suzuka Asahina is a heavily scouted track and field athlete who is attending the same high school he is enrolled in. A perfectionist by nature, Suzuka is put off by Yamato's clumsy and carefree attitude and finds it difficult to be near him. Determined to win her over, Yamato joins the track team after discovering his hidden talent for sprinting. Through his interactions with the track team, his classmates, and the ever-inebriated college students in the dorm, Yamato finds the resolve to become a better athlete and a more suitable companion to Suzuka, even if it means pushing himself to the point of exhaustion. [Written by MAL Rewrite]","['Sequel (TV) Fuuka', 'Adaptation (Manga) Suzuka']",Suzuka,,,,
47,今日からマ王！,,,,,['TV'],78,Finished Airing,"Apr 3, 2004 to Feb 25, 2006",['Spring 2004'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,['Shoujo'],25 min. per ep.,PG-13 - Teens 13 or older,7.61,#1560,#1972,"118,722","1,379",43043,"Kyou kara Maou! revolves around Yuri Shibuya, your average Japanese teenager. One day, Yuri sees a classmate being harassed by bullies. Thanks to this intervention, his friend is able to escape, but unfortunately Yuri becomes the new target of the bullies in the process and gets his head shoved into a toilet. But instead of water, the toilet contains a swirling portal that sucks him into another world, largely resembling medieval Europe. There, he is told that he will become the next Demon King due to his black hair and black eyes, traits only possessed by the demon's royal lineage. Yuri's arrival is met with some skepticism by some of the demons, who view him as unworthy to be their king. However, after Yuri wins a duel by utilizing his magical powers, the demons slowly begin to acknowledge him as their monarch. Yuri must now learn what it takes be a true Demon King, as he tries to keep the peace between demons and humans in this strange new realm.","['Sequel (OVA) Kyou kara Maou! R', 'Adaptation (Manga) Kyou kara Ma no Tsuku Jiyuugyou!', 'Adaptation (Light Novel) Ma Series', '']",Kyou kara Maou!,"Kyo Kara Maoh!, Maruma, God? Save Our King, King from now on!",['Isekai'],,
48,焼きたて!! ジャぱん,Yakitate!! Japan,,,,['TV'],69,Finished Airing,"Oct 12, 2004 to Mar 14, 2006",['Fall 2004'],Unknown,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Nozomi Entertainment'],['Sunrise'],['Manga'],"['Comedy', 'Gourmet']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.91,#795,#2208,"101,245",927,42264,"While countries such as France, England, and Germany all have their own internationally celebrated bread, Japan simply does not have one that can match in reputation. Thus after discovering the wonders of breadmaking at a young age, Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster, Azuma is able to bring his baking innovations to another level. As he begins working at the prestigious Japanese bakery chain, Pantasia, Azuma encounters other talented bakers and experiences firsthand the competitive world of baking. Along with his newfound friends and rivals, Azuma strives to create new and unparalleled bread that will start a baking revolution. [Written by MAL Rewrite]","['Adaptation (Manga) Yakitate!! Japan', '']",Yakitate!! Japan,Freshly Baked!! Ja-pan!,,,
49,クレヨンしんちゃん,Shin Chan,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,081","1,330",42193,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,['School'],,
50,ガン×ソード,Gun x Sword,,,,['TV'],26,Finished Airing,"Jul 4, 2005 to Dec 26, 2005",['Summer 2005'],Unknown,['Studio Tulip'],"['Funimation', 'Geneon Entertainment USA']",['AIC ASTA'],Original,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.24,#3171,#2537,"81,004",364,34302,"Van, a lanky and apathetic swordsman, is on a journey to kill the murderer of his fiancé. The only characteristic he has to go by is that the murderer has a claw for an arm, hence the murderer being referred to as The Claw Man. During his travels, Van happens to pass through the city of Evergreen, which is defending itself from bandits who aim to rob the city of its treasury. It is in this city that Van meets Wendy Garret, a timid young girl who is looking for her kidnapped brother. When the city pleads for Van's assistance to defend it, he refuses, claiming it has nothing to do with him and thus leaves the city on its own to deal with the peril. Soon after, Van comes across the raiding bandits himself and they eventually tick off the swordsman to a degree where he takes action against them for his own personal vendetta. Surprisingly, Van learns that the bandits had ties with The Claw Man, and in kidnapping Wendy's brother for a reason they did not disclose. After the bandits are dealt with easily, Van and, much to his chagrin, Wendy continue the journey in search of The Claw Man. Little do they know, however, that The Claw Man is involved with something more atrocious than either could fathom. [Written by MAL Rewrite]","['Adaptation (Manga) Gun x Sword', '']",Gun x Sword,Gun vs Sword,['Mecha'],,
51,ケロロ軍曹,Sgt. Frog,,,,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1300,#2552,"80,345","1,283",35926,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,Sergeant Frog,['Parody'],,
52,ぱにぽにだっしゅ！,Pani Poni Dash!,,,,['TV'],26,Finished Airing,"Jul 4, 2005 to Dec 26, 2005",['Summer 2005'],Mondays at 01:30 (JST),"['Square Enix', 'Starchild Records', 'Omnibus Promotion']","['ADV Films', 'Funimation']","['Shaft', 'GANSIS']",['Manga'],,"['Gag Humor', 'Parody', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.42,#2261,#2871,"65,638",459,22811,"The girls of Momotsuki Academy's Class 1-C are starting their tenth-grade year with a brand-new instructor. The good news? The teacher is an MIT grad. The bad news? She's only 11 years old! So, while Becky Miyamoto may be an intellectual titan, this child prodigy is painfully ill-equipped to deal with the group of temperamental teens—and idiotic aliens—that await her instructions! (Source: Funimation)","['Sequel (Special) Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku', 'Adaptation (Manga) PaniPoni']",Paniponi Dash!,,,['Comedy'],
53,とっとこハム太郎,Hamtaro,Hamtaro,Hamtaro,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",,['Kids'],25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,638",280,30613,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",['Anthropomorphic'],,
54,メル,,,,Mär: Märchen Awakens Romance,['TV'],102,Finished Airing,"Apr 3, 2005 to Mar 25, 2007",['Spring 2005'],Sundays at 10:00 (JST),"['TV Tokyo', 'Shogakukan Productions']",['VIZ Media'],['SynergySP'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.24,#3135,#3158,"54,726",313,22325,"Dreaming of a magical world every night, the young Toramizu Ginta yearns to be able to go there. With only his friend Koyuki believing in his dreams, Ginta remains positive despite the slander he receives from others over his dreams. But his wishes are answered, as one day a large door appears in front of Ginta, summoning him to the land of MAR Heaven. In this land, the weapons known as ARMS exist. While initially Ginta greatly enjoyed the discovery of this magical world, he soon learns of the terrible wars that have once plagued MAR Heaven and the upcoming war that may soon appear.","['Adaptation (Manga) MÄR', '']",MÄR,"Marchen Awakens Romance, Märchen Awakens Romance, MAR-Heaven, MÄR Heaven",['Isekai'],,
55,シュガシュガルーン,Sugar Sugar Rune,,,,['TV'],51,Finished Airing,"Jul 2, 2005 to Jun 24, 2006",['Summer 2005'],Saturdays at 07:00 (JST),"['TV Tokyo', 'Marvelous Entertainment', 'TV Tokyo Music']","None found,",['Pierrot'],['Manga'],"['Comedy', 'Drama', 'Fantasy']",,['Shoujo'],24 min. per ep.,PG - Children,7.50,#1970,#3517,"45,229",503,18383,"Chocolat Meilleure and Vanilla Mieux are both witches and childhood friends, pitted against each other in a contest to see who will become the next queen of the Magic World! In order to win, the two queen candidates must attend school in the human world, cultivating relationships to bring out their classmates hearts of friendship and love... But if a witch gives their heart to a human, they'll die?! In an exciting adventure filled with transformations, mystery, jealousy, and romance, join Chocolat and Vanilla as they work alongside their knights to protect the kingdom from the threat of the Ogres and do their best to become the next queen!","['Adaptation (Manga) Sugar Sugar Rune', '']",Sugar Sugar Rune,"Chocola et Vanilla - Sugar Sugar Rune, Sugar² Rune",['Mahou Shoujo'],,
56,ガラスの仮面 (2005),Glass Mask,Glass Mask,Glass Mask,Glass Mask,['TV'],51,Finished Airing,"Apr 6, 2005 to Mar 29, 2006",['Spring 2005'],Unknown,"['TMS Entertainment', 'MediaNet']",['Sentai Filmworks'],['Tokyo Movie Shinsha'],['Manga'],"['Drama', 'Romance']","['Performing Arts', 'Showbiz']",['Shoujo'],23 min. per ep.,G - All Ages,8.03,#625,#3670,"41,868",524,13207,"Two Girls. One Dream. And the entire world for a stage. At 13 years old, Maya Kitajima seems destined to spend the rest of her life toiling in a crowded restaurant alongside her bitter and unstable mother. But when her incredible acting talent is discovered by the legendary diva Chigusa Tsukikage, Maya finds a new future filled with both golden opportunities and terrifying risks. For Ayumi Himekawa, success has always been assured, yet she longs to be recognized for her own talents and skills, not her famous parents' connections. For both, the ultimate prize is the role of The Crimson Goddess in the play of the same name, a part created by Chigusa. To achieve this goal, both Maya and Ayumi must seek out and conquer every acting challenge, pushing the limits of their talent and endurance to the utmost, until they are worthy of the part… But for one to win, the other must fail! (Source: Sentai Filmworks)","['Adaptation (Manga) Glass no Kamen', '']",Glass no Kamen (2005),,,,
57,ブラックジャック,,,Black Jack,Black Jack,['TV'],61,Finished Airing,"Oct 11, 2004 to Mar 6, 2006",['Fall 2004'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],"None found,",['Tezuka Productions'],['Manga'],,,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.58,#1648,#3838,"38,464",211,13255,"Black Jack is an ""unregistered"" doctor with a clouded, mysterious past. He works with his little assistant Pinoko (who has a massive crush on the doctor), dealing with medical cases not very well known, which can be strange, dangerous, or not known at all. But he is a genius, and can save almost any of his patients' life (as long as they have the money for it, that is), and is known to many around the world, especially to those of medicine and science. He's a man of science himself, and does not believe much until he has seen it, yet it is many times he is surprised by love and nature often overpowering the science he bases his life in. (Source: ANN)","['Prequel (TV Special) Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki', 'Sequel (TV) Black Jack 21', 'Adaptation (Manga) Black Jack', '']",Black Jack (TV),Black Jack 2004,['Medical'],['Drama'],
58,D.C.S.S. ～ダ・カーポ セカンドシーズン～,D.C.S.S. ~Da Capo Second Season~,,,,['TV'],26,Finished Airing,"Jul 2, 2005 to Dec 24, 2005",['Summer 2005'],Sundays at 00:30 (JST),"None found,","None found,",['feel.'],Visual novel,"['Comedy', 'Drama', 'Romance', 'Supernatural']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.93,#4664,#4021,"34,737",35,16279,"Hatsune-Jima was once well-known for its cherry trees, which would bloom no matter what time of year it was. Two years ago, the island's cherry trees lost this ability and all became ordinary cherry trees that bloom only in the spring. Jun'ichi Asakura is now a graduating senior at Kazami Academy, and is surrounded by many close friends, old and new alike. On a stormy summer day, a mysterious young girl, Aisia, arrives at Jun'ichi's door. She is looking for Sakura's grandmother to study magic, ultimately hoping to bring happiness to everyone. When she discovers that grandmother Yoshino had long since passed away, she joyfully assumes (thanks to his error in judgment) that Jun'ichi is able to teach her. Even though she finally understands that the only magic he's capable of is conjuring Japanese confections, Aisia continues her search for magic on Hatsune-Jima. Amid the chaos of her search, Kazami Academy hires new medical staff. (Source: ANN)","['Prequel (TV) D.C.: Da Capo', 'Sequel (TV) D.C.II: Da Capo II', 'Adaptation (Manga) D.C.S.G.: Da Capo - Second Graduation', '']",D.C.S.S: Da Capo Second Season,"D.C.S.G., Da Capo 2nd Season, Da Capo Second Graduation, Da Capo Second Story, dc2",['Harem'],,
59,強殖装甲ガイバー,Guyver: The Bioboosted Armor,Guyver: The Bioboosted Armor,,,['TV'],26,Finished Airing,"Aug 6, 2005 to Feb 18, 2006",['Summer 2005'],Saturdays at 19:00 (JST),"['Kadokawa Pictures Japan', 'Imagine']","['ADV Films', 'Funimation']",['OLM'],['Manga'],"['Action', 'Horror', 'Sci-Fi']","['Gore', 'Super Power']",['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.22,#3275,#4746,"24,189",155,10205,"Sho Fukamachi, a normal teenager accidentally found an alien object called Unit and thus, changed his life forever. The Unit bonded with Sho, resulting in an incredibly powerful life-form called Guyver. With this great power, Sho battles the mysterious Chronos organization and it's Zoanoids, in order to protect his friends and his world. Unknown to Sho, the battle against Chronos will lead to the discovery of the origins of human, their destiny, and the Creators... (Source: ANN)","['Adaptation (Manga) Kyoushoku Soukou Guyver', '']",Kyoushoku Soukou Guyver (2005),Guyver: The Bio-boosted Armor,,,
60,絶対少年,,,,Zettai Shonen,['TV'],26,Finished Airing,"May 21, 2005 to Nov 19, 2005",['Spring 2005'],Saturdays at 08:06 (JST),"['Bandai Visual', 'Mellow Head', 'Genco', 'Sogo Vision', 'Jinnan Studio', 'MICO']","None found,",['Ajia-do'],Original,"['Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.85,#5100,#4980,"21,658",71,4376,"Oftentimes, people are most vulnerable when they are lonely and unable to get along with those around them. Isolation is felt more keenly amongst a crowd, so some will try to find solace in the strangest of places, where the unknown lurks. Such people include Ayumu Aizawa, a former city boy now living in the countryside of Tana, and Kisa Tanigawa, a young girl who has a hard time relating to others. What these two share in common is a feeling that their life has gone astray. Zettai Shounen tells a story of strange phenomena affecting two different settings, with no explanations of their origin or sudden appearance. All that is known is that these phenomena seem to center on individuals with mixed emotions toward themselves and others. [Written by MAL Rewrite]","['Adaptation (Light Novel) Zettai Shounen', '']",Zettai Shounen,"Absolute Boy, Zettai Shonen",,,
61,ドラえもん (2005),,,,,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,,25 min.,PG - Children,7.71,#1262,#5003,"21,435",239,9595,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,['Anthropomorphic'],,"['Kids', 'Shounen']"
62,ふたりはプリキュア ー マックスハート,Pretty Cure Max Heart,,,Pretty Cure Max Heart,['TV'],47,Finished Airing,"Feb 6, 2005 to Jan 29, 2006",['Winter 2005'],Unknown,['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,"['Action', 'Comedy']",,,24 min. per ep.,G - All Ages,6.99,#4413,#5022,"21,236",51,9175,"Shortly after the fall of the Wicked King, the Queen of the Garden of Light lost her memory and came to Earth, in the form of a 12-year-old girl named Hikari Kujou. Now, she—with the help of Nagisa and Honoka, endowed with new costumes and powers—must find the 12 Heartiels, which hold the key to restoring the Queen's lost memories. For together once again, they are Pretty Cure. (Source: AniDB)","['Prequel (TV) Futari wa Precure', 'Adaptation (Manga) Futari wa Precure: Max Heart']",Futari wa Precure: Max Heart,We Are Pretty Cure: Max Heart,['Mahou Shoujo'],,
63,おねがいマイメロディ,Onegai My Melody,,,,['TV'],52,Finished Airing,"Apr 3, 2005 to Mar 26, 2006",['Spring 2005'],Sundays at 09:30 (JST),"['TV Osaka', 'Yomiko Advertising', 'Sanrio']","None found,",['Studio Comet'],Unknown,"['Comedy', 'Fantasy']",,,24 min. per ep.,PG - Children,7.33,#2670,#5271,"18,768",228,5474,"My Melody arrives on Earth much to the surprise of her rival Kuromi. Together with one of the junior high school students, Yumeno Uta, they decide to protect the dreams of the people with the help of magic.","['Sequel (TV) Onegai My Melody: Kurukuru Shuffle!', '']",Onegai My Melody,,,,
64,ゾイド ジェネシス,Zoids Genesis,,,,['TV'],50,Finished Airing,"Apr 10, 2005 to Mar 26, 2006",['Spring 2005'],Unknown,['Shogakukan Productions'],['VIZ Media'],['Shogakukan Music & Digital Entertainment'],Original,"['Action', 'Adventure', 'Comedy']","['Mecha', 'Military']",,25 min. per ep.,PG-13 - Teens 13 or older,7.19,#3405,#5509,"16,653",33,6958,"Natural disasters have devastated planet Zi, killing off almost all life. A thousand years later humans have gradually re-established civilization, salvaging ancient Zoids through diving and mining efforts. In a village whose most previous item is a giant sword which they worship as a holy symbol. A teenage boy discovers an ancient Liger-type Zoid while on a deep water salvage operation. Suddenly the village is attacked by skeletal Bio-Zoids intent on stealing a powerful generator located in the village. Our teenage hero awakens the Liger and discovers that the town`s sacred sword is the Liger`s weapon, together they fight off the mysterious Bio-Zoids. At least for now... (Source: AniDB)",[],Zoids Genesis,,,,
65,ふしぎ星の☆ふたご姫,,,,,['TV'],51,Finished Airing,"Apr 2, 2005 to Mar 25, 2006",['Spring 2005'],Saturdays at 10:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Omnibus Promotion']","None found,",['HAL Film Maker'],Original,"['Comedy', 'Fantasy']",,,24 min. per ep.,G - All Ages,7.28,#2926,#5999,"13,399",80,4967,"In the hollow Mysterious Planet, seven kingdoms co-exist, all of them lit by the Sun's Blessing from the Kingdom of the Sun, in the middle of the planet. The light of the core sun is necessary for the continued existence of all the kingdoms. Yet, something is causing the Sun's Blessing to weaken. If something isn't done, it will be the end of life in the Mysterious Planet. Fortunately, the twin princesses of the Sun Kingdom, Fine and Rein, have been endowed with the magic of the Prominence, and are looking for a way to fix things. (Source: ANN)","['Sequel (TV) Fushigiboshi no☆Futagohime Gyu!', 'Adaptation (Manga) Fushigiboshi no Futagohime']",Fushigiboshi no☆Futagohime,"Fushigi-boshi no Futago-hime, Fushigi Boshi no Futago Hime, Twin Princesses of the Wonder Planet, Twin Princesses of the Mysterious Star, Twin Princess of the Mysterious Planet",['Mahou Shoujo'],,
66,サザエさん,Mrs. Sazae,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9129,#7129,"8,811",39,1936,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,
67,忍たま乱太郎,,,El Ninja Boy Rantaró,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4018,#7394,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",,['Comedy'],
68,トランスフォーマー ギャラクシーフォース,Transformers Cybertron,,,Transformers Cybertron : Un Nouveau Commencement,['TV'],52,Finished Airing,"Jan 8, 2005 to Dec 31, 2005",['Winter 2005'],Saturdays at 08:00 (JST),"['Takara', 'TV Aichi', 'Tokyu Agency', ""We've Inc.""]",['Hasbro'],['Gonzo'],Other,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.68,#6001,#7805,"6,993",38,3512,"Forced to abandon their home planet of Cybertron due to the threat of a black hole, Optimus Prime prepares to lead his Autobot warriors to Earth. Just as they are leaving, the Autobots are confronted by Vector Prime, who warns them of the threat to the galaxy if the four Cyber Planet Keys are not gathered in time. However, Megatron has plans of his own for the universe. As they embark on the search, they travel to new planets which are inhabited by different Transformer races as well as the Autobots who lead these planets.","['Prequel (TV) Transformers Superlink', '']",Transformers Galaxy Force,Galaxy Force,['Mecha'],,
69,ちびまる子ちゃん,Little Miss Maruko,,Chibi Maruko-chan,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,['Shoujo'],23 min.,G - All Ages,7.34,#2626,#7910,"6,780",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,['School'],['Comedy'],
70,あたしンち,My Family,,,,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,,25 min. per ep.,G - All Ages,7.38,#2439,#8237,"6,118",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,Atashinchi,,,
