,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Synonyms,Genre,Demographics
84,忍者ハットリくん （2012年版）,,,,,['TV'],52,Finished Airing,"May 13, 2012 to Feb 16, 2015",['Spring 2012'],Not scheduled once per week,['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],,,,24 min. per ep.,G - All Ages,6.70,#5888,#10333,"3,181",1,1773,Remake of the Ninja Hattori-kun series.,"['Adaptation (Manga) Ninja Hattori-kun', '']",Ninja Hattori-kun (2012),,,['Comedy'],
85,ヒーローバンク,Herobank,,,,['TV'],51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Unknown,"['Tokyo Movie Shinsha', 'Sega', 'TMS Music']","None found,",['TMS Entertainment'],Game,,['Strategy Game'],['Kids'],23 min. per ep.,PG - Children,5.97,#10051,#10486,"3,057",10,924,"In Big Money City, players participate in ""Hero Battles"" using Bankfon Gs, which allows them to rent powerful hero suits and fight battles against other players, receiving power boosts from the system's public domain feature. Kaito Goushou, a young elementary school student who is always eager to help others, ends up hastily signing a contract to rent the powerful unlisted hero suit, ""Enter the Gold,"" from a mysteriously seedy priest named Sennen; however, he soon learns that the suit comes with a debt of 10 billion yen, and Kaito must now clear his dues by winning Hero Battles. (Source: Wikipedia)",[],Hero Bank,,,,
86,パックワールド,,"Pac-Man und die Geisterabenteuer - Das Abenteuer beginnt, Teil 1 + 2",,,['TV'],52,Finished Airing,"Apr 5, 2014 to Apr 25, 2015",['Spring 2014'],Saturdays at 18:30 (JST),['Bandai Namco Entertainment'],"None found,","['OLM Digital', 'Sprite Animation Studios']",Game,"['Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,PG - Children,5.48,#12192,#10538,"3,003",7,1465,"We follow the daily events of Pac as he saves Pac-World. Together with his friends Cyli and Spiral, Pac and his buds face the issues of being teenagers while also protecting Pac-World from a ghostly army led by the evil Betrayus. Pac-Worlders do not want Betrayus and his ghostly minions returning from the Netherworld and wreaking havoc. So, President Spheros teaches Pac and his pals the legend prophesizing a round yellow Pac-Worlder rescuing the planet. Pac, the only round yellow citizen, is the man for the job. Each adventure follows Pac and his friends as they try to return the ghosts to Netherworld, saving Pac-World. (Source: AniDB)",[],Pac-World,,PAC-MAN and the Ghostly Adventures,,
87,オレカバトル,,,,,['TV'],51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Mondays at 18:00 (JST),"None found,","None found,","['Xebec', 'OLM']",Game,,['Strategy Game'],,11 min. per ep.,G - All Ages,5.91,#10404,#10896,"2,702",3,868,"The anime adaptation revolves around a young boy named Faiya Orega who loves Oreca competitions. One day, he is granted the power to summon real Oreca monsters due to the mysterious powers of the treasure chest Pandora. To protect the peace of the Oreca world, Faiya must fight the demon king who threatens the land. (Source: Crunchyroll)",[],Oreca Battle,,,,
88,おじゃる丸,Prince Mackaroo,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7751,#11554,"2,223",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,
89,牙狼〈GARO〉-炎の刻印- ゆるがろ,,,,,['TV'],23,Finished Airing,"Oct 17, 2014 to Feb 28, 2015",['Fall 2014'],Unknown,['Pony Canyon'],"None found,",['DLE'],Original,"['Comedy', 'Fantasy']",['Parody'],,1 min. per ep.,PG - Children,5.52,#12040,#11914,"1,995",0,371,Comedic omake specials that aired after Garo: Honoo no Kokuin.,[],Garo: Honoo no Kokuin - Yurugaro,,"Garo the Animation Specials, Garo Omake",,
90,デュエル・マスターズ VS,,,,,['TV'],49,Finished Airing,"Apr 5, 2014 to Mar 28, 2015",['Spring 2014'],Unknown,"None found,","None found,",['Ascension'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG-13 - Teens 13 or older,5.79,#10980,#12632,"1,581",1,330,"The most anticipated card game, Duel Masters had returned after 2 years since the battle in the past season. However, Katta Kirifuda once the strongest duelist, is now a year 2 middle school student and had lost his passion of dueling throughout the 2 years, and dreams of curry bread every day. However, after an encounter with the baseball ace, Hokaben, a mysterious duelist and a reunion with his childhood friend Lulu Takigawa, he rekindled his dueling spirit and return to his journey of becoming the strongest duelist. With new friends and rivals and Katta's passionate duelist soul, the greatest battle begins! (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Victory V3', 'Sequel (TV) Duel Masters VSR']",Duel Masters VS,,Duel Masters Versus,,
91,ナノ・インベーダーズ,,,,,['TV'],52,Finished Airing,"Oct 10, 2014 to Oct 4, 2015",['Fall 2014'],Sundays at 06:30 (JST),['TV Tokyo'],"None found,","None found,",Original,"['Action', 'Adventure']",['Super Power'],,24 min. per ep.,PG - Children,[],#20577,#13189,"1,337",2,,"Nano Invaders follows the eye-popping adventures of Hikaru, 11, who is dragged into a series of battles between two rival alien clans. One day Hikaru tries on a bracelet that belongs to his classmate Mimi and he turns into a monster. Mimi’s family is a special scouting unit from planet Anima. When alien invaders from a rival planet Damon attack the city, Hikaru joins force with Mimi’s family to fight back. The battle gets on the TV, making Hikaru and the aliens instant heroes. Simple-minded Hikaru is happy to see his dream come true, not knowing that Mimi’s family is plotting to take over the earth too! (Source: Mondo TV)",[],Nano Invaders,,Nami Shen Bing,,
92,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,,,,['TV'],Unknown,Currently Airing,"Nov 16, 2012 to ?",['Fall 2012'],Not scheduled once per week,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,,2 min.,G - All Ages,[],#19286,#13297,"1,296",0,,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.","['Prequel (Movie) Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?', '']",Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,Kamiusagi Rope 4,,
93,라바 인 뉴욕,Larva 3,Larva Staffel 3,Larva Temporada 3,Larva Saison 3,['TV'],104,Finished Airing,"Aug 4, 2014 to Dec 7, 2015",['Summer 2014'],Unknown,['TUBA'],"None found,","None found,",Original,,,,2 min. per ep.,G - All Ages,6.42,#7592,#13372,"1,271",3,729,Third season of Larva.,"['Prequel (TV) Larva 2nd Season', 'Sequel (ONA) Larva Island']",Larva 3rd Season,,Larva in New York,['Comedy'],
94,団地ともお,,,,,['TV'],78,Finished Airing,"Apr 6, 2013 to Feb 7, 2015",['Spring 2013'],Saturdays at 09:30 (JST),"['NHK', 'Shogakukan Music & Digital Entertainment']","None found,","None found,",['Manga'],,,['Seinen'],24 min. per ep.,G - All Ages,6.14,#9158,#13734,"1,153",1,184,It's a heartwarming and sometimes nonsense comedy about an elementary school boy Tomoo Kinoshita.,"['Adaptation (Manga) Danchi Tomoo', '']",Danchi Tomoo,,,['Comedy'],
95,はなかっぱ,,,,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,['Kids'],10 min.,PG - Children,6.00,#9917,#14255,"1,003",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,,Hana Kappa,['Comedy'],
96,しあわせ配達おみくじタネコ,,,,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,,Unknown,None,[],#14196,#14341,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,,['Comedy'],
97,侠岚,,,,,['TV'],156,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",['Winter 2012'],Sundays at Unknown,"None found,","None found,",['Rocen'],Original,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.05,#9661,#14671,892,2,172,"When Nian Chi was a young child, his elder sister was kidnapped in front of him, while he could do nothing but watch, a thing that has tormented him for all these years. Now 10 years later, he's dead set on going to rescue his sister, and sets out.","['Sequel (ONA) Hua Jianghu: Xia Lan', '']",Xia Lan,"['Historical', 'Martial Arts']","Man Lan, Shalen",,
98,GO-GO たまごっち！,,,,,['TV'],50,Finished Airing,"Apr 3, 2014 to Mar 26, 2015",['Spring 2014'],Unknown,"None found,","None found,",['OLM'],Unknown,"['Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,G - All Ages,6.15,#9093,#14891,837,3,173,New series of Tamagotchi!.,"['Prequel (TV) Tamagotchi! Miracle Friends', 'Sequel (TV) Tamagotchi! Tamatomo Daishuu GO']",GO-GO Tamagotchi!,,,,
99,くつだる。,,,,,['TV'],48,Finished Airing,"Apr 2, 2014 to Sep 16, 2015",['Spring 2014'],Wednesdays at 18:45 (JST),['NHK'],"None found,",['Egg'],['Manga'],"['Fantasy', 'Slice of Life']",['School'],['Kids'],9 min. per ep.,PG - Children,[],#19684,#15081,795,1,,"In a Tokyo suburb small town, there lives a girl named Nekota Kaoru. Being born into a normal family, being raised in a normal way, this spring she'll become a normal happy middle-schooler. However, since young age, Nekota had an abnormal ability to see Imadoki youkai (Modern Monster). And she has kept it a secret from others...",[],KutsuDaru.,,Kutsushita ga Daru Daru ni Nacchau Wake: Imadoki Youkai Zukan,,
100,猫のダヤン,,,,,['TV'],52,Finished Airing,"Apr 26, 2014 to Apr 25, 2015",['Spring 2014'],Saturdays at 07:00 (JST),['Sotsu'],"None found,",['Kachidoki Studio'],Novel,,['Anthropomorphic'],['Kids'],3 min. per ep.,G - All Ages,[],#20610,#15161,774,0,,"Dayan the cat came to Wachi Field from the Earth through Snow magic. Wachi Field was originally part of the Earth, but separated by Snow God because of the War between Gods and Titans, which destroyed the land. After the war, the Earth's time flow faster than Wachi Field, which the life is slow with animals and fairies and full of mischief.","['Sequel (TV) Neko no Dayan: Nihon e Iku', '']",Neko no Dayan,,Dayan the Cat,['Fantasy'],
101,猫ピッチャー,,,,,['TV'],51,Finished Airing,"May 3, 2014 to Mar 29, 2016",['Spring 2014'],Tuesdays at 20:00 (JST),"None found,","None found,","None found,",['4-koma manga'],"['Comedy', 'Sports']",,['Kids'],2 min. per ep.,G - All Ages,6.05,#9693,#15179,767,1,210,A story about Cat pitcher Mi-Tarou's actions. It is a 23-koma that serialized in Yomiuri Shimbun Sunday.,"['Adaptation (Manga) Neko Pitcher', '']",Neko Pitcher,"['Anthropomorphic', 'Team Sports']",,,
102,しまじろうのわお!,,,,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],8 min.,G - All Ages,[],#14228,#15589,688,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,,
103,超爆裂異次元メンコバトル ギガントシューター つかさ,Gigant Big-Shot Tsukasa,,,,['TV'],32,Finished Airing,"Apr 1, 2014 to Feb 10, 2015",['Spring 2014'],Unknown,"['NHK', 'Asmik Ace', 'Bushiroad', 'FOREST Hunting One']","None found,",['Fanworks'],Original,"['Action', 'Comedy']",['Strategy Game'],['Kids'],9 min. per ep.,PG-13 - Teens 13 or older,5.48,#12173,#15796,655,2,175,"The anime follows Tsukasa, whose dream is to become the best at Gigant Shooter (battles in a game similar to pog) in the world. The menko card his father left for him called King Menger is his partner. Tsukasa's fellow gamers are the cute but tsundere Koide Miruko, the spectacled bully Numata Manabu, and the realist and sharp-tongued Doumoto Ataru. (Source: ANN)",[],Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,,Gigant Shooter Tsukasa,,
104,秘密結社鷹の爪 EX,,,,,['TV'],38,Finished Airing,"Apr 11, 2014 to Mar 6, 2015",['Spring 2014'],Unknown,"None found,","None found,",['DLE'],Unknown,,,,5 min. per ep.,PG-13 - Teens 13 or older,5.83,#10802,#15949,633,0,122,Sequel to the previous season of the flash anime series.,"['Prequel (TV) Himitsukessha Taka no Tsume MAX', 'Sequel (TV) Himitsukessha Taka no Tsume DO']",Himitsukessha Taka no Tsume EX,"['Parody', 'Super Power']",Secret Society Eagle Talon Extreme,['Comedy'],
105,にゃん符,,,,,['TV'],124,Finished Airing,"Feb 22, 2014 to Sep 29, 2016",['Winter 2014'],Not scheduled once per week,"None found,","None found,",['MMDGP'],Original,,['Music'],,1 min. per ep.,G - All Ages,[],#20755,#16088,613,1,,"Shorts that feature music note cats. The series premiered on February 22, 2014 on television; the first episode was published on an official YouTube channel that same day. The whole world is in love with character illustrations of cats, dogs, and bears. A brand-new show, and the first of its kind in Japan, featuring nothing but cat characters for cat lovers started airing in February 2014. A variety of cat characters designed by Japan's topnotch creators and illustrators are animated and they are voiced by popular KAWAII (cute) anime voice actors. This show is a must-see not just for the fans of cat characters but for all anime lovers! (Source: YouTube)",[],Nyanfuru,,"Nyanfu, Nyanfull",['Comedy'],
106,鉄人28号ガオ!,,,,,['TV'],151,Finished Airing,"Apr 6, 2013 to Mar 26, 2016",['Spring 2013'],Saturdays at 04:52 (JST),['Fuji TV'],"None found,","['Eiken', 'TYO Animations']",['Manga'],,['Mecha'],,5 min. per ep.,G - All Ages,[],#14808,#16148,605,0,,"This series of anime shorts, roughly five minutes in length, will focus on protagonist Shoutarou Kaneda's everyday life instead of focusing on battle scenes as previous Tetsujin 28 titles have done. The visuals of the title robot, its nemesis Black Ox, and other elements will have a pop-art style. (Source: ANN)",[],Tetsujin 28-gou Gao!,,,['Slice of Life'],
107,안녕 자두야,Hello Jadoo,,,,['TV'],122,Finished Airing,"Jul 18, 2011 to Feb 1, 2016",['Summer 2011'],Not scheduled once per week,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,PG - Children,6.16,#9060,#16106,610,3,160,"Hello Jadoo is a South-Korean TV show about a girl named Choi Jadoo who is a very free-spirited girl. In every episode, she would always get into drama, whether it was with her parents or school. At the same time, she meets new people and she tries to solve problems occurring.",[],Annyeong Jadoo,,Annyeong Jaduya,['Comedy'],
108,ごはんかいじゅうパップ,,,,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,['Kids'],30 sec.,G - All Ages,[],#18205,#16436,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,,Rice Monster Pap,,
109,출동! 슈퍼윙스,Super Wings,Super Wings,Super Wings. ¡Siempre Cumplimos!,Super Wings,['TV'],52,Finished Airing,"Sep 1, 2013 to Feb 25, 2016",['Fall 2013'],Unknown,"None found,","None found,","None found,",Original,,['Racing'],['Kids'],12 min. per ep.,PG - Children,5.86,#10651,#16589,548,1,210,"Super Wings follows the adventures of an adorable jet plane named Jett who travels around the world delivering packages to children. On every delivery, Jett encounters new problems that he must solve with the help of his friends the ""Super Wings"": Dizzy, Jerome and Donnie. Together, the team explores different countries and learns the diversity of new cultures. (Source: Official YouTube channel)","['Sequel (TV) Chuldong! Super Wings 2', '']",Chuldong! Super Wings,,,['Adventure'],
110,おはようハクション大魔王,,,,,['TV'],237,Finished Airing,"Mar 31, 2014 to Mar 27, 2015",['Spring 2014'],Not scheduled once per week,"None found,","None found,",['Kate Arrow'],Other,,['Parody'],,1 min. per ep.,G - All Ages,5.79,#10995,#16737,532,0,122,"The 3rd continuation of NTV's ZIP! anime parody shorts. This one focuses on Hakushon Daimaou. Like with the previous season, occasionally the Gatchaman team and now the Mazinger Z team show up in some episodes.","['Prequel (TV) Mazinger ZIP!', 'Sequel (TV) Good Morning!!! Doronjo']",Ohayou Hakushon Daimaou,,,['Comedy'],
111,よわむしモンスターズ,,,,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,['Kids'],1 min.,PG - Children,[],#16128,#16778,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,,Yowamon,,
112,ぐらＰ＆ろで夫,,,,,['TV'],61,Finished Airing,"Oct 19, 2014 to Dec 29, 2015",['Fall 2014'],Not scheduled once per week,['Lantis'],"None found,",['Pie in the sky'],Original,,['Music'],,2 min. per ep.,PG-13 - Teens 13 or older,[],#18241,#16800,525,1,,"Rodeo is a normal high school boy who aims to be like GRANRODEO. Gra-P, a self-proclaimed music producer who comes from the future, tries to help him.","['Sequel (Special) Gra-P & Rodeo: Band wo P', 'Sequel (TV) Gra-P & Rodeo II']",Gra-P & Rodeo,,"GuraP & Rodeo, GraP & RodeO",['Comedy'],
113,ふうせんいぬティニー,,,,,['TV'],26,Finished Airing,"Sep 26, 2014 to Mar 27, 2015",['Fall 2014'],Fridays at 17:25 (JST),['NHK'],"None found,","[""Steve N' Steven""]",Picture book,,,['Kids'],5 min. per ep.,G - All Ages,[],#18054,#17008,505,0,,"Based on a picture book series, it follows a dog who flies above the clouds with a balloon.","['Sequel (TV) Fuusen Inu Tinny 2nd Season', '']",Fuusen Inu Tinny,,"Tinny the Balloon Dog, Balloon Dog Tinny",['Adventure'],
114,えほん寄席,,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,,['Kids'],5 min. per ep.,PG - Children,[],#17863,#17183,487,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,"['Historical', 'Performing Arts']",,['Horror'],
115,パンパカパンツ,Panpaka Pantsu,,,,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,['Kids'],15 sec. per ep.,G - All Ages,[],#20947,#17401,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,,"Panpaka Panties, Panpaka Underwear",['Comedy'],
116,ともだち8にん,,,,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,['Kids'],1 min. per ep.,G - All Ages,[],#14949,#17784,436,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,,['Comedy'],
117,翼空之巅,Brinken: Skate Revolution,,,,['TV'],40,Finished Airing,"Apr 2013 to Apr 2, 2015",['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Sports']",,['Kids'],23 min. per ep.,G - All Ages,[],#16023,#18173,405,2,,"In a city of the future, many kids can play with Finger Skateboards--skateboards that can move a simulated character in a battle at will of the player. Our main character enters shop and joins the game along with his 3 friends. They kids go on many adventures and compete against Alexander, the son of a rival company competing against the original shop.",[],Yi Kong Zhi Dian,,Brinken: Finger Skate Generation,,
118,野良スコ,,,,,['TV'],43,Finished Airing,"May 19, 2014 to Mar 31, 2015",['Spring 2014'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,"['Comedy', 'Slice of Life']",,,2 min. per ep.,G - All Ages,[],#20732,#18227,404,0,,musicる TV signed up Norasco for their channel. Some of the ONA's episodes were shown and then the episodes became mostly musicる TV exclusive.,"['Prequel (ONA) Norasco', '']",Norasco (TV),,Nora Suko (TV),,
119,パッコロリン,Pakkororin,,,,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,['Kids'],1 min.,G - All Ages,[],#20936,#18315,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,
120,がんばれ！ルルロロ　第２シリーズ,TINY★TWIN★BEARS 2nd Season,,,,['TV'],26,Finished Airing,"Sep 25, 2014 to Mar 26, 2015",['Fall 2014'],Thursdays at 17:25 (JST),['NHK'],"None found,",['Fanworks'],Picture book,,,['Kids'],5 min. per ep.,PG - Children,[],#18102,#18390,391,0,,"The anime centers around the daily life of two twin bear sisters: the orange-colored Lulu and the yellow-colored Lolo. The two take on new jobs and, despite the occasional failure and tears, give their best efforts. (Source: ANN)","['Prequel (TV) Ganbare! Lulu Lolo', 'Sequel (TV) Ganbare! Lulu Lolo 3rd Season']",Ganbare! Lulu Lolo 2nd Season,,,['Slice of Life'],
121,コロコロアニマル2,,,,,['TV'],63,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Unknown,['Milky Cartoon'],"None found,","None found,",Unknown,,,['Kids'],1 min. per ep.,G - All Ages,[],#17407,#20146,278,0,,"An educational program teaching children shapes, basic math, colors, and other subjects.","['Prequel (TV) ColoColo Animal', '']",ColoColo Animal 2,,"Colo Colo Animal 2, Korokoro Animal 2",,
122,빨간 자전거,Red Bicycle,,,,['TV'],302,Finished Airing,"Jan 22, 2013 to Apr 3, 2015",['Winter 2013'],Unknown,"None found,","None found,","None found,",['Manga'],,,['Kids'],4 min. per ep.,G - All Ages,[],#21139,#21016,229,0,,"Against the backdrop of a rural village with a beautiful landscape, Imhwa-ri, a postman riding a red bicycle, tells the story of our daily life with all of our sadness, joy, pain, and laughter. Let's meet with the postman on a red bicycle! (Source: YouTube)","['Adaptation (Manhwa) The Red Bicycle', '']",Ppalgan Jajeongeo,,,['Slice of Life'],
123,지파이터스,,,,,['TV'],26,Finished Airing,"Sep 1, 2014 to Feb 28, 2015",['Fall 2014'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,['Kids'],23 min. per ep.,PG - Children,[],#18070,#21970,176,0,,"In the peaceful city of Metroplis, a high-rise building, the WP Center freezes and explodes. A red fog permeates the city and space vilians invade to plunge the city into chaos. The main character Lynn, becomes a superhero after finding a strange cat, and combines forces with out super powered kids to take down the evil space invaders. (Source: Amazon Prime Video)",[],G Fighters,,"Jipaiteoseu, Wudi Jiguang Xia, 无敌极光侠, Invincible Aurora Man",,
124,翻开这一页,Story in the Book,,,,['TV'],49,Finished Airing,"Oct 3, 2014 to Sep 13, 2017",['Fall 2014'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],13 min. per ep.,G - All Ages,[],#17911,#22260,165,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Fan Kai Zhe Yi Ye,"['Historical', 'School']",,,
125,헬로 카봇,,,,,['TV'],26,Finished Airing,"Aug 2, 2014 to Feb 28, 2015",['Summer 2014'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],12 min. per ep.,PG - Children,[],#18491,#23160,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Hello Carbot Season 2', '']",Hello Carbot,"['Mecha', 'Racing']",,['Action'],
126,アニメで分かる心療内科,Comical Psychosomatic Medicine,Comical Psychosomatic Medicine,Comical Psychosomatic Medicine,Comical Psychosomatic Medicine,['ONA'],20,Finished Airing,"Feb 13, 2015 to Jun 26, 2015",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],,,['Seinen'],5 min. per ep.,PG-13 - Teens 13 or older,6.54,#6807,#3496,"45,755",51,18012,"The psychologist Ryou and his cheerful nurse Asuna explain many aspects of mental illness to the reader. They cover topics such as the validity, prevalence, and origins of mental disorders, in addition to addressing specific disorders. The information is imparted in a cheerful and comic manner, with various jokes, puns, and pop culture references. (Source: MU)","['Adaptation (Manga) Manga de Wakaru Shinryounaika', '']",Anime de Wakaru Shinryounaika,"['Educational', 'Medical']",Anime de Wakaru Shinryou Naika,['Comedy'],
127,日本アニメ（ーター）見本市,Japan Anima(tor)'s Exhibition,,,,['ONA'],35,Finished Airing,"Nov 7, 2014 to Oct 9, 2015",,,['Dwango'],"None found,","['Sunrise', 'Khara', 'Studio Rikka', 'Bridge', 'Kamikaze Douga', 'Trigger', 'Graphinica', 'Studio Colorido', 'dwarf', 'Sola Digital Arts', ""Steve N' Steven"", 'StealthWorks']",Original,"['Action', 'Avant Garde', 'Fantasy', 'Sci-Fi', 'Supernatural', 'Ecchi']",,,8 min. per ep.,R+ - Mild Nudity,7.32,#2741,#3607,"43,064",145,12472,"Nihon Animator Mihonichi is a collaborative series of standalone anime shorts with the support of various directors and studios. Aiming to expose new animators to a worldwide audience, these small works offer a glimpse into the future of the industry, featuring rising talents, cutting-edge techniques, and experimental aesthetic designs. [Written by MAL Rewrite]","['Adaptation (Manga) The Ultraman', 'Adaptation (Manga) Ochibi-san', 'Adaptation (Manga) Bikachou Shinshi Kaikoroku', '']",Nihon Animator Mihonichi,"['Mecha', 'Military', 'Music', 'School', 'Space']","Japan Animator Expo, The Dragon Dentist, Hill Climb Girl, Me!Me!Me!, Carnage, Nishi-Ogikubo, Until You Come to Me, Tomorrow From There",,
128,プリンセスコネクト！,Princess Connect!,,,,['ONA'],3,Finished Airing,"Mar 19, 2015 to Jul 9, 2017",,,"None found,","None found,","None found,",Game,,,,1 min. per ep.,G - All Ages,6.29,#8370,#6983,"9,241",10,1508,Animated PVs for the mobile RPG Princess Connect! franchise.,[],Princess Connect!,,Princess Connect! Re:Drive,['Fantasy'],
129,おかあさんにないしょ,Don't tell Mom,,,,['ONA'],1,Finished Airing,"Mar 15, 2015",,,"None found,","None found,","None found,",Original,"['Comedy', 'Ecchi']",,,3 min.,R+ - Mild Nudity,4.05,#13758,#12434,"1,684",3,1010,Music video by Sawako Kabuki.,[],Okaasan ni Naisho,,,,
130,オバケのどくろう,Dokuro the Ghost,,,,['ONA'],1,Finished Airing,"Mar 4, 2015",,,['Cyclone Graphics'],"None found,","None found,",Original,,,['Kids'],11 min.,G - All Ages,5.50,#12107,#12929,"1,439",0,634,"Back alley of candy shop which everybody has called it ""Alley of ghosts."" Gacharico the Ghost lives there, but it's a secret that only little Miku, from the family candy shop, knows. The content of the capsules appear to be ordinary toys, but inside Gacharico the Ghost, live an abundant of other ghosts, each with their own personality. Even today, the ghosts are using all their powers to try to inspire awe and feelings in the children around them. (Source: Official website)",[],Obake no Dokurou,,,['Supernatural'],
131,ことわざガンダムさん,,,,,['ONA'],17,Finished Airing,"Feb 18, 2015 to Apr 10, 2015",,,"None found,","None found,","None found,",['Manga'],,,,1 min. per ep.,PG-13 - Teens 13 or older,5.87,#10600,#13284,"1,304",0,332,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Naruhodo☆Kotowaza Gundam-san', '']",Kotowaza Gundam-san (ONA),"['Mecha', 'Parody']",,['Comedy'],
