,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Theme,Genre,Demographics
10,,レベルE,Level E,,,,['TV'],13,Finished Airing,"Jan 11, 2011 to Apr 5, 2011",['Winter 2011'],Tuesdays at 01:30 (JST),"['Aniplex', 'TV Tokyo Music', 'Sony Music Entertainment', 'Sakura Create']",['Funimation'],"['Pierrot', 'David Production']",['Manga'],"['Comedy', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),7.39,#2393,#2266,"97,367",332,40873,"Tokyo-born schoolboy Yukitaka Tsutsui is moving to Yamagata Prefecture for high school on a baseball scholarship. Since he went to the top middle school in Japan for baseball, the townsfolk are very excited about his arrival. However, when he arrives in his apartment, he encounters a strange man nonchalantly reading and wearing his clothes! The stranger claims to be an alien who crash-landed on Earth and has nowhere to go. Revealing himself to be Baka Ki El Dogra, the crown prince of the planet Dogra, he is just one of the hundreds of aliens that have already made Earth their home. Despite his regal origins, the prince is an infamous intergalactic fool who thinks nothing of inconveniencing others for his own amusement. Whether he is running ridiculous tests on his subordinates, giving strange powers to random children, or just generally being a nuisance, nobody is safe from the idiot prince's antics! [Written by MAL Rewrite]","['Adaptation (Manga) Level E', '']",Level E,['Shounen'],['Gag Humor'],,
11,"Oniichan no Koto nanka Zenzen Suki Janain Dakara ne!!, Onisuki, Because I Don't Like My Big Brother at All!!",お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!,I Don't Like My Big Brother At All!,,,,['TV'],12,Finished Airing,"Jan 9, 2011 to Mar 27, 2011",['Winter 2011'],Sundays at 00:30 (JST),['Starchild Records'],['Media Blasters'],['Zexcs'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.06,#9617,#2314,"93,597",88,42269,"Second-year middle schooler Nao Takanashi loves her older brother Shuusuke to the point where she has developed a brother complex. Wanting her brother to see her as a woman, Nao makes advances toward him on a daily basis, which often results in Shuusuke succumbing to and encouraging more of her teasing. One day, while throwing away porn magazines from her brother's room, Nao finds an album containing his childhood photos—none of which include her. Having discovered the truth behind her family relationships, Nao becomes ever more affectionate toward Shuusuke. However, it does not take long for her dreams of monopolizing her brother to be put in jeopardy. [Written by MAL Rewrite]","['Adaptation (Manga) Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!', '']",Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,,['Harem'],,
12,,フラクタル,Fractale,,,,['TV'],11,Finished Airing,"Jan 14, 2011 to Apr 1, 2011",['Winter 2011'],Fridays at 00:45 (JST),"['Fuji TV', 'TOHO', 'Asmik Ace', 'Sony Music Entertainment']",['Funimation'],['A-1 Pictures'],Original,"['Adventure', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4799,#2456,"85,359",202,35905,"The world has been at peace since the establishment of the Fractale system. Sustained by the Fractale terminals implanted in their bodies, people live in isolation, free to focus on their own interests. Clain Necran spends his days collecting technological relics from the time before the Fractale's introduction. The only company he keeps is his parents' Doppels, or advanced holographic clones. Clain soon meets Phryne—the first human girl he has ever met—and he instantly finds her fascinating. However, Phryne is being pursued by the anti-Fractale group known as The Lost Millenium, and she leaves a strange artifact in Clain's care before disappearing. Deciding that he needs to rescue Phryne and return her belongings, Clain sets out to find her. His journey takes him deep into the heart of the Fractale system, where learning the truth behind it poses more danger to him than he could possibly imagine. [Written by MAL Rewrite]","['Adaptation (Manga) Fractale', '']",Fractale,,,,
13,,カードファイト!! ヴァンガード,Cardfight!! Vanguard,,,,['TV'],65,Finished Airing,"Jan 8, 2011 to Mar 31, 2012",['Winter 2011'],Saturdays at 08:00 (JST),"['Dentsu', 'Sotsu', 'Sakura Create', 'Bushiroad']","None found,",['TMS Entertainment'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,7.03,#4260,#3116,"56,184",328,27721,"Taking the world by storm, the card game Cardfight Vanguard has influenced many to integrate card games into their everyday lives. Players of the popular game are called ""cardfighters,"" and they frequently battle each other in card shops. The game has inspired many people, one of which is the quiet and timid Aichi Sendou who is often ridiculed and bullied by his peers. Whenever he feels down, he takes a glance at Blaster Blade—a legendary rare card given to him when he was young—and gains the motivation to move on with his life. However, one day, school bully Katsumi Morikawa notices Aichi's treasure and snatches the card away from him. After a turn of events, Aichi soon discovers that the card is now in the hands of Toshiki Kai, a cardfighter who has become the strongest in town despite having only recently arrived. To make matters worse, Kai refuses to return the card unless Aichi defeats him in a cardfight. Much to everyone's surprise, Aichi rises up to the occasion. As he musters up his courage and pictures himself winning this decisive battle, Aichi begins to find his way into the adventurous world of Cardfight Vanguard. [Written by MAL Rewrite]","['Sequel (TV) Cardfight!! Vanguard: Asia Circuit-hen', 'Adaptation (Manga) Cardfight!! Vanguard']",Cardfight!! Vanguard,,['Strategy Game'],['Action'],
14,"Mitsudomoe Dai Ni Ki, Mitsudomoe 2-ki",みつどもえ増量中！,,,,,['TV'],8,Finished Airing,"Jan 9, 2011 to Feb 27, 2011",['Winter 2011'],Sundays at 02:58 (JST),"['Lantis', 'Cospa', 'Studio Mausu']","None found,",['Bridge'],['Manga'],,"['Gag Humor', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.65,#1424,#3400,"47,628",88,26948,Second season of Mitsudomoe.,"['Prequel (TV) Mitsudomoe', 'Adaptation (Manga) Mitsudomoe']",Mitsudomoe Zouryouchuu!,['Shounen'],,['Comedy'],
15,Rio - Rainbow Gate,リオ レインボーゲート!,Rio - Rainbow Gate!: Reshuffle,,Rio: Rainbow Gate,,['TV'],13,Finished Airing,"Jan 4, 2011 to Mar 29, 2011",['Winter 2011'],Tuesdays at Unknown,"['Avex Entertainment', 'Pony Canyon']",['Media Blasters'],['Xebec'],Game,"['Comedy', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,5.84,#10752,#3616,"43,042",36,15573,"The ""Howard Resort Hotel"" is an entertainment destination where people gather from around the world to grab huge fortunes. In the casino is a beautiful female dealer named Rio Rollins, known far and wide as the ""Goddess of Victory"". In order to approach closer to her mother, one of history's greatest dealers, she does battle to gather up the legendary cards called ""gates"". Those who gather all 13 gate cards are presented with the title MVCD (Most Valuable Casino Dealer), proof that they are a top dealer. Set in a vast resort, an exciting battle begins with rival dealers that'll take your breath away! Throw in some ""supreme comedy"" and a story that makes you cry when you least expect it, these cute and sexy girls will explode off your screen! With everyone's cheer of ""Leave it to Rio!"", Lady Luck'll be with you, too!",[],Rio: Rainbow Gate!,,['Strategy Game'],,
16,"Haiyore! Nyaruko-san, Haiyoru! Nyarl-ani: Remember My Love(craft-sensei)",這いよる!ニャルアニ リメンバー・マイ・ラブ(クラフト先生),Haiyoru! Nyaruani: Remember My Mr. Lovecraft,Haiyoru! Nyaruani: Remember My Mr. Lovecraft,Haiyoru! Nyaruani: Remember My Mr. Lovecraft,Haiyoru! Nyaruani: Remember My Mr. Lovecraft,['TV'],11,Finished Airing,"Dec 11, 2010 to Feb 26, 2011",['Winter 2011'],Unknown,['SoftBank Creative'],"None found,",['DLE'],['Light novel'],"['Comedy', 'Sci-Fi']",,4 min. per ep.,PG-13 - Teens 13 or older,6.23,#8681,#4318,"29,830",8,12002,"The story centers around Nyarlko, a formless Cthulhu deity who can take on the shape of anyone it wishes, but particularly the shape of a seemingly ordinary silver-haired girl. Mahiro Yasaka is a normal high school student who is chased by aliens one night, until ""Nyarlko"" saves him. (Source: ANN)","['Sequel (Special) Haiyoru! Nyaruani: Remember My Love(craft-sensei) Special', 'Adaptation (Manga) Haiyore! Nyaruko-san', 'Adaptation (Light Novel) Haiyore! Nyaruko-san', '']",Haiyoru! Nyaruani: Remember My Love(craft-sensei),,,,
17,,ウルヴァリン,Wolverine,,,,['TV'],12,Finished Airing,"Jan 7, 2011 to Mar 25, 2011",['Winter 2011'],Fridays at 22:00 (JST),"None found,",['Marvel Entertainment'],['Madhouse'],Other,"['Action', 'Drama']",,23 min. per ep.,PG-13 - Teens 13 or older,6.02,#9806,#4440,"28,215",26,13382,"Logan learns that his girlfriend, Mariko Yashida, who disappeared a year ago, has been taken to Tokyo by her father Shingen, who is the head of a Japanese crime syndicate and a supplier of AIM. He then decides to head to Japan to find her and take her back, no matter what.",[],Wolverine,,['Super Power'],,
18,Suite Pretty Cure♪,スイート プリキュア♪,,,,,['TV'],48,Finished Airing,"Feb 6, 2011 to Jan 29, 2012",['Winter 2011'],Unknown,"None found,","None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,7.29,#2890,#5407,"17,533",131,7040,"Major Land is a colorful world of music where instruments and notes come to life. During an annual concert event, Hummy, the cat songstress of Major Land, prepares to sing the ""Melody of Happiness,"" capable of spreading happiness to worlds beyond. However, Mephisto, the king of Minor Land, interrupts the event and rewrites the score into the ""Melody of Sorrow""—a dissonant composition that would instead cause despair when performed. In order to prevent this from happening, Hummy is tasked with finding the Precure, renowned warriors with an unmatched passion for music, and recreating the Melody of Happiness. Hummy arrives in Kanon Town, home of musically-inclined athlete Hibiki Houjou and studious baker Kanade Minamino. Engaging only in endless bickers, Hibiki and Kanade were formerly best friends and have since fallen out of touch. Their activities are stopped short by an unwelcome guest—the songstress of Minor Land, Siren. When Siren turns an important record into a gigantic monster, the girls' hearts resonate with the desire to protect what they hold dear and the two transform into the Suite Precure! As legendary warriors, Hibiki and Kanade will have to put their personal squabbles aside if they wish to protect the happiness of the world. [Written by MAL Rewrite]","['Adaptation (Manga) Suite Precure♪: Precure Collection', '']",Suite Precure♪,,['Mahou Shoujo'],['Action'],
19,,DD北斗之拳,DD Fist of the North Star,,,,['TV'],12,Finished Airing,"Jan 12, 2011 to Apr 6, 2011",['Winter 2011'],Wednesdays at 02:35 (JST),['North Stars Pictures'],"None found,","None found,",['Manga'],,,3 min. per ep.,PG-13 - Teens 13 or older,6.07,#9567,#8756,"5,290",12,1875,"Super-deformed version of Hokuto no Ken, Buronson & Hara Tetsuo's post-apocalyptic fighting manga. Note: The ""DD"" stands for ""Design Deformation,"" since the characters are only ""two-heads-tall."" (Source: AniDB)","['Adaptation (Manga) DD Hokuto no Ken', '']",DD Hokuto no Ken,['Seinen'],['Parody'],,
20,,오스카의 오아시스,Oscar's Oasis,,,,['TV'],78,Finished Airing,"Feb 28, 2011 to Jun 15, 2011",['Winter 2011'],Unknown,"None found,","None found,",['TUBA'],Unknown,,,8 min. per ep.,G - All Ages,6.72,#5783,#11740,"2,101",12,1172,"Oscar is a lizard living in a non-specific desert that has features from several different real deserts, like the Sahara, Kalahari Desert, and North American deserts. An asphalt concrete highway runs through the area, used from time to time by various cargo trucks. Oscar is generally searching for food or water; he sometimes discovers liquid, in bottles or elsewhere, but is usually frustrated from recovering it for drink. An oasis supplies the only fresh water in the area, but its thick population of irascible and hungry crocodiles renders it inaccessible. At considerable personal risk (lizard is a delicacy for chickens), Oscar occasionally manages to steal an egg from a nearby hen coop, and he sometimes explores one of the piles of trash that litter the parched landscape. Popy, a fennec fox; Buck, a vulture; and Harchi, a hyena, inhabit a derelict school bus situated on a neighboring hill, but they mostly race about on a cast-off warehouse or grocery cart powered by Harchi and directed by Popy. Like Oscar, the trio constantly search for food and water - often competing with him, sometimes abusing him as a means, but occasionally cooperating with him when it suits their purpose. The main characters often find themselves falling off cliffs a la Wile E. Coyote chasing the Road Runner, wherein the law of gravity is briefly suspended while the character comes to realize their imminent doom. (Source: Wikipedia)",[],Oscar's Oasis,,,['Comedy'],
21,,로보카 폴리,,,,,['TV'],26,Finished Airing,"Feb 28, 2011 to Jul 12, 2011",['Winter 2011'],Not scheduled once per week,['RoiVisual'],"None found,","None found,",Original,,,11 min. per ep.,PG - Children,5.40,#12430,#15721,668,0,269,"In Brooms Town, every vehicle has a voice and a personality, and they work together with the human residents in a peaceful harmony. The residents are happy and carefree, but once in a while trouble rears its head. Brooms Town can rest easy, though, for at any sign of danger, the Rescue Team is there. Poli the police car, Roy the fire truck, and Amber the ambulance are joined by their friends as they patrol the streets of Brooms Town and help out its citizens. Robocar Poli is aimed at small children, and has a charming cast of characters composed of rescue vehicles that can transform into humanoid robots. Aimed at teaching children about safety rules, every episode has a moral to be learned. Poli and his friends are here to teach everything from road safety to the value of friendship and teamwork.","['Sequel (TV) Robocar Poli 2', '']",Robocar Poli,['Kids'],['Racing'],['Comedy'],
22,"Chi-Sui Maru 2, Chi-Sui Maru Second Season",ちーすい丸,,,,,['TV'],34,Finished Airing,"Jan 15, 2011 to Sep 24, 2011",['Winter 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,5 min. per ep.,G - All Ages,[],#17266,#17870,430,0,,"The battle continues between Chi-Sui Maru, a mosquito, and Nobuo, a common office worker.","['Prequel (TV) Chi-Sui Maru', '']",Chi-Sui Maru 2nd Season,,,['Comedy'],
23,,깨미,Kemy,,,,['TV'],52,Finished Airing,"Feb 28, 2011 to Aug 23, 2011",['Winter 2011'],Wednesdays at 09:40 (JST),"None found,","None found,","None found,",Original,,,11 min. per ep.,G - All Ages,[],#19373,#20488,259,0,,"Kemy is an animation series with some educational undertones targeting 5~7-year-old kids. The entire series is set against the backdrop of a supermarket. Viewing the animations, children will be able to imagine themselves in amidst all a supermarket has to offer. Children can join Kemy and his quest to figure out the answers to everyday questions. Buka and Chaka do not reprise their roles in this season. (Source: korean-products.com)","['Sequel (TV) Kemy Tamheomdae', '']",Kemy,['Kids'],,,
24,,缤纷宝宝,,,,,['TV'],200,Finished Airing,Jan 2011 to Feb 2012,['Winter 2011'],Unknown,"None found,","None found,","None found,",Original,,,7 min. per ep.,PG - Children,[],#16962,#22097,171,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Binfen Baobao,['Kids'],,['Adventure'],
25,,嗷嗷龙,,,,,['TV'],52,Finished Airing,Dec 2010 to Jun 2011,['Winter 2011'],Unknown,"None found,","None found,","None found,",Original,,,8 min. per ep.,PG - Children,[],#16604,#23230,129,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ao Ao Long,['Kids'],['Anthropomorphic'],['Fantasy'],
26,,守卫蚂蚁村,,,,,['TV'],59,Finished Airing,"Mar 9, 2011 to Mar 21, 2011",['Winter 2011'],Unknown,"None found,","None found,","None found,",Original,,,7 min. per ep.,PG - Children,[],#14336,#24110,110,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shouwei Mayi Cun,['Kids'],['Anthropomorphic'],['Fantasy'],
