,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Theme,Genre,Demographics
10,,風夏,Fuuka,,,,['TV'],12,Finished Airing,"Jan 6, 2017 to Mar 24, 2017",['Winter 2017'],Fridays at 22:00 (JST),"['Studio Tulip', 'Magic Capsule', 'Warner Bros. Japan', 'flying DOG']","['Funimation', 'Crunchyroll']",['Diomedéa'],['Manga'],"['Drama', 'Romance', 'Ecchi']","['Love Polygon', 'Music', 'School']",24 min. per ep.,R+ - Mild Nudity,6.51,#6992,#850,"307,680",910,152282,"The story follows the life of Yuu Haruna, who recently moved into Tokyo with his sisters after their father is forced to transfer overseas on work. On his way to buy dinner while looking at his Twitter account, a high school girl suddenly crashes into him. Thinking he was taking upskirt pictures of her, the girl takes Yuu's phone, breaks it, and slaps him before leaving Yuu lying on the ground. As it turns out, this girl—Fuuka Akitsuki—also goes to the school Yuu is transferring to. Unlike most people, Fuuka doesn't own a cellphone; she even listens to music using a CD player. Eventually these two become closer, and decide to form a band with their friends and enter the professional world of music. With Fuuka around, what will now become of Yuu's new life in Tokyo? [Written by MAL Rewrite]","['Prequel (TV) Suzuka', 'Adaptation (Manga) Fuuka']",Fuuka,['Shounen'],,,
11,,セイレン,Seiren,,,,['TV'],12,Finished Airing,"Jan 6, 2017 to Mar 24, 2017",['Winter 2017'],Fridays at 02:28 (JST),"['Pony Canyon', 'TBS', 'DAX Production', 'Pony Canyon Enterprises', 'Stardust Promotion', 'GYAO!']","None found,","['Studio Gokumi', 'AXsiZ']",Original,,"['Harem', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,6.28,#8387,#1039,"248,411",473,92269,"For high school students like Shouichi Kamita, university entrance exams and the future are common concerns. It is also during this time in life that a mysterious emotion that vexes people of all ages may begin to weigh upon one's mind—love. At this point in his teenage years, Shouichi finds three girls he could see himself having a future with: the ever-cheerful Hikari Tsuneki, who teases Shouichi without mercy, but actually has a softer side; the competitive gamer, Tooru Miyamae, who has difficulty communicating with others; and Shouichi's childhood friend, Kyouko Touno, the sometimes immature shoujo manga enthusiast. Seiren follows Shouichi's relationships with these three girls across three separate arcs, as their feelings grow from mutual interest and blossom into something more beautiful. [Written by MAL Rewrite]","['Prequel (TV) Amagami SS+ Plus', '']",Seiren,,,['Romance'],
12,"Shouwa Genroku Rakugo Shinjuu 2nd Season, Showa and Genroku Era Lover's Suicide Through Rakugo 2nd Season",昭和元禄落語心中～助六再び篇～,Descending Stories: Showa Genroku Rakugo Shinju,,,Le Rakugo ou la Vie 2,['TV'],12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",['Winter 2017'],Saturdays at 02:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'DAX Production', 'King Records']","None found,",['Studio Deen'],['Manga'],,"['Adult Cast', 'Historical', 'Love Polygon', 'Performing Arts']",24 min. per ep.,PG-13 - Teens 13 or older,8.70,#63,#1324,"193,112","3,204",67340,"Even after having risen to the utmost rank of shin'uchi, Yotarou struggles to find his own identity in the world of rakugo. Caught between his master's teachings and the late Sukeroku's unique style, his performance lacks an important ingredient—ego. And while his popularity packs the theaters, he is but one of the few; rakugo is under threat of being eclipsed. Meanwhile Yakumo, regarded by many as the last bastion of preserving the popularity of rakugo, struggles to cope with his elderly state. Even though his performances are still stellar, he fears that he is nearing his limits. His doubts grow stronger as an old friend creeps ever closer. Konatsu, for her part, attempts to raise her son as a single mother, which Yotarou is heavily opposed to. Instead, he seeks to persuade her to marry him and in turn raise her son as his own. In Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen, the curtains fall on Yotarou and Yakumo's story, tasked with restoring the near-obsolete art form as well as overcoming their internal conflicts. [Written by MAL Rewrite]","['Prequel (TV) Shouwa Genroku Rakugo Shinjuu', 'Adaptation (Manga) Shouwa Genroku Rakugo Shinjuu']",Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,['Josei'],,['Drama'],
13,"ACCA: 13th Territory Inspection Department, ACCA: 13th Ward Observation Department, ACCA Jusanku Kansatsuka",ACCA 13区監察課,ACCA: 13-Territory Inspection Dept.,ACCA: 13-Territory Inspection Dept.,ACCA: 13- Territory Inspection Dept.,ACCA: 13-Territory Inspection Dept.,['TV'],12,Finished Airing,"Jan 10, 2017 to Mar 28, 2017",['Winter 2017'],Tuesdays at 23:00 (JST),"['Bandai Visual', 'Square Enix', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Medicos Entertainment', 'BS11', 'Sony PCL', 'Contents Seed']",['Funimation'],['Madhouse'],['Manga'],"['Drama', 'Mystery']","['Adult Cast', 'Detective']",24 min. per ep.,PG-13 - Teens 13 or older,7.66,#1393,#1479,"171,040","1,625",72232,"ACCA—a national body of the kingdom of Dowa that provides public services to the citizens of the country—was established as part of the peace settlement between the king of Dowa and the 13 states of the country during a revolt. One hundred years later, Dowa is in a period of unprecedented peace, due in part to the ACCA system. However, rumors of a coup d'état start to surface. Jean Otus, the second-in-command of the inspection department of ACCA, is charged with inspecting all 13 state branches. What will he discover as he performs his audit? Intriguing and mysterious, ACCA: 13-ku Kansatsu-ka is a politically-themed mystery that reveals a world of diverse cultures and lifestyles, with intricate connections between its characters, as the truth of the coup d'état slowly unfolds. [Written by MAL Rewrite]","['Sequel (OVA) ACCA: 13-ku Kansatsu-ka - Regards', 'Adaptation (Manga) ACCA: 13-ku Kansatsu-ka']",ACCA: 13-ku Kansatsu-ka,['Seinen'],,,
14,Tales of Zestiria The X Second Season,テイルズ オブ ゼスティリア ザ クロス 第2期,Tales of Zestiria the X Season 2,Tales of Zestiria the X Staffel 2,Tales of Zestiria the X Temporada 2,Tales of Zestiria the X Saison 2,['TV'],13,Finished Airing,"Jan 8, 2017 to Apr 29, 2017",['Winter 2017'],Sundays at 23:00 (JST),"['Bandai Visual', 'Lantis', 'Bandai Namco Entertainment', 'Anime Consortium Japan']",['Funimation'],['ufotable'],Game,"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.30,#2831,#1524,"165,853",213,79111,The second season of Tales of Zestiria the Cross.,"['Prequel (TV) Tales of Zestiria the Cross', '']",Tales of Zestiria the Cross 2nd Season,,,,
15,,AKIBA'S TRIP THE ANIMATION,Akiba's Trip The Animation,,Akiba's Trip the Animation,,['TV'],13,Finished Airing,"Jan 4, 2017 to Mar 29, 2017",['Winter 2017'],Wednesdays at 22:30 (JST),"['AT-X', 'DLE', 'Studio Mausu', 'BS Fuji', 'Tokyo MX', 'Evil Line Records', 'Docomo Anime Store', 'bilibili', 'DMM.com', 'Sotsu Music Publishing', 'Exa International']",['Funimation'],['Gonzo'],Game,"['Action', 'Comedy', 'Fantasy', 'Ecchi']","['Otaku Culture', 'Parody', 'Urban Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,6.49,#7147,#1599,"155,975",308,63420,"Otaku siblings Tamotsu and Niwaka Denkigai are shopping in Akihabara when it is overrun by vampiric cosplaying monsters! These creatures, known as ""Bugged Ones,"" can possess anyone they bite and soon they begin causing mayhem across the city. As Tamotsu finds himself at the mercy of one of these creatures, he is rescued by the mysterious baseball bat-wielding Matome Mayonaka. Together, they fight through several more encounters with the Bugged Ones, but before long, Tamotsu is fatally wounded protecting Matome. With no other choice, she revives him as a high level Bugged One—just like her! Tamotsu and Matome, along with excitable otaku cosplayer Arisa Ahokainen, make up the group ""The Electric Mayonnaise"" and they begin dispatching the Bugged Ones in the only way they know how: by ripping off their clothes and exposing them to sunlight! [Written by MAL Rewrite]",[],Akiba's Trip The Animation,,,,
16,Chaos Child,CHAOS;CHILD,ChäoS;Child,,,,['TV'],12,Finished Airing,"Jan 11, 2017 to Mar 29, 2017",['Winter 2017'],Wednesdays at 23:30 (JST),"['AT-X', 'MAGES.', 'Glovision', '5pb.', 'Kadokawa']","['Funimation', 'Crunchyroll']",['SILVER LINK.'],Visual novel,"['Mystery', 'Sci-Fi', 'Supernatural', 'Suspense']","['Gore', 'Psychological']",23 min. per ep.,R - 17+ (violence & profanity),6.30,#8246,#1759,"136,852",225,44450,"A series of gruesome murders dubbed ""New Generation Madness"" once induced mass hysteria in Shibuya. At its peak during a frenzied riot, a sudden earthquake reduced the district into nothing but rubble, while leaving surrounding wards strangely intact. Six years later, in a newly rebuilt Shibuya, mysterious deaths begin to crop up again. It is not long before third-year student Takuru Miyashiro realizes a connection: the dates of the recent murders match those of the New Generation Madness incidents. He, along with several members of his school's newspaper club, decide to delve deeper into the mystery, only to find themselves stranded in the middle of a new crime scene themselves... [Written by MAL Rewrite]","['Prequel (TV) ChäoS;HEAd', 'Prequel (Special) ChäoS;Child Episode 0', 'Sequel (Movie) ChäoS;Child: Silent Sky', 'Adaptation (Manga) ChäoS;Child']",ChäoS;Child,,,,
17,,うらら迷路帖,Urara Meirocho,,,,['TV'],12,Finished Airing,"Jan 6, 2017 to Mar 24, 2017",['Winter 2017'],Fridays at 01:58 (JST),"['TBS', 'Magic Capsule', 'Houbunsha', 'NBCUniversal Entertainment Japan', 'Nichion']",['Sentai Filmworks'],['J.C.Staff'],['4-koma manga'],"['Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.11,#3878,#1792,"134,396",416,42922,"Labyrinth Town is a legendary city composed of ten districts, home to witches and diviners alike. In the outermost district of this maze, many young girls begin training to join the ranks of the ""Urara,"" a group of women known far and wide for their ability to divine the answers to the world's most difficult questions. Chiya, a wild girl raised amongst the animals in the mountains, is invited to take her rightful place as a first rank urara. By joining them, she hopes to divine the location of her long-lost mother. Chiya quickly makes three friends: studious Kon Tatsumi, aspiring witch Koume Yukimi, and reticent Nono Natsume. Armed with only their own ingenuity and a vague connection to the gods, they begin their journey in the way of the urara. [Written by MAL Rewrite]","['Adaptation (Manga) Urara Meirochou', '']",Urara Meirochou,['Seinen'],['CGDCT'],,
18,,One Room (ワンルーム),One Room,,,,['TV'],12,Finished Airing,"Jan 11, 2017 to Mar 29, 2017",['Winter 2017'],Wednesdays at 22:40 (JST),['SMIRAL Animation'],"None found,",['Typhoon Graphics'],Original,,,4 min. per ep.,PG-13 - Teens 13 or older,5.56,#11929,#1817,"131,999",165,50404,"Having just moved into a new apartment building, Yui Hanasaka makes a customary visit to greet her neighbor. When she learns that he is an upperclassman at the university she aspires to attend, she asks for his help to pass her entrance exams. Meanwhile, Natsuki Momohara decides to visit her older brother, who lives alone in an apartment in Tokyo. Elsewhere, aspiring singer Moka Aoshima reunites with her childhood friend, who is a hopeful novelist. Three stories, although seemingly unrelated, contain the same essence: strings of fate will bind together those who share the same destiny, and one needs to look no further than a single apartment room. [Written by MAL Rewrite]","['Sequel (TV) One Room: Second Season', '']",One Room,,,['Slice of Life'],
19,,チェインクロニクル～ヘクセイタスの閃〈ひかり〉～,Chain Chronicle: The Light of Haecceitas,Chain Chronicle: The Light of Haecceitas,Chain Chronicle: The Light of Haecceitas,Chain Chronicle: The Light of Haecceitas,['TV'],12,Finished Airing,"Jan 8, 2017 to Mar 26, 2017",['Winter 2017'],Sundays at 02:29 (JST),"['Bandai Visual', 'Sotsu', 'Sega', 'flying DOG', 'Slow Curve', 'Showgate', 'Sound Team Don Juan', 'Hakuhodo DY Music & Pictures', 'Sammy', 'Pazzy Entertainment', 'Akatsuki']",['Funimation'],"['Telecom Animation Film', 'Graphinica']",Game,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.54,#6808,#1820,"131,292",204,43326,"Set in the land of Yuguto, the people thought that the land they live is the size of the world, but it's actually divided into several areas, each with a respective king. Even though there were small wars among areas, the kings had roundtable meetings to maintain peace and balance. It was until a dark group of dark monsters appeared... (Source: MAL News)","['Prequel (OVA) Chain Chronicle: Short Animation', '']",Chain Chronicle: Haecceitas no Hikari,,,,
20,Rewrite: Moon-hen / Terra-hen,Rewrite 2ndシーズン,Rewrite: Moon and Terra,,,,['TV'],11,Finished Airing,"Jan 14, 2017 to Mar 25, 2017",['Winter 2017'],Saturdays at 23:30 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Movic', 'Visual Arts', 'Magic Capsule', 'ASCII Media Works', 'Bushiroad', 'Tokyo MX', 'BS11', 'Lawson']","None found,",['8bit'],Visual novel,"['Action', 'Comedy', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3535,#1977,"118,085",429,53274,The second season of the Rewrite series which adapts Moon and Terra routes.,"['Prequel (TV) Rewrite', '']",Rewrite 2nd Season,,,,
