,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Theme,Demographics
31,擾乱 THE PRINCESS OF SNOW AND BLOOD,Joran The Princess of Snow and Blood,['TV'],12,Finished Airing,"Apr 7, 2021 to Jun 23, 2021",['Spring 2021'],Wednesdays at 01:29 (JST),"['Dentsu', 'Tatsunoko Production', 'Bushiroad', 'Nippon Television Network', 'Bushiroad Music', 'Sonilude', 'HJ Holdings', 'Bushiroad Move']","None found,",['Bakken Record'],Original,"['Action', 'Supernatural']",,,22 min. per ep.,R - 17+ (violence & profanity),6.11,#9346,#2234,"98,836",382,30434,"In 1931, the Tokugawa Shogunate remains in power, marking the 64th year of the Meiji era. Holding a monopoly over the newly discovered ""Dragon Vein,"" the government is leading Japan toward an advanced Edo period. During this time, an elite force of executioners called ""Nue"" is tasked with defending the Shogunate from a rebel institution known as the ""Kuchinawa."" As the owner of the Tsuyukasa Bookshop, Sawa Yukimura runs the store's day-to-day business inconspicuously. But behind the scenes, she seeks vengeance against the man who slaughtered her tribe and family. With a special ability to transform granted by her blue blood, Sawa joins Nue after being promised information regarding the target of her revenge: Janome, the leader of the Kuchinawa. [Written by MAL Rewrite]",[],Jouran: The Princess of Snow and Blood,,,,,,['Historical'],
32,すばらしきこのせかい The Animation,The World Ends with You The Animation,['TV'],12,Finished Airing,"Apr 10, 2021 to Jun 26, 2021",['Spring 2021'],Saturdays at 02:25 (JST),"['Dentsu', 'Square Enix', 'Mainichi Broadcasting System']",['Funimation'],"['Shin-Ei Animation', 'domerica']",Game,"['Action', 'Adventure']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.14,#9142,#2657,"74,677",329,23241,"One day in the bustling city of Shibuya, a boy named Neku Sakuraba finds himself holding two black pins that enable him to read the minds of people around him. However, these pins also give him the ability to see the ""Noise,"" hostile creatures capable of ""erasing"" people from existence. After discovering that he is trapped within the confines of the city, Neku receives a message regarding a mission that will nevertheless erase him should he fail. While trying to fend off a Noise attack, Neku meets a girl named Shiki Misaki who asks him to form a partnership pact with her to fight against the monsters. Shiki explains that she and Neku have become ""Players"" participating in the ""Reaper's Game""—an event spanning over seven days, each featuring a different mission. As Neku and Shiki both strive to survive each day that passes, they begin to meet other Players and Reapers alike, battle stronger Noise, and learn the truth behind the mystery that this game is shrouded in. [Written by MAL Rewrite]","['Adaptation (Manga) Subarashiki Kono Sekai', '']",Subarashiki Kono Sekai The Animation,"It's a Wonderful World, This Wonderful World, Subarashiki Konosekai, Subaseka, TWEWY",The World Ends with You The Animation,,The World Ends with You The Animation,,,
33,ゴジラ S.P ＜シンギュラポイント＞,Godzilla Singular Point,['TV'],13,Finished Airing,"Apr 1, 2021 to Jun 24, 2021",['Spring 2021'],Thursdays at 22:30 (JST),"['TOHO animation', 'Toho Music']","None found,","['Bones', 'Orange']",Original,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.65,#6195,#2738,"71,464",389,30640,"When Yun Arikawa and his partner, Haberu Katou, investigate a house rumored to be haunted, the last thing they expect is to stumble into a mystery that will soon envelop the entire planet. While measuring strange radio signals, they receive a call from Mei Kamino, a graduate student investigating the same signal and using the equipment their company previously installed. After an odd night, Yun returns to work at Ootaki Factory, a tech company that actually exists to produce Jet Jaguar—a robot that conspiracy theorist Gorou Ootaki has dreamed of creating. However, when flying dinosaur-like creatures known as Rodan are attracted to the strange radio signals, Jet Jaguar seems to be the only force capable of fighting them. As Yun and Mei investigate the Rodans' sudden appearance, more dangerous monsters begin to surface from the ocean—along with enigmatic red dust. [Written by MAL Rewrite]",[],Godzilla: S.P,,,Godzilla Singular Point,,,['Mecha'],
34,ドラゴン、家を買う。,Dragon Goes House-Hunting,['TV'],12,Finished Airing,"Apr 4, 2021 to Jun 20, 2021",['Spring 2021'],Sundays at 22:00 (JST),"['Pony Canyon', 'Studio Mausu']",['Funimation'],['Signal.MD'],['Manga'],"['Comedy', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.42,#7575,#2846,"66,512",208,24057,"In an RPG fantasy world, a red dragon named Letty is disowned by his parents after failing to guard their eggs. Now he has to find a place of his own, but unlike other dragons, Letty is meek, cowardly, and has overall low stats. Regardless, a defenseless young dragon makes for an easy target for those who only see him as a beast to be feared, vanquished, and even devoured. After some time searching for somewhere to call ""home,"" he encounters the elf Dearia, who saves him from a band of heroes. Both an architect and a real estate agent, Dearia offers to help Letty find the perfect abode that suits his needs. Thus ensues Letty's house-hunting quest, as well as all the fantastical creatures and formidable enemies he meets along the way! [Written by MAL Rewrite]","['Adaptation (Manga) Dragon, Ie wo Kau.', '']","Dragon, Ie wo Kau.","Dragon's House-Hunting, DoraIe",Ein Drache auf Wohnungsjagd,,Jeune Dragon Recherche Appartement ou Donjon,,,
35,セブンナイツ レボリューション -英雄の継承者-,Seven Knights Revolution: Hero Successor,['TV'],12,Finished Airing,"Apr 5, 2021 to Jun 21, 2021",['Spring 2021'],Mondays at 00:00 (JST),"['Rakuonsha', 'TOHO animation']","None found,","['LIDENFILMS', 'domerica']",Game,"['Action', 'Adventure', 'Fantasy']",,,23 min. per ep.,R - 17+ (violence & profanity),6.30,#8299,#2993,"60,811",184,23847,"Seven Knights Revolution: Eiyuu no Keishousha is set in a world where eons ago valiant heroes fought against the forces of ""Destruction."" While their deeds passed into legend, the power of these heroes was later inherited by ""successors"" who fought to protect the world. One day, Faria, a successor of the Seven Knights, saves an ordinary boy named Nemo from the forces of Destruction. During the ensuing battle, Nemo summons the power of a hero and becomes a successor as well. However, Nemo's hero is a stranger that is unknown to history, and so an epic journey where the past and present collide begins. (Source: Crunchyroll, edited)",[],Seven Knights Revolution: Eiyuu no Keishousha,,Seven Knights Revolution: Hero Successor,Seven Knights Revolution: Hero Successor,Seven Knights Revolution: Hero Successor,,,
36,やくならマグカップも,Let's Make a Mug Too,['TV'],12,Finished Airing,"Apr 3, 2021 to Jun 21, 2021",['Spring 2021'],Saturdays at 00:55 (JST),"['CBC Television', 'Planet', 'Half H.P Studio', 'Nippon Columbia', '81 Produce', 'Tokyo MX', 'BS11', 'Maho Film', 'Zipang']","None found,",['Nippon Animation'],['Manga'],,"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",,14 min. per ep.,PG-13 - Teens 13 or older,6.54,#6862,#3355,"48,817",135,16052,"The city of Tajimi is well-renowned for its Mino ware ceramics and being the hometown of Himeno Toyokawa's mother. Considered a legend in the world of pottery, Himeno's mother suddenly passed away when Himeno was four. However, her legacy lives on in the dozens of unique mugs that adorn the Toyokawas' new restaurant in Tajimi. Having moved back to the city recently following the bankruptcy of her father's company in Tokyo, Himeno brings some of her mother's mugs to her first day of high school in an attempt to make friends. One person who immediately takes an interest is Mika Kukuri, an eccentric girl in Himeno's class who soon introduces her to Tooko Aoki, the president of the Pottery Club. After learning more about her mother's contributions to the club and the art form, Himeno asks her father for permission to join, which he gladly gives. Alongside Mika and her childhood friend Naoko Naruse, Himeno enters the Pottery Club to continue her mother's beloved work and discover her own passion for the craft. [Written by MAL Rewrite]","['Sequel (TV) Yaku nara Mug Cup mo: Niban Gama', '']",Yaku nara Mug Cup mo,Yakumo,Let’s Make a Mug Too,Let's Make a Mug Too,Let's Make a Mug Too,['Slice of Life'],,
37,さよなら私のクラマー,"Farewell, My Dear Cramer",['TV'],13,Finished Airing,"Apr 4, 2021 to Jun 27, 2021",['Spring 2021'],Sundays at 23:30 (JST),"['Kodansha', ""Toy's Factory"", 'DMM pictures']","None found,",['LIDENFILMS'],['Manga'],"['Drama', 'Sports']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.10,#9396,#3558,"44,272",134,16036,"Over the years, the reputation of women's soccer in Japan has been gradually waning. Despite this rather bleak scenario, there are still some schools with teams trying to keep the sport alive. With that, glimmers of hope are starting to appear. Having played for the boys' soccer club when she was in middle school, Nozomi Onda's skills are nothing less than prodigious. Because of this, she thinks that playing soccer with fellow girls would only drag her down. She is only motivated to play her best when facing those she deems worthy opponents. Meanwhile, Sumire Suou is a promising rookie with exceptional talent—a talent hindered by a team that cannot keep up with her abilities. Onda, convinced by her former coach to join a girls' soccer club, and Suou, accompanied by her close friend and rival Midori Soshizaki, cross paths as members of the Warabi Seinan High School's girls' soccer team. In this new field, both girls begin to display their full potential and skills. Along with their teammates, each of their steps, kicks, and goals will grant them victory—and perhaps also ensure that the sport begins its journey back into the spotlight. [Written by MAL Rewrite]","['Prequel (Movie) Sayonara Watashi no Cramer Movie: First Touch', 'Adaptation (Manga) Sayonara Watashi no Cramer']",Sayonara Watashi no Cramer,"Good-bye, Cramer","Farewell, My Dear Cramer","Farewell, My Dear Cramer","Farewell, My Dear Cramer",,['Team Sports'],
38,BLUE REFLECTION RAY/澪,Blue Reflection Ray,['TV'],24,Finished Airing,"Apr 10, 2021 to Sep 25, 2021",['Spring 2021'],Saturdays at 01:55 (JST),"['Mainichi Broadcasting System', 'Magic Capsule', 'DMM pictures']",['Funimation'],['J.C.Staff'],Game,,"['Mahou Shoujo', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,5.86,#10643,#4199,"31,514",106,7152,"Individual pieces of human emotion usually take form as flowers known as ""Fragments."" The select few who possess strong enough Fragments can become ""Reflectors,"" beings who equip specialized rings that allow them to connect their thoughts, memories, and emotions to those whose feelings waver. There are two types of Reflectors—those who wear blue rings to protect those falling into depravity by preserving their Fragments, and those who wear red rings to prevent negative emotions by stealing the Fragments of those who begin to develop severe woe. Despite wanting to socialize with people around her, transfer student Ruka Hanari's shy and introverted personality always gets in her way. In a chance encounter, however, she bumps into a woman who happens to drop a blue ring as she hurries away. Unable to return it, Ruka brings it back with her to her dorm. There, she meets the outgoing Hiori Hirahara, who also has a blue ring. They find themselves in several conflicts against red Reflectors, slowly realizing the true power of the rings that they hold. Now striving to become Reflectors themselves, Ruka and Hiori must learn to work together and become stronger so that they can save not only the people around them, but also themselves from the emotions that hold them back. [Written by MAL Rewrite]",[],Blue Reflection Ray,,,,,['Fantasy'],,
39,Fairy蘭丸~あなたの心お助けします~,,['TV'],12,Finished Airing,"Apr 8, 2021 to Jun 24, 2021",['Spring 2021'],Thursdays at 23:00 (JST),['Pony Canyon'],"None found,",['Studio Comet'],Original,"['Action', 'Fantasy', 'Slice of Life']",,,23 min. per ep.,PG-13 - Teens 13 or older,5.91,#10384,#4575,"26,467",166,6137,"In a world where negative emotions fester, five fairies from the strongest clans are sent to Earth to collect ""attachment"" in order to sustain their world. The fairies establish Bar F and live their lives as normal high school boys and a barkeep in order to protect their true identities and fulfill their mission. The boys encounter various female clientele at Bar F, each hiding dark feelings within their hearts, and the boys offer to help them overcome their troubles. The only thing they ask for in return is the client's permission to steal their heart. As the boys investigate the cause of each client's distress, they come across an individual who wishes to sow chaos and sin. With their quest on the line, the fairies of Bar F must unmask this individual's identity and put a stop to their plans, all while holding true to themselves. [Written by MAL Rewrite]",[],Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,,Fairy Ranmaru,Fairy Ranmaru,Fairy Ranmaru,,,
40,セスタス-The Roman Fighter-,,['TV'],11,Finished Airing,"Apr 15, 2021 to Jun 24, 2021",['Spring 2021'],Thursdays at 00:55 (JST),"['Hakusensha', 'Fuji TV', 'Bandai', 'Bandai Namco Live Creative', 'BS Fuji', 'Hakuhodo DY Media Partners', 'Bandai Spirits']","None found,",['Bandai Namco Pictures'],['Manga'],"['Action', 'Drama']",,['Seinen'],22 min. per ep.,PG-13 - Teens 13 or older,5.95,#10192,#5003,"21,341",86,8030,"In the year 54 AD, 15-year-old slave fighter Cestvs desires one thing—an escape from his violent life. It is the wish Cestvs' owner has promised to grant him, but only after he wins 100 battles. However, Cestvs quickly comes to terms with the fact that, as a slave, his life is expendable. After the death of his friend, the possibility of freedom is the only thing keeping him going. With a burning ambition to attain it, Cestvs embarks on a journey to earn himself back, even if it means fighting other slaves for the entertainment of the public. [Written by MAL Rewrite]","['Adaptation (Manga) Kentou Ankokuden Cestvs', 'Adaptation (Manga) Kendo Shitouden Cestvs']",Cestvs: The Roman Fighter,"Kentou Ankokuden Cestv, Cestus: The Legend of Boxing in the Dark Ages",,,,,['Historical'],
41,カードファイト!! ヴァンガード overDress,,['TV'],12,Finished Airing,"Apr 3, 2021 to Jun 26, 2021",['Spring 2021'],Saturdays at 08:00 (JST),['Bushiroad'],['Sentai Filmworks'],"['Kinema Citrus', 'GIFTanimation', 'Studio Jemi']",Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,5.97,#10045,#5483,"16,849",68,5606,"Shy and timid in nature, 15-year-old Yu-yu Kondou is constantly pressured by his wacky sisters to fulfill their unreasonable requests. One day, they force their brother to crossdress for the sake of their own entertainment, prompting him to run away from home. Following a series of unexpected events, Yu-yu encounters Megumi Ookura, a friendly girl who introduces him to Team Blackout—a group of individuals deeply involved in a card game called Cardfight Vanguard. As he increasingly connects with the members of Team Blackout—Danji Momoyama, Zakusa Ishigame, Tomari Seto, and Megumi herself—Yu-yu discovers a whole new and exciting world, one he could have never imagined without the help of his newfound friends. [Written by MAL Rewrite]","['Sequel (TV) Cardfight!! Vanguard: overDress Season 2', '']",Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: Over Dress,,,,['Comedy'],['Strategy Game'],
42,バトルアスリーテス 大運動会ReSTART!,Battle Athletes Victory ReSTART!,['TV'],12,Finished Airing,"Apr 11, 2021 to Jun 27, 2021",['Spring 2021'],Sundays at 01:30 (JST),"['TV Asahi', 'Nippon Columbia', 'KlockWorx', 'BS Fuji', 'Wolfsbane', 'SUPA LOVE', 'Starry Cube', 'TV Asahi Music', 'tamakoshi', 'CTW', 'FUTURE LEAP', 'AIC RIGHTS']",['Funimation'],['Seven'],Original,"['Adventure', 'Comedy', 'Sci-Fi', 'Sports']",,,23 min. per ep.,PG-13 - Teens 13 or older,5.11,#13078,#7115,"8,834",13,2796,"As technology advanced, humanity gradually colonized the entire solar system, occupying planetary facilities from Mercury to Pluto. This results in a large-scale athletic tournament, the ""Daiundoukai,"" where several aspiring female athletes from all around the solar system compete. The winner of the tournament is crowned the ""Cosmo Beauty,"" obtaining a queenlike status. When outgoing potato farmer Kanata Akehoshi was a child, she witnessed a meteor-like object falling from the sky, crashing in a nearby forest. When she came to investigate the wreckage, she saw a damaged spaceship and a girl who seemed to have been in it weakened by the impact. The girl gave Kanata two wristbands, alongside a request that Kanata join the Daiundoukai and become the Cosmo Beauty. Kanata obliged, but before she could ask for the girl's name, she mysteriously disappeared—leaving nothing,not even the crater caused by the crash. Since then, Kanata has devoted herself to training, aiming to fulfill her promise. After winning the qualifying round to represent the planet Earth, Kanata goes to the University Satellite—an institution where she and other candidates study to prepare themselves for the upcoming competition. There, she meets and befriends her fellow competitors, helping them get along with each other to perform better in the games. As Kanata grows closer to the coveted title, so do her chances of meeting the girl who changed her fate—and she discovers an underlying mystery behind the Daiundoukai along the way. [Written by MAL Rewrite]",[],Battle Athletess Daiundoukai ReSTART!,,Battle Atheletes Victory ReSTART!,,Battle Atheletes Victory ReSTART!,,['School'],
43,いたずらぐまのグル～ミ～,GLOOMY The Naughty Grizzly,['TV'],12,Finished Airing,"Apr 12, 2021 to Jun 28, 2021",['Spring 2021'],Mondays at 23:57 (JST),"['Contents Seed', 'Mixer']","None found,",['NAZ'],Other,,,,1 min. per ep.,R - 17+ (violence & profanity),5.28,#12725,#7160,"8,660",44,4098,"Gloomy, an abandoned little bear, is rescued by Pitty (the little boy). At first, he is cute and cuddly, but becomes wilder as he grows up. Since bears do not become attached to people like dogs by nature, Gloomy attacks Pitty even though he is the owner. So Gloomy has blood on him from biting and/or scratching Pitty. (Source: Cube Works)",[],Itazuraguma no Gloomy,,,,,['Comedy'],['Gore'],
44,結城友奈は勇者である ちゅるっと！,Yuki Yuna is a Hero - Churutto!,['TV'],12,Finished Airing,"Apr 10, 2021 to Jun 26, 2021",['Spring 2021'],Saturdays at 01:50 (JST),['Mainichi Broadcasting System'],['Sentai Filmworks'],"['W-Toon Studio', 'DMM.futureworks']",Game,,,,1 min. per ep.,PG-13 - Teens 13 or older,6.04,#9729,#7557,"7,527",22,1600,"Set in year 300 of the Era of the Gods, heroes and shrine maidens were summoned after a crisis befell on the sacred tree. The Sanshu Middle School Hero Club was transformed into a bountiful household with 27 of them gathered together. Headed by someone who has a strong sense of companionship, Fu Inubozaki, she is determined to make it an Udon Hero Club! (Source: MAL News)",[],Yuuki Yuuna wa Yuusha de Aru Churutto!,,,,,['Comedy'],['Mahou Shoujo'],
45,妖怪ウォッチ♪,,['TV'],98,Finished Airing,"Apr 9, 2021 to Mar 31, 2023",['Spring 2021'],Fridays at 18:25 (JST),"None found,","None found,",['OLM'],Game,"['Comedy', 'Supernatural']",,['Kids'],24 min. per ep.,G - All Ages,6.47,#7255,#10755,"2,816",28,767,"The new show will feature unique and returning Yo-kai. The comedy will also center on the original series' main characters: fifth-grader Keita (Nate in the English version), ghost butler Whisper, and popular Yo-kai like Jibanyan and Komasan. The original cast members for these four characters are returning for this new series. (Source: ANN)","['Prequel (TV) Youkai Watch!', '']",Youkai Watch ♪,,,,,,['Mythology'],
46,ミュークルドリーミー みっくす！,,['TV'],50,Finished Airing,"Apr 11, 2021 to Mar 27, 2022",['Spring 2021'],Sundays at 10:30 (JST),['TV Tokyo'],"None found,",['J.C.Staff'],Other,"['Adventure', 'Fantasy']",,['Kids'],24 min. per ep.,G - All Ages,6.88,#4922,#10852,"2,726",15,734,Second season of Mewkledreamy.,"['Prequel (TV) Mewkledreamy', '']",Mewkledreamy Mix!,,,,,,,
47,しかるねこ,,['TV'],Unknown,Currently Airing,"Mar 22, 2021 to ?",['Spring 2021'],Unknown,"None found,","None found,","None found,",['Manga'],,,,30 sec.,G - All Ages,[],#14190,#11243,"2,433",17,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Shikaru Neko', '']",Shikaru Neko,,,,,['Slice of Life'],,
48,ダイナ荘びより,,['TV'],26,Finished Airing,"Apr 4, 2021 to Sep 26, 2021",['Spring 2021'],Sundays at 00:57 (JST),"['Aniplex', 'Sony Music Entertainment', 'Sony Creative Products']","None found,",['Fanworks'],Original,,,,1 min. per ep.,G - All Ages,5.97,#10048,#11636,"2,166",16,323,"The story follows the lives of three modern day dinosaurs as they share a room in the Dino-Shou (""Dino Manor"") apartment building complex. (Source: Crunchyroll)",[],Dinosaur Biyori,,,,,['Slice of Life'],,
49,マジカパーティ,,['TV'],51,Finished Airing,"Apr 4, 2021 to Mar 27, 2022",['Spring 2021'],Sundays at 09:30 (JST),"['Dentsu', 'TV Osaka']","None found,",['OLM'],Original,,,,24 min. per ep.,G - All Ages,5.89,#10482,#12205,"1,806",10,263,"The franchise's story centers on wizards who gather mazica in order to save the world. Junior high school student Kezuru wakes up after a strange dream featuring himself as a wizard, a creature called ""mazin,"" and a mysterious girl. The next day, his friend Kuracchi proudly shows off the newly launched Mazica Party card game. To Kezuru's shock, all the characters drawn in the game's cards are just like the ones in his dream. Meanwhile, Kezuru receives a notification for an event at the major international company Mazica. Intrigued, Kezuru goes to the Mazica Store as directed, only to meet the Mazica CEO himself, Jeff Johns. Johns says, ""I have great expectations for you,"" and hands Kezuru Mazica Gear. On his way back home, Kezuru is attacked by an airship-like creature. Just when he thinks, ""this is it!"" to himself, his Mazica Gear erupts and a magic book appears. When he scratches a card, he seals a contract with Barunya, a ""mazin"" creature that is an odd remixed fusion between an airship and a cat. The mysterious girl Anya says Kezuru and those of his ilk will be ""the true wizards who save the world."" Amid all these mysterious revelations, Kezuru enrolls in the Mazica Academy and engages in Mazica Party card battles alongside his partner mazin. (Source: ANN)",[],Mazica Party,,,,,['Fantasy'],['Strategy Game'],
50,新幹線変形ロボ シンカリオンZ THE ANIMATION,,['TV'],41,Finished Airing,"Apr 9, 2021 to Mar 18, 2022",['Spring 2021'],Fridays at 19:25 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions']","None found,",['OLM'],Other,"['Action', 'Sci-Fi']",,['Kids'],24 min. per ep.,PG - Children,6.50,#7051,#12402,"1,689",7,301,"In order to protect the peace and safety of Japan from the mysterious Giant Monstrous Beings, ""Shinkansen Transformable Robot Shinkalions"" were developed by the Shinkansen Ultra Evolution Institute. In preparation for the attack of new enemies, the Ultra Evolution Institute is developing a new type of robot called ""Shinkalion Z"" as well as new armed enhancement vehicles called ""Zailiners"" that transform from conventional trains to power up the ""Shinkalion Z"". The children who became the drivers of ""Shinkalion Z"" with a high Compatible rate will work together with the institute staff members to confront the giant monsters that reappeared The emergence of unknown enemies- And the encounter of two boys. (Source: Shinkalion Wiki)","['Prequel (TV) Shinkansen Henkei Robo Shinkalion The Animation', '']",Shinkansen Henkei Robo Shinkalion Z the Animation,,,,,,['Mecha'],
51,DUEL MASTERS キング!,,['TV'],43,Finished Airing,"Apr 4, 2021 to Mar 27, 2022",['Spring 2021'],Sundays at 08:30 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,","[""Brain's Base"", 'Shogakukan Music & Digital Entertainment']",Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,G - All Ages,[],#20448,#14269,996,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Duel Masters King', 'Sequel (TV) Duel Masters King Max']",Duel Masters King!,,,,,,,
52,宇宙なんちゃらこてつくん,Space Academy,['TV'],64,Finished Airing,"Apr 7, 2021 to Feb 23, 2023",['Spring 2021'],Thursdays at 18:40 (JST),"None found,","None found,",['Fanworks'],['Web manga'],"['Comedy', 'Sci-Fi']",,,9 min. per ep.,G - All Ages,[],#15090,#14754,873,3,,"It follows the daily life of Kotetsu-kun, who aspires to be an astronaut, and friends at the Animal Space Academy as they all pursue their dreams. (Source: ANN)",[],Uchuu Nanchara Kotetsu-kun,,,,,,['Space'],
53,もっと! まじめにふまじめ かいけつゾロリ 第2シリーズ,,['TV'],25,Finished Airing,"Apr 2, 2021 to Oct 22, 2021",['Spring 2021'],Fridays at 18:55 (JST),"None found,","None found,","['Ajia-do', 'Bandai Namco Pictures']",Book,"['Adventure', 'Comedy']",,['Kids'],24 min. per ep.,PG - Children,[],#17951,#15561,689,2,,Sequel to Motto! Majime ni Fumajime Kaiketsu Zorori,"['Prequel (TV) Motto! Majime ni Fumajime Kaiketsu Zorori', 'Sequel (TV) Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season']",Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,,,,,,,
54,どすこいすしずもう,Sushi Sumo,['TV'],52,Finished Airing,"Apr 3, 2021 to Mar 26, 2022",['Spring 2021'],Saturdays at 08:40 (JST),"None found,","None found,",['Shirogumi'],Other,"['Comedy', 'Gourmet', 'Sports']",,['Kids'],5 min. per ep.,G - All Ages,5.98,#10031,#15962,626,1,146,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dosukoi Sushi Zumou,Dosukoi Sushi Sumo,,,,,['Martial Arts'],
55,iiiあいすくりん,,['TV'],12,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",['Spring 2021'],Tuesdays at 07:30 (JST),"None found,","None found,","['Shin-Ei Animation', 'Toho Interactive Animation']",Original,,,['Kids'],2 min. per ep.,G - All Ages,5.96,#10124,#16389,570,2,135,"Icecrins are the sweetly peculiar inhabitants of Ice Cream Town. Every day is a fresh start, with each Icecrin bringing their own unique flavor wherever they go. They may lose their cool at times, but in the end, they always do their best to help their friends have a very 'ice day! [Written by MAL Rewrite]","['Sequel (TV) Iii Icecrin Double', '']",Iii Icecrin,,,,,,,
56,ハイパーボジティブよごれモン,,['TV'],12,Finished Airing,"Apr 18, 2021 to Jul 2, 2021",['Spring 2021'],Unknown,"['Fuji TV', 'Bandai']","None found,",['FIREBUG'],Original,,,,2 min. per ep.,G - All Ages,[],#21436,#16761,527,3,,"The story centers on Otarou, a creature themed around dirt known as a yogoremon. It and other yogoremon ask the meaning of words and explain negative terms in positive ways. (Source: ANN)",[],Hyper Positive Yogoremon,,,,,['Comedy'],,
57,歌うサッカーパンダ ミファンダ,,['TV'],12,Finished Airing,"Apr 2, 2021 to Sep 9, 2021",['Spring 2021'],Fridays at 03:00 (JST),"None found,","None found,","None found,",Other,,,,7 min. per ep.,G - All Ages,[],#15156,#16983,505,1,,Short anime based on Mifanda from MIFA (Music Interact Football for All).,[],Utau Soccer Panda Mifanda,,,,,['Slice of Life'],['Music'],
58,おしりたんてい,,['TV'],13,Finished Airing,"Apr 3, 2021 to Jun 26, 2021",['Spring 2021'],Saturdays at 09:00 (JST),"None found,","None found,",['Toei Animation'],Picture book,"['Comedy', 'Fantasy', 'Mystery']",,['Kids'],19 min. per ep.,PG - Children,[],#18400,#18112,410,6,,Fifth season of Oshiri Tantei.,"['Prequel (TV) Oshiri Tantei 4th Season', 'Sequel (TV) Oshiri Tantei 6th Season']",Oshiri Tantei 5th Season,Butt Detective,,,,,,
59,猫ジョッキー,,['TV'],4,Finished Airing,"May 6, 2021 to May 27, 2021",['Spring 2021'],Thursdays at 23:10 (JST),['Asahi Broadcasting'],"None found,",['DLE'],Original,,,['Kids'],2 min. per ep.,G - All Ages,[],#18121,#19396,318,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Neko Jockey 2nd Season', '']",Neko Jockey,,,,,['Comedy'],,
60,コロコロアニマルおとぎばなし,,['TV'],12,Finished Airing,"Apr 12, 2021 to Jul 5, 2021",['Spring 2021'],Unknown,"None found,","None found,",['Milky Cartoon'],Original,,,['Kids'],2 min. per ep.,G - All Ages,[],#20037,#20382,262,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],ColoColo Animal Otogibanashi,ColoColo Animal Folktale,,,,['Comedy'],,
61,마음의 소리 시즌 3,The Sound of Your Heart: Season 3,['TV'],22,Finished Airing,"May 5, 2021 to Sep 29, 2021",['Spring 2021'],Wednesdays at Unknown,"None found,","None found,","None found,",['Web manga'],"['Comedy', 'Slice of Life']",,,Unknown,PG-13 - Teens 13 or older,[],#17432,#20686,245,2,,Third Season of Ma-eum-uisoli.,"['Prequel (TV) Ma-eum-uisoli Season 2', 'Adaptation (Manhwa) The Sound of Your Heart']",Ma-eum-uisoli Season 3,,,,,,,
62,わしも-wasimo-,,['TV'],40,Finished Airing,"Mar 30, 2021 to Dec 7, 2021",['Spring 2021'],Not scheduled once per week,['NHK Enterprises'],"None found,",['Studio Deen'],Picture book,"['Comedy', 'Sci-Fi', 'Slice of Life']",,['Kids'],10 min. per ep.,G - All Ages,[],#15250,#20869,235,0,,Ninth season of the Washimo series.,"['Prequel (TV) Washimo 8th Season', '']",Washimo 9th Season,Wasimo 9,,,,,['School'],
63,출동! 슈퍼윙스5,Super Wings 5,['TV'],40,Finished Airing,"Mar 29, 2021 to Aug 4, 2021",['Spring 2021'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,PG - Children,[],#19993,#23111,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Chuldong! Super Wings 4', 'Sequel (TV) Chuldong! Super Wings 6']",Chuldong! Super Wings 5,,,,,['Adventure'],['Racing'],
