,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,German,Spanish,French,Genre,Demographics
139,,モンスターストライク,Monster Strike,['ONA'],51,Finished Airing,"Oct 10, 2015 to Dec 3, 2016",,,"['Ultra Super Pictures', 'XFLAG']","None found,",['Studio Hibari'],Game,"['Action', 'Fantasy']",,,8 min. per ep.,PG-13 - Teens 13 or older,6.39,#7750,#4636,"25,569",33,6482,"Ren Homura has just moved back to his hometown of Kaminohara, but he isn't able to remember much about the time he spent there other than vague flashbacks. When he retrieves his cell phone which he had sent to a shop for repairs, he finds that a mysterious game titled “Monster Strike” has been installed on it. Unaware of its purpose or how it got there, Ren decides to open it, an action that will change his life forever as he finds himself suddenly attacked by a strange man. Now trapped on the roof of his school which strangely has been designated as a ""stage,"" Ren is shocked to see the man summon a realistic monster from the game, one that is more than capable of inflicting damage on a human. His only chance of getting out of this situation alive is by summoning the dragon Oragon, who tells Ren that he will crush the opposing monster for him. Unfortunately, it turns out that Oragon is a tiny dragon that is completely useless! [Written by MAL Rewrite]","['Prequel (ONA) Monster Strike: Rain of Memories', 'Prequel (Movie) Monster Strike The Movie: Hajimari no Basho e', 'Sequel (ONA) Monster Strike: Zoku Saishuu-banashi - Pandora no Hako', '']",Monster Strike,['Video Game'],,,,,
140,A linchpin,カナメヲ,,['ONA'],1,Finished Airing,"Nov 4, 2015",,,"None found,","None found,","None found,",Original,"['Drama', 'Girls Love', 'Supernatural']",,,5 min.,PG-13 - Teens 13 or older,6.58,#6571,#5413,"17,486",52,8951,"After crashing her bike on her way back home from work, a young woman stumbles upon a vulnerable tree goddess whose shrine is being demolished by a construction project. Feeling compelled to help her, the woman invites the goddess into her home and cares for her. However, as their relationship blossoms, the ongoing construction soon complicates things between them, forcing them to face the resulting consequences. [Written by MAL Rewrite]",[],Kanamewo,,,,,,
141,"Hinabachi: BEE, Young Bee",雛蜂-B.E.E-,School Shock,['ONA'],6,Finished Airing,"Jul 23, 2015 to Dec 17, 2015",,,['Yaoqi'],"None found,",['Haoliners Animation League'],['Manga'],"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']","['Mecha', 'School']",,16 min. per ep.,R - 17+ (violence & profanity),5.84,#10736,#5464,"17,066",21,4841,"In 2017, a group of genius scientists achieve a remarkable breakthrough in bioengineering. However, all the new technologies are put into military use, beginning a new round of arms race. Vanguards, as the most significant achievement of the modern bioengineering and the most advanced weapon, are widely utilized in the race. Although vanguards are exceptionally combat-effective, their life expectancy is shortened by the nanomachines they use. Usually, most vanguards will retire from the army after a number of years in service. The heroine Liuli has also consumed too much of her lifespan after executing missions for a long time. With only 380 days left in her life, Liuli receives a new mission, to rescue a hostage being held in a civilian facility. It is without doubt a difficult mission for a vanguard like Liuli, who only knows how to kill and battle. However, Liuli obediently decides to accept the mission in the end. During the mission, Liuli surprisingly finds that the man who holds the hostage was once a vanguard. The former vanguard Zhongrong Zhou cries and asks the government to hand over the son of Eden. As a vanguard, Liuli feels deep contempt against Zhou. To eliminate the scum of the vanguards, a battle between two vanguards begins... (Source: Official site, edited)","['Adaptation (Manhua) Chu Feng', '']",Chu Feng: B.E.E,,,,,,
142,Idiot Boyfriend: My Boyfriend is an Idiot,カレバカ～吾輩ノ彼ハ馬鹿でR～,,['ONA'],8,Finished Airing,"Oct 16, 2015 to Jan 22, 2016",,,"None found,","None found,",['Sakura Create'],['Manga'],"['Comedy', 'Romance']",,,5 min. per ep.,PG-13 - Teens 13 or older,5.81,#10913,#7225,"8,520",8,3464,Centers around a girl named Akomi and her boyfriend Ponta Ninomiya. Ninomiya is a massive idiot who has no redeeming qualities aside from being really handsome. Follows the couple's everyday lives. (Source: ANN),"['Adaptation (Manga) Kare Baka: Wagahai no Kare wa Baka de R', '']",Kare Baka: Wagahai no Kare wa Baka de R,['School'],,,,,
143,Robot Girls Z+,ロボットガールズZプラス,Robot Girls Z Plus,['ONA'],6,Finished Airing,"May 20, 2015 to Oct 2, 2015",,,"['Nippon Columbia', 'LandQ studios']","None found,",['Toei Animation'],Original,,"['Anthropomorphic', 'Parody']",,8 min. per ep.,PG-13 - Teens 13 or older,6.29,#8373,#7511,"7,664",1,3498,"Robot Girls Z+, the new Robot Girls Z anime, will be six monthly shorts that will debut next spring. The protagonists of Team Z will appear in the new shorts, along with the reformed Team G, Team LOD, Team Gou, and characters that first appeared in the franchise's online game. The new shorts' story will be based two classic ""Toei Manga Matsuri"" films, Great Mazinger tai Getter Robo (Great Mazinger Vs. Getter Robo) and Great Mazinger tai Getter Robo G - Kuuchuu Dai-Gekitotsu (Great Mazinger Vs. Getter Robo G - The Great Space Encounter). (Source: ANN)","['Prequel (Special) Robot Girls Z', '']",Robot Girls Z Plus,,,,,['Comedy'],
144,"Spiritual Domain, Spiritual Field, Spirit Realm, The World of Fantasy",灵域,,['ONA'],10,Finished Airing,"Oct 22, 2015 to Dec 24, 2015",,,['iQIYI'],"None found,",['Haoliners Animation League'],Novel,,,,13 min. per ep.,PG-13 - Teens 13 or older,6.46,#7312,#8790,"5,221",12,1380,"In the world of Ling Yu(Spiritual Field), there is a continent named Chilan(Red Tide), where warriors and their Spirit Weapons are classified into different levels. Families and clans follow a strict hierarchy, too. Under the leadership of the Xuantian Union, human warriors and the Evil Clan have been engaged in brutal fights on Nether Battlefield for hundreds of years. A Soul-devouring Beast sneaked into the Chilan Continent through a crevice on the Nether Battlefield before it ruthlessly slaughtered the Feng Town and the Gao Town. Qin Lie, a young man from the Ling Town, together with Ling Yushi and Gao Yu whom he had grown up with, was commanded to help the Xuantian Union in the conquest of the Soul-devouring Beast. He did not anticipate that he would be swallowed into a great conspiracy. To protect his friends and to rescue the one he loves, the powers hiding in his veins are awakening.","['Sequel (ONA) Ling Yu 2nd Season', '']",Ling Yu,,,,,['Fantasy'],
145,"Pon Kotsuland Saga, Ponkotsu Quest x Vinland Saga Special",ポンコツランド・サガ,,['ONA'],3,Finished Airing,"Oct 24, 2015 to Oct 1, 2019",,,"None found,","None found,",['Pie in the sky'],['Manga'],,,,4 min. per ep.,G - All Ages,4.53,#13630,#11091,"2,550",4,787,Ponkotsuland Saga is a collaboration between Ponkotsu Quest and Vinland Saga.,[],Ponkotsuland Saga,['Parody'],,,,['Comedy'],
146,,弱酸性ミリオンアーサー,,['ONA'],60,Finished Airing,"Nov 20, 2015 to Jun 13, 2018",,,['Square Enix'],"None found,",['Gathering'],['Web manga'],"['Comedy', 'Fantasy', 'Ecchi']",,,1 min. per ep.,PG-13 - Teens 13 or older,6.21,#8781,#11867,"2,025",3,405,"During the live-stream of the Majo Labo! program, it was announced that Kakusansei Million Arthur will be receiving an ONA adaptation. The ONA will be based on the official 4-koma web comic and will run for four cours, debuting in Fall. Kakusansei Million Arthur is a card-battle game based on the legend of King Arthur. One million people also claim this title, wielding their own Excalibur. Developed by Square Enix, the game was originally released on iOS and Android in 2012 and since received a PlayStation Vita and Nintendo 3DS version in 2014. The comic is based on the game and is drawn by Choboraunyopomi (Ai Mai Mi). It was published online in October 2014 and currently, there are 17 chapters. (Source: MAL News)",[],Jakusansei Million Arthur,['Parody'],,,,,
147,Jack of All Trades,通职者,Tong Zhi Zhe,['ONA'],10,Finished Airing,"Dec 31, 2015 to Mar 17, 2016",,,['Tencent Animation & Comics'],"None found,","None found,",['Web manga'],"['Adventure', 'Horror']",,,10 min. per ep.,R - 17+ (violence & profanity),6.08,#9495,#12090,"1,894",7,519,"A Jack of All Trades is a person who can competently do all kinds of jobs. Loser Zhang Dabao is a professional Jack of All Trades, but his living conditions are, shall we say, less than satisfactory. One day, a beautiful woman who is being harassed by a pervert approaches him for help. He accepts, and soon embarks on a mission like nothing the world has seen before.",[],Tong Zhi Zhe,['Detective'],,,,,
148,Four Seasons: Fuuka and Nanami -Master of Torque- Spin-off Episode,Four Seasons 楓花と七波,Four Seasons: Fuuka and Nanami,['ONA'],1,Finished Airing,"Oct 30, 2015",,,"None found,","None found,",['Shimogumi'],Original,,,,4 min.,G - All Ages,4.82,#13399,#12249,"1,790",2,574,"A spin-off episode of Yamaha Motor’s original video animation “Master of Torque,” featuring Fuuka Torimi and Nanami Hiyoshi that illustrates the changing of the four seasons and the different joys of motorcycling that come with them. (Source: Official Site)",[],Four Seasons: Fuuka to Nanami,['Racing'],,,,,
149,"A Portrait of Jianghu: Spirit Master, Painted Jianghu 2",画江湖之灵主,,['ONA'],41,Finished Airing,"Oct 8, 2015 to Jul 14, 2016",,,"None found,","None found,",['Rocen'],Original,"['Drama', 'Fantasy']","['Historical', 'Martial Arts']",,19 min. per ep.,R - 17+ (violence & profanity),6.67,#6107,#12465,"1,669",6,384,"Human beings can be divided into two kinds: ordinary people who work for the living, and the undead who work for the dead. For the undead, their lives are dedicated to fulfilling the final wishes of ghosts who died with regrets. As for Baili Dengfeng, he has one and only one destiny in this world: to find his long-missing wife Ruyan. During his quest, Dengfeng makes acquaintance with Jia Xuan, whose family was murdered and is yet to be avenged, Liang You who is cute, naughty and adores him very much, and Liang Yuan, who simply doubts everything neurotically. After a series of events, he also learns of the existence of Spirit Masters and Spirit Slaves, and gets in touch with a mystical organization named ""Spirits Expelling Order"". With more and more mysteries being unveiled, the truth is drawing closer and closer to Dengfeng, who perhaps would rather not face the whole of it. (Source: Mooncakes Fansub group)",[],Hua Jianghu: Ling Zhu,,,,,,
150,,MILPOM★,,['ONA'],6,Finished Airing,"Sep 5, 2015 to Sep 29, 2017",,,"None found,","None found,",['Bandai Namco Pictures'],Original,,,,6 min. per ep.,PG-13 - Teens 13 or older,5.10,#13094,#12794,"1,501",6,564,"The story takes place in a certain ordinary town where it is natural for everyone to wear an animal costume head. It depicts the everyday life of the main character MILPOM and her friends who live there, filled with the essence of Kawaii and a little bit cynical girls. (Source: Crunchyroll)",[],MILPOM★,,,Milpom,,['Comedy'],
151,,时光诡域,The Prisoners of Time,['ONA'],10,Finished Airing,"Dec 15, 2015 to Mar 8, 2016",,,['Tencent Animation & Comics'],"None found,","None found,",['Manga'],"['Drama', 'Supernatural']",,,13 min. per ep.,R - 17+ (violence & profanity),5.13,#13048,#13062,"1,385",0,271,"On his wedding day, Shi Xiaoguang could only helplessly watch as a mysterious power took his bride Xiaqing, away. Afterwards, he found that no one remembered the existence of “Xiaqing” and he is hunted by this unclear force. Faced with this situation, Shi Xiaoguang slowly began understanding that the world as he knew it had changed.",[],Shiguang Guiyu,,,,,,
152,Gudetama Special,ぐでたま,Hot Minute: Gudetama,['ONA'],1,Finished Airing,"Nov 2, 2015",,,['Sanrio'],"None found,","None found,",Other,,,['Kids'],1 min.,G - All Ages,5.67,#11524,#13347,"1,280",1,647,Gudetama the lazy egg is being interviewed for Hot Topic's Hot Minute series.,[],Hot Minute: Gudetama,,,,,['Comedy'],
153,,【ゾンミちゃん】ハロウィン☆スペシャルムービー！,,['ONA'],1,Finished Airing,"Oct 26, 2015",,,"None found,","None found,",['Neft Film'],Original,"['Comedy', 'Horror']",,,52 sec.,PG-13 - Teens 13 or older,4.53,#13633,#13385,"1,264",0,647,A Halloween special starring Zonmi-chan. A soldier is being chased by several Zonmi-chan zombies. He shoots at them but is ultimately caught.,[],Zonmi-chan: Halloween☆Special Movie!,,,,,,
154,,神明之胄,The Totem Warrior,['ONA'],12,Finished Airing,"Dec 2, 2015 to May 11, 2016",,,['iQIYI'],"None found,",['Haoliners Animation League'],['Manga'],"['Adventure', 'Fantasy']",,,16 min. per ep.,PG-13 - Teens 13 or older,6.21,#8803,#13683,"1,168",3,216,"The series takes place in ancient times, where people worship totems and several unique tribes exist. The highly respected Totem Warriors have utmost faith in their beliefs and protect their tribes. The protagonist, though not initially set to becomes a Totem Warrior, is eventually placed on that path. And thus, his adventure begins.","['Sequel (ONA) Shen Ming Zhi Zhou 2nd Season', '']",Shen Ming Zhi Zhou,,,,,,
155,,超機動街区 KASHIWA-NO-HA,,['ONA'],3,Finished Airing,"Sep 30, 2015 to Oct 28, 2023",,,"['Rakuonsha', 'Yamato Works']","None found,","None found,",Original,,,,3 min. per ep.,G - All Ages,5.07,#13128,#13880,"1,104",1,319,"ーThe day the city had moved, our future began to move.ー The year is 2018. Kashiwa City, Chiba Prefecture, Kashiwanoha Smart City. A family had come to the model room tour of the tower apartment in ""Park City Kashiwanoha Campus The Gate Tower"". With excellent facilities the family begins a new life in this city based on the environment. However, suddenly the after leaving, the ground shakes violently and a giant robot appears from where their tower apartment once stood. Or rather, their tower apartment has become a giant robot. The family is stunned. What the heck is happening in this town? What secret is hidden in this town? (Source: Official YouTube channel, edited)",[],Chou Kidougai-ku: Kashiwa-no-Ha,['Mecha'],,,,['Action'],
156,,未来へのかけ橋～Bridge for future～,,['ONA'],6,Finished Airing,"Oct 1, 2015 to Aug 1, 2016",,,"None found,","None found,",['Gaina'],Original,,,,30 sec. per ep.,G - All Ages,5.75,#11171,#14959,824,0,171,"Fukushima Gainax's commissioned commercials for TOHO Bank. The series involves Sayaka Hinata, an overly-energetic new bank employee (voiced by Sarah Emi Bridcutt), and her beleaguered boss, Mitsuya (voiced by Tomokazu Sugita). (Source: Crunchyroll)",[],Mirai e no Kakehashi: Bridge for Future,,,,,['Slice of Life'],
157,,ゴキブリ姫,Cockroach Princess,['ONA'],1,Finished Airing,"Nov 20, 2015",,,"None found,","None found,","None found,",Original,,,,1 min.,G - All Ages,5.28,#12730,#15108,786,1,384,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Gokiburi Hime,,,,,['Sci-Fi'],
158,,エリートバナナ バナ夫,Elite Banana Banao,['ONA'],9,Finished Airing,"Dec 24, 2015 to Aug 8, 2016",,,['Kamio Japan'],"None found,","None found,",Other,"['Comedy', 'Slice of Life']",,,2 min. per ep.,G - All Ages,5.74,#11215,#15266,748,2,165,A variety of shorts centering around a suave banana. Based on a toy franchise published by the Banpresto gaming company.,[],Elite Banana Banao,['Parody'],,,,,
159,,磯部磯兵衛物語 〜浮世はつらいよ〜,,['ONA'],33,Finished Airing,"Dec 12, 2015 to 2016",,,"None found,","None found,",['Gathering'],['Manga'],,"['Gag Humor', 'Historical']",['Shounen'],30 sec. per ep.,PG-13 - Teens 13 or older,[],#18890,#15350,729,1,,"Isobe Isobee is a lazy, slacker samurai with big dreams. He lives with his mother, who thinks highly of him. He lays around the house, sneakily looks at Edo-period pornography without his mother noticing, naps at school... but he plans to become a respectable samurai one day! (Source: MangaHelpers)","['Sequel (ONA) Isobe Isobee Monogatari: Ukiyo wa Tsurai yo (2017)', 'Adaptation (Manga) Isobe Isobee Monogatari: Ukiyo wa Tsurai yo']",Isobe Isobee Monogatari: Ukiyo wa Tsurai yo (2015),,,,,['Comedy'],
160,,スーパーショートコミックス,,['ONA'],8,Finished Airing,"Nov 2, 2015 to Dec 21, 2015",,,['comico'],"None found,","[""Steve N' Steven""]",['Web manga'],,,,5 min. per ep.,G - All Ages,5.74,#11194,#15554,694,1,185,A series of absurdist gag stories with limited continuity. Each episode consists of a varying amount of stories and a total of 26 stories were made.,[],Super Short Comics,['Parody'],,,,['Comedy'],
161,One Hundred Thousand Bad Jokes 3,十万个冷笑话第3季,,['ONA'],49,Finished Airing,"Dec 31, 2015 to Sep 27, 2017",,,['Yaoqi'],"None found,",['L²Studio'],['Web manga'],,,,10 min. per ep.,PG-13 - Teens 13 or older,[],#14183,#15740,664,0,,Third season of One Hundred Thousand Bad Jokes.,"['Prequel (ONA) Shi Wan Ge Leng Xiaohua 2nd Season', '']",Shi Wan Ge Leng Xiaohua Di 3rd Season,['Parody'],,,,['Comedy'],
162,"China National Day Special Edition, Qin Shi Ming Yue Zhi: Episode 15.5",秦時明月国庆特别篇,,['ONA'],1,Finished Airing,"Oct 1, 2015",,,"None found,","None found,",['Sparkly Key Animation Studio'],Novel,"['Action', 'Comedy']","['Martial Arts', 'Parody']",,9 min.,PG-13 - Teens 13 or older,5.63,#11705,#16197,598,0,163,"An episode that was released to celebrate October 1, 2015, China's National Day.",[],Qin Shi Mingyue: Guoqing Tebie Pian,,,,,,
163,,プライド,,['ONA'],1,Finished Airing,"Oct 29, 2015",,,"None found,","None found,","None found,",Original,,,,2 min.,G - All Ages,5.51,#12097,#16748,531,0,257,An Isuzu (truck company) commissioned short from Tekken about a freight truck driver who takes pride in his work.,[],Pride,,,,,['Slice of Life'],
164,,ボーニンゲンweekend,,['ONA'],20,Finished Airing,"Dec 17, 2015 to Apr 27, 2016",,,"None found,","None found,","None found,",Original,,,,30 sec. per ep.,G - All Ages,5.10,#13088,#17088,495,0,223,Shorts focusing on the daily life of a human and their cat.,[],Bouningen Weekend,['Pets'],,,,['Slice of Life'],
165,,東京コスモ,,['ONA'],1,Finished Airing,"Oct 27, 2015",,,"None found,","None found,","None found,",Original,"['Fantasy', 'Slice of Life']",,,4 min.,G - All Ages,5.80,#10951,#17609,450,0,215,This five-minute video tells the simple tale of a young woman imagining her normal life being a bit more extraordinary. (Source: ANN),[],Tokyo Cosmo,,,,,,
166,,ゲキドライヴ,Geki Drive,['ONA'],1,Finished Airing,"Oct 20, 2015",,,['Bandai'],"None found,","None found,",Other,,,,2 min.,G - All Ages,4.95,#13265,#18195,405,0,170,"Bandai began streaming an animated promotional video for its upcoming Geki Drive racing kits Tuesday. The new, customizable cars are set for release in January 2016. The video shows two cars, the Dragon Gear (white) and Night Cougar (black). The cars are the first is the toy line's GD Machine Series. A third car, Burst Phoenix (red), is also planned. The cars utilize the ""Link Unit System,"" making them easy to upgrade with new parts and assemble. Bandai is also releasing a 90-degree bank-curved track. The track is recreated in the animated promotional video. (Source: ANN)",[],Geki Drive,['Racing'],,,,['Action'],
167,,"東北東, 十七の空",The Light at Night in Summer,['ONA'],1,Finished Airing,"Dec 11, 2015",,,"None found,","None found,","None found,",Other,,,,15 min.,G - All Ages,6.17,#8983,#18438,386,1,152,"Hirofumi Mizusawa is a second year student at Nanagou High School, which is going to close this summer. One day late at night while trying to finish his summer homework, he observes a ""flying orange light"" from the window in his room. The next day, he tells his friends Akira and Ryo about it, and they begin to investigate the true nature of the light, but... (Source: YouTube, edited)",[],"Touhokutou, Juunana no Sora",,,,,['Slice of Life'],
168,Dangerous Jiisan,じーコロコミック,,['ONA'],1,Finished Airing,"Dec 25, 2015",,,"None found,","None found,","None found,",['Manga'],"['Comedy', 'Sci-Fi']",,['Kids'],4 min.,G - All Ages,[],#18999,#19372,321,0,,"A Dangerous Jiisan webisode released on CoroCoro Comic's official youtube page for Christmas 2015. In it, Yousuke accidentally breaks Jiisan's handheld game and ends up going on a wacky time traveling loop to fix it.","['Sequel (TV) Zettai Zetsumei Dangerous Jiisan (2005)', '']",Jii Coro Comic,,,,,,
169,,僕らの明日～フリーターの現状に関する若者への周知・広報事業～,,['ONA'],1,Finished Airing,"Nov 24, 2015",,,"None found,","None found,","None found,",Original,,,,16 min.,G - All Ages,[],#17011,#19857,292,0,,"The video centers on Takumi Shimamoto, a 22-year-old freeter who quit college in his second year under the pretense of finding something that interests him to pursue. He's been working part-time jobs for about two years. He runs into a classmate from high school named Ayaka Yoshimura. She is about to graduate from college and is thinking about her job prospects. Ayaka is considering doing part-time work for the time being because there is not a job in particular that she wants to do. (Source: ANN)",[],Bokura no Ashita: Freeter no Genjou ni Kansuru Wakamono e no Shuuchi Kouhou Jigyou,,,,,['Slice of Life'],
170,,まつばらくん　「マッキーへの応援メッセージ」,,['ONA'],1,Finished Airing,"Oct 4, 2015",,,"None found,","None found,","None found,",Original,,,,33 sec.,G - All Ages,[],#20061,#20225,273,0,,"Matsubara-kun gives his support to Mackie, a fellow Matsubara city mascot, for the 2015 yuru-chara grand prix.",[],Matsubara-kun: Mackie E no Ouen Message,,,,,['Comedy'],
171,,わんわんわんコイン,,['ONA'],15,Finished Airing,"Nov 30, 2015 to Jun 20, 2016",,,"None found,","None found,",['DLE'],Original,,,,3 min. per ep.,G - All Ages,[],#15248,#20740,244,0,,"A ""vertical"" anime starring a coin with doglike properties.",[],Wanwanwan Coin,,,,,['Comedy'],
172,,空想水族館,Kuusou Suizokukan,['ONA'],2,Finished Airing,"Nov 16, 2015 to Oct 2, 2016",,,['Kamio Japan'],"None found,",['Takara Tomy A.R.T.S'],Original,,,['Kids'],53 sec. per ep.,G - All Ages,[],#19687,#20759,243,0,,"Kuusou Suizokukan features characters that are inspired by the sea creatures in a future aquarium like rabbit-penguins, parakeet-sea lions, and bear-jellyfish.",[],Kuusou Suizokukan,,,,,,
173,Sukekiyo × The Zemeckises Collaboration CM,sukekiyo × The Zemeckises コラボアニメーション,,['ONA'],1,Finished Airing,"Oct 6, 2015",,,"None found,","None found,","None found,",Unknown,,,,2 min.,PG-13 - Teens 13 or older,[],#14608,#21881,180,0,,A free gift when you purchase the Online Version or the Limited First Press Version of PERSUASIO // 2015.2.28 sukekiyo 2015 live ｢The Unified Field｣ -VITIUM-. (Source: Discogs),[],Sukekiyo × The Zemeckises Collab Animation,,,,,['Supernatural'],
174,,罚球线,Free Throw Line,['ONA'],1,Finished Airing,"Oct 25, 2015",,,"None found,","None found,","None found,",Original,,,,6 min.,G - All Ages,[],#17917,#22720,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Faqiu Xian,,,,,['Sports'],
175,Chinese Choir,中国唱诗班,,['ONA'],6,Finished Airing,"Nov 2, 2015 to Jan 7, 2022",,,"None found,","None found,","None found,",Unknown,,,,11 min. per ep.,PG-13 - Teens 13 or older,[],#16312,#23080,134,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Zhongguo Changshi Ban,['Historical'],,,,,
176,,那年那兔那些事儿 第二季,,['ONA'],12,Finished Airing,"Nov 6, 2015 to Apr 5, 2016",,,"None found,","None found,","None found,",Other,,"['Anthropomorphic', 'Military']",,6 min. per ep.,PG-13 - Teens 13 or older,[],#20505,#23151,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Na Nian Na Tu Naxie Shi Er', 'Sequel (ONA) Na Nian Na Tu Naxie Shi Er: Fanwai Pian', 'Sequel (ONA) Na Nian Na Tu Naxie Shi Er 3rd Season', '']",Na Nian Na Tu Naxie Shi Er 2nd Season,,,,,['Comedy'],
177,Juedi Shi Ri,绝地十日,,['ONA'],8,Finished Airing,"Dec 17, 2015 to Sep 14, 2016",,,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,,14 min. per ep.,PG-13 - Teens 13 or older,[],#18919,#24695,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Jedi Shi Ri,,,,,,
178,,忍者萌剑传,,['ONA'],1,Finished Airing,"Dec 24, 2015",,,"None found,","None found,","None found,",Game,,,,8 min.,PG-13 - Teens 13 or older,[],#21346,#24742,98,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Renzhe Meng Jian Chuan,,,,,['Comedy'],
179,,白想这么多,,['ONA'],30,Finished Airing,"Oct 29, 2015 to ?",,,"None found,","None found,","None found,",Original,,,['Kids'],3 min. per ep.,PG - Children,[],#16758,#25443,88,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Bai Xiang Zheme Duo,,,,,['Comedy'],
180,"Hai, Gu De Bai","嗨,顾得白",,['ONA'],160,Finished Airing,"Dec 29, 2015 to Apr 8, 2016",,,"None found,","None found,","None found,",Original,,,['Kids'],3 min. per ep.,PG - Children,[],#18553,#25550,87,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],"Hi, Goodbye",,,,,,
181,,RABBYCC之卡罗的心灵世界,,['ONA'],25,Finished Airing,"Oct 9, 2015 to ?",,,"None found,","None found,","None found,",Original,,,['Kids'],3 min. per ep.,PG - Children,[],#21306,#25761,84,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Rabby CC: Carol de Xinling Shijie,,,,,['Fantasy'],
182,"One Punch Man OVA, One Punch-Man OVA, One-Punch Man OVA",ワンパンマン OVA「ロード・トゥ・ヒーロー」,,['OVA'],1,Finished Airing,"Dec 4, 2015",,,"None found,","None found,",['Madhouse'],['Web manga'],"['Action', 'Comedy']","['Parody', 'Super Power']",['Seinen'],24 min.,R - 17+ (violence & profanity),7.70,#1309,#772,"333,770",368,190612,"Before Saitama became the man he is today, he trained and fought endlessly to become a hero. While every scuffle leaves his tracksuit uniform in tatters, he always has it mended for free thanks to his local tailor. One day, however, the tailor informs him that he must close up shop due to pressure from a local gang. Saitama decides to help him out—and gains something irreplaceable in the process. [Written by MAL Rewrite]",[],One Punch Man: Road to Hero,,,,,,
183,Noragami Aragoto OAD,ノラガミ OAD,,['OVA'],2,Finished Airing,"Nov 17, 2015 to Mar 17, 2016",,,"None found,","None found,",['Bones'],['Manga'],"['Comedy', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.84,#944,#979,"265,836",370,141031,"Hiyori Iki goes on a skiing trip with her parents and happens to bump into Yato and Yukine. After a short while, they find the other gods who are there for a company vacation. But amidst all the fun, someone is plotting a heinous crime, and Yato is the primary target. On a different day, Yato’s been able to make a small fortune from his last job and decides to take Hiyori and Yukine to Capyper Land. Although she agrees without knowing the destination, will Hiyori actually enjoy the day considering what happened on her last visit? [Written by MAL Rewrite]","['Adaptation (Manga) Noragami', 'Adaptation (Manga) Noragami: Shuuishuu']",Noragami Aragoto OVA,['Mythology'],,,,,
184,,東京喰種 トーキョーグール【PINTO】,Tokyo Ghoul: Pinto,['OVA'],1,Finished Airing,"Dec 25, 2015",,,"None found,",['Funimation'],['Pierrot'],['Light novel'],"['Action', 'Fantasy', 'Horror', 'Suspense']","['Gore', 'Psychological', 'Urban Fantasy']",['Seinen'],24 min.,R - 17+ (violence & profanity),7.20,#3387,#1156,"225,492",391,125011,"Shuu Tsukiyama is a ""ghoul"": a creature who eats human flesh, and he likes to enjoy his meals to the fullest. One night, while relishing in the premeditated murder of his dinner, Shuu's much anticipated first bite is disturbed by a sudden flash of light. The flash turns out to be from the camera of high schooler Chie Hori, who presents Shuu with the perfect picture capturing his true nature; the extremely clear shot of a bloody corpse and an overly excited Shuu threatens to expose his ghoul identity, thus Shuu needs to sort out this situation quickly. After Shuu discovers that Chie attends the same high school as him and is even in the same class, the reason behind his feelings of obsession changes from self-preservation to morbid curiosity. As he grows closer to the absent-minded and extremely odd photographer, he challenges them both to learn more about each other's conflicting worlds; Shuu promises that Chie will come out of this experience with a photograph superior to the one she already has. [Written by MAL Rewrite]","['Adaptation (Light Novel) Tokyo Ghoul', '']","Tokyo Ghoul: ""Pinto""",,,,Tokyo Ghoul: Pinto,,
