,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Demographic,Demographics
96,,団地ともお,,,,,['TV'],78,Finished Airing,"Apr 6, 2013 to Feb 7, 2015",['Spring 2013'],Saturdays at 09:30 (JST),"['NHK', 'Shogakukan Music & Digital Entertainment']","None found,","None found,",['Manga'],,,24 min. per ep.,G - All Ages,6.14,#9154,#13732,"1,154",1,184,It's a heartwarming and sometimes nonsense comedy about an elementary school boy Tomoo Kinoshita.,"['Adaptation (Manga) Danchi Tomoo', '']",Danchi Tomoo,,['Comedy'],['Seinen'],
97,"Linetown, raintaun",ラインタウン,Line Town,,,,['TV'],50,Finished Airing,"Apr 3, 2013 to Mar 26, 2014",['Spring 2013'],Wednesdays at Unknown,['Shogakukan Music & Digital Entertainment'],"None found,","None found,",Other,,,24 min. per ep.,PG-13 - Teens 13 or older,6.27,#8450,#13803,"1,127",1,259,"Featuring characters from NHN's popular app such as Moon, Brown, Connie, James, Jessica, and Sally living happily together in Line Town.",[],Line Town,['Workplace'],['Comedy'],['Kids'],
98,A Duck's Life,ぢべたぐらし あひるの生活,,,,,['TV'],39,Finished Airing,"Apr 7, 2013 to Mar 30, 2014",['Spring 2013'],Unknown,"None found,","None found,","None found,",['Web manga'],"['Comedy', 'Slice of Life']",,3 min. per ep.,G - All Ages,5.74,#11208,#14074,"1,056",1,256,"The story follows the daily life of a group of birds, including a duck, an old nihilistic great grey owl, and a gluttonous Caique parrot. (Source: ANN)","['Sequel (ONA) Dibetagurashi: Ahiru no Seikatsu - Ahiru no Sumu Shima', 'Adaptation (Manga) Dibetagurashi']",Dibetagurashi: Ahiru no Seikatsu,,,,
99,Hana Kappa,はなかっぱ,,,,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,10 min.,PG - Children,6.00,#9910,#14262,"1,003",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,,['Comedy'],['Kids'],
100,,フルーティー侍,,,,,['TV'],13,Finished Airing,"Aug 13, 2013 to Dec 14, 2013",['Summer 2013'],Unknown,['Kids Station'],"None found,",['happyproject'],Original,"['Action', 'Comedy']","['Historical', 'Samurai']",3 min. per ep.,PG - Children,5.49,#12136,#14300,992,2,273,Classic samurai movies and absurd humor collide when fruit-headed warriors cross blades and tempers! (Source: HDIVE),[],Fruity Samurai,,,,
101,,しあわせ配達おみくじタネコ,,,,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,Unknown,None,[],#14200,#14342,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,['Comedy'],,
102,,ANISAVA,,,,,['TV'],13,Finished Airing,"Aug 26, 2013 to Jan 13, 2014",['Summer 2013'],Unknown,"None found,","None found,","['TMS Entertainment', 'DLE']",Unknown,"['Comedy', 'Romance']",,5 min. per ep.,PG-13 - Teens 13 or older,5.57,#11895,#14582,918,0,342,"Welcome to the concrete jungle, where it’s a struggle to survive among the animals of the city. Watch Jake the bear, Jenny the cat and their cast of slightly crazy friends as they live, love and try to stay sane in a wild world. (Source: Official website)",[],Anisava,['Anthropomorphic'],,,
103,"Man Lan, Shalen",侠岚,,,,,['TV'],156,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",['Winter 2012'],Sundays at Unknown,"None found,","None found,",['Rocen'],Original,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']","['Historical', 'Martial Arts']",25 min. per ep.,PG-13 - Teens 13 or older,6.05,#9654,#14686,892,2,172,"When Nian Chi was a young child, his elder sister was kidnapped in front of him, while he could do nothing but watch, a thing that has tormented him for all these years. Now 10 years later, he's dead set on going to rescue his sister, and sets out.","['Sequel (ONA) Hua Jianghu: Xia Lan', '']",Xia Lan,,,,
104,,にゅるにゅる!!KAKUSENくん,,,,,['TV'],25,Finished Airing,"Jul 9, 2013 to Dec 24, 2013",['Summer 2013'],Unknown,['Yomiuri Telecasting'],"None found,",['DLE'],Unknown,,,2 min. per ep.,G - All Ages,5.63,#11689,#14833,855,1,171,"The anime revolves around little creatures called ""Kakusen"" who live in the skin pores of humans. (Source: ANN)","['Sequel (TV) Nyuru Nyuru!! Kakusen-kun 2nd Season', '']",Nyuru Nyuru!! Kakusen-kun,,['Comedy'],,
105,,しまじろうのわお!,,,,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,8 min.,G - All Ages,[],#14232,#15595,688,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,['Kids'],
106,Eagle Talon MAX,秘密結社鷹の爪 MAX,,,,,['TV'],38,Finished Airing,"Apr 5, 2013 to Feb 21, 2014",['Spring 2013'],Unknown,"None found,","None found,",['DLE'],Unknown,,"['Parody', 'Super Power']",5 min. per ep.,PG-13 - Teens 13 or older,6.01,#9892,#15816,654,0,137,Sequel to the previous season.,"['Prequel (TV) Himitsukessha Taka no Tsume NEO', 'Sequel (TV) Himitsukessha Taka no Tsume EX']",Himitsukessha Taka no Tsume MAX,,['Comedy'],,
107,Bakushishi Gasshin Ziguru Hazeru,爆獣合神ジグルハゼル,,,,,['TV'],6,Finished Airing,"Apr 6, 2013 to Dec 2013",['Spring 2013'],Not scheduled once per week,"None found,","None found,",['Production Reed'],Other,,,2 min. per ep.,PG - Children,[],#16783,#15853,647,1,,"The anime is based on MegaHouse's line of Ziguru Hazeru (literally, ""Jiggle and Pop Out"") mecha toys that allow people to remove parts from the joints and add different parts in their place. In addition, if one combines together Hazeru Gokuu, Hazeru Sagojo, and Hazeru Hakkai, the resulting mecha will be Hazeru Seioh, allowing for users to combine their toys together. The ZIGURUHAZERU animated series is based on the upcoming original toy line of the same name from MegaHouse, featuring cool robot toys modelled after characters from the famous Journey to the West tale.",[],Bakujuu Gasshin Ziguru Hazeru,['Mecha'],['Action'],,
108,,鉄人28号ガオ!,,,,,['TV'],151,Finished Airing,"Apr 6, 2013 to Mar 26, 2016",['Spring 2013'],Saturdays at 04:52 (JST),['Fuji TV'],"None found,","['Eiken', 'TYO Animations']",['Manga'],,,5 min. per ep.,G - All Ages,[],#14811,#16153,605,0,,"This series of anime shorts, roughly five minutes in length, will focus on protagonist Shoutarou Kaneda's everyday life instead of focusing on battle scenes as previous Tetsujin 28 titles have done. The visuals of the title robot, its nemesis Black Ox, and other elements will have a pop-art style. (Source: ANN)",[],Tetsujin 28-gou Gao!,['Mecha'],['Slice of Life'],,
109,Annyeong Jaduya,안녕 자두야,Hello Jadoo,,,,['TV'],122,Finished Airing,"Jul 18, 2011 to Feb 1, 2016",['Summer 2011'],Not scheduled once per week,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,6.17,#8983,#16109,610,3,162,"Hello Jadoo is a South-Korean TV show about a girl named Choi Jadoo who is a very free-spirited girl. In every episode, she would always get into drama, whether it was with her parents or school. At the same time, she meets new people and she tries to solve problems occurring.",[],Annyeong Jadoo,,['Comedy'],['Kids'],
110,Kayochu,かよえ！チュー学,Kayoe! Chugaku,,,,['TV'],425,Finished Airing,"Jun 6, 2011 to Mar 28, 2014",['Summer 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,,,1 min. per ep.,None,[],#19339,#16420,569,1,,Wada transfers from the Kansai region to the Toukai region in middle school. The story follows his new set of friends as their fivesome enjoy their everyday lives. All the characters' are names are based on Chunichi Dragons baseball team which is located in the Toukai region.,[],Kayoe! Chuugaku,['School'],['Comedy'],,
111,Rice Monster Pap,ごはんかいじゅうパップ,,,,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,30 sec.,G - All Ages,[],#18206,#16440,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,,,['Kids'],
112,Yowamon,よわむしモンスターズ,,,,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,1 min.,PG - Children,[],#16131,#16781,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,,,['Kids'],
113,,えほん寄席,,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",5 min. per ep.,PG - Children,[],#17864,#17177,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,['Horror'],['Kids'],
114,Forest Frenzy of Boonie Bears,熊出没之丛林总动员,Boonie Bears: Forest Frenzy,,,,['TV'],104,Finished Airing,"Jul 13, 2013 to Sep 25, 2014",['Summer 2013'],Unknown,['Fantawild Animation'],"None found,","None found,",Original,,,13 min. per ep.,PG - Children,5.63,#11664,#17335,471,0,161,"Third season of Boonie Bears. Having had a taste of carnival life in town, the Bear Brothers return to the forest to start anew. But aside from the joy of meeting old friends, the bears must again cope with the dull-but-driven Logger Vick! That shiny-pated villain is determined to crush their renewed efforts to protect the forest they love. If he can dispatch the Bear Brothers, Vick will realize his evil dream of riches through total destruction of the forest. Fortunately the Brothers and their friends have a forest full of surprises in store for him! Boonie Bears: Forest Frenzy features Briar and Bramble Bear doing what they do best: creating non-stop laughs for kids around the world! (Source: Official website)","['Prequel (TV) Xiong Chumo: Huanqiu Da Maoxian', 'Sequel (TV) Xiong Chumo: Chunri Dui Dui Peng']",Xiong Chumo: Conglin Zong Dong Yuan,,['Comedy'],['Kids'],
115,"Panpaka Panties, Panpaka Underwear",パンパカパンツ,Panpaka Pantsu,,,,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,15 sec. per ep.,G - All Ages,[],#20948,#17402,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,,['Comedy'],['Kids'],
116,,パンダのたぷたぷ,,,,,['TV'],431,Finished Airing,"Apr 2, 2012 to Nov 29, 2013",['Spring 2012'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,30 sec. per ep.,G - All Ages,[],#20943,#17655,444,0,,"A short anime featuring the zodiac animals with a panda named Taputapu as the main character. Each episode is focuses on having a proverb, moral, or uplifting value.",[],Panda no Taputapu,,,['Kids'],
117,,ともだち8にん,,,,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,1 min. per ep.,G - All Ages,[],#14952,#17776,437,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,['Comedy'],['Kids'],
118,Fight! Oden-kun,がんばれ！おでんくん,The Adventure of Oden-kun,,,,['TV'],102,Finished Airing,"Jan 12, 2013 to Dec 27, 2014",['Winter 2013'],Saturdays at Unknown,['Sotsu'],"None found,",['Kachidoki Studio'],Picture book,,,3 min. per ep.,G - All Ages,[],#18106,#17976,422,2,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Prequel (TV) Oden-kun', '']",Ganbare! Oden-kun,,['Comedy'],,
119,Brinken: Finger Skate Generation,翼空之巅,Brinken: Skate Revolution,,,,['TV'],40,Finished Airing,"Apr 2013 to Apr 2, 2015",['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Sports']",,23 min. per ep.,G - All Ages,[],#16026,#18160,406,2,,"In a city of the future, many kids can play with Finger Skateboards--skateboards that can move a simulated character in a battle at will of the player. Our main character enters shop and joins the game along with his 3 friends. They kids go on many adventures and compete against Alexander, the son of a rival company competing against the original shop.",[],Yi Kong Zhi Dian,,,['Kids'],
120,,パッコロリン,Pakkororin,,,,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#20937,#18311,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,['Kids'],
121,,ゆうとくんがいく,,,,,['TV'],26,Finished Airing,"Jun 14, 2013 to Dec 6, 2013",['Summer 2013'],Unknown,"None found,","None found,",['Shirogumi'],Unknown,,,1 min. per ep.,PG - Children,[],#16207,#18349,395,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yuuto-kun ga Iku,['Team Sports'],['Sports'],['Kids'],
122,Dancer Clinoppe,踊り子クリノッペ,,,,,['TV'],26,Finished Airing,"May 9, 2013 to Nov 28, 2013",['Spring 2013'],Unknown,['GREE'],"None found,",['TYO Animations'],Unknown,"['Comedy', 'Slice of Life']",,2 min. per ep.,G - All Ages,[],#20779,#18455,386,0,,"The surreal, comical television anime follow the daily life of Clinoppe and an office lady named Onei-san. (Source: ANN) Based on GREE's Odoriko Clinoppe Creature-Raising Game.",[],Odoriko Clinoppe,,,,
123,,リトル・チャロ4 英語で歩くニューヨーク,Little Charo 4: New York Again,,,,['TV'],36,Finished Airing,"Apr 3, 2013 to Dec 18, 2013",['Spring 2013'],Wednesdays at 22:00 (JST),['NHK'],"None found,",['Spooky graphic'],Original,,,5 min. per ep.,G - All Ages,[],#19833,#19411,319,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Little Charo', '']",Little Charo 4: Eigo de Aruku New York,['Educational'],['Adventure'],['Kids'],
124,,빨간 자전거,Red Bicycle,,,,['TV'],302,Finished Airing,"Jan 22, 2013 to Apr 3, 2015",['Winter 2013'],Unknown,"None found,","None found,","None found,",['Manga'],,,4 min. per ep.,G - All Ages,[],#21140,#20966,232,0,,"Against the backdrop of a rural village with a beautiful landscape, Imhwa-ri, a postman riding a red bicycle, tells the story of our daily life with all of our sadness, joy, pain, and laughter. Let's meet with the postman on a red bicycle! (Source: YouTube)","['Adaptation (Manhwa) The Red Bicycle', '']",Ppalgan Jajeongeo,,['Slice of Life'],['Kids'],
125,"Kijeu CSI Gwahagsusadae, Kids CSI",키즈 CSI 과학수사대,,,,,['TV'],104,Finished Airing,"Jul 9, 2012 to Sep 15, 2014",['Summer 2012'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Mystery']",,23 min. per ep.,G - All Ages,[],#19413,#21375,208,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kijeu CSI,,,['Kids'],
126,Miaenmailobos,미앤마이로봇,Me & My Robot,,,,['TV'],52,Finished Airing,Feb 2013 to Nov 2013,['Winter 2013'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Sci-Fi']",,13 min. per ep.,PG - Children,[],#20088,#22272,164,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Me & My Robot,['School'],,['Kids'],
127,,数学荒岛历险记3,,,,,['TV'],40,Finished Airing,Nov 2011 to Dec 2013,['Fall 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,15 min. per ep.,PG - Children,[],#14399,#22606,150,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shuxue Huang Dao Lixian Ji 2', 'Sequel (TV) Huang Dao Lixian Ji: Luo Ke He Biancheng Mao']",Shuxue Huang Dao Lixian Ji 3,,,['Kids'],
128,,미술탐험대,Art Odyssey,,,,['TV'],52,Finished Airing,"Aug 29, 2011 to Dec 12, 2013",['Summer 2011'],Unknown,['EBS'],"None found,",['Iconix Entertainment'],Original,,,11 min. per ep.,PG - Children,[],#20319,#23160,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Misultamheomdae,['Mahou Shoujo'],['Fantasy'],['Kids'],
129,,星仔小厨神,,,,,['TV'],40,Finished Airing,Jun 2013 to Dec 2013,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,"['Fantasy', 'Gourmet']",,13 min. per ep.,PG - Children,[],#15818,#23501,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xing Zi Xiao Chu Shen,,,['Kids'],
130,,少年师爷之信义小侠客,,,,,['TV'],26,Finished Airing,Apr 2013 to Nov 2013,['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#14068,#23878,114,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Ren Shanxing Tianxia', 'Sequel (TV) Shaonian Shiye: Zhili Wanshitong']",Shaonian Shiye: Xinyi Xiao Xiake,['Historical'],,['Kids'],
131,,少年师爷之勇者闯江南,,,,,['TV'],26,Finished Airing,Jul 2013 to Dec 2013,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,,,14 min. per ep.,PG - Children,[],#14069,#23945,113,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Zhili Wanshitong', 'Sequel (TV) Shaonian Shiye: Zhongyi Man Qiankun']",Shaonian Shiye: Yongzhe Chuang Jiangnan,['Historical'],,['Kids'],
132,,参娃与天池怪兽,,,,,['TV'],78,Finished Airing,Sep 2012 to Oct 2014,['Fall 2012'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#17119,#24151,109,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Can Wa Yu Tianchi Guaishou,,['Fantasy'],['Kids'],
133,Dinosaurs Are Coming,恐龙来了,,,,,['TV'],26,Finished Airing,Jul 2013 to Oct 2014,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#19529,#24063,110,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Konglong Laile,['Anthropomorphic'],['Fantasy'],['Kids'],
134,,八闽精灵夺宝记,,,,,['TV'],26,Finished Airing,Mar 2013 to Dec 2013,['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,,,15 min. per ep.,PG - Children,[],#16701,#24555,101,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ba Min Jingling Duo Bao Ji,,['Fantasy'],['Kids'],
135,"Chuunibyou demo Koi ga Shitai! 2 Lite, Chu-2 Byo demo Koi ga Shitai! Ren Lite, Love, Chunibyo & Other Delusions: Heart Throb Lite",中二病でも恋がしたい！戀 Lite,"Love, Chunibyo & Other Delusions!: Heart Throb Lite Shorts",,,,['ONA'],6,Finished Airing,"Dec 26, 2013 to Mar 16, 2014",,,"None found,",['Sentai Filmworks'],['Kyoto Animation'],['Light novel'],,,4 min. per ep.,PG-13 - Teens 13 or older,7.18,#3488,#2339,"92,049",67,45777,Short episodes aired on KyoAni's official YouTube channel.,"['Prequel (ONA) Chuunibyou demo Koi ga Shitai! Lite', '']",Chuunibyou demo Koi ga Shitai! Ren Lite,['School'],['Comedy'],,
136,,きょうかいのかなた アイドル裁判！～迷いながらも君を裁く民～,Beyond the Boundary: Idol Trial!,,,,['ONA'],5,Finished Airing,"Nov 18, 2013 to Jul 2, 2014",,,"None found,",['Sentai Filmworks'],['Kyoto Animation'],['Light novel'],,,8 min. per ep.,PG-13 - Teens 13 or older,6.54,#6825,#3840,"38,368",12,18021,"Akihito Kanbara finds himself in a courtroom and faces an unexpected jury for a peculiar lawsuit. Having turned into chibi idol versions of themselves, Mirai Kuriyama, Mitsuki Nase, and Sakura Inami are led by Ai Shindou to present incriminating evidence and deliver their dazzling verdicts. However, Akihito is not the only one who is assigned a case. Pressed with varying charges, other characters of Kyoukai no Kanata stand trial and endure the comedic truth of their quirky habits. [Written by MAL Rewrite]",[],Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,,['Comedy'],,
137,Tokyo Ravens Specials,コンが教えて差し上げます！まるわかり東京レイヴンズ,,,,,['ONA'],3,Finished Airing,"Oct 23, 2013 to Jan 30, 2014",,,"['Geneon Universal Entertainment', 'Tokyo MX']",['Funimation'],"None found,",['Light novel'],,,5 min. per ep.,PG-13 - Teens 13 or older,6.71,#5815,#5955,"13,632",8,3721,Short web specials where Kon explains a bit more about the series and the Onmyouji world.,[],Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,['Urban Fantasy'],['Fantasy'],,
138,Mou Hitotsu no Mirai o.,もうひとつの未来を.,A.U.F.L. : au Unlimited Future Laboratory,,,,['ONA'],3,Finished Airing,"Dec 11, 2013 to Mar 13, 2014",,,"None found,","None found,","['Production I.G', ""Steve N' Steven""]",Original,,,7 min. per ep.,PG-13 - Teens 13 or older,6.02,#9837,#6624,"10,460",3,4564,"The short takes place at the KDDI R&D laboratory, where scientists are creating a telephone that can call the future, but an incident occurs when they are using the phone. (Source: ANN)",[],Mou Hitotsu no Mirai wo.,,['Sci-Fi'],,
139,Control Bear [WONDER GARDEN] Short Animation Film,WONDER GARDEN,,,,,['ONA'],1,Finished Airing,"Oct 19, 2013",,,"None found,",['Sentai Filmworks'],['Studio Colorido'],Original,,,4 min.,PG - Children,6.34,#8030,#7382,"8,043",4,4582,A young girl is transported to a magical world by a storefront bear in this anime short by Studio Colorido.,[],Wonder Garden,,['Fantasy'],,
140,"Age of League, Lu's Time",撸时代,,,,,['ONA'],14,Finished Airing,"Oct 11, 2013 to Sep 13, 2014",,,"['Penta Show Studios', 'Colored Pencil Animation Japan']","None found,","['Haoliners Animation League', 'Colored Pencil Animation']",Game,"['Action', 'Adventure', 'Comedy']","['Parody', 'Video Game']",10 min. per ep.,PG-13 - Teens 13 or older,6.43,#7493,#8289,"6,039",19,1665,Zhiquiang is a young boy who loves playing League of Legends with his friends. Follow his crazy adventures.,"['Sequel (ONA) Lu Shidai 2nd Season', '']",Lu Shidai,,,,
141,,ダブルサークル,,,,,['ONA'],6,Finished Airing,"Dec 19, 2013 to Sep 26, 2014",,,['Toshiba Entertainment'],"None found,","None found,",Original,,,6 min. per ep.,PG-13 - Teens 13 or older,4.81,#13420,#8405,"5,852",3,1952,"""Double Circle"" means the community which evolves infinitely by the energy and ICT in the smart community project. People who live in Kawasaki become a hero, and beat an enemy who steals near from the time-stopped world to the evolving town Kawasaki. (Source: Official website)",[],Double Circle,['Super Power'],['Sci-Fi'],,
142,Sword Gai 3DCG Promotional Movie,『ソードガイ 装刀凱』3DCGプロモーションムービー,,,,,['ONA'],1,Finished Airing,"Oct 4, 2013",,,"None found,","None found,",['Digital Frontier'],['Manga'],"['Action', 'Supernatural']",,1 min.,R - 17+ (violence & profanity),5.63,#11660,#9122,"4,698",8,1895,"A promotional video for the manga. The story revolves around Gai, who was born beside a woman who met her death in a forest. He was adopted by the swordsmith Amon. A few years later, Gai becomes Amon's apprentice, and during the forging of a sword, he loses his right arm. To help him, Amon crushes the demon sword Shiryū (lit. Death Dragon) to form it into his replacement right arm. He then is able to fuse with the weapon on his arm, and fights against his enemies. (Source: ANN)","['Adaptation (Manga) Sword Gai', '']",Sword Gai,,,['Seinen'],
143,,MAID OF THE DEAD,,,,,['ONA'],1,Finished Airing,"Oct 7, 2013",,,"None found,","None found,","None found,",Original,"['Comedy', 'Horror']",,3 min.,R - 17+ (violence & profanity),4.20,#13740,#9143,"4,676",1,3075,"It's just another normal day at a maid café until one of the customers turn out to be a zombie! Disrupting business and infecting some of the maids, everything suddenly descends into chaos as people are attacked. As one of the more experienced maids comes to deal with the unruly customer and newly-made zombie maids, perhaps there's a bright side to this unbelievable turn of events after all? [Written by MAL Rewrite]",[],Maid of the Dead,,,,
144,,死灵编码：世界操纵者,Order Designer,,,,['ONA'],12,Finished Airing,"Dec 19, 2013 to Jun 4, 2014",,,"['bilibili', 'Yaoqi']","None found,",['Foch Film'],Original,"['Fantasy', 'Horror', 'Mystery']","['Parody', 'Psychological', 'Video Game']",9 min. per ep.,R - 17+ (violence & profanity),5.25,#12812,#11569,"2,213",0,465,"“Ghost” is an online mobile game that Ye Yinyi always dreamed of completing, and to that end, has poured his blood and tears into it, even missing a date with his girlfriend. However, he learns about an alarming monster attack on a young woman near his house, a photograph of which shows the monster to bear a resemblance to the monster he designed. Why is the world of his mobile game appearing in real life?",[],Si Ling Bianma: Shijie Caozong Zhe,,,,
145,,［プラネットワルキューレ］,Planet:Valkyrie,,,,['ONA'],1,Finished Airing,"Dec 23, 2013",,,"['Lantis', 'Infinite']","None found,",['P.A. Works'],Other,,,1 min.,PG-13 - Teens 13 or older,5.59,#11827,#12043,"1,920",1,579,"Short animated preview for the twelve episodes of audio drama, a collaboration project between seiyuu/singer Chihara Minori and ""Project Valkyrie.""",[],Planet:Valkyrie,['Music'],['Action'],,
146,Super Hyperspace Bulwark Cheese Napolitan,超亜空間防壁チーズ・ナポリタン,,,,,['ONA'],1,Finished Airing,"Dec 29, 2013",,,['Khara'],"None found,","None found,",Other,,,2 min.,PG-13 - Teens 13 or older,5.28,#12730,#12702,"1,549",0,698,"GMO Internet's full 3D CG two-minute anime special featuring its two female mascots. The video features the image song ""Up To You"" by Maaya Uchida and Sumire Uesaka. (Source: ANN)",[],Chou Akuukan Bouheki Cheese Napolitan,['Music'],,,
147,,"Right Places その時, ぼくの居るべき場所",Right Places,,,,['ONA'],1,Finished Airing,"Oct 25, 2013",,,"None found,","None found,","None found,",Original,"['Fantasy', 'Supernatural']",,5 min.,G - All Ages,5.65,#11596,#14018,"1,070",0,554,"One spring, a teenage boy suddenly started seeing strange ""things"" that are apparently invisible to others.",[],"Right Places: Sono Toki, Boku no Irubeki Basho",,,,
148,,家族のはなし,The Story of a Family,,,,['ONA'],1,Finished Airing,"Nov 16, 2013",,,"None found,","None found,","None found,",Original,,,9 min.,G - All Ages,6.41,#7649,#14225,"1,014",1,551,"The story follows a family of apple farmers: a mom, a dad, and their adoring son. The young boy idolizes his father and hopes to take part in the family business once he grows up. However, as he grows older and more rebellious, he begins to drift apart from his parents, trying to make it big in Tokyo as a musician. Meanwhile, his parents support him every step of the way, even when their son is absent, even when he is ungrateful, and especially when he begins to falter, all in spite of the struggles they are facing at the farm. (Source: Rocket News 24)",[],Kazoku no Hanashi,['Music'],['Drama'],,
