,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Demographic,Demographics
10,"The Sunday Without God, Kami-Nai, Kami-sama no Inai Nichiyoubi",神さまのいない日曜日,Sunday Without God,Sunday Without God,Sunday without God (Kamisama no Inai Nichiyoubi),Sunday Without God,['TV'],12,Finished Airing,"Jul 7, 2013 to Sep 22, 2013",['Summer 2013'],Sundays at 01:30 (JST),"['Starchild Records', 'AT-X', 'KlockWorx', 'Memory-Tech', 'Studio Mausu']",['Sentai Filmworks'],['Madhouse'],['Light novel'],"['Adventure', 'Drama', 'Fantasy', 'Mystery']",,23 min. per ep.,R - 17+ (violence & profanity),7.27,#2960,#1148,"226,742",893,95400,"God has abandoned the world. As a result, life cannot end nor can new life be born, and the ""dead"" walk restlessly among the living. Granting one last miracle before turning away forever, God created ""gravekeepers,"" mystical beings capable of putting the dead to rest through a proper burial. Ai, a cheerful but naïve young girl, serves as her village's gravekeeper in place of her late mother. One day, a man known as Hampnie Hambart, who is supposedly Ai's father, arrives and kills all the people in her village. Having lost her village and with no plans for the future, Ai decides to accompany the mysterious man on his journey. As she travels the land, the young gravekeeper strives to fulfill her duties, granting peace to the dead and assisting the living, while at the same time learning more about the world that God left in this tragic state. [Written by MAL Rewrite]","['Adaptation (Manga) Kamisama no Inai Nichiyoubi', 'Adaptation (Light Novel) Kamisama no Inai Nichiyoubi']",Kamisama no Inai Nichiyoubi,,,,
11,Renai Lab,恋愛ラボ,Love Lab,,Love Lab (Ren Ai Lab),,['TV'],13,Finished Airing,"Jul 5, 2013 to Sep 27, 2013",['Summer 2013'],Fridays at 02:05 (JST),"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System']",['Sentai Filmworks'],['Doga Kobo'],['Manga'],"['Comedy', 'Romance']","['CGDCT', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.30,#2810,#1246,"206,802",541,79557,"At Fujisaki Girls Academy, student council president Natsuo Maki is the epitome of grace and perfection, admired by all the young girls who attend the school. One day, Riko Kurahashi walks into the student council room on an errand, only to discover Natsuo practicing her kissing techniques on a pillow, an act that is neither graceful nor elegant. Riko soon discovers that Natsuo desires more romance in her life, leading her to practice ""romantic situations"" in secret. Sympathizing with her, Riko agrees to help Natsuo with her love research. Named ""Love Lab,"" the project practices the essentials of love and romance, such as bumping into each other ""accidentally"" and holding hands. Soon, the entire student council joins in on the fun in the Love Lab too! Through their research and real life encounters, what will they learn about romance? Weaving together funny characters and comedic situations, Love Lab builds a story of friendship and romance, while never missing a beat with the laughter. [Written by MAL Rewrite]","['Adaptation (Manga) Love Lab', '']",Love Lab,,,,
12,BroCon,BROTHERS CONFLICT,Brothers Conflict,,,,['TV'],12,Finished Airing,"Jul 2, 2013 to Sep 17, 2013",['Summer 2013'],Tuesdays at 19:30 (JST),"['Kadokawa Shoten', 'Movic', 'DAX Production', 'Showgate', 'NBCUniversal Entertainment Japan']",['Funimation'],"[""Brain's Base""]",Novel,,,24 min. per ep.,PG-13 - Teens 13 or older,5.89,#10496,#1353,"189,381",750,102145,"Ema Hinata is a sweet girl with only her father to call family. One day, she learns that he will be remarrying Miwa Asahina, a wealthy fashion designer. Though she's glad she has a new place to call home, the family she gains is greater than she could ever imagine—Ema now has 13 step-brothers! Wishing to give her father space, she moves into the Sunrise Residence where her brothers live. As she settles in, Ema realizes she may not experience the loving kinship of a family that she has always longed for, as many of her new brothers exhibit feelings toward Ema that aren't just familial. With each brother desiring Ema's attention in his own way, will she be able to work toward a happy ending for all, or will she choose one brother that has stolen her heart? [Written by MAL Rewrite]","['Sequel (Special) Brothers Conflict: Setsubou', 'Adaptation (Light Novel) Brothers Conflict']",Brothers Conflict,['Romance'],['Reverse Harem'],,
13,"Kinmosa, Golden Mosaic, Kin-iro Mosaic",きんいろモザイク,KINMOZA!,KINMOZA!,KINMOZA!,KINMOZA!,['TV'],12,Finished Airing,"Jul 6, 2013 to Sep 21, 2013",['Summer 2013'],Unknown,"['Genco', 'Media Factory', 'Movic', 'AT-X', 'flying DOG', 'Showgate']",['Sentai Filmworks'],['Studio Gokumi'],['4-koma manga'],,"['CGDCT', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.23,#3196,#1371,"187,033",890,71032,"Shinobu Oomiya once left Japan to participate in a homestay in England. During her time there, she became close friends with Alice Cartelet, the daughter of the family she was living with. However, when it was time for Shinobu to return to Japan, the two were able to express their sorrow despite the language barrier between them. Five years later, now a first year student in high school, Shinobu receives a letter by air mail in a language she does not understand. This letter is penned by none other than Alice, detailing her own homestay in Japan. In fact, Alice will be attending Shinobu's high school and living with her! Alongside their friends Youko Inokuma, Aya Komichi, and Karen Kujou, the five girls attend school together and learn about what their different cultures have to offer, day after day. [Written by MAL Rewrite]","['Sequel (TV) Hello!! Kiniro Mosaic', 'Adaptation (Manga) Kiniro Mosaic']",Kiniro Mosaic,['Slice of Life'],,['Seinen'],
14,,ガッチャマン クラウズ,Gatchaman Crowds,,,,['TV'],12,Finished Airing,"Jul 13, 2013 to Sep 28, 2013",['Summer 2013'],Saturdays at Unknown,"['VAP', 'DAX Production', 'Nippon Television Network']",['Sentai Filmworks'],['Tatsunoko Production'],Original,"['Action', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.28,#2932,#1374,"186,531","1,225",70957,"Hajime Ichinose's ordinary life is in for a change when a transcendent being named J.J Robinson hands her a small book called NOTE—a device which transforms her into one of the Gatchaman, the legendary protectors of Tachikawa City. Stressing that the existence of their group must remain a secret, fellow Gatchaman Sugane Tachibana takes Hajime to their base of operations, where Paiman, the panda-like alien leader of the Gatchaman, reveals their purpose: to eliminate aliens that pose a danger to humanity. These existential threats, called MESS, are becoming increasingly dangerous, destroying everything they touch. Now it's up to the Gatchaman and their new recruit to stop them before the world is engulfed in chaos. [Written by MAL Rewrite]","['Sequel (ONA) Gatchaman Crowds Insight: Inbound', '']",Gatchaman Crowds,,['Super Power'],,
15,Uchoten Kazoku,有頂天家族,The Eccentric Family,The Eccentric Family,,La Famille Excentrique,['TV'],13,Finished Airing,"Jul 7, 2013 to Sep 29, 2013",['Summer 2013'],Sundays at 22:00 (JST),"['Bandai Visual', 'Yomiuri Telecasting', 'Lantis', 'Kids Station', 'Magic Capsule', 'Good Smile Company']","['NIS America, Inc.']",['P.A. Works'],Novel,"['Award Winning', 'Comedy', 'Drama', 'Fantasy']","['Anthropomorphic', 'Mythology', 'Urban Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.82,#984,#1464,"172,160","1,524",55285,"Kyoto has been populated by groups of tanuki and tengu for years, living alongside humans who are oblivious to the existence of these creatures. Yasaburou Shimogamo is the third son of an influential tanuki family who spends his carefree days taking care of an old tengu, observing humans through his ability to shapeshift, and dealing with the mysterious woman named Benten. Behind the peace and tranquility, however, is a painful memory from long ago as Yasaburou's father, head of the tanuki community, was killed and eaten by a group of humans known as the Friday Fellows. Uchouten Kazoku follows the trials and tribulations of the Shimogamo brothers as they struggle to avoid their own grisly demise while coming ever closer to unraveling the truth behind their father's death. [Written by MAL Rewrite]","['Sequel (TV) Uchouten Kazoku 2', 'Adaptation (Manga) Uchouten Kazoku']",Uchouten Kazoku,,,,
16,Kimi no Iru Machi,君のいる町,A Town Where You Live,A Town Where You Live,A Town Where You Live,A Town Where You Live,['TV'],12,Finished Airing,"Jul 13, 2013 to Sep 28, 2013",['Summer 2013'],Saturdays at 23:30 (JST),"['TV Tokyo', 'ZERO-A']",['Nozomi Entertainment'],['Gonzo'],['Manga'],"['Drama', 'Romance']",,20 min. per ep.,R+ - Mild Nudity,6.81,#5283,#1596,"156,212",602,64839,"Haruto Kirishima lived a calm life out in the countryside, away from the fast-paced life of the city. Then Yuzuki Eba appeared in his life out of nowhere, having come from Tokyo to briefly live with her family. Their time together left him enamored with the memories of that short period before she just as abruptly disappeared from his life, and left him full of questions. Kimi no Iru Machi begins some time later, after Haruto moves to Tokyo to live with his sister, in order to pursue a career as a cook. In reality though he wishes to be with Yuzuki. Things don't start good though. When he arrives he is mistaken for a burglar and attacked by his sister's neighbour Mishima Asuka. After the misunderstanding is cleared his feelings begin to waver though. Is Eba, who keeps avoiding him for seemingly no reason, the one for him or is it Asuka?","['Prequel (OVA) Kimi no Iru Machi: Tasogare Kousaten', 'Adaptation (Manga) Kimi no Iru Machi']",Kimi no Iru Machi,,['Love Polygon'],['Shounen'],
17,"Kami Jigen Game Neptune V, Hyperdimension Neptunia Victory",超次元ゲイム ネプテューヌ THE ANIMATION,Hyperdimension Neptunia,,,,['TV'],12,Finished Airing,"Jul 12, 2013 to Sep 27, 2013",['Summer 2013'],Fridays at 22:00 (JST),"['Frontier Works', 'Media Factory', 'Idea Factory', 'Magic Capsule', 'Cinema Sunshine']",['Funimation'],['David Production'],Game,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.89,#4869,#1601,"155,948","1,198",62907,"After years of fruitless war between the four realms of Gamindustri (Planeptune, Lastation, Lowee and Leanbox) over Share energy, the source of their strength based on how much their people have faith in their goddesses, the four CPUs that rule over them have finally signed a friendship treaty. The treaty bans any attempt at claiming Share energy through military force, in hopes of bringing peace and prosperity to their worlds. Yet, a month after the treaty, Neptune, the CPU Goddess of Planeptune, spends her time goofing off and playing games rather than doing her job, leaving her land's Shares plummeting. Choujigen Game Neptune The Animation follows Neptune and her friends' attempts at raising Shares, while dealing with an external threat that could spell the end of both the Goddesses and Gamindustri itself...","['Sequel (OVA) Choujigen Game Neptune The Animation: Yakusoku no Eien - True End', 'Adaptation (Manga) Choujigen Game Neptune: Megami Tsuushin', 'Adaptation (Light Novel) Choujigen Game Neptune: High School', 'Adaptation (Manga) Choujigen Game Neptune: The Animation - Hello New World']",Choujigen Game Neptune The Animation,,['Parody'],,
18,"InuHasa, Dog and Scissors",犬とハサミは使いよう,Dog & Scissors,Dog & Scissors,Dog & Scissors: Inu to Hasami wa Tsukaiyou,Dog & Scissors,['TV'],12,Finished Airing,"Jul 2, 2013 to Sep 17, 2013",['Summer 2013'],Tuesdays at 01:00 (JST),"['Avex Entertainment', 'DLE', 'Enterbrain', 'Studio Mausu', 'Xing']",['Sentai Filmworks'],['Gonzo'],['Light novel'],"['Comedy', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,6.51,#6998,#1614,"153,887",288,71836,"A nonsense comical mystery. Harumi Kazuhito is a high school boy who loves books and is a fan of novelist Natsuno Kirihime. One day, he finds Kirihime writing at a cafe, about to be shot by a robber. He protects her from the attack but is killed instead. Through the supernatural power of a book-worm, he is reincarnated as a dachshund dog. Kazuhito (as a dog) writhes in a painful bookless life, when a sadistic woman carrying a pair of scissors offers him help. She is Kirihime herself. (Source: Dog and Scissors Wiki)","['Adaptation (Manga) Inu to Hasami wa Tsukaiyou', 'Adaptation (Light Novel) Inu to Hasami wa Tsukaiyou']",Inu to Hasami wa Tsukaiyou,,['Reincarnation'],,
19,"Kingdom Hisho Hen, Kingdom: Dai 2 Series",キングダム 第2シリーズ,Kingdom: Season 2,,,Kingdom Saison 2,['TV'],39,Finished Airing,"Jun 8, 2013 to Mar 2, 2014",['Summer 2013'],Sundays at 23:45 (JST),"['NHK', 'NHK Enterprises']",['Funimation'],['Pierrot'],['Manga'],,"['Historical', 'Military']",25 min. per ep.,R - 17+ (violence & profanity),8.30,#285,#1775,"135,628",890,66819,"A year after the devastating battle against the formidable Zhao, the State of Qin has returned its focus to pursuing King Ying Zheng's ambition of conquering the other six states and unifying China. Their next target is Wei, a smaller state which stands as a geographic stepping stone for the sake of conquest. Xin, now a three hundred man commander of the swiftly rising Fei Xin Unit, continues to seek out lofty achievements in order to garner recognition for himself and his soldiers, motivated by those previously lost in battle. In the preliminary battles ahead of Qin's invasion of Wei, Xin finds competition in other young commanders who are of a higher social status than him. Back in Qin, the royal palace faces turmoil as opposing factions begin to make their move against Ying Zheng's regime. With their hands full both abroad and at home, Zheng and Xin must lead the way in this era of unending war, resolved to etch their names in history by creating a unified China. [Written by MAL Rewrite]","['Prequel (TV) Kingdom', 'Sequel (TV) Kingdom 3rd Season', 'Adaptation (Manga) Kingdom', '']",Kingdom 2nd Season,['Action'],,['Seinen'],
