,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,German,Spanish,French,Genre,Demographics
46,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,094","1,330",42201,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,Shin Chan,Shin Chan,,,
47,,マーメイドメロディー ぴちぴちピッチ,Mermaid Melody: Pichi Pichi Pitch,['TV'],52,Finished Airing,"Apr 5, 2003 to Mar 27, 2004",['Spring 2003'],Saturdays at 08:00 (JST),"['TV Aichi', 'Tokyu Agency', ""We've Inc.""]",['ADV Films'],"['Actas', 'Synergy Japan']",['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Romance']",['Music'],['Shoujo'],24 min. per ep.,PG - Children,7.19,#3438,#2453,"85,484",998,43874,"As the mermaid princess of the North Pacific (one of the seven mermaid kingdoms), Lucia entrusts a magical pearl to a boy who falls overboard a ship one night. Lucia must travel to the human world to reclaim her pearl and protect the mermaid kingdoms. Using the power of music Lucia is able to protect herself and the mermaid kingdoms from a growing evil force.","['Sequel (TV) Mermaid Melody Pichi Pichi Pitch Pure', 'Adaptation (Manga) Pichi Pichi Pitch: Mermaid Melody']",Mermaid Melody Pichi Pichi Pitch,,,,,,
48,,ソニック X,Sonic X,['TV'],78,Finished Airing,"Apr 6, 2003 to Mar 28, 2004",['Spring 2003'],Sundays at 08:30 (JST),['TV Tokyo'],"['4Kids Entertainment', 'Discotek Media']",['TMS Entertainment'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Anthropomorphic'],['Kids'],24 min. per ep.,PG - Children,6.61,#6436,#2448,"85,710",698,50745,"Sonic the Hedgehog's typical irreverence leads to the coveted chaos emeralds being caught in the crossfire and rendered unstable just before activation. The resulting chaos control engulfs everything for miles around Dr. Eggman's base, and, with scrambled input, nobody can predict the outcome. Isolated from his friends and enemies alike, Sonic awakes in a strange world: an unknown city surrounded by mysterious people. He realizes he has been warped across the universe to an entirely different planet—Earth. As he rushes to escape the equally confused authorities, Sonic finds himself falling head-first into the pool of the illustrious Thorndyke family. Thankfully, Christopher, Thonrdykes' son, saves Sonic and offers protection from a society that mistakenly believes him to be hostile. Sheltered by the family, Sonic resolves to regroup with his friends, save this new world from the threat he brought to them, and find a way home. [Written by MAL Rewrite]",[],Sonic X,,,,,,
49,,D.C.～ダ・カーポ～,D.C.~Da Capo~,['TV'],26,Finished Airing,"Jul 5, 2003 to Dec 27, 2003",['Summer 2003'],Saturdays at Unknown,"['Lantis', 'King Records']","None found,","['feel.', 'Zexcs']",Visual novel,"['Drama', 'Romance']",['Harem'],,23 min. per ep.,PG-13 - Teens 13 or older,6.71,#5828,#2593,"77,842",198,31340,"Hatsunejima abounds in mysteries—one of which is the town's unwithering cherry trees that are said to grant the most genuine wishes. There are also rumors of people possessing supernatural powers, like Junichi Asakura, who can see other people's dreams and create sweets out of nothing. Alongside his sister Nemu, he enjoys living in peace with his friends at Kazami Academy but chooses to shroud his identity in secrecy. His tranquil school life comes to a halt when he finds out that his childhood friend Sakura Yoshino has returned from America after six years. She is there for one purpose: to fulfill the promises she made long ago with Junichi. Little does anyone know, however, that Sakura's appearance is bound to change everyone's lives—for better or worse. [Written by MAL Rewrite]","['Sequel (TV) D.C.S.S: Da Capo Second Season', 'Adaptation (Manga) Da Capo']",D.C.: Da Capo,,,,,,
50,,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Anthropomorphic'],,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,030",669,39827,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,Doraemon,,,"['Kids', 'Shounen']"
51,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",とっとこハム太郎,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",['Anthropomorphic'],['Kids'],25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,641",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,,Hamtaro,Hamtaro,Hamtaro,,
52,"Beyblade Revolution, Beyblade GRevolution",爆転シュート　ベイブレードＧレボリューション,Beyblade G Revolution,['TV'],52,Finished Airing,"Jan 6, 2003 to Dec 29, 2003",['Winter 2003'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'd-rights']","['Nelvana', 'Discotek Media']",['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,['Shounen'],20 min. per ep.,PG - Children,6.97,#4524,#3279,"51,171",233,31500,"After keeping their BitBeasts out of harm's way, a new world championship tournament is announced, but the defending champions can't all be on the same team. Their friendship will be tested and tried as each Bladebreaker goes on a quest to prove why they are the best Beyblader around. Tyson, Max, Ray, Kai, and newcomer Daichi, must keep up their winning ways...even if they must face each other. But, after the tournament is over, what awaits them is an old foe, Boris, taking over the BBA and transforming it into BEGA, the Beyblade Entertainment Global Association. To save Beybladers of the entire world from BEGA's corruption, the Bladebreakers must reunite once again... (Source: ANN)","['Prequel (TV) Bakuten Shoot Beyblade 2002', '']",Bakuten Shoot Beyblade G Revolution,,,,,,
53,Detective Academy Q,探偵学園Q,Detective School Q,['TV'],45,Finished Airing,"Apr 15, 2003 to Mar 20, 2004",['Spring 2003'],Unknown,"['Group TAC', 'Kodansha']","None found,",['Pierrot'],['Manga'],"['Comedy', 'Drama', 'Mystery']",['Detective'],['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.73,#1206,#3912,"36,761",265,14895,"Kyuu is your average boy with a knack for logic and reasoning. Desiring to become a detective, he finds out about the existence of the Dan Detective School (DDS); a famed school where students are allowed to bear arms. Together with Megu, a girl with photographic memory, the martial arts master Kinta, the genius programmer Kazuma and the mysterious Ryuu, Kyuu tackles many well planned out crimes, always seeking the truth.","['Adaptation (Manga) Tantei Gakuen Q', '']",Tantei Gakuen Q,,,,,,
54,,ウルトラマニアック,Ultra Maniac,['TV'],26,Finished Airing,"May 20, 2003 to Nov 11, 2003",['Spring 2003'],Tuesdays at 22:00 (JST),['WAO World'],"['Discotek Media', 'Geneon Entertainment USA']",['Ashi Productions'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",['School'],['Shoujo'],24 min. per ep.,G - All Ages,7.15,#3629,#3995,"35,181",142,14455,"Fantasies and miracles never interested Ayu Tateishi, a popular second-year student at her middle school. She was content with preserving her image of being cool, calm, and collected—all to catch the eye of her crush, Tetsushi Kaji. Ayu's carefree youthful days are interrupted by the appearance of Nina Sakura, a new transfer student who turns out to be a witch. As the only person who knows about Nina's ability to cast spells using a mini-computer, Ayu is forced to help Nina with her mission to find the five Holy Stones, qualifying her to marry the prince of the Magic Kingdom. Unfortunately, Nina's ineptitude with magic and her habit of meddling in Ayu's personal life cause nothing but trouble for the two of them as Ayu toils to maintain her good reputation and Nina struggles to hide her secret from the discerning eye of Hiroki Tsujiai, Tetsushi's best friend and an avid fan of manga. And when Nina's search for the five Holy Stones brings allies and challengers from the Magic Kingdom, Ayu is dragged into a world she never even dreamed was possible. [Written by MAL Rewrite]","['Adaptation (Manga) Ultra Maniac', '']",Ultra Maniac,,,,,,
55,,明日のナージャ,Tomorrow's Nadja,['TV'],50,Finished Airing,"Feb 2, 2003 to Jan 25, 2004",['Winter 2003'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,"['Adventure', 'Drama', 'Romance']",['Historical'],,24 min. per ep.,G - All Ages,7.59,#1598,#4012,"34,853",288,12181,"This story takes place about one hundred years ago. Nadja is a bright, cheerful girl who was raised in an orphanage near London, England. Nadja was entrusted to the orphanage when she was a baby. So she thought her father and mother were dead. But before her thirteenth birthday, she found out that her mother might be alive.. Nadja sets out on a journey to find her mother! With all of Europe as the stage, Nadja's exciting adventure begins! (Source: AniDB)","['Adaptation (Manga) Ashita no Nadja', '']",Ashita no Nadja,,,Nadja Applefields,,,
56,"Pokemon Housoukyoku, Shuukan Pokemon Housoukyoku, Pokemon Hoso, Pocket Monsters Housoukyoku",ポケットモンスター サイドストーリー,Pokémon Chronicles,['TV'],16,Finished Airing,"Dec 3, 2002 to Sep 28, 2004",['Winter 2003'],Tuesdays at 19:00 (JST),['Shogakukan Productions'],['4Kids Entertainment'],['OLM'],Game,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],20 min. per ep.,PG - Children,6.89,#4904,#4080,"33,853",15,16956,"While Satoshi continues on his quest to become the best, many others will experience their own unique journey through the Pokémon world—researchers, professors, Gym Leaders, Team Rocket members, Trainers, and even Pokémon. Some are familiar faces and others are strangers at first, but what they all have in common is a love of adventure—especially when it involves Pokémon! (Source: Official site)",[],Pokemon Side Stories,,,Pokémon Chronicles,Pokémon Chronicles,,
57,"Astroboy, Astro Boy (2003)",アストロボーイ・鉄腕アトム,Astro Boy (2003),['TV'],50,Finished Airing,"Apr 6, 2003 to Mar 28, 2004",['Spring 2003'],Unknown,"['Sony Pictures Entertainment', 'Dentsu', 'Mill Creek Entertainment']","None found,",['Tezuka Productions'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",['Super Power'],['Shounen'],24 min. per ep.,G - All Ages,7.08,#3984,#4560,"26,784",169,12177,"At the Ministry of Science, fervent Professor Ochanomizu alongside his coworkers strive to reactivate Atom—the first robot with a human heart. Atom is the masterpiece of enigmatic Professor Umatarou Tenma, who built the android to replace his deceased son Tobio. However, while Tenma inexplicably shut down his brainchild and disappeared, Ochanomizu refuses to let such a major breakthrough in science go to waste. Despite having the appearance of a nine-year-old, Atom not only possesses incredible strength and intelligence, but he is also endowed with a remarkable conscience and compassion that rivals humans. Sadly, the mechanical boy soon faces rejection and learns that not everyone is as welcoming as Ochanomizu. Although automatons have integrated into society, they are accepted only as tools and even seen as an upcoming threat to mankind's dominion. Dreaming of a world where people and robots can prosper together, Atom dedicates his existence to protecting the lives of both and inspiring them to form genuine bonds. [Written by MAL Rewrite]","['Prequel (TV) Atom: The Beginning', 'Adaptation (Manga) Tetsuwan Atom', 'Adaptation (Manga) Astro Boy: Tetsuwan Atom', '']",Astro Boy: Tetsuwan Atom,,,Astro Boy,Astro Boy,,
58,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",['School'],['Shoujo'],21 min. per ep.,G - All Ages,7.30,#2839,#5032,"21,100",137,9263,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,,,,Mirmo!,,
59,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,333",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"['Adult Cast', 'Detective', 'Gag Humor']",,Kochikame,,['Comedy'],
60,Transformers Legend of Micron,超ロボット生命体トランスフォーマー マイクロン伝説,Transformers Armada,['TV'],52,Finished Airing,"Jan 10, 2003 to Dec 26, 2003",['Winter 2003'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Columbia', 'TV Tokyo Music']",['Hasbro'],['Actas'],Other,"['Action', 'Sci-Fi']",['Mecha'],,24 min. per ep.,PG-13 - Teens 13 or older,6.83,#5182,#6513,"10,941",54,5947,"On the mechanical planet of Cybertron live super robotic organisms known as Transformers. There, mainly consisting of convoys, the Cybertron army, and their old enemy Destron fell into conflict to gain hold of a new power to join their side. A new breed of Transformers known as the Microns. But, grieving over the battle the Microns set off to the other end of the universe. 4 million years later, on Earth, 3 young children activated a mysterious panel inside a cave. And somehow, that was the dormant Micron...","['Sequel (TV) Transformers Superlink', '']",Chou Robot Seimeitai Transformers Micron Densetsu,,Transformers Armada,,Transformers Armada,,
61,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9129,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,
62,DiGi Charat Nyo,デ・ジ・キャラットにょ,,['TV'],104,Finished Airing,"Apr 6, 2003 to Mar 28, 2004",['Spring 2003'],Sundays at 09:30 (JST),"['TV Osaka', 'Broccoli']",['Bandai Entertainment'],['Madhouse'],Unknown,"['Comedy', 'Fantasy', 'Sci-Fi']",,,12 min. per ep.,G - All Ages,7.05,#4132,#7182,"8,651",50,3085,"Di Gi Charat (a.k.a. Dejiko) - along with Petit Charat (a.k.a. Puchiko) and Gema - travels to Earth as part of her training to become a full-fledged princess. They crash on a small town in Japan, where they meet the Omocha brothers (who spend most of their time thinking how cute Puchiko is) and Mr. & Mrs. Ankoro (an elderly couple that makes Japanese sweets). (Source: ANN)",[],Di Gi Charat Nyo,,,,,,
63,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4018,#7395,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,El Ninja Boy Rantaró,,['Comedy'],
64,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7910,"6,780",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,Chibi Maruko-chan,,['Comedy'],
65,Atashinchi,あたしンち,My Family,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,,25 min. per ep.,G - All Ages,7.38,#2439,#8236,"6,120",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,,,,,,
66,"Robot-chan Cubix, Robots for Everyone, Lobojjang Kyubigseu",로보짱 큐빅스,Cubix,['TV'],26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",['Summer 2001'],Unknown,['CinePix'],['4Kids Entertainment'],['Xebec'],Unknown,,['Mecha'],,23 min. per ep.,PG - Children,5.38,#12487,#8845,"5,155",8,2614,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! (Source: AniDB)",[],Saiko Robot Kombock,,,,Cubix: Robots pour Tous,['Sci-Fi'],
67,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6587,#9190,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,,,
68,,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,,
69,"Machine Robo Rescue, Sortie!",出撃！マシンロボレスキュー,,['TV'],53,Finished Airing,"Jan 8, 2003 to Jan 3, 2004",['Winter 2003'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Bandai Visual', 'Lantis']","None found,",['Sunrise'],Unknown,"['Action', 'Sci-Fi']",['Mecha'],,23 min. per ep.,PG - Children,6.86,#5011,#11035,"2,598",9,1168,"In the future, age is not a factor to determine whether someone can perform a certain task or not, but special talent and training. An organization, Machine Robo Rescue (MRR), was established for robots and children to become partner and rescue people from danger. Then 12 children with various abilities were selected and introduced as part of this program: Robo Rescue! Meet Oozora Taiyou, one of the children who were chosen as a part of MRR program. After being late on his first day of training, he went to perform a hot rescue with JETROBO. However, a mysterious Robot from mysterious organization, ""The Star""(?), appeared before MRR team to interfere with the rescue. What are the motives of the mysterious organization? And what are their goals? Life as one of the children chosen as part of MRR has started for Oozora Taiyou. Bumpy and hard training is just ahead for MRR team in order to protect many people's life! (Source: AnimeNfo)",[],Shutsugeki! Machine Robo Rescue,,,,,,
70,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7746,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,
71,,クラッシュギアNitro,,['TV'],50,Finished Airing,"Feb 2, 2003 to Jan 25, 2004",['Winter 2003'],Unknown,"None found,","None found,",['Sunrise'],Unknown,,['Racing'],,23 min. per ep.,PG-13 - Teens 13 or older,6.14,#9151,#11641,"2,175",4,1009,"Story about a young boy name: Mahha Masaru, who dreamt of having a crush gear fight with the others even though he doesn't have his very own crush gear! One day, a sudden chance came to him and he got the legendary crush gear which look similer to the one that was used by Kouya Marino and finally he can go and paticipate in his own crush gear fight with his friends and foe!!","['Adaptation (Manga) Crush Gear N', '']",Crush Gear Nitro,,,,,['Sports'],
72,"Croquette!, Corokke!",コロッケ！,Croket!,['TV'],104,Finished Airing,"Apr 7, 2003 to Mar 27, 2005",['Spring 2003'],Mondays at 18:30 (JST),['TV Tokyo'],"None found,",['OLM'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],20 min. per ep.,G - All Ages,6.88,#4949,#12563,"1,618",4,614,"The ""Forbidden Treasure"" is an extraordinary artefact who can grant any wishes. The people seeking it are called the Bankers, and our hero, Corokke, is one of them.","['Adaptation (Manga) Croket!', '']",Croket!,,,,,,
73,,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],['Kids'],23 min. per ep.,G - All Ages,5.92,#10325,#13252,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,,,
74,"Plusters, Journey of Adventure: PLUSTERWORLD",冒険遊記プラスターワールド,Adventure Hero Pluster World,['TV'],52,Finished Airing,"Apr 3, 2003 to Mar 25, 2004",['Spring 2003'],Thursdays at 18:00 (JST),['TV Tokyo'],"None found,","['Actas', ""Brain's Base""]",Original,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,G - All Ages,6.23,#8667,#13495,"1,235",4,312,"According to the legend, the once peaceful ""Pluster World"" plunged into chaos and darkness due to the manifestation of the evil MINASUTA. At that time, selected Plusters were combined with humans, and successfully sealed away the evil MINASUTA. It was then believed that the peace which had returned would continue forever. Greenery and trees filled the land, flowers bloomed everywhere, living creatures soar in the blue sky, run on the land, and swim in the seas. However, this peacefulness was once again lost due to reappearance of the MINASUTA... Now, the fusion of Plusters and Humans once again opens the door for a hot adventure! (Source: aniDB)",[],Bouken Yuuki Pluster World,,,,,,
75,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,
