,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Themes,Demographic,German,Genre,Demographics
47,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",とっとこハム太郎,Hamtaro,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",['Anthropomorphic'],25 min. per ep.,G - All Ages,7.01,#4329,#2951,"62,643",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,Hamtaro,,['Kids'],Hamtaro,,
48,"Zoids New Century/Zero, Zoids: New Century Zero",ゾイド新世紀／ゼロ,Zoids: New Century,,['TV'],26,Finished Airing,"Jan 6, 2001 to Jun 30, 2001",['Winter 2001'],Unknown,['Shogakukan Productions'],['VIZ Media'],['Xebec'],Unknown,"['Adventure', 'Comedy', 'Sci-Fi', 'Sports']",['Mecha'],24 min. per ep.,PG - Children,7.32,#2760,#4286,"30,345",158,16508,"Zoids—powerful animal-shaped combat mechs—are no longer used in warfare, but in organized sporting competitions. The Blitz Team, a group of pilots struggling to carve out a niche for themselves in the Zoid battling leagues, experience a stroke of luck when Bit Cloud, a vagrant junk dealer, wanders into their midst and proves himself capable of piloting the temperamental Liger Zero, a Zoid that refuses to let anyone else into its cockpit. Led by Bit and the Liger, the Blitz Team steadily make their way to the top—but along the way they attract the unwelcome attention of the Backdraft Group, an organization of Zoid pilots that operates outside the laws set down by the Zoid Battle Commission. The Backdraft want powerful Zoids to add to their ranks, and they have their eye on the Liger Zero...","['Adaptation (Manga) Zoids Shinseiki/Zero', '']",Zoids Shinseiki/Zero,,,,,,
49,"Da!Da!Da!, UFO Baby",だぁ! だぁ! だぁ!,,,['TV'],78,Finished Airing,"Mar 28, 2000 to Feb 26, 2002",['Spring 2000'],Tuesdays at 18:00 (JST),"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Sci-Fi']",['Childcare'],25 min. per ep.,G - All Ages,7.63,#1483,#4553,"26,883",253,12282,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. (Source: ANN)","['Adaptation (Manga) Daa! Daa! Daa!', '']",Daa! Daa! Daa!,,,['Shoujo'],,,
50,More! Useless Witch Doremi,も〜っと！おジャ魔女どれみ,,,['TV'],50,Finished Airing,"Feb 4, 2001 to Jan 27, 2002",['Winter 2001'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,,['Mahou Shoujo'],24 min. per ep.,G - All Ages,7.46,#2124,#4822,"23,270",157,11276,"After losing their magical abilities, the girls once again become witches. However, now they have to go through tests from the Witches of the Witch World. They also meet a new member from New York, Momoko.","['Prequel (TV) Ojamajo Doremi Sharp', 'Sequel (TV) Ojamajo Doremi Dokkaan!']",Motto! Ojamajo Doremi,,,,,['Comedy'],
51,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,Kochikame,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,,25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,"['Adult Cast', 'Detective', 'Gag Humor']",['Shounen'],,['Comedy'],
52,,POPEE the ぱフォーマー,Popee the Clown,,['TV'],39,Finished Airing,"Jan 3, 2000 to Dec 28, 2001",['Winter 2000'],Mondays at 20:53 (JST),"['Kids Station', 'Nippon Columbia']","None found,",['Zuiyo'],Original,"['Avant Garde', 'Comedy']",['Gag Humor'],4 min. per ep.,R - 17+ (violence & profanity),7.27,#2980,#6258,"12,007",333,5261,"Somewhere in the desert lies the Wolf Zirkus: a strange circus where Popee, a clown in a pink rabbit jumpsuit, shares the stage with Kedamono, a purple creature who wears a mask. Together, they juggle the whims of performing, practicing their acts, and poking fun at each other. In a world where anything seems possible, there is no telling what will happen next during this eccentric spectacle. [Written by MAL Rewrite]",[],Popee the Performer,,,,,,
53,,サザエさん,Mrs. Sazae,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,
54,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,El Ninja Boy Rantaró,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4020,#7395,"8,015",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,['Kids'],,['Comedy'],
55,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,Chibi Maruko-chan,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,['Shoujo'],,['Comedy'],
56,,ドッとKONIちゃん,.Koni-chan,,['TV'],26,Finished Airing,"Nov 26, 2000 to May 29, 2001",['Fall 2000'],Sundays at 17:00 (JST),"['Genco', 'Animax']","None found,",['Shaft'],Original,,,25 min. per ep.,PG-13 - Teens 13 or older,7.28,#2923,#8587,"5,587",22,2131,"Koni (whose character is based on the famous Sumo-wrestler) and his gang have lots of crazy and incoherent adventures in their town. From fighting with their ""Lovely-Teacher"" and dealing with Samurai fish, to confirming if ""The Armored-Guy's"" wife has an affair and saving the world, Koni, High, Moro, Nari and Afro, the Afro-dog, do the craziest and funniest things to have fun. (Source: ANN)",[],Dotto Koni-chan,,,,,['Comedy'],
57,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,['Kids'],,,
58,"GEAR Senshi Dendoh, Guard Earth and Advanced Reconnaissance Fighter Dendo, GEAR Senshi Dendou",GEAR戦士 電童,,,['TV'],38,Finished Airing,"Oct 4, 2000 to Jun 27, 2001",['Fall 2000'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","None found,",['Sunrise'],Original,"['Action', 'Adventure', 'Sci-Fi']",,23 min. per ep.,PG - Children,7.15,#3651,#9321,"4,398",18,1653,"The story takes place in the future where war machines from evil mechanical alien empire Garufa finally reaches Earth. In order to protect earth, an Earth defense organization called GEAR (Guard Earth and Advanced Reconnaissance) is formed. GEAR has an ultimate weapon in a form of war mecha, GEAR Fighter Dendoh, which is piloted by two elementary school students, namely Kusanagi Hokuto and Izumo Ginga. Can the friendship between Hokuto and Ginga unleashed the full potential power of Dendoh in order to fight Garufa? (Source: AniDB)",[],Gear Fighter Dendoh,,"['Mecha', 'School', 'Space']",,,,
59,,真・女神転生 デビチル,,,['TV'],50,Finished Airing,"Oct 7, 2000 to Sep 29, 2001",['Fall 2000'],Saturdays at 07:30 (JST),"None found,","None found,",['Tokyo Movie'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']",,23 min. per ep.,PG - Children,6.50,#7039,#9979,"3,574",2,931,A series based off of the Shin Megami Tensei: Devil Children franchise.,"['Sequel (TV) Shin Megami Tensei Devil Children: Light & Dark', 'Adaptation (Manga) Shin Megami Tensei Devil Children']",Shin Megami Tensei Devil Children,,"['Mythology', 'Video Game']",['Kids'],,,
60,,どーもくん,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,['Kids'],,,
61,"Clockwork Fighters: Hiwou's War, Hiwou's Windup Dolls Military Commentaries",機巧奇傳　ヒヲウ戦記,Hiwou War Chronicles,,['TV'],26,Finished Airing,"Oct 24, 2000 to May 1, 2001",['Fall 2000'],Tuesdays at 18:30 (JST),"['VAP', 'BeSTACK', 'Victor Entertainment', 'NHK Enterprises']",['Bandai Entertainment'],['Bones'],Original,"['Action', 'Adventure']",,25 min. per ep.,PG-13 - Teens 13 or older,6.67,#6056,#10919,"2,693",3,955,"8 years ago, Western Civilization visited 19th century Japan. Mechanized dolls and new steam-powered creations began spreading throughout the country. The Wind Gang is a group of doll and steam users who believe in using their creations to violently bring about a new Industrial Era. They attack and destroy the peaceful village of a young doll user named Hiwou one day. Hiwou and his friends escape with a giant doll named Homura. Hiwou now wants to find his father, so that he can help defeat the Wind Gang, and bring peace back to Japan. (Source: ANN)","['Adaptation (Manga) Karakuri Kiden: Hiwou Senki', '']",Karakuri Kiden: Hiwou Senki,,"['Historical', 'Mecha']",,,,
62,,おじゃる丸,Prince Mackaroo,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7745,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,['Kids'],,,
63,Mighty Cat Masked Niyander,ニャニがニャンだー ニャンダーかめん,,,['TV'],83,Finished Airing,"Feb 6, 2000 to Sep 30, 2001",['Winter 2000'],Sundays at 07:00 (JST),"['Nagoya Broadcasting Network', 'Tokyu Agency']","None found,",['Sunrise'],Picture book,,,25 min. per ep.,PG - Children,6.85,#5076,#12777,"1,510",9,715,"One day a normal cat boy got a power to transform into a super ""kamen cat."" Whenever he heard people saying ""help"" he would dash right over there and help them fight against enemies.",[],Nyani ga Nyandaa Nyandaa Kamen,,,['Kids'],,['Comedy'],
64,,트랙시티,Track City,,['TV'],26,Finished Airing,"Jan 5, 2000 to May 30, 2002",['Winter 2000'],Unknown,"None found,","None found,",['SBS TV Production'],Unknown,,['Racing'],24 min. per ep.,PG - Children,5.94,#10244,#12842,"1,484",1,546,"Jimmy was a typical boy who liked to play computer games. One day he was playing a game called 'Track City' when suddenly he got transported into the game world! Once he regained consciousness, a woman who apparently is the mayoress of the city explains to him that the world is threaten by a powerful malign virus and her allies and their only hope is to ask for the help of the ""Legendary racer"", the best player of 'Track City"". Things get complicated when Jimmy learns that the game made a mistake and confused him with the Legendary racer! Will Jimmy learn the necessary skills to defeat the viruses that threaten the world? Or will he be erased by the 'big head', the heavenly punisher that annihilates those who cannot achieve victory?",[],Track City,,,,,['Action'],
65,,しましまとらのしまじろう,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],23 min. per ep.,G - All Ages,5.92,#10325,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Kids'],,,
66,,親子クラブ,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,
67,"Weekly! Story Land, Shuukan! Story Land",週刊ストーリーランド,,,['TV'],56,Finished Airing,"Oct 14, 1999 to Sep 13, 2001",['Fall 1999'],Thursdays at 20:00 (JST),['Nippon Television Network'],"None found,","['Nippon Animation', 'VAP', 'Satelight', 'Shin-Ei Animation', 'Tokyo Movie']",Original,"['Comedy', 'Drama', 'Slice of Life']",,25 min. per ep.,PG-13 - Teens 13 or older,6.49,#7131,#13970,"1,086",0,158,"This was an anthology program containing several different anime each week along with some non-animated segments. Several of the animated films were short series including: Nazo no Rouba [謎の老婆] (tvss), Meibugyou Bun-san [名奉行・文さん], Jo Keibu Jinguuji Youko [女警部・神宮寺葉子], Remon Suzumori's Soudanjo [鈴森なんでも相談所]. (Source: animated-divots.net)",[],Shuukan Storyland,,,['Seinen'],,,
68,,蓝猫淘气3000问,3000 Whys Of Blue Cat,,['TV'],3057,Finished Airing,"Oct 8, 1999 to Aug 2001",['Fall 1999'],Not scheduled once per week,['Beijing Sunchime Happy Culture Company'],"None found,","None found,",Original,"['Adventure', 'Comedy']",,11 min. per ep.,PG - Children,6.05,#9678,#14603,918,0,228,"Adventures include going into deep sea and accompanying dinosaurs. The shows are mainly based on science or science fiction. It has been popular in China, one reason might be the fact that many of the Chinese youth have been sending questions to the studio, and the studio answers them with one of Lan Mao's adventures. Lan Mao is sometimes impulsive, and in the end gets nothing but trouble. (Source: Wikipedia)",[],Lan Mao,,,,,,
69,,ベイビーフィリックス,Baby Felix,,['TV'],65,Finished Airing,"Oct 8, 2000 to Jun 29, 2001",['Fall 2000'],Sundays at 17:50 (JST),['NHK'],"None found,",['Radix'],Unknown,,['Anthropomorphic'],4 min. per ep.,G - All Ages,5.51,#12076,#14761,877,1,234,A young Felix the Cat and his baby pals find fun and mischief along their travels.,[],Baby Felix,,,['Kids'],,['Comedy'],
70,,ぐるぐるタウン　はなまるくん,,La Pandilla de Hanamaru,['TV'],101,Finished Airing,"Oct 3, 1999 to Sep 29, 2001",['Fall 1999'],Sundays at 09:30 (JST),"None found,","None found,",['Pierrot'],Original,,['Anthropomorphic'],25 min. per ep.,G - All Ages,6.08,#9516,#16260,592,1,130,Guruguru Town Hanamaru-kun follows the life of some children in a fictional town.,[],Guruguru Town Hanamaru-kun,,,['Kids'],,['Comedy'],
71,,날아라 슈퍼보드,The Flying Superboard,,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,22 min. per ep.,PG - Children,[],#20601,#16833,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,,
72,Sushi Seal,すしあざらし,,,['TV'],30,Finished Airing,"Jan 20, 2001 to Sep 29, 2001",['Winter 2001'],Saturdays at 16:55 (JST),"None found,","None found,",['M.S.C'],Picture book,,,2 min. per ep.,PG - Children,[],#14647,#17833,434,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sushi Azarashi,,,,,['Comedy'],
73,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",だんご3兄弟あっという間劇場,,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,['Music'],3 min. per ep.,G - All Ages,[],#17566,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,,,['Kids'],,,
74,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",やんちゃるモンちゃ,,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,1 min. per ep.,PG - Children,[],#15990,#19000,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,['Kids'],,,
75,,デジタル所さん,Mr.Digital Tokoro,,['TV'],245,Finished Airing,"Oct 2, 2000 to Sep 28, 2001",['Fall 2000'],Not scheduled once per week,"['VAP', 'Nippon Television Network']","None found,",['Polygon Pictures'],Original,,,3 min. per ep.,G - All Ages,[],#17648,#19774,299,0,,CGI shorts about famous Japanese comedian George Tokoro.,[],Digital Tokoro-san,,,,,['Comedy'],
76,"Ha Pi Fuzi, Happy Father and Son",哈皮父子,Happy Father Happy Son,,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,6 min. per ep.,PG - Children,[],#18441,#22582,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,,,['Kids'],,,
77,,검정 고무신,Black Rubber Shoes,,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,,11 min. per ep.,PG - Children,[],#18180,#23238,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,['Kids'],,,
78,,무지개 요정 통통,,,['TV'],19,Finished Airing,"Feb 23, 2001 to Jun 2002",['Winter 2001'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,[],#20473,#23510,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mujigae Yojeong Tongtong,,,['Kids'],,,
79,Ajimu: Beach Story,あじむ ～海岸物語～,,,['ONA'],4,Finished Airing,"Jun 15, 2001 to Feb 24, 2002",,,['Toho Music'],"None found,",['Actas'],Original,"['Comedy', 'Drama', 'Romance']",,28 min. per ep.,PG-13 - Teens 13 or older,6.31,#8216,#5733,"15,136",21,6332,"Seventeen year old Nakaido Hirosuke is just your average high school student. One morning as he arrives at the train station on his way to school, he catches sight of a beautiful girl, Ajimu Yasuna, and immediately falls for her. The two of them get to know each other and become friends, but he can't confess his feelings and she is unsure of hers. As events and other people present obstacles for the potential couple to clear, their relationship begins to develop and their feelings become clear. (Source: ANN)",[],Ajimu: Kaigan Monogatari,,"['Music', 'School']",,,,
80,,キミとボク,Everlasting Heart,,['ONA'],1,Finished Airing,"May 14, 2001",,,['Universal Radio Studio'],"None found,","None found,",Original,"['Drama', 'Slice of Life']",['Pets'],14 min.,G - All Ages,6.83,#5198,#10570,"2,991",11,611,"Kimi to Boku (You and I) is the story of an aspiring mangaka and his cat, told from the cat's perspective. It follows the friendship between the cat and the young man from when they first meet up to when they must part.",[],Kimi to Boku,,,,,,
81,Anime Version Little Nicky,アニメ版リトル★ニッキー〜へなちょこ悪魔ニッキーのＮＹ体験記〜,,,['ONA'],6,Finished Airing,"Apr 9, 2001 to May 8, 2001",,,"None found,","None found,",['Creators Dot Com'],Other,,,2 min. per ep.,PG-13 - Teens 13 or older,[],#16593,#19157,337,0,,"An anime tie-in to the Adam Sandler film Little Nicky that expands slightly on the story, showing the demonic Nicky exploring New York.",[],Anime-ban Little★Nicky: Henachoko Akuma Nicky no NY Taikenki,,,,,['Comedy'],
82,JoJo's Bizarre Adventure (2000),ジョジョの奇妙な冒険 ADVENTURE,JoJo's Bizarre Adventure (OVA),,['OVA'],7,Finished Airing,"May 25, 2000 to Jan 25, 2002",,,"['KlockWorx', 'BEAM Entertainment']","None found,",['APPP'],['Manga'],"['Action', 'Adventure', 'Drama']",,28 min. per ep.,R+ - Mild Nudity,7.24,#3126,#2459,"85,382",378,37681,"Kujo Jotaro is a normal, popular Japanese high-schooler, until he thinks that he is possessed by a spirit, and locks himself in prison. After seeing his grandfather, Joseph Joestar, and fighting Joseph's friend Muhammad Abdul, Jotaro learns that the ""Spirit"" is actually Star Platinum, his Stand, or fighting energy given a semi-solid form. Later, his mother gains a Stand, and becomes sick. Jotaro learns that it is because the vampire Dio Brando has been revived 100 years after his defeat to Jonathan Joestar, Jotaro's great-great-grandfather. Jotaro decides to join Joseph and Abdul in a trip to Egypt to defeat Dio once and for all.","['Sequel (OVA) JoJo no Kimyou na Bouken', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 3: Stardust Crusaders']",JoJo no Kimyou na Bouken: Adventure,,"['Super Power', 'Vampire']",['Shounen'],,,
83,"ROD OVA, Read or Die OVA",R.O.D リード・オア・ダイ,R.O.D - Read or Die,R.O.D - Read or Die,['OVA'],3,Finished Airing,"May 23, 2001 to Feb 6, 2002",,,"['Aniplex', 'SME Visual Works']","['Aniplex of America', 'Manga Entertainment']",['Studio Deen'],['Light novel'],"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",,31 min. per ep.,PG-13 - Teens 13 or older,7.61,#1570,#2736,"71,877",356,34698,"Yomiko Readman is a lovable, near-sighted bibliomaniac working as a substitute teacher at a Japanese high school. Her real identity, however, is that of a secret agent for the British Library Special Operations Division. Her codename: ""The Paper."" The moniker denotes her supernatural ability to freely manipulate paper into any object she can imagine, including tools and weapons in her fight against the powerful and self-serving IJIN (Great Historical Figure) Army! Along with her partner, the enigmatic ""Ms. Deep,"" Yomiko travels across the world in attempt to solve the mystery behind the reincarnation of historical figures and their attempt to control the world. (Source: RightStuf)","['Sequel (TV) R.O.D: The TV', 'Adaptation (Manga) R.O.D: Read or Die']",R.O.D: Read or Die,R.O.D - Read or Die,"['Adult Cast', 'Historical']",,R.O.D - Read or Die,,
84,Alien Nine,エイリアン9,,,['OVA'],4,Finished Airing,"Jun 25, 2001 to Feb 25, 2002",,,"['Bandai Visual', 'Genco', 'MediaNet', 'AT-X', 'Nippon Columbia']",['Central Park Media'],['J.C.Staff'],['Manga'],"['Horror', 'Sci-Fi']",,28 min. per ep.,R - 17+ (violence & profanity),6.76,#5548,#3634,"42,806",587,18062,"Soon after entering middle school, Yuri Otani is coerced into joining the ""Alien Party,"" a single-minded group with one goal: capture any alien attempting to enter school grounds. Terrified of aliens her entire life, Otani is anything but thrilled, and to make matters worse, her kit includes a ""Borg""—an alien-like creature tasked with ensuring her safety. Despite this, she finds solace in her two partners: the independent and reliable Kumi Kawamura, and the smart and energetic Kasumi Tomine. As the Alien Party works to fend off extraterrestrial threats, will their roller blades and lacrosse sticks be enough to overcome the dire challenges ahead, or will they succumb to fear and suffer the grim consequences of defeat? [Written by MAL Rewrite]","['Adaptation (Manga) Alien 9', '']",Alien 9,,"['Psychological', 'School']",,,,
