,Japanese,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,English,Theme,Genre,German,Spanish,French,Demographics
32,ラブライブ! 虹ヶ咲学園スクールアイドル同好会,['TV'],13,Finished Airing,"Apr 2, 2022 to Jun 25, 2022",['Spring 2022'],Saturdays at 22:00 (JST),"['Lantis', 'Bushiroad', 'Sunrise Music', 'Kadokawa', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']","None found,",['Sunrise'],Other,,"['Idols (Female)', 'Music', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,7.66,#1384,#3685,"41,482",444,16574,"The Nijigasaki High School Idol Club continues to gain popularity as its reputation grows, even catching the attention of aspiring school idol Zhong Lanzhu. However, when Lanzhu visits the club and interacts with its members, she realizes that their ideals differ from her own. This sparks the beginning of a rivalry between Lanzhu and the club members, as she challenges them to see who can captivate a larger audience at the upcoming School Idol Festival. Thus, the school idol club starts a new chapter in its quest to achieve idol stardom. Being more united than ever before, the girls continue to practice for the festival—wanting to show Lanzhu what it truly means to be a school idol. [Written by MAL Rewrite]","['Prequel (TV) Love Live! Nijigasaki Gakuen School Idol Doukoukai', 'Sequel (OVA) Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky']",Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,Love Live! Nijigasaki High School Idol Club 2nd Season,Love Live! Nijigasaki High School Idol Club Season 2,,['Slice of Life'],,,,
33,社畜さんは幼女幽霊に癒されたい。,['TV'],12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022",['Spring 2022'],Thursdays at 21:00 (JST),"['Pony Canyon', 'APDREAM', 'Bit grooove promotion', 'Happinet Phantom Studios', 'Bergamo']","None found,",['Project No.9'],['Manga'],"['Comedy', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.10,#3883,#3749,"40,195",149,13586,"Fushihara-san spends most of her time stuck in front of her office computer, regularly toiling at overtime like a corporate slave, even after all her coworkers have gone home. Noticing her unhealthy situation, a ghost in the form of a little girl rumored to haunt the building takes it upon herself to scare Fushihara-san out of the office in order to relieve her stress. However, the ghost's overwhelming cuteness only does the opposite and instead motivates Fushihara-san to work even more. Even so, the presence of this adorable soul will only bring more positivity and happiness to Fushihara-san's life as the two spend more time together. [Written by MAL Rewrite]","['Adaptation (Manga) Shachiku-san wa Youjo Yuurei ni Iyasaretai.', '']",Shachiku-san wa Youjo Yuurei ni Iyasaretai.,"Ms. Corporate Slave Wants to be Healed by a Loli Spirit, Shachisaretai",Miss Shachiku and the Little Baby Ghost,['Workplace'],,,,,
34,ヒーラー・ガール,['TV'],12,Finished Airing,"Apr 4, 2022 to Jun 20, 2022",['Spring 2022'],Mondays at 23:00 (JST),"['Lantis', 'Live Viewing Japan', 'Bandai Namco Arts']","None found,",['Studio 3Hz'],Original,"['Fantasy', 'Slice of Life']","['CGDCT', 'Music', 'Urban Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.31,#2798,#3987,"35,154",174,11911,"An established discipline on par with conventional medical approaches, ""vocal medicine"" is the practice of using songs to treat health conditions and injuries. Young people around the world strive to master the art and become ""healers"" to help people through the power of their voices. Among the many healers in training is Kana Fujii, a naturally talented singer who was inspired to pursue the profession after a life-changing experience. Along with the driven Reimi Itsushiro and the easygoing Hibiki Morishima, Kana trains at Karasuma Phoniatric Clinic under the stern yet kind mentorship of Ria Karasuma. As they endeavor to achieve their dreams, Kana and her friends meet various colorful healers along the way, discovering that there is much more to vocal medicine than just diligent studying! [Written by MAL Rewrite]",[],Healer Girl,,Healer Girl,,,,,,
35,真・一騎当千,['TV'],3,Finished Airing,"May 17, 2022 to May 31, 2022",['Spring 2022'],Tuesdays at 20:30 (JST),"['Genco', 'AT-X', 'Bushiroad', 'Shounen Gahousha', 'Daiichi Shokai', 'Kadokawa', 'Studio Signpost']","None found,",['Arms'],['Manga'],"['Action', 'Ecchi']","['Martial Arts', 'Super Power']",['Seinen'],26 min. per ep.,R+ - Mild Nudity,5.83,#10777,#4385,"28,872",133,6041,"The reincarnation of Himiko, the former queen of Yamatai, has decided to wage war against all magatama wielders of Kanto. In order to recover her lost kingdom, she must gather the true Three Sacred Treasures of Japan. When Himiko's ally, Asaemon Yamada, ruthlessly attacks Nanyou Academy—which possesses the sacred sword Himiko is after—Chuubou Sonken, Hakufu Sonsaku's newfound sister, awakens her dragon but loses consciousness. Determined to save her sibling, Hakufu must recover her magatama at the Jofuku Temple—a legendary place where she will receive training that may cost her her life. As the frontier between the living and the dead starts to vanish in Jofuku, the warriors of the Kanto region will have to unite in order to foil Himiko's mysterious plans. [Written by MAL Rewrite]","['Prequel (OVA) Ikkitousen: Western Wolves', 'Adaptation (Manga) Shin Ikkitousen']",Shin Ikkitousen,"New Battle Vixens, Dragon Girls, Ikki Tousen",Shin Ikki Tousen,,,,,,
36,群青のファンファーレ,['TV'],13,Finished Airing,"Apr 2, 2022 to Jun 25, 2022",['Spring 2022'],Saturdays at 23:30 (JST),"['Aniplex', 'Half H.P Studio', 'Tokyo MX', 'BS11', 'Koei Tecmo Games', 'Hakuhodo', 'Hochi Shimbun']","None found,",['Lay-duce'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.15,#9107,#4604,"26,006",130,7280,"In Japan, betting on horse racing is one of the few legal forms of gambling; thus, the public races have become an interesting part of Japanese culture. In this sport, an individual who rides a horse and competes in races is called a jockey—that is just what Yuu Arimura aspires to be. Becoming inspired after witnessing a derby, 15-year-old idol Yuu shocks the entire nation when he leaves the entertainment industry to enroll in a prestigious horse racing school. Excited to pursue his latest passion, he gradually bonds with his new classmates—such as the talented Shun Kazanami and the self-assured Amane Grace—who are each unique in their own way. Although the path ahead may be full of obstacles, Yuu is determined to pursue his ultimate goal of becoming one with his horse. [Written by MAL Rewrite]",[],Gunjou no Fanfare,,Fanfare of Adolescence,['Racing'],['Sports'],,,,
37,ビルディバイド -#FFFFFF(コードホワイト)-,['TV'],12,Finished Airing,"Apr 3, 2022 to Jun 26, 2022",['Spring 2022'],Sundays at 00:30 (JST),['Aniplex'],['Aniplex of America'],['LIDENFILMS'],Mixed media,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.64,#6267,#4964,"21,720",79,5723,Second season of Build Divide.,"['Prequel (TV) Build Divide: Code Black', '']",Build Divide: Code White,"Build Divide: #000000 2nd Season, Build Divide: Code Black 2nd Season, Build Divide: #FFFFFF",Build Divide -#FFFFFF- Code White,['Strategy Game'],['Fantasy'],,,,
38,おにぱん！,['TV'],60,Finished Airing,"Apr 11, 2022 to Jul 1, 2022",['Spring 2022'],Not scheduled once per week,['Shogakukan-Shueisha Productions'],['Sentai Filmworks'],['Wit Studio'],Original,"['Comedy', 'Fantasy']",,,3 min. per ep.,PG - Children,6.47,#7298,#5614,"15,827",38,4522,"Three oni-kids who, through the power of the onipan (a portmanteau of ""oni"" and ""pantsu"") become human to help fix the relationship between humans and oni. The three girls transfer into a normal Tokyo high school to aid in their task and help fix their image by revitalizing the town, sometimes jumping headfirst into school events, and other times...becoming idols! (Source: Crunchyroll News)",[],Onipan!,,Onipan!,['Mythology'],,,,,
39,名探偵コナン ゼロの日常（ティータイム）,['TV'],6,Finished Airing,"Apr 5, 2022 to May 10, 2022",['Spring 2022'],Tuesdays at 01:20 (JST),['Shogakukan'],"None found,",['TMS Entertainment'],['Manga'],"['Mystery', 'Slice of Life']",,['Shounen'],15 min. per ep.,PG-13 - Teens 13 or older,6.96,#4565,#5679,"15,354",62,6452,Anime adaptation of the spin-off manga Meitantei Conan: Zero no Tea Time that focuses on the life of the triple agent as he attempts to keep all his different roles in check.,"['Adaptation (Manga) Meitantei Conan: Zero no Tea Time', '']",Meitantei Conan: Zero no Tea Time,"Detective Conan: Zero no Tea Time, Meitantei Conan: Zero no Nichijou, Zero's Daily Life",Detective Conan: Zero's Tea Time,['Detective'],,,,,
40,境界戦機,['TV'],12,Finished Airing,"Apr 12, 2022 to Jun 28, 2022",['Spring 2022'],Tuesdays at 00:00 (JST),"None found,","None found,",['Sunrise Beyond'],Original,"['Action', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.54,#6837,#5738,"15,023",75,5366,Second part of Kyoukai Senki.,"['Prequel (TV) Kyoukai Senki', '']",Kyoukai Senki Part 2,,AMAIM Warrior at the Borderline Part 2,['Mecha'],,,,,
41,かぎなど,['TV'],12,Finished Airing,"Apr 13, 2022 to Jun 29, 2022",['Spring 2022'],Wednesdays at 01:00 (JST),"None found,","None found,",['LIDENFILMS Kyoto Studio'],Original,,,,4 min. per ep.,PG-13 - Teens 13 or older,7.35,#2580,#5852,"14,243",58,5885,"Although it is a miracle that Kaginado Academy remains standing, Yuri Nakamura and her cohorts vow to retaliate against the god that created their universe. Pointing out its many absurdities, she proposes that the academy is actually a stand-in for the afterlife. Yuri's theory makes everyone restless; some begin questioning and even second-guessing their own memories. However, not all agree with the notion, defending the fact that their current existence is a result of their past rather than the interference of an omniscient being. Life at Kaginado Academy continues to be frenetic—despite how much the students want it to be otherwise! [Written by MAL Rewrite]","['Prequel (TV) Kaginado', '']",Kaginado Season 2,,KAGI-NADO,,['Comedy'],,,,
42,エスタブライフ グレイトエスケープ,['TV'],12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022",['Spring 2022'],Thursdays at 00:55 (JST),"['Dentsu', 'Square Enix', 'Fuji TV', 'GAGA', 'Slow Curve', 'BS Fuji', 'Crunchyroll', 'Rakuten']","None found,",['Polygon Pictures'],Mixed media,,,,22 min. per ep.,PG-13 - Teens 13 or older,6.47,#7268,#6147,"12,551",44,3600,"In the distant future, the cities of Japan have been walled off and isolated from one another. Tourism and immigration are heavily controlled—if not impossible. Each region is overseen by an AI moderator that maintains its domain as it sees fit. These clusters are refined into a single ideal, with every citizen fulfilling their role in preserving the moderator's creation. But not everyone is satisfied with the narrowly focused vision of the city they were born in, and thus, they require some under-the-table help in relocating to a more appropriate cluster. During the day, Equa, Ferres, and Martese are ordinary high school students; but at night, they act as Extractors—people who illegally smuggle civilians between the city borders. Transporting those brave enough to leave everything behind, Equa and her friends risk their lives in order to give their clients a second chance. But the dangers of extraction begin to intensify when the cluster moderators become increasingly aware of the group's actions that threaten their perfect utopias. [Written by MAL Rewrite]",[],Estab-Life: Great Escape,,Establishment in Life,,['Sci-Fi'],,,,
43,八十亀ちゃんかんさつにっき 4さつめ,['TV'],10,Finished Airing,"Apr 9, 2022 to Jun 11, 2022",['Spring 2022'],Saturdays at 20:54 (JST),['Hayabusa Film'],"None found,",['Saetta'],['4-koma manga'],,,['Shounen'],3 min. per ep.,PG-13 - Teens 13 or older,6.30,#8312,#6784,"9,908",19,3557,Fourth season of Yatogame-chan Kansatsu Nikki.,"['Prequel (TV) Yatogame-chan Kansatsu Nikki Sansatsume', 'Adaptation (Manga) Yatogame-chan Kansatsu Nikki']",Yatogame-chan Kansatsu Nikki Yonsatsume,Yatogame-chan Kansatsu Nikki 4th Season,,['School'],['Comedy'],,,,
44,じゃんたま PONG☆,['TV'],11,Finished Airing,"Apr 9, 2022 to Jun 18, 2022",['Spring 2022'],Saturdays at 01:50 (JST),['Yostar'],"None found,",['Scooter Films'],Game,,,,1 min. per ep.,PG-13 - Teens 13 or older,6.09,#9444,#7100,"8,870",17,3920,Based on characters from the free to play online mahjong game; Mahjong Soul; Janatama Pong is chibi comedy following the lives and random strange occurences that befall the inhabitants of the mahjong soul shrine.,"['Prequel (Special) Jantama Pong☆ Episode 0', 'Sequel (Special) Jantama Pong☆ Special', 'Sequel (ONA) Jantama Kan!!', '']",Jantama Pong☆,,Mahjong Soul Pon☆,,['Comedy'],,,,
45,シャドウバースF（フレイム）,['TV'],50,Finished Airing,"Apr 2, 2022 to Mar 25, 2023",['Spring 2022'],Saturdays at 09:30 (JST),['Sonilude'],"None found,",['Zexcs'],Card game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.73,#5718,#7857,"6,860",36,1579,"Shadowverse Flame features a new protagonist Light Tenryu and its story is set in Shadowverse College, a facility that trains professional players of the Shadowverse game. Tenryu Light, a transfer student, decides to join ""Seventh Flame,"" one of the seven Shadowverse clubs. However, Seventh Flame is on the verge of closure due to a lack of members! In order to avoid the club's demise, Light decides to look for new members. But what awaits him are powerful rivals who control a wide variety of cards... (Source: Crunchyroll)","['Prequel (TV) Shadowverse', 'Sequel (TV) Shadowverse Flame: Seven Shadows-hen']",Shadowverse Flame,Shadowverse F,Shadowverse Flame,['Strategy Game'],['Fantasy'],,,,
46,遊☆戯☆王ゴーラッシュ!!,['TV'],Unknown,Currently Airing,"Apr 3, 2022 to ?",['Spring 2022'],Sundays at 07:30 (JST),"['TV Tokyo', 'Konami', 'Shueisha']","None found,",['Bridge'],Card game,"['Action', 'Fantasy']",,,24 min.,PG-13 - Teens 13 or older,5.66,#11557,#7917,"6,752",52,1140,"After inheriting the company from their parents, siblings Yuuhi and Yuamu Oudou have started to work at Ultraterrestrial Trouble Solutions, an organization that hunts aliens. Although they have never encountered aliens before, Yuuhi is desperate to meet one as he believes that an alien has stolen his important item called the ""Earthdamar."" One day, while searching for extraterrestrial creatures, Yuuhi and Yuamu find a strange spot in the forest where many trees have fallen, forming a scenery similar to a crop circle. As they venture further, they discover a mysterious spaceship and enter it out of curiosity. To their surprise, they come across Yudias Velgear, an alien from the Velgear Star Cluster. As it turns out, Yudias is seeking to learn about Rush Duel—a card game popular among elementary school students—as he believes that it will save his home from a long war. With the siblings agreeing to teach Yudias about Rush Duel, they eventually realize that their first contact with an alien may not be a random coincidence. [Written by MAL Rewrite]","['Adaptation (Manga) Yu☆Gi☆Oh! Go Rush!!', '']",Yu☆Gi☆Oh! Go Rush!!,Yuu Gi Ou: Go Rush!!,,['Strategy Game'],,,,,
47,ちいかわ,['TV'],Unknown,Currently Airing,"Apr 4, 2022 to ?",['Spring 2022'],Fridays at 07:40 (JST),"None found,",['Sentai Filmworks'],['Doga Kobo'],['Web manga'],,,['Seinen'],1 min.,G - All Ages,7.60,#1585,#8299,"6,003",139,1495,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible. (Source: HIDIVE, edited)","['Adaptation (Manga) Chiikawa: Nanka Chiisakute Kawaii Yatsu', '']",Chiikawa,,,,['Comedy'],,,,
48,좀비가 되어버린 나의 딸,['TV'],26,Finished Airing,"Apr 3, 2022 to Jun 26, 2022",['Spring 2022'],Unknown,"None found,","None found,","None found,",['Web manga'],"['Comedy', 'Supernatural']",,,11 min. per ep.,PG-13 - Teens 13 or older,6.00,#9950,#9411,"4,256",31,213,"One year after an unprecedented zombie attack that killed hundreds of thousands, South Korea has finally been declared zombie-free. But Jeonghwan holds a secret: his daughter is the last zombie left on earth. When her cravings are satisfied and her violent tendencies die down, it almost seems like there's hope for her to have a normal life. But how long can he keep Su-ah a secret from everyone else? (Source: Webtoon)","['Adaptation (Manhwa) My Daughter Is a Zombie', '']",Zombie-ga Doeeo Beorin Naui Ttal,Zombie-ttal,My Daughter is a Zombie,['Gag Humor'],,,,,
49,機動戦士ガンダム 鉄血のオルフェンズ 特別編,['TV'],9,Finished Airing,"Apr 5, 2022 to May 31, 2022",['Spring 2022'],Unknown,"None found,","None found,",['Sunrise'],Original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Space']",,25 min. per ep.,R - 17+ (violence & profanity),6.60,#6486,#11258,"2,427",13,283,"The new cut of the series will condense its story down from 50 episodes to nine, with new ""animation cuts"". The story will concentrate primarily on the mercenary group Tekkadan and its members.",[],Kidou Senshi Gundam: Tekketsu no Orphans - Tokubetsu-hen,G-Tekketsu,Mobile Suit Gundam: Iron-Blooded Orphans Special Edition,,,,,,
50,キャップ革命 ボトルマンDX,['TV'],51,Finished Airing,"Apr 3, 2022 to Mar 26, 2023",['Spring 2022'],Sundays at 09:30 (JST),"None found,","None found,",['Gaina'],Game,,,['Kids'],12 min. per ep.,G - All Ages,6.15,#9088,#14119,"1,038",8,185,Second season of Cap Kakumei Bottleman.,[],Cap Kakumei Bottleman DX,,Cap Revolution Bottleman DX,['Strategy Game'],['Action'],,,,
51,ケンダマスター拳,['TV'],10,Finished Airing,"Apr 1, 2022 to Jun 3, 2022",['Spring 2022'],Fridays at Unknown,"None found,","None found,",['Studio Kingyoiro'],Original,,,,13 min. per ep.,PG-13 - Teens 13 or older,5.55,#11963,#14379,960,4,233,"Ken Tamaki defeats corrupt organizations and even finds love through his favorite pastime, the Japanese skill toy ""kendama."" But kendama is no mere toy. The stakes are high and Ken will have to fight for his right to play in KENDA MASTER KEN! (Source: HDIVE)",[],Kenda Master Ken (TV),,Kenda Master Ken (TV),,['Comedy'],,,,
52,DUEL MASTERS キングMAX,['TV'],17,Finished Airing,"Apr 3, 2022 to Aug 28, 2022",['Spring 2022'],Sundays at 08:30 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions']","None found,","[""Brain's Base"", 'Shogakukan Music & Digital Entertainment']",Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,G - All Ages,[],#20448,#15041,802,9,,"The story of Duel Masters King entered the ""next stage"" with the new series. The theme of the new series is ""time travel."" (Source: ANN)","['Prequel (TV) Duel Masters King!', 'Sequel (TV) Duel Masters Win']",Duel Masters King Max,,,['Time Travel'],,,,,
53,もっと! まじめにふまじめ かいけつゾロリ 第3シリーズ,['TV'],25,Finished Airing,"Apr 6, 2022 to Sep 21, 2022",['Spring 2022'],Wednesdays at 19:00 (JST),"None found,","None found,","['Ajia-do', 'Bandai Namco Pictures']",Book,"['Adventure', 'Comedy']",,['Kids'],24 min. per ep.,PG - Children,[],#17953,#16099,608,0,,Third season of Motto! Majime ni Fumajime Kaiketsu Zorori.,"['Prequel (TV) Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season', '']",Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season,,,,,,,,
54,インセクトランド,['TV'],22,Finished Airing,"Apr 4, 2022 to Aug 29, 2022",['Spring 2022'],Mondays at 08:45 (JST),['TMS Entertainment'],"None found,",['Jinnis Animation Studios'],Picture book,,,['Kids'],5 min. per ep.,G - All Ages,[],#21501,#16848,519,2,,"Anime based on ""nature learning picture books"" which explore the lives of insects, while also celebrating the themes of ecology and diversity. (Source: ANN)","['Sequel (ONA) Insect Land (ONA)', '']",Insect Land,,,,['Slice of Life'],,,,
55,マッドトイチャッティ,['TV'],50,Finished Airing,"Apr 20, 2022 to Apr 26, 2023",['Spring 2022'],Wednesdays at 02:34 (JST),['CHANCE iN'],"None found,",['Kachidoki Studio'],Original,,,,1 min. per ep.,G - All Ages,[],#17454,#19205,330,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Madtoy Chatty,,,,['Comedy'],,,,
56,おしりたんてい,['TV'],13,Finished Airing,"Apr 9, 2022 to Jul 2, 2022",['Spring 2022'],Saturdays at 09:00 (JST),"None found,","None found,",['Toei Animation'],Picture book,"['Comedy', 'Fantasy', 'Mystery']",,['Kids'],20 min. per ep.,PG - Children,[],#18402,#19409,317,1,,Sixth season of Oshiri Tantei.,"['Prequel (TV) Oshiri Tantei 5th Season', 'Sequel (TV) Oshiri Tantei 7th Season']",Oshiri Tantei 6th Season,Butt Detective,,,,,,,
57,巴啦啦小魔仙之魔法星缘堡,['TV'],26,Finished Airing,"Apr 21, 2022 to May 16, 2022",['Spring 2022'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],20 min. per ep.,PG - Children,[],#19420,#20750,241,0,,"Normal Girls who live a normal life until they discover a Magical Fairy Kingdom, magical elves grant them magical powers from Magic Star Fate Castle, to save the Magic Star Fate castle they will need to fight a villain called ""Fesna"". Will they be able to recover all the Magic Stones? (Source: Balala the Fairies Wiki)","['Prequel (TV) Balala Xiao Mo Xian: Mofa Hai Ying Bao 2nd Season', 'Sequel (TV) Balala Xiao Mo Xian: Xing Yuan Die Qi 1']",Balala Xiao Mo Xian: Mofa Xing Yuan Bao,,Balala the Fairies: Magic Star Fate Castle,['Mahou Shoujo'],['Fantasy'],,,,
58,ドラ馬チック脳内,['TV'],4,Finished Airing,"May 5, 2022 to May 26, 2022",['Spring 2022'],Thursdays at 23:16 (JST),['TV Asahi'],"None found,",['DLE'],Original,"['Comedy', 'Sports']",,,2 min. per ep.,PG-13 - Teens 13 or older,[],#20422,#22565,150,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dramatic Nounai,,,,,,,,
59,헬로 카봇 시즌12,['TV'],39,Finished Airing,"Apr 3, 2022 to Mar 26, 2023",['Spring 2022'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing']",['Kids'],11 min. per ep.,PG - Children,[],#21125,#23105,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 11', 'Sequel (TV) Hello Carbot Season 13']",Hello Carbot Season 12,Hello Carbot: Boom Bar,,,['Action'],,,,
60,로보카 폴리 시즌5,['TV'],16,Finished Airing,"Mar 4, 2022 to Dec 13, 2022",['Spring 2022'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],14 min. per ep.,PG - Children,[],#18901,#23470,122,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Robocar Poli 4', '']",Robocar Poli 5,,,['Racing'],['Comedy'],,,,
61,ONE PIECE,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,493,077","234,344",1417480,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,One Piece,,,,,,
62,BORUTO -NARUTO NEXT GENERATIONS-,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9915,#208,"894,766","7,373",456672,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,,Boruto: Naruto Next Generations,['Martial Arts'],,,,,
63,名探偵コナン,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#434,#703,"360,526","15,321",164219,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,Case Closed,['Detective'],,Case Closed,,,
64,ポケットモンスター(2019),['TV'],136,Finished Airing,"Nov 17, 2019 to Dec 16, 2022",['Fall 2019'],Fridays at 18:55 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'MediaNet']",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,PG - Children,7.55,#1784,#2285,"95,677",655,40336,"On a new day in the Kanto region, Satoshi gets invited by Professor Yukinari Ookido over to Professor Sakuragi's lab-opening ceremony in Vermillion City. During the ceremonial speech, Professor Sakuragi receives an alert of a possibly rare Pokémon appearing in Vermillion City's harbor, leading Satoshi and the other trainers to rush to the area in hopes of finding the mysterious Pokémon. At the harbor, they find Lugia—a Legendary Pokémon—engaged in combat with other trainers. Noticing the other trainers' tactics, Satoshi has his partner, Pikachu, strike Lugia with a Thunderbolt attack. Unfazed, Lugia flees, but not before Satoshi determinedly leaps onto its back. To Satoshi's surprise, he meets another boy, Gou, who leapt onto Lugia's back as well. The two ride on Lugia's back as it brings them along on a bizarre adventure across the seas. As it lets the two back on the ground, Satoshi and Gou bid their farewells to Lugia and return to Sakuragi Institute. Impressed by Gou's findings and Satoshi's insight taken during their encounter, Sakuragi requests for the duo to be his new research partners. And so the duo's journey begins, traveling across multiple regions to meet many new Pokémon—including ones that have the ability to Gigantamax! [Written by MAL Rewrite]","['Prequel (TV) Pokemon Sun & Moon', 'Sequel (TV) Pokemon: Mezase Pokemon Master', 'Adaptation (Manga) Pocket Monsters: Satoshi to Gou no Monogatari!', '']",Pokemon (2019),"Pocket Monsters, Pokemon 2019, Pokémon",Pokémon Journeys: The Series,,,,Pokémon Viajes Serie,,
