,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Theme,Synonyms,Demographic,German,Spanish,French,Demographics
10,GANGSTA. ギャングスタ,Gangsta.,['TV'],12,Finished Airing,"Jul 2, 2015 to Sep 24, 2015",['Summer 2015'],Thursdays at 02:44 (JST),"['Bandai Visual', 'Frontier Works', 'Lantis', 'DAX Production', 'Tokyo MX']",['Funimation'],['Manglobe'],['Manga'],,"['Adult Cast', 'Organized Crime']",23 min. per ep.,R - 17+ (violence & profanity),7.41,#2302,#385,"601,881","3,959",288430,"Nicholas Brown and Worick Arcangelo, known in the city of Ergastalum as the ""Handymen,"" are mercenaries for hire who take on jobs no one else can handle. Contracted by powerful mob syndicates and police alike, the Handymen have to be ready and willing for anything. After completing the order of killing a local pimp, the Handymen add Alex Benedetto—a prostitute also designated for elimination—to their ranks to protect her from forces that want her gone from the decrepit hellhole of a city she has come to call home. However, this criminal’s paradise is undergoing a profound period of change that threatens to corrode the delicate balance of power. Ergastalum was once a safe haven for ""Twilights,"" super-human beings born as the result of a special drug but are now being hunted down by a fierce underground organization. This new threat is rising up to challenge everything the city stands for, and the Handymen will not be able to avoid this coming war. [Written by MAL Rewrite]","['Adaptation (Manga) Gangsta.', '']",Gangsta.,"['Action', 'Drama']",,,['Seinen'],,,,
11,GOD EATER,God Eater,['TV'],13,Finished Airing,"Jul 12, 2015 to Mar 26, 2016",['Summer 2015'],Sundays at 22:30 (JST),"['Bandai Visual', 'Lantis', 'Anime Consortium Japan']",['Aniplex of America'],['ufotable'],Game,,,23 min. per ep.,R - 17+ (violence & profanity),7.18,#3501,#424,"560,071","1,951",260814,"The year is 2071. Humanity has been pushed to the brink of extinction following the emergence of man-eating monsters called ""Aragami"" that boast an immunity to conventional weaponry. They ravaged the land, consuming almost everything in their path and leaving nothing in their wake. To combat them, an organization named Fenrir was formed as a last-ditch effort to save humanity through the use of ""God Eaters""—special humans infused with Oracle cells, allowing them to wield the God Arc, the only known weapon capable of killing an Aragami. One such God Eater is Lenka Utsugi, a New-Type whose God Arc takes the form of both blade and gun. Now, as one of Fenrir's greatest weapons, Lenka must master his God Arc if he is to fulfill his desire of wiping out the Aragami once and for all. The monsters continue to be born en masse while the remnants of humanity struggle to survive the night. Only God Eaters stand between the Aragami and complete and total annihilation of the human race. [Written by MAL Rewrite]","['Prequel (Special) God Eater Prologue', '']",God Eater,"['Action', 'Fantasy', 'Sci-Fi']",['Military'],,,,,,
12,がっこうぐらし！,School-Live!,['TV'],12,Finished Airing,"Jul 9, 2015 to Sep 24, 2015",['Summer 2015'],Thursdays at 21:30 (JST),"['Sotsu', 'Nitroplus', 'NBCUniversal Entertainment Japan']",['Sentai Filmworks'],['Lerche'],['Manga'],,"['Psychological', 'School', 'Survival']",24 min. per ep.,R - 17+ (violence & profanity),7.61,#1547,#515,"467,410","5,608",225227,"Carefree high school senior Yuki Takeya every day looks forward to the School Living Club. Consisting of the president Yuuri Wakasa, the athletic Kurumi Ebisuzawa, the mature Miki Naoki, the supervising teacher Megumi Sakura, and club dog Taroumaru, the club prides itself on making the most of life at school. There is only one rule the club members have to follow: all members must live their entire lives within school grounds. Gakkougurashi! follows the adventures of the School Living Club as they promote independence and self-determination through their lively time residing at Megurigaoka Private High School. [Written by MAL Rewrite]","['Adaptation (Manga) Gakkougurashi!', '']",Gakkougurashi!,"['Horror', 'Mystery', 'Slice of Life', 'Suspense']",,Gakkou Gurashi!,,School-Live!,School-Live!: Gakkougurashi!,School-Live!,
13,デュラララ!!×２ 転,Durarara!! x2 Ten,['TV'],12,Finished Airing,"Jul 4, 2015 to Sep 26, 2015",['Summer 2015'],Saturdays at 23:30 (JST),['Aniplex'],['Aniplex of America'],['Shuka'],['Light novel'],,,24 min. per ep.,R - 17+ (violence & profanity),7.96,#723,#609,"407,384",764,208151,"In Ikebukuro, the lives of its citizens continue intertwining with each other as if their fates are predestined. Mikado Ryuugamine is now one step closer to his goal of living an exciting life, and in turn, delves deeper into the darker side of Ikebukuro. After gaining absolute control over a former rival, he uses his newfound power as he pleases, purging the Dollars from the inside to mold it into the ideal organization. This proves to be as challenging as it sounds as Mikado must now deal with unwanted outside interference, most notably a re-emerging and dearly missed friend. Meanwhile, Izaya Orihara still has some schemes up his sleeve, although a rival information exchange center has proven to be quite the hindrance, lurking within everyone's favorite downtown district. Undoubtedly, sooner or later, chaos will strike again. [Written by MAL Rewrite]","['Prequel (TV) Durarara!!x2 Shou', 'Sequel (TV) Durarara!!x2 Ketsu', 'Adaptation (Manga) Durarara!! RE;Dollars-hen', 'Adaptation (Light Novel) Durarara!!']",Durarara!!x2 Ten,"['Action', 'Mystery', 'Supernatural']",,Durarara!!x2 Ten,,,,,
14,おくさまが生徒会長！,My Wife is the Student Council President!,['TV'],12,Finished Airing,"Jul 2, 2015 to Sep 17, 2015",['Summer 2015'],Thursdays at 00:30 (JST),"['DAX Production', 'Dream Creation', 'Studio CHANT', 'Crunchyroll SC Anime Fund']",['Media Blasters'],['Seven'],['Manga'],,,8 min. per ep.,R+ - Mild Nudity,6.55,#6757,#841,"309,791",459,155385,"Hayato Izumi, an introverted and studious high school student, is running for the position of student council president. However, his ambition is soon shattered by his rival, Ui Wakana, an outgoing person focused on the noble goal of improving school life through love and sex education. Accepting his loss, Hayato takes on the role of vice president. Shortly after the election, Hayato is met with a surprise: Ui announces that she will be moving in with him—as his wife! Although initially hesitant, Hayato discovers that this marriage was arranged by their parents, and he eventually complies. Now that they are welcoming a new beginning, the couple must learn how to live with each other while keeping their unconventional relationship a secret from the entire school. [Written by MAL Rewrite]","['Sequel (TV) Okusama ga Seitokaichou!+!', 'Adaptation (Manga) Okusama ga Seitokaichou!']",Okusama ga Seitokaichou!,"['Comedy', 'Romance', 'Ecchi']",['School'],Oku-sama ga Seito Kaichou!,['Shounen'],My Wife is the Student Council President,,Okusama ga Seitokaichô!,
15,実は私は,"Actually, I am...",['TV'],13,Finished Airing,"Jul 7, 2015 to Sep 29, 2015",['Summer 2015'],Tuesdays at 01:35 (JST),"['TV Tokyo', 'Sotsu', 'MediaNet', 'Pony Canyon', 'AT-X', 'DAX Production', 'Asmik Ace', '3xCube', 'Akita Shoten', 'TMS Music']",['Discotek Media'],['TMS Entertainment'],['Manga'],,"['Harem', 'School', 'Vampire']",23 min. per ep.,PG-13 - Teens 13 or older,6.83,#5191,#908,"284,618",567,131750,"One day after school, Asahi Kuromine stumbles upon the truth that Youko Shiragami, the girl he has a crush on, is actually a vampire. According to her father's rules, Youko must now quit school in order to keep her family safe. However, Asahi does not want her to go and promises that he will keep her true nature secret. Unfortunately, this turns out to be easier said than done, as Asahi is a man who is easy to read and is unable to keep any secrets to himself. And this is only the beginning of his troubles—more supernatural beings enter his life, and he is forced to protect all of their identities or face the consequences. Jitsu wa Watashi wa follows Asahi as he deals with his new friends and the unique challenges they bring, struggles to keep his mouth shut, and desperately tries to win Youko's heart in the process. [Written by MAL Rewrite]","['Adaptation (Manga) Jitsu wa Watashi wa', '']",Jitsu wa Watashi wa,"['Comedy', 'Romance', 'Supernatural']",,"Jitsuwata, The Truth Is I Am..., I am...",['Shounen'],"Actually, I am...",Actually I Am…,"Actually, I am...",
16,To LOVEる -とらぶる- ダークネス2nd,To LOVE Ru Darkness 2,['TV'],12,Finished Airing,"Jul 7, 2015 to Sep 29, 2015",['Summer 2015'],Tuesdays at 00:00 (JST),"['TBS', 'Magic Capsule', 'Warner Bros. Japan', 'NBCUniversal Entertainment Japan', 'Shueisha']",['Sentai Filmworks'],['Xebec'],['Manga'],,"['Harem', 'School']",23 min. per ep.,R+ - Mild Nudity,7.42,#2278,#962,"269,004",966,140713,"The dispassionate, transforming assassin Golden Darkness returns to peer deeper into the mysteries surrounding her new life, while a sinister Nemesis manipulates her younger sister Mea from the shadows. Along with their newly discovered mother, Tearju, this previously estranged family quickly becomes the center of everyone's attention. On the other hand, Princess Momo's Harem Plan stands on shaky ground amidst Rito's inability to confess to his longtime crush Haruna, who has grown feelings of her own. But things aren't as peaceful as they seem; an evil force looms amidst the innocuous commotion, threatening to eclipse the love, happiness, and friendship of Rito and his harem. Only the light of love can hope to banish the shadow. [Written by MAL Rewrite]","['Prequel (TV) To LOVE-Ru Darkness', 'Sequel (Special) To LOVE-Ru Darkness 2nd Specials', 'Adaptation (Manga) To LOVE-Ru Darkness', '']",To LOVE-Ru Darkness 2nd,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,To LOVE-Ru Trouble Darkness 2nd,['Shounen'],,,,
17,空戦魔導士候補生の教官,Sky Wizards Academy,['TV'],12,Finished Airing,"Jul 9, 2015 to Sep 24, 2015",['Summer 2015'],Thursdays at 00:30 (JST),"['flying DOG', 'Glovision', 'Kadokawa']",['Funimation'],['Diomedéa'],['Light novel'],,,23 min. per ep.,PG-13 - Teens 13 or older,6.30,#8280,#978,"266,068",342,130183,"Years ago, humanity almost got wiped out by huge magical armored insects that had become too strong and aggressive to handle. Because of these giant bugs, humans do not live on the earth anymore, but in floating cities instead. However, this does not mean that everything is lost, because the wizards from prestigious floating wizard academies are fighting these monsters. Kanata Age is a young man now labelled as a traitor even though he was once praised as the ""Black Master Swordsman."" He gets a chance to repair his reputation by instructing the team E601, which seems to be facing some difficulties. It consists of three girls, Misora Whitale, Lecty Eisenach, and Rico Flamel, each with problems of their own. It appears that Kanata will get in deep waters more than once because of them...","['Sequel (OVA) Kuusen Madoushi Kouhosei no Kyoukan: Lecty no, Ikimonogatari', 'Adaptation (Manga) Kuusen Madoushi Kouhosei no Kyoukan', 'Adaptation (Light Novel) Kuusen Madoushi Kouhosei no Kyoukan', '']",Kuusen Madoushi Kouhosei no Kyoukan,"['Action', 'Drama', 'Fantasy']",['School'],The Instructor of Aerial Combat Wizard Candidates,,Sky Wizards Academy,Sky Wizards Academy,Sky Wizards Academy,
18,ワーキング!!!,Wagnaria!!3,['TV'],13,Finished Airing,"Jul 5, 2015 to Sep 27, 2015",['Summer 2015'],Sundays at 00:30 (JST),['Aniplex'],['Aniplex of America'],['A-1 Pictures'],['4-koma manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.95,#740,#1022,"255,432",952,131400,"As the stories of those connected to Wagnaria come to a close, only one thing is certain: the workplace is about to get crazier than ever before! Whether it be incredibly awkward romances, relentless searches for lost relatives, or even uncomfortable family reunions, lover of all things cute and tiny Souta Takanashi and his motley crew have plenty on their plates. With more Napoleon complexes, androphobia, and katana-wielding than you can shake a frying pan at, Working!!! delivers a final serving of the staff's hilarious misadventures working at everybody's favorite family restaurant. [Written by MAL Rewrite]","[""Prequel (TV) Working'!!"", 'Sequel (Special) Working!!! Lord of the Takanashi', 'Adaptation (Manga) Working!!', '']",Working!!!,"['Comedy', 'Romance']",['Workplace'],"Working!! 3rd Season, Working!! Third Season",['Seinen'],Wagnaria!!3,Wagnaria!! Temporada 3,Wagnaria!!3,
19,うしおととら,Ushio & Tora (2015),['TV'],26,Finished Airing,"Jul 3, 2015 to Dec 25, 2015",['Summer 2015'],Fridays at 22:30 (JST),"['Sotsu', 'Showgate', 'Tokuma Japan Communications', 'Daiichi Shokai']",['Sentai Filmworks'],"['MAPPA', 'Studio VOLN']",['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.57,#1680,#1119,"232,841",718,102737,"Ushio Aotsuki is a stubborn middle school student and son of an eccentric temple priest who goes about life without care for his father's claims regarding otherworldly monsters known as youkai. However, as he is tending to the temple while his father is away on work, his chores lead him to a shocking discovery: in the basement he finds a menacing youkai impaled by the fabled Beast Spear. The beast in question is Tora, infamous for his destructive power, who tries to coerce Ushio into releasing him from his five hundred year seal. Ushio puts no trust in his words and refuses to set him free. But when a sudden youkai outbreak puts his friends and home in danger, he is left with no choice but to rely on Tora, his only insurance being the ancient spear if he gets out of hand. Ushio and Tora's meeting is only the beginning of the unlikely duo's journey into the depths of the spiritual realm. With the legendary Beast Spear in his hands, Ushio will find out just how real and threatening the world of the supernatural can be. [Written by MAL Rewrite]","['Sequel (TV) Ushio to Tora (TV) 2nd Season', 'Adaptation (Manga) Ushio to Tora']",Ushio to Tora (TV),"['Action', 'Adventure', 'Supernatural']",['Mythology'],Ushio and Tora,['Shounen'],Ushio & Tora,Ushio & Tora,Ushio & Tora,
