,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Theme,Themes,Genre,Demographics
10,妹さえいればいい。,A Sister's All You Need,['TV'],12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",['Fall 2017'],Sundays at 22:30 (JST),"['Bandai Visual', 'Lantis', 'Shochiku', 'Bushiroad', 'Hakuhodo DY Music & Pictures', 'BS11', 'Shogakukan']",['Funimation'],['SILVER LINK.'],['Light novel'],"['Comedy', 'Romance', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.25,#3102,#717,"355,816","1,840",161063,"Itsuki Hashima is a light novelist obsessed with little sisters, strictly focusing on them when he writes his stories. Despite his personality, he is surrounded by a tight circle of friends: Nayuta Kani, a genius yet perverted novelist who is in love with him; Haruto Fuwa, a fellow male author whose work has seen considerable success; Miyako Shirakawa, a good friend that he met in college; and Chihiro, his perfect younger step-brother who takes care of the housework and cooking. Together, they play strange games, go on spontaneous journeys, crack silly jokes, and celebrate each other's successes. However, each individual must also deal with their own issues, whether it is struggling to meet a deadline or coming to terms with traumatic events buried in their past. [Written by MAL Rewrite]","['Adaptation (Manga) Imouto sae Ireba Ii. @comic', 'Adaptation (Light Novel) Imouto sae Ireba Ii.']",Imouto sae Ireba Ii.,It'd be Good if Only Little Sister Was Here,A Sister's All You Need,A Sister's All You Need.,Imôto sae ireba ii,,"['Adult Cast', 'Otaku Culture', 'Workplace']",,
11,Just Because!,Just Because!,['TV'],12,Finished Airing,"Oct 5, 2017 to Dec 28, 2017",['Fall 2017'],Thursdays at 21:00 (JST),"['Sotsu', 'AT-X', 'BS Fuji', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'Moonbell', 'INCS toenter']",['Sentai Filmworks'],['PINE JAM'],Original,"['Drama', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.23,#3194,#796,"323,512","1,563",131243,"As another school year begins drawing to a close, the third-year high school students move steadily toward the next milestone of their lives: graduation. Among them are Mio Natsume, a girl burdened with lingering feelings; Hazuki Morikawa, a member of the concert band but distant from the others; and Haruto Souma, an athlete obsessed with baseball. Meanwhile, second-year student Ena Komiya seeks to revive the photography club to its former glory, refusing to let the organization be disbanded. Though this group lacks a strong connection with one another, their lives suddenly cross paths with the arrival of a third-year transfer student. While a transfer so close to graduation is unusual for most, it is business as usual for Eita Izumi. Due to his father's work, he has never been able to stay in one place for very long. But as luck would have it, their most recent relocation has returned Eita to his hometown for his final semester of high school. For better or worse, it also sparks the rekindling of old relationships left behind in the past. With graduation already causing its own share of anxieties, Eita's sudden arrival brings these students' carefree days to an abrupt end. Long-forgotten memories, deeply buried emotions, and inspiring new passions—everything is brought to light in their bittersweet final semester. [Written by MAL Rewrite]","['Adaptation (Novel) Just Because!', '']",Just Because!,,,,,,"['Love Polygon', 'School']",,
12,十二大戦,Juni Taisen: Zodiac War,['TV'],12,Finished Airing,"Oct 3, 2017 to Dec 19, 2017",['Fall 2017'],Tuesdays at 23:30 (JST),"['Sotsu', 'Mainichi Broadcasting System', 'AT-X', 'Studio Mausu', 'Tokyo MX', 'Avex Pictures', 'Shueisha', 'BS11', 'GYAO!', 'A-Sketch']",['Funimation'],['Graphinica'],Novel,"['Action', 'Suspense']",,23 min. per ep.,R - 17+ (violence & profanity),6.53,#6895,#876,"300,613",714,145708,"Every 12 years, mercenaries who possess the highest caliber of brute strength, cunning wit, and deadly precision gather to participate in the Zodiac Tournament. Each warrior bears the name and attributes of one of the 12 animals of the Chinese zodiac. With their pride and lives on the line, they engage in vicious combat until only the victor remains. The 12th Zodiac Tournament begins in a desolate city, devoid of any evidence of the half million people who recently lived there. To raise the stakes, each warrior ingests a poisonous gem, thus setting a time limit on the tournament—and on their life. With one wish for the victor up for grabs, the Zodiac Warriors start their cutthroat battle for survival. [Written by MAL Rewrite]","['Adaptation (Manga) Juuni Taisen', 'Adaptation (Novel) Juuni Taisen']",Juuni Taisen,"12 Taisen, 12 Wars",Juni Taisen: Zodiac War,Juni Taisen: Zodiac War,Juni Taisen: Zodiac War,,"['Gore', 'High Stakes Game']",,
13,僕の彼女がマジメ過ぎるしょびっちな件,My Girlfriend is Shobitch,['TV'],10,Finished Airing,"Oct 12, 2017 to Dec 14, 2017",['Fall 2017'],Thursdays at 00:30 (JST),"['AT-X', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', 'Glovision', 'Sammy', 'Kadokawa Media House', 'Production Ace', 'Kadokawa']",['Sentai Filmworks'],"['Diomedéa', 'Studio Blanc.']",['Web manga'],"['Comedy', 'Romance', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.21,#8755,#896,"290,307",467,130541,"Haruka Shinozaki has been interested in the class representative, Akiho Kousaka, since his first year in high school. She is attractive, good at sports, and is an all-around model student. Since they are in the same class this year, Shinozaki decides to confess his feelings—and, to his shock, Kousaka agrees to be his girlfriend! However, he finds that Kousaka is a bit stranger than he first thought: this seemingly perfect girl has never been in a relationship. But even though she is inexperienced, she vows to please Shinozaki in every way she can... such as learning multiple sex positions or his fetishes. Shinozaki tries to assure her that her studies into such subjects aren't necessary, but Kousaka devotes herself to making him happy in more ways than one. [Written by MAL Rewrite]","['Adaptation (Manga) Boku no Kanojo ga Majimesugiru Shojo Bitch na Ken', '']",Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,"My Girlfriend is a Faithful Virgin Bitch, Boku no Kanojo ga Majimesugiru Shojo Bitch na Ken",,,,,"['Harem', 'School']",,
14,干物妹！うまるちゃんR,,['TV'],12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",['Fall 2017'],Sundays at 23:30 (JST),"['AT-X', 'Flex Comix', 'TOHO animation', 'Good Smile Company', 'Shueisha', 'bilibili', 'BS11', 'Jinnan Studio', 'RAY']",['Sentai Filmworks'],['Doga Kobo'],['Manga'],,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.32,#2725,#975,"266,594",551,136518,"Umaru Doma is a model student who has a hidden side: when she gets home each day, she puts on her hamster hoodie and turns into a sluggish otaku fond of junk food. As Umaru continues these daily antics, the friendship between her and her classmates—Nana Ebina, Kirie Motoba, and Sylphinford Tachibana—deepens, and more and more interesting events begin to unfold. Of course, these events give rise to numerous questions. What did Nana ask of Umaru's brother Taihei? Who is the mysterious girl with the diamond hairpin? And most important of all: why does this girl seem to know Umaru? These questions and more will be answered in Himouto! Umaru-chan R! [Written by MAL Rewrite]","['Prequel (TV) Himouto! Umaru-chan', 'Adaptation (Manga) Himouto! Umaru-chan']",Himouto! Umaru-chan R,"Himouto! Umaru-chan 2nd Season, My Two-Faced Little Sister R",,,,,"['Otaku Culture', 'School']",['Comedy'],
15,王様ゲーム The Animation,King's Game,['TV'],12,Finished Airing,"Oct 5, 2017 to Dec 21, 2017",['Fall 2017'],Thursdays at 23:30 (JST),"['AT-X', 'Warner Music Japan', 'Amuse', 'Hakuhodo DY Music & Pictures', 'Futabasha', 'Kakao Japan', 'Spacey Music Entertainment', 'A-Craft', 'Tohan Corporation']",['Funimation'],['Seven'],Novel,"['Drama', 'Horror', 'Mystery', 'Suspense']",,23 min. per ep.,R - 17+ (violence & profanity),5.07,#13138,#1013,"257,194",495,131243,"It can be rough transferring to a new school—even more so if you don't want to make any friends, like Nobuaki Kanazawa. But the reason for his antisocial behavior soon becomes clear when his class receives a text from someone called ""The King."" Included are instructions for the ""King's Game,"" and all class members must participate. Those who refuse to play, quit halfway, or don't follow an order in the allotted time of 24 hours will receive a deadly punishment. Having played the game before and watched as those around him died, Nobuaki tries to warn his clueless classmates. Unfortunately, they only believe him after the King's Game claims its first casualties. Stuck in a horrific situation with no chance of escape, Nobuaki has a choice: put his own survival above those around him, or do what he couldn't before and save his classmates. [Written by MAL Rewrite]","['Adaptation (Manga) Ousama Game', 'Adaptation (Manga) Ousama Game: Shuukyoku']",Ousama Game The Animation,Ou-sama Game,King's Game The Animation,King's Game The Animation,King's Game,,"['Gore', 'High Stakes Game', 'School', 'Survival']",,
16,いつだって僕らの恋は10センチだった。,Our love has always been 10 centimeters apart.,['TV'],6,Finished Airing,"Nov 25, 2017 to Dec 30, 2017",['Fall 2017'],Saturdays at 00:00 (JST),"['Aniplex', 'Movic', 'Magic Capsule', 'Lawson', 'MusicRay’n', 'Kadokawa', 'INCS toenter', 'Yoshimoto Creative Agency']",['Aniplex of America'],['Lay-duce'],Music,"['Drama', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.45,#2136,#1071,"242,107",788,97204,"Miou Aida and Haruki Serizawa might seem like polar opposites to those around them, but as the two third-years prepare to end their high school experience, they couldn't have been closer. While Miou is a shy and reserved member of the school art club that prefers to stay out of the limelight, Haruki is the boisterous and confident ace of the movie club, already winning awards for his directing prowess. However, after a previous chance encounter during their school entrance ceremony, they quickly become friends despite their stark differences in personality. But although their closeness might be growing, they've never become anything more than just that, much to the bewilderment of their friends. As their time in high school draws to a close, Miou and Haruki, along with their friends in the art and movie clubs, have just one year left to face their hidden feelings and the daunting task of deciding their future careers. The two might always be only an arm's reach away, but as Haruki chases his dream of becoming a professional movie director and Miou struggles with choosing a path for herself, they'll learn just how hard it is to get past those last 10 centimeters. [Written by MAL Rewrite]","['Adaptation (Light Novel) Kokuhaku Yokou Renshuu Series', '']",Itsudatte Bokura no Koi wa 10 cm Datta.,,Our love has always been 10 centimeters apart,Our love has always been 10 centimeters apart.,Our Love Has Always been 10 Centimeters Apart,,"['School', 'Visual Arts']",,
17,クジラの子らは砂上に歌う,Children of the Whales,['TV'],12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",['Fall 2017'],Sundays at 23:00 (JST),"['Bandai Visual', 'Lantis', 'Magic Capsule', 'Hakuhodo DY Music & Pictures', 'Akita Shoten', 'Sony PCL', 'Contents Seed']","None found,",['J.C.Staff'],['Manga'],"['Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,7.16,#3592,#1086,"239,430","1,049",108094,"In a world covered by an endless sea of sand, there sails an island known as the Mud Whale. In its interior lies an ancient town, where the majority of its inhabitants are said to be ""Marked,"" a double-edged trait that grants them supernatural abilities at the cost of an untimely death. Chakuro is the village archivist; young and curious, he spends his time documenting the discovery of newfound islands. But each one is like the rest—abandoned save for the remnants of those who lived there long ago. For the first time in six months, another island crosses the horizon, so Chakuro and his friends join the scouting group. During the expedition, they find vestiges of an archaic civilization. And inside one of its crumbling remains, Chakuro discovers a girl who will change his destiny and the world inside the Mud Whale as he knows it. [Written by MAL Rewrite]","['Adaptation (Manga) Kujira no Kora wa Sajou ni Utau', '']",Kujira no Kora wa Sajou ni Utau,"Whale Calves Sing on the Sand, Tales of the Wales Calves",,Hijos de las Ballenas,,,,,
18,お酒は夫婦になってから,Love is Like a Cocktail,['TV'],13,Finished Airing,"Oct 4, 2017 to Dec 27, 2017",['Fall 2017'],Wednesdays at 01:00 (JST),"['VAP', 'Yomiko Advertising', 'Tokyo MX', 'GYAO!', 'Cloud22']","None found,",['Creators in Pack'],['Web manga'],"['Comedy', 'Gourmet', 'Romance']",,3 min. per ep.,PG-13 - Teens 13 or older,6.96,#4563,#1141,"227,413",430,108589,"Chisato Mizusawa is a calm and collected assistant office manager who apparently dislikes drinking alcohol. But she actually likes it and has a secret side to her that emerges only when drunk: her cute persona, which she only reveals to her husband, the bartender Sora. Each day when Chisato comes home, Sora takes care of his beloved wife, providing her with a good meal and a fresh drink. These drinks include Plum Splet, Irish Coffee, Orange Breeze, and many more tasty concoctions that she eagerly gulps down. But as much as she likes alcohol, she loves her kindhearted husband more. Together, they share a life that is filled with happiness—and the more-than-occasional cocktail. [Written by MAL Rewrite]","['Sequel (ONA) Osake wa Fuufu ni Natte kara: Yuzu Atsukan', 'Adaptation (Manga) Osake wa Fuufu ni Natte kara']",Osake wa Fuufu ni Natte kara,,ÖLove is Like a Cocktail,Love is Like a Cocktail,Love is Like a Cocktail,['Adult Cast'],,,
19,UQ HOLDER! ～魔法先生ネギま！2～,UQ Holder!,['TV'],12,Finished Airing,"Oct 3, 2017 to Dec 19, 2017",['Fall 2017'],Tuesdays at 00:00 (JST),"['Kodansha', 'Lawson HMV Entertainment', 'Egg Firm', 'GYAO!']",['Sentai Filmworks'],['J.C.Staff'],['Manga'],"['Action', 'Fantasy', 'Sci-Fi']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4783,#1167,"222,985",406,87525,"Touta Konoe is an ordinary boy raised in a small rural town. His mundane life suddenly changes when his mentor, Yukihime, reveals herself to be a vampire; after saving Touta from a mortal wound, she causes him to become immortal as well. Already yearning to explore the world, young Touta finally puts his dream to ascend to the top of Amanomihashira—a tower that leads to outer space—into realization. Along the way, he finds a secret society filled with immortals just like him called ""UQ Holders."" Gaining new comrades and mentorship along the way, Touta embarks on his own unique, magical adventure. [Written by MAL Rewrite]","['Prequel (TV) Negima!?', 'Prequel (Movie) Mahou Sensei Negima! Movie: Anime Final', 'Sequel (OVA) UQ Holder! Mahou Sensei Negima! 2 OVA', 'Adaptation (Manga) UQ Holder!']",UQ Holder! Mahou Sensei Negima! 2,"Yuukyuu Holder, Eternal Holder",,,,,,,
