,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,Spanish,Theme,German,French,Demographics
98,パンパカパンツ,Panpaka Pantsu,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,15 sec. per ep.,G - All Ages,[],#20955,#17411,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,"Panpaka Panties, Panpaka Underwear",['Comedy'],['Kids'],,,,,
99,しまじろう ヘソカ,,['TV'],99,Finished Airing,"Apr 5, 2010 to Mar 26, 2012",['Spring 2010'],Mondays at 07:30 (JST),['Benesse Corporation'],"None found,",['Pierrot Plus'],Original,"['Adventure', 'Comedy', 'Fantasy']",,8 min. per ep.,G - All Ages,[],#14229,#17520,457,0,,Third season of the Shimajirou children's television series.,"['Prequel (TV) Hakken Taiken Daisuki! Shimajirou', 'Sequel (TV) Shimajirou no Wow!']",Shimajirou Hesoka,,,['Kids'],,,,,
100,ズーブルズ！,,['TV'],26,Finished Airing,"May 18, 2011 to Nov 16, 2011",['Spring 2011'],Unknown,"None found,","None found,",['Dongwoo A&E'],Unknown,,,23 min. per ep.,G - All Ages,[],#16412,#17582,453,1,,"The Candy Factory is a place where all Zoobles are born. Beyond that factory is a world called Candy Land, where all Zoobles live. The story revolves around the three main Zoobles: Chevy, a Cat Zooble with an Orange Flavour; Coron, a Rabbit Zooble with a Strawberry Milk Flavour; and Panky, a Panda Zooble with a Blueberry Yogurt Flavour. The three of them live in Candy Town, and they get into serious misadventures as they try to get in (and out of) trouble. (Source: AniDB)",[],Zoobles!,,,['Kids'],,,,,
101,ともだち8にん,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,1 min. per ep.,G - All Ages,[],#14958,#17769,437,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,['Comedy'],['Kids'],,,,,
102,ちーすい丸,,['TV'],34,Finished Airing,"Jan 15, 2011 to Sep 24, 2011",['Winter 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,5 min. per ep.,G - All Ages,[],#17266,#17870,430,0,,"The battle continues between Chi-Sui Maru, a mosquito, and Nobuo, a common office worker.","['Prequel (TV) Chi-Sui Maru', '']",Chi-Sui Maru 2nd Season,"Chi-Sui Maru 2, Chi-Sui Maru Second Season",['Comedy'],,,,,,
103,汐留ケーブルテレビ,,['TV'],22,Finished Airing,"Apr 13, 2011 to Sep 14, 2011",['Spring 2011'],Unknown,"None found,","None found,",['DLE'],Unknown,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#14284,#18259,402,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shiodome Cable TV,"Shiodome News Zero, Yuruani",['Comedy'],,,,,,
104,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#20944,#18309,398,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,['Kids'],,,,,
105,ソッキーズ フロンティアクエスト,,['TV'],39,Finished Airing,"Apr 15, 2011 to Feb 24, 2012",['Spring 2011'],Unknown,['Iyasakadou Film'],"None found,","None found,",Unknown,,,5 min. per ep.,G - All Ages,[],#14461,#18349,394,0,,Based on a book which introduced the culture of Sock Monkey to Japan.,[],Sockies: Frontier Quest,"Sock Monkey wa Kimi ga Suki, Sock Monkey likes you",['Comedy'],,,,,,
106,ペンギンの問題DX?,,['TV'],52,Finished Airing,"Apr 2, 2011 to Mar 31, 2012",['Spring 2011'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Unknown,,,10 min. per ep.,G - All Ages,[],#21004,#18469,385,0,,The continuation of Penguin no Mondai Max.,"['Prequel (TV) Penguin no Mondai Max', 'Sequel (TV) Penguin no Mondai POW']",Penguin no Mondai DX?,,['Comedy'],['Kids'],,,,,
107,캐니멀,Canimals,['TV'],26,Finished Airing,"Mar 2, 2011 to Aug 25, 2011",['Spring 2011'],Unknown,"None found,","None found,","None found,",Original,,,7 min. per ep.,PG - Children,[],#17129,#19756,299,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Canimals,Kaenimeol,['Comedy'],['Kids'],,,,,
108,깨미,Kemy,['TV'],52,Finished Airing,"Feb 28, 2011 to Aug 23, 2011",['Winter 2011'],Wednesdays at 09:40 (JST),"None found,","None found,","None found,",Original,,,11 min. per ep.,G - All Ages,[],#19373,#20488,259,0,,"Kemy is an animation series with some educational undertones targeting 5~7-year-old kids. The entire series is set against the backdrop of a supermarket. Viewing the animations, children will be able to imagine themselves in amidst all a supermarket has to offer. Children can join Kemy and his quest to figure out the answers to everyday questions. Buka and Chaka do not reprise their roles in this season. (Source: korean-products.com)","['Sequel (TV) Kemy Tamheomdae', '']",Kemy,,,['Kids'],,,,,
109,코코몽2,Cocomong 2,['TV'],26,Finished Airing,"Mar 4, 2011 to Aug 26, 2011",['Spring 2011'],Fridays at Unknown,"None found,","None found,",['Olive Studio'],Original,,,13 min. per ep.,G - All Ages,[],#17401,#20577,251,0,,The second season of Cocomong.,"['Prequel (TV) Naengjang-go Nala Cocomong', 'Sequel (TV) Cocomong 3']",Cocomong 2,"Reizou Kono Kuni no Cocomong 2, Cocomong 2011",,['Kids'],,,,,
110,缤纷宝宝,,['TV'],200,Finished Airing,Jan 2011 to Feb 2012,['Winter 2011'],Unknown,"None found,","None found,","None found,",Original,,,7 min. per ep.,PG - Children,[],#16962,#22097,171,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Binfen Baobao,,['Adventure'],['Kids'],,,,,
111,嘻笑一家亲,,['TV'],52,Finished Airing,May 2011 to Dec 2011,['Spring 2011'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,[],#15426,#23898,114,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xi Xiao Yijia Qin,,['Comedy'],['Kids'],,,,,
112,おべとも学園,,['TV'],200,Finished Airing,Apr 2008 to Mar 2013,['Spring 2008'],Unknown,['NHK'],"None found,","None found,",Original,,,2 min. per ep.,G - All Ages,[],#20777,#23997,112,0,,A series by Japanese illustrator Obetomo which aired on NHK's Shakin! program.,[],Obetomo Gakuen,,['Slice of Life'],,,['School'],,,
113,龙太子之银河大冒险,,['TV'],50,Finished Airing,May 2011 to May 2012,['Spring 2011'],Unknown,"None found,","None found,","None found,",Original,"['Fantasy', 'Sci-Fi']",,13 min. per ep.,PG - Children,[],#19864,#24222,107,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Long Taizi', 'Sequel (TV) Long Taizi: Yanre Xingqiu Zhi Mi']",Long Taizi: Yinhe Da Maoxian,,,['Kids'],,,,,
114,开心果的绿色家园之哈哈森林,,['TV'],52,Finished Airing,Feb 2011 to Aug 2011,['Winter 2011'],Unknown,"None found,","None found,","None found,",Original,,,15 min. per ep.,PG - Children,[],#19242,#24439,103,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kaixin Guo De Luse Jiayuan: Haha Senlin,,['Fantasy'],['Kids'],,['Anthropomorphic'],,,
115,橡树餐厅,,['TV'],26,Finished Airing,Apr 2011 to Oct 2011,['Spring 2011'],Unknown,"None found,","None found,","None found,",Original,,,10 min. per ep.,PG - Children,[],#15499,#24706,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiangshu Canting,,['Fantasy'],['Kids'],,['Anthropomorphic'],,,
116,爆丸バトルブローラーズ Mechtanium Surge,Bakugan: Mechtanium Surge,['ONA'],46,Finished Airing,Sep 2018 to 2018,,,"None found,",['Nelvana'],['TMS Entertainment'],Original,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,G - All Ages,6.24,#8583,#3410,"47,471",73,27726,"After returning from the feuding realms of Gundalia and Neathia, Danma Kuusou and his companions continue their lives on Earth. Now, a year later, the virtual reality world of Bakugan Interspace has finally recovered from the alien invasion and has once again become a place for brawlers to gather and challenge themselves. It turns out, however, that whenever Danma's Bakugan, Pyrus Dragonoid, unleashes his might in battle, the Interspace experiences new disruptions. Unable to harness the incredible powers granted to him by Code Eve—the Bakugan Mother spirit—he struggles to maintain control over the Mechtogan contained within him. When it goes out of control, the mysterious mechanical entity wreaks havoc on the battlefield, attacking friends and foes alike. To make matters worse, Bakugan Interspace is at risk of being infiltrated again. An unknown mastermind is sending mutated Chaos Bakugan into the system in order to brainwash brawlers and take control of the virtual realm. In anticipation of the inevitable confrontation, Danma must find a way to keep the Mechtogan's destructive force at bay and rally the Battle Brawlers once again. [Written by MAL Rewrite]","['Prequel (TV) Bakugan Battle Brawlers: Gundalian Invaders', '']",Bakugan Battle Brawlers: Mechtanium Surge,,,,,['Strategy Game'],,,
117,武装神姫 Moon Angel,,['ONA'],10,Finished Airing,"Sep 7, 2011 to Jan 26, 2012",,,"None found,","None found,","['TNK', 'Kinema Citrus']",Other,"['Action', 'Sci-Fi']",,5 min. per ep.,PG-13 - Teens 13 or older,6.53,#6875,#5976,"13,538",5,5765,"The story follows the coming of age and Shinki battles of Tsubasa, a boy who dreams of becoming a Shinki Master, and his Shinki partner Arnval Mk. 2. (Source: ANN)",[],Busou Shinki Moon Angel,,,,,,,,
118,こぴはん,,['ONA'],7,Finished Airing,"Aug 12, 2011 to Nov 3, 2011",,,"['Studio Mausu', 'Slow Curve']","None found,",['Gonzo'],['Manga'],"['Comedy', 'Sci-Fi']",,6 min. per ep.,PG-13 - Teens 13 or older,5.38,#12502,#7037,"9,067",6,4109,"A school comedy taking place in Tokyo in 2034. Copihan is a joint project of Gonzo and Kei, the illustrator of the manga version of Copihan who is best known for Hatsune Miku.","['Adaptation (Manga) Copihan: Saya to Sayu no Daisakusen', '']",Copihan,,,,,['School'],,,
119,境界線上のホライゾン 極東なるほど講座,,['ONA'],4,Finished Airing,"Aug 7, 2011 to Sep 29, 2011",,,['Studio Moriken'],"None found,",['Sunrise'],['Light novel'],"['Comedy', 'Fantasy']",,8 min. per ep.,PG-13 - Teens 13 or older,6.12,#9267,#9539,"4,094",4,1069,"Specials aired on Nico Nico Douga and YouTube, later released on BDs/DVDs.",[],Kyoukaisenjou no Horizon: Kyokutou Naruhodo Kouza,Kyoukaisenjou no Horizon Specials,,,,['School'],,,
120,東映ロボットガールズ,,['ONA'],1,Finished Airing,"Jul 2, 2011",,,"None found,","None found,",['Toei Animation'],Original,,"['Mecha', 'Parody']",1 min.,PG-13 - Teens 13 or older,5.28,#12743,#10985,"2,630",1,1051,"A pilot film streamed on the anime studio Toei Animation's website. The female leads in the film are dressed as various famous robots in Toei's anime catalog—the girls are personifications of robots in the Gaiking (""Gai-chan""), Magnerobo Ga-Keen (""Gacky""), and Superhuman Combat Team Baratack (""Bara-tan"") and the newly added character is from the anime Planet Robot Danguard Ace. (Source: ANN)",[],Toei Robot Girls,,['Sci-Fi'],,,,,,
121,功夫料理娘,Kung Fu Cooking Girls,['ONA'],1,Finished Airing,"Jul 4, 2011",,,"None found,","None found,",['Wolf Smoke Studio'],Original,"['Action', 'Fantasy', 'Gourmet', 'Ecchi']",,8 min.,PG-13 - Teens 13 or older,6.22,#8705,#11724,"2,115",4,883,"A young, starving traveler finds himself in the middle of a kung fu fight between two food vendors who try and entice him to eat at their shops.",[],Kung Fu Liaoli Niang,,,,,['Martial Arts'],,,
122,音々The Animation,,['ONA'],6,Finished Airing,"Jul 4, 2011 to Apr 3, 2015",,,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']","['Detective', 'Historical', 'Mecha']",5 min. per ep.,G - All Ages,5.19,#12942,#13467,"1,243",0,374,"Promotional animated videos of Osaka's entertainment and shopping district, Nipponbashi (or colloquially known as Nippombashi) narrated by Nipponbashi's mascot Neon and her sister Hikari-chan. Nipponbashi is the equal of Tokyo's Akihabara.",[],Neon The Animation,,,,,,,,
123,罗小黑战记 番外,,['ONA'],5,Finished Airing,"Jul 10, 2011 to Nov 21, 2020",,,"None found,","None found,",['HMCH'],Original,,"['Music', 'Parody', 'School']",1 min. per ep.,PG-13 - Teens 13 or older,6.58,#6569,#13640,"1,185",1,354,"Specials of Luo Xiao Hei Zhan Ji that have new animation but do not have a standard episode number. First is with students cheating on their final exam, it aired between CAT.2 and CAT.3. Second is CAT8.5, an official parody episode. Third is a music video that aired between CAT.10 and CAT.11. Fourth is a music video that aired between CAT.24 and CAT.25. Fifth is a music video that aired after CAT.28.",[],Luo Xiao Hei Zhan Ji: Fan Wai,The Legend of Luoxiaohei Specials,['Comedy'],,,,,,
124,チルリ,Chiruri,['ONA'],1,Finished Airing,"Sep 29, 2011",,,"None found,","None found,","None found,",Original,,,8 min.,PG-13 - Teens 13 or older,5.74,#11204,#14036,"1,067",0,573,"The story of a boy and a girl who try to find the one thing that matters. Independent film by Kenji Kawasaki, with accompanying music by Kai Shiono.",[],Chiruri,,['Drama'],,,,,,
125,天紅事記,,['ONA'],1,Finished Airing,"Sep 18, 2011",,,"None found,","None found,","None found,",Original,,,1 min.,PG - Children,5.29,#12717,#15649,680,0,333,Short animation by Rapparu.,[],Tenkou Kotofumi,,['Fantasy'],,,['Music'],,,
126,USAWALTZ,,['ONA'],1,Finished Airing,"Sep 15, 2011",,,"None found,","None found,","None found,",Original,,,2 min.,PG-13 - Teens 13 or older,4.80,#13431,#15746,664,0,325,"In the black and white world with so many animals relaxing, there are small rabbits called 'usa' dancing in their world. (Source: Official site)",[],Usawaltz,,['Avant Garde'],,,['Music'],,,
127,ロボと少女（仮）「お知らせ劇場（仮）」,,['ONA'],5,Finished Airing,"Jul 22, 2011 to Sep 5, 2011",,,"None found,","None found,","None found,",Unknown,"['Comedy', 'Sci-Fi']",,1 min. per ep.,PG-13 - Teens 13 or older,5.20,#12919,#16486,563,0,153,Special comedy shorts promoting DVD of Robo to Shoujo (Kari).,[],Robo to Shoujo (Kari): Oshirase Gekijou (Kari),Robo to Shoujo (Kari): Announcement Theater,,,,,,,
128,LIFE OF THE DEAD,,['ONA'],4,Finished Airing,"Jul 26, 2011 to Jan 1, 2012",,,"None found,","None found,",['Studio Binzo'],Original,"['Comedy', 'Horror']",,17 min. per ep.,R - 17+ (violence & profanity),5.32,#12625,#16772,529,2,168,Clay animation about a guy stuck in a room during zombie apocalypse.,"['Sequel (ONA) Life of the Dead Season 2', '']",Life of the Dead,"Zombie Kurei Anime, Zombie Clay Animation: Life of the Dead",,,,,,,
129,on the table,on the table,['ONA'],1,Finished Airing,"Jul 9, 2011",,,"None found,","None found,","None found,",Original,,,3 min.,G - All Ages,5.43,#12336,#16912,515,0,230,A psychedelic short animation by Masanobu Hiraoka.,[],On the Table,,['Avant Garde'],,,['Music'],,,
130,Uneasiness and triangle,,['ONA'],1,Finished Airing,"Jul 8, 2011",,,"None found,","None found,","None found,",Original,,,3 min.,G - All Ages,5.39,#12445,#17246,482,0,201,One of Masanobu Hiraoka's earlier short animations.,[],Uneasiness and Triangle,,['Avant Garde'],,,['Music'],,,
131,"PLUG, THe NeW WORLD","PLUG, THe NeW WORLD",['ONA'],1,Finished Airing,"Jul 30, 2011",,,"None found,","None found,",['dwarf'],Original,,,12 min.,G - All Ages,5.66,#11579,#18109,412,0,158,"Nissan Motor Co., Ltd. opened a game-style promotion website, ‘THE PLANET ZERO’, where users can experience a zero-emission society in an understandable way, as part of its comprehensive approach for realizing a zero-emission society, making users enjoy leaning a zero-emission society which Nissan aims for and the value and the appeal EV will bring about. Unique characters designed to look like solar power and wind power generation systems including one created based on zero-emission mobility, named ‘PLUG’. (Source: nissan-global.com)",[],"PLUG, THe NeW WORLD",THE PLANET ZERO,['Fantasy'],,,,,,
132,白石の妖精ぴち,,['ONA'],3,Finished Airing,"Jul 27, 2011 to Jan 22, 2014",,,"None found,","None found,",['Asahi Production'],Original,,,3 min. per ep.,PG - Children,5.42,#12345,#18590,376,0,131,Short promotional videos made for Shiroishi City in Miyagi Prefecture.,[],Shiroishi no Yousei Pichi,The Sprites of Shiroishi,['Fantasy'],['Kids'],,['Historical'],,,
133,ペーパーマン,,['ONA'],1,Finished Airing,"Aug 17, 2011",,,"None found,","None found,","None found,",Game,,,6 min.,G - All Ages,5.29,#12715,#19011,345,0,134,"Within the Paperman game, glimpses of an anime were shown. Several years later after a mobile version of the game was released, a special promotion was created where players can follow a link within the mobile game to take them to a special website where they could purchase a full 6 minute remake of the anime to view.",[],Paperman,,,,,['Strategy Game'],,,
134,埋めて、バイバイ,"Bury, Bye-Bye",['ONA'],1,Finished Airing,"Aug 10, 2011",,,"None found,","None found,","None found,",Original,,,2 min.,G - All Ages,5.34,#12590,#19719,301,0,125,"One day, a giant comes to an inhabited island and begins planting yellow balloons in the sand. However, the job was not completed properly. This is unacceptable.",[],"Umete, Bye-Bye",Bury and Bye-Bye,['Avant Garde'],,,['Music'],,,
135,HELLSING OVA,Hellsing Ultimate,['OVA'],10,Finished Airing,"Feb 10, 2006 to Dec 26, 2012",,,"['GDH', 'Geneon Entertainment USA', 'Shounen Gahousha']",['Funimation'],"['Madhouse', 'Satelight', 'Graphinica']",['Manga'],"['Action', 'Horror', 'Supernatural']","['Adult Cast', 'Gore', 'Military', 'Vampire']",49 min. per ep.,R - 17+ (violence & profanity),8.35,#242,#182,"970,778","22,613",502321,"There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead. Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil. In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare. [Written by MAL Rewrite]","['Prequel (Special) Hellsing: The Dawn', 'Adaptation (Manga) Hellsing']",Hellsing Ultimate,,,['Seinen'],,,,,
136,カーニバル・ファンタズム,,['OVA'],12,Finished Airing,"Aug 14, 2011 to Dec 31, 2011",,,"['Bandai Visual', 'Notes']","None found,",['Lerche'],['Manga'],"['Comedy', 'Supernatural']",,14 min. per ep.,PG-13 - Teens 13 or older,7.87,#891,#1263,"203,456","1,625",99374,"The Carnival Moment is a time when several narratives from Type-Moon's famous works intersect. It happens every decade in an entirely new dimension, and those who have never run into each other can meet. And what's more, all individuals involved gain the opportunity to fulfill any of their wishes! However, they will have to come a long way, as they will need to partake in contests. In Carnival Phantasm, various characters are put into situations that ridicule their own worlds. Nevertheless, they all have the same objective: to win the contests by any means necessary! [Written by MAL Rewrite]","['Adaptation (Manga) Take Moon', '']",Carnival Phantasm,,,,,['Parody'],,,
137,僕は友達が少ない 闇鍋は美少女が残念な臭い,Haganai: Black Hotpot Gives Girls a Bad Smell,['OVA'],1,Finished Airing,"Sep 22, 2011",,,"['Bushiroad', 'Good Smile Company']","None found,",['AIC Build'],['Light novel'],"['Comedy', 'Romance']",,11 min.,PG-13 - Teens 13 or older,6.71,#5828,#1875,"126,807",55,69265,"Hasegawa Kodaka has transferred schools, and he's having a hard time making friends. It doesn't help that his blond hair tends to make people think he's a delinquent. One day, he runs into his bad-tempered solitary classmate Yozora while she's talking animatedly to her imaginary friend Tomo. Realizing that neither of them have any actual friends, they decide that the best way to alter this situation is to form a club and start recruiting. That is how ""Rinjinbu"", The Neighbours' Club, was formed, a club specifically designed for people who don't have very many friends. As other lonely classmates slowly join their little club, they'll try to learn how to build friendships through cooking together, playing games, and other group activities. But will this group of relationship-challenged misfits really be able to get along? (Source: MU)","['Sequel (TV) Boku wa Tomodachi ga Sukunai', '']",Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi,"Boku wa Tomodachi ga Sukunai Episode 0, Boku wa Tomodachi ga Sukunai OVA, Haganai OVA, I Don't Have Many Friends OVA, Boku ha Tomodachi ga Sukunai OVA",,,,['School'],,,
138,神のみぞ知るセカイ　４人とアイドル,The World God Only Knows: Four Girls and an Idol,['OVA'],1,Finished Airing,"Sep 16, 2011",,,"['Geneon Universal Entertainment', 'Shogakukan-Shueisha Productions', 'Shogakukan Music & Digital Entertainment']",['Sentai Filmworks'],['Manglobe'],['Manga'],"['Comedy', 'Supernatural']",,24 min.,PG-13 - Teens 13 or older,7.28,#2941,#2089,"109,960",89,63495,"Eli, Chihiro, and Miyako try to form a band but end up looking to Katsuragi for help. In the process they meet Kanon and become friends/ rivals. (Source: ANN)","['Prequel (TV) Kami nomi zo Shiru Sekai II', 'Sequel (OVA) Kami nomi zo Shiru Sekai: Tenri-hen', 'Adaptation (Manga) Kami nomi zo Shiru Sekai', '']",Kami nomi zo Shiru Sekai: 4-nin to Idol,"Kami nomi zo Shiru Sekai: Yonin to Idol, Kaminomi OVA, Kami Nomi zo Shiru Sekai OVA, The World God Only Knows: Four People and an Idol",,['Shounen'],,['Music'],,,
139,ひぐらしのなく頃に煌,,['OVA'],4,Finished Airing,"Jul 21, 2011 to Jan 25, 2012",,,['Frontier Works'],"None found,",['Studio Deen'],Original,"['Comedy', 'Mystery']",,29 min. per ep.,R - 17+ (violence & profanity),6.53,#6888,#2380,"89,538",154,45982,1. Batsukoishi-hen 2. Ayakashisenshi-hen 3. Musubienishi-hen 4. Yumeutsushi-hen,[],Higurashi no Naku Koro ni Kira,"Higurashi no Naku Koro ni OVA 2, When They Cry Glitter, Higurashi: When They Cry – Kira",,,,['Parody'],,,
140,世界一初恋 OVA,,['OVA'],2,Finished Airing,"Mar 22, 2011 to Sep 27, 2011",,,['Kadokawa Shoten'],['Funimation'],['Studio Deen'],['Manga'],,,21 min. per ep.,PG-13 - Teens 13 or older,7.84,#949,#2713,"72,771",128,38189,"Two OVA episodes featuring additional stories. Episode 0: Ritsu and Takano used to date back in high school, but broke up due to a misunderstanding. This is that story. Episode 12.5: Hatori and Chiaki go to visit the latter's family. It's really awkward in many, many ways.","['Adaptation (Manga) Sekaiichi Hatsukoi: Onodera Ritsu no Baai', '']",Sekaiichi Hatsukoi OVA,"Sekaiichi Hatsukoi Episode 0, Sekai-ichi Hatsukoi: Onodera Ritsu no Baai, Sekaiichi Hatsukoi Episode 12.5, Sekaiichi Hatsukoi: Yoshino Chiaki no Baai, Sekai'ichi Hatsukoi",['Boys Love'],,,,,,
141,えろげー! ～Hもゲームも開発三昧～,,['OVA'],6,Finished Airing,"Aug 26, 2011 to Mar 25, 2016",,,"None found,","None found,",['Collaboration Works'],Visual novel,,,30 min. per ep.,Rx - Hentai,7.55,N/A,#2940,"62,936",924,30043,"Flower, a local game design studio, finds itself on the verge of shutting down. After its first release turned out to be a complete letdown, the studio is now struggling to make ends meet. The employees of this all-female company desperately need additional hands to help them finish a new project on time. Tomoya Mochizuki's passion is erotic games, or ""erogames."" He can neither write scenarios nor program, and his artistic skills are quite frankly terrible. However, owing to his massive experience in the field, Nene Sonono—Flower's director—decides to hire him as a consultant. The first thing Tomoya points out is that Flower's employees have no sexual experience; thus, their scenarios and sex scenes lack in-depth and firsthand expertise. Eager to learn and develop their professional skills, the girls embark on a crash course to grasp the essence of erogames. Under the attentive eye of Tomoya, they explore previously uncharted waters of sexual pleasure—all for the sake of the company's survival. [Written by MAL Rewrite]","['Adaptation (Light Novel) Eroge! H mo Game mo Kaihatsu Zanmai', '']",Eroge! H mo Game mo Kaihatsu Zanmai,,['Hentai'],,,,,,
142,アスタロッテのおもちゃ! EX,Astarotte's Toy EX,['OVA'],1,Finished Airing,"Sep 7, 2011",,,"None found,","None found,",['Diomedéa'],['Manga'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",,23 min.,PG-13 - Teens 13 or older,6.54,#6807,#3799,"39,136",30,19283,"The OVA Astaroette no Omocha is a three part short story series. In the first story, Lotte and Asuha find themselves searching for details about their school project. In the second bit, is the backstory to how Zelda came to be Lotte's bodyguard. The final of the three, is a flashback of how the queen met Naoya and how they conceived Asuha ten years prior to the events in the anime. (Source: ANN)","['Adaptation (Manga) Rotte no Omocha!', '']",Astarotte no Omocha! EX,"Astarotte no Omocha! OVA, Lotte no Omocha! OVA, Lotte no Omocha! EX",,['Seinen'],,['Isekai'],,,
143,ベイビー・プリンセス 3Dぱらだいす0[ラブ],,['OVA'],1,Finished Airing,"Jul 20, 2011",,,['Sotsu'],"None found,",['Studio Comet'],['Light novel'],,,29 min.,R+ - Mild Nudity,6.38,#7784,#4217,"31,246",68,15470,"A high school senior named Yotaro thought he was an only child—until he met his real mother and discovered that she has 19 daughters, from 0 to 18 years old. He ends up living with his ""true family.""","['Adaptation (Manga) Baby Princess', 'Adaptation (Light Novel) Baby Princess']",Baby Princess 3D Paradise 0 [Love],Baby Princess 2D Paradise Love,['Ecchi'],,,['Harem'],,,
144,薄桜鬼 雪華録,Hakuoki: Demon of the Fleeting Blossom - A Memory of Snow Flowers,['OVA'],6,Finished Airing,"Aug 5, 2011 to Jun 27, 2012",,,"None found,",['Sentai Filmworks'],['Studio Deen'],Visual novel,"['Action', 'Drama', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.58,#1654,#4413,"28,553",76,11738,"Rumors about a potential plot to dismantle the Shinsengumi by setting fire to their headquarters have spread amok. As most of the talk stems from an inn in Shimabara, the Shinsengumi place trust in Chizuru Yukimura for help with the investigation. Disguised as a geisha, Chizuru infiltrates the inn to provide intel for the Shinsengumi but quickly finds that the operation is more intricate than they could ever imagine. At the same time, each member of the Shinsengumi has their own reservations and concerns about using their sole female colleague to gather intelligence. Knowing what dangers await her, they all resolve to protect her at any cost. [Written by MAL Rewrite]","['Adaptation (Light Novel) Hakuouki Sekkaroku', '']",Hakuouki: Sekkaroku,Hakuouki Hekketsuroku OVA,,['Josei'],,['Historical'],,,
145,ああっ女神さまっ,Ah! My Goddess: Together Forever,['OVA'],3,Finished Airing,"Feb 23, 2011 to Aug 23, 2013",,,['APPP'],"None found,",['AIC'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",,28 min. per ep.,PG-13 - Teens 13 or older,7.32,#2702,#4829,"23,208",31,9925,"OVAs bundled with volumes 42, 43 & 46 of the Aa! Megami-sama! manga.","['Prequel (TV Special) Aa! Megami-sama! Tatakau Tsubasa', 'Adaptation (Manga) Aa! Megami-sama!']",Aa! Megami-sama! (2011),"Ah! My Goddess (2011), Oh! My Goddess (2011), Aa! Megami-sama!: Itsumo Futari de, Aa! Megami-sama! OAD",,['Seinen'],,,,,
