,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,French,Theme,Demographics,German,Spanish
10,ケンコー全裸系水泳部 ウミショー,,['TV'],13,Finished Airing,"Jul 4, 2007 to Sep 26, 2007",['Summer 2007'],Wednesdays at 02:00 (JST),"['Marvelous Entertainment', 'Pony Canyon', 'Pony Canyon Enterprises', 'Geneon Entertainment']","None found,",['Artland'],['Manga'],"['Comedy', 'Sports', 'Ecchi']",,25 min. per ep.,PG-13 - Teens 13 or older,7.10,#3903,#3725,"40,778",90,17195,"Kaname Okiura, a student of Prefectoral Umineko Shougyou High (""Umishou"" for short), joined the school's swimming club in order to learn how to swim, but the club is filled with weirdos, let alone who can teach him swimming. Then, a sunny, happy-go-lucky girl named Amuro Ninagawa who transferred from Okinawa joined the club. Her extraordinary underwater speed and unorthodox swimming style (plus her personal habit of nude swimming—a powerful magnet to teenage boys) surprised every club member, especially Okiura, because she reminds him of a mermaid-like creature he saw only once in his early childhood. (Source: ANN)","['Adaptation (Manga) Kenkou Zenrakei Suieibu Umishou', '']",Kenkou Zenrakei Suiei-bu Umishou,"Kenkou Zenra-kei Suiei-bu Umishou, Kenkoo Zenra-kei Suiei-bu Umishou, Umisho High School Naked Swimming Club, Umisho",,['Shounen'],,['School'],,,
11,東京魔人學園剣風帖　龖（トウ） 第弐幕,,['TV'],12,Finished Airing,"Jul 27, 2007 to Oct 12, 2007",['Summer 2007'],Fridays at 23:00 (JST),"None found,","['ADV Films', 'Funimation']","['AIC Spirits', 'BeSTACK']",Game,"['Action', 'Drama', 'Horror', 'Mystery']","['Martial Arts', 'School']",24 min. per ep.,R - 17+ (violence & profanity),7.17,#3514,#3783,"39,603",63,14895,"The battle against Tendou Kodzunu is over, and the Magami Five begin to look forward to their senior graduation, hopefully planning for their adult futures. However, life in Tokyo is not at peace... The underground assassin group known as the Twelve Heavenly Generals of the Martial Fist begin to move against those protecting the city from demons. Normally rumored to kill criminals that the mundane law was unable to bring to justice, the Martial Fist now set their sights on Tatsuma Hiyuu, Kyouichi Houraiji, Aoi Misato, Komaki Sakurai, Yuuya Daigo, and Hisui Kisaragi. What is the purpose of this cruel turn of events? And who ordered the hit? New threats emerge as others awakened to powers unleashed by the Ryumyaku seek out the Magami kids - and old friends now return as enemies. Destinies will collide as the Stars of Fate begin to merge; Yin and Yang will meet. And soon the shadowy figure pulling the strings will reveal himself, in an effort to raze Tokyo to the ground and awaken the Vessel of the Golden Dragon.","['Prequel (TV) Tokyo Majin Gakuen Kenpuuchou: Tou', 'Adaptation (Manga) Tokyo Majin Gakuen Kenpuuchou']",Tokyo Majin Gakuen Kenpuuchou: Tou Dai Ni Maku,"Tokyo Majin Gakuen Kenpucho: Tou Kenbu Hen, Tokyo Majin Gakuen Kenpucho: Tou 2nd Act",,,,,,,
12,もえたん,,['TV'],12,Finished Airing,"Jul 9, 2007 to Sep 24, 2007",['Summer 2007'],Mondays at 01:30 (JST),['Lantis'],"None found,",['Actas'],Other,"['Comedy', 'Ecchi']","['Mahou Shoujo', 'School']",24 min. per ep.,R+ - Mild Nudity,6.39,#7739,#4306,"30,054",85,10424,"Ink Nijihara is a girl in high school. Unfortunately her crush Nao Tezuka barely recognizes her. To make matters worse, she is very short. Now Ink meets a duck and becomes a ""mahou shoujo"" and teaches Nao english in disguise. (Source: ANN)","['Adaptation (Manga) Moetan', '']",Moetan,,,,,,,,
13,ドージンワーク,Dojin Work,['TV'],12,Finished Airing,"Jul 4, 2007 to Sep 19, 2007",['Summer 2007'],Wednesdays at 01:30 (JST),"['m.o.e.', 'Media Factory', 'Half H.P Studio', 'Houbunsha', 'Index', 'Toranoana']",['Media Blasters'],['Remic'],['4-koma manga'],"['Comedy', 'Slice of Life']",,13 min. per ep.,PG-13 - Teens 13 or older,6.75,#5624,#4370,"29,173",39,13752,"Doujin Work follows the life of a young girl named Najimi Osana and her exposure into the doujin world. She was first tempted into becoming a doujin artist after seeing how much one of her friends can make at a convention. Najimi loves to draw, though soon learns contrary to what she expected that this new world is anything but easy. As she attends more conventions and meets more people, Najimi eventually manages to find a group of very interesting friends. These friends already have some experience in the field and help her out along the way so that she can someday make a name for herself creating doujinshi. (Source: ANN)","['Adaptation (Manga) Doujin Work', '']",Doujin Work,,,,,['Otaku Culture'],,,
14,スカイガールズ,,['TV'],26,Finished Airing,"Jul 6, 2007 to Dec 28, 2007",['Summer 2007'],Unknown,"['Konami', 'Geneon Entertainment']","None found,",['J.C.Staff'],Original,,"['Mecha', 'Military']",24 min. per ep.,PG-13 - Teens 13 or older,6.99,#4413,#4657,"25,289",51,9490,"In the near future, Earth is at war with aliens called Worms. The war leaves the population of Earth decimated, with young men the main casualties. The Worms were beaten back but their re-emergence heralds the creation of a mecha unit called the Sonic Divers, piloted by 3 young girls to counter this threat.",[],Sky Girls,"Sky Girls TV, Sky Girls (2007)",['Sci-Fi'],,,,,,
15,ななついろ★ドロップス,,['TV'],12,Finished Airing,"Jul 3, 2007 to Sep 18, 2007",['Summer 2007'],Unknown,['Geneon Entertainment'],"None found,",['Studio Barcelona'],Visual novel,,"['Mahou Shoujo', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,6.99,#4432,#4792,"23,742",88,9478,"Tsuwabuki is a normal student, though not very social. One day he meets a new transfer student, named Sumomo Akihime, and another girl, both the only members of the gardening club. Tsuwabuki is forced by a teacher to join this club. But then he bumps into a strange guy with dog ears, switching his drink with they guy's by mistake. Drinking it, he is turned in a stuffed animal. The teacher tells him that the only way to turn back to normal is to find the chosen girl and let her catch the seven stardrops. This girl is Sumomo, that accepts to help him, though she's not allowed to know the animal's true identity. (Source: ANN)","['Adaptation (Manga) Nanatsuiro★Drops', '']",Nanatsu-iro★Drops,"Seven-Colored Drops, Nanatsu-iro Drops: First Love That Encompasses You, Nanatsuiro★Drops",['Romance'],,,,,,
16,ぽてまよ,,['TV'],12,Finished Airing,"Jul 7, 2007 to Sep 22, 2007",['Summer 2007'],Unknown,['Lantis'],"None found,",['J.C.Staff'],['4-koma manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2878,#5168,"19,742",78,7282,"Sunao Moriyama finds a strange but cute creature that he names Potemayo. Potemayo starts following him everywhere, usually riding on top of his head. His discovery becomes the center of attention in his class at school. Soon after, a similar creature appears, and is named Guchuko by one of Sunao's classmates. However, Guchuko doesn't seem to be as good-natured as Potemayo. (Source: ANN)","['Adaptation (Manga) Potemayo', '']",Potemayo,,['Comedy'],['Seinen'],,['School'],,,
17,CODE-E,,['TV'],12,Finished Airing,"Jul 4, 2007 to Sep 19, 2007",['Summer 2007'],Unknown,['Nagoya Broadcasting Network'],['Media Blasters'],['Studio Deen'],Original,"['Comedy', 'Romance', 'Sci-Fi']",,24 min. per ep.,G - All Ages,6.39,#7754,#5234,"19,190",19,7987,"Chinami Ebihara is girl with a strange ability to generate electromagnetic waves when her emotions run high. However, since this ""ability"" affects anything electrical, it resulted in her having to transfer from school to school when she was younger. As Chinami, now 18 years of age, transfers to a new school, she once again affects the electronic devices in the school, but this time, when another student, Kotaro Kannagi, sees her do this, he becomes obsessed in studying her ""TYPE-E"" ability. (Source: ANN)","['Sequel (TV) Mission-E', 'Adaptation (Manga) Code-Ex', 'Adaptation (Light Novel) Code-E: Harukanaru Sasayaki', '']",Code-E,,,,,['School'],,,
18,ムシウタ,Mushi-Uta,['TV'],12,Finished Airing,"Jul 6, 2007 to Oct 5, 2007",['Summer 2007'],Fridays at 00:00 (JST),"['WOWOW', 'Kadokawa Shoten', 'Broccoli', 'Studio Tulip', 'Rakuonsha', 'Zexcs']","None found,",['Beat Frog'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.57,#6638,#5408,"17,542",29,6992,"Mushi-uta's story takes place in the near future. Ten years before the story's opening, strange insect-like creatures known as ""Mushi"" began appearing. The Mushi are able to consume peoples' dreams and thoughts in return for supernatural powers. At the end of episode one, protagonist Daisuke ""Kakkou"" Kusuriya encounters a young girl named Shiika Anmoto. The two, in time, become quite close. However, unbeknownst to Kakkou, Shiika is an escapee from a secret prison known as GARDEN where those posessed by the Mushi, known as the Mushitsuki are held. GARDEN's military force, the Special Environmental Conservation Executive Office, dispatches its finest killer to track down Shiika. However, they are faced with resistance from the Mushibane resistance organisation, led by the secretive ""Ladybird."" (Source: ANN)","['Adaptation (Manga) Mushi-Uta', 'Adaptation (Light Novel) Mushi-Uta']",Mushi-Uta,Mushiuta,,,,,,,
19,BUZZER BEATER 第2期,,['TV'],13,Finished Airing,"Jul 4, 2007 to Sep 26, 2007",['Summer 2007'],Wednesdays at 00:56 (JST),"None found,","None found,",['TMS Entertainment'],['Web manga'],"['Sci-Fi', 'Sports']",,25 min. per ep.,PG-13 - Teens 13 or older,6.76,#5539,#6852,"9,713",7,4536,"After being drafted into the Earth Team, a basketball team comprised solely of humans, street-punk-turned-pro Hideyoshi couldn't be more cocky. The team is still up against the Gorons, a physically superior race of aliens who have dominated the game for some time. New challenges and problems stand in their way. Hideyoshi is unhappy with the team and the Gorons have new tricks up their sleeves. (Source: ANN)","['Prequel (TV) Buzzer Beater', '']",Buzzer Beater 2nd Season,"Buzzer Beater (2007), Buzzer Beater Part 2",,,,['Team Sports'],,,
20,鉄子の旅,,['TV'],13,Finished Airing,"Jun 24, 2007 to Sep 23, 2007",['Summer 2007'],Unknown,"['Toei Video', 'Tohokushinsha Film Corporation', 'Shogakukan', 'Shogakukan Productions']","None found,",['Group TAC'],['Manga'],"['Comedy', 'Slice of Life']",,24 min. per ep.,PG-13 - Teens 13 or older,6.27,#8425,#10678,"2,896",7,637,"Based on a seinen manga by Kikuchi Naoe and Yokomi Hirohiko, serialised in IKKI. The ""story"" is that a manga artist is asked by her boss to accompany him and a travel-writer on various train trips around Japan and draw a manga about it. The kicker though, is that it's completely non-fiction —the creator really did go on all these trips, and the manga simply records what happened, with no embellishment. There's a little disclaimer at the front that says ""This is non-fiction, so I apologize for the lack of drama,"" and indeed, it mostly is just about them riding trains from place to place, waiting on platforms, etc. The ""travel writer"" turns out to be a super train-otaku who has vast knowledge of the train network, but also micro-manages all their trips, planning every detail down to the second. He cares mostly about following the schedule and successfully achieving his planned goals (e.g. visiting all stations on a line in a completely bizarre order to accomodate infrequent trains). The mangaka doesn't really care about trains; she's cynical, sarcastic, and rather lazy (she mainly just looks forward to the next eki-ben); he's completely gung-ho as long as he's following the schedule, and the inevitable conflicts are pretty entertaining. Throughout, though, it feels real —if you've travelled by train in Japan it will all seem very familiar, not just the scenery, but also the atmosphere and feel— and the artist does a great job of pacing and applying little tweaks to keep it consistently entertaining. In an additional bit of recursiveness, some of the characters who show up in the manga (who of course are real people, who really did show up) do so because they (really) read previous episodes of the manga! In addition of course, you can learn about various out of the way and interesting Japanese train lines and stations; some of them really do look cool. There's always this vague sense of surreality about it however, the trips are all planned by the train-guy (goal: visit all 9,843 stations in Japan) who seems to consider everything as part of a checklist rather than an experience to be enjoyed. You learn a bit about train-otaku culture too; there's really only the one guy in the story, but train-otaku culture is a sort of constant peripheral presence. (Source: AniDB)","['Adaptation (Manga) Tetsuko no Tabi', '']",Tetsuko no Tabi,"Tetsuko's Travels, Tetsuko's Trip",,['Seinen'],,,,,
21,はぴはぴクローバー,,['TV'],13,Finished Airing,"Jul 6, 2007 to Sep 28, 2007",['Summer 2007'],Fridays at 16:30 (JST),['Shogakukan Productions'],"None found,",['Group TAC'],['Manga'],"['Fantasy', 'Slice of Life']","['Anthropomorphic', 'Iyashikei']",25 min. per ep.,G - All Ages,6.37,#7869,#11755,"2,094",11,532,Happy Happy Clover recounts the everyday life of a bunny named Chima and the other animals in the Crescent Moon Forest.,"['Adaptation (Manga) Happy Happy Clover', '']",Happy Happy Clover,Happy Clover,,,,,"['Kids', 'Shoujo']",,
22,ご存知!かくざ父さん,,['TV'],11,Finished Airing,"Jul 7, 2007 to Dec 31, 2007",['Summer 2007'],Unknown,"None found,","None found,","None found,",Original,,"['Historical', 'Parody', 'Racing']",2 min. per ep.,G - All Ages,[],#18252,#20327,268,0,,The second season of the Kakuza Tousan franchise.,"['Prequel (TV) Kakuza Tousan', 'Sequel (TV) Kakugen! Kakuza Tousan']",Gozonji! Kakuza Tousan,,['Drama'],,,,,,
23,進め!土管くん,,['TV'],13,Finished Airing,"Jul 7, 2007 to Sep 29, 2007",['Summer 2007'],Unknown,"None found,","None found,",['DLE'],Original,,,6 min. per ep.,G - All Ages,[],#14646,#20389,265,0,,"The second season of the Dokan-kun franchise. It aired within the ""Fight Tension☆School"" variety program.","['Prequel (TV) Dennou Senshi Dokan-kun', 'Sequel (TV) Tatakae! Dokan-kun: Gekitou-kun']",Susume! Dokan-kun,Fight Tension☆School,['Comedy'],,,['Mecha'],,,
24,ななみちゃん 第4シリーズ,,['TV'],16,Finished Airing,"Jun 1, 2007 to Sep 14, 2007",['Summer 2007'],Unknown,"None found,","None found,","None found,",Other,,,5 min. per ep.,G - All Ages,[],#20565,#20849,239,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Nanami-chan 3rd Series', 'Sequel (TV) Nanami-chan 5th Series']",Nanami-chan 4th Series,,,['Kids'],,,,,
25,-ナルト- 疾風伝,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.28,#303,#16,"2,598,340","115,650",1728837,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,Naruto Hurricane Chronicles,,['Shounen'],Naruto Shippuden,['Martial Arts'],,Naruto Shippuden,Naruto Shippuden
