,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Themes,Demographic,Genre,Spanish,Demographics
10,,かなめも,,['TV'],13,Finished Airing,"Jul 6, 2009 to Sep 28, 2009",['Summer 2009'],Mondays at 01:30 (JST),"['Starchild Records', 'TV Tokyo Music', 'Houbunsha']",['Maiden Japan'],['feel.'],['4-koma manga'],"['Comedy', 'Girls Love', 'Ecchi']",['CGDCT'],24 min. per ep.,PG-13 - Teens 13 or older,6.83,#5196,#3709,"41,179",75,15975,"Middle schooler Kana Nakamachi's life drastically changes when her grandmother passes away. Leaving behind an empty house, Kana learns that no one can provide her lodging due to her young age. Eventually, she stumbles upon the Fuhshin Gazette, a local newspaper delivery business who is able to provide her with a place to stay if she works for them in return. The small store is staffed by several unique people: the sweets-loving Yume Kitaoka and her girlfriend Yuuki Minami; the frugal Hinata Azuma; the alcoholic Haruka Nishida; and the young but mature Saki Amano. It is not all fun and games at the Fuhshin Gazette, though, as Kana must deal with long working hours, energetic dogs guarding mailboxes, and confusing delivery routes. Add in a small rivalry with Mika Kujiin, a girl from a competing store, and Kana will have more than enough to keep her hands full! [Written by MAL Rewrite]","['Adaptation (Manga) Kanamemo', '']",Kanamemo,,,,,,,
11,,ファイト一発！充電ちゃん！！,Charger Girl Ju-den Chan,['TV'],12,Finished Airing,"Jun 25, 2009 to Sep 10, 2009",['Summer 2009'],Thursdays at 08:00 (JST),"['Avex Entertainment', 'Genco', 'Mobcast']",['Media Blasters'],['Studio Hibari'],['Manga'],"['Comedy', 'Sci-Fi', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.59,#6529,#3886,"37,361",64,15175,"Meet Plug, an unusual girl from a parallel world. Plug is a ""Juuden-chan,"" capable of ""recharging"" people down on their luck, spreading good cheer wherever she goes!","['Adaptation (Manga) Fight Ippatsu! Juuden-chan!!', '']",Fight Ippatsu! Juuden-chan!!,,,,['Seinen'],,Charger Girl Ju-den Chan,
12,"Umimonogatari Anata ga Itekuretakoto, Sea Story",うみものがたり　～あなたがいてくれたコト～,Umi Monogatari,['TV'],12,Finished Airing,"Jun 25, 2009 to Sep 17, 2009",['Summer 2009'],Thursdays at 01:29 (JST),"None found,",['Nozomi Entertainment'],['Zexcs'],Game,"['Drama', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.60,#6501,#4299,"30,140",30,7764,"Marin and her younger sister Urin are seafolk who happen upon something quite strange: a beautiful silver ring lost beneath the waves. The kind-hearted Marin, intent on returning it to its owner, drags a reluctant Urin along with her to the sky world despite reminders of a turtle elder who left for the surface and never returned. After locating the ring's owner, Kanon Miyamori, they learn that Kanon had tossed it into the sea after her boyfriend dumped her earlier that day. Though Marin insists that such a lovely item should not be thrown away, Kanon discards it once again. As they search for the ring, Urin becomes separated from the other two and accidently breaks the seal on a stone coffin, releasing an evil being known as Sedna. Sensing Sedna's release, the formerly missing turtle elder, Matsumoto, reveals himself to Kanon and her companions, naming Marin as the Priestess of the Sea. Together with the Priestess of the Sky, she has the power to seal Sedna away again. And as luck would have it, during an encounter with one of Sedna's minions, Kanon discovers that she is the Priestess of the Sky. Though Kanon is hesitant, she and Marin decide to work together to save the world from the evil that threatens it. [Written by MAL Rewrite]","['Sequel (Special) Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro', 'Adaptation (Manga) Umi Monogatari: Anata ga Ite Kureta Koto']",Umi Monogatari: Anata ga Ite Kureta Koto,Umimonogatari,Umimonogatari,,,,Umi Monogatari,
13,"Modern Magic for Dummies, Properly Learned Modern Magic, Manageable Modern Magic, Modern Magic Made Simple",よくわかる現代魔法,,['TV'],12,Finished Airing,"Jul 12, 2009 to Sep 27, 2009",['Summer 2009'],Sundays at 00:00 (JST),['Shueisha'],['Sentai Filmworks'],['Nomad'],['Light novel'],,['Mahou Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,6.42,#7615,#4540,"26,959",29,9378,"Life hasn't been fair to Koyomi Morishita. Even though she's in high school, she's so short that everyone assumes she's still in grade school. The boys and girls in her school tease her mercilessly, and she's not exactly graceful either. On the other hand, she's still better off than Yumiko, who has a magician trying to kill her. Or at least Koyomi was until their paths crossed! Fortunately, salvation arrives in the form of master mage and graduate student Misa Anehara, who agrees to take Koyomi under her wing in learning the new style of magic, which breaks enchantment down into sequences of code. That'll be quite a task, given that so far Koyomi's talent seems to consist of making washbasins randomly fall out of the sky. But if it was easy, it wouldn't be magic, would it? (Source: Sentai Filmworks)","['Adaptation (Manga) Yoku Wakaru Gendai Mahou', 'Adaptation (Light Novel) Yoku Wakaru Gendai Mahou']",Yoku Wakaru Gendai Mahou,,,,,['Comedy'],Yoku Wakaru Gendai Maho,
14,"Taishou Era Baseball Daughters, Taishou Era Baseball Girls",大正野球娘。,Taisho Baseball Girls,['TV'],12,Finished Airing,"Jul 3, 2009 to Sep 25, 2009",['Summer 2009'],Fridays at 01:59 (JST),"['Lantis', 'TBS', 'Movic']",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Comedy', 'Sports']",,24 min. per ep.,PG-13 - Teens 13 or older,7.34,#2612,#4916,"22,208",46,7830,"In 1925 (year 14 of the Taisho era) baseball is still quite unknown in Japan and there are only a few male teams. After being told by a baseball player that women should become housewives instead of going to school, 14-year-old Akiko invites her friend Koume to start a baseball team in order to prove him wrong. During this time, when even running was considered too vulgar for women, baseball is known as ""what the boys do"" and they face many difficulties when having to find enough members, to get permission from their parents and also when learning about the sport itself, which they soon discover to be more difficult than expected.","['Adaptation (Manga) Taishou Yakyuu Musume.', 'Adaptation (Light Novel) Taishou Yakyuu Musume.']",Taishou Yakyuu Musume.,,,"['Historical', 'School', 'Team Sports']",,,,
15,Weiss Survive,ヴァイス・サヴァイヴ,,['TV'],16,Finished Airing,"Jun 6, 2009 to Sep 26, 2009",['Summer 2009'],Saturdays at 01:25 (JST),"['TBS', 'Bushiroad']","None found,",['Studio Hibari'],Card game,"['Comedy', 'Ecchi']",['Strategy Game'],2 min. per ep.,PG-13 - Teens 13 or older,6.01,#9879,#4940,"21,965",7,8859,"Takeshi was just an ordinary guy until a perfectly innocent study session with Michi - the most beautiful girl in the school - ended up with him being mysteriously transported into the strange dimension known as the Weiss Schwarz Battle Space. Once there, a crazy but enthusiastic old man informs him that he is the chosen warrior and must win a succession of card battles to get back home. The only problem: he doesn't know how to play! However, with the expert Michi ready to teach him the ins and outs of this bizarre and improbably slapstick card game, Takeshi will learn the ropes and get ready for the card battle of a lifetime. Assuming he survives the training... (Source: ANN)","['Sequel (TV) Weiß Survive R', 'Adaptation (Manga) Weiß Survive']",Weiß Survive,,,,,,,
16,GA: ADC,GA 芸術科アートデザインクラス,,['TV'],12,Finished Airing,"Jul 7, 2009 to Sep 22, 2009",['Summer 2009'],Unknown,"['AIC', 'Houbunsha']","None found,",['AIC PLUS+'],['4-koma manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.12,#3825,#4986,"21,551",83,7422,"The Ayanoi High School features the Geijutsuka Art Design Class (GA) that focuses on the arts. Five close friends — the energetic ""hime""-prankster Noda Miki; the level-headed, cynical Nozaki Namiko; the intelligent, observant, and kind Oomichi Miyabi; the lively and mischievous tomboy Tomokane; and the curious, innocent, glasses-wearing Yamaguchi Kisaragi — attend this class with great enthusiasm, learning about the many art techniques. Every day seems to pose a new and interesting challenge, be it struggling with the latest assignment or when dealing with the daily strangeness of school life. (Source: AniDB)","['Adaptation (Manga) GA: Geijutsuka Art Design Class', '']",GA: Geijutsuka Art Design Class,,,"['CGDCT', 'School', 'Visual Arts']",,['Slice of Life'],,
17,"Elementhunters, Element Hunter",エレメントハンター,,['TV'],39,Finished Airing,"Jul 4, 2009 to Mar 27, 2010",['Summer 2009'],Saturdays at 18:00 (JST),['NHK'],"None found,","['Heewon Entertainment', 'NHK Enterprises']",Original,,,24 min. per ep.,G - All Ages,6.59,#6527,#5927,"13,846",21,4078,"In 2029, a large scale ground sinkage occurred in the Mediterranean Sea. Chemical elements such as oxygen, carbon, gold, molybdenum, and cobalt disappeared from the earth's crust suddenly. The human population was decreased by 90% in sixty years. Researchers found out that the disappeared elements were drained into a planet ""Nega Earth"", located in another dimension. To save the Earth, a special team called the ""Element Hunters"" is organized. All of the members are under 13 years old, because young and flexible brains are needed to access ""Nega Earth"".",[],Element Hunters,,,,,['Sci-Fi'],,
18,Kuru Neko,くるねこ,,['TV'],50,Finished Airing,"Jul 5, 2009 to Jun 26, 2010",['Summer 2009'],Saturdays at 11:40 (JST),"['Kadokawa Pictures Japan', 'Kansai Telecasting', 'Tokai Television']","None found,",['DAX Production'],['Manga'],"['Comedy', 'Slice of Life']",['Pets'],2 min. per ep.,G - All Ages,7.19,#3433,#8797,"5,217",11,1287,Based on a manga about cats and their sake loving owner.,"['Sequel (TV) Kuruneko 2nd Season', 'Adaptation (Manga) Kuruneko']",Kuruneko,,,,,,,
19,Space Ghost!,ウチュレイ！,,['TV'],12,Finished Airing,"Aug 9, 2009 to Sep 19, 2009",['Summer 2009'],Unknown,['AC Create'],"None found,",['Robot Communications'],Original,"['Comedy', 'Sci-Fi', 'Slice of Life']",,3 min. per ep.,PG-13 - Teens 13 or older,5.51,#12070,#12674,"1,561",0,694,"The ""summer supernatural teen comedy"" revolves around an ordinary high school boy named Takashi who ends up living with a space alien's spirit (uchūjin no yūrei) after a strange incident. He names the creature ""Uchurei"" and plans to keep it as a pet, but becomes possessed by it. (Source: ANN)",[],Uchurei!,,,,,,,
20,"Ukkari Penelope, Pénélope tête en l'air, Carelessly Penelope, Absent-minded Penelope, Head in the Air Penelope",うっかりペネロペ,,['TV'],26,Finished Airing,"Jun 29, 2009 to Jan 2, 2010",['Summer 2009'],Unknown,['NHK'],"None found,",['Nippon Animation'],Picture book,,['Anthropomorphic'],5 min. per ep.,G - All Ages,6.07,#9555,#15558,694,0,185,Ukkari Penelope is about a young koala's daily adventures. The narrator is Mamiko Noto!,"['Prequel (TV) Ukkari Pénélope', 'Sequel (TV) Ukkari Pénélope (2013)']",Ukkari Pénélope (2009),,,,['Kids'],['Slice of Life'],,
21,Reina Reina,レイナレイナ,,['TV'],13,Finished Airing,"Jul 4, 2009 to Sep 2009",['Summer 2009'],Unknown,['Sony Music Entertainment'],"None found,","None found,",Picture book,,,5 min. per ep.,G - All Ages,[],#19787,#18863,355,0,,"Based on the picture book ""The Adventures of Lena Lena"" by Harriët van Reek about an incredibly curious girl who looks at the world like children do. She explores whatever comes her way, be it a rat, a worm or even her own body.",[],Lena Lena,,,,,['Slice of Life'],,
22,,龍馬 30 Seconds,,['TV'],5,Finished Airing,Sep 2009,['Summer 2009'],Unknown,['NHK'],"None found,","None found,",Unknown,,['Historical'],30 sec. per ep.,G - All Ages,[],#21479,#18891,353,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ryouma 30 Seconds,,,,,,,
23,GG Bond 04,百变猪猪侠,GG Bond Season 4: The Transform Angel,['TV'],80,Finished Airing,"Aug 13, 2009 to Oct 3, 2009",['Summer 2009'],Unknown,['BlueArc Animation Studios'],"None found,","None found,",Original,"['Fantasy', 'Sci-Fi']",['Super Power'],7 min. per ep.,G - All Ages,[],#16749,#19126,336,1,,This time G.G. Bond has transformed into an angel. He's on a 3 month trial period to help a monster to make sure they stay on the right path.,"['Prequel (TV) Zhu Zhu Xia: Yong Chuang Weilai Cheng', 'Sequel (TV) Zhu Zhu Xia: Jimu Shijie de Tonghua']",Bai Bian Zhu Zhu Xia,,,,['Kids'],,,
24,,따개비 루,,['TV'],52,Finished Airing,"Aug 24, 2009 to Nov 18, 2009",['Summer 2009'],Unknown,['Olive Studio'],"None found,","None found,",Unknown,,,7 min. per ep.,PG - Children,[],#16879,#19183,332,0,,A lovely story of a little seagull Lou who thinks of himself as a barnacle. (Source: Olive Studio),[],Barnacle Lou,,,,['Kids'],,,
25,,유후와 친구들,YooHoo & Friends,['TV'],26,Finished Airing,"Jul 7, 2009 to Dec 18, 2009",['Summer 2009'],Unknown,"None found,","None found,","None found,",Original,,,23 min. per ep.,PG - Children,[],#16170,#19485,315,2,,The characters are species at risk of extinction who take a journey together to find new friends on other continents. The show is designed to teach children about environmental protection and preservation. The series was developed in 2007 and targeted at the global market. (Source: AWN),"['Sequel (TV) Yuhuwa Chingudeul 2', '']",Yuhuwa Chingudeul,YooHoo & Friends,YooHoo & Friends,,['Kids'],,YooHoo & Friends,
26,Tao: Little Wizard,꼬마 신선 타오,Little Wizard Tao,['TV'],39,Finished Airing,"Jul 13, 2009 to Apr 26, 2010",['Summer 2009'],Unknown,"None found,","None found,","None found,",Original,,,22 min. per ep.,G - All Ages,[],#19481,#20199,274,0,,"This Korean and Chinese co-production series focuses on Tao, a young boy with magical powers, as he attends school to become a wizard. Each episode was composed of two stories. (Source: Wiki)","['Sequel (TV) Kkoma Sinseon Tao 2', '']",Kkoma Sinseon Tao,,,,['Kids'],,,
27,,ななみちゃん 第6シリーズ,,['TV'],16,Finished Airing,"Jun 14, 2009 to Sep 27, 2009",['Summer 2009'],Unknown,"None found,","None found,","None found,",Other,,,5 min. per ep.,G - All Ages,[],#20566,#21200,218,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Nanami-chan 5th Series', '']",Nanami-chan 6th Series,,,,['Kids'],,,
28,"Shuimu Xuetang 2 Shuxue Pian, Shuimu Xuetang 2 Yuwen Pian",水木学堂第二季,,['TV'],400,Finished Airing,Jul 2009 to Dec 2009,['Summer 2009'],Unknown,"None found,","None found,","None found,",Original,,,10 min. per ep.,PG - Children,[],#14378,#22357,161,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shuimu Xuetang', '']",Shuimu Xuetang 2nd Season,,,,['Kids'],['Comedy'],,
29,,小牛向前冲,Go! Calf,['TV'],52,Finished Airing,"Aug 26, 2009 to Oct 16, 2009",['Summer 2009'],Unknown,"None found,","None found,","None found,",Original,,['Anthropomorphic'],22 min. per ep.,PG - Children,[],#15587,#23355,127,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Dajiao Niu Meng Gongchang', '']",Xiao Niu Xiang Qian Chong,,,,['Kids'],['Fantasy'],,
30,,星猫的秘密基地,,['TV'],48,Finished Airing,Jun 2009 to Feb 2010,['Summer 2009'],Unknown,"None found,","None found,","None found,",Original,,,12 min. per ep.,PG - Children,[],#15792,#24263,107,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xing Mao de Mimi Jidi,,,,['Kids'],,,
31,,小鼠乒乒之成语大典,,['TV'],52,Finished Airing,Aug 2009 to Jul 2010,['Summer 2009'],Unknown,"None found,","None found,","None found,",Other,,,11 min. per ep.,PG - Children,[],#15611,#24591,101,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiao Shu Ping Ping: Chengyu Dadian,,,,['Kids'],,,
