,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Theme,Demographic,Genre,Themes,Demographics
31,,ばなにゃ,Bananya,['TV'],13,Finished Airing,"Jul 4, 2016 to Sep 26, 2016",['Summer 2016'],Mondays at 20:55 (JST),"['TMS Entertainment', 'DAX Production', 'TMS Music']",['Discotek Media'],['Gathering'],Original,,3 min. per ep.,G - All Ages,6.76,#5550,#2715,"72,652",365,38240,"Above a nondescript kitchen counter quietly hangs a bunch of ripe, yellow bananas. Suddenly, one of the slender fruits begins to shake, gently at first but slowly increasing in ferocity until it tears itself away from the rest. With a graceful landing, the long and curvy edible gradually rolls back its golden peels, revealing what lies beneath its firm covering to be something unexpected: a cat! This mysterious feline-fruit hybrid is named Bananya. Carefree and gentle, the adorable creature dreams of one day becoming a luscious bananya bathed in chocolate. Together with his fellow bananya, this kitten cloaked in yellow passes its days without a care in the world, enjoying a rather calm and peaceful existence as it experiences what the world has to offer. [Written by MAL Rewrite]","['Sequel (TV) Bananya: Fushigi na Nakama-tachi', '']",Bananya,,,,['Anthropomorphic'],['Kids'],['Slice of Life'],,
32,,チア男子!!,Cheer Boys!!,['TV'],12,Finished Airing,"Jul 5, 2016 to Sep 27, 2016",['Summer 2016'],Tuesdays at 23:00 (JST),"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Tokyo MX', 'Shueisha', 'Sony PCL']",['Funimation'],"[""Brain's Base""]",Novel,,24 min. per ep.,PG-13 - Teens 13 or older,6.66,#6113,#2873,"65,478",119,26017,"After suffering from a shoulder injury, shy first-year university student Haruki Bandou gladly takes the opportunity to give up judo, failing to find happiness in the sport regardless of his family owning a dojo. He did not expect, however, that his best friend Kazuma Hashimoto would also decide to leave their university's judo club at the same time as him. Despite Haruki's protests, Kazuma already has plans for a new and revolutionary activity: a cheerleading team made up of only men. Although heavily reluctant, Haruki ends up helping his friend set up the team. Through sheer determination, and with support from their newfound club members, Haruki and Kazuma persist in founding the Breakers, the first ever all-male cheerleading team of Meishiin University, slowly making history in spite of the feminine tag attached to the sport of cheerleading and the prejudices, physical challenges, and self-doubts that inevitably follow. [Written by MAL Rewrite]","['Adaptation (Manga) Cheer Danshi!! Go Breakers', 'Adaptation (Novel) Cheer Danshi!!']",Cheer Danshi!!,,Cheer Boys!!,,,,['Sports'],"['Adult Cast', 'Performing Arts']",
33,,アンジュ・ヴィエルジュ,,['TV'],12,Finished Airing,"Jul 10, 2016 to Sep 25, 2016",['Summer 2016'],Sundays at 01:30 (JST),"['Sotsu', 'Sega', 'KlockWorx', 'Grooove', 'Kadokawa', 'Sega Games']","None found,","['SILVER LINK.', 'Connect']",Card game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",23 min. per ep.,R+ - Mild Nudity,5.98,#10016,#3082,"57,344",88,17029,"Five separate worlds—Black, White, Green, Red, and Blue—are linked by the ""Halo"" and exist in a harmonious balance. However, the Halo suddenly opens in an event known as the World Connect, threatening to destroy the universe. Coming under attack by Ouroboros, an alien species that wishes to accelerate the universe's end, the five worlds recruit girls with special abilities called Exceed to defend against them. Saya Sougetsu, a young girl from the Blue World of Earth, is one such individual able to wield Exceed power. Believing this to be her chance to make a difference, Saya eagerly joins the defense force. There, she meets Amane Ayashiro, another girl from Earth, as well as a selection of fighters from the other worlds. Faced with a formidable foe, the girls must prove that their newfound bonds are strong enough to save the future. [Written by MAL Rewrite]",[],Ange Vierge,,,,,,,"['School', 'Super Power']",
34,,バッテリー,,['TV'],11,Finished Airing,"Jul 15, 2016 to Sep 23, 2016",['Summer 2016'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",['Discotek Media'],['Zero-G'],Novel,"['Drama', 'Sports']",22 min. per ep.,PG-13 - Teens 13 or older,5.71,#11336,#3185,"53,777",57,21250,"At only 12 years old, Takumi Harada is already hailed as a prodigious baseball pitcher. But when his family moves to the backwater town of Nitta, Takumi has no choice but to join his new school's unskilled baseball team. This development has little effect on the boy, as he believes it is more interesting if this no-name club becomes a powerhouse due to his presence. However, due to his overwhelming talent, Takumi is in need of a catcher able to keep up with his pitches. His worries are soon put to rest after meeting Gou Nagakura. As his fan and fellow student, Gou is eager to prove that he is not a simple braggart, but rather a player skillful enough to catch Takumi's pitches. Amid struggling to form a battery with Gou, Takumi comes into conflict with his new teammates due to his irreverent personality but grapples to find the true joy of the sport under his grandfather's guidance. [Written by MAL Rewrite]","['Adaptation (Manga) Battery', '']",Battery,,,,['Team Sports'],,,,
35,,B-PROJECT～鼓動＊アンビシャス～,,['TV'],12,Finished Airing,"Jul 3, 2016 to Sep 25, 2016",['Summer 2016'],Sundays at 00:30 (JST),"['Aniplex', 'Movic', 'MAGES.', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'BS11', 'Lawson', 'ABC Animation', 'Christmas Holly', 'C-one']","None found,",['A-1 Pictures'],Mixed media,,24 min. per ep.,PG-13 - Teens 13 or older,6.58,#6599,#3395,"47,687",186,17320,"The anime's story follows Tsubasa, a new hire in the A&R department of the major recording company Gandala Music. Tsubasa is immediately assigned to oversee the idol unit ""B-PROJECT,"" which is made up of three idol groups: Kitakore, THRIVE, and MooNs. This is Tsubasa's first job, and she gets involved in various incidents and accidents as she deals with this group of young men who each have their own differing personalities. (Source: ANN)","['Sequel (TV) B-Project: Zecchou*Emotion', 'Adaptation (Manga) B-Project: Mousou*Scandal']",B-Project: Kodou*Ambitious,B-Project,B-Project,B-Project,,,,"['Idols (Male)', 'Music']",
36,,レガリア The Three Sacred Stars,Regalia: The Three Sacred Stars,['TV'],13,Finished Airing,"Jul 7, 2016 to Nov 24, 2016",['Summer 2016'],Thursdays at 22:00 (JST),"['Sotsu', 'Lantis', 'Movic', 'AT-X', 'Memory-Tech', 'Happinet Pictures', 'BS Fuji', 'Good Smile Company', 'Hakuhodo DY Music & Pictures', 'Infinite']",['Funimation'],['Actas'],Original,"['Action', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,5.97,#10060,#4261,"30,590",32,8242,"In the kingdom of Rimgarde, two mysterious giant robots begin a duel that erases nearly all human life before they disappear. Twelve years later, the young empress of Enastoria, Yuinshiel Asteria, works tirelessly to maintain both her authority and the support of her citizens. But the peace of Enastoria is threatened when survivors of Rimgarde arrive. Armed with giant robots called Regalia Gear, they look for Yuinshiel's adopted sister, Rena. The latter is forced to reveal herself as not just a Regalia Gear wielder, but a real ""Regalia""—a human capable of transforming into a giant robot—and the culprit behind the fall of Rimgarde. Suddenly caught up in an international dispute, Yuinshiel must preserve the security of her country while also protecting Rena from those who wish to abuse her powers. However, by fighting for her sister, Yuinshiel risks triggering the same calamity that once destroyed Rimgarde. Amid such a precarious situation, the two girls push their bond to its limits as they fight not only for themselves but for the world's safety as well. [Written by MAL Rewrite]",[],Regalia: The Three Sacred Stars,,,,['Mecha'],,,,
37,"Binan Koukou Chikyuu Bouei-bu LOVE! 2nd Season, Cute High Earth Defense Club LOVE! 2nd Season",美男高校地球防衛部LOVE！LOVE！,Cute High Earth Defense Club LOVE! LOVE!,['TV'],12,Finished Airing,"Jul 8, 2016 to Sep 23, 2016",['Summer 2016'],Fridays at 02:35 (JST),"['Sotsu', 'Pony Canyon']",['Ponycan USA'],['Studio Comet'],Original,,24 min. per ep.,PG-13 - Teens 13 or older,7.00,#4404,#4288,"30,239",119,11472,"After pulling the plug on the space reality TV show ""Can I Destroy the Earth? 2,"" the Defense Club and the Conquest Club return to their peaceful high school lives. Time has passed since that fearsome battle, and it's now autumn. The five Defense Club members have stopped serving as the Battle Lovers, and are enjoying a soak in the Kurotama Bath like always, when the Conquest Club broaches a subject that will change a great deal about events to come... [Source: Crunchyroll]","['Prequel (TV) Binan Koukou Chikyuu Bouei-bu LOVE!', 'Sequel (OVA) Binan Koukou Chikyuu Bouei-bu LOVE! LOVE! LOVE!', 'Adaptation (Light Novel) Binan Koukou Chikyuu Bouei-bu Love! Novel!', '']",Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,Cute High Earth Defense Club LOVE! LOVE!,Cute High Earth Defense Club LOVE! LOVE! (Cute Koukou Chikyuu Bouei-bu LOVE! LOVE!),Cute High Earth Defense Club LOVE! LOVE!,,,['Comedy'],"['Parody', 'School']",
38,Tsukiani.,ツキウタ。 THE ANIMATION,TSUKIUTA. The Animation,['TV'],13,Finished Airing,"Jul 6, 2016 to Sep 28, 2016",['Summer 2016'],Wednesdays at 23:00 (JST),"['Movic', 'Pierrot Plus']",['Funimation'],['Pierrot'],Music,,24 min. per ep.,PG-13 - Teens 13 or older,6.89,#4858,#4423,"28,412",189,8901,"Tsukino Talent Productions is home to two up-and-coming idol units named Six Gravity and Procellarum. The units all live together in the same dormitory and try to juggle their budding careers and daily lives. At their joint handshake event, unit leaders Hajime Mutsuki and Shun Shimotsuki announce the ""Full Moon Festival""—a collaboration concert in a few months. Excited about the upcoming event, these 12 male idols must learn to collaborate with each other in order to pull it off successfully. [Written by MAL Rewrite]","['Sequel (TV) Tsukiuta. The Animation 2', '']",Tsukiuta. The Animation,,,,,,,"['Idols (Male)', 'Music']",
39,Active Raid: Special Public Security Fifth Division Third Mobile Assault Eighth Unit 2nd,アクティヴレイド　－機動強襲室第八係－ 2nd,Active Raid Second,['TV'],12,Finished Airing,"Jul 11, 2016 to Sep 26, 2016",['Summer 2016'],Mondays at 00:30 (JST),"['Sotsu', 'Magic Capsule', 'flying DOG', 'Fields']","None found,",['Production IMS'],Original,"['Action', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,6.32,#8139,#4989,"21,505",12,8462,"Set in a part of Tokyo that has descended into a quagmire, the story follows Unit 8 of the 5th Special Public Security Section's 3rd Mobile Assault Division, popularly called ""The Eighth,"" who don powered armor ""Willwear"" exoskeletons to counter the rise in crime. (Source: ANN)","['Prequel (TV) Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari', '']",Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,Active Raid Second,Active Raid Second,Active Raid Second,,,,"['Adult Cast', 'Mecha']",
40,,スカーレッドライダーゼクス,,['TV'],12,Finished Airing,"Jul 6, 2016 to Sep 21, 2016",['Summer 2016'],Wednesdays at 01:35 (JST),"['Sotsu', 'MediaNet', 'AT-X', 'MAGES.', 'Docomo Anime Store', '5pb.']",['Funimation'],['Satelight'],Visual novel,"['Adventure', 'Romance', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,5.26,#12777,#5002,"21,384",21,5820,"The Blue World, which symbolizes reason, is under constant attack by the creatures called the Nightfly O'Note originating from the Red World, symbolizing instinct. Akira Asagi, the 17-year-old protagonist who is a researcher at Blue World, is nominated to lead the war at Ryuukyuu LAG, a proud defense facility on the islands of Ishigaki and Iriomote. She meets the sixth combat unit ""IS,"" which was formed four years after a fierce battle that annihilated the fifth unit. Akari must lead these six riders, also called the Scared Rider Xechs, to fight against the other world while at the same time deepening the relationship among them. (Source: MAL News)",[],Scared Rider Xechs,,,,['Reverse Harem'],,,,
41,,オズマフィア,,['TV'],12,Finished Airing,"Jul 7, 2016 to Sep 22, 2016",['Summer 2016'],Thursdays at 00:00 (JST),"['Hobi Animation', 'project lights', 'Cloud22']","None found,",['Creators in Pack'],Visual novel,"['Comedy', 'Fantasy']",5 min. per ep.,PG-13 - Teens 13 or older,5.46,#12234,#5016,"21,243",20,7863,The anime will feature an original story from the game on which it is based.,"['Adaptation (Manga) Ozmafia!!', '']",Ozmafia!!,,,,,['Josei'],,"['Historical', 'Organized Crime']",
42,MariWaka,タイムトラベル少女～マリ・ワカと8人の科学者たち～,Time Travel Girl,['TV'],12,Finished Airing,"Jul 9, 2016 to Sep 24, 2016",['Summer 2016'],Saturdays at 07:00 (JST),"['TV Tokyo', 'Studio Mausu']",['Funimation'],['WAO World'],Book,"['Adventure', 'Sci-Fi']",24 min. per ep.,PG - Children,6.49,#7141,#5418,"17,424",10,6181,Time Travel Shoujo is based on a 1983 book titled Jishaku to Denki no Hatsumei Hakken Monogatari by Japanese educator Kiyonobu Itakura. It is part of the Hatsumei Hakken Monogatari Zenshuu series which describes the story of various scientific discoveries and inventions throughout history. The 1983 book focuses on discoveries related to magnetism and electricity.,[],Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi,Time Travel Girl,Time Travel Girl,Time Travel Girl,['Time Travel'],,,,
43,Fart Gorou,おなら吾郎,Onara Goro,['TV'],13,Finished Airing,"Jul 3, 2016 to Sep 24, 2016",['Summer 2016'],Sundays at Unknown,"None found,","None found,",['ILCA'],Original,,3 min. per ep.,PG - Children,5.55,#11965,#5711,"15,228",86,7609,"Onara Gorou follows the everyday life of Gorou, the ""most admirable of farts,"" as he solves problems in ways that only a fart can. (Source: ANN)","['Prequel (ONA) Konnichiwa Onara Gorou', '']",Onara Gorou,Onara Goro,Onara Goro,Onara Goro,['Gag Humor'],,['Comedy'],,
44,,SHOW BY ROCK!! しょ～と!!,Show By Rock!! Short!!,['TV'],12,Finished Airing,"Jul 5, 2016 to Sep 20, 2016",['Summer 2016'],Tuesdays at 01:00 (JST),"['Pony Canyon', 'Sanrio', 'Techno Sound']",['Funimation'],['Bones'],Game,,3 min. per ep.,PG-13 - Teens 13 or older,6.46,#7330,#5791,"14,685",19,5424,Happy-go-lucky short stories of daily lives of the band members of Plasmagica and ShinganCrimsonZ.,[],Show By Rock!! Short!!,,,,['Music'],,['Comedy'],,
45,,魔法少女? なりあ☆がーるず,Mahou Shoujo? Naria Girls,['TV'],12,Finished Airing,"Jul 7, 2016 to Sep 22, 2016",['Summer 2016'],Thursdays at 00:05 (JST),"['Pony Canyon', 'Pony Canyon Enterprises', 'SMIRAL Animation']","None found,",['Bouncy'],Original,,8 min. per ep.,PG-13 - Teens 13 or older,3.88,#13778,#6886,"9,533",20,3092,"After the Ice Queen brings eternal winter to the land of Nariadia, the only hope to restore balance is to gather human warriors and give them the power of Naria crystals. For this reason, Animaru has chosen the middle schoolers Urara, Inaho, and Hanabi as warriors. The girls, however, are much more focused on mocking the events happening around them and trying to earn money as idols. When the Ice Queen's familiars appear, they use the ""Ice Mirror"" to trick the girls into performing ridiculous skits. Will Urara, Inaho, and Hanabi ever step up and embrace their roles as magical girls, or will their antics prove too distracting to themselves? [Written by MAL Rewrite]",[],Mahou Shoujo? Naria☆Girls,Mahou Shoujo? Naria Girls,Naria Girls,Mahou Shoujo? Naria Girls,['Mahou Shoujo'],,,,
46,PazuDora Cross,パズドラクロス,Puzzle & Dragons X,['TV'],89,Finished Airing,"Jul 4, 2016 to Mar 26, 2018",['Summer 2016'],Mondays at 18:25 (JST),"['Audio Planning U', 'GungHo Online Entertainment']",['Funimation'],['Pierrot'],Game,,24 min. per ep.,PG-13 - Teens 13 or older,6.49,#7130,#7045,"9,035",20,2664,"Dorogoza Island is rich in ""Drop Energy"" that players can use on friendly monsters. Once strong enough, they can face enemies in puzzle wars. Winners reap rewards, but what happens to the losers? Only the brave can take on these monstrous challenges! (Source: FUNimation)",[],Puzzle & Dragons Cross,Puzzle & Dragons X,Puzzle & Dragons X,Puzzle & Dragons X,['Strategy Game'],['Kids'],,,
47,,신비아파트 : 고스트볼의 비밀,The Haunted House: The Secret of the Ghost Ball,['TV'],24,Finished Airing,"Jul 20, 2016 to Jan 18, 2017",['Summer 2016'],Unknown,['CJ ENM'],"None found,",['Studio BAZOOKA'],Original,"['Mystery', 'Supernatural']",24 min. per ep.,G - All Ages,6.82,#5228,#11912,"1,995",19,951,"With help from a 102-year-old goblin dwelling beneath their haunted apartment building, two siblings deal with ghosts and take on spooky mysteries. (Source: Netflix)","['Prequel (TV Special) Sinbi Apartment 444ho', 'Sequel (TV) Sinbi Apartment: Ghost Ball X-ui Tansaeng']",Sinbi Apartment: Ghost Ball Bimil,,La Casa Embrujada: El Secreto de la Bola Fantasma,,,['Kids'],,,
48,,ネコこのゴロ,,['TV'],50,Finished Airing,"Jun 8, 2016 to Oct 5, 2016",['Summer 2016'],Not scheduled once per week,['Anime Beans'],"None found,",['Kachidoki Studio'],['Manga'],,1 min. per ep.,G - All Ages,[],#20605,#13322,"1,290",1,,Based on the characters created by Study.,[],Neko Konogoro,,,,,,['Comedy'],,
49,,ふりぃきぃ～はいすく～る,Freaky Highschool,['TV'],69,Finished Airing,"Jun 10, 2016 to Sep 29, 2017",['Summer 2016'],Fridays at 02:05 (JST),"None found,","None found,","None found,",Original,,Unknown,PG - Children,[],#18006,#16421,569,0,,A cutesy horror anime. Everyone in town is monster but they're living their lives like normal while attending high school.,[],Freaky Highschool,,,,['School'],,['Horror'],,
50,PJ Berry no Mogu Mogu Munya Munya,PJベリーのもぐもぐむにゃむにゃ,,['TV'],20,Finished Airing,"Aug 19, 2016 to Mar 9, 2017",['Summer 2016'],Unknown,['Fuji TV'],"None found,",['Doga Kobo'],Game,,1 min. per ep.,G - All Ages,[],#21061,#16552,553,0,,"Fuji TV announced that it will air a new series of anime shorts based on the Parappa the Rapper video game franchise. The new anime will center on the P.J. Berri character. Each episode is about 96 seconds long. The anime celebrates both the 20th anniversary of the game and the 15th anniversary of the anime series. (Source: US Anime Direct, edited)","['Sequel (TV) PJ Berri no Mogumogu Munyamunya Season 2', '']",PJ Berri no Mogumogu Munyamunya,,,,,,['Comedy'],,
51,"GuraP & Rodeo 2nd Season, GraP & RodeO 2nd Season",ぐらP&ろで夫II,,['TV'],27,Finished Airing,"Jul 1, 2016 to Dec 30, 2016",['Summer 2016'],Fridays at 21:55 (JST),['Lantis'],"None found,",['Pie in the sky'],Original,,2 min. per ep.,PG-13 - Teens 13 or older,[],#18242,#17385,467,2,,2nd Season of Gra-P & Rodeo.,"['Prequel (TV) Gra-P & Rodeo', '']",Gra-P & Rodeo II,,,,['Music'],,['Comedy'],,
52,,ミカンせいじん現わる,,['TV'],58,Finished Airing,"Aug 26, 2016 to Sep 29, 2017",['Summer 2016'],Fridays at 01:25 (JST),"None found,","None found,","None found,",Other,,20 sec. per ep.,G - All Ages,[],#20239,#17428,464,2,,"The story centers on the titular Mikan Seijin (Orange Alien), who appears from Local 3 (an orange planet in a higher dimension) with plans of invading the Earth. (Source: ANN)",[],Mikan Seijin Arawaru,,,,,,['Comedy'],,
53,,オトナの一休さん,,['TV'],13,Finished Airing,"Jun 6, 2016 to Dec 28, 2016",['Summer 2016'],Wednesdays at 20:45 (JST),['NHK'],"None found,","None found,",Unknown,,5 min. per ep.,PG-13 - Teens 13 or older,[],#20906,#17679,444,2,,"An adult comedy series following the life of Ikkyuu, a monk.","['Sequel (TV) Otona no Ikkyuu-san 2nd Season', '']",Otona no Ikkyuu-san,,,,['Historical'],,['Comedy'],,
54,"Kobito Zukan, Chobitto Dukan",ちょびっとづかん,,['TV'],52,Finished Airing,"Jul 7, 2016 to Jun 29, 2017",['Summer 2016'],Sundays at 20:55 (JST),"None found,","None found,",['Kachidoki Studio'],Picture book,,4 min. per ep.,PG - Children,[],#17310,#18039,417,0,,Based on a picture book series launched in 2006 about creatures that are neither insects nor plants. (Source: ANN),[],Chobitto Zukan,,,,,['Kids'],['Fantasy'],,
55,,꼬마버스 타요 4,Tayo the Little Bus Season 4,['TV'],26,Finished Airing,"Aug 31, 2016 to Nov 24, 2016",['Summer 2016'],Not scheduled once per week,"None found,","None found,","['Iconix Entertainment', 'Studio Gale']",Original,,11 min. per ep.,PG - Children,5.61,#11749,#18685,366,0,138,The fourth season of Kkoma Bus Tayo.,"['Prequel (TV) Kkoma Bus Tayo 3', 'Sequel (TV) Kkoma Bus Tayo 5']",Kkoma Bus Tayo 4,Tayo Der Kleine Bus Staffel 4,Tayo El Pequeño Autobús 4,,['Racing'],['Kids'],,,
56,,파워배틀 와치카 시즌 2,Power Battle Watch Car,['TV'],13,Finished Airing,"Aug 23, 2016 to Nov 15, 2016",['Summer 2016'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,26 min. per ep.,G - All Ages,5.91,#10398,#19005,344,0,122,The second season of Power Battle Watch Car.,"['Prequel (TV) Power Battle Watch Car', 'Sequel (Movie) Power Battle Watch Car: Watch Gamyeon-ui Yeogseub']",Power Battle Watch Car Season 2,,Watchcar Temporada 2,,['Racing'],['Kids'],,,
57,The Sound of Heart: Season 1,마음의 소리 시즌 1,The Sound of Your Heart,['TV'],26,Finished Airing,"Jul 19, 2016 to Dec 27, 2016",['Summer 2016'],Sundays at Unknown,"None found,","None found,","None found,",['Web manga'],"['Comedy', 'Slice of Life']",Unknown,PG-13 - Teens 13 or older,[],#19912,#20462,260,1,,"While it may seem like a mere depiction of everyday life, The Sound of Your Heart is a comedy filled to the brim with wit, sarcasm, and parody. It gives no regard for the probable or realistic- it is a series of absurd situations that is sure to get a laugh out of every reader willing to suspend their sense of reality. (Source: LINE Webtoon)","['Sequel (TV) Ma-eum-uisoli Season 2', 'Adaptation (Manhwa) The Sound of Your Heart']",Ma-eum-uisoli,,,,,,,,
58,,깨미탐험대,Kemy Expedition,['TV'],26,Finished Airing,"Jun 13, 2016 to Dec 12, 2016",['Summer 2016'],Unknown,"None found,","None found,","None found,",Original,,23 min. per ep.,G - All Ages,[],#19369,#20771,242,0,,"A season of Kemy, where the gang goes on expeditions to explore nature. This season is similar to the original Kemy Lang Buka Chaka where some of the footage is live action nature. Still, Buka and Chaka do not reprise their roles in this season either.","['Prequel (TV) Kemy', '']",Kemy Tamheomdae,,,,,['Kids'],['Adventure'],,
59,"Sophie Ruby, Sopilubi",소피루비,,['TV'],52,Finished Airing,"Aug 30, 2016 to Aug 20, 2017",['Summer 2016'],Unknown,"None found,","None found,","None found,",Unknown,,12 min. per ep.,G - All Ages,[],#14453,#21445,206,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Kkum-ui Wang-gug SofyRuby', '']",SofyRuby,,,,,['Kids'],['Comedy'],,
60,,新葫蘆兄弟,Calabash Brothers Ⅱ,['TV'],52,Finished Airing,"Jul 6, 2016 to Jul 11, 2017",['Summer 2016'],Unknown,"None found,","None found,",['Shanghai Animation Film Studio'],Original,,11 min. per ep.,PG - Children,[],#15748,#22177,168,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hulu Xiongdi', '']",Xin Hulu Xiongdi,,,,,['Kids'],,,
61,"Huoxian Zhan Jing, 火线战警",강철소방대 파이어로보,Steel Fire Brigade Fire Robo,['TV'],26,Finished Airing,"Aug 29, 2016 to Feb 20, 2017",['Summer 2016'],Unknown,"None found,","None found,",['Studio Button'],Original,"['Action', 'Sci-Fi']",24 min. per ep.,PG - Children,[],#14591,#22132,170,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Steel Fire Brigade Fire Robo,,,,['Mecha'],['Kids'],,,
62,Seer Seventh Season,赛尔号第7季：宇宙之眼,,['TV'],30,Finished Airing,"Jun 3, 2016 to Sep 17, 2016",['Summer 2016'],Unknown,"None found,","None found,","None found,",Game,,15 min. per ep.,PG - Children,[],#21499,#22454,156,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Sai Er Hao Season 6: Cangqiong Liehuo', 'Sequel (TV) Sai Er Hao Season 8: Huanmeng Zhan Ji']",Sai Er Hao Season 7: Yuzhou Zhi Yan,,,,,['Kids'],,,
63,,다이노코어,DinoCore,['TV'],13,Finished Airing,"Aug 26, 2016 to Nov 18, 2016",['Summer 2016'],Unknown,"None found,","None found,","None found,",Unknown,,11 min. per ep.,PG - Children,[],#17643,#22495,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) DinoCore Season 2', '']",DinoCore,,,,['Mecha'],['Kids'],['Action'],,
64,,안녕! 괴발개발,Hello! Pawmily,['TV'],13,Finished Airing,"Jun 5, 2016 to Aug 28, 2016",['Summer 2016'],Unknown,"None found,","None found,","None found,",['Web manga'],,10 min. per ep.,PG - Children,[],#16589,#23561,121,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Annyeong! Goebalgaebal,,,,,['Kids'],['Comedy'],,
65,,헬로 카봇 시즌4,,['TV'],26,Finished Airing,"Jul 16, 2016 to Feb 11, 2017",['Summer 2016'],Unknown,"None found,","None found,","None found,",Original,,12 min. per ep.,PG - Children,[],#18505,#23502,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 3', 'Sequel (TV) Hello Carbot Season 5']",Hello Carbot Season 4,,,,,['Kids'],['Action'],"['Mecha', 'Racing']",
66,,꼬마해녀 몽니와 해녀특공대,,['TV'],26,Finished Airing,"Jun 2, 2016 to Sep 8, 2016",['Summer 2016'],Unknown,"None found,","None found,","None found,",Original,,11 min. per ep.,PG - Children,[],#19468,#24633,100,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kkoma Haenyeo Mongniwa Haenyeo Teuggongdae,,,,,['Kids'],['Adventure'],,
67,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.28,#303,#16,"2,596,462","115,577",1727657,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,Naruto Shippuden,Naruto Shippuden,Naruto Shippuden,['Martial Arts'],['Shounen'],,,
68,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,494,660","234,528",1418467,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,,['Shounen'],,,
