,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Genre,Theme,German,Demographics
86,,夢現の境界,The Boundary between Dream and Reality,,['OVA'],4,Finished Airing,"Oct 28, 2000 to Jul 18, 2001",,,['Five Ways'],"None found,",['Mikimoto Production'],Visual novel,"['Fantasy', 'Supernatural', 'Hentai']",,,28 min. per ep.,Rx - Hentai,5.54,N/A,#11812,"2,064",0,640,"The main character, Kengo, keeps having dreams of a strange world where different animal (and plant) women are being raped by strange monsters. Why is this and what is this strange dream world? Before long it will become more than just a mere dream... (Source: AniDB)",[],Mugen no Kyoukai,,,,,
87,,With You ~みつめていたい~,,,['OVA'],2,Finished Airing,"Dec 25, 2000 to May 25, 2001",,,['Groove Corporation'],"None found,",['Arms'],Visual novel,"['Drama', 'Fantasy', 'Mystery', 'Romance']","['Love Polygon', 'School']",,28 min. per ep.,PG-13 - Teens 13 or older,5.18,#12957,#12122,"1,884",0,751,"Based on a H-game with the same title released by Cocktail Soft in 1998, With You: Mitsumeteitai focuses on love triangle between the main characters who were childhood friends. They were separated because one of them had to move to Myanmar (an Asian country formerly known as Burma). After six years, they are re-united again and the story begins... (Source: AniDB)",[],With You: Mitsumeteitai,,,,,
88,Song of the Baby Bird,雛鳥の囀,Maiden of Deliverance,,['OVA'],2,Finished Airing,"Nov 26, 2000 to Feb 16, 2001",,,['Discovery'],['Kitty Media'],"None found,",Visual novel,,,,29 min. per ep.,Rx - Hentai,5.42,N/A,#12373,"1,721",2,518,"Dred Burton was a railroad tycoon who lived in a mansion with many maids who were used to ""serve"" the guests of the house. Now he's dead, but there's a new boss in town and she's just as bad as he was. The maids are being forced into even more bizarre and debaucherous situations than ever before. How far will things go? When will the pleasurable tortures end?","['Prequel (OVA) Kara no Naka no Kotori', '']",Hinadori no Saezuri,,['Hentai'],,,
89,,恋図〜ふたりの距離〜,Renzu: The Distance Between the Two,,['OVA'],1,Finished Airing,"Oct 8, 2000",,,['Five Ways'],['NuTech Digital'],['G.P Entertainment'],Original,,,,28 min.,Rx - Hentai,5.19,N/A,#12611,"1,594",0,537,"During his high school years, Tohru Shioda saved his childhood friend Asuka Misaki in exchange for his golden leg. Unable to play soccer anymore, he now spends his time staring through his camera. Asuka still holds feelings for him, but there`s an emotion inside Shioda that keeps him from feeling the same way. Will there be a happy ending?",[],Renzu: Futari no Kyori,,['Hentai'],,,
90,,警備員,,,['OVA'],3,Finished Airing,"Nov 24, 2000 to Mar 23, 2001",,,"['Pink Pineapple', 'Discovery']","None found,","['Arms', 'Triple X']",Visual novel,,,,26 min. per ep.,Rx - Hentai,5.54,N/A,#12752,"1,520",1,440,Based on the H game by Interheart. A security guard at a department store ensnares shoplifters by blackmailing them with videos showing them stealing.,[],Keibiin,,['Hentai'],,,
91,,超人ロック～ミラーリング～,Locke the Superman: Mirror Ring,,['OVA'],1,Finished Airing,"Dec 22, 2000",,,"None found,","None found,",['SIDO LIMITED'],['Manga'],"['Action', 'Sci-Fi']",,,1 hr.,PG-13 - Teens 13 or older,5.46,#12227,#12826,"1,490",0,642,"""Locke the Superman, Mirror Ring"" is the 30th Anniversary Episode following '84, ""Locke the Superman, Mirrenian the witch"" (Theatrical Version), '89, ""Lordleon"" (OVA) and '91, ""New World Command"" (OVA). In the space history year of 0375, the killing Plan of Esper and the Imperial Plan met with failure. Run, who had executed these plans because of his partiality for his own self-made computer named Elena, lived together with Locke and Near under their protection. At the same time, Cassandra and Barcov of the Hackers netted the widely dispersed computers in each corner of space, and they succeeded in reviving some abandoned programs. This was the federal administrative computer, Elena. She tried to start the previous Imperial Plan again. When Locke found out about it, he set off to stop it. At the same time, the federal administration which detected something abnormal, also started to move. Involving Run and Near who chased Locke, the confusion was expanding to the entire Galaxy... (Source: AniDB)","['Prequel (OVA) Choujin Locke: Shinsekai Sentai', 'Adaptation (Manga) Choujin Locke']",Choujin Locke: Mirror Ring,,,['Super Power'],,
92,,G.T.R,,,['OVA'],4,Finished Airing,"Oct 13, 2000 to Jun 25, 2004",,,"['Allure', 'Mediabank']","None found,","None found,",Unknown,,,,28 min. per ep.,Rx - Hentai,4.86,N/A,#12882,"1,465",0,312,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],G.T.R G-cup Teacher Rei,,['Hentai'],,,
93,Shin Ruriiro no Yuki,真・瑠璃色の雪,,,['OVA'],4,Finished Airing,"Dec 22, 2000 to Nov 30, 2001",,,['Discovery'],"None found,",['Mook Animation'],Visual novel,,,,29 min. per ep.,Rx - Hentai,5.44,N/A,#13377,"1,275",1,322,"Makabe Hiroshi, who liked science and invention, was supposed to move to the apartment which was owned by the parents of his childhood friend, Yoko. There was a rumor that a ghost appeared in the room, but he decided to move because of very inexpensive rent. After his move was finished and when he was preparing for the party with Kotobuki who was Yoko’s elder brother, the parts of the machine scattered around on the floor short-circuited and exploded. The explosion made a hole on the floor, and they found a strange jar in the hole. A snow fairly with blonde hair came out from the jar. Her name was Ruri. In this way, the cohabitation of Hiroshi and a snow fairly, Ruri, began suddenly. (anidb)","['Adaptation (Light Novel) Shin Ruri-iro no Yuki: Furimukeba Tonari ni', '']",Shin Ruri-iro no Yuki,,['Hentai'],,,
94,"Hyakkiyakou ~ Warashi ~, Hyakkiyakou -Warashi-, Hyakkiyakou Warashi, Hyakki Yako ~ Warashi ~",百喜夜行　～わらし～,,,['OVA'],1,Finished Airing,"Oct 25, 2000",,,['MS Pictures'],"None found,",['Sonsan Kikaku'],['Manga'],,,,29 min.,Rx - Hentai,5.09,N/A,#13804,"1,131",1,323,Based on the manga by Ajisu Abeba (あじすあべば).,[],Hyakkiyakou: Warashi,,['Hentai'],,,
95,,閻魔國 アンダーワールド,,,['OVA'],1,Finished Airing,"Nov 18, 2000",,,['Five Ways'],"None found,","None found,",Unknown,,,,1 hr. 4 min.,Rx - Hentai,4.89,N/A,#14937,831,1,205,"Based on the cartoon by one of the greatest Korean cartoonists Bae Keum Tack, ""Under World"" follows the adventures (and misadventures) of a orthodox-looking, but mischievous monk. The story contains satirical and critical moments.",[],Under World,,['Hentai'],,,
96,Marin and Yamato: Mysterious Sunday,マリンとヤマト 不思議な日曜日,,,['OVA'],1,Finished Airing,"Dec 2, 2000",,,"None found,","None found,","None found,",Original,,,['Kids'],17 min.,G - All Ages,5.73,#11240,#17340,473,1,145,"Two children, Marin and Yamato, found a mysterious fairy in a park.",[],Marin to Yamato: Fushigi na Nichiyoubi,,,['Educational'],,
97,,みんなうんち,Everyone Poops,,['OVA'],4,Finished Airing,"Oct 25, 2000",,,"None found,","None found,","None found,",Picture book,,,['Kids'],7 min. per ep.,G - All Ages,[],#20312,#22798,144,0,,Episode 1 - Kakakakaka Episode 2 - Kakushitano Daare Episode 3 - Nee Ohanashi shite yo Episode 4 - Minna Unchi (Source: Official Site),[],Minna Unchi,,,,,
98,,BLOOD THE LAST VAMPIRE (ブラッド ザ ラスト ヴァンパイア),Blood: The Last Vampire,,['Movie'],1,Finished Airing,"Nov 18, 2000",,,"['Aniplex', 'Sony Interactive Entertainment', 'Information-technology Promotion Agency']",['Manga Entertainment'],['Production I.G'],Original,"['Award Winning', 'Horror', 'Supernatural']","['Gore', 'Vampire']",,48 min.,R+ - Mild Nudity,6.87,#4966,#2002,"116,411",274,61549,"Teropterids are evil beasts which pose as humans and live only to drink human blood. Fortunately for the human world there are groups dedicated to destroying them. A brooding and mysterious girl named Saya is the best teropterid slayer there is, and now, in 1960s Japan, she is sent to a U. S. army base which may be infested... (Source: ANN)","['Adaptation (Manga) Blood: The Last Vampire (2002)', '']",Blood: The Last Vampire,,,,,
99,"Gekijouban Aa! Megamisama, Aa! Megami-sama!: The Movie",劇場版　ああっ女神さまっ,Ah! My Goddess: The Movie,,['Movie'],1,Finished Airing,"Oct 21, 2000",,,"['Bandai Visual', 'Pony Canyon', 'Kodansha', 'Movic', 'Sega', 'Imagine']",['Geneon Entertainment USA'],['AIC'],Original,"['Comedy', 'Romance', 'Supernatural']",,['Seinen'],1 hr. 46 min.,PG-13 - Teens 13 or older,7.53,#1826,#3559,"44,401",99,23423,"For centuries, a god named Celestin has been imprisoned on the moon for betraying the kingdom of Yggdrasil. Released by the fairy Morgan Le Fey, Celestin travels to Earth to reunite with his former pupil, the goddess Belldandy. Things go awry as Celestin erases Belldandy's memories of her boyfriend Keiichi and uses her as a catalyst to wreak havoc on Earth and Yggdrasil.","['Prequel (OVA) Aa! Megami-sama!', 'Adaptation (Manga) Aa! Megami-sama!']",Aa! Megami-sama! Movie,Ah! My Goddess - Le Film,,,OH! My Goddess - Der Film,
100,Alexander Senki Gekijouban,アレクサンダー戦記 劇場版,Reign: The Conqueror Movie,,['Movie'],1,Finished Airing,"Oct 7, 2000",,,"['Media Factory', 'TBS', 'GAGA', 'Kadokawa Haruki Corporation', 'Samsung', 'Namisokan']","None found,",['Madhouse'],Novel,"['Action', 'Adventure', 'Avant Garde', 'Mystery', 'Supernatural']","['Historical', 'Military']",,1 hr. 41 min.,R - 17+ (violence & profanity),5.79,#10967,#10557,"3,002",3,903,"In 356 BC, Alexander the Great arrives in Greece with the ominous destiny that he will become the ""destroyer of the world."" Inheriting the crown, he becomes king of the Macedonians and starts down a road of conquest with terrific speed. Alexander ultimately confronts his fated nemesis, Darius the Third, in a war with Persia which changes Alexander into the devil he was fated to become, assuring the destruction of all in his path, and possibly himself. (Source: TBS Global Business)",[],Alexander Senki Movie,,,,,
101,"Happy Science Movie 2, The Laws of the Sun: The Road to El Cantare",太陽の法 エル・カンターレへの道,The Laws of the Sun,,['Movie'],1,Finished Airing,"Oct 28, 2000",,,"None found,","None found,",['Group TAC'],Original,,,,1 hr. 44 min.,PG - Children,5.04,#13186,#13006,"1,410",2,497,The second title in the series of anime films by the Happy Science religion.,[],Taiyou no Hou: El Cantare e no Michi,,['Fantasy'],['Historical'],,
102,"Rokumon Tengai Monkore Knight Movie: Densetsu no Firedragon, Densetsu no Fire Dragon, Monkore Naito Densentsu no Fire Dragon",劇場版 六門天外モンコレナイト〜伝説のファイアドラゴン〜,Mon Colle Knights: Legend of the Fire Dragon,,['Movie'],1,Finished Airing,"Dec 21, 2000",,,"None found,","None found,",['Studio Deen'],Card game,"['Adventure', 'Comedy', 'Fantasy']",,,32 min.,PG - Children,5.86,#10619,#14511,937,0,220,An alternative interpretation of the series' start.,[],Rokumon Tengai Mon Colle Knights Movie: Densetsu no Fire Dragon,,,,,
103,,平安遷都,,,['Movie'],1,Finished Airing,"Nov 3, 2000",,,"None found,","None found,",['Tezuka Productions'],Unknown,,,,5 min.,G - All Ages,[],#18498,#19013,346,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Heian Sento,,['Comedy'],['Historical'],,
104,Pocket Monsters: Myuutsu! I Exist Here,ポケットモンスター ミュウツー! 我ハココニ在リ,Pokémon: Mewtwo Returns,Pokémon Mewtwo: El Regreso,['TV Special'],1,Finished Airing,"Dec 30, 2000",,,['Shogakukan Productions'],['4Kids Entertainment'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",,['Kids'],1 hr. 15 min.,PG - Children,7.08,#4024,#2542,"80,814",24,48049,"The Team Rocket leader, Giovanni, has found Mewtwo in a remote area of the Johto region. As Giovanni tries to re-capture Mewtwo, Ash and his friends are kidnapped by Domino, a new Team Rocket member, while trying to rescue Pikachu from Jessie and James. The Clone Pokemon are also captured and are then used as bait for Mewtwo. The situation then becomes a battle between the wills of Mewtwo and Giovanni; and Mewtwo also tries to discover if it and the clones have a purpose in life, even though they are products of science. (Source: ANN)","['Prequel (Movie) Pokemon Movie 01: Mewtwo no Gyakushuu', 'Adaptation (Manga) Pocket Monster: Mewtwo! Ware wa Koko ni Ari']",Pokemon: Mewtwo! Ware wa Koko ni Ari,Pokémon: Le Retour de Mewtwo,,,Pokémon: Mewtu kehrt zurück,
105,,ラブひなクリスマススペシャル ～サイレント・イヴ～,Love Hina Christmas Movie,Love Hina: Especial de Navidad. Noche de Paz,['TV Special'],1,Finished Airing,"Dec 25, 2000",,,"['TV Tokyo', 'Yomiko Advertising']",['Bandai Entertainment'],['Xebec'],['Manga'],"['Comedy', 'Romance']",,['Shounen'],45 min.,PG-13 - Teens 13 or older,7.30,#2811,#3023,"59,617",47,36487,"As another round of preliminary tests approach for Keitaro, so does Christmas. And as the first Christmas of the millenium, there is a rumor that if one confesses his love on this special eve it will come true. Keitaro has decided what he needs to do on this Christmas eve, but being a retaker can he afford taking attention away from the tests on the same day... The Winter has begun in Hinata. X-mas is coming up. There are rumors about this special christmas eve: If someone is going to confess his love on this christmas eve, any wish will come true. Keitaro decides to confess his love to Naru. But he isn't the only one confessing on this christmas eve... (Source: ANN)",[],Love Hina Christmas Special: Silent Eve,Love Hina Christmas Special,,,,
106,,ワンピース ルフィ落下!秘境・海のヘソの大冒険,One Piece: Adventure in the Ocean's Navel,,['TV Special'],1,Finished Airing,"Dec 20, 2000",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],49 min.,PG-13 - Teens 13 or older,7.15,#3618,#3753,"40,255",24,20275,"The Straw Hats encounter a city in the middle of a whirlpool, called the Ocean's Navel, that is being destroyed by giant monsters. These monsters supposedly protect a treasure capable of granting wishes, but in the process of defeating these guardians, the crew ends up releasing another evil. (aired after Episode 53) (Source: Wikipedia)",[],One Piece: Umi no Heso no Daibouken-hen,,,,,
107,,トップをねらえ！ GunBuster,Gunbuster Renewal EX,,['Special'],3,Finished Airing,"Nov 25, 2000 to Mar 25, 2001",,,"None found,",['Discotek Media'],['Gainax'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Space']",,2 min. per ep.,PG-13 - Teens 13 or older,5.70,#11395,#7682,"7,279",1,2757,A series of Gunbuster shorts included in the DVD release.,[],Top wo Nerae! Gunbuster Specials,,,,,
108,DiGi Charat Christmas Special,Di Gi Charat クリスマススペシャル,,,['Special'],1,Finished Airing,"Dec 17, 2000",,,['TBS'],['Sentai Filmworks'],['Madhouse'],Original,,,,23 min.,G - All Ages,6.61,#6456,#9094,"4,750",3,2520,The Christmas Special aired in December 2000 and featured Piyoko again attempting to capture Dejiko by inviting all the characters on a cruise. (Source: Wikipedia),"['Prequel (TV Special) Di Gi Charat Summer Special 2000', 'Sequel (Special) Di Gi Charat Ohanami Special']",Di Gi Charat Christmas Special,,['Comedy'],,,
109,Gakkou no Kaidan: New Year's Special,学校の怪談　総集編,Ghost Stories Recaps,,['TV Special'],2,Finished Airing,"Nov 15, 2000 to Jan 3, 2001",,,"None found,","None found,",['Pierrot'],Novel,"['Horror', 'Mystery', 'Supernatural']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.17,#9008,#11078,"2,571",0,761,"A new year special where Momoko stars to remember some of the adventures, she has had with her friends.",[],Gakkou no Kaidan Recaps,,,,,
110,"Neo Getter Robo vs. Shin Getter Robo Specials, Shin Getter Robo Tai Neo Getter Robo Specials, True Getter Robo vs. Neo Getter Robo Specials, Dynamic Super Robots Grand Battle",ダイナミックスーパーロボット総進撃!!,,,['Special'],3,Finished Airing,"Dec 21, 2000 to Jun 25, 2001",,,"['Bandai Visual', 'Bee Media', 'Dynamic Planning']","None found,","[""Brain's Base""]",['Manga'],"['Action', 'Sci-Fi']",,['Shounen'],2 min. per ep.,PG - Children,6.49,#7157,#12725,"1,541",0,565,"The Aphrodite A is in trouble. The Mazinger Z, Great Mazinger, Getter Robo G and many other Dynamic Robots must rescue her.",[],Dynamic Super Robots Soushingekki,,,['Mecha'],,
111,"Last Miracle 20th Century, Tezuka Osamu's Strangest Case in the 20th Century",手塚治虫が消えた?! 20世紀最後の怪事件,Osamu Tezuka's Last Mystery of the 20th Century,,['TV Special'],1,Finished Airing,"Dec 5, 2000",,,['Tezuka Productions'],"None found,","None found,",Unknown,,,,41 min.,PG - Children,6.37,#7860,#13614,"1,196",0,336,"New Year's Eve 2000. An eternally juvenile Tezuka Osamu meets his creations for a New Year's Eve party at the Dr. Tenma's mansion, but before the event begins he suddenly disappears from his room in what looks like a kidnapping. A classic mystery setting for, at the end, a lovely homage to the man behind the genius. (Source: AniDB)",[],Tezuka Osamu ga Kieta?! 20-seiki Saigo no Kaijiken,,['Mystery'],,,
112,"Sekai Meisaku Gekijou Kanketsu Ban: Flanders no Inu, Flanders no Inu Recap",世界名作劇場・完結版 フランダースの犬,,,['TV Special'],2,Finished Airing,"Dec 24, 2000 to Dec 31, 2000",,,"None found,","None found,",['Nippon Animation'],Unknown,"['Drama', 'Slice of Life']","['Pets', 'Visual Arts']",,45 min. per ep.,G - All Ages,6.17,#9007,#15479,711,0,154,A summary of the Flanders no Inu full series aired as a TV specials.,[],Flanders no Inu Specials,,,,,
113,"Mugen no Ryvius: Light - Fan Disc, Mugen no Ryvius Picture Dramas, Mugen no Ryvius Light Avant-Title",無限のリヴァイアス ライト,Infinite Ryvius Light,,['Special'],6,Finished Airing,"Dec 21, 2000",,,"None found,","None found,","None found,",Original,,,,1 min. per ep.,PG-13 - Teens 13 or older,5.92,#10316,#15536,701,0,123,"Mugen no Ryvius specials released on the 3-part fan disc ""Mugen no Ryvius: Light."" Three episodes were dedicated to a self-titled picture drama (but are animated normally). The other three episodes were dedicated ""Avant-Title,"" a first-person POV style of specials.","['Adaptation (Manga) Mugen no Ryvius', '']",Mugen no Ryvius: Light,,['Sci-Fi'],['Space'],,
114,"Sekai Meisaku Gekijou Kanketsu Ban: Araiguma Rascal, World Masterpiece Theater Complete Edition: Raccoon Rascal",世界名作劇場・完結版 あらいぐまラスカル,,,['TV Special'],2,Finished Airing,"Dec 10, 2000 to Dec 17, 2000",,,['Bandai Visual'],"None found,",['Nippon Animation'],Unknown,"['Drama', 'Slice of Life']",,,45 min. per ep.,G - All Ages,5.95,#10168,#16351,579,0,128,A summary of the Araiguma Rascal full series aired as a TV specials.,[],Araiguma Rascal Specials,,,['Pets'],,
115,Sakura Taisen: Kuwassarii to Yobareta Shoujo,サクラ大戦 火喰い鳥と呼ばれた少女,,,['Special'],1,Finished Airing,"Dec 21, 2000",,,"None found,",['ADV Films'],['Madhouse'],Game,"['Adventure', 'Sci-Fi']","['Mecha', 'Performing Arts']",,24 min.,PG-13 - Teens 13 or older,[],#21534,#16308,586,0,,"An alternate version of episode 9 of the TV series that was produced due to content issues in the original episode. This version replaced the original in all subsequent airings and releases, except for a limited edition DVD box set in 2006.",[],Sakura Taisen Special,,,,,
116,,それいけ!アンパンマン アンパンマンのクリスマスショー,,,['TV Special'],1,Finished Airing,"Dec 22, 2000",,,"None found,","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']","['Anthropomorphic', 'Super Power']",,48 min.,PG - Children,[],#14498,#27891,53,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Anpanman no Christmas Show,,,,,
