,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Themes,Genre,Demographics
10,Gatekeepers,ゲートキーパーズ,,,['TV'],24,Finished Airing,"Apr 3, 2000 to Sep 18, 2000",['Spring 2000'],Mondays at 18:30 (JST),"['Bandai Visual', 'Media Factory', 'Kadokawa Shoten', 'Pony Canyon']",['Geneon Entertainment USA'],['Gonzo'],Game,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",['Mecha'],,25 min. per ep.,PG-13 - Teens 13 or older,6.90,#4814,#4816,"23,369",61,9865,"Technology, science, and industry—this is 1969 Tokyo, and there is no better time to be alive! But a shadow looms quietly around every corner: ""Invaders"" have infiltrated the populace, and nobody knows who or what they are. Only the members of the top-secret agency AEGIS know of their existence. Covertly fighting the enemy is their job, but only those with the ability to open ""Gates"" to another world can truly defeat them. Within AEGIS is a specialized task force known as the ""Gate Keepers."" Composed of extraordinary individuals with a variety of Gate-related abilities, they are the only ones who can save humanity from the vicious Invaders plaguing the planet. Shun Ukiya is an average high school student who lives with his widowed mother and little sister. While on his way home from school one day, he comes across a group of Invaders heading toward his house. In a desperate plight to save his family, Shun discovers he possesses the ability to open a Gate, allowing him to harness massive amounts of energy. With his newfound ability exposed, he catches the attention of AEGIS, and particularly the interest of one of its Gate Keepers, Shun's childhood friend Ruriko Ikusawa. [Written by MAL Rewrite]","['Sequel (OVA) Gate Keepers 21', 'Adaptation (Manga) Gate Keepers']",Gate Keepers,,,,,
11,,モンスターファーム～伝説[レジェンド]への道～,Monster Rancher (2000),Monster Rancher,['TV'],25,Finished Airing,"Apr 1, 2000 to Sep 30, 2000",['Spring 2000'],Saturdays at 07:30 (JST),"None found,","['ADV Films', 'Discotek Media']",['TMS Entertainment'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],,24 min. per ep.,PG - Children,6.74,#5685,#5214,"19,403",17,9553,"Genki is a boy who loves playing video games. One day he's zapped into the world of Monster Rancher and meets the girl Holly and the monsters Mochi, Suezo, Golem, Tiger and Hare. Continuing from where the original story left off, Genki and friends journey to conquer the legend cup in hopes of freeing Holly's father from the mystery disc. (Source: AniDB)","['Prequel (TV) Monster Farm: Enbanseki no Himitsu', 'Adaptation (Manga) Monster Farm: Enbanseki no Himitsu']",Monster Farm: Legend e no Michi,Monster Rancher,,,,
12,,トランスフォーマー・カーロボット,Transformers: Robots in Disguise,Transformers: Robots in Disguise,['TV'],39,Finished Airing,"Apr 5, 2000 to Dec 27, 2000",['Spring 2000'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'NEC Interchannel']","['Hasbro', 'Saban Entertainment']","['Gallop', 'Dongwoo A&E']",Other,"['Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],,23 min. per ep.,PG - Children,6.54,#6852,#8464,"5,785",23,2792,"The evil Gigatron has led his forces of Destrongers to Earth, where they seek to pillage the planet for its vast energy resources in order to fuel their war against the Autobots. If successful, the Destrongers will finally be able to tip the scale of power in the war to their favor, eliminating the Autobots and moving on to conquer the universe. To this end, the Destrongers kidnap the scientist Dr. Ohnishi, Earth's leading scientist on energy and natural resources. Dr. Oonishi's son, Koji, is contacted by none other than Fire Convoy, who takes the boy on a mission to rescue his father. Although Fire Convoy and the other Autobots fight valiantly, they are unable to rescue the doctor from the Destrongers. Now it is up to the Autobots and Koji to rescue Dr. Oonishi and protect the Earth and its resources from Gigatron and his army.",[],Transformers: Car Robots,,,,,
13,A Tree in a Sunny Place,陽だまりの樹,Tree in the Sun,,['TV'],25,Finished Airing,"Apr 5, 2000 to Sep 20, 2000",['Spring 2000'],Wednesdays at 00:50 (JST),"['VAP', 'Nippon Television Network']","None found,",['Madhouse'],['Manga'],"['Action', 'Award Winning', 'Drama']",,['Seinen'],23 min. per ep.,R+ - Mild Nudity,7.12,#3830,#8750,"5,310",24,1048,"A story set in the mid-1800's about a young doctor who has been trained in Western-style medicine and a young samurai who is trying to live up to the old traditions of his class and culture. The story is actually based upon real people - the doctor, Ryo-an, was Tezuka's great grandfather. During the Second Year of Ansei (1855) in Edo's Koishigawa are two young men, Manjiro Ibutani and Ryoan Tezuka. Ibutani is a low-ranking samurai who is a gifted swordsman and has a straightforward and strong sense of justice. Tezuka has a more carefree attitude. He has an eye for the ladies, but he is passionate about becoming a doctor. The two opposite characters come of age during the backdrop of the turbulent end of the Tokugawa Period (1600-1868 CE). (Source: AnimeNfo)","['Adaptation (Manga) Hidamari no Ki', '']",Hidamari no Ki,,,"['Historical', 'Medical', 'Samurai']",,
14,"Mahoujin Guruguru II, Mahoujin Guru Guru: Doki Doki Legend",ドキドキ♡伝説 魔法陣グルグル,Magical Circle Guru Guru 2,,['TV'],38,Finished Airing,"Apr 4, 2000 to Dec 26, 2000",['Spring 2000'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu']","None found,",['Nippon Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy']",,['Shounen'],23 min. per ep.,G - All Ages,7.12,#3818,#9180,"4,632",6,1776,"Join the new legend of Guruguru, where Nike, the reluctant hero, and Kukuri, the innocent heroine, return to save the world. The magical adventure that unfolds, with its unique monsters and eccentric characters, is sure to draw you into this curious and exciting realm. To save the world from evil King Giri, Kukuri must locate the monsters in each territory and win them, one by one, over to her side. Meanwhile Nike's task is to be recognized by the Four Kings of Nature and collect their swords. These swords are known as the ""Sword of Wind,"" the ""Sword of Water,"" the ""Sword of Earth"" and the ""Sword of Fire."" Can Nike and Kukuri truly become hero and heroine? Follow their journey and find out! (Source: AniDB)","['Prequel (TV) Mahoujin Guruguru', 'Adaptation (Manga) Mahoujin Guruguru']",Dokidoki♡Densetsu: Mahoujin Guruguru,,,,,
15,"Platinumhugen Ordian, Silver Armor Knight Audian, Attack Armor Audian, Ginsokiko Ordian",銀装騎攻オーディアン,,Platinumhugen Ginsoukikou Ordian,['TV'],24,Finished Airing,"Apr 4, 2000 to Sep 19, 2000",['Spring 2000'],Tuesdays at 19:00 (JST),"['KSS', 'Kadokawa Shoten', 'Broccoli', 'Yomiko Advertising', 'Soft Garage', 'K-Factory']","None found,",['Plum'],Original,,['Mecha'],,25 min. per ep.,R+ - Mild Nudity,5.68,#11489,#9484,"4,171",5,1031,"Kananase Yu is just an ordinary high-school student. Since he has mysterious inside knowledge about piloting a mecha, he is recruited by the International Military Organization as a potential test pilot for a new mobile armor. However, apparently there are other young recruits around his age, including one of his classmates, were recruited as test pilot as well. Now Kananase Yu must prove that he is the best to be the test pilot. (Source: ANN)",[],Ginsoukikou Ordian,,,,['Sci-Fi'],
16,,グレゴリーホラーショー - The Second Guest,,,['TV'],25,Finished Airing,"Apr 1, 2000 to Oct 1, 2000",['Spring 2000'],Fridays at 23:54 (JST),"['VAP', 'TV Asahi']",['Geneon Entertainment USA'],['Milky Cartoon'],Original,"['Comedy', 'Horror', 'Mystery', 'Supernatural']",['Mythology'],,3 min. per ep.,PG - Children,6.61,#6461,#11706,"2,139",12,1026,"The second series, The Second Guest is similarly set with 25 stories, except this time the main victim is a woman who has just taken a taxi home from her best friend's wedding ceremony. (Source: AniDB)","['Prequel (TV) Gregory Horror Show', 'Sequel (TV) Gregory Horror Show: The Last Train']",Gregory Horror Show: The Second Guest,,,,,
17,"Inspector Fabre, Fabre Sensei wa Meitantei",ファーブル先生は名探偵,Dr. Fabre is a Detective,,['TV'],26,Finished Airing,"Apr 11, 2000 to Oct 17, 2000",['Spring 2000'],Tuesdays at 18:30 (JST),['Enoki Films'],"None found,",['E&G Films'],Book,,,,25 min. per ep.,PG - Children,6.27,#8433,#13155,"1,355",2,550,"The world of insects is full of enchantment and amazement. This animation series is inspired by ""the Diary of Insects"" written by Jean Henri Fabre, an outstanding French entomologist and author in the 19th Century. In his original works, Mr. Fabre vividly described the life of insects. In this series all the insects and bugs have been personified and drawn into marvelous animated characters. This is the story of the exciting adventures of a crime-buster in the world of insects! Our hero's way of investigation is so unique and always ends with surprising solutions. The interesting ecology of various insects will be described while our ""cool"" hero, Inspector Fabre, analyzes and unties the knots of crimes and conspiracy a la fashion of Sherlock Holmes!",[],Fabre-sensei wa Meitantei,,,,['Mystery'],
18,,うちゅう人田中太郎,Taro the Space Alien,,['TV'],24,Finished Airing,"Apr 17, 2000 to Mar 26, 2001",['Spring 2000'],Unknown,['Shogakukan Productions'],['VIZ Media'],['Studio Hibari'],['Manga'],,['School'],['Kids'],20 min. per ep.,G - All Ages,6.05,#9655,#13489,"1,238",2,488,"Takashi Horimachi is an ordinary curious fifth grader attending ""Anytown"" Elementary School. One day, a very unusual transfer student named Tarou Tanaka joins Takashi's class. Takashi and his classmates have never encountered anyone quite like Taro before. He is blue, has huge glowing eyes, pointy ears, a smooth bald head and one horn. Takashi, obsessed with trying to figure out this strange new visitor, attempts to track Tarou's every move; and in the process he continuously falls victim to Tarou's hilarious assortment of cosmic jokes and traps. (Source: ANN)","['Adaptation (Manga) Uchuujin Tanaka Tarou', '']",Uchuujin Tanaka Tarou,,,,['Comedy'],
19,"Time Boken 2000: Kiramekiman, Kaitou Kiramekiman, Thief Glittering Man",タイムボカン2000 怪盗きらめきマン,,,['TV'],26,Finished Airing,"Apr 5, 2000 to Oct 4, 2000",['Spring 2000'],Unknown,"['TV Tokyo', 'Yomiko Advertising']","None found,",['Tatsunoko Production'],Unknown,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],,25 min. per ep.,PG-13 - Teens 13 or older,5.94,#10241,#13591,"1,204",1,268,More Time Bokan adventures.,[],Time Bokan 2000: Kaitou Kiramekiman,,,,,
20,,へろへろくん,,,['TV'],104,Finished Airing,"Apr 3, 2000 to Jan 2, 2001",['Spring 2000'],Unknown,['Public & Basic'],"None found,","['Studio Flag', 'Studio Bogey']",['Manga'],"['Adventure', 'Comedy']",['Strategy Game'],['Kids'],5 min. per ep.,PG - Children,[],#18557,#16849,523,0,,It's a comedy about children in elementary school.,[],Hero Hero-kun,,,,,
21,"Anime Roukyoku Kikou Shimizunojirochou Den, Anime Roukyoku Kikou Shimizu no Jirochou Den",アニメ浪曲紀行 清水次郎長伝,,,['TV'],30,Finished Airing,Apr 2000 to Nov 2000,['Spring 2000'],Saturdays at 05:45 (JST),"None found,","None found,","None found,",Unknown,"['Comedy', 'Drama']",['Historical'],,15 min. per ep.,G - All Ages,[],#16591,#17993,422,0,,"A story based on Shimizu no Jirochou, an early yakuza who specialized in gambling and maritime transport. The anime is composed of 10 stories. Each story was told over 3 episodes. The particular tale is based on Hirosawa Torazo II's telling; Hirosawa is a roukyoku/naniwabushi.",[],Anime Roukyoku Kikou Shimizu no Jirochouden,,,,,
22,Moopon 2nd Season,ムーぽん 第2期,,,['TV'],22,Finished Airing,"Apr 1, 2000 to Aug 25, 2000",['Spring 2000'],Unknown,"None found,","None found,","None found,",Unknown,,,['Kids'],55 sec. per ep.,PG - Children,[],#20502,#25211,93,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Muupon', '']",Muupon 2nd Season,,,,['Comedy'],
23,OP,ONE PIECE,One Piece,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,612","234,847",1420256,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,,
24,"GTO, GTO - The Animation",グレート・ティーチャー・オニヅカ,Great Teacher Onizuka,,['TV'],43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",['Summer 1999'],Wednesdays at 19:30 (JST),"['Aniplex', 'Fuji TV']","['Discotek Media', 'Tokyopop']",['Pierrot'],['Manga'],,,['Shounen'],25 min. per ep.,R - 17+ (violence & profanity),8.68,#69,#221,"867,314","27,379",425941,"Twenty-two-year-old Eikichi Onizuka—ex-biker gang leader, conqueror of Shonan, and virgin—has a dream: to become the greatest high school teacher in all of Japan. This isn't because of a passion for teaching, but because he wants a loving teenage wife when he's old and gray. Still, for a perverted, greedy, and lazy delinquent, there is more to Onizuka than meets the eye. So when he lands a job as the homeroom teacher of the Class 3-4 at the prestigious Holy Forest Academy—despite suplexing the Vice Principal—all of his talents are put to the test, as this class is particularly infamous. Due to their utter contempt for all teachers, the class' students use psychological warfare to mentally break any new homeroom teacher they get, forcing them to quit and leave school. However, Onizuka isn't your average teacher, and he's ready for any challenge in his way. Bullying, suicide, and sexual harassment are just a few of the issues his students face daily. By tackling the roots of their problems, Onizuka supports them with his unpredictable and unconventional methods—even if it means jumping off a building to save a suicidal child. Thanks to his eccentric charm and fun-loving nature, Class 3-4 slowly learns just how enjoyable school can be when you're the pupils of the Great Teacher Onizuka. [Written by MAL Rewrite]","['Prequel (OVA) Shonan Junai Gumi!', 'Adaptation (Manga) GTO Read Manga']",Great Teacher Onizuka,,,"['Delinquents', 'School', 'Workplace']",['Comedy'],
25,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",ポケットモンスター,Pokémon,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,565",411340,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,Pokémon,Pokémon,,,
