,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Themes,Theme,Spanish,French,German,Demographics
44,キャプテン翼 (2001),Captain Tsubasa,['TV'],52,Finished Airing,"Oct 7, 2001 to Oct 6, 2002",['Fall 2001'],Unknown,"['Madhouse', 'TV Tokyo', 'Dentsu']","None found,",['Group TAC'],['Manga'],,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.46,#2099,#2989,"61,324",332,38132,"Tsubasa Oozora loves everything about soccer: the cheer of the crowd, the speed of the ball, the passion of the players, and the excitement that comes from striving to be the best soccer player he can be. His goal is to aim for the World Cup, and to do that, he’s spent countless hours practicing soccer, ever since the moment he could walk on two legs. Now, as he plays for the Barcelona team in a fierce game, it seems as though his dreams are on the verge of coming true. Captain Tsubasa: Road to 2002 tells the story of how Tsubasa climbed his way through the ranks, featuring his roots in the town of Nankatsu as well as his epic journey to master the art of soccer.","['Prequel (TV) Captain Tsubasa J', 'Adaptation (Manga) Captain Tsubasa', 'Adaptation (Manga) Captain Tsubasa: Road to 2002', '']",Captain Tsubasa: Road to 2002,"Captain Tsubasa (2001), Road to World Cup 2002, Road to Dream",['Sports'],,['Team Sports'],Campeones: Hacia el Mundial,Olive et Tom: Captain Tsubasa Le Retour,,
45,サイボーグ009 THE CYBORG SOLDIER,Cyborg 009,['TV'],50,Finished Airing,"Oct 14, 2001 to Oct 13, 2002",['Fall 2001'],Unknown,"['TV Tokyo', 'Shaft', 'Avex Entertainment', ""Brain's Base""]","['Sony Pictures Entertainment', 'Discotek Media']",['Japan Vistec'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3092,#3943,"36,093",192,13416,"Skull, the evil leader of the terrorist organization known as Black Ghost, has nine powerful cyborgs under his control. But Dr. Isaac Gilmore, the Black Ghosts cybernetics scientist, decides to go rogue, helping the cyborgs turn against Skull and his evil organization. Black Ghost wishes to start the next major world war by flooding the market with weapons of mass destruction. It seems the nine brave cyborgs have their work cut out for them, as Black Ghost is determined to bring those nine cyborgs down.","['Sequel (Special) Cyborg 009: The Cyborg Soldier - Kami no Ubugoe', 'Adaptation (Manga) Cyborg 009']",Cyborg 009: The Cyborg Soldier,,,,,,,,
46,星のカービィ,Kirby: Right Back at Ya!,['TV'],100,Finished Airing,"Oct 6, 2001 to Sep 27, 2003",['Fall 2001'],Saturdays at 19:30 (JST),"['CBC Television', 'Nintendo']",['4Kids Entertainment'],['Studio Sign'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,6.92,#4734,#3956,"35,881",370,18022,"A diminutive pink creature orbiting in space called ""Kirby"" crash lands into Dream Land. Once getting acquainted with the citizens who live there in Cappy Town, he begins to defend the town from the monsters that King Dedede, the self-proclaimed ruler of Cappy Town, orders from the evil Nightmare Enterprises. (Source: ANN)",[],Hoshi no Kirby,"Hoshi no Kirby, Kirby of the Stars",,,['Parody'],,,,
47,こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,333",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",['Comedy'],"['Adult Cast', 'Detective', 'Gag Humor']",,Kochikame,,,
48,キン肉マンII世,Ultimate Muscle,['TV'],51,Finished Airing,"Jan 9, 2002 to Dec 25, 2002",['Winter 2002'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","['4Kids Entertainment', 'Discotek Media']",['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi', 'Sports']",,24 min. per ep.,PG-13 - Teens 13 or older,6.91,#4756,#5270,"18,786",70,9631,"Kinnikuman II Sei takes place several years after the events of the original Kinnikuman. Mantarou Kinniku is the 59th prince of Planet Kinniku and son of the renowned wrestler, King Suguru. Lazy, immature, and cowardly, Mantarou seems to have little in common with his heroic father. When a powerful group calling themselves the dMP threatens the Earth, only someone as powerful as Kinnikuman stands a chance against them. Not knowing the current whereabouts of the King, a plan is formed to have his son Mantarou take up the mantle. The idea of fighting super villains does not sit well with Mantarou, who initially runs away from his duty. He flees to Earth where he encounters Meat, his father’s old trainer. Despite Mantarou's shortcomings, Meat sees King Suguru in him, and believes he can set the prince on the right path. Thus begins Mantarou's journey to better himself and save the world.","['Prequel (TV) Kinnikuman: Kanpeki Chоujin Shiso-hen Season 2', 'Sequel (TV) Kinnikuman II Sei: Ultimate Muscle', 'Adaptation (Manga) Kinnikuman II-sei', '']",Kinnikuman II Sei,"Kinnikuman Nisei, Kinnikuman Second Generations, Ultimate Muscle: The Kinnikuman Legacy",,,['Combat Sports'],,,,
49,おジャ魔女どれみドッカ〜ン！,,['TV'],51,Finished Airing,"Feb 3, 2002 to Jan 26, 2003",['Winter 2002'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,7.73,#1223,#5276,"18,737",304,8431,"Hana now becomes a peer of the Ojamajo. When Majotourbillon's spirit revives, the witches now have to break her curse. From the help from Pao-chan, Doremi, Hana, and the other witches are able to defeat the curses. (Source: ANN)","['Prequel (TV) Motto! Ojamajo Doremi', '']",Ojamajo Doremi Dokkaan!,Useless Witch Doremi Kaboom!,['Comedy'],,['Mahou Shoujo'],,,,
50,フィギュア17 つばさ&ヒカル,,['TV'],13,Finished Airing,"May 27, 2001 to May 26, 2002",['Spring 2001'],Not scheduled once per week,"['Bandai Visual', 'Genco', 'MediaNet']",['Media Blasters'],['OLM'],Original,"['Sci-Fi', 'Slice of Life']",,47 min. per ep.,PG-13 - Teens 13 or older,7.19,#3418,#5742,"15,061",85,3981,"Tsubasa Shiina is a 10-year-old girl who recently moved to Hokkaido to live with her father. In school, she is very quiet and unsociable with her classmates. Then one night, she witnesses a UFO crash in the forest near her home. She rushes to the scene and finds the pilot, codenamed ""D.D."", in a barely stable condition. Also in the scene is a Maguar, a hideous alien that hatched aboard D.D.'s ship. As the Maguar is close to taking Tsubasa's life, an alien lifeform fuses with her body to form the Riberus battle armor Figure 17, which shortly destroys the alien threat. The life form takes the name Hikaru and turns into an identical twin of Tsubasa. As time passes, Tsubasa becomes more open to everyone around her, thanks to her new twin sister Hikaru. However, with Maguar eggs scattered all over Hokkaido, their ability to form Figure 17 is needed to eliminate all hatched Maguars until backup from D.D.'s home planet arrives on Earth. (Source: ANN)","['Adaptation (Manga) Figure 17', '']",Figure 17: Tsubasa & Hikaru,Figure 17 - Tsubasa and Hikaru,,,,,Figure 17,,
51,神鵰侠侶 コンドルヒーロー,Legend of the Condor Hero,['TV'],26,Finished Airing,"Apr 11, 2001 to Oct 28, 2002",['Spring 2001'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2884,#6905,"9,516",38,2863,"Youka is a young 13-year-old boy. One day, his Uncle, Kakusei, has him follow in his steps of martial arts and has him study the art of Zenshinkyou. After being mistreated, Youka runs away Zenshinkyou. He stumbles on a Forbidden Tomb where he finds a beautiful young woman, by the name of Shouryuujo. After a short time, Youka is eventually accepted by Shouryuujo to study the techniques of the Koboha under her, and thus begins their adventure through martial arts and love. (Source: ANN)","['Sequel (TV) Shin Chou Kyou Ryo: Condor Hero II', '']",Shin Chou Kyou Ryo: Condor Hero,Shen Diao Xia Lu,,,['Historical'],,,,
52,パタパタ飛行船の冒険,Secret of Cerulean Sand,['TV'],26,Finished Airing,"Jan 5, 2002 to Jun 29, 2002",['Winter 2002'],Unknown,['TMS Entertainment'],"None found,",['Telecom Animation Film'],Novel,"['Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1856,#6963,"9,350",85,2856,"Jane's mother dies when she is born, and her father, a rich English aristocrat, soon remarries to a woman with a son, William, who despises his new father and brother. George and Jane grow up with a dream to make a flying machine. George believes the distant Asian sands hold a secret: a mysterious cerulean sand which can make machines fly. He goes on an expedition to find it, and soon is reported executed for treason. William disappears too. After she recieves an unsigned letter holding a handful of pale-blue sand which floats in the air, Jane is sure her brother is alive and leaves to the East to find him and prove him innocent. There are many mysteries to unravel in store for Jane and her new friends on her journey. But perhaps a mystery should forever remain a mystery... (Source: ANN)",[],Patapata Hikousen no Bouken,,,,,,,,
53,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9129,#7129,"8,812",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
54,七人のナナ,,['TV'],25,Finished Airing,"Jan 10, 2002 to Jun 27, 2002",['Winter 2002'],Thursdays at 18:00 (JST),"['TV Tokyo', 'HAL Film Maker', 'Genco', 'Asatsu DK', 'd-rights', 'AT-X']","['Media Blasters', 'NYAV Post']",['A.C.G.T.'],Original,"['Adventure', 'Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.72,#5788,#7336,"8,226",23,2236,"On the last Valentine's Day before her high school entrance exams, Nana Suzuki tries to build up the courage to confess to her longtime crush. However, when her chocolates are accidentally ruined, she rushes back to her house to make more—not realizing that the microwave has been turned into a strange invention by her grandfather. Suddenly, six additional copies of Nana appear, each possessing their own extreme personality and a crystal that grants them magic powers! With her plans ruined, Nana vows to confess to her crush in her first year of high school. The only problem is that her crush is top student Yuuichi Kamichika, and following him to his elite high school will mean that she has to hit the books. With six new allies to help her, Nana begins to prepare for anything that the exam season might throw at her. [Written by MAL Rewrite]","['Adaptation (Manga) Shichinin no Nana', '']",Shichinin no Nana,"Nana 7 of 7, Nana Seven of Seven",,,['School'],,,,
55,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,['Kids'],10 min.,G - All Ages,7.08,#4018,#7395,"8,014",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",['Comedy'],,,El Ninja Boy Rantaró,,,
56,激闘! クラッシュギアTURBO,,['TV'],68,Finished Airing,"Oct 7, 2001 to Jan 26, 2003",['Fall 2001'],Unknown,['Bandai Visual'],"None found,",['Sunrise'],Original,,,25 min. per ep.,G - All Ages,6.84,#5127,#7496,"7,731",38,4196,After losing almost all their members the Tobita Crush Gear club is facing extinction. Kouya who dreams of being a Crush Gear Fighting Champion doesn't want to see the club become extinct and will do whatever he can to keep the club running and become a Cush Gear Champion.,"['Sequel (Movie) Gekitou! Crush Gear Turbo: Kaizabaan no Chousen', 'Adaptation (Manga) Gekitou! Crush Gear Turbo']",Gekitou! Crush Gear Turbo,,['Sports'],,,,,Crush Gear Turbo,
57,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7912,"6,780",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,['Comedy'],,['School'],Chibi Maruko-chan,,,
58,ぱにょぱにょ　デ・ジ・キャラット,,['TV'],48,Finished Airing,"Jan 6, 2002 to Apr 3, 2003",['Winter 2002'],Unknown,['Broccoli'],"None found,",['Madhouse'],Unknown,,,8 min. per ep.,G - All Ages,6.64,#6229,#8020,"6,548",14,2488,"Deijiko is the princess of the planet of Di Gi Charat. After reading a book, she is influenced to want to help everyone be happy. She leaves the castle and pretends to be a normal girl. She tries to make everyone happy by taking various jobs around the town and thereby making all sorts of new friends and inevitably, enemies. (Source: ANN)","['Sequel (TV) Di Gi Charat', '']",Panyo Panyo Di Gi Charat,"Di Gi Charat Panyo Panyo, DiGi Charat Panyo Panyo",['Comedy'],,,,,,
59,格闘料理伝説ビストロレシピ,Fighting Foodons,['TV'],26,Finished Airing,"Dec 11, 2001 to Jun 25, 2002",['Winter 2002'],Unknown,['Kodansha'],"['4Kids Entertainment', 'Enoki Films', 'Discotek Media']",['Group TAC'],Game,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",['Shounen'],25 min. per ep.,G - All Ages,6.01,#9844,#8509,"5,716",12,2520,"An 11-year old boy named Zen bands together with his younger sister, Karen, and a young boy who has a large appetite, Pitan, to battle an evil empire by using their ""Foodons""; strange monsters that are created from various foods. (Source: ANN)",[],Kakutou Ryouri Densetsu Bistro Recipe,"Bistro Recipe, Bistro Recipe - Fighting Chef Zen, Legend of Grapple Cooking Bistro Recipe",,,['Strategy Game'],,,,
60,로보짱 큐빅스,Cubix,['TV'],26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",['Summer 2001'],Unknown,['CinePix'],['4Kids Entertainment'],['Xebec'],Unknown,,,23 min. per ep.,PG - Children,5.38,#12487,#8845,"5,155",8,2614,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! (Source: AniDB)",[],Saiko Robot Kombock,"Robot-chan Cubix, Robots for Everyone, Lobojjang Kyubigseu",['Sci-Fi'],,['Mecha'],,Cubix: Robots pour Tous,,
61,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",['Kids'],24 min.,PG - Children,6.58,#6587,#9190,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,,,,
62,しあわせソウのオコジョさん,,['TV'],51,Finished Airing,"Oct 2, 2001 to Sep 24, 2002",['Fall 2001'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Omnibus Promotion']","None found,",['Radix'],['Manga'],,['Shoujo'],25 min. per ep.,G - All Ages,6.56,#6676,#9495,"4,159",5,767,"Haruka Tsuchiya is a plain and simple university student who has a pet by the name of Okojo-san. Okojo-san was actually born in one of the mountains in the North and brought to one of the pet shops to be sold. Determined to get out of the pet shop, Okojo-san formulated an escape strategy and ended up in the house of Haruka. There are always funny and strange occurances happening around the two, be it the people or animals who are near them. This is a gag anime in which absurdity is the main feature of the story. (Source: ANN)","['Adaptation (Manga) Okojo-san', '']",Shiawase Sou no Okojo-san,"Shiawase Apartment's Okojo-san, Happy Okojo",['Comedy'],,['Pets'],,,,
63,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",['Kids'],39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,,,,
64,幻魔大戦－神話前夜の章,Genma Wars,['TV'],13,Finished Airing,"Feb 2, 2002 to May 11, 2002",['Winter 2002'],Unknown,['Groove Corporation'],['Media Blasters'],['E&G Films'],['Manga'],"['Adventure', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,4.95,#13270,#10995,"2,628",1,1054,"In the distant future, monsters and inhumans roam the land, and the ruling Evil King seeks a human woman to bear him powerful, force-adept heirs. Non offers herself to the Evil King in order to save her village from Ape Clan raiders, and gives him twin sons, Loof and Jin. She and her sons are exiled by the ungrateful villagers, however, and Non's companion Nue (a Demon Clan member changed into a wolf for disobedience) takes Loof to be raised by his father, the Evil King. The Evil One's Queen Parome despises humans, however, and her malevolence towards Loof deepens... (Source: AnimeNfo)","['Adaptation (Manga) Genma Taisen: Shinwa Zenya no Shou', '']",Genma Taisen: Shinwa Zenya no Shou,"Genma Taisen, Genma Wars: Eve of Mythology, Ghenma Wars, Great War of the Demon of Illusions: The Chapter of the Previous Night of the Myth",,,,,,,
65,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",['Kids'],10 min.,G - All Ages,6.39,#7746,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,,,
66,트랙시티,Track City,['TV'],26,Finished Airing,"Jan 5, 2000 to May 30, 2002",['Winter 2000'],Unknown,"None found,","None found,",['SBS TV Production'],Unknown,,,24 min. per ep.,PG - Children,5.94,#10244,#12845,"1,483",1,546,"Jimmy was a typical boy who liked to play computer games. One day he was playing a game called 'Track City' when suddenly he got transported into the game world! Once he regained consciousness, a woman who apparently is the mayoress of the city explains to him that the world is threaten by a powerful malign virus and her allies and their only hope is to ask for the help of the ""Legendary racer"", the best player of 'Track City"". Things get complicated when Jimmy learns that the game made a mistake and confused him with the Legendary racer! Will Jimmy learn the necessary skills to defeat the viruses that threaten the world? Or will he be erased by the 'big head', the heavenly punisher that annihilates those who cannot achieve victory?",[],Track City,,['Action'],,['Racing'],,,,
67,ののちゃん,,['TV'],61,Finished Airing,"Jul 7, 2001 to Sep 28, 2002",['Summer 2001'],Unknown,"None found,","None found,",['Toei Animation'],['4-koma manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,6.07,#9541,#13155,"1,355",1,271,"Nono-chan is the eldest daughter in the Yamada family and a third-grade elementary school student. Her family consists of her father, Mr Yamada Takashi, her mother, Mrs Yamada Matsuko and her brother, Noboru, a junior high student. Together with her grandmother, the family of five makes up a pleasant Japanese family. Everyone is special and everyday is always filled with joy and surprise. (Source: ANN)","['Adaptation (Manga) Tonari no Yamada-kun', '']",Nono-chan,Nonoko,,,,,,,
68,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Kids'],23 min. per ep.,G - All Ages,5.92,#10325,#13252,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,['Anthropomorphic'],,,,
69,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12201,#13610,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,,
70,キックオフ２００２,Kick Off (2002),['TV'],26,Finished Airing,"Feb 18, 2002 to Sep 2, 2002",['Winter 2002'],Mondays at 18:02 (JST),"['Half H.P Studio', 'KBS']","None found,","None found,",Game,,,23 min. per ep.,PG - Children,[],#19415,#15722,669,0,,"A soccer animation produced for the 2002 FIFA World Cup co-hosted by Korea and Japan. The main characters are two young men, a Japanese playmaker and a Korean striker. Friendship with teammates, their growth as soccer players, etc. are drawn. (Source: Wikipedia)",[],Kick Off 2002,,['Sports'],,['Team Sports'],,,,
71,ストレイシープ ポーのちっちゃな大冒険,,['TV'],18,Finished Airing,"Oct 16, 2001 to Jan 1, 2005",['Fall 2001'],Unknown,['Fuji TV'],"None found,",['Robot Communications'],Original,,['Kids'],2 min. per ep.,PG - Children,5.99,#9950,#16838,524,0,132,"Stray Sheep is based on the tales of Poe, a naive, independent and curious ram who finds himself sleepwalking into the most unpredictable situations on his path to reuniting with his herd and finding the ""ewe"" of his dreams. (Source: ANN)","['Prequel (TV) Stray Sheep no Daibouken', '']",Stray Sheep: Poe no Chicchana Daibouken,,['Comedy'],,,,,,
72,だんご3兄弟あっという間劇場,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,['Kids'],3 min. per ep.,G - All Ages,[],#17565,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",,,['Music'],,,,
73,哈皮父子,Happy Father Happy Son,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",['Kids'],6 min. per ep.,PG - Children,[],#18440,#22577,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,"Ha Pi Fuzi, Happy Father and Son",,,,,,,
74,검정 고무신,Black Rubber Shoes,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,['Kids'],11 min. per ep.,PG - Children,[],#18179,#23289,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,,,,,,
75,해로와 토레미,Hero & Amy,['TV'],26,Finished Airing,"Jan 18, 2002 to Aug 20, 2002",['Winter 2002'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",['Kids'],25 min. per ep.,PG - Children,[],#18352,#23416,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Haerowa Toremi,Turtle Hero,,,,,,,
76,무지개 요정 통통,,['TV'],19,Finished Airing,"Feb 23, 2001 to Jun 2002",['Winter 2001'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",['Kids'],25 min. per ep.,PG - Children,[],#20473,#23523,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mujigae Yojeong Tongtong,,,,,,,,
77,ガイアゲッター アークン,,['ONA'],2,Finished Airing,"Jun 1, 2002",,,"None found,","None found,","None found,",Unknown,"['Comedy', 'Sci-Fi']",['Kids'],6 min. per ep.,G - All Ages,5.27,#12769,#18837,358,0,110,"Far away from our solar system there is a 3rd planet of another called Mangana. A Queen rules it with an iron fist. The first Prince, A-kun, is nothing but naughty kid and so the Queen gives him the task of invading Earth to prove his worth. A-kun comes in tow with his semi-forced attendants and hijinks ensue.",[],Gaia Getter A-kun,"Gaia Getter Aa-kun, GG A-kun",,,['Space'],,,,
78,ゲロタン,,['ONA'],6,Finished Airing,"Jun 16, 2002 to Oct 13, 2002",,,['ASCII Media Works'],"None found,","None found,",Original,,,1 min. per ep.,PG-13 - Teens 13 or older,[],#18186,#20662,250,0,,A flash-animated anime series following the strange character Gerotan.,[],Gerotan,,['Comedy'],,,,,,
79,HUNTER×HUNTER Original Video Animation,,['OVA'],8,Finished Airing,"Jan 17, 2002 to Apr 17, 2002",,,"None found,","None found,",['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.31,#269,#1823,"131,339",427,68365,"After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro.","['Prequel (TV) Hunter x Hunter', 'Sequel (OVA) Hunter x Hunter: Greed Island', 'Adaptation (Manga) Hunter x Hunter', '']",Hunter x Hunter: Original Video Animation,"Hunter x Hunter OVA, Hunter x Hunter: Yorkshin City Kanketsu-hen",,,,,,,
