,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Synonyms,Spanish,German,French,Genre,Demographics
10,サイレントメビウス,,['TV'],26,Finished Airing,"Apr 7, 1998 to Sep 29, 1998",['Spring 1998'],Tuesdays at 18:00 (JST),"['Shaft', 'Sotsu', 'Omnibus Promotion']",['Bandai Entertainment'],['Radix'],['Manga'],"['Action', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.77,#5464,#5439,"17,250",50,5279,"The year is 2023 and Alien Beings known as ""Lucifer Hawks"" have begun invading earth from another dimension. All that stands between them and the enslavement of the human race is the Attacked Mystification Police Department - a special division of the Tokyo Police staffed by women with amazing paranormal abilities. (Source: ANN)","['Adaptation (Manga) Silent Möbius', '']",Silent Möbius,,,"Silent Moebius, Silent Mobius",,,,,
11,LEGEND OF BASARA,,['TV'],13,Finished Airing,"Apr 3, 1998 to Jun 26, 1998",['Spring 1998'],Fridays at 00:35 (JST),"['Yumeta Company', 'Imagine', 'J.C.F.']","None found,",['KSS'],['Manga'],"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.26,#3047,#5858,"14,255",88,4454,"In a small village, twins are born: a boy, Tatara, and a girl, Sarasa. The prophet Nagi declares that Tatara is the chosen one who will free Japan from the tyrannical rule of the King and his four sons. But when the ruthless Red King slays Tatara, Sarasa must take on her brother's name and responsibilities and embark on a quest to free Japan and deliver vengeance to the Red King. (Source: ANN)","['Adaptation (Manga) Basara', '']",Legend of Basara,,['Shoujo'],,,,,,
12,プリンセスナイン 如月女子高野球部,Princess Nine,['TV'],26,Finished Airing,"Apr 8, 1998 to Oct 14, 1998",['Spring 1998'],Wednesdays at 18:00 (JST),['NHK'],"['ADV Films', 'Nozomi Entertainment']",['Phoenix Entertainment'],Original,"['Drama', 'Romance', 'Sports']",,25 min. per ep.,PG-13 - Teens 13 or older,7.17,#3539,#5964,"13,594",51,4422,"Keiko Himuro, Chairman of the Kisuragi School, puts together an all-girl baseball team led by Ryo Hayakawa, daughter of a legendary pitcher, in hopes of proving that girls can compete just as well as boys. Their goal: Koshien Stadium, where only the best teams get the opportunity to play. (Source: ANN)","['Adaptation (Manga) Princess Nine: Kisaragi Joshikou Yakyuubu', '']",Princess Nine: Kisaragi Joshikou Yakyuubu,['Team Sports'],,,Princess Nine,,Princess Nine,,
13,魔法のステージ・ファンシーララ,Magical Stage Fancy Lala,['TV'],26,Finished Airing,"Apr 5, 1998 to Sep 27, 1998",['Spring 1998'],Sundays at 09:30 (JST),"['Bandai Visual', 'TV Osaka', 'Yomiko Advertising', 'TV Tokyo Music']",['Bandai Entertainment'],['Pierrot'],Original,"['Comedy', 'Drama', 'Romance']","['Idols (Female)', 'Mahou Shoujo', 'Music']",24 min. per ep.,G - All Ages,7.14,#3689,#6018,"13,301",62,4615,"Miho Shinohara is a care-free third-grader and an aspiring manga artist. One day, she encounters Mogu and Pigu - two lost fairies disguised as stuffed animals. In exchange for staying at her home until they find a way to return to their own world, the fairies give Miho a special sketch pad and pencil that enable her to magically create real objects from what she draws. With the pen, Miho can also transform into Lala, a beautiful teenage girl created from her manga art. As Lala, she is discovered by a talent agency, and so begins her adventures from an ordinary school girl to a model to an idol singer. (Source: ANN)","['Adaptation (Manga) Mahou no Stage Fancy Lala', '']",Mahou no Stage Fancy Lala,,,,,,,,
14,ブレンパワード,,['TV'],26,Finished Airing,"Apr 8, 1998 to Nov 11, 1998",['Spring 1998'],Wednesdays at 19:30 (JST),"['Bandai Visual', 'WOWOW']","['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Adventure', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.17,#8996,#6243,"12,087",47,3460,"In the not so distant future much of the earth has been submerged under the sea or destroyed by earthquakes. At the center of the turmoil is the mysterious Orphan. Orphan may or may not be the original cause of the cataclysms. Orphan's goal is to raise a ship hidden deep beneath the sea to the surface, but doing so would result in the destruction of all humans except for the small number which are loyal to Orphan. Orphan's agents pilot mysterious mecha known as Grand Cheres, and search the world for mysterious, giant disks which occasionally appear, flying at high speeds and wrecking much of the countryside, or cities, when they hit the ground. After a dying disc almost kills Hime, a Brain Powerd is born from the disc. Brain Powerds are another type of Mecha, similar to but not the same as Grand Cheres. Hime becomes the Brain Powerd's pilot, forming a symbiotic relationship with the living mecha and joins an International Organization dedicated to stopping Orphan, or at the very least saving humanity should Orphan succeed. (Source: AniDB)","['Adaptation (Manga) Brain Powerd', '']",Brain Powerd,['Mecha'],,Brain Powered,,,,,
15,アキハバラ電脳組,Cyber Team in Akihabara,['TV'],26,Finished Airing,"Apr 4, 1998 to Sep 26, 1998",['Spring 1998'],Saturdays at 17:00 (JST),"['TBS', 'GANSIS', 'Audio Tanaka', 'Nichion']",['ADV Films'],['Ashi Productions'],Original,"['Adventure', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.51,#6980,#7106,"8,892",35,3201,"A ""patapi"" is a cute mechanical creature which is like a cyber pet. It can eat, sleep, play, and even help out its owners with some stuff. When Hibari Hanakoganei receives a patapi from a prince in her dreams, she is thrilled and names it ""Densuke"". When mysterious forces try to steal Densuke, Hibari discovers that Densuke is not just an ordinary patapi. Densuke has magical powers that allows it to transform into a powerful cyber-fighter who looks like Hibari. Hibari's friends also receive similar patapis, and together they form the Cyber Team in Akihabara. (Source: AnimeNfo)","['Sequel (Movie) Akihabara Dennou-gumi: 2011-nen no Natsuyasumi', 'Adaptation (Manga) Akihabara Dennou-gumi Patapi!']",Akihabara Dennou-gumi,['Mecha'],,"Akihabara Cyber Team, Cyber Team in Akihabara, kihabara Dennou Gumi",,,,,
16,時空転抄ナスカ,Dimension Movement of Nazca,['TV'],12,Finished Airing,"Apr 6, 1998 to Jun 29, 1998",['Spring 1998'],Tuesdays at 01:15 (JST),"['Genco', 'Kadokawa Shoten', 'Pioneer LDC']",['Geneon Entertainment USA'],['Radix'],Original,"['Action', 'Adventure', 'Drama', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,5.51,#12088,#7208,"8,587",15,1800,"Miura Kyoji, a dedicated kendo student, discovers that his shisho (master) Tate Masanari is a reincarnated Incan warrior named Yawaru who wishes to destroy the world to purify it. Kyoji himself is the warrior Bilka, who foiled Yawaru's plans in their previous lives. Yawaru gathers other awakened spirits to release the powers of nature. Now Kyoji must wrestle with his own fate and decide if he is merely a vessel for the reincarnated soul or if he is truly Miura Kyoji and which will be better able to save the world and the future as he knows it. (Source: ANN)","['Adaptation (Manga) Nazca', '']",Jikuu Tenshou Nazca,['Reincarnation'],,,,,,,
17,センチメンタルジャーニー,,['TV'],12,Finished Airing,"Apr 8, 1998 to Jul 1, 1998",['Spring 1998'],Unknown,"None found,",['Media Blasters'],['Sunrise'],Visual novel,"['Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.38,#7764,#8973,"4,958",6,1588,"Sentimental Journey is a collection of twelve short stories about twelve different girls. Though unrelated, there is one common theme that binds the episodes together: each girl's bittersweet experience of first love. (Source: ANN)",[],Sentimental Journey,,,,,,,,
18,アンドロイド・アナ　MAICO ２０１０,Android Announcer Maico 2010,['TV'],24,Finished Airing,"Apr 6, 1998 to Sep 28, 1998",['Spring 1998'],Unknown,"['Pony Canyon', 'animate Film', 'Movic']","None found,","['Group TAC', 'Animaruya']",['Manga'],"['Comedy', 'Drama', 'Sci-Fi']","['Adult Cast', 'Showbiz', 'Workplace']",14 min. per ep.,PG-13 - Teens 13 or older,6.43,#7531,#9264,"4,504",5,1690,"In the year 2010, the Japanese radio industry is in decline. To reverse their flagging ratings, a station staffed with perennial losers makes a daring gamble: to hire the industry's first android on-air host. Maico is cute, but it will take more than novelty to win over the fickle audience -- especially with a crew as inept as this one.","['Adaptation (Manga) Maico 2010', '']",Android Ana Maico 2010,,['Seinen'],,,,,,
19,グランダー武蔵ＲＶ,,['TV'],39,Finished Airing,"Apr 4, 1998 to Dec 26, 1998",['Spring 1998'],Unknown,['Sotsu'],"None found,",['Nippon Animation'],Unknown,"['Adventure', 'Sports']",,25 min. per ep.,PG-13 - Teens 13 or older,7.05,#4137,#10371,"3,157",10,1476,"Sequel to Grander Musashi. A young but experienced fisherman named Musashi Kazama and his two friends travel around the world in search of seven mysterious objects of fantastic power called ""Legenders"", each one in the form of a fish. Legenders are said to grant anyone who catches them the power to change the world. Unfortunately, Musashi ends up competing with several other fishermen who share his ambition of capturing a Legender. (Source: ANN)","['Prequel (TV) Super Fishing Grander Musashi', '']",Grander Musashi RV,,,Musashi the Great RV,,,,,
20,ビーストウォーズⅡ（セカンド） 超生命体トランスフォーマー,,['TV'],43,Finished Airing,"Apr 1, 1998 to Jan 27, 1999",['Spring 1998'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Takara']","None found,",['Ashi Productions'],Other,"['Action', 'Sci-Fi']",,24 min. per ep.,G - All Ages,6.42,#7561,#10446,"3,102",10,1086,"Beast Wars Second features a new cast of characters set many years in the future, who travel to a post apocalyptic Earth now known as the planet Gaia. The Cybertrons, led by Lio Convoy, are sent to the planet to investigate an unusual change in the planet’s behavior and thus thwart the Destrons, led by Galvatron, who seek to consume the planet’s rich source of energy called Angolmois. (Source: Karyuudo Fansubs)","['Sequel (TV) Chou Seimeitai Transformers Beast Wars Neo', '']",Beast Wars Second Chou Seimeitai Transformers,['Mecha'],,"Beast Wars II Chou Seimeitai Transformers, Super Robot Life Form Transformers: Beast Wars Second",,,,,
21,ＤＴエイトロン,DT Eightron,['TV'],26,Finished Airing,"Apr 18, 1998 to Nov 6, 1998",['Spring 1998'],Saturdays at 02:45 (JST),['Fuji TV'],"None found,",['Sunrise'],Original,"['Action', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.25,#8567,#10582,"2,976",7,914,"Shu is from Datania, a country that makes young children work. He and his friends were trying to escape when they met the Returners. The Returners are some kind of rebels to Datania. Shu goes with the Returners to fight Zero, Nines, and his men who are after DT, a special substance inside humans. (Source: ANN)","['Adaptation (Manga) DT Eightron', '']",DT Eightron,,,,,,,,
22,ふたり暮らし,,['TV'],36,Finished Airing,"Apr 28, 1998 to Jun 30, 1998",['Spring 1998'],Not scheduled once per week,['TBS'],"None found,","['Studio Bogey', 'Public & Basic']",['Manga'],"['Comedy', 'Romance', 'Ecchi']",,8 min. per ep.,R+ - Mild Nudity,5.76,#11107,#11089,"2,560",4,346,"Futarigurashi follows an aspiring erotic mangaka named Kenji Aoyama. In order to pay rent his friend's younger brother, Hikari Satou, offers to become his roommate. However it turns out that ""he"" in almost every way is a girl! The series revolves around Kenji and Hikari getting involved with various women.","['Adaptation (Manga) Futarigurashi', '']",Futarigurashi,,,"Futari Kurashi, Futari Gurashi",,,,,
23,アリスＳＯＳ,,['TV'],28,Finished Airing,"Apr 6, 1998 to Jan 28, 1999",['Spring 1998'],Unknown,['NHK'],"None found,",['J.C.Staff'],Original,,,19 min. per ep.,G - All Ages,6.04,#9722,#11144,"2,513",1,580,"Takashi loves reading books and especially loves ""Alice's Adventures in Wonderland"". One day, he buys some used books, and he finds one book thrown in. When Takashi opens the book, ""the God of Math"" M-1 appeared. Takashi is told that Alice is kidnapped, and he's asked to rescue her by M-1. And Takashi goes on an adventure in Wonderland to rescue Alice. (Source: ANN)",[],Alice SOS,,,,,,,['Adventure'],
24,熱沙の覇王ガンダーラ,Gandalla: The King of Burning Desert,['TV'],26,Finished Airing,"Apr 11, 1998 to Oct 17, 1998",['Spring 1998'],Saturdays at 01:00 (JST),['Big West'],"None found,",['Ashi Productions'],Original,"['Adventure', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi', 'Supernatural']",,22 min. per ep.,PG-13 - Teens 13 or older,5.67,#11529,#11582,"2,214",5,290,A dispute between young band members and an unfortunate choice of melody inadverdently draws them all into the demonic horror known as the desert-god Gandalla.,[],Nessa no Haou Gandalla,['Music'],,"The King of Burning Desert Gandalla, Supreme Ruler of the Hot Sands Gandahara, Netsusa no Hano Gandahara [Gandalla]",,,,,
25,ＹＡＴ　安心！宇宙旅行 2,,['TV'],25,Finished Airing,"Apr 11, 1998 to Oct 3, 1998",['Spring 1998'],Saturdays at 18:00 (JST),['NHK'],"None found,",['Group TAC'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.90,#4850,#12364,"1,725",7,844,"The space traveling company, YAT, is thrown into the unknown realms of the outer space. At the same time, the group encounters the psychic, Maron, and scientist, Note. Subsequently, the two of them are attacked by the evil monarch, Ganon. Note was captured and taken away after suffering an attack from one of Ganon's followers, Baras. In order to rescue Note, the group had to use the instantaneous portable machine which Note invented so as to travel to Ganon's planet. However, no one knows where the planet is... (Source: ANN)","['Prequel (TV) YAT Anshin! Uchuu Ryokou', '']",YAT Anshin! Uchuu Ryokou 2,,,YAT Anshin! Luxury Space Tours 2,,,,,
26,ひみつのアッコちゃん 第３期,,['TV'],44,Finished Airing,"Apr 5, 1998 to Feb 28, 1999",['Spring 1998'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","None found,",['Toei Animation'],Unknown,"['Comedy', 'Fantasy']","['Mahou Shoujo', 'School']",24 min. per ep.,G - All Ages,6.53,#6890,#12629,"1,588",0,574,"In the Kagami household, the old Western palm-sized mirror has been passed from from generations to generations. Akko-chan has been taught about the importance of the mirror and when she finally receives it from her mother, she cherishes it with all her might. One day, in the midst of a disturbance made by Taishou and his gang, Akko-chan accidentally broke the mirror. She made a grave and buried the broken pieces in the backyard. That night, Akko-chan was awakened by a flash of light and a kind voice which belongs to the Queen of the Mirror Kingdom. The Queen expresses her gratitude to Akko-chan for valuing the mirror so much and offers her a gift—a magical compact mirror. Whenever Akko-chan sings the magical words, she will transform into anything she wants. (Source: ANN)",[],Himitsu no Akko-chan 3,,['Shoujo'],"Akko-chan's Secret 3, Secrets of Akko-chan (1998)",,,,,
27,銀河漂流バイファム13,,['TV'],26,Finished Airing,"Mar 21, 1998 to Oct 3, 1998",['Spring 1998'],Sundays at 02:05 (JST),"None found,","None found,",['Sunrise'],Unknown,"['Action', 'Adventure', 'Sci-Fi']",,24 min. per ep.,G - All Ages,6.42,#7571,#14117,"1,048",1,186,"On July 27 1996, Mr. Takeyuki Kanda died suddenly at the age of 52. Born August 11 1943, he was known as the director of several animations including VIFAM. Thus in 1998 a new TV series of VIFAM was broadcasted in memory of him. Televised 1998/3/21-1998/10/3 (in Kansai area), it contains 26 episodes, and like Twelve people disappeared it is a sidestory, but some new features are added: new persons, new RV, etc. The story could be inserted between #22 and #26 (#24 and #25 are digests) of VIFAM, and is divided into three parts: Act I (#1-14), Interlude (#15-18), Act II (#19-26), if we name them (in reality Act I and II have little relationship). It could also be the New Testament, but it is now regarded as an apocrypha (or worse, a pseudo-VIFAM). There are several reasons to say so, but to watch the story is the best way to understand them. (Source: u-netsurf.ne.jp/~suemura/vifam/vguide.html)",[],Ginga Hyouryuu Vifam 13,['Mecha'],,"Galactic Drifter Vifam 13, Round Vernian Vifam 13",,,,,
