,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,French,Demographic,Themes,Spanish,Theme,Genre,Demographics
10,BUZZER BEATER,,['TV'],13,Finished Airing,"Feb 5, 2005 to Apr 30, 2005",['Winter 2005'],Saturdays at 19:00 (JST),"None found,","None found,",['TMS Entertainment'],['Web manga'],"['Sci-Fi', 'Sports']",25 min. per ep.,PG-13 - Teens 13 or older,6.50,#7063,#5555,"16,345",19,6995,"Hideyoshi is a homeless boy living in New York in the near future, who survives by hustling other kids in basketball games. But now he's been drafted into a pro team-a pro team with a very unique goal. There once was a time when humans dominated the game of basketball. But times have changed, and now the physically superior alien players have taken over the game, and there are barely any human players left. But Hideyoshi's team-the first all-human team to compete in the Space League-intends to change all that, and bring the championship back home to Earth. (Source: ANN)","['Sequel (TV) Buzzer Beater 2nd Season', 'Adaptation (Manga) Buzzer Beater']",Buzzer Beater,,,BUZZER BEATER WARM-UP,,,,['Team Sports'],,
11,ギャラリーフェイク,,['TV'],37,Finished Airing,"Jan 9, 2005 to Sep 25, 2005",['Winter 2005'],Unknown,"['TV Tokyo', 'Aniplex']","None found,","['Tokyo Kids', 'Tokyo Movie']",['Manga'],,24 min. per ep.,PG-13 - Teens 13 or older,7.40,#2361,#5572,"16,234",59,4033,"Fujita Reiji is the owner of an art gallery, Gallery Fake. He deals with fake items, and is also familiar with the black market. However, he has a special talent for art, and used to work for the Metropolitan Museum of Art in New York as a curator. (Source: ANN)","['Adaptation (Manga) Gallery Fake', '']",Gallery Fake,,,,['Seinen'],"['Adult Cast', 'Visual Arts']",,,['Mystery'],
12,ジンキ・エクステンド,Jinki: Extend,['TV'],12,Finished Airing,"Jan 6, 2005 to Mar 24, 2005",['Winter 2005'],Thursdays at 02:12 (JST),"['TV Asahi', 'GANSIS', 'Fonishia']","['ADV Films', 'Funimation']",['feel.'],['Manga'],,23 min. per ep.,R - 17+ (violence & profanity),6.04,#9689,#6124,"12,699",12,4758,"Aoba is a young girl who loves to build models of robots. She lived alone with her grandmother until her grandmother passes away. Shortly after she is kidnapped and brought to a secret base where she discovers a huge robot. The piloted robots fight against Ancient-Jinki in The Grand Savanna, but the true meaning behind the fights is hidden. Aoba works hard at the base so one day she can pilot one of the robots and discover these secrets.","['Adaptation (Manga) Jinki:Extend', '']",Jinki:Extend,,,,['Shounen'],,,['Mecha'],['Sci-Fi'],
13,だめっこどうぶつ,,['TV'],26,Finished Airing,"Jan 17, 2005 to Feb 21, 2005",['Winter 2005'],Unknown,"['SKY Perfect Well Think', 'Kids Station', 'Takeshobo']","None found,",['Magic Bus'],['4-koma manga'],"['Comedy', 'Slice of Life']",6 min. per ep.,G - All Ages,7.23,#3183,#6389,"11,399",52,5584,"Uruno, a useless wolf, is on the road searching for a new place to call home. He soon comes upon a whole forest full of ""useless animals""—that is, animals that don't live up to their species' usual character. After a short fight with the smoking, bad-tempered rabbit, Usahara, Uruno decides that he wants to move on... but changes his mind upon meeting Chiiko, a clumsy cheetah girl. It's love at first sight for Uruno, and after deciding to stay for her, he continues to hope that even though he's a good-for-nothing, he'll win her over someday. That is, if living with the other strange residents of the forest—including the aforementioned smoking rabbit, a sake-drinking unicorn, a near-sighted eagle, an orca that cannot swim, and a shy pegasus—doesn't get to him first.","['Adaptation (Manga) Damekko Doubutsu', '']",Damekko Doubutsu,"Damekko Dobutsu, Useless Animals",,,,,,['Anthropomorphic'],,
14,UG☆アルティメットガール,Ultimate Girls,['TV'],12,Finished Airing,"Jan 10, 2005 to Mar 28, 2005",['Winter 2005'],Unknown,"['m.o.e.', 'Pony Canyon']",['Media Blasters'],['Studio Matrix'],Original,"['Comedy', 'Sci-Fi', 'Ecchi']",14 min. per ep.,PG-13 - Teens 13 or older,5.61,#11776,#6667,"10,315",4,3934,"During a monster attack on the city, which is something that happens quite often, Silk and her two friends try get close to the attacking monster for a better view. An unfortunate choice of location to watch from leads to UFO-man, the city's giant protector, to land on the girls crushing them to death. Feeling sorry, UFO-man blames their death on the monster and promises to bring Silk and her friends back to life by lending them his power but the catch is that they now have to become the city's protector as well. (Source: ANN)",[],UG☆Ultimate Girls,"UG Ultimate Girls, Ultra Girl, UG*Ultimate Girls",,,,,,['Parody'],,
15,増田こうすけ劇場 ギャグマンガ日和,,['TV'],12,Finished Airing,"Feb 7, 2005 to Apr 25, 2005",['Winter 2005'],Mondays at Unknown,"['Bandai Visual', 'SKY Perfect Well Think', 'Kids Station', 'DAX Production']","None found,",['Artland'],['Manga'],,5 min. per ep.,PG-13 - Teens 13 or older,7.16,#3597,#6782,"9,965",62,3565,Gag Manga Biyori is an anime that is about absolutely nothing. It is comprised of 12 short stories that only build up a small amount of plot for each story. (Source: ANN),"['Sequel (TV) Masuda Kousuke Gekijou: Gag Manga Biyori 2', 'Adaptation (Manga) Masuda Kousuke Gekijou: Gag Manga Biyori']",Masuda Kousuke Gekijou: Gag Manga Biyori,"Gyagu Manga Biyori, Masuda Kousuke's Theater: A Perfect Day for Gag-Manga",,,,"['Gag Humor', 'Parody']",,,['Comedy'],
16,トランスフォーマー ギャラクシーフォース,Transformers Cybertron,['TV'],52,Finished Airing,"Jan 8, 2005 to Dec 31, 2005",['Winter 2005'],Saturdays at 08:00 (JST),"['Takara', 'TV Aichi', 'Tokyu Agency', ""We've Inc.""]",['Hasbro'],['Gonzo'],Other,"['Action', 'Adventure', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,6.68,#6001,#7805,"6,993",38,3512,"Forced to abandon their home planet of Cybertron due to the threat of a black hole, Optimus Prime prepares to lead his Autobot warriors to Earth. Just as they are leaving, the Autobots are confronted by Vector Prime, who warns them of the threat to the galaxy if the four Cyber Planet Keys are not gathered in time. However, Megatron has plans of his own for the universe. As they embark on the search, they travel to new planets which are inhabited by different Transformer races as well as the Autobots who lead these planets.","['Prequel (TV) Transformers Superlink', '']",Transformers Galaxy Force,Galaxy Force,,Transformers Cybertron : Un Nouveau Commencement,,,,['Mecha'],,
17,まじかるカナン,Magical Kanan,['TV'],13,Finished Airing,"Jan 1, 2005 to Mar 26, 2005",['Winter 2005'],Saturdays at 10:00 (JST),"None found,",['Discotek Media'],['AIC ASTA'],Visual novel,"['Drama', 'Fantasy', 'Ecchi']",24 min. per ep.,PG-13 - Teens 13 or older,6.07,#9529,#7866,"6,874",8,1977,"Five dangerous ""seeds"" have been stolen from their vault in the world of Evergreen and taken to Earth. Natsuki, an agent of the Queen, has been sent to retrieve them. However, he cannot do this alone and enlists the aid of Chihaya, a middle school student, who is ""the only one"" who can help him. With his aid she transforms into Magical Warrior Carmine in order to save the humans possessed by the seeds. Questions abound though, such as why Chihaya's mother appears to know all about this secret activity, why Chihaya remembers her father who reportedly died before her birth, and why she dreams of Evergreen, which she has never seen. (Source: ANN)",[],Magical Canan,Mahou Canan,Magical Kanan,,,,,['Mahou Shoujo'],,
18,B-伝説(ビーレジェンド)! バトルビーダマン 炎魂(ファイヤースピリッツ!),Battle B-Daman: Fire Spirits!,['TV'],51,Finished Airing,"Jan 10, 2005 to Dec 26, 2005",['Winter 2005'],Mondays at 18:00 (JST),"['Yomiko Advertising', 'Heewon Entertainment']","None found,","None found,",['Manga'],"['Adventure', 'Fantasy']",23 min. per ep.,PG - Children,6.40,#7708,#8536,"5,674",14,2998,"It is not uncommon to wish upon shooting stars. But for B-DaPlayers all around the world, what they seek is not for their wishes to be granted. Gazing upon what many would assume are just rocks shrunk to the size of a pebble by atmospheric entry and fallen to the earth, the fated ones see instead what are known as Strike Shots—powerful marbles originating from the vast and mystical outer space. After achieving triumph in the war against his ultimate foes, Yamato Daiwa continues his journey as a rising B-DaPlayer, looking to obtain a new power worthy of his improved battle gear. [Written by MAL Rewrite]","['Prequel (TV) B-Legend! Battle B-Daman', 'Adaptation (Manga) B-Densetsu! Battle B-Daman']",B-Legend! Battle B-Daman Fire Spirits!,"B-Legend! Battle Bedaman: Fire Spirits, Bedaman: Fire Spirits",,,['Kids'],,,['Strategy Game'],,
19,"らいむいろ流奇譚 X CROSS ～恋, 教ヘテクダサイ.～",,['TV'],13,Finished Airing,"Jan 5, 2005 to Mar 30, 2005",['Winter 2005'],Wednesdays at 01:30 (JST),['KSS'],"None found,",['A.C.G.T.'],Visual novel,"['Action', 'Drama', 'Supernatural', 'Ecchi']",25 min. per ep.,R+ - Mild Nudity,5.49,#12148,#8583,"5,593",5,1425,"It was Meiji 38 (1905), the Russo-Japanese War that had begun since the previous year was getting hard. In this severe circumstance, they reorganized the Raimu Squad. The members of the Raimu Squad were the girls. They were just like other ordinary girls who went to schools and yearned for love, except that they had ""Raimu."" Inukai Tsuyoshiro was a young man who was newly chosen to be the leader of the squad. He was ambitious to fight for Japan. When the young man met the five girls, the new chapter of ""Raimu"" began. (Source: AnimeNfo)","['Prequel (TV) Lime-iro Senkitan', 'Prequel (OVA) Lime-iro Senkitan: Nankoku Yume Roman']",Lime-iro Ryuukitan X,"Lime-iro Ryuukitan X Cross: Koi, Oshiete Kudasai., Lime Iro Ryuukitan X CROSS - Koi, Limeiro Ryuukitan X, Raimuiro Ryuukitan X",,,,"['Harem', 'Historical', 'Mecha']",,,,
20,神鵰俠侶 II 襄陽風雲,Legend of the Condor Hero II,['TV'],26,Finished Airing,"Jan 30, 2005 to Sep 2, 2006",['Winter 2005'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",20 min. per ep.,PG-13 - Teens 13 or older,7.23,#3220,#9558,"4,071",5,1536,Sequel to Shin Chou Kyou Ryo: Condor Hero.,"['Prequel (TV) Shin Chou Kyou Ryo: Condor Hero', 'Sequel (TV) Shin Chou Kyou Ryo: Condor Hero III']",Shin Chou Kyou Ryo: Condor Hero II,Shen Diao Xia Lu II: Xiang Yang Feng Yun,,,,,,['Historical'],,
21,まじめにふまじめ　かいけつゾロリ,,['TV'],97,Finished Airing,"Feb 13, 2005 to Jan 28, 2007",['Winter 2005'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Ajia-do'],Original,,24 min. per ep.,PG - Children,6.72,#5775,#12859,"1,473",7,451,"Season 1 focuses on the wizard Nelly and the mysterious Najo as Zorori, Ishishi, and Noshishi help them restore the magic forest in a magical country (episodes 1-50). Season 2 focuses on Puppe's search for the Minus Eel (episodes 51-97). (Source: Wikipedia)","['Prequel (TV) Kaiketsu Zorori', 'Sequel (TV) Motto! Majime ni Fumajime Kaiketsu Zorori']",Majime ni Fumajime Kaiketsu Zorori,,,,['Kids'],,,,['Adventure'],
22,ザ・ワールド・オブ・ゴールデン・エッグス,,['TV'],26,Finished Airing,"Jan 7, 2005 to Dec 9, 2006",['Winter 2005'],Fridays at 22:45 (JST),"None found,","None found,","['Plus Heads', 'Studio Crocodile']",Original,,13 min. per ep.,PG-13 - Teens 13 or older,6.43,#7519,#13488,"1,237",4,281,The citizens of Turkey's Hill model a bizzare American-esque town and engage in non-sequitur behavior. (Source: ANN),[],The World of Golden Eggs,,,,,,,['Parody'],['Comedy'],
23,魔豆奇伝パンダリアン,Pandalian,['TV'],26,Finished Airing,"Jan 8, 2005 to Jul 9, 2005",['Winter 2005'],Unknown,"None found,","None found,",['Planet'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",25 min. per ep.,G - All Ages,6.29,#8354,#13613,"1,192",2,371,"It follows the story of a fairy named Mi who is sent to Planet Pandasia to warn the residents about a great evil that threatens to destroy Pandasia. She chooses a heroic panda named Toby to defeat Gold and Silver, two villains who want to collect the seven Beans of Power and rid Pandasia of its colorful, beautiful environment and replace it with a dark wasteland. (Source: Wikipedia)",[],Mafukiden: Pandarian,"Madou Kiden Pandalian, Legend of the Magical Beans Pandalian, Pandarian, PandaMonium",,,['Kids'],,,['Super Power'],,
24,アークエとガッチンポー てんこもり,,['TV'],12,Finished Airing,"Jan 7, 2005 to Mar 25, 2005",['Winter 2005'],Unknown,['Aniplex'],"None found,","None found,",Unknown,,24 min. per ep.,PG-13 - Teens 13 or older,[],#16533,#18115,412,0,,A sequel of Akuei to Gacchinpo series.,"['Prequel (TV) Akuei to Gacchinpo', '']",Akuei to Gacchinpo: Tenkomori,A-kuei & Gatchinpo: Tenkomori,,,['Kids'],,,,['Comedy'],
25,おれたちイジワルケイ,,['TV'],14,Finished Airing,"Dec 26, 2004 to Apr 3, 2005",['Winter 2005'],Sundays at 07:00 (JST),"['Aniplex', 'Mainichi Broadcasting System']","None found,",['Karaku'],Unknown,,30 min. per ep.,None,[],#20874,#18212,406,0,,An anime about Kei's daily life.,[],Oretachi Ijiwaru Kei,,,,,,,,['Comedy'],
26,뚜루뚜루뚜 나롱이,,['TV'],52,Finished Airing,Dec 2004 to Jan 2006,['Winter 2005'],Unknown,['Studio Kaab'],"None found,","None found,",Original,,15 min. per ep.,G - All Ages,[],#15090,#18984,347,0,,"Somewhere in this world, there is a town named Lala in a forest called Lulu. This is the home of Nalong and many other furry little creatures. Nalong lives with his father and 10 brothers, and attends elementary school. His friends are an otter named Ukkya, an ostrich named Tajori, and the Mandu brothers, who were accidentally made by the famous inventor Professor Penguil. (Source: Wikipedia)","['Sequel (TV) Kwaegeol Longman Narongi', '']",Turuturutu Narongi,Nalong: Fly to the Sky,,,['Kids'],,,,['Adventure'],
27,ネポス・ナポス,Nepos Napos,['TV'],26,Finished Airing,"Jan 31, 2005 to Jul 25, 2005",['Winter 2005'],Unknown,"None found,","None found,",['The Answer Studio'],Unknown,,6 min. per ep.,PG - Children,[],#20643,#19653,306,0,,You see a whale-shaped cloud drifting in the blue sky. What you don't see is a strange land of Nepos Napos that lies above it. Don't you want to know what is happening and how everybody lives up there? (Source: The Answer Studio),[],Nepos Napos,,,,['Kids'],,,,['Fantasy'],
28,ウィッチ ヴィレッジ ストーリー,,['TV'],24,Finished Airing,"Jan 9, 2005 to Jun 19, 2005",['Winter 2005'],Unknown,"None found,","None found,","None found,",Unknown,,3 min. per ep.,G - All Ages,[],#15301,#19609,308,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Witch Village Story,,,,,,,,['Slice of Life'],
29,ナルト,Naruto,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,966,687","82,496",2044591,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,NARUTO,,,['Shounen'],,,['Martial Arts'],,
30,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,224","234,798",1420015,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,['Shounen'],,,,,
