,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Spanish,Themes,Genre,Demographics
10,Transformers Legend of Micron,超ロボット生命体トランスフォーマー マイクロン伝説,Transformers Armada,['TV'],52,Finished Airing,"Jan 10, 2003 to Dec 26, 2003",['Winter 2003'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Columbia', 'TV Tokyo Music']",['Hasbro'],['Actas'],Other,"['Action', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,6.82,#5249,#6513,"10,942",54,5948,"On the mechanical planet of Cybertron live super robotic organisms known as Transformers. There, mainly consisting of convoys, the Cybertron army, and their old enemy Destron fell into conflict to gain hold of a new power to join their side. A new breed of Transformers known as the Microns. But, grieving over the battle the Microns set off to the other end of the universe. 4 million years later, on Earth, 3 young children activated a mysterious panel inside a cave. And somehow, that was the dormant Micron...","['Sequel (TV) Transformers Superlink', '']",Chou Robot Seimeitai Transformers Micron Densetsu,Transformers Armada,Transformers Armada,['Mecha'],,,,,
11,Nanaka Juu-nanabun no Roku,ななか６／１７,,['TV'],12,Finished Airing,"Jan 9, 2003 to Mar 27, 2003",['Winter 2003'],Thursdays at 02:35 (JST),['Genco'],['ADV Films'],['J.C.Staff'],['Manga'],"['Comedy', 'Drama', 'Romance']",25 min. per ep.,PG-13 - Teens 13 or older,6.56,#6727,#6670,"10,314",14,4239,"Seventeen-year-old Nanaka Kirisato is a high school student serious about her studies and goals in life. She frequently criticizes her best friend, Nenji Nagihara, for being a childish delinquent who spends his time fighting other boys. Then one day, after a heated argument with Nenji, she falls off a flight of stairs and suffers a brain injury, resulting in her mind reverting to that of a six-year-old. With this in mind, Nanaka's father and Nenji must keep her injury a secret as she struggles to live a normal life and grow up all over again. (Source: ANN)","['Adaptation (Manga) Nanaka 6/17', '']",Nanaka 6/17,,,,['Shounen'],,,,
12,,L/R -Licensed by Royal-,Licensed by Royalty,['TV'],12,Finished Airing,"Jan 8, 2003 to Mar 26, 2003",['Winter 2003'],Unknown,"['Victor Entertainment', 'Fuji TV', 'Pioneer LDC']",['Geneon Entertainment USA'],['TNK'],Original,"['Action', 'Adventure', 'Mystery']",23 min. per ep.,PG-13 - Teens 13 or older,6.42,#7585,#8556,"5,646",10,1944,"Jack Hofner and Rowe Rikenbacker are Cloud 7's L/R. Their job is to protect the Royal family of Ishtar, their treasures, and their reputation. Jack & Rowe face one of the toughest missions of their career when they are assigned to protect Noelle, a candidate for the 15 Year Princesse contest. It starts out simple, but soon all of Cloud 7 are involved in a web of intrigue that includes bombings, corruption and murder. (Source: ANN)",[],L/R: Licensed by Royal,Licensed by Royalty,Licensed by Royalty,['Detective'],,,,,
13,"Maju Sensen The Apocalypse, Demon Beast Battle Front The Apocalypse, Demon Beast Phalanx TV",魔獣戦線 THE APOCALYPSE,Beast Fighter: The Apocalypse,['TV'],13,Finished Airing,"Feb 23, 2003 to May 18, 2003",['Winter 2003'],Unknown,['Dynamic Planning'],['Discotek Media'],['Magic Bus'],['Manga'],"['Action', 'Supernatural']",24 min. per ep.,R+ - Mild Nudity,5.30,#12710,#10232,"3,301",2,942,"An entire city is destroyed by two monstrous and omnipotent beings. Genzou Kuruma, a scientist but also the leader of a sect wishes to awake God, but first, he needs a special kind of blood for it. His son, Shinichi Kuruma, and a young girl, Ayaka Sanders, possess that blood, and he will do anything to capture them and take their blood for God's Awakening, and so, humanity will be lost. Shinichi, along Ayaka and Tomizoro (Tommy), are escaping from Genzou Kuruma's ""New Humans"" (genetically altered humans who can turn into monsters), while Shinichi only wishes for revenge against his father. He, like the other ""New Humans"", has the power to summon different beasts from his body. With this power, he will fight until Genzou Kuruma is killed by his own hands. (Source: ANN)","['Adaptation (Manga) Majuu Sensen', '']",Majuu Sensen: The Apocalypse,,Beast Fighter: L'Apocalypse,,['Shounen'],,"['Mythology', 'Super Power']",,
14,Baromu One,バロムワン,Barom 1,['TV'],13,Finished Airing,"Dec 7, 2002 to Mar 22, 2003",['Winter 2003'],Unknown,['AT-X'],"None found,",['E&G Films'],['Manga'],"['Action', 'Sci-Fi', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,5.12,#13068,#10612,"2,948",3,1015,"Takeshi Kido and Kentaro Shiratori are a pair of friends who have been together for almost their entire life. One night, a strange being comes out from the lake and starts attacking them. When Takeshi and Kentaro are almost eliminated, a strange being named Kopu calls them and tells them that they are the chosen ones to inherit the power to protect the world from an evil being named Goumon. Now, they join their hands to transform into Barom One, a being with superior skills, who will fight to protect the city. (Source: ANN)","['Adaptation (Manga) Barom 1', '']",Barom One,,,,['Shounen'],,,,
15,"Machine Robo Rescue, Sortie!",出撃！マシンロボレスキュー,,['TV'],53,Finished Airing,"Jan 8, 2003 to Jan 3, 2004",['Winter 2003'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Bandai Visual', 'Lantis']","None found,",['Sunrise'],Unknown,"['Action', 'Sci-Fi']",23 min. per ep.,PG - Children,6.86,#5012,#11034,"2,598",9,1168,"In the future, age is not a factor to determine whether someone can perform a certain task or not, but special talent and training. An organization, Machine Robo Rescue (MRR), was established for robots and children to become partner and rescue people from danger. Then 12 children with various abilities were selected and introduced as part of this program: Robo Rescue! Meet Oozora Taiyou, one of the children who were chosen as a part of MRR program. After being late on his first day of training, he went to perform a hot rescue with JETROBO. However, a mysterious Robot from mysterious organization, ""The Star""(?), appeared before MRR team to interfere with the rescue. What are the motives of the mysterious organization? And what are their goals? Life as one of the children chosen as part of MRR has started for Oozora Taiyou. Bumpy and hard training is just ahead for MRR team in order to protect many people's life! (Source: AnimeNfo)",[],Shutsugeki! Machine Robo Rescue,,,['Mecha'],,,,,
16,"Ga-Ra-Ku-Ta: Mr. Stain on Junk Alley, Garakuta-dori no Sutein",ガラクタ通りのステイン,Mr. Stain on Junk Alley,['TV'],13,Finished Airing,"Jan 6, 2003 to Mar 25, 2003",['Winter 2003'],Unknown,"None found,",['Funimation'],"None found,",Unknown,"['Award Winning', 'Comedy']",7 min. per ep.,PG - Children,6.43,#7548,#11290,"2,419",10,752,"Mr. Stain, an artist/inventor, and his cat friend, Palvan, have numerous adventures concerning art supplies and junk found in Junk Alley. (Source: ANN)",[],Garakuta-doori no Stain,,,,,,,,
17,,クラッシュギアNitro,,['TV'],50,Finished Airing,"Feb 2, 2003 to Jan 25, 2004",['Winter 2003'],Unknown,"None found,","None found,",['Sunrise'],Unknown,,23 min. per ep.,PG-13 - Teens 13 or older,6.14,#9150,#11642,"2,175",4,1009,"Story about a young boy name: Mahha Masaru, who dreamt of having a crush gear fight with the others even though he doesn't have his very own crush gear! One day, a sudden chance came to him and he got the legendary crush gear which look similer to the one that was used by Kouya Marino and finally he can go and paticipate in his own crush gear fight with his friends and foe!!","['Adaptation (Manga) Crush Gear N', '']",Crush Gear Nitro,,,['Racing'],,,,['Sports'],
18,Greek & Roman Mythology: Olympus Guardian,그리스 로마 신화-올림포스 가디언,,['TV'],39,Finished Airing,"Dec 11, 2002 to Jul 31, 2003",['Winter 2003'],Unknown,"None found,","None found,","None found,",Other,"['Adventure', 'Fantasy']",25 min. per ep.,None,6.15,#9084,#12727,"1,539",3,251,The animated form of the Korean manhwa.,[],Greek Roman Sinhwa: Olympus Guardian,,,['Historical'],,,,,
19,,스피어즈,,['TV'],26,Finished Airing,"Feb 27, 2003 to Aug 21, 2003",['Winter 2003'],Unknown,['Studio Kaab'],"None found,","None found,",Unknown,"['Action', 'Fantasy']",22 min. per ep.,PG - Children,6.12,#9285,#14609,918,1,156,"Unbeknownst to human history, the Kingdom of Spheres existed upon our earth long ago. The people of this kingdom would be regarded today as people with psychic powers. Unfortunately, like most other civilizations, as the gap widened more and more between the social classes, the Kingdom of Spheres was troubled by those greedy for power; and in the end it collapsed. Na Yeon is a mysterious girl who was found in the Antarctic after the destruction of Spheres. One day Asten, the chairman of Sphere Union, who has a burning ambition to control the world, sent his followers to keep watch on Na Yeon. Na Yeon and her friends try to keep three artifacts, the keys to conquer the world, from the hands of Sphere Union. (Source: Wikipedia)",[],Spheres,,,['Super Power'],,,,,
20,,デジガールPOP! 〜STRAWBERRY＆POP MIX FLAVOR〜,,['TV'],26,Finished Airing,"Feb 17, 2003 to Aug 12, 2003",['Winter 2003'],Unknown,"['GDH', 'HoriPro', 'Kids Station', 'Pioneer LDC']","None found,",['Creators Dot Com'],Unknown,"['Comedy', 'Sci-Fi']",3 min. per ep.,PG - Children,5.79,#10975,#15147,780,0,139,"One fine day, a robot by the name of ""Digi-girl"" fell from the sky and landed near the nail-saloon operated by Nails, a nail-artist who likes all things pretty. Nails took Digi-girl in, hoping that she can help out with the household chorse. However, much to her desperation, the latter is completely useless with cleaning matters and constantly fumbles with dire results. On top of that, she creates a commotion where-ever she goes, be it in school or on the streets. This is a cute and ""pop"" story about a robot girl mixing together with other peculiar townsfolk. (Source: ANN)",[],DigiGirl Pop!: Strawberry & Pop Mix Flavor,,,,,,,,
21,太空嘻哈族,스페이스 힙합덕,Space Hip Hop Duck,['TV'],26,Finished Airing,"Dec 4, 2002 to Jun 11, 2003",['Winter 2003'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",24 min. per ep.,G - All Ages,[],#14701,#21759,189,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Taikong Xiha Zu,,,,,,,,
22,NARUTO,ナルト,Naruto,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,967,172","82,512",2044904,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despise him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,,,['Martial Arts'],['Shounen'],,,,
23,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,592","234,839",1420247,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,['Shounen'],,,,
24,Inu Yasha,犬夜叉,InuYasha,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,227","19,337",402579,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,,,,['Shounen'],Inuyasha,"['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",,
25,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1978,#603,"412,205","5,011",259909,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,,Yu-Gi-Oh!,['Strategy Game'],['Shounen'],,,,
26,"Ghost in the Shell SAC, Ghost in the Shell: Stand Alone Complex",攻殻機動隊 STAND ALONE COMPLEX,Ghost in the Shell: Stand Alone Complex,['TV'],26,Finished Airing,"Oct 1, 2002 to Oct 1, 2003",['Fall 2002'],Fridays at 15:30 (JST),"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Animax', 'Kodansha', 'Trilogy Future Studio', 'Tokuma Shoten', 'Nippon Television Network']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],['Manga'],"['Action', 'Award Winning', 'Mystery', 'Sci-Fi']",25 min. per ep.,R - 17+ (violence & profanity),8.42,#188,#607,"409,453","8,764",168075,"In the not so distant future, mankind has advanced to a state where complete body transplants from flesh to machine is possible. This allows for great increases in both physical and cybernetic prowess and blurring the lines between the two worlds. However, criminals can also make full use of such technology, leading to new and sometimes, very dangerous crimes. In response to such innovative new methods, the Japanese Government has established Section 9, an independently operating police unit which deals with such highly sensitive crimes. Led by Daisuke Aramaki and Motoko Kusanagi, Section 9 deals with such crimes over the entire social spectrum, usually with success. However, when faced with a new A level hacker nicknamed ""The Laughing Man,"" the team is thrown into a dangerous cat and mouse game, following the hacker's trail as it leaves its mark on Japan. [Written by MAL Rewrite]","['Sequel (TV) Koukaku Kidoutai: Stand Alone Complex 2nd GIG', 'Adaptation (Light Novel) Koukaku Kidoutai: Stand Alone Complex', 'Adaptation (Manga) Koukaku Kidoutai: Stand Alone Complex Read Manga', 'Adaptation (Manga) Koukaku Kidoutai: Stand Alone Complex - The Laughing Man']",Koukaku Kidoutai: Stand Alone Complex,Ghost in the Shell: Stand Alone Complex,Ghost in The Shell: Stand Alone Complex,,['Seinen'],Ghost In The Shell : Stand Alone Complex,"['Adult Cast', 'Detective', 'Mecha', 'Military']",,
