,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Genre,German,Demographics
53,Kidou Senshi Gundam: Dai 08 MS Shotai,機動戦士ガンダム 第08MS小隊,Mobile Suit Gundam: The 08th MS Team,,,['OVA'],12,Finished Airing,"Jan 25, 1996 to Jul 25, 1999",,,['Atelier Musa'],"['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,8.00,#671,#2391,"88,713","1,159",48851,"In year 0079 of the Universal Century, the Earth Federation initiates Operation Odessa—a full-scale assault to retake a major Ukrainian city from the Principality of Zeon. It is a success, and the remaining Zeon forces scatter across the globe. The Earth Federation gains the upper hand in the One Year War and deploys its ground troops around the planet to hunt down the stragglers. As part of the deployments, Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team—a special squadron of RX-79[G] Gundam Ground Type pilots. In their first guerilla operation, Shiro's team is tasked with distracting the Zeon forces while Federation ground troops locate a mysterious new Zeon weapon. Everything goes according to plan until Shiro runs into Aina Sahalin, an ace Zeon pilot he met in an earlier battle, during a skirmish. Their reunion weakens his resolve to continue fighting, and now the young commander Shiro must prove his loyalty to the Federation—or be branded a traitor. [Written by MAL Rewrite]",[],Kidou Senshi Gundam: Dai 08 MS Shoutai,"['Mecha', 'Military']",,,
54,,A KITE（カイト）,Kite,,,['OVA'],2,Finished Airing,"Feb 25, 1998 to Oct 25, 1998",,,"['Green Bunny', 'BEAM Entertainment']","['Media Blasters', 'Discotek Media']",['Arms'],Original,"['Action', 'Drama', 'Hentai']",['Gore'],,26 min. per ep.,Rx - Hentai,6.53,N/A,#2605,"77,448",364,37996,"After her parents were brutally murdered, school girl Sawa was taken into custody by Akai and Kanie, a pair of detectives assigned to her case. Corrupt and immoral, they train the girl to become a weapon, dangling the promise of vengeance in front of the hapless orphan. From celebrities and politicians to influential businessmen, Sawa is tasked with assassinating targets selected arbitrarily by her crooked overseers. She executes every mission without fail, and her distinctive weapon has become infamous among the city's police officers. Physically abused by Akai, who is no more righteous than her victims, Sawa begins to dream of a life unhindered by the shadow of her ""guardians."" One day, Sawa meets Oburi, a fellow orphan and vigilante. They quickly form a bond born of desperation and disgruntlement at the unjust world, envisioning a future free from the stain of murder. [Written by MAL Rewrite]","['Sequel (OVA) Kite Liberator', '']",A Kite,,,Kite,
55,,ＡＩＫａ,Agent AIKa,,,['OVA'],7,Finished Airing,"Apr 25, 1997 to Apr 25, 1999",,,['Bandai Visual'],"['Bandai Entertainment', 'Central Park Media']",['Studio Fantasia'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",,,27 min. per ep.,R+ - Mild Nudity,5.95,#10167,#3819,"38,836",74,15321,"A catastrophic earthquake has left Tokyo, and most of the Earth for that matter, under the sea. Aika is a salvager who retrieves various remains from the watery ruins. When Aika accepts the dangerous mission of locating and obtaining the mysterious Lagu, she discovers that she's not the only one after it.","['Prequel (OVA) AIKa Zero', '']",AIKa,,,Agent AIKa,
56,,ジャイアントロボ THE ANIMATION 地球が静止する日,Giant Robo the Animation: The Day the Earth Stood Still,,,['OVA'],7,Finished Airing,"Jul 23, 1992 to Jan 25, 1998",,,"['Bandai Visual', 'Bandai', 'Amuse']","['Media Blasters', 'Discotek Media', 'NYAV Post', 'Manga Entertainment']",['Phoenix Entertainment'],['Manga'],"['Action', 'Drama', 'Sci-Fi']",,['Shounen'],49 min. per ep.,PG-13 - Teens 13 or older,7.79,#1064,#4420,"28,519",446,8253,"In a future to come humanity enjoys a new age of prosperity thanks to Dr. Shizuma's invention of a revolutionary renewable energy source: the Shizuma Drive. But this peace is threatened by Big Fire, a cabal seeking world domination. Against Big Fire the International Police Organisation dispatches a collection of superpowered warriors and martial artists, together with Daisaku Kusama, inheritor and master of Earth's most powerful robot, Giant Robo. By capturing an abnormal Shizuma Drive which is essential to Big Fire's plans the IPO ignites a desperate conflict between the two groups. The coming battle will test Daisaku's resolve to the utmost, reveal the ghastly truth behind the creation of the Shizuma Drive, and bring human civilization to its knees! Giant Robo is a character-driven adventure in a retro-futuristic setting, drawing on influences from opera, kung-fu cinema, wuxia stories and classic mecha anime. It incorporates characters from the works of the manga author Mitsuteru Yokoyama but it is designed to be a stand-alone story.","['Adaptation (Manga) Giant Robo', '']",Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,"['Mecha', 'Super Power']",,,
57,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari, Legend of the Galactic Heroes Gaiden: A Hundred Billion Stars, A Hundred Billion Lights, LoGH Gaiden",銀河英雄伝説外伝／千億の星、千億の光,Legend of the Galactic Heroes Gaiden,,,['OVA'],24,Finished Airing,"Feb 9, 1998 to Sep 26, 1998",,,"['Kitty Films', 'Tokuma Shoten', 'Wright Staff']",['Sentai Filmworks'],['K-Factory'],Novel,"['Action', 'Drama', 'Sci-Fi']",,,26 min. per ep.,R+ - Mild Nudity,8.13,#481,#4652,"25,374",69,9349,"Ginga Eiyuu Densetsu Gaiden is the first of two OVA adaptations of side stories from the Ginga Eiyuu Densetsu novel series. This first adaptation follows the achievements of Reinhard von Müsel and Siegfried Kircheis of the Galactic Empire before the fateful Battle of Astarte. The Silver-White Valley Reinhard and Kircheis graduate from their military academy and are immediately sent to the frozen frontier planet Kapche-Lanka. Unbeknownst to them, their new superior schemes to kill Reinhard on behalf of a rival of Reinhard's sister Annerose von Grünewald. Dreams of the Morning, Songs of the Night Reinhard and Kircheis are assigned to the Imperial Military Police, where they uncover the corrupt and oppressive practices of the Empire's law enforcement. They are soon ordered to investigate the murder of a student at their alma mater. Dishonor As Reinhard awaits the bestowal of his new title of Count von Lohengramm, he sends Kircheis to the artificial resort satellite Kreuznach III for a vacation. Restless from the lack of work, Kircheis assists the local police with a drug trafficking case related to an attack on a disgraced former Vice Admiral. A Hundred Billion Stars, a Hundred Billion Lights While Reinhard is still a commodore in charge of only a single squadron, he laments the incompetence of his superiors during a battle against the Free Planets Alliance. Amassing military successes under the direct command of Vice Admiral Richard von Grimmelshausen, Reinhard repeatedly clashes with Hermann von Lüneburg, a commodore and former regimental commander of the Alliance's infamous Rosen Ritter. [Written by MAL Rewrite]","['Sequel (Movie) Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai', 'Adaptation (Novel) Ginga Eiyuu Densetsu Gaiden']",Ginga Eiyuu Densetsu Gaiden,"['Military', 'Space']",,,
58,"The King Of Iron Fist Tournament The Movie, Tekken Movie",鉄拳,Tekken: The Motion Picture,,,['OVA'],2,Finished Airing,"Jan 21, 1998 to Feb 21, 1998",,,"['Four Some', 'Sony Music Entertainment']",['ADV Films'],['Studio Deen'],Game,"['Action', 'Adventure', 'Sci-Fi']",['Martial Arts'],,28 min. per ep.,R - 17+ (violence & profanity),5.28,#12748,#5451,"17,192",22,10376,"After being thrown off a cliff as a child, Kazuya Mishima enters the King of Iron Fist Tournament to extract revenge from his father, multi-billionaire Heihachi Mishima. Meanwhile, WWWC operative Jun Kazama and Hong Kong detective Lei Wulong also enter the tournament to investigate on Heihachi's illegal activities involving cloning and genetic engineering. A handful of other skilled fighters are also in it merely to win the grand prize of $1 billion, not knowing of the true purpose of the tournament and fate that awaits them. (Source: ANN)",[],Tekken,,,,
59,Macross 7 Dynamite,マクロスダイナマイト7,,,,['OVA'],4,Finished Airing,"Dec 18, 1997 to Aug 25, 1998",,,"['Bandai Visual', 'Mainichi Broadcasting System', 'Studio Nue', 'Big West']","None found,",['Ashi Productions'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,30 min. per ep.,PG-13 - Teens 13 or older,6.80,#5352,#5770,"14,841",18,6253,"Less than a year after the events that transpired in the Macross 7 TV series, Basara leaves Fire Bomber and travels to the planet Zola. There, he meets a girl named Elma, who is a big fan of Fire Bomber. It is also on this planet where he must once again use his Spiritia powers; this time, to stop an army of poachers and Elma's father Graham from killing a group of space whales travelling within the planetary system.","['Prequel (TV) Macross 7', 'Sequel (TV) Macross F']",Macross Dynamite 7,"['Mecha', 'Music', 'Space']",,,
60,,支配者の黄昏,Twilight Of The Dark Master,,Twilight of the Dark Master,['OVA'],1,Finished Airing,"Jan 21, 1998",,,"['Toei Video', 'Filmlink International']",['Urban Vision'],['Madhouse'],['Manga'],"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural']",['Mythology'],['Shoujo'],45 min.,R+ - Mild Nudity,5.81,#10857,#6106,"12,775",23,4806,"Since the beginning of time, monstrous Demons and noble Guardians have battled for Earth - the everlasting gift of the one great Mother, creator of all life. A deep hatred burns between Demon and Guardian; the Guardians prevented the Demons from destroying humanity and the world itself. Eons later, Neo-Shinjuku City: few Demons or Guardians remain to continue their epic war. Humans rule the Earth, with no real memory of either Demons or Guardians. Yet deep within the dark underworld of the city, one supreme Demon is alive and plotting to subjugate mankind. Only one Guardian is left to do battle, and the fate of the human race is at stake. Based on the Graphic Novel ""Twilight of the Dark Master (Shihaisha no Tasogare)"" (Shinshokan) by Saki Okuse (Source: DVD Back Cover)","['Adaptation (Manga) Shihaisha no Tasogare', '']",Shihaisha no Tasogare,,,Twilight of the Dark Master,
61,"Ninja Resurrection: The Revenge of Jubei, Makai Tensho",魔界転生,Ninja Resurrection,,Ninja Resurrection,['OVA'],2,Finished Airing,"Feb 27, 1998 to Mar 27, 1998",,,"None found,",['ADV Films'],['Phoenix Entertainment'],Novel,"['Action', 'Supernatural']",,,40 min. per ep.,R+ - Mild Nudity,5.21,#12915,#7412,"7,954",11,3841,"Get ready for a nightmarish journey through faith and betrayal as the infamous Jubei Yagyu wields his deadly blades against the forces of good and evil alike. In an orgy of unbelievable savagery, the armies of the Shogun give no quarter as they ruthlessly slaughter their enemies. Trapped on the rocky isthmus of Amakusa, the faithful await divine aid as the demon stirs in their midst. Desperate for vengeance, a Child of Heaven becomes the emissary of Hell. Tortured by visions of Amakusa's final hour, legendary swordsman Jubei Yagyu returns to his ancestral home seeking respite from the bloody duties of a feudal retainer. Life in the village of Yagyu possesses a serenity ill-befitting days of armed rebellion and unholy alliance. For Jubei the tranquility is far too transparent, and soon, chilling rumors reach him. Four dead heroes renew their claim to life, feeding on the fear and violence of the age. Forced to take up the sword once more, Jubei returns to the path of vengeance and damnation in Ninja Resurrection! (Source: DVD cover)","['Adaptation (Manga) Makai Tenshou', '']",Makai Tenshou,"['Historical', 'Samurai']",,Ninja Resurrection,
62,"Blue Seed 2: Operation Mitama, Blue Seed OVA",ブルーシード 2,Blue Seed Beyond,,Blue Seed Beyond,['OVA'],3,Finished Airing,"Jul 24, 1996 to Feb 4, 1998",,,"['Movic', 'ING', 'King Records', 'Omnibus Promotion']","['ADV Films', 'Discotek Media']","['Production I.G', 'Xebec']",['Manga'],"['Action', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Supernatural']",['Mythology'],['Seinen'],28 min. per ep.,R - 17+ (violence & profanity),6.41,#7632,#7556,"7,580",2,3207,"A renegade scientist in San Francisco has found a way to create a new creature called a Neo-Aragami without the power of Susanoo. When these monsters start to terrorize California, the U.S. turns to the old members of the Terrestrial Administration Center (TAC) for help. (Source: ANN)","['Prequel (TV) Blue Seed', '']",Blue Seed 2,,,,
63,Battle Athletes OVA,バトルアスリーテス大運動会,Battle Athletes,,,['OVA'],6,Finished Airing,"May 25, 1997 to Jun 25, 1998",,,"['TV Tokyo', 'Genco', 'Pioneer LDC']","['Discotek Media', 'Geneon Entertainment USA']",['AIC'],Original,"['Comedy', 'Sci-Fi', 'Sports', 'Ecchi']",['Space'],,32 min. per ep.,PG-13 - Teens 13 or older,6.44,#7446,#8060,"6,468",7,2334,"It is the year 4999 - mankind has long abandoned war in favor of intergalactic competition through athletic events. One of which is an all-female contest for the coveted ""Cosmo Beauty"" title. Akari Kanzaki has just entered the University Satellite in hopes of becoming the latest Cosmic Beauty - a title held by her mother long ago. On her first few days in the university, she meets new friends, encounters fierce rivals, and struggles to become the best of all the Battle Athletes. (Source: ANN)","['Adaptation (Manga) Battle Athletes Daiundoukai', '']",Battle Athletess Daiundoukai,,,,
64,"Gekiganger 3: Nekketsu Daikessen, Nadesico OVA",ゲキ・ガンガー３　熱血大決戦,Gekiganger 3,,,['OVA'],1,Finished Airing,"Feb 21, 1998",,,"None found,",['Nozomi Entertainment'],['Xebec'],Original,"['Action', 'Comedy', 'Sci-Fi']",,['Shounen'],30 min.,PG-13 - Teens 13 or older,6.46,#7355,#8831,"5,180",6,2468,"Ken, Joe, and Akira, three high school students, must combine their three mecha into Gekiganger III to defeat the evil Prince Akara and Emperor Hyperion. The OVA is a compilation of the scenes from Nadesico, a new ""movie"", and is a parody of many mecha series from the 80s. (Source: ANN)",[],Gekiganger 3: The Movie,"['Mecha', 'Parody']",,,
65,Ni Kakeru Ichi,2x1,Four Play,,,['OVA'],2,Finished Airing,"Feb 25, 1998 to Mar 25, 1998",,,['J.T.P.P.'],['NuTech Digital'],['Ripple Film'],Unknown,,,,24 min. per ep.,Rx - Hentai,5.22,N/A,#10295,"3,230",13,1211,"Noriko has a new passion, one so intense she hasn't attended school in weeks! When her classmates, Junichi and Satoshi pay a visit, they find that while her illness is not a flu it does make her hot in other ways...","['Adaptation (Manga) 2x1', '']",2x1,,['Hentai'],,
66,Class Reunion: Yesterday Once More,同窓会,Yesterday Once More,,,['OVA'],4,Finished Airing,"Mar 27, 1998 to Dec 18, 1998",,,"['Pink Pineapple', 'KSS']",['Kitty Media'],['Arms'],Visual novel,,['Harem'],,28 min. per ep.,Rx - Hentai,5.64,N/A,#10967,"2,648",2,793,"A young group of friends meet up for the first time in a very long time after finishing high-school. One of them remembers how once ago a girl left him Daisies and a love letter inside his locker, back in the high-school days. He has three suspects of who this secret lover could be and so there is only one way to know... by having sex with all of them. (Source: AniDB)","['Sequel (OVA) Dousou Kai Again', '']",Dousou Kai,,['Hentai'],Yesterday Once More,
67,Classmates 2,同級生2,End of Summer 2,,,['OVA'],12,Finished Airing,"Mar 22, 1996 to Dec 18, 1996",,,"['Pink Pineapple', 'KSS']","None found,",['Arms'],Visual novel,,,,29 min. per ep.,Rx - Hentai,5.59,N/A,#11087,"2,561",1,758,Based on a game by Elf.,"['Prequel (OVA) Doukyuusei: Climax', 'Sequel (OVA) Doukyuusei 2 Special: Sotsugyousei']",Doukyuusei 2,,['Hentai'],,
68,"The Naughty Professor, Twisted Tales of Tokyo (2)",MOMONE 桃音,Momone,,,['OVA'],1,Finished Airing,"Jan 25, 1998",,,['J.T.P.P.'],['NuTech Digital'],['Ripple Film'],['Manga'],,,,27 min.,Rx - Hentai,5.18,N/A,#11668,"2,157",8,566,"A different college professor, Momone, has disturbing dreams of sexual deviation from her youth. She brushes the memory aside and makes her way to class. Along the way, every boy eyes her and has horny thoughts about the stacked teacher. The captain of the basketball team really likes her, but his rival Hino has other plans. When Momone seizes a porn mag from some boys, Hino claims it's his, and asks if it makes her hot. Back in her apartment, Momone looks through the magazine, which does turn her on. Hino makes a grand entrance, and dominates his professor, forcing Momone to be his bitch. The next day, under instructions from Hino, Momone wears no underwear. It's part of Hino's plan to truly make Momone his own. And boy, he's not very nice about it, either!","['Adaptation (Manga) Momone', '']",Momone,,['Hentai'],,
69,,ビ・ヨンド,Beyond,,,['OVA'],2,Finished Airing,"Feb 27, 1998 to May 29, 1998",,,['Pink Pineapple'],"None found,",['OLM'],Visual novel,,,,26 min. per ep.,Rx - Hentai,5.59,N/A,#12037,"1,931",4,617,"Based on an adult game by ELF. When I woke up from the darkness, I learned that I was the legendary Devil of Darkness that was said to have a power to destroy the universe. The beautiful girls make approaches to me one after another. My shout roars in space. When I touch a villain gently, he decomposes into molecules... It seemed that I have the power... But... am I really the Devil?",[],Be-yond,,['Hentai'],,
70,Toshin Toshi 2,闘神都市Ⅱ,Tournament of the Gods: Title Match,,,['OVA'],3,Finished Airing,"Dec 19, 1997 to Jun 27, 1998",,,['Pink Pineapple'],['SoftCel Pictures'],['AIC'],Visual novel,"['Adventure', 'Fantasy', 'Hentai']",,,29 min. per ep.,Rx - Hentai,5.63,N/A,#12335,"1,744",2,517,"Sid enters a tournament. Shortly after he is crowned champion, the fallen Angel Aquross infects him with a hideous disease that requires him to steal the life energy of Angels or be in constant pain. The only relief lies in a drug that kills the pain, but causes sexual urges that cannot be denied. Now, Sid must defeat the evil Aquross. (Source: ANN)",[],Toushin Toshi II,,,,
71,,ドリームハザード -悪魔のプログラム-,Dream Hazard,,,['OVA'],1,Finished Airing,"Feb 25, 1998",,,['J.T.P.P.'],"['NuTech Digital', 'Central Park Media']",['Ripple Film'],['Manga'],,,,27 min.,Rx - Hentai,4.64,N/A,#12454,"1,680",2,593,"Erotic virtual reality offers Kaori the cure for her shyness, but a mysterious programming bug traps her in a fantasy world beyond her wildest dreams! (Source: AniDB)",[],Dream Hazard: Akuma no Program,,['Hentai'],,
72,"Aria, Wake Up!, Best of Kitty #2 (1)",WAKE UP! アリア 魔女っ娘バージン 危機一髪,Wake Up! Aria,,,['OVA'],1,Finished Airing,"Feb 20, 1998",,,"None found,",['Kitty Media'],"None found,",Unknown,,,,28 min.,Rx - Hentai,4.62,N/A,#13069,"1,390",1,456,"Aria is a talented young lady who's off to study in a prestigious music school. When she gets there however, she senses that something is not quite right. The principal insists on conducting individual private lessons for all the female students, but those who go through these sessions end up performing more poorly instead of improving. Aria must find out what's really going on before it's too late...",[],Wake Up! Aria: Majokko Virgin Kiki Ippatsu,,['Hentai'],,
73,"Gunbare! The Game Paradise 2, The Game Paradise 2 Movie",GUNばれ!ゲーム天国 The Game Paradise 2,,,,['OVA'],1,Finished Airing,"Mar 19, 1998",,,"None found,","None found,","None found,",Unknown,"['Action', 'Adventure', 'Comedy']",,,15 min.,PG-13 - Teens 13 or older,5.79,#10979,#16255,594,0,140,Game Tengoku 2 OVA which can be found on the GUNbare! Game Tengoku 2 video game CD for PlayStation.,"['Prequel (OVA) Game Tengoku: The Game Paradise!', '']",GUNbare! Game Tengoku: The Game Paradise 2,,,,
74,,それいけ! アンパンマン アンパンマンとおやくそく,,,,['OVA'],2,Finished Airing,"Feb 1, 1998 to Mar 1, 1998",,,['Tokyo Movie Shinsha'],"None found,",['TMS Entertainment'],Unknown,"['Comedy', 'Fantasy']",,['Kids'],40 min. per ep.,PG - Children,[],#14510,#17938,426,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Anpanman to Oyakusoku,,,,
75,Juupiki no Kaeru,10ぴきのかえる,,,,['OVA'],4,Finished Airing,"Mar 13, 1998 to Mar 21, 1998",,,['Toei Video'],"None found,",['Toei Animation'],Picture book,,,['Kids'],20 min. per ep.,G - All Ages,[],#16453,#20034,284,1,,"Ten frogs set out in search of adventure in their swamp, sailing in a boat made from a running shoe. Based on the children's book by Hisako Madokoro and Michiko Nakagawa, the story of the frogs returned in a second episode, in which they went to a summer festival. Each episode has 2 stories in it. (Source: The Anime Encyclopedia)",[],10-piki no Kaeru,,,,
76,,パーフェクトブルー,Perfect Blue,,,['Movie'],1,Finished Airing,"Feb 28, 1998",,,"['Rex Entertainment', 'ONIRO']",['GKIDS'],['Madhouse'],Novel,"['Avant Garde', 'Award Winning', 'Drama', 'Horror', 'Suspense']",,,1 hr. 21 min.,R+ - Mild Nudity,8.55,#124,#280,"757,756","20,440",406798,"J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her. However, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy. [Written by MAL Rewrite]","['Adaptation (Novel) Perfect Blue: Kanzen Hentai', '']",Perfect Blue,"['Adult Cast', 'Psychological', 'Showbiz']",,,
77,Doraemon: Nobita's South Sea Adventure,映画 ドラえもん のび太の南海大冒険,Doraemon the Movie: Nobita's Great Adventure in the South Seas,Doraemon Película 19: Doraemon y los Piratas de los Mares del Sur,,['Movie'],1,Finished Airing,"Mar 7, 1998",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy', 'Sci-Fi']",,,1 hr. 31 min.,PG - Children,7.31,#2789,#7119,"8,848",4,5566,"Finding a treasure is always been so hard! But, nothing is ever impossible for Doraemon and his magic tool. And so, with the help of Doraemon, Nobita and the rest of the gang set sail on a ship to find treasure on an islands. However on their way to the island, the ships have almost been destroyed and resulting Nobita to stray on an island with a young pirate while Doraemon and the rest of the gang somehow involved in a war between pirates.And so, their adventure begins...","['Adaptation (Manga) Daichouhen Doraemon', '']",Doraemon Movie 19: Nobita no Nankai Daibouken,,,,"['Kids', 'Shounen']"
78,,銀河鉄道９９９ エターナルファンタジー,Galaxy Express 999: Eternal Fantasy,,,['Movie'],1,Finished Airing,"Mar 7, 1998",,,"None found,",['Discotek Media'],['Toei Animation'],['Manga'],"['Action', 'Drama', 'Sci-Fi']",['Space'],,54 min.,PG-13 - Teens 13 or older,6.55,#6797,#8639,"5,483",4,2089,"Based on the story by manga master Leiji Matsumoto (The Cockpit, Queen Emeraldas), the 55 minute featurette picks up one year after the events of Galaxy Express 999 in which a young boy named Tetsuro and his motherly companion Maetel worked to rid the universe on the Mechanized Empire who had taken over Earth. (Source: AniDB)","['Prequel (Movie) Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki', 'Adaptation (Manga) Ginga Tetsudou 999 (1996)']",Ginga Tetsudou 999: Eternal Fantasy,,,,
79,Come Home Doraemon,ドラえもん 帰ってきたドラえもん,Doraemon: Doraemon Comes Back (Movie),,,['Movie'],1,Finished Airing,"Mar 7, 1998",,,['Asatsu DK'],"None found,",['Shin-Ei Animation'],Unknown,"['Comedy', 'Fantasy']",,['Kids'],27 min.,PG - Children,6.95,#4591,#10370,"3,158",2,1607,"Nobita is running from an angry Gian, though is quickly able to escape when Gian trips. Nobita asks Doraemon for a gadget to fight back, but Doraemon instead snaps at him; Doraemon tells Nobita that he must return to the 22nd century, and won’t be returning. (Source: Doraemon Wiki)",[],Doraemon: Kaette Kita Doraemon (Movie),,,,
80,The Doraemons: The Great Operation of Springing Insects,ザ☆ドラえもんズ ムシムシぴょんぴょん大作戦！,,The Doraemons: La Gran Misión de los Insectos,,['Movie'],1,Finished Airing,"Mar 7, 1998",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,,,,16 min.,PG - Children,6.48,#7223,#11849,"2,041",1,933,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],The☆Doraemons: Mushimushi Pyonpyon Daisakusen!,,['Fantasy'],,
81,"Ultra Nyan 2: Happy Daisakusen, Ultra Meow 2",ウルトラニャン２　ハッピー大作戦,,,,['Movie'],1,Finished Airing,"Mar 14, 1998",,,['Shochiku'],"None found,",['Triangle Staff'],Original,,,['Kids'],30 min.,G - All Ages,5.90,#10427,#15133,783,0,294,"Ultra-Nyan's adventures continue. This time, he is tasked with finding the cause of the crows' sudden declaration of war upon the cats.","['Prequel (Movie) Ultra Nyan: Hoshizora kara Maiorita Fushigi Neko', '']",Ultra Nyan 2: The Great Happy Operation,,['Comedy'],,
82,,この星の上に,Upon This Planet,,,['Movie'],1,Finished Airing,"Jan 28, 1998",,,"None found,","None found,",['ANIDO FILM'],Original,"['Adventure', 'Fantasy', 'Slice of Life']",,,14 min.,G - All Ages,[],#19557,#19283,329,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kono Hoshi no Ue ni,,,,
83,Gakkyuu Ou Yamazaki Episodes 21.5 and 46.5,学級王ヤマザキ,,,,['Special'],2,Finished Airing,"Mar 30, 1998 to Sep 28, 1998",,,['Magic Bus'],"None found,","None found,",Unknown,,,,24 min. per ep.,G - All Ages,[],#18102,#20100,281,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Gakkyuu Ou Yamazaki Specials,,['Comedy'],,
84,"Twin Bee Paradise Special Drama: Fantasian Everyday, Tale of the Tulip Seaside",ツインビーPARADISE スペシャルドラマ ファンタジアンな日常,,,,['Special'],4,Finished Airing,"Feb 27, 1998 to Apr 25, 1999",,,"['Konami', 'Public & Basic']","None found,","None found,",Game,,,,4 min. per ep.,None,[],#15109,#21506,204,1,,Extras of Twin Bee Paradise that were included on the DVD Volumes.,[],Twin Bee Paradise Specials,,['Comedy'],,
