,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Genres,Demographics,French,Theme,German
10,,キョロちゃん,,['TV'],91,Finished Airing,"Jul 1, 1999 to Mar 29, 2001",['Summer 1999'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems']","None found,",['Group TAC'],Other,,,,25 min. per ep.,PG - Children,7.28,#2944,#10082,"3,465",26,1740,"While exploring ruins on Angel Island, a doctor finds a myserious newborn bird called Kyoro-chan. Together they form a bond and decide to travel the world together. Three years later when the Doctor and Kyoro-chan try to return to Angel Island they become shipwrecked from a storm. Kyoro-chan was able to make it safely to the island but the Doctor was nowhere to be found. Kyoro-chan prays for his safety and hope he returns as he now starts his new life on Angel Island.",[],Kyoro-chan,,"['Adventure', 'Comedy', 'Fantasy']",,,,
11,"Mito no Daiboken: Futari no Jou-sama, Mito's Great Adventure: The Two Queens, Stellar Buster Mito 2, Uchuu Kaizoku Mito no Daibouken 2, Aoi & Mutsuki: A Pair of Queens, Aoi and Mutsuki",宇宙海賊ミトの大冒険 2人の女王様,Space Pirate Mito 2,['TV'],13,Finished Airing,"Jul 13, 1999 to Oct 5, 1999",['Summer 1999'],Tuesdays at 01:15 (JST),"['Xebec', 'Shaft', 'Genco']","['Nozomi Entertainment', 'Media Blasters', 'NYAV Post']",['Triangle Staff'],Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.08,#9493,#11826,"2,052",2,803,"Aoi was raised as a normal boy on Earth. Little did he know he was the heir apparent to Mito, the Queen-turned-Space-Pirate of an alien race that chooses their sex at puberty! Aoi fell in love with Mutsuki, the police officer who was chasing Mito, and the three of them saved the Universe. The only side effect was that Aoi blossomed into a beautiful young woman. Now a malevolent entity calling herself the true Queen of the Universe appears with enough power to destroy entire planets. Aoi must defend her new throne, but she needs Mutsuki's help. Mutsuki must come to terms with her own feelings for Aoi so they can defend Earth together and become the galaxy's first royal pair of queens.","['Prequel (TV) Uchuu Kaizoku Mito no Daibouken', '']",Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,,"['Action', 'Comedy', 'Sci-Fi']",,,,
12,"Koumechan ga Iku!!, Anime Ai no Awa Awa Hour, Anime Lovers' Awa Awa Hour, Anime Lovers' Bubble Bubble Hour, Modern Love's Silliness",小梅ちゃんが行く!!,Here Comes Koume!,['TV'],12,Finished Airing,"Aug 1, 1999 to Oct 1, 1999",['Summer 1999'],Unknown,['Pioneer LDC'],"None found,","['Gainax', 'Group TAC']",['Manga'],,,,5 min. per ep.,PG-13 - Teens 13 or older,5.73,#11236,#12226,"1,809",3,450,"Koume is a new Office Lady (OL), an employee of Caramel Ribbon, Inc., a firm of designers. This is the story of her days and nights, complete with humor unique to Osaka. Seen from outside, Kansai doesn't seem like the rest of Japan. Watching this show will make you an expert, even if you know nothing about the area right now. It's a humorous tale of life in a Japanese company, with Koume, her effeminate boss, and Kimi, a one-time girl gang member, as they try to sell (supposedly) new and fresh designs. The voice actors also come from Kansai, ensuring authenticity. (Source: AniDB)","['Adaptation (Manga) Koume-chan ga Iku!!', '']",Koume-chan ga Iku!,,"['Comedy', 'Romance']",,,,
13,"Little Women in Love, Anime Ai no Awa Awa Hour, Anime Lovers' Awa Awa Hour, Anime Lovers' Bubble Bubble Hour, Modern Love's Silliness",愛の若草山物語,,['TV'],12,Finished Airing,"Aug 1, 1999 to Oct 1, 1999",['Summer 1999'],Unknown,"None found,","None found,","['Gainax', 'Group TAC']",['Manga'],['Comedy'],,,4 min. per ep.,PG-13 - Teens 13 or older,5.75,#11146,#12693,"1,557",0,452,"The comic story of Shizuka, the eldest daughter, who lives at home, showing no signs of getting married; her mother, who is both annoyed with Shizuka, and at the same time concerned about her window of eligibility; her sister Ikumi, with whom she gets along, even though they fight; and her father, who feels henpecked in this all-female household. The strange incidents that happen with this family, which otherwise seems completely ordinary, will make you laugh out loud. The original manga is currently serialized in Takeshobo's Manga Club. The title is a pun on the long running Nippon Animation version of Little Women, ""Ai no Wakakusa Monogatari."" (Source: AniDB)",[],Ai no Wakakusa Yama Monogatari,,,,,,
14,,パパと踊ろう,Let's Dance with Papa,['TV'],16,Finished Airing,"Jul 5, 1999 to Jul 24, 1999",['Summer 1999'],Not scheduled once per week,"None found,",['ADV Films'],['Studio Deen'],['Manga'],['Comedy'],,,6 min. per ep.,PG-13 - Teens 13 or older,6.54,#6842,#12751,"1,524",5,502,"Imagine two irresponsible siblings (Fuko and Yoshiharu) living under the care of an equally or more irresponsible father (Amachi). Then add some bizarre stuff, like cobras, bad jokes, adult videos, seductive grannies, farting, stupid remarks and insults, terribly foul language, and a nonsensical plethora of strange happenings... (Source: ANN)",[],Papa to Odorou,,,,,,
15,,バーバパパ　世界をまわる,Barbapapa Around the World,['TV'],50,Finished Airing,"Jul 5, 1999 to Oct 8, 1999",['Summer 1999'],Fridays at 16:50 (JST),['Kodansha'],"None found,",['Pierrot'],Picture book,,,,5 min. per ep.,G - All Ages,5.87,#10568,#12947,"1,437",3,532,"""Barbapapa around the world"", is a fun-filled collection of 5-minute animated cartoons for preschool children. Barbapapa and his family return to TV for the first time in 25 years with 50 completely new and original episodes. Each episode travels to far-off lands where the Barbapapa family learns about plants, birds, reptiles or mammals in their natural Habitat. The Barbapapa family not only has fun playing with and imitating rare animals but it also helps the creatures when they fall into life-threatening situations. Join the Barbapapa Family as it travels to New Guinea, The Amazon, Patagonia and all over the world discovering the humor, danger and excitement of life. (Source: barbapapa.fr)",[],Barbapapa Sekai wo Mawaru,,"['Adventure', 'Comedy']",,Barbapapa autour du monde,,Um die Welt mit Barbapapa
16,Saiyuuki,西游记,Journey to the West: Legends of the Monkey King,['TV'],52,Finished Airing,"Jul 23, 1999 to Jan 15, 2000",['Summer 1999'],Unknown,['CCTV Animation'],"None found,","None found,",Novel,,,,24 min. per ep.,PG - Children,6.93,#4707,#13705,"1,168",8,433,"Sun Wukong, who was born from a magic stone, has been imprisoned underneath a mountain for five centuries for his mischief in the heavens. One day, the Diety Guanyin told Wukong that the Monk Tangsen will set him free, and Wukong will join him on a pilgrimage from China to India. The next day, Xuanzang came and set him free, and the two started their Journey to the west. Along the way, they meet two new friends, Zhu Bajie and the Hermit Sha Wujing who joins them on the journey; together, they face many dangers and evil creatures and sorcerers and learn to get along. (Source: Wikipedia)",[],Xi You Ji,,"['Adventure', 'Fantasy']",,,,
17,"Surfside High School, Surf Side Highschool",サーフサイドハイスクール,,['TV'],20,Finished Airing,"Jun 1, 1999 to Jul 2, 1999",['Summer 1999'],Not scheduled once per week,"None found,","None found,",['Magic Bus'],Unknown,,,,7 min. per ep.,R+ - Mild Nudity,5.92,#10330,#14970,826,1,124,"At a high school that sits in front of the ocean, three unpopular pubescent guys, Abe, Nagaho, and Mita, spend more of their time goofing off at the beach than studying. Of course, surfing always comes first, but their other adventures on the beach and search for girls are a source of non-stop laughter. (Source: AniDB)",[],Surf Side High-School,,"['Comedy', 'Ecchi']",,,['School'],
18,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",ポケットモンスター,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,,,['Kids'],24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,563",411352,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,Pokémon,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,Pokémon,,Pokémon
19,"CCS, Cardcaptors, Card Captor Sakura",カードキャプターさくら,Cardcaptor Sakura,['TV'],70,Finished Airing,"Apr 7, 1998 to Mar 21, 2000",['Spring 1998'],Tuesdays at 18:00 (JST),"['NHK', 'Kodansha', 'Sogo Vision']","['Nelvana', 'NIS America, Inc.', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],,"['Mahou Shoujo', 'School']",['Shoujo'],25 min. per ep.,PG - Children,8.17,#443,#531,"454,355","14,101",226693,"Ten-year-old Sakura Kinomoto is an ordinary fourth-grade student living in Tomoeda until, one day, she stumbles upon a mysterious book of cards titled ""The Clow."" Pondering over her discovery, she unintentionally causes a magical gust of wind to scatter the cards all over town. The accident awakens the Beast of the Seal—Keroberos, nicknamed ""Kero""—who tells Sakura that she has released the mystical ""Clow Cards"" created by the sorcerer Clow Reed. Due to each Card's ability to act independently and their incredible power, Clow had sealed them away. Now that they have been set free, the Cards pose great danger to the world, and it is up to Sakura to put an end to them. Appointing Sakura as the ""Cardcaptor"" and granting her the Sealed Key, Kero tasks her with finding and recapturing all the Clow Cards. Alongside her best friend Tomoyo Daidouji, and with Kero's guidance, Sakura must learn to balance her new secret duty with the everyday troubles as she takes flight on her magical adventures as Cardcaptor Sakura. [Written by MAL Rewrite]","['Sequel (Movie) Cardcaptor Sakura Movie 2: Fuuin Sareta Card', 'Sequel (OVA) Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma', 'Adaptation (Manga) Cardcaptor Sakura Read Manga', '']",Cardcaptor Sakura,,"['Adventure', 'Comedy', 'Drama', 'Romance']",,,,
20,Digimon Adventure 01,デジモンアドベンチャー,Digimon: Digital Monsters,['TV'],54,Finished Airing,"Mar 7, 1999 to Mar 26, 2000",['Spring 1999'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['Discotek Media', 'Saban Entertainment', 'Flatiron Film Company']",['Toei Animation'],Other,,,['Kids'],24 min. per ep.,PG - Children,7.78,#1096,#600,"412,972","5,551",262752,"When a group of seven children go to summer camp, the last thing that they expect is snow falling in July. In the confusion that follows this phenomenon, they each receive an odd device that transports them to another world. As soon as they wake up in this new world, they encounter strange creatures who call themselves ""Digimon."" The Digimon tell them that they've landed in the ""Digital World,"" far from home. With only the Digimon and the ""Digivices"" as protection, the seven children set off to find their way home and learn the reason why they were brought here. Led by the impulsive Taichi Yagami and his hungry Digimon partner Agumon, this group will have to fight unknown evils as they discover more about this outlandish Digital World. [Written by MAL Rewrite]","['Prequel (Movie) Digimon Adventure Movie', 'Sequel (Movie) Digimon Adventure: Bokura no War Game!', 'Adaptation (Manhua) Digimon Adventure', '']",Digimon Adventure,,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,Digimon: Digital Monsters,['Isekai'],
21,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],,,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,905","15,328",164371,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,"['Adventure', 'Comedy', 'Mystery']",,,['Detective'],Case Closed
22,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],,,['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,103","1,330",42205,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,"['Comedy', 'Ecchi']",,,['School'],Shin Chan
23,,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],,,,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),Doraemon,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['Kids', 'Shounen']",,['Anthropomorphic'],
24,Useless Witchgirl Doremi,おジャ魔女どれみ,Magical DoReMi,['TV'],51,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",['Winter 1999'],Sundays at 08:30 (JST),['Asahi Broadcasting'],['4Kids Entertainment'],['Toei Animation'],Original,['Comedy'],,,24 min. per ep.,G - All Ages,7.32,#2742,#3019,"59,652",760,25654,"Harukaze Doremi considers herself to be the unluckiest girl in the world. Her parents are always fighting, her little sister makes fun of her, and her crush pines after another girl. If only Doremi could just wave a magic wand, she would have a much better life—or so she used to think. After a mishap with a real witch, Doremi becomes an apprentice witch herself, and it turns out she's pretty horrible at that, too. Now she and her two friends must study to become better at magic so they can become good witches. That is, if they can focus on their magic studies! The three apprentices will need all the luck they can get if they want to pass the witch exams and become full-fledged witches. Only then will Doremi's debt to the witch Majorika be repaid. Until then, Doremi will remain a useless little witch girl!","['Sequel (TV) Ojamajo Doremi Sharp', 'Adaptation (Manga) Ojamajo Doremi']",Ojamajo Doremi,Magical DoReMi,,,Magical DoReMi,['Mahou Shoujo'],Magical DoReMi
25,"Phantom Thief Jeanne, Divine Wind Thief Jeanne",神風怪盗ジャンヌ,,['TV'],44,Finished Airing,"Feb 13, 1999 to Jan 29, 2000",['Winter 1999'],Saturdays at 18:28 (JST),"['TV Asahi', 'Toei Advertising']","None found,",['Toei Animation'],['Manga'],,"['Mahou Shoujo', 'Mythology', 'Reincarnation']",['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.47,#2070,#3040,"59,155",545,29427,"A normal looking high school girl on the outside, Kusakabe Maron is actually the reincarnation of Jeanne d' Arc. With the help of the angel, Fin Fish, Maron works as the thief Jeanne at night to seal the demons that reside in pieces of artwork, preying upon the weak hearts of the owners. She is branded as a thief due to the fact that the artworks disappear after she seals the demons. One day, a new neighbor and classmate appears, as well as a rival in her night job, the thief Sinbad. With her own best friend being the detective's daughter, out to capture her and the appearance of her new rival, Maron's work is anything but easy.","['Adaptation (Manga) Kamikaze Kaitou Jeanne', '']",Kamikaze Kaitou Jeanne,,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural']",,,,
