,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Demographic,Theme,Spanish,Genre,Demographics
10,,シンデレラボーイ,,['TV'],13,Finished Airing,"Jun 21, 2003 to Sep 13, 2003",['Summer 2003'],Saturdays at 10:30 (JST),"None found,",['Discotek Media'],['Magic Bus'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Mystery']",,25 min. per ep.,PG-13 - Teens 13 or older,6.32,#8141,#7291,"8,330",9,3023,Ranma and his partner Rera run a detective agency in Giraffe City. An arranged accident leaves Rera and Ranma in an unfortunate state where the two detectives swap bodies at the stroke of midnight. With Ranma dissapearing and the beautiful Rera appearing. (Source: ANN),"['Adaptation (One-shot) Cinderella Boy', '']",Cinderella Boy,,,['Seinen'],['Magical Sex Shift'],,,
11,"Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida, Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoider",住めば都のコスモス荘 すっとこ大戦ドッコイダー,Dokkoida?!,['TV'],12,Finished Airing,"Jul 13, 2003 to Sep 28, 2003",['Summer 2003'],Sundays at 02:25 (JST),"['Media Factory', 'KlockWorx', 'Memory-Tech', 'Toshiba Entertainment', 'Toshiba Digital Frontiers']","['Sentai Filmworks', 'Geneon Entertainment USA']",['ufotable'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.76,#5536,#7846,"6,920",15,2568,"The Galaxy Federation Police (GFP) desperately wants to cover-up its personnel shortage with new mechanized power-suits. Suzuo, 19-years old, desperately needs a job. Tampopo needs an earthling to fit the prototype of her company's suit and declares Suzuo the perfect candidate! Strong competitors and the wacky A-class criminals fight against our hero in diapers, but they must not recognize each other out of costume or the test results will be a failure- but it's OK if they all live in the same apartment building to save money, right? (Source: Sentai Filmworks)","['Adaptation (Manga) Sumeba Miyako no Cosmos-sou', '']",Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,,Dokkoider!?,['Shounen'],['Parody'],,,
12,,IGPX: Immortal Grand Prix,,['TV'],5,Finished Airing,"Sep 15, 2003 to Sep 19, 2003",['Summer 2003'],Unknown,"None found,","['Bandai Entertainment', 'Discotek Media']","['Bee Train', 'Production I.G']",Original,"['Sci-Fi', 'Sports']",,5 min. per ep.,PG-13 - Teens 13 or older,6.51,#6995,#9106,"4,735",5,1631,"In the year 2035, Team Suzaku and Team Sledge Mamma are preparing to meet in the final round of the 12th Immortal Grand-1 Prix (IG1 or IGPX). Takeshi leads Team Suzaku, which is made up of a group of young amateur pilots who must make the most of their limited funds and weaponry in order to prepare for the competition designed for professionals. This series served as the pilot to the full IGPX: Immortal Grand Prix, each episode is only 5 minutes long or less. A key difference between the two is that this series featured combat mecha competition rather than racing mecha.",[],IGPX: Immortal Grand Prix,,,,['Mecha'],,,
13,"Go forward, Let's Go Straight Ahead!, Let's Walk Straight",まっすぐにいこう。,,['TV'],4,Finished Airing,"Aug 18, 2003 to Aug 21, 2003",['Summer 2003'],Not scheduled once per week,['Yomiuri Telecasting'],"None found,",['Yumeta Company'],['Manga'],"['Comedy', 'Slice of Life']",,21 min. per ep.,PG - Children,6.38,#7816,#9167,"4,649",7,1422,"A talking dog is a beautiful story that you should have dreamt of as a child. But if you have forgotten about it, this is a reminder of that fable story. This is the story of a dog that talks, but ordinary people cannot hear his voice. The main character, Mametaro, is an adventurous crossbreed dog. He loves his owner, Iku-chan and his girlfriend Hanako-chan very much. However, he just cannot stand Iku-chan's friend, Akiyoshi. During this story, which will be told from Mametaro's point of view, the warm days of spring are finally here. The school and the riverbank, which is actually just an ordinary neighborhood for people, seems like a mysterious world that extends infinitely to little Mametaro and his friends. (Source: AniDB)","['Sequel (TV) Massugu ni Ikou. 2nd Season', 'Adaptation (Manga) Massugu ni Ikou.']",Massugu ni Ikou.,,,['Josei'],['Pets'],,,
14,"Guardian Fairy Michel, Michel: The Little Guardian, Shouhu Jingling",수호요정 미셸,Michel,['TV'],26,Finished Airing,"Jun 6, 2003 to Dec 11, 2003",['Summer 2003'],Unknown,['Iconix Entertainment'],"None found,",['DR Movie'],Unknown,"['Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,6.19,#8890,#14502,941,0,239,"A girl named Kim chases a group of thieves called the Black Hammer Gang. Until one day the Black Hammer gang and Kim fall on an island inhabited by fairies and it's guardian Michel. The Black Hammer Gang tries to steal the life source of the island called the tree of life. Causing damage to the land and kidnapping the fairies, Michel and Kim have to combat the Black Hammer gang and take back the fairies. (Source: ANN)",[],Suhoyojeong Michel,,,['Kids'],,,,
15,Mini Moni ja TV,ミニモニ. じゃてーびぃ,,['TV'],15,Finished Airing,"Sep 8, 2003 to Sep 26, 2003",['Summer 2003'],Unknown,"None found,","None found,","None found,",Other,,,1 min. per ep.,G - All Ages,5.25,#12815,#15006,817,2,323,"The J-pop group Mini Moni has opened a cheerful little cake shop. Leader Mika-chan struggles to keep Aibon and Nono from causing trouble, all the while teaching new member Ai-chan the ropes. Regular customers include lively flower shop owner Yaguchi-san, and her flight attendant friend Gocchin, who is constantly trying to impress everyone with her non-existent knowledge of the places she claims her job has taken her. (Source: ANN)",[],Mini Moni the TV,,,,,,['Comedy'],
16,Nezha Chuan Qi,哪吒传奇,The Legend of Nezha,['TV'],52,Finished Airing,"Jun 1, 2003 to Jul 2004",['Summer 2003'],Sundays at Unknown,"None found,","None found,",['CCTV Animation'],Original,,,22 min. per ep.,PG - Children,6.83,#5204,#15385,725,2,222,"The Legend of Nezha narrative The story of Natra, the heavenly boy who was born bare, very mischievous, but the temperament, the mentality of goodness, always towards the righteous. With powerful martial arts and magic, he tried to save the evil to bring peaceful life for people in the time of raging love.",[],Nezha Chuanqi,,,,,,['Adventure'],
17,My Little Fox,꼬마여우 요랑,,['TV'],26,Finished Airing,"Jul 23, 2003 to Feb 11, 2004",['Summer 2003'],Unknown,['KBS'],"None found,","None found,",Unknown,"['Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,[],#18563,#16373,576,4,,"Yorang, a fox who lives in heaven and has important responsibilities, would rather play tricks on others and seek fun all day. One day, heaven holds a festival for the completion of the ""Book of Wishes,"" a prestigious work that can help remove the black fox's seal. During this festival, Yo-rang, who is very mischievous, throws away the valuable book. Heaven is threatened by the black fox's bad magic. Yo-rang, responsible for the debacle, searches for the book and meets a boy named ""Kang-hyun,"" who loses his mother at an early age and moves to the Fox Village from Seoul, with his father. Kang-hyun and Yo-rang look for the book together. But the black fox tries to ruin their plan, and Kang-hyun and Yo-rang encounter all kinds of hardship. In the end, they develop a strong friendship. (Source: Arirang TV)",[],Hey Yo Yorang,,,['Kids'],,,,
18,NARUTO,ナルト,Naruto,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,967,172","82,512",2044904,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despise him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,,,['Shounen'],['Martial Arts'],,,
19,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,592","234,839",1420240,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,['Shounen'],,,,
20,Inu Yasha,犬夜叉,InuYasha,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,227","19,337",402579,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,,,['Shounen'],,Inuyasha,,
21,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1978,#603,"412,205","5,011",259909,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,,Yu-Gi-Oh!,['Shounen'],['Strategy Game'],,,
22,"Ghost in the Shell SAC, Ghost in the Shell: Stand Alone Complex",攻殻機動隊 STAND ALONE COMPLEX,Ghost in the Shell: Stand Alone Complex,['TV'],26,Finished Airing,"Oct 1, 2002 to Oct 1, 2003",['Fall 2002'],Fridays at 15:30 (JST),"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Animax', 'Kodansha', 'Trilogy Future Studio', 'Tokuma Shoten', 'Nippon Television Network']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],['Manga'],"['Action', 'Award Winning', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",25 min. per ep.,R - 17+ (violence & profanity),8.42,#188,#607,"409,453","8,764",168075,"In the not so distant future, mankind has advanced to a state where complete body transplants from flesh to machine is possible. This allows for great increases in both physical and cybernetic prowess and blurring the lines between the two worlds. However, criminals can also make full use of such technology, leading to new and sometimes, very dangerous crimes. In response to such innovative new methods, the Japanese Government has established Section 9, an independently operating police unit which deals with such highly sensitive crimes. Led by Daisuke Aramaki and Motoko Kusanagi, Section 9 deals with such crimes over the entire social spectrum, usually with success. However, when faced with a new A level hacker nicknamed ""The Laughing Man,"" the team is thrown into a dangerous cat and mouse game, following the hacker's trail as it leaves its mark on Japan. [Written by MAL Rewrite]","['Sequel (TV) Koukaku Kidoutai: Stand Alone Complex 2nd GIG', 'Adaptation (Light Novel) Koukaku Kidoutai: Stand Alone Complex', 'Adaptation (Manga) Koukaku Kidoutai: Stand Alone Complex Read Manga', 'Adaptation (Manga) Koukaku Kidoutai: Stand Alone Complex - The Laughing Man']",Koukaku Kidoutai: Stand Alone Complex,Ghost in the Shell: Stand Alone Complex,Ghost in The Shell: Stand Alone Complex,['Seinen'],,Ghost In The Shell : Stand Alone Complex,,
23,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,892","15,328",164366,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Case Closed,,['Shounen'],['Detective'],,,
