,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,German,Spanish,Demographics,French
34,ワンルーム、日当たり普通、天使つき。,"Studio Apartment, Good Lighting, Angel Included",['TV'],12,Finished Airing,"Apr 6, 2024 to Jun 22, 2024",['Spring 2024'],Saturdays at 22:30 (JST),"['Square Enix', 'Nippon Columbia', 'Nikkatsu', 'Kansai Telecasting', 'arma bianca', 'Bushiroad Move']","None found,",['Okuruto Noboru'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.03,#4245,#2639,"75,561",359,30412,"Shintarou Tokumitsu leads an ordinary high school life while living in a studio apartment just for himself. This changes drastically one morning after he finds something strange on his balcony—an angel from Heaven. The innocent and kind girl named Towa was sent to Earth by God to learn more about humans and their way of interacting. It does not take long for her to get attached to Shintarou, who eventually allows her to live with him. However, the small apartment provides little personal space and privacy, and hiding Towa's real identity from the public proves difficult. As he learns to navigate his new life with Towa, Shintarou's encounters with other girls may only complicate the circumstances. [Written by MAL Rewrite]","['Adaptation (Manga) One Room, Hiatari Futsuu, Tenshi-tsuki.', '']","One Room, Hiatari Futsuu, Tenshi-tsuki.",,"['Harem', 'Mythology', 'School']",,,,,
35,ザ・ファブル,The Fable,['TV'],25,Finished Airing,"Apr 7, 2024 to Sep 29, 2024",['Spring 2024'],Sundays at 00:55 (JST),"['VAP', 'Kodansha', 'Nippon Television Network', 'Audio Planning U']","None found,",['Tezuka Productions'],['Manga'],"['Comedy', 'Suspense']",,['Seinen'],22 min. per ep.,R - 17+ (violence & profanity),8.10,#528,#2612,"76,733",557,26664,"Fable, an assassin who works in organized crime, has been raised to the legendary status of a ruthless killer capable of murdering any man within six seconds. Six years after his debut, his boss fears that Fable has started to attract too much attention from the legal authorities, and he orders him to hide in Osaka for a year. Accompanied by his driver who assumes the identity of his sister, Fable is bound by a special condition: he must act as a civilian and not murder anyone lest he and his partner lose their lives. However, the seemingly well-deserved holiday soon takes a grim turn. Takeshi Ebihara, the second-in-command of the Osaka mafia that officially protects the assassin, sees Fable's presence as a threat and wants to remove him. Constantly monitored by the yakuza and regularly put in life-or-death situations, Fable has no other choice but to outwit Takeshi's schemes if he wants to stay alive. [Written by MAL Rewrite]","['Adaptation (Manga) The Fable', '']",The Fable,,"['Adult Cast', 'Organized Crime']",,,,,
36,ブルーアーカイブ The Animation,,['TV'],12,Finished Airing,"Apr 7, 2024 to Jun 23, 2024",['Spring 2024'],Sundays at 23:45 (JST),"['Shochiku', 'Nexon', 'Studio Mausu', 'Bushiroad', 'JR East Marketing & Communications', 'RAY', 'INCS toenter', 'Yostar']","None found,","['Yostar Pictures', 'Studio CANDY BOX']",Game,"['Action', 'Fantasy']",['School'],,23 min. per ep.,PG-13 - Teens 13 or older,7.04,#4193,#2854,"66,200","1,088",23374,"Kivotos is a federal megalopolis comprising thousands of schools and is led by the General Student Council (GSC), which acts as its governing body. Ironically, despite being an academy city, Kivotos is rife with gun violence, and all students wield firearms as part of their everyday lives. As if the crisis in Kivotos was not enough, the GSC president is nowhere to be found. Fortunately, before her sudden disappearance, the GSC president enlisted the help of Sensei—a teacher who is most likely the only one in Kivotos—to support students in their time of need. Sensei's first course of action is to assist Abydos High School, a once prestigious academy now with merely five students in attendance. These remaining students are doing everything they can to pay their academy's crippling debt of almost one billion yen. [Written by MAL Rewrite]",[],Blue Archive the Animation,,,,,,,
37,変人のサラダボウル,A Salad Bowl of Eccentrics,['TV'],12,Finished Airing,"Apr 5, 2024 to Jun 21, 2024",['Spring 2024'],Fridays at 01:28 (JST),"['Pierrot', 'TBS', 'CBC Television', 'KlockWorx', 'Hakuhodo DY Music & Pictures', 'Universal Music Japan', 'BS11', 'Jinnan Studio', 'Nichion']","None found,","['SynergySP', 'Studio Comet']",['Light novel'],"['Comedy', 'Fantasy']",['Urban Fantasy'],,24 min. per ep.,PG-13 - Teens 13 or older,7.28,#2935,#2913,"63,680",161,27023,"Private detective Sousuke Kaburaya is simply trying to make ends meet when Sara da Odin, an imperial princess from another world, falls through a portal right on top of him. Unaware that she is an anomaly in a magicless world, Sara uses powerful spells in public, causing a commotion and forcing Sousuke to take her back home with him. With the help of the internet, manga, and modern Japanese conveniences, Sara grows accustomed to living in Japan and becomes Sousuke's assistant in the process. Meanwhile, Livia de Udis, Sara's personal knight, also comes through the portal but lands at a different location. There, she meets a homeless man who readily accepts her unique background and odd tendencies. Despite her situation, Livia quickly adapts and settles into the homeless lifestyle, a far cry from the noble position she used to hold. While Sara and Livia may be living different lives, their positive and ambitious attitudes leave a lasting impact on the people around them as they experience both the good and bad of Japan. [Written by MAL Rewrite]","['Adaptation (Manga) Henjin no Salad Bowl @comic', 'Adaptation (Light Novel) Henjin no Salad Bowl']",Henjin no Salad Bowl,"Salad Bowl of Eccentrics, Hensara",,,,,,
38,死神坊ちゃんと黒メイド 第3期,The Duke of Death and His Maid Season 3,['TV'],12,Finished Airing,"Apr 7, 2024 to Jun 23, 2024",['Spring 2024'],Sundays at 22:00 (JST),"['Shogakukan-Shueisha Productions', 'Shogakukan Music & Digital Entertainment', 'NBCUniversal Entertainment Japan', 'BS11', 'Shogakukan', 'Yomiuri TV Enterprise', 'Bandai Spirits']","None found,",['J.C.Staff'],['Web manga'],"['Comedy', 'Fantasy', 'Romance']",,,23 min. per ep.,PG-13 - Teens 13 or older,8.14,#472,#3045,"58,749",247,21918,"Although everything the young duke touches perishes, his existence is far from lonely. His spirited siblings Viola and Walter, loyal butler Rob, and the eccentric witches Cuff and Zain are regularly livening up his secluded mansion. But it is the duke's flirty maid, Alice Lendrott, who fills him with the promise of a beautiful tomorrow and the determination to break this hellish spell cast upon him. The identity of the witch who cursed the duke has been uncovered thanks to Zain's unique magic and the help of Daleth, the leader of the underworld. However, the villain is a notoriously fearsome and powerful witch, who, enraged by the duke and his companions' trip back in time, torments them even from the afterlife. Moreover, an unexpected loved one reappears, strengthening the duke and Alice's hope to break the curse and finally close the distance between them. [Written by MAL Rewrite]","['Prequel (TV) Shinigami Bocchan to Kuro Maid 2nd Season', 'Adaptation (Manga) Shinigami Bocchan to Kuro Maid']",Shinigami Bocchan to Kuro Maid 3rd Season,,"['Love Status Quo', 'Urban Fantasy']",,,,,
39,声優ラジオのウラオモテ,The Many Sides of Voice Actor Radio,['TV'],12,Finished Airing,"Apr 10, 2024 to Jun 26, 2024",['Spring 2024'],Wednesdays at 21:00 (JST),"['Movic', 'AT-X', 'Nippon Columbia', 'KlockWorx', 'Studio Mausu', 'BS NTV', 'Kadokawa', 'Happinet Phantom Studios', 'Studio Tenjin', 'REAL-T']","None found,",['Connect'],['Light novel'],"['Comedy', 'Drama']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.96,#4572,#3192,"53,518",170,18541,"Experienced voice actor Yasumi Utatane works hard to maintain her image as a pure and innocent idol to please her fans, even as she struggles to find more jobs in the industry. But Yasumi has a secret—she is actually Yumiko Satou, a high school girl who prefers loose clothes and flashy jewelry, a complete contradiction to her false professional persona. As Yasumi, Yumiko is finally offered an exciting opportunity to do a radio program alongside another up-and-coming voice actor she admires: Yuuhi Yuugure. In Yumiko’s eyes, Yuuhi’s cute looks and talented acting embody what a voice actor should be. As soon as they are introduced at the recording studio, however, Yumiko realizes that Yuuhi is actually her gloomy classmate, Chika Watanabe. Together, the pair commit to their radio program and slowly begin to open up. In supporting each other, Yumikoi and Chika gradually learn to be true to themselves. [Written by MAL Rewrite]","['Adaptation (Manga) Seiyuu Radio no Uraomote', 'Adaptation (Light Novel) Seiyuu Radio no Uraomote']",Seiyuu Radio no Uraomote,The Two Sides of Voice Actor Radio,"['School', 'Showbiz']",,,,,
40,烏は主を選ばない,Yatagarasu: The Raven Does Not Choose Its Master,['TV'],20,Finished Airing,"Apr 6, 2024 to Sep 21, 2024",['Spring 2024'],Saturdays at 23:45 (JST),"['NHK', 'NHK Enterprises']","None found,",['Pierrot'],Novel,"['Drama', 'Fantasy']",,,25 min. per ep.,PG-13 - Teens 13 or older,8.06,#583,#3365,"48,344",437,14816,"In the Kingdom of Yamauchi, people have the ability to transform into three-legged crows known as yatagarasu. While the men plot over daily governance, women compete for the hand of Wakamiya, the crown prince who was selected as the Kinu, the servant to the Mountain God. Four young women arrive at the court to join the competition, including one named Asebi. While the kind and innocent Asebi sticks out like a sore thumb compared to the other women, the crown prince has to fight for his place in the clan. Despite being born both to a concubine and as a second son, the royal priests still chose Wakamiya to be the Kinu over his older brother. This decision created a rift between the siblings while enraging Wakamiya's stepmother in the process. When Yukiya, one of the teenage sons of the village chief, is sent to the palace to become Wakamiya's new attendant, the prince is not pleased in the slightest. However, Yukiya's presence at the imperial courts is no mere coincidence. [Written by MAL Rewrite]","['Adaptation (Manga) Karasu ni Hitoe wa Niawanai', 'Adaptation (Manga) Karasu wa Aruji wo Erabanai', 'Adaptation (Novel) Yatagarasu Series', '']",Karasu wa Aruji wo Erabanai,The Crow Does Not Choose the Lord,"['Historical', 'Mythology']",,,,,
41,ヴァンパイア男子寮,Vampire Dormitory,['TV'],12,Finished Airing,"Apr 7, 2024 to Jun 23, 2024",['Spring 2024'],Sundays at 23:30 (JST),"['Dentsu', 'Kodansha', 'Avex Pictures', 'Crunchyroll']","None found,",['Studio Blanc.'],['Manga'],"['Romance', 'Supernatural']",,['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,6.20,#8830,#3430,"46,903",237,15859,"Homeless and fresh out of employment, Mito Yamamoto faces familiar loneliness and despair. Luck is simply not on Mito's side; when he stumbles upon a cafe and cuts his hand, a strange server named Ruka Saotome licks the blood from his wound and even dramatically retches at its apparent disgusting taste. Offended and dispirited, Mito runs off to a bridge, hoping to put an end to his misery. But when Mito accidentally slips, he is miraculously saved by Ruka, who reveals he is a vampire. Unable to drink blood from just any woman for mysterious reasons, Ruka proposes that Mito become his thrall—a vampire's human servant and primary source of food. In this deal, Ruka will shower Mito with love to sweeten his blood, and Mito will gain a warm place to call home. However, there is an issue: Mito is a girl! Concealing her long, flowing hair and feminine body, Mito readily takes this chance and enrolls in the Hijirigaoka Boys' High School while working part-time at the cafe with Ruka. But the more Mito's bond with Ruka deepens, the more she struggles to hide her secret. [Written by MAL Rewrite]","['Adaptation (Manga) Vampire Dormitory', '']",Vampire Dormitory,"Vampire Danshiryou, A Vampire Lives in the Dormitory","['Crossdressing', 'Love Polygon', 'Vampire']",,,,,
42,忘却バッテリー,Oblivion Battery,['TV'],12,Finished Airing,"Apr 10, 2024 to Jul 3, 2024",['Spring 2024'],Wednesdays at 00:00 (JST),"['Kadokawa', 'dugout']","None found,",['MAPPA'],['Manga'],"['Comedy', 'Sports']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1930,#3658,"41,963",244,16009,"Haruka Kiyomine and Kei Kaname were once recognized as the most formidable pitcher-catcher duo in middle school baseball. Known as the ""General,"" Kaname paired his expert strategies with Kiyomine's explosive pitches, crushing the dreams of many starry-eyed players who hoped to one day make it to the big leagues. High school freshman Tarou Yamada is one such former player. Having given up on competing, he enrolls in Kotesashi High School—a completely average public school with no baseball team to speak of—where he discovers that his new classmates are the legendary pair who once destroyed his dreams. Adding to this shocking revelation, he learns that amnesia has reduced the once level-headed General to a vulgar class clown. Having lost all interest in baseball, Kaname dragged a disappointed Kiyomine to Kotesashi simply because the school was close to where they live. As Kotesashi forms a fledgling baseball club, Yamada meets other players he once admired who also left baseball behind. While they might be unwilling now, Yamada believes that if he can convince such talented athletes to start playing again, it might be possible to achieve their dreams and win the national championship—as long as they can put up with Kaname's incessant joking. [Written by MAL Rewrite]","['Sequel (TV) Boukyaku Battery (TV) 2nd Season', 'Adaptation (Manga) Boukyaku Battery']",Boukyaku Battery (TV),,"['School', 'Team Sports']",,,,,
43,ただいま、おかえり,"Tadaima, Okaeri",['TV'],12,Finished Airing,"Apr 9, 2024 to Jun 25, 2024",['Spring 2024'],Tuesdays at 00:30 (JST),"['Sony Pictures Entertainment', 'Animax', 'Movic', 'Nippon Columbia', 'Nikkatsu', 'Crunchyroll', 'Culture Entertainment', 'Bit grooove promotion', 'Fusion Product']","None found,",['Studio Deen'],['Manga'],"['Boys Love', 'Slice of Life']",['Childcare'],,23 min. per ep.,PG-13 - Teens 13 or older,7.75,#1161,#3784,"39,469",350,13589,"Hoping for a fresh start, househusband Masaki Fujiyoshi, his spouse Hiromu, and their toddler son, Hikari, move to a new neighborhood. The couple's union was frowned upon by many due to Masaki's status as an omega—a secondary gender that allows an individual to give birth. Even for an alpha—seen as the superior secondary gender—such as Hiromu, discrimination seems to be commonplace and a hindrance to a life of domestic bliss. Fortunately, the new family is not alone. Little Hikari becomes attached to Yuuki Hirai, the Fujiyoshis' lonely college student neighbor. Despite his initial reluctance, Yuuki ends up befriending the infant. Moreover, the family can also confide in Hiromu's childhood friend and coworker Tomohiro ""Matsu"" Matsuo. Although everything is going well for the young couple and their child, a sudden presence from the past might pose a problem for the peaceful life they dream of. [Written by MAL Rewrite]","['Adaptation (Manga) Tadaima, Okaeri', '']","Tadaima, Okaeri",,,,,,,
44,アストロノオト,Astro Note,['TV'],12,Finished Airing,"Apr 5, 2024 to Jun 21, 2024",['Spring 2024'],Fridays at 22:30 (JST),"['Lantis', 'Shochiku', 'Movic', 'Tokyo MX', 'Crunchyroll', 'BS Asahi', 'Bandai Namco Music Live', 'Tokyu Agency']","None found,",['Telecom Animation Film'],Original,"['Comedy', 'Romance', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.56,#6709,#4213,"31,201",59,10825,"Takumi, a gifted chef, was just let go from his job. He lands a gig at an old boarding house called Astro-sou but hesitates to accept after learning he must also live there full-time. That is until he meets the beautiful and charming caretaker, Mira, and he is sold. The two begin to work together, and their connection deepens. But Mira has a secret: she is not from this world! (Source: Crunchyroll, edited)",[],Astro Note,,,,,,,
45,となりの妖怪さん,Tonari no Yokai-san,['TV'],13,Finished Airing,"Apr 7, 2024 to Jun 30, 2024",['Spring 2024'],Sundays at 02:00 (JST),"['ABC Animation', 'East Press']","None found,",['LIDENFILMS'],['Web manga'],"['Drama', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.29,#2895,#4842,"23,038",72,7301,"In the town of Engamori, supernatural beings known as yokai, gods, and humans have been living amongst each other for centuries, each striving to lead ordinary, peaceful lives. One day Buchio, a 20-year-old cat, mysteriously evolves into a nekomata, a feline yokai, near the end of his life. Although this allows him to stay with his human family longer, it also makes him question the reason behind his evolution, along with the special abilities that have recently manifested in himl. Meanwhile, an elementary school girl named Mutsumi ""Muu-chan"" Sugimoto begins to feel more attached to Jirou, a tengu—a crow-like yokai—and Jirou begins to fill the void left by her late father. While both are unable to properly communicate their intentions at first, they gradually form a companionship where they protect each other. [Written by MAL Rewrite]","['Adaptation (Manga) Tonari no Youkai-san', '']",Tonari no Youkai-san,,"['Mythology', 'Urban Fantasy']",,,,,
46,HIGHSPEED Étoile（ハイスピードエトワール）,Highspeed Etoile,['TV'],12,Finished Airing,"Apr 6, 2024 to Jun 22, 2024",['Spring 2024'],Saturdays at 01:53 (JST),"['Mainichi Broadcasting System', 'Good Smile Company', 'King Records', 'Yostar', 'First Call Music']","None found,",['Studio A-CAT'],Original,,['Racing'],,24 min. per ep.,PG-13 - Teens 13 or older,6.15,#9110,#5421,"17,388",98,4457,"With the introduction of Hybrid Performance Exceed Reactor (HyPER)—a technology that injects new life into racing—race cars can now reach incredible speeds of up to five hundred kilometers per hour. Five years after the inception of the NEX Race, a competition where the cars are enhanced by HyPER and even AI, one man stands as the undisputed champion. Having won every title since the inaugural NEX Race season, Lorenzo M. Salvatore is the king of the racing world. Unexpectedly entering the tournament is a former ballet dancer, Rin Rindou, who has been given a chance to become a real racer after setting a world record in a racing video game. Forced to give up dancing, Rin shifts her focus to chasing a new goal, despite her lack of experience. Making the most of her peculiar skill set and the NEX Race innovations, the young newcomer may just be the one to dethrone the absolute king. [Written by MAL Rewrite]",[],Highspeed Etoile,,,,,,,
47,刀剣乱舞 廻 -虚伝 燃ゆる本能寺-,Touken Ranbu Kai Kyoden,['TV'],8,Finished Airing,"Apr 2, 2024 to May 21, 2024",['Spring 2024'],Tuesdays at 23:00 (JST),"['Marvelous Entertainment', 'Rakuonsha', 'Nitroplus', 'TOHO animation', 'EXNOA']","None found,",['domerica'],Other,"['Action', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.11,#9316,#5987,"13,401",45,2070,Anime adaptation of the stage play Touken Ranbu: Kyoden Moyuru Honnouji.,"['Prequel (Movie) Touken Ranbu Kai: Douden Chikashi Haberau Monora', '']",Touken Ranbu Kai: Kyoden Moyuru Honnouji,,"['Anthropomorphic', 'Historical', 'Samurai']",,,,,
48,オーイ！とんぼ,Tonbo!,['TV'],13,Finished Airing,"Apr 6, 2024 to Jun 29, 2024",['Spring 2024'],Saturdays at 10:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO', 'Shogakukan Music & Digital Entertainment', 'Shogakukan', 'BS TV Tokyo', 'Techno Sound', 'Happinet Phantom Studios', 'Golf Digest Sha', 'TV Tokyo Direct']","None found,",['OLM'],['Manga'],"['Drama', 'Sports']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.10,#3927,#6052,"13,002",40,4681,"Trying to move on in his life, former professional golfer Kazuyoshi Igarashi arrives at Hinoshima Island for a job at its development center. Expecting the island to be a very rural area with nothing much to offer, Kazuyoshi cannot hide his amazement when he discovers a complete golf course made by the island's inhabitants. Using the seaside terrain to their advantage, the people there have adopted golfing as their hobby. To add to his surprise, Kazuyoshi meets a young girl named Tonbo Ooi, who has been playing golf using only a 3-iron—a notoriously difficult-to-use club. As the former pro gets more involved with Tonbo and witnesses her seemingly impossible shots, he begins to see golf in a whole new light, rediscovering how fun the sport can actually be. [Written by MAL Rewrite]","['Sequel (TV) Ooi! Tonbo 2nd Season', 'Adaptation (Manga) Ooi! Tonbo']",Ooi! Tonbo,"Hey! Tonbo, Oi! Tonbo",,,,,,
49,アイドルマスター シャイニーカラーズ,The iDOLM@STER Shiny Colors,['TV'],12,Finished Airing,"Apr 6, 2024 to Jun 22, 2024",['Spring 2024'],Saturdays at 01:23 (JST),['Bandai Namco Entertainment'],"None found,",['Polygon Pictures'],Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.09,#9476,#6767,"9,958",54,2332,"An ambitious producer who works for 283 Production aims to guide his idol units to fame and victory at the Wonder Idol Nova Grand Prix (WING)—a prestigious competition for rookie idols. Although he is already in charge of multiple units, a fateful encounter with the skilled songstress Mano Sakuragi leads him to create a new promising group: illumination STARS. Now an aspiring idol, Mano pursues her dream with the support of her fellow members Hiori Kazano and Meguru Hachimiya. At the same time, the producer seeks to increase the visibility of his other units, aligning with his true goal of helping them grow as professionals and understand what makes them shine the most. Indeed, only those who know themselves have a chance to become the new rising stars of the industry. [Written by MAL Rewrite]","['Sequel (TV) The iDOLM@STER Shiny Colors 2nd Season', 'Adaptation (Manga) The iDOLM@STER Shiny Colors']",The iDOLM@STER Shiny Colors,,"['Idols (Female)', 'Music']",['Slice of Life'],,,,
50,リンカイ!,,['TV'],12,Finished Airing,"Apr 9, 2024 to Jun 25, 2024",['Spring 2024'],Tuesdays at 23:30 (JST),"['Lantis', 'Shochiku', 'BS Fuji', 'Tokyo MX', 'U-NEXT', 'Bandai Namco Music Live', 'Mixi', 'Maruga Factory']","None found,",['TMS Entertainment'],Mixed media,,,,23 min. per ep.,PG-13 - Teens 13 or older,5.66,#11586,#6931,"9,399",36,2104,"Women's competitive cycling had been defunct for decades until the newly formed Rinkai League revived the sport, making headlines with its first few races. It has inspired many women across Japan, who flock to the league in hopes of realizing their dreams of becoming professional athletes. Cycling enthusiast Izumi Itou is reluctant to stake her future on a racing competition, despite her friends' encouragement. That changes when she discovers that her grandmother is a former champion in women's cycling. She offers to train Izumi, hoping to help her recognize her own talent. Although Izumi lacks experience, the appearance of a fierce Swiss contestant who aims to dominate the competition motivates her to give it all on the track and, ultimately, win. [Written by MAL Rewrite]",[],Rinkai!,,"['Adult Cast', 'Racing']",['Sports'],,,,
51,シンカリオン チェンジ ザ ワールド,,['TV'],39,Finished Airing,"Apr 7, 2024 to Feb 2, 2025",['Spring 2024'],Sundays at 08:30 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Shogakukan Music & Digital Entertainment', 'TV Tokyo Music']","None found,","['Production I.G', 'Signal.MD']",Other,"['Action', 'Sci-Fi']",,['Kids'],23 min. per ep.,PG-13 - Teens 13 or older,6.01,#9871,#7709,"7,162",35,770,"Once upon a time, an unidentified enemy, the Unknown, suddenly appeared. The ""Super Evolutionary Railway Development Agency,"" had developed the ""Shinkalion,"" a robot that transforms into a bullet train, as a countermeasure against this threat. (Source: Official Website, translated)",[],Shinkalion: Change the World,,"['Mecha', 'School']",,,,,
52,にじよん あにめーしょん2,Nijiyon Animation 2,['TV'],12,Finished Airing,"Apr 5, 2024 to Jun 21, 2024",['Spring 2024'],Fridays at 21:54 (JST),"['Bushiroad', 'Kadokawa', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']","None found,",['Sunrise'],['4-koma manga'],,,,3 min. per ep.,PG-13 - Teens 13 or older,6.84,#5147,#8069,"6,418",9,2703,Second season of Nijiyon Animation.,"['Prequel (TV) Nijiyon Animation', 'Adaptation (Manga) Nijiyon: Love Live! Nijigasaki Gakuen School Idol Doukoukai Yonkoma']",Nijiyon Animation 2,,"['CGDCT', 'Idols (Female)']",['Comedy'],,,,
53,ひみつのアイプリ,,['TV'],Unknown,Currently Airing,"Apr 7, 2024 to ?",['Spring 2024'],Sundays at 10:00 (JST),"None found,","None found,","['OLM', 'Dongwoo A&E']",Game,,,,23 min.,PG - Children,6.20,#8849,#10328,"3,166",19,389,"Ever since she was a child, Himari Aozora has adored the world of the idol princesses known as AiPri. Long ago, Himari made a promise with her best friend, Mitsuki Hoshikawa, that they would debut as AiPris together. However, Himari has grown to be incredibly shy, and she has all but given up on her dream. Both girls enroll as first years at Paradise Private Academy. On the first day of school, Himari gets lost on her way back to the dormitory and stumbles upon a room radiating a pink light. She falls into the room, and a bracelet clasps onto her wrist, transporting her to the AiPriVerse—the world where AiPris perform. Himari accidentally enters the newcomer auditions for the AiPriVerse, and her performance impresses Paradise Academy's Student Council. They offer to become her producers, with the condition that she will conceal her status as an AiPri. Little does Himari know that Mitsuki herself is also an AiPri and has been hiding it from her! Their childhood dream of performing together gradually comes to fruition—even as the academy's principal threatens to ban AiPri from school grounds entirely. [Written by MAL Rewrite]","['Sequel (TV) Himitsu no AiPri: Ring-hen', '']",Himitsu no AiPri,,"['Idols (Female)', 'Music']",,,,,
54,シャドウバースFLAME アーク編,,['TV'],23,Finished Airing,"Apr 13, 2024 to Sep 28, 2024",['Spring 2024'],Saturdays at 09:30 (JST),['TV Tokyo'],"None found,",['Zexcs'],Card game,,['Strategy Game'],,23 min. per ep.,PG-13 - Teens 13 or older,6.65,#6162,#11237,"2,436",10,504,Third part of Shadowverse Flame.,"['Prequel (TV) Shadowverse Flame: Seven Shadows-hen', '']",Shadowverse Flame: Arc-hen,,,['Fantasy'],,,,
55,ちびゴジラの逆襲,Chibi Godzilla Raids Again Season 2,['TV'],Unknown,Currently Airing,"Apr 3, 2024 to ?",['Spring 2024'],Wednesdays at 07:05 (JST),['TOHO'],"None found,",['Pie in the sky'],Original,,,['Kids'],2 min.,G - All Ages,[],#19891,#15594,687,2,,Sequel to Chibi Godzilla no Gyakushuu.,"['Prequel (TV) Chibi Godzilla no Gyakushuu', '']",Chibi Godzilla no Gyakushuu 2nd Season,,,['Fantasy'],,,,
56,SHIBUYA♡HACHI,,['TV'],13,Finished Airing,"Apr 6, 2024 to Jun 29, 2024",['Spring 2024'],Saturdays at 07:00 (JST),"['TV Tokyo', 'King Records']","None found,",['Nippon Animation'],Other,,,,2 min. per ep.,G - All Ages,[],#14184,#15723,664,0,,"In the anime, Hachi has been watching over the city as the symbol of Shibuya station's loyal dog Hachiko statue. Hachi begins to move in present day Shibuya, spending a relaxed and fun daily life with his cheerful friends. (Source: ANN)","['Sequel (TV) Shibuya♡Hachi Part 2', '']",Shibuya♡Hachi,,,['Comedy'],,,,
57,ニャンビー,,['TV'],6,Finished Airing,"May 25, 2024 to Jun 29, 2024",['Spring 2024'],Saturdays at 07:00 (JST),"None found,","None found,","['Shin-Ei Animation', 'Lesprit']",Game,,,,3 min. per ep.,G - All Ages,5.69,#11457,#17103,490,0,164,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Nyaaaanvy,,,['Comedy'],,,,
58,ユーチューニャー 第2期,,['TV'],12,Finished Airing,"Apr 2, 2024 to Jun 18, 2024",['Spring 2024'],Tuesdays at 07:00 (JST),"None found,","None found,",['Lesprit'],Original,,,,1 min. per ep.,G - All Ages,[],#16109,#18375,391,2,,The second season of YouTuNya.,"['Prequel (TV) YouTuNya', '']",YouTuNya 2nd Season,,,['Comedy'],,,,
59,あげおとティム,,['TV'],12,Finished Airing,"Apr 2, 2024 to Jun 18, 2024",['Spring 2024'],Tuesdays at 07:05 (JST),['Shogakukan Music & Digital Entertainment'],"None found,",['Shogakukan-Shueisha Productions'],['Web manga'],,['Anthropomorphic'],,1 min. per ep.,G - All Ages,[],#19115,#19565,307,0,,"A planet inhabited by creatures that never see the light of day. There's nothing to be proud of, but that's okay.",[],Ageo to Tim,,,['Comedy'],,,,
60,クマーバ,,['TV'],12,Finished Airing,"Apr 6, 2024 to Jun 22, 2024",['Spring 2024'],Saturdays at 07:00 (JST),['Kumarba'],"None found,",['Creative House Pocket'],Other,,,['Kids'],1 min. per ep.,PG - Children,[],#17173,#21073,223,0,,"Kumarva is having fun watching videos today with his partner Tavris. One day, they suddenly receive an SOS from a friend on the Internet world. ""Many viruses have arrived! Help Kumarva!"" In order to save their friend from a crisis, Kumarva jump into the world of the internet! (Source: Official Site, translated)","['Sequel (TV) Kumarba Season 2', '']",Kumarba,,,,,,,
61,おしりたんてい,,['TV'],15,Finished Airing,"Apr 6, 2024 to Nov 16, 2024",['Spring 2024'],Saturdays at 09:00 (JST),"None found,","None found,",['Toei Animation'],Picture book,"['Comedy', 'Fantasy', 'Mystery']",['Detective'],,20 min. per ep.,PG - Children,[],#18404,#22003,174,0,,Eighth season of Oshiri Tantei.,"['Prequel (TV) Oshiri Tantei 7th Season', 'Sequel (TV) Oshiri Tantei 9th Season']",Oshiri Tantei 8th Season,Butt Detective,,,,,,
62,샤샤&마일로 NEW에피소드,,['TV'],13,Finished Airing,"May 31, 2024 to Aug 23, 2024",['Spring 2024'],Unknown,['Studio Goindol'],"None found,","None found,",Original,"['Action', 'Adventure', 'Comedy']",['Super Power'],['Kids'],22 min. per ep.,PG - Children,[],#14060,#23941,112,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shasha and Milo', '']",Shasha and Milo Part 2,,,,,,,
63,山海传奇,,['TV'],13,Finished Airing,"Mar 18, 2024 to Apr 3, 2024",['Spring 2024'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Adventure', 'Fantasy']",,['Kids'],13 min. per ep.,PG-13 - Teens 13 or older,[],#14001,#24378,103,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shanhai Chuanqi,,,,,,,
