,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Theme,Demographic,Genre,Demographics
10,Airmaster,エアマスター,Air Master,,,,['TV'],27,Finished Airing,"Apr 2, 2003 to Oct 1, 2003",['Spring 2003'],Wednesdays at 00:58 (JST),"['VAP', 'Nippon Television Network']",['Geneon Entertainment USA'],['Toei Animation'],['Manga'],"['Action', 'Comedy']",24 min. per ep.,R - 17+ (violence & profanity),6.94,#4641,#3695,"41,470",152,16779,"A former gymnast, Aikawa Maki has turned her skills to a different way of life—street fighting. The only thing that truly makes her feel alive is violence. With amazing power and grace, she fights opponent after opponent, repeatedly demonstrating the gymnastic talent that earns her her nom de guerre, ""Airmaster.""","['Adaptation (Manga) Air Master', '']",Air Master,,['Martial Arts'],['Seinen'],,
11,,魔探偵ロキ RAGNAROK,Mythical Detective Loki Ragnarok,,,Le Détective Légendaire Loki Ragnarok,['TV'],26,Finished Airing,"Apr 5, 2003 to Sep 27, 2003",['Spring 2003'],Unknown,"['TV Tokyo', 'Rakuonsha']","['ADV Films', 'Sentai Filmworks']",['Studio Deen'],['Manga'],"['Comedy', 'Mystery', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.24,#3134,#3756,"40,196",183,17005,"Loki, the Norse god of mischief, has been exiled to the human world for what was apparently a bad joke. Along with being exiled, he's forced to take the form of a child. He's told the only way he can get back to the world of the gods is if he can collect auras of evil that take over human hearts, and so to do this he runs a detective agency. Loki is soon joined by a human girl named Mayura who is a maniac for mysteries, and she soon helps out in her own way. However, soon other Norse gods begin to appear, and most have the intent to assassinate Loki for reasons unclear. (Source: ANN)","['Adaptation (Manga) Matantei Loki', '']",Matantei Loki Ragnarok,,['Mythology'],['Shounen'],,
12,Detective Academy Q,探偵学園Q,Detective School Q,,,,['TV'],45,Finished Airing,"Apr 15, 2003 to Mar 20, 2004",['Spring 2003'],Unknown,"['Group TAC', 'Kodansha']","None found,",['Pierrot'],['Manga'],"['Comedy', 'Drama', 'Mystery']",25 min. per ep.,PG-13 - Teens 13 or older,7.73,#1206,#3912,"36,761",265,14895,"Kyuu is your average boy with a knack for logic and reasoning. Desiring to become a detective, he finds out about the existence of the Dan Detective School (DDS); a famed school where students are allowed to bear arms. Together with Megu, a girl with photographic memory, the martial arts master Kinta, the genius programmer Kazuma and the mysterious Ryuu, Kyuu tackles many well planned out crimes, always seeking the truth.","['Adaptation (Manga) Tantei Gakuen Q', '']",Tantei Gakuen Q,,['Detective'],['Shounen'],,
13,,ウルトラマニアック,Ultra Maniac,,,,['TV'],26,Finished Airing,"May 20, 2003 to Nov 11, 2003",['Spring 2003'],Tuesdays at 22:00 (JST),['WAO World'],"['Discotek Media', 'Geneon Entertainment USA']",['Ashi Productions'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",24 min. per ep.,G - All Ages,7.15,#3629,#3995,"35,181",142,14455,"Fantasies and miracles never interested Ayu Tateishi, a popular second-year student at her middle school. She was content with preserving her image of being cool, calm, and collected—all to catch the eye of her crush, Tetsushi Kaji. Ayu's carefree youthful days are interrupted by the appearance of Nina Sakura, a new transfer student who turns out to be a witch. As the only person who knows about Nina's ability to cast spells using a mini-computer, Ayu is forced to help Nina with her mission to find the five Holy Stones, qualifying her to marry the prince of the Magic Kingdom. Unfortunately, Nina's ineptitude with magic and her habit of meddling in Ayu's personal life cause nothing but trouble for the two of them as Ayu toils to maintain her good reputation and Nina struggles to hide her secret from the discerning eye of Hiroki Tsujiai, Tetsushi's best friend and an avid fan of manga. And when Nina's search for the five Holy Stones brings allies and challengers from the Magic Kingdom, Ayu is dragged into a world she never even dreamed was possible. [Written by MAL Rewrite]","['Adaptation (Manga) Ultra Maniac', '']",Ultra Maniac,,['School'],['Shoujo'],,
14,"Astroboy, Astro Boy (2003)",アストロボーイ・鉄腕アトム,Astro Boy (2003),,Astro Boy,Astro Boy,['TV'],50,Finished Airing,"Apr 6, 2003 to Mar 28, 2004",['Spring 2003'],Unknown,"['Sony Pictures Entertainment', 'Dentsu', 'Mill Creek Entertainment']","None found,",['Tezuka Productions'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",24 min. per ep.,G - All Ages,7.08,#3984,#4560,"26,787",169,12178,"At the Ministry of Science, fervent Professor Ochanomizu alongside his coworkers strive to reactivate Atom—the first robot with a human heart. Atom is the masterpiece of enigmatic Professor Umatarou Tenma, who built the android to replace his deceased son Tobio. However, while Tenma inexplicably shut down his brainchild and disappeared, Ochanomizu refuses to let such a major breakthrough in science go to waste. Despite having the appearance of a nine-year-old, Atom not only possesses incredible strength and intelligence, but he is also endowed with a remarkable conscience and compassion that rivals humans. Sadly, the mechanical boy soon faces rejection and learns that not everyone is as welcoming as Ochanomizu. Although automatons have integrated into society, they are accepted only as tools and even seen as an upcoming threat to mankind's dominion. Dreaming of a world where people and robots can prosper together, Atom dedicates his existence to protecting the lives of both and inspiring them to form genuine bonds. [Written by MAL Rewrite]","['Prequel (TV) Atom: The Beginning', 'Adaptation (Manga) Tetsuwan Atom', 'Adaptation (Manga) Astro Boy: Tetsuwan Atom', '']",Astro Boy: Tetsuwan Atom,,['Super Power'],['Shounen'],,
15,Stellvia of the Universe,宇宙のステルヴィア,Stellvia,,,,['TV'],26,Finished Airing,"Apr 3, 2003 to Sep 25, 2003",['Spring 2003'],Thursdays at 01:00 (JST),"['Starchild Records', 'TV Tokyo Music']","['Discotek Media', 'Geneon Entertainment USA']",['Xebec'],Original,"['Action', 'Romance', 'Sci-Fi']",23 min. per ep.,PG-13 - Teens 13 or older,7.33,#2687,#4605,"26,102",124,10103,"In the year 2167, a wave of radiation released by the supernova of the nearby star Hydrus Beta caused cataclysmic damage on Earth, leaving millions dead. Now, it is the year 2356. United to rebuild Earth, humanity prepares for the supernova's second wave of destruction. In order to protect the planet from future harm, massive space colonies called ""Foundations"" have been built throughout the Solar System. Acting as centers for both knowledge and exploration, it is at one of these Foundations—the Stellvia—that Shima Katase applies to be a preparatory student against her mother's wishes, aspiring to see space directly with her own eyes. At the Stellvia, Katase trains to become a pilot and hopes to be selected for the ""Great Mission"" to shield Earth from the second wave. While she struggles with both her pilot classes and her tumultuous social life, she slowly grows into someone who might just be able to protect humanity. [Written by MAL Rewrite]","['Adaptation (Manga) Uchuu no Stellvia', '']",Uchuu no Stellvia,"['Mecha', 'Space']",,,,
16,,ディア・ボーイズ,Hoop Days,,,Hoop Days,['TV'],26,Finished Airing,"Apr 7, 2003 to Sep 29, 2003",['Spring 2003'],Mondays at 01:00 (JST),['OB Planning'],['Bandai Entertainment'],['A.C.G.T.'],['Manga'],"['Drama', 'Sports']",24 min. per ep.,PG-13 - Teens 13 or older,6.77,#5483,#4849,"23,038",52,10615,"Aikawa Kazuhiko was the captain of Tendoji high school prestigious basketball team. He moves into a new town to attend Mizuho high school and joins its basketball team. However, Mizuho high's basketball team is far from being prestigious, in fact, it's now defunct. Nevertheless to say, Kazuhiko's persistence, passion and basketball skills inspired other team members of the dysfunctional basketball team to gear up and start practicing again. The goal is to play in the national tournaments where all young basketball players meet their opponents to compete with them. The tale of youth of the five protagonists: Fujiwara Takumi, Ishii Tsutomu, Dobashi Kenji, Miura Ranmaru and Aikawa Kazuhiko have just began along with the live of Mizuho high school basketball team. (Source: AnimeNfo)","['Adaptation (Manga) Dear Boys', '']",Dear Boys,,['Team Sports'],['Shounen'],,
17,Narue's world,成恵の世界,The World of Narue,,,,['TV'],12,Finished Airing,"Apr 12, 2003 to Jun 28, 2003",['Spring 2003'],Sundays at 01:55 (JST),"['Lantis', 'Media Factory', 'Pony Canyon', 'Imagica']","['ADV Films', 'Central Park Media']",['Studio Live'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,6.52,#6930,#5102,"20,438",28,8036,"Meet Narue, an adorable schoolgirl with a secret. She's really an alien with powers right out of a sci-fi comic! But growing up is never easy, and sometimes it doesn't help when you're from outer space. Join our spunky heroine as she faces androids, alien invaders, and her first date with the boy next door. It's the sci-fi comedy that's a direct hit to your heart! (Source: Central Park Media)","['Adaptation (Manga) Narue no Sekai', '']",Narue no Sekai,,,['Shounen'],,
18,,エスアザーワイズ,E's Otherwise,,,,['TV'],26,Finished Airing,"Apr 1, 2003 to Sep 23, 2003",['Spring 2003'],Tuesdays at 18:00 (JST),['Sotsu'],['ADV Films'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",23 min. per ep.,PG-13 - Teens 13 or older,6.58,#6610,#5436,"17,273",26,7355,"Kai, who has powers different from the rest, together with his sickly sister Hikaru was protected by an organization called ASHURUM. Scouted by Eiji, Kai was delegated to the ASHURUM special force AESES and undergo intensive training. Whenever he was free, Kai visited Hikaru at the hospital belongs to the organization, but Hikaru's condition never improved. So, one year later, with amazing growth from the intensive training, Kai decides to escape from the organization. (Source: ANN)","[""Adaptation (Manga) E's"", '']",E's Otherwise,"['Military', 'Super Power']",,['Shounen'],,
19,,ガドガード,,,,,['TV'],26,Finished Airing,"Apr 16, 2003 to Sep 25, 2003",['Spring 2003'],Thursdays at 02:58 (JST),"['HAL Film Maker', 'Media Factory', 'Imagica', 'Amber Film Works', 'Imagine']","['Funimation', 'Geneon Entertainment USA']",['Gonzo'],Original,"['Action', 'Adventure', 'Sci-Fi']",23 min. per ep.,PG-13 - Teens 13 or older,6.64,#6271,#5734,"15,130",27,5180,"Several hundred years in the future, the resources of the Earth runs out, and the progression of the human race has stagnated. The world is now divided into ""Units."" A boy named Hajiki Sanada lives with his mother and sister in Unit 74, in a place called ""Night Town,"" in which all electricity is shut down at midnight. The key in this story is an object called the GAD. GADs have the ability to reconstruct materials while reacting to feelings of an organic life. The size and shape of the resulting product seem to be different depending on the kinds of feelings that the life possesses. When Hajiki comes in contact with one by accident, it transforms into a huge robot—a Tekkoudo, or ""Iron Giant""—which Hajiki names Lightning. And soon he realizes that he isn't the only one with a Tekkoudo, and must find out how to deal with those others who he feels are the ""same"" as himself. (Source: ANN)",[],Gad Guard,,['Mecha'],,,
20,,セイント・ビースト～聖獣降臨編～,,,,,['TV'],6,Finished Airing,"May 8, 2003 to Jun 13, 2003",['Spring 2003'],Unknown,"['Lantis', 'Kids Station']","None found,",['Tokyo Kids'],Mixed media,"['Action', 'Fantasy', 'Supernatural']",25 min. per ep.,PG-13 - Teens 13 or older,5.97,#10065,#6763,"10,023",19,3119,"The seal which was imprisoning the fallen angels, Kirin no Yuda and Houou no Ruka, is broken and the two decide to get revenge on the God who had cast them to Hell by getting rid of the Heavens that had once been their home. Soon the guardian angels on Earth begin disappearing, and no one in Heaven can explain the happenings. But there is a sense of a vengeful animal spirit at work, and so the four Saint Beasts are called upon to investigate. The 4 Gods of Beasts attempt to rescue the guardian angels, as well as to find out what this evil animal spirit is... (Source: Wikipedia)","['Prequel (TV) Saint Beast: Kouin Jojishi Tenshi Tan', '']",Saint Beast: Seijuu Kourin-hen,,,,,
21,DiGi Charat Nyo,デ・ジ・キャラットにょ,,,,,['TV'],104,Finished Airing,"Apr 6, 2003 to Mar 28, 2004",['Spring 2003'],Sundays at 09:30 (JST),"['TV Osaka', 'Broccoli']",['Bandai Entertainment'],['Madhouse'],Unknown,"['Comedy', 'Fantasy', 'Sci-Fi']",12 min. per ep.,G - All Ages,7.05,#4132,#7182,"8,651",50,3085,"Di Gi Charat (a.k.a. Dejiko) - along with Petit Charat (a.k.a. Puchiko) and Gema - travels to Earth as part of her training to become a full-fledged princess. They crash on a small town in Japan, where they meet the Omocha brothers (who spend most of their time thinking how cute Puchiko is) and Mr. & Mrs. Ankoro (an elderly couple that makes Japanese sweets). (Source: ANN)",[],Di Gi Charat Nyo,,,,,
22,"Tenshi no Shippo 2, Tail of Angels Chu!, Angel Tales 2",天使のしっぽＣｈｕ！,,,,,['TV'],11,Finished Airing,"Mar 6, 2003 to Apr 3, 2003",['Spring 2003'],Unknown,['Bandai Visual'],"None found,",['Tokyo Kids'],Unknown,"['Fantasy', 'Romance']",13 min. per ep.,PG-13 - Teens 13 or older,6.52,#6944,#8158,"6,288",3,2641,"Somewhere, there was a young man. A kind hearted young man who loved animals but, the most unfortunate things happen to him. The place where he works going bankrupt, bumping into a signboard as he walks in the streets. He is just completely burdened with bad luck. However, his life completely changes when he meets a fortune teller. With the power of the fortune teller, ""Guardian Angels"" are called through a mobile phone and a group of cute girls appear. These Guardian Angels, who came from the other world, were actually reincarnations of the pets that the young man had once taken care of before. They are now back to repay his kindness. This sequel takes place a year after the last series. We go back to the time when the 12 Guardian Angels goes to Goro Mutsume. Once again, we have the voice talents of Nogawa Sakura, Chiba Saeko, Kawasumi Ayako and a whole extravanganza of other voice actors / actresses. Lets see how the Guardian Angels grow up! (Source: AnimeNfo)","['Prequel (TV) Otogi Story Tenshi no Shippo', '']",Tenshi no Shippo Chu!,,,,,
23,Human Scramble,人間交差点,Human Crossing,,,,['TV'],13,Finished Airing,"Apr 6, 2003 to Jun 29, 2003",['Spring 2003'],Sundays at 00:55 (JST),"['TV Tokyo', 'OB Planning', 'Shogakukan Productions']","['Maiden Japan', 'Geneon Entertainment USA']",['A.C.G.T.'],['Manga'],,24 min. per ep.,PG-13 - Teens 13 or older,6.29,#8362,#9294,"4,446",3,926,"Families, husbands and wives, lovers and ordinary people. Dramas that emerge from life's human crossroads... Ordinary people muddling through life and intersect with one another in random ways. Like people walking along road crossings in different directions with no apparent destination in sight. Human Crossing is a realistic portrayal of everyday people in modern Japan with all its beauty and ugliness. Human Crossing examines the lives of a boxer whose dark past is rekindled by his estranged mother in ""The Wound"", an idealistic lawyer who fights for an underprivileged young mother in ""The 25th Hour"", a workaholic businessman who rediscovers what's most important in life in ""A Promise"", and an independent woman who reunites with her deadbeat father in ""Direction."" Human Crossing is a collection of vignettes about hope, a reminder of the small victories one can achieve amid the vicissitudes of life. (Source: Geneon, edited)","['Adaptation (Manga) Human Scramble', '']",Ningen Kousaten,,,['Seinen'],['Drama'],
