,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,French,Genre,Theme,Spanish,German,Demographics
46,こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,"['Adult Cast', 'Detective', 'Gag Humor']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",,['Comedy'],,Kochikame,,
47,フィギュア17 つばさ&ヒカル,,['TV'],13,Finished Airing,"May 27, 2001 to May 26, 2002",['Spring 2001'],Not scheduled once per week,"['Bandai Visual', 'Genco', 'MediaNet']",['Media Blasters'],['OLM'],Original,"['Sci-Fi', 'Slice of Life']",,,47 min. per ep.,PG-13 - Teens 13 or older,7.19,#3418,#5742,"15,062",85,3981,"Tsubasa Shiina is a 10-year-old girl who recently moved to Hokkaido to live with her father. In school, she is very quiet and unsociable with her classmates. Then one night, she witnesses a UFO crash in the forest near her home. She rushes to the scene and finds the pilot, codenamed ""D.D."", in a barely stable condition. Also in the scene is a Maguar, a hideous alien that hatched aboard D.D.'s ship. As the Maguar is close to taking Tsubasa's life, an alien lifeform fuses with her body to form the Riberus battle armor Figure 17, which shortly destroys the alien threat. The life form takes the name Hikaru and turns into an identical twin of Tsubasa. As time passes, Tsubasa becomes more open to everyone around her, thanks to her new twin sister Hikaru. However, with Maguar eggs scattered all over Hokkaido, their ability to form Figure 17 is needed to eliminate all hatched Maguars until backup from D.D.'s home planet arrives on Earth. (Source: ANN)","['Adaptation (Manga) Figure 17', '']",Figure 17: Tsubasa & Hikaru,Figure 17 - Tsubasa and Hikaru,Figure 17,,,,,
48,POPEE the ぱフォーマー,Popee the Clown,['TV'],39,Finished Airing,"Jan 3, 2000 to Dec 28, 2001",['Winter 2000'],Mondays at 20:53 (JST),"['Kids Station', 'Nippon Columbia']","None found,",['Zuiyo'],Original,"['Avant Garde', 'Comedy']",,,4 min. per ep.,R - 17+ (violence & profanity),7.27,#2980,#6258,"12,007",333,5261,"Somewhere in the desert lies the Wolf Zirkus: a strange circus where Popee, a clown in a pink rabbit jumpsuit, shares the stage with Kedamono, a purple creature who wears a mask. Together, they juggle the whims of performing, practicing their acts, and poking fun at each other. In a world where anything seems possible, there is no telling what will happen next during this eccentric spectacle. [Written by MAL Rewrite]",[],Popee the Performer,,,,['Gag Humor'],,,
49,神鵰侠侶 コンドルヒーロー,Legend of the Condor Hero,['TV'],26,Finished Airing,"Apr 11, 2001 to Oct 28, 2002",['Spring 2001'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2884,#6905,"9,516",38,2863,"Youka is a young 13-year-old boy. One day, his Uncle, Kakusei, has him follow in his steps of martial arts and has him study the art of Zenshinkyou. After being mistreated, Youka runs away Zenshinkyou. He stumbles on a Forbidden Tomb where he finds a beautiful young woman, by the name of Shouryuujo. After a short time, Youka is eventually accepted by Shouryuujo to study the techniques of the Koboha under her, and thus begins their adventure through martial arts and love. (Source: ANN)","['Sequel (TV) Shin Chou Kyou Ryo: Condor Hero II', '']",Shin Chou Kyou Ryo: Condor Hero,Shen Diao Xia Lu,,,['Historical'],,,
50,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,
51,学園戦記ムリョウ,Shingu: Secret of the Stellar Wars,['TV'],26,Finished Airing,"May 8, 2001 to Dec 4, 2001",['Spring 2001'],Unknown,['Starchild Records'],['Nozomi Entertainment'],['Madhouse'],Original,"['Action', 'Adventure', 'Sci-Fi', 'Supernatural']","['Mecha', 'Space']",,25 min. per ep.,PG-13 - Teens 13 or older,6.96,#4553,#7346,"8,202",27,2255,"The world is about to be turned upside down for Hajime Murata. First, a strange alien ship appears over Tokyo, and then a mysterious new transfer student arrives at his school wearing an ancient school uniform. His name is Muryou, and with his arrival, everything begins to change. Students suddenly begin to display amazing psychic powers, a giant white guardian keeps appearing in the skies over the city to fight off gigantic alien creatures, and men with threatening weapons are haunting the shadows of the school grounds. With all these strange events taking place around him, Hajime is determined to figure out the truth about a world he thought he already knew. This is his story: a tale of aliens and humans, starships and spies, and friends who are often more than they appear. Join Hajime as he uncovers the mystery of Shingu: Secret of the Stellar Wars! (Source: RightStuf)",[],Gakuen Senki Muryou,,Shingu: Secret of the Stellar Wars,,,Shingu: Secret of the Stellar Wars,Shingu: Secret of the Stellar Wars,
52,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4020,#7395,"8,015",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",,['Comedy'],,El Ninja Boy Rantaró,,
53,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,,['Comedy'],['School'],Chibi Maruko-chan,,
54,Cosmic Baton Girl コメットさん☆,,['TV'],43,Finished Airing,"Apr 1, 2001 to Jan 27, 2002",['Spring 2001'],Sundays at 09:30 (JST),"['Group TAC', 'TV Osaka', 'Yomiko Advertising', 'TOHO']","None found,",['Nippon Animation'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Sci-Fi']",,,24 min. per ep.,G - All Ages,7.21,#3332,#8573,"5,612",39,2217,"Comet (12 years old in human years) is the princess of the Harmonica Star country and was to meet the prince of the Tambourine Star country at a ball where he'd pick a bride. But he isn't there and so Comet is sent to Earth to find him. He'll be known by the starlight in his eyes. She finds the Earth and she loves the people she meets there. Meanwhile, Princess Meteor of the Castanet Star country also arrives on Earth in search of the prince. Comet's companion is a little puppy with a star at the end of his tail named Rubba Ball. Of course, Comet was not the first to visit the Earth and love it, another before her did as well and married. Her pet (a white cat with bunny ears and a tiny heart on her tail named Bunny) continued life as a kind of fairy in the forest. Comet's power is drawn from the stars of her home and is channeled through her baton; she also wears a special pendant from where Rubba Ball immerges, and with which she can detect and find the prince. (Source: ANN)",[],Cosmic Baton Girl Comet-san☆,Princess Comet,,,,,,
55,パラッパラッパー,,['TV'],30,Finished Airing,"Apr 14, 2001 to Jan 11, 2002",['Spring 2001'],Unknown,"['Aniplex', 'SME Visual Works', 'Fuji TV']","None found,","['J.C.Staff', 'Production I.G']",Game,"['Comedy', 'Fantasy']",,,23 min. per ep.,G - All Ages,6.32,#8176,#8777,"5,258",45,1776,"Parappa is just your ordinary talking dog; he enjoys spending time with his friends, listening to music, and going on adventures. Together with his friends, Parappa gets into many strange situations, all the while learning to navigate through life, get along with his friends, and pine for the girl of his dreams, Sunny Funny. Based on an equally quirky rhythm game, Parappa the Rapper boasts a unique flat style, blasts of color, and a string of strange but charming characters. Among Parappa’s friends are an anthropomorphized blue cat, lamb, and even a flower. Parappa's adventures range from the ordinary to the bizarre. He crosses paths with mischievous baddies, helps resolve questions of friendship and love, and even goes on trips through time itself. Nothing can change Parappa's positive outlook on life.",[],Parappa the Rapper,PaRappa the Rapper,,,,,,
56,로보짱 큐빅스,Cubix,['TV'],26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",['Summer 2001'],Unknown,['CinePix'],['4Kids Entertainment'],['Xebec'],Unknown,,,,23 min. per ep.,PG - Children,5.38,#12487,#8845,"5,155",8,2614,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! (Source: AniDB)",[],Saiko Robot Kombock,"Robot-chan Cubix, Robots for Everyone, Lobojjang Kyubigseu",Cubix: Robots pour Tous,['Sci-Fi'],['Mecha'],,,
57,Dr.リンにきいてみて！,,['TV'],51,Finished Airing,"Mar 5, 2001 to Feb 25, 2002",['Spring 2001'],Mondays at 18:30 (JST),['Nihon Ad Systems'],"None found,",['Studio Comet'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",,['Shoujo'],24 min. per ep.,PG - Children,6.79,#5405,#8941,"5,005",18,1253,"Kanzaki Meirin, a junior high school student, posseses fusui power which can drive away evil spirits away whenever they appeared. She is in fact, the fortune teller Dr. Rin. She is in love with her best friend, soccer club member, Yuuki Asuka. However, Yuuki does not like fortune-telling and superstitious things. (Source: ANN)","['Adaptation (Manga) Dr. Rin ni Kiitemite!', '']",Dr. Rin ni Kiitemite!,Ask Dr. Rin,,,['School'],,,
58,オフサイド,,['TV'],39,Finished Airing,"May 10, 2001 to Jan 31, 2002",['Spring 2001'],Unknown,['Animax'],"None found,",['Ashi Productions'],['Manga'],"['Drama', 'Sports']",,,23 min. per ep.,G - All Ages,7.09,#3939,#9128,"4,705",26,1890,"Goro Kumagaya is an established, tall middle-school goalkeeper who wanted to enter Yokonan high-school that is considered to be among the elites in terms of its football club, only to fail and end up in the lowly-ranked school opposite to Yokonan because of an accident. However, he met Shingo, Hideki and Kazuhito Oda who are all skillful footballers there and together in the Kawasaki High School football club, they challenge Yokonan and any other schools that they have to face in order to improve and become the champions. Any setbacks that they face would instead be an opportunity for a better improvement; one of which was the discovery of Goro's natural talent as an ace striker. (Source: ANN)","['Adaptation (Manga) Offside', '']",Offside (TV),Offside (2001),,,['Team Sports'],,,
59,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,,,
60,電脳冒険記ウェブダイバー,Brain Adventure Record Webdiver,['TV'],52,Finished Airing,"Apr 6, 2001 to Mar 23, 2002",['Spring 2001'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Animation', 'Nihon Ad Systems']",['Frontier Works'],['Radix'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,PG - Children,6.97,#4528,#10224,"3,310",20,1396,"Set in the year 2100 where the world is tied together by a computer network. The children of the world become Web Divers, adapting their consciousnesses into data, and love to play together in the cyber park called Magical Gate. However, a mysterious computer virus appears beginning to destroy Magical Gate from the inside out. In cyberspace, programs called Web Knights have been created to protect the children. But, the computer virus has turned all the Web Knights against the children. The only Web Knight to escape the ""brainwashing"" is Gladion. Gladion seeks the help of Kaito Yuki, a Web Diver who is in the fourth grade. (Source: ANN)",[],Dennou Boukenki Webdiver,Webdiver,,,['Mecha'],,,
61,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,,,
62,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7745,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,,
63,だいすき! ぶぶチャチャ,I love BuBu ChaCha,['TV'],26,Finished Airing,"May 10, 2001 to Nov 29, 2001",['Spring 2001'],Unknown,['Amino'],"None found,",['Daume'],Original,,,['Kids'],25 min. per ep.,G - All Ages,7.03,#4263,#11761,"2,093",6,1023,"The anime talks about a little boy, Randy, whose dog, Chacha, died in an accident and was reincarnated into a living toy car. Each episode is told like the chapter of a storybook, where Randy learns a valuable thing in life with his cartoonish and goofy friend Chacha. Randy meets several friends in his neighbourhood, such as Catherine, the tall blonde girl in red long socks who rides a bicycle, or Mary, a little hot-tempered brunette girl dressed as a maid and who carries around a mop. (Source: ANN)","['Prequel (TV) Norimono Oukoku BuBu ChaCha', '']",Daisuki! BuBu ChaCha,I Love You! BuBu ChaCha,,,['Pets'],,,
64,바스토프 레몬,BASToF Syndrome,['TV'],26,Finished Airing,"May 3, 2001 to Nov 15, 2001",['Spring 2001'],Unknown,"None found,",['ADV Films'],['Dongwoo A&E'],Unknown,"['Adventure', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.11,#9320,#12665,"1,568",2,389,"The story takes place in the year 2097 and in the city of Xenon. An ultimate cyber game, where players fight as bio-mechanical cyber robots, has been developed. However, there's something wrong. The game's cyberspace and the real world are linked. The damage that occurs in the game's cyberspace creates destruction in the city of Xenon. This all started when players heard a painful scream, saw a ghostly face, and a powerful scent of lemon overcame them. To solve this mystery, the creator of the game assembles a ""Dream Team,"" which is the top three gamers in all of Xenon. The team is composed of rebellious and arrogant teens, who, have to overcome their attitudes and fears to find the answers, answers to the mystery that are much bigger than just the game. (Source: Wikipedia)",[],Genei Toushi Bastof Lemon,,,,['Mecha'],,,
65,트랙시티,Track City,['TV'],26,Finished Airing,"Jan 5, 2000 to May 30, 2002",['Winter 2000'],Unknown,"None found,","None found,",['SBS TV Production'],Unknown,,,,24 min. per ep.,PG - Children,5.94,#10244,#12842,"1,484",1,546,"Jimmy was a typical boy who liked to play computer games. One day he was playing a game called 'Track City' when suddenly he got transported into the game world! Once he regained consciousness, a woman who apparently is the mayoress of the city explains to him that the world is threaten by a powerful malign virus and her allies and their only hope is to ask for the help of the ""Legendary racer"", the best player of 'Track City"". Things get complicated when Jimmy learns that the game made a mistake and confused him with the Legendary racer! Will Jimmy learn the necessary skills to defeat the viruses that threaten the world? Or will he be erased by the 'big head', the heavenly punisher that annihilates those who cannot achieve victory?",[],Track City,,,['Action'],['Racing'],,,
66,ののちゃん,,['TV'],61,Finished Airing,"Jul 7, 2001 to Sep 28, 2002",['Summer 2001'],Unknown,"None found,","None found,",['Toei Animation'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,25 min. per ep.,G - All Ages,6.07,#9542,#13154,"1,355",1,271,"Nono-chan is the eldest daughter in the Yamada family and a third-grade elementary school student. Her family consists of her father, Mr Yamada Takashi, her mother, Mrs Yamada Matsuko and her brother, Noboru, a junior high student. Together with her grandmother, the family of five makes up a pleasant Japanese family. Everyone is special and everyday is always filled with joy and surprise. (Source: ANN)","['Adaptation (Manga) Tonari no Yamada-kun', '']",Nono-chan,Nonoko,,,,,,
67,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,G - All Ages,5.92,#10325,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,['Anthropomorphic'],,,
68,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,
69,ゴーゴー五つ子ら・ん・ど,,['TV'],50,Finished Airing,"Apr 14, 2001 to Mar 30, 2002",['Spring 2001'],Unknown,['Eiken'],"None found,",['Magic Bus'],Unknown,,,,20 min. per ep.,G - All Ages,6.42,#7571,#13942,"1,093",1,388,"The series is about five quintuplets, Kabuto, Hinoki, Arashi, Kinoko and Kodama Morino, who have all kinds of adventures together. Each has their own talent and personality.",[],Go! Go! Itsutsugo Land,Let's Go Quintuplets,,,['School'],,,
70,砂漠の海賊！ キャプテンクッパ,Captain Kuppa,['TV'],26,Finished Airing,"Aug 13, 2001 to Feb 11, 2002",['Summer 2001'],Unknown,"['NHK', 'Sogo Vision']",['Enoki Films'],['Bee Train'],['Manga'],"['Action', 'Adventure']",,,25 min. per ep.,G - All Ages,[],#21488,#14914,835,2,,"Sometime in the future, the world was completely dried up and became all desert. They had little rivers and lakes left, which villians and dangerous animals lived. Water has become the most valueable thing on the world. Whoever can control water will rule over the world. (Source: ANN)",[],Sabaku no Kaizoku! Captain Kuppa,Captain Kuppa Desert Pirate,,,,,,
71,仰天人間バトシーラー,Captain Fatz and the Seamorphs,['TV'],52,Finished Airing,"Apr 7, 2001 to Mar 30, 2002",['Spring 2001'],Unknown,['Group TAC'],"None found,","None found,",Unknown,"['Action', 'Adventure', 'Fantasy']",,,25 min. per ep.,PG - Children,6.46,#7359,#15215,763,3,190,"With the ability to transcend time, Captain Fatz and comrades embarked on a journey of battle and adventure to gather the eight scattered stone pieces (namely Light, Darkness, Fire, Water, Air, Earth, Wood & Metal) which was granulated by the lord of destruction, in order to restore the chaotic world back to peace.",[],Gyouten Ningen Batsealer,"Gyoten Ningen Batsealer, Gyoten Ningen Batseelor, Gyouten Ningen Batseelor, Gyoten Ningen Batoshiiraa",,,,,,
72,날아라 슈퍼보드,The Flying Superboard,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,,22 min. per ep.,PG - Children,[],#20601,#16829,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,,,
73,유니미니펫,,['TV'],26,Finished Airing,"Jun 15, 2001 to Dec 7, 2001",['Summer 2001'],Fridays at Unknown,['Dongwoo A&E'],"None found,","None found,",Unknown,"['Adventure', 'Fantasy']",,,20 min. per ep.,G - All Ages,[],#15162,#17597,453,0,,"Dong Woo is a very pleasant, responsible and cheerful boy. He gets weird feelings every time he opens his closet door and is the only one that can sense these feelings. Why is this? Dong Woo is destined to be ""the person that opens the Door"". His closet is a secret channel that connects the real world to the fourth dimension world called ""Uniland "". Whenever he opens the door, the wavelength from the other world is transferred to him. (Source: AWN, edited)",[],Uniminipet,Uni Mini Pet,,,,,,
74,探偵少年カゲマン,,['TV'],39,Finished Airing,"Apr 10, 2001 to Jan 16, 2002",['Spring 2001'],Unknown,['Shogakukan Productions'],"None found,",['Studio Hibari'],Unknown,"['Comedy', 'Mystery']",,,11 min. per ep.,G - All Ages,[],#14758,#17930,427,0,,Kageman is a boy who wants to become the best detective in the world. Each of the self-contained episode features a fun guessing game and unriddling of a case. (Source: AniDB),[],Tantei Shounen Kageman,,,,,,,
75,だんご3兄弟あっという間劇場,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,,['Kids'],3 min. per ep.,G - All Ages,[],#17566,#18893,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",,,['Music'],,,
76,やんちゃるモンちゃ,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,['Kids'],1 min. per ep.,PG - Children,[],#15990,#18995,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",,,,,,
77,哈皮父子,Happy Father Happy Son,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,['Kids'],6 min. per ep.,PG - Children,[],#18441,#22582,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,"Ha Pi Fuzi, Happy Father and Son",,,,,,
78,검정 고무신,Black Rubber Shoes,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,,['Kids'],11 min. per ep.,PG - Children,[],#18180,#23244,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,,,,,
79,무지개 요정 통통,,['TV'],19,Finished Airing,"Feb 23, 2001 to Jun 2002",['Winter 2001'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],25 min. per ep.,PG - Children,[],#20473,#23523,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mujigae Yojeong Tongtong,,,,,,,
80,魔法遊戯: 飛び出す!!ハナマル大冒険,Magical Play,['ONA'],24,Finished Airing,"Nov 16, 2001 to May 3, 2002",,,"['Starchild Records', 'Imagica', 'Arcturus', 'King Records']","['ADV Films', 'Sentai Filmworks']",['AIC'],Original,"['Adventure', 'Comedy', 'Fantasy']",,,5 min. per ep.,PG-13 - Teens 13 or older,6.31,#8189,#8743,"5,321",13,1906,"Padudu is a 12-year-old apprentice witch, chosen to represent her town in the coliseum. Donning her magical fish costume, which keeps her warm and fed, she sets off on her journey. But on the way she's swept away by a river to Dance Valley. Mayor Koffy captures her and throws her into the dungeon, hoping to eliminate the competition for Dance Valley's own coliseum candidate. Luckily for Padudu, this dungeon holds the mysterious witch Nonononn. They join together in a magical fight for survival. At the end of Blue Gender Trailer, the Magical witchland word came out! This is the online version of Mahou Yugi... (Source: AniDB)",[],Mahou Yuugi 2D,"Magical Witchland, Mahou Yuugi: Tobidasu!! Hanamaru Daibouken",Magical Play,,,Magical Play,Magical Play,
81,シックス・エンジェルズ,,['ONA'],6,Finished Airing,"Nov 20, 2001 to Jul 6, 2002",,,['Groove Corporation'],"None found,",['Arcturus'],Original,"['Action', 'Sci-Fi']",,,15 min. per ep.,R+ - Mild Nudity,4.32,#13713,#9697,"3,909",0,1397,"Deep in the deserts of southwestern United States lies ""Neo Purgatory."" Formerly a nuclear waste disposal site, the facility has been turned into a prison for hardened criminals; that is, until the prisoners weaponize the nuclear waste and riot, turning Neo Purgatory into an international disaster. Maki Aoba, Doris Nicholas, Marilyn Moreau, and Naomi Jones make up the ""Guard of Rose,"" an all-female special police task force. Along with stowaway Katherine Hook and multi-purpose robot Link, the Guard of Rose is on patrol investigating rumors of an ""angel"" near Neo Purgatory when their helicopter is shot down. As the crisis within the prison rapidly devolves, the Guard of Rose members might be the only ones who can stop the prisoners before they unleash nuclear armageddon. [Written by MAL Rewrite]",[],6 Angels,Six Angels,,,,,,
