,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,Genre,Theme,Demographic,Demographics
92,それいけ！アンパンマン,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6586,#9187,"4,607",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,['Kids'],
93,クロスファイト ビーダマン eS,B-Daman Fireblast,,,['TV'],52,Finished Airing,"Oct 7, 2012 to Sep 29, 2013",['Fall 2012'],Unknown,"['TV Tokyo', 'd-rights']",['ADK Emotions NY Inc.'],['SynergySP'],Unknown,,,12 min. per ep.,G - All Ages,6.47,#7258,#9514,"4,131",17,2177,"The anime takes place in Crest Land, where the mysterious B-Crystal has started to go berserk. The main protagonist Godai Kamon lives in the south area of Crest Land, and is an energetic boy who loves B-Daman. However, he lost his all past memories of B-Daman and his family, except for his big sister Aona who lives with him. One day, Kamon meets Galvan, a B-Daman at his local B-Daman shop, B-Junk, and he finds Galvan strangely familiar. Galvan becomes his partner, and he returns to the B-Daman battles once again. (Source: ANN)","['Prequel (TV) Cross Fight B-Daman', '']",Cross Fight B-Daman eS,,,,['Strategy Game'],['Kids'],
94,忍者ハットリくん （2012年版）,,,,['TV'],52,Finished Airing,"May 13, 2012 to Feb 16, 2015",['Spring 2012'],Not scheduled once per week,['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],,,24 min. per ep.,G - All Ages,6.70,#5883,#10336,"3,182",1,1773,Remake of the Ninja Hattori-kun series.,"['Adaptation (Manga) Ninja Hattori-kun', '']",Ninja Hattori-kun (2012),,,['Comedy'],,,
95,バトルスピリッツ ソードアイズ,,,,['TV'],29,Finished Airing,"Sep 9, 2012 to Mar 31, 2013",['Fall 2012'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Sunrise'],Card game,"['Adventure', 'Fantasy']",,23 min. per ep.,PG - Children,6.57,#6622,#10426,"3,108",8,1035,"Many years ago, the death of the emperor sparked riots and civil wars that ravaged Atlantia. Upon the throning of the young king Yaiba, treacherous rebels were executed to restore the peace the country once had. However, tainted by this radical act of governance, Atlantia continues to be enveloped under the shadow of oppressive rule. Tsurugi Tatewaki is a spunky teenager who grew up in the rural countryside with little memory of his birth parents. One day in his home, he stumbles upon a mysterious sword that transforms into a Battle Spirits card. When armed forces from Atlantia confront Tsurugi with their sights set on procuring his card, the secrets behind Tsurugi's past seemingly begin to unravel. Accompanied by a droid named Bringer, Tsurugi makes his way to the capital of Atlantia and encounters supposed warriors who wield similar swords. As his world is slowly turned upside down by the gradual appearance of greater mysteries, Tsurugi may have to question everything he knows, including his very own judgment on what separates good from evil. [Written by MAL Rewrite]","['Sequel (TV) Battle Spirits: Sword Eyes Gekitouden', 'Adaptation (Manga) Battle Spirits: Sword Eyes']",Battle Spirits: Sword Eyes,Battle Spirits Season 5,,,['Strategy Game'],,
96,クッキンアイドル　アイ！マイ！まいん！,,,,['TV'],305,Finished Airing,"Mar 30, 2009 to Mar 22, 2013",['Spring 2009'],Unknown,"['NHK', 'Nihon Ad Systems']","None found,",['Studio Deen'],Original,"['Comedy', 'Gourmet']",,6 min. per ep.,PG - Children,6.25,#8567,#10690,"2,881",8,737,"Cooking Idol teaches children how to cook through instruction of the main character, MAIN. The show itself is divided into an animated segment featuring MAIN, and a live-action segment featuring the voice actor of MAIN, Fukuhara Haruka, as she practices the cooking herself. The live-action segment is not included in the avg episode duration.",[],Cookin' Idol Ai! Mai! Main!,Cooking Idol,,,,['Kids'],
97,超智能足球,GGO Football,GGO Football,GGO Football,['TV'],52,Finished Airing,"Jun 2, 2010 to Jun 10, 2014",['Summer 2010'],Unknown,"None found,","None found,",['Puzzle Animation Studio Limited'],Original,"['Comedy', 'Sports']",,22 min. per ep.,G - All Ages,6.58,#6606,#11206,"2,466",10,1203,"As we enter the 21st century, the relationship between sports and technology is getting closer and closer. Sports products are enhanced by technological advances. The designs of footballs and football shoes require detailed information and computer tests in order to produce products that will allow us to reach the full potential and beyond. If we were only reliant on human testing, the standards would definitely fluctuate greatly. Thus, Professor GGO was brought in as consultant in the research, and as a result GGO robotic footballers were created. (Source: GGO Football Website)","['Sequel (TV) Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian', '']",Chao Zhi Neng Zu Qiu,AI Football GGO,GGO Football,,['Team Sports'],,
98,ゴン,,,,['TV'],50,Finished Airing,"Apr 2, 2012 to Mar 25, 2013",['Spring 2012'],Mondays at 18:00 (JST),['Kodansha'],"None found,",['Daewon Media'],['Manga'],"['Action', 'Adventure']",,23 min. per ep.,G - All Ages,5.97,#10041,#11299,"2,399",8,941,"The Gon series features the completely wordless adventures of the irascible title character, a tiny fictional dinosaur, as he interacts with the natural world. Gon somehow survived the extinction of his fellow dinosaurs and interacts with paleolithic animals. (Source: Wikipedia)","['Sequel (TV) Gon 2nd Season', 'Adaptation (Manga) Gon']",Gon,,,,['Anthropomorphic'],['Kids'],
99,おじゃる丸,Prince Mackaroo,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7747,#11552,"2,225",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,['Kids'],
100,おしりかじり虫,Bottom Biting Bug,,,['TV'],20,Finished Airing,"Oct 7, 2012 to Feb 24, 2013",['Fall 2012'],Sundays at 07:55 (JST),"None found,","None found,",['Kinema Citrus'],Music,,,5 min. per ep.,G - All Ages,5.18,#12959,#12697,"1,549",0,643,"A gag comedy about Oshiri Kajiri Mushi XVIII, a 10-year-old insect who goes to Biting School to inherit his family's Biting Shop business. (Source: ANN)","['Sequel (TV) Oshiri Kajiri Mushi (TV) 2nd Season', '']",Oshiri Kajiri Mushi (TV),,,['Comedy'],,['Kids'],
101,デュエル・マスターズ ビクトリーV,,,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,['Shogakukan-Shueisha Productions'],"None found,",['Shogakukan Music & Digital Entertainment'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,10 min. per ep.,PG-13 - Teens 13 or older,5.83,#10792,#13270,"1,312",3,345,"This series continues the adventures of Katta Kirifuda, Bucyake and Yohdel throughout the school season. They meet new classmates such as Leo to duel against. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Victory', 'Sequel (TV) Duel Masters Victory V3']",Duel Masters Victory V,,,,,['Kids'],
102,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,,,['TV'],Unknown,Currently Airing,"Nov 16, 2012 to ?",['Fall 2012'],Not scheduled once per week,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,2 min.,G - All Ages,[],#19288,#13304,"1,296",0,,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.","['Prequel (Movie) Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?', '']",Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,Kamiusagi Rope 4,,,,,
103,親子クラブ,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12198,#13593,"1,199",0,443,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,
104,アドリブアニメ研究所,,,,['TV'],38,Finished Airing,"Oct 16, 2011 to Mar 31, 2013",['Fall 2011'],Unknown,"None found,","None found,","None found,",Original,,,4 min. per ep.,G - All Ages,5.88,#10510,#13604,"1,196",2,238,"Emiri Katou and Kaori Fukuhara, the voice actresses best known for playing the Hiiragi twins in Lucky Star, will headline Ad Lib Anime Kenkyūsho (Ad Lib Anime Laboratory), an experimental anime series which will premiere on the satellite channel BS Fuji on October 15. Katou (as ""Chief Researcher No. 001""), Fukuhara (""Chief Researcher No. 002""), and a guest star ""researcher"" will ad lib each weekly episode's script entirely from scratch. Animators will then take the ad-libbed dialogue and create footage based on them — instead of the castmembers voice-acting to existing scripts and footage, as most anime are made. (Source: ANN)",[],Ad Lib Anime Kenkyuujo,"Ad Lib Anime Laboratory, Ad Lib Anime Kenkyuusho",,['Comedy'],,,
105,战斗王之飓风战魂,Infinity Nado,,,['TV'],52,Finished Airing,"Aug 23, 2012 to Aug 18, 2013",['Summer 2012'],Unknown,['Alpha Group'],"None found,",['Alpha Animation'],Original,,,24 min. per ep.,PG - Children,6.38,#7779,#13758,"1,141",22,470,"Dawn and Athas find a mysterious sleeping boy, Pandora, who suffers from amnesia after he comes around. When Pandora just arrives at Freewheel Town, he becomes the chasing target of an organization called Ancient Hunter Group, which demands of him to carry out the ""Great Mission"". Under the attack of Jin and his friends, Ancient Hunter Group is temporarily repelled. With the assistance of Jin and his friends, Pandora gradually gets used to life in this world and his skill on top is much improved.Can Pandora regain his memories? What is his ""Great Mission""? The story will tell you...... (Source: Official Youtube Channel)","['Sequel (TV) Zhandou Wang Zhi Jufeng Zhan Hun 2', '']",Zhandou Wang Zhi Jufeng Zhan Hun,King of Warrior: Jufeng Zhan Hun,,['Action'],,,
106,はなかっぱ,,,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,10 min.,PG - Children,6.00,#9911,#14262,"1,003",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,Hana Kappa,,['Comedy'],,['Kids'],
107,しあわせ配達おみくじタネコ,,,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,Unknown,None,[],#14202,#14340,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,,['Comedy'],,,
108,おはよう忍者隊ガッチャマン,,,,['TV'],475,Finished Airing,"Apr 18, 2011 to Mar 29, 2013",['Spring 2011'],Unknown,['Oddjob'],"None found,",['Kate Arrow'],Unknown,,,1 min. per ep.,G - All Ages,5.49,#12154,#14385,964,1,196,One-minute flash shorts based on Tatsunoko Production's classic science-fiction hero series Science Ninja Team Gatchaman aired during the NTV's Zip! television program on mornings. (Source: AniDB),"['Sequel (TV) Mazinger ZIP!', '']",Ohayou Ninja-tai Gatchaman,"Ohayou Ninjatai Gatchaman, Ohayou Nijna Force Gatchaman, Ninja-tai Gatchaman ZIP!",,['Comedy'],['Parody'],,
109,たまごっち! ゆめキラドリーム,,,,['TV'],49,Finished Airing,"Sep 10, 2012 to Aug 29, 2013",['Fall 2012'],Unknown,"None found,","None found,",['OLM'],Unknown,,,23 min. per ep.,G - All Ages,6.04,#9708,#14445,951,1,168,"Mametchi and his friends return to study abroad at Dream Town, a place that supports the dreams of all who live there. At Dream Town, Mametchi meets the aspiring idol singer Yumemitchi, Kiraritchi and other new characters as they all follow their own dreams. (Source: ANN)","['Prequel (TV) Tamagotchi!', 'Sequel (TV) Tamagotchi! Miracle Friends']",Tamagotchi! Yume Kira Dream,,,['Comedy'],,['Kids'],
110,侠岚,,,,['TV'],156,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",['Winter 2012'],Sundays at Unknown,"None found,","None found,",['Rocen'],Original,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']","['Historical', 'Martial Arts']",25 min. per ep.,PG-13 - Teens 13 or older,6.05,#9656,#14686,892,2,172,"When Nian Chi was a young child, his elder sister was kidnapped in front of him, while he could do nothing but watch, a thing that has tormented him for all these years. Now 10 years later, he's dead set on going to rescue his sister, and sets out.","['Sequel (ONA) Hua Jianghu: Xia Lan', '']",Xia Lan,"Man Lan, Shalen",,,,,
111,秘密結社鷹の爪 NEO,,,,['TV'],38,Finished Airing,"Apr 6, 2012 to Feb 15, 2013",['Spring 2012'],Unknown,"None found,","None found,",['DLE'],Original,,"['Parody', 'Super Power']",5 min. per ep.,PG-13 - Teens 13 or older,6.07,#9575,#15435,715,1,162,"Eagle Talon, a secret society based in Kojimachi, Tokyo, with plans for world domination, isn't a secret society anymore! In fact, it's a famous society, known by just about every household in Japan there is, because Eagle Talon went nation-wide with golden time on NHK!","['Prequel (OVA) Himitsukessha Taka no Tsume The Movie 4: Kaspersky wo Motsu Otoko', 'Sequel (TV) Himitsukessha Taka no Tsume MAX']",Himitsukessha Taka no Tsume NEO,Eagle Talon NEO,,['Comedy'],,,
112,しまじろうのわお!,,,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,"['Adventure', 'Comedy', 'Fantasy']",,8 min.,G - All Ages,[],#14234,#15595,688,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,,,,,['Kids'],
113,안녕 자두야,Hello Jadoo,,,['TV'],122,Finished Airing,"Jul 18, 2011 to Feb 1, 2016",['Summer 2011'],Not scheduled once per week,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,6.17,#8984,#16110,610,3,162,"Hello Jadoo is a South-Korean TV show about a girl named Choi Jadoo who is a very free-spirited girl. In every episode, she would always get into drama, whether it was with her parents or school. At the same time, she meets new people and she tries to solve problems occurring.",[],Annyeong Jadoo,Annyeong Jaduya,,['Comedy'],,['Kids'],
114,かよえ！チュー学,Kayoe! Chugaku,,,['TV'],425,Finished Airing,"Jun 6, 2011 to Mar 28, 2014",['Summer 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,,,1 min. per ep.,None,[],#19340,#16420,569,1,,Wada transfers from the Kansai region to the Toukai region in middle school. The story follows his new set of friends as their fivesome enjoy their everyday lives. All the characters' are names are based on Chunichi Dragons baseball team which is located in the Toukai region.,[],Kayoe! Chuugaku,Kayochu,,['Comedy'],['School'],,
115,ごはんかいじゅうパップ,,,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,"['Action', 'Comedy']",,30 sec.,G - All Ages,[],#18207,#16440,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,Rice Monster Pap,,,,['Kids'],
116,えほん寄席,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",5 min. per ep.,PG - Children,[],#17865,#17178,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,['Horror'],,['Kids'],
117,ズモモとヌペペ,,,,['TV'],32,Finished Airing,"Apr 3, 2012 to Feb 26, 2013",['Spring 2012'],Unknown,"None found,","None found,",['Egg'],Unknown,,,5 min. per ep.,PG - Children,[],#16425,#17274,479,2,,No synopsis has been added for this series yet. Click here to update this information.,[],Zumomo to Nupepe,,,['Comedy'],,,
118,パンパカパンツ,Panpaka Pantsu,,,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,15 sec. per ep.,G - All Ages,[],#20949,#17402,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,"Panpaka Panties, Panpaka Underwear",,['Comedy'],,['Kids'],
119,パンダのたぷたぷ,,,,['TV'],431,Finished Airing,"Apr 2, 2012 to Nov 29, 2013",['Spring 2012'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,,,30 sec. per ep.,G - All Ages,[],#20944,#17655,444,0,,"A short anime featuring the zodiac animals with a panda named Taputapu as the main character. Each episode is focuses on having a proverb, moral, or uplifting value.",[],Panda no Taputapu,,,,,['Kids'],
120,ぴっちぴち♪しずくちゃん,,,,['TV'],52,Finished Airing,"Oct 5, 2012 to Sep 27, 2013",['Fall 2012'],Fridays at 08:00 (JST),['Sotsu'],"None found,",['Asahi Production'],['Manga'],,,15 min. per ep.,PG - Children,[],#21026,#17658,446,0,,Third season of Pururun! Shizuku-chan.,"['Prequel (TV) Pururun! Shizuku-chan Aha', '']",Picchipichi Shizuku-chan,,,['Comedy'],,['Kids'],
121,ともだち8にん,,,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,1 min. per ep.,G - All Ages,[],#14954,#17776,437,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,,['Comedy'],,['Kids'],
122,パッコロリン,Pakkororin,,,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,1 min.,G - All Ages,[],#20938,#18311,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,,['Kids'],
123,パブー＆モジーズ,Paboo & Mojies,,,['TV'],52,Finished Airing,"Apr 2, 2012 to Mar 2, 2013",['Spring 2012'],Not scheduled once per week,"None found,",['Nelvana'],['Dongwoo A&E'],Original,,,11 min. per ep.,G - All Ages,[],#20932,#18527,380,0,,"Paboo is a fun loving and curious boy panda, and he and his group of larger-than-life friends explore and problem-solve in their quirky, imaginative and sometimes zany world! Each episode sees the Mojies (Japanese for letters of the alphabet) and Pappy (the Mojies book fairy of course!) help Paboo to discover the Magic Word and solve the problem of the day! (Source: Nelvana)",[],Paboo & Mojies,,,,,['Kids'],
124,リボンちゃん,,,,['TV'],24,Finished Airing,"Apr 4, 2012 to Mar 27, 2013",['Spring 2012'],Unknown,"None found,","None found,","None found,",Unknown,,,Unknown,None,[],#21366,#19008,345,0,,An anime short series inspired by soft drink company Sapporo Beverage's mascot character Ribbon-chan. The story center on the soda-loving young girl named Ribbon-chan and her pet dog Citron. Note: The series aired on Wednesdays during episodes of the Nori Suta Max television program. (Source: ANN),[],Ribbon-chan,,,['Comedy'],,,
125,안녕 토토비,,,,['TV'],104,Finished Airing,"Jul 20, 2011 to Sep 25, 2013",['Summer 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,20 min. per ep.,PG - Children,[],#16592,#19091,338,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Annyeong Totobi,"Hi Totobi, Hello Totobi",,,,['Kids'],
126,幻变精灵之蛋糕甜心,,,,['TV'],40,Finished Airing,"Nov 10, 2012 to Feb 18, 2013",['Fall 2012'],Unknown,"None found,","None found,",['Alpha Animation'],Original,"['Adventure', 'Comedy']",,24 min. per ep.,PG - Children,[],#18712,#20129,279,0,,"The Sweetsheart Kingdom is a magical world filled with various sweets and pastries, inhabited by animal people who are good patisseries and cooks experting on each dessert. The kingdom's only Princess, Mousse Bibi is soon going to ascend to the throne as the new Queen, however all she cared on her life is to taste various kinds of cakes and sweets. One day, Lyan, her royal adviser, set up a plan by making her suffer Aguesia. As she is shocked that she can no longer taste anything, he told her that the only way to cure her condition is to search for the legendary magic called Delicious Miracle. She immediately left the castle and venture outside, not knowing to her that Lyne is doing this to eradicate her. Upon her arrival at the town called Cake Village, she first met a denizen of the village named Mocha Dennis, who is very obsessed on his looks. Though the meeting between both him and Benetta is unsettling. She is also unaware that she possesses a hidden potential that would help her search for the legendary magic and be the key on changing the fate of the Sweetsheart Kingdom once and for all! (Source: Wikipedia)",[],Huan Bian Jingling: Dangao Tianxin,"Sweets Fairy, Magical Wizard Cake Fairy",,,,['Kids'],
127,ペンギンの問題POW,,,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Unknown,,,1 min. per ep.,G - All Ages,[],#21001,#21157,221,0,,Final Season of Penguin no Mondai.,"['Prequel (TV) Penguin no Mondai DX?', '']",Penguin no Mondai POW,,,,,['Kids'],
128,키즈 CSI 과학수사대,,,,['TV'],104,Finished Airing,"Jul 9, 2012 to Sep 15, 2014",['Summer 2012'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Mystery']",,23 min. per ep.,G - All Ages,[],#19414,#21371,208,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kijeu CSI,"Kijeu CSI Gwahagsusadae, Kids CSI",,,,['Kids'],
129,키오카,,,,['TV'],78,Finished Airing,"Jan 2, 2012 to Oct 16, 2013",['Winter 2012'],Unknown,"None found,","None found,","None found,",Unknown,,,8 min. per ep.,PG - Children,[],#19442,#22392,159,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kioka,,,,,['Kids'],
130,数学荒岛历险记3,,,,['TV'],40,Finished Airing,Nov 2011 to Dec 2013,['Fall 2011'],Unknown,"None found,","None found,","None found,",Unknown,,,15 min. per ep.,PG - Children,[],#14401,#22614,150,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shuxue Huang Dao Lixian Ji 2', 'Sequel (TV) Huang Dao Lixian Ji: Luo Ke He Biancheng Mao']",Shuxue Huang Dao Lixian Ji 3,,,,,['Kids'],
131,嵩山奇缘,,,,['TV'],26,Finished Airing,Feb 2012 to Oct 2013,['Winter 2012'],Unknown,"None found,","None found,","None found,",Original,,,17 min. per ep.,PG - Children,[],#14471,#22730,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Songshan Qi Yuan,,,,,['Kids'],
132,亿唐小故事,,,,['TV'],80,Finished Airing,Nov 2012 to Feb 2013,['Fall 2012'],Unknown,"None found,","None found,","None found,",Other,,,12 min. per ep.,PG - Children,[],#16040,#22984,137,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yi Tang Xiao Gushi,,,,['Historical'],['Kids'],
133,미술탐험대,Art Odyssey,,,['TV'],52,Finished Airing,"Aug 29, 2011 to Dec 12, 2013",['Summer 2011'],Unknown,['EBS'],"None found,",['Iconix Entertainment'],Original,,,11 min. per ep.,PG - Children,[],#20320,#23153,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Misultamheomdae,,,['Fantasy'],['Mahou Shoujo'],['Kids'],
134,폴리와 함께하는 교통안전 이야기,,,,['TV'],26,Finished Airing,"Nov 14, 2011 to May 31, 2013",['Fall 2011'],Unknown,"None found,","None found,","None found,",Original,,"['Educational', 'Racing']",5 min. per ep.,PG - Children,[],#21084,#23290,128,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Poli wa Hamkkehaneun Gyotonganjeon Iyagi,,,['Comedy'],,['Kids'],
135,玉骐麟之仙灵奇域,,,,['TV'],52,Finished Airing,Jul 2011 to Jul 2013,['Summer 2011'],Unknown,"None found,","None found,","None found,",Original,,,10 min. per ep.,PG - Children,[],#16137,#23381,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Yu Qi Lin: Xian Ling Qi Yu,,,,['Anthropomorphic'],['Kids'],
136,东南特卫队,,,,['TV'],52,Finished Airing,May 2012 to May 2013,['Spring 2012'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,14 min. per ep.,PG - Children,[],#17706,#23711,118,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dongnan Te Weidui,,,,,['Kids'],
137,少年师爷之仁善行天下,,,,['TV'],26,Finished Airing,Sep 2012 to Mar 2013,['Fall 2012'],Unknown,"None found,","None found,","None found,",Original,,,14 min. per ep.,PG - Children,[],#14067,#23826,115,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Xiayi Huanle Xing', 'Sequel (TV) Shaonian Shiye: Xinyi Xiao Xiake']",Shaonian Shiye: Ren Shanxing Tianxia,,,,['Historical'],['Kids'],
138,参娃与天池怪兽,,,,['TV'],78,Finished Airing,Sep 2012 to Oct 2014,['Fall 2012'],Unknown,"None found,","None found,","None found,",Original,,,13 min. per ep.,PG - Children,[],#17120,#24151,109,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Can Wa Yu Tianchi Guaishou,,,['Fantasy'],,['Kids'],
139,おべとも学園,,,,['TV'],200,Finished Airing,Apr 2008 to Mar 2013,['Spring 2008'],Unknown,['NHK'],"None found,","None found,",Original,,,2 min. per ep.,G - All Ages,[],#20772,#24042,111,0,,A series by Japanese illustrator Obetomo which aired on NHK's Shakin! program.,[],Obetomo Gakuen,,,['Slice of Life'],['School'],,
140,特工兔之新的冒险,,,,['TV'],20,Finished Airing,Oct 2012 to Mar 2013,['Fall 2012'],Unknown,"None found,","None found,","None found,",Unknown,,,14 min. per ep.,PG - Children,[],#14792,#24215,107,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Tegong Tu: Shenmi De Wangzhan', '']",Tegong Tu: Xin De Maoxian,,,['Fantasy'],['Anthropomorphic'],['Kids'],
141,ヘタリア The Beautiful World,Hetalia: The Beautiful World,,,['ONA'],20,Finished Airing,"Jan 25, 2013 to Jun 21, 2013",,,['Frontier Works'],['Funimation'],['Studio Deen'],['Web manga'],,"['Anthropomorphic', 'Gag Humor', 'Historical', 'Parody']",5 min. per ep.,PG-13 - Teens 13 or older,7.41,#2306,#2705,"72,998",567,35166,"Few people wonder what occurs between warring nations when they are not fighting each other. In Hetalia, the countries find themselves outside of their usual setting: working together in a school newspaper club, reminiscing about former historical figures, and searching for Santa Claus? With the potential for comedic calamity always around the corner, there is no predicting what exactly these adventures entail! [Written by MAL Rewrite]","['Prequel (ONA) Hetalia World Series', 'Sequel (ONA) Hetalia: The World Twinkle', 'Adaptation (Manga) Hetalia Axis Powers', '']",Hetalia: The Beautiful World,,,['Comedy'],,,
