,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,German,Spanish,Genre,Demographics
16,EDENsBOwY,エデンズ　ボゥイ,,,['TV'],26,Finished Airing,"Apr 6, 1999 to Sep 24, 1999",['Spring 1999'],Tuesdays at 18:00 (JST),"['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['ADV Films'],['Studio Deen'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.45,#7376,#7603,"7,461",7,2923,"Yorn gazes up at two massive cities floating in the sky and dreams of discovering their mysteries. Without warning, those mysteries come looking for him. Edenic assassins murder his father and Yorn is next on the hit list. A nameless old man and a mysterious young girl help Yorn on his quest to find his long-lost mother and the truth. Known as the God Hunter, Yorn leads a race against the dark designs of the technological overlords.","[""Adaptation (Manga) Eden's Bowy"", '']",Eden's Bowy,,,,,
17,,神八剣伝,,,['TV'],26,Finished Airing,"Apr 3, 1999 to Sep 25, 1999",['Spring 1999'],Unknown,['TV Tokyo'],"None found,",['Public & Basic'],Original,"['Action', 'Adventure', 'Sci-Fi']",['Martial Arts'],,24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3547,#7723,"7,195",24,2620,"Based on the long cherished, classic Japanese novel Nanso Satomi Hakkenden by Bakin Kyokutei Takizawa (1767), a modified version of it was made into animation. Taking place in the future, during this time wars were occuring in heaven, mostly for possession between the eight moons created by the savior Fuse that surrounded God's land. When the war ended, there was only one ruling family - that of the Oowaris, and the remaining son gained control of all the moons of heaven, except for one. Meiten, the moon of the pope, where people refrained from war and were therefore out of it's terms. Eight people. Each from one of the eight moons. Each possessing one of the jewels - the elements that compose Earth. They are those who are destined to become saviors of humanity. All of them have sacrificed for these jewels, and are determined to complete their duty to Queen Fuse who entrusted these to them. When the mad emperor Kai threatens to revive a ghost who wants to prevent the restoration of Earth, these eight must battle using the powers given by their jewels in order to create Earth and defeat those who want to prevent it. So they all go to Kusanagi, the ship in the center of God's land. They must gather the jewels in the key called Yatsufusa at Kusanagi's center, in order to create Earth. (Source: AniDB)",[],Shin Hakkenden,,,,,
18,Starship Girl Yamamoto Yohko (TV),それゆけ!宇宙戦艦　ヤマモト・ヨーコ,,,['TV'],26,Finished Airing,"Apr 4, 1999 to Sep 26, 1999",['Spring 1999'],Sundays at 09:30 (JST),['Kadokawa Shoten'],"None found,",['J.C.Staff'],Novel,"['Action', 'Adventure', 'Sci-Fi']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.55,#6768,#8111,"6,369",8,1382,"In the year 2999: humanity is split into two factions, Terra and Ness, in a war fought by starships. One of the foremost of the pilots is the cocky teenager Yamamoto Yohko, and during one of her missions, she and her crew are sucked into a temporal anomaly (a la Star Trek) that sends her back to our time. Amnesiac, she only thinks of herself as a typical high school student - until a course of events sends her back to her ship the TA-29, with her newfound friends fighting at her side in a war that looks suspiciously like an arcade game (complete with 100 yen ignition costs!). (Source: AniDB)","['Adaptation (Manga) Soreyuke! Uchuu Senkan Yamamoto Youko', '']",Soreyuke! Uchuu Senkan Yamamoto Youko (1999),,,,,
19,"Masou Kishin Psybuster, Psybuster",魔装機神サイバスター,Cybuster,,['TV'],26,Finished Airing,"May 3, 1999 to Oct 25, 1999",['Spring 1999'],Mondays at 18:30 (JST),"['TV Tokyo', 'Bandai Visual', 'Nihon Ad Systems', 'Omnibus Promotion']","['Discotek Media', 'Geneon Entertainment USA']",['Ashi Productions'],Game,"['Action', 'Adventure', 'Sci-Fi']",['Mecha'],,24 min. per ep.,PG-13 - Teens 13 or older,6.06,#9614,#9538,"4,104",2,1325,"In an enviromentally wrecked future Tokyo, a young man named Ken Ando joins an organization called DC. Little does he realize that his fate and that of Earth will be linked to a mysterious mecha from another world. (Source: ANN)",[],Masou Kishin Cybuster,,,,,
20,Drill for Princess,D4 プリンセス,,,['TV'],24,Finished Airing,"Apr 6, 1999 to Sep 28, 1999",['Spring 1999'],Unknown,['Pony Canyon'],"None found,",['Daume'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']",['Mecha'],,8 min. per ep.,PG-13 - Teens 13 or older,6.10,#9407,#9626,"3,992",4,1343,"Doris Ruridou is young princess who had just entered Teito Academy. She is also a Panzer, a person with special abilities and fights with a weapon called a ""tool"". Shortly after entering, her older sister shows up to teach her how to fight as a Panzer against other Panzers who challenge her. (Source: ANN)","['Adaptation (Manga) D4 Princess', '']",D4 Princess,,,,,
21,BuBu ChaCha,ぶぶチャチャ,,,['TV'],26,Finished Airing,"Apr 29, 1999 to Nov 25, 1999",['Spring 1999'],Thursdays at 18:00 (JST),"None found,","None found,",['Daume'],Original,"['Comedy', 'Slice of Life']",['Pets'],,20 min. per ep.,G - All Ages,6.63,#6323,#13634,"1,189",2,456,"Bubu Chacha is about a dog who died due to a fateful accident and was resurrected as a toy car. Together, he and Randy learn many new things about the world and about friendship that never dies.","['Sequel (TV) Daisuki! BuBu ChaCha', '']",Norimono Oukoku BuBu ChaCha,,,,,
22,"Nihon-ichi no Otoko no Tamashii 2, Most Spirited Man in Japan 2",日本一の男の魂２,,,['TV'],16,Finished Airing,"May 4, 1999 to May 28, 1999",['Spring 1999'],Unknown,"None found,","None found,",['Studio Deen'],Unknown,"['Comedy', 'Romance']",,,6 min. per ep.,R+ - Mild Nudity,5.95,#10139,#14348,982,0,182,Sequel of Nippon-ichi no Otoko no Tamashii.,"['Prequel (TV) Nippon-ichi no Otoko no Tamashii', '']",Nippon-ichi no Otoko no Tamashii 2,,,,,
23,,イソップ・ワールド,,,['TV'],26,Finished Airing,"Apr 5, 1999 to Dec 31, 1999",['Spring 1999'],Mondays at 18:30 (JST),"None found,","None found,",['Sunrise'],Original,,,['Kids'],11 min. per ep.,G - All Ages,5.76,#11093,#15334,735,1,199,"Three kids living in the Watermill Village were planning a picnic in the mountains. Of course Pico, a young hamster kid wanted to go to the mountain peak with her friends Tocho and Fufu. The three of them fall in a hidden lake beneath the mountains and discovered a giant fish named Aesop floating. The knew that the fish wanted to fly again, in order to do that, they must collect mystical scales all across the world. Because of this, they start their search for the mystical scales in order for Aesop's dream to come true. (Source:ANN)",[],Aesop's World,,,,['Adventure'],
24,Susie-chan & Marvy,スージーちゃんとマービー,Little Susie and Marvy,,['TV'],104,Finished Airing,"Apr 5, 1999 to Feb 3, 2000",['Spring 1999'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],Unknown,,,['Kids'],15 min. per ep.,None,[],#14650,#17685,445,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Susie-chan to Marvy,,,,['Comedy'],
25,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",やんちゃるモンちゃ,,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,['Kids'],1 min. per ep.,PG - Children,[],#15991,#18999,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,,,
26,Moopon,ムーぽん,,,['TV'],52,Finished Airing,"Apr 3, 1999 to Mar 25, 2000",['Spring 1999'],Sundays at Unknown,"None found,","None found,","None found,",Unknown,,,['Kids'],55 sec. per ep.,PG - Children,[],#20502,#24739,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Muupon 2nd Season', '']",Muupon,,,,['Comedy'],
27,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",ポケットモンスター,Pokémon,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,563",411340,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,,Pokémon,Pokémon,,
28,"CCS, Cardcaptors, Card Captor Sakura",カードキャプターさくら,Cardcaptor Sakura,,['TV'],70,Finished Airing,"Apr 7, 1998 to Mar 21, 2000",['Spring 1998'],Tuesdays at 18:00 (JST),"['NHK', 'Kodansha', 'Sogo Vision']","['Nelvana', 'NIS America, Inc.', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Romance']",,['Shoujo'],25 min. per ep.,PG - Children,8.17,#443,#531,"454,355","14,101",226693,"Ten-year-old Sakura Kinomoto is an ordinary fourth-grade student living in Tomoeda until, one day, she stumbles upon a mysterious book of cards titled ""The Clow."" Pondering over her discovery, she unintentionally causes a magical gust of wind to scatter the cards all over town. The accident awakens the Beast of the Seal—Keroberos, nicknamed ""Kero""—who tells Sakura that she has released the mystical ""Clow Cards"" created by the sorcerer Clow Reed. Due to each Card's ability to act independently and their incredible power, Clow had sealed them away. Now that they have been set free, the Cards pose great danger to the world, and it is up to Sakura to put an end to them. Appointing Sakura as the ""Cardcaptor"" and granting her the Sealed Key, Kero tasks her with finding and recapturing all the Clow Cards. Alongside her best friend Tomoyo Daidouji, and with Kero's guidance, Sakura must learn to balance her new secret duty with the everyday troubles as she takes flight on her magical adventures as Cardcaptor Sakura. [Written by MAL Rewrite]","['Sequel (Movie) Cardcaptor Sakura Movie 2: Fuuin Sareta Card', 'Sequel (OVA) Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma', 'Adaptation (Manga) Cardcaptor Sakura Read Manga', '']",Cardcaptor Sakura,"['Mahou Shoujo', 'School']",,,,
