,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Spanish,Demographics
10,,ストロベリー・パニック,Strawberry Panic,,,['TV'],26,Finished Airing,"Apr 4, 2006 to Sep 26, 2006",['Spring 2006'],Tuesdays at 02:45 (JST),"['Lantis', 'Dwango']",['Media Blasters'],['Madhouse'],Other,"['Drama', 'Girls Love']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.26,#3063,#1654,"149,031","1,888",60020,"Nagisa Aoi begins her new school life as a transfer student at St. Miator’s Girls Academy, one of three prestigious all-girls institutions atop Astraea Hill. Getting lost on her first day, Nagisa encounters a mysterious student whose elegance and charm is so bewitching, she ends up in the infirmary. There to greet her when she awakens is Tamao Suzumi, her roommate, who enthusiastically introduces Nagisa to the daily life and social structure on campus. Most notably, Tamao informs her of the existence of an exceptional student representative among all three schools—the Etoile, or ""star."" Eager to meet this person, Nagisa learns that the ethereal beauty she met earlier, Shizuma Hanazono, is the one and only Etoile herself! Not only that, Shizuma seems openly interested in Nagisa! Her interactions with Shizuma naturally make her a hot topic on campus; yet despite being so captivated, Nagisa can’t help but wonder if something is off. Strawberry Panic! follows the everyday routines of Nagisa, Shizuma, and her friends at St. Miator’s, St. Spica, and St. Lulim as they navigate through the challenge of relationships while confronting hidden feelings, lingering regrets, and new possibilities. [Written by MAL Rewrite]","['Adaptation (Manga) Strawberry Panic', 'Adaptation (Light Novel) Strawberry Panic']",Strawberry Panic,,['School'],,
11,,ウィッチブレイド,Witchblade,,,['TV'],24,Finished Airing,"Apr 6, 2006 to Sep 21, 2006",['Spring 2006'],Thursdays at 01:45 (JST),"['GDH', 'SKY Perfect Well Think', 'Sotsu Music Publishing', 'Future Vision Music']",['Funimation'],['Gonzo'],Other,"['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Super Power']",,24 min. per ep.,R - 17+ (violence & profanity),7.20,#3387,#1937,"120,667",582,49017,"Masane Amaha and her daughter Rihoko are on the run from a government child welfare agency that wants to take Rihoko away from her mother. They are caught and Rihoko is taken away. Meanwhile, Masane is attacked by an advanced weapon that can disguise itself as a human being. When faced with the danger, a strange light emits from her wrist and she transforms into a powerful being. She destroys the weapon and consequently becomes involved in a power struggle between powerful organizations, with her at the center of their attention. Because she holds the greatest power of them all, the legendary Witchblade. (Source: AniDB)","['Adaptation (Manga) Witchblade Takeru', '']",Witchblade,,,,
12,"Tsubasa Chronicles - Second Season, Tsubasa: RESERVoir CHRoNiCLE",ツバサ・クロニクル 第2シリーズ,Tsubasa RESERVoir CHRoNiCLE Season Two,Tsubasa CHRoNiCLE Staffel 2,Tsubasa CHRoNiCLE Saison 2,['TV'],26,Finished Airing,"Apr 29, 2006 to Nov 4, 2006",['Spring 2006'],Saturdays at 18:25 (JST),['NHK'],['Funimation'],['Bee Train'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.57,#1677,#1941,"120,477",401,60317,"Syaoran, Sakura, Kurogane, Fai and Mokona's journey through to different world's continue as they search for Sakura's feathers. The fated journey slowly becomes more complicated for our travelers, as they find themselves diving deeper into more dangerous worlds.","['Prequel (TV) Tsubasa Chronicle', 'Adaptation (Manga) Tsubasa: RESERVoir CHRoNiCLE Read Manga']",Tsubasa Chronicle 2nd Season,,,,
13,"The Tale of Saiun Country, Story of the Land of Many-Colored Clouds, Kokumono, Saimono, ColourCloud Palace",彩雲国物語,The Story of Saiunkoku,,,['TV'],39,Finished Airing,"Apr 8, 2006 to Feb 24, 2007",['Spring 2006'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],['Light novel'],"['Adventure', 'Fantasy', 'Romance']","['Historical', 'Reverse Harem']",['Shoujo'],25 min. per ep.,PG-13 - Teens 13 or older,7.87,#885,#2212,"100,697","1,163",36161,"Shuurei Kou, the daughter of a noble yet impoverished family, is a clever young lady who dreams of becoming a government official and contributing toward her country. However, her dream is out of her reach as such a position is forbidden to women. While her father works a low wage job as an archivist at the palace, Shuurei has to juggle odd jobs to make ends meet. Then, one day, an unexpected visit changes her life. Shuurei is called to assist Ryuuki Shi, the new emperor who is known for slacking on his duties and preferring the company of men. Tempted by the generous compensation, she readily accepts the chance to become the young emperor's consort for six months. Luckily, she is not alone as Seiran Shi, her trusty friend, joins her as Ryuuki's bodyguard. While tasked with transforming the new emperor into a responsible ruler, court life and politics prove troublesome as Shuurei faces the challenges of her new life. Set in a fictional country, Saiunkoku Monogatari centers on the idea of meaningful leadership, its adversities and the rewards that come alongside a prospering nation. [Written by MAL Rewrite]","['Sequel (TV) Saiunkoku Monogatari 2nd Season', 'Adaptation (Manga) Saiunkoku Monogatari', 'Adaptation (Light Novel) Saiunkoku Monogatari', '']",Saiunkoku Monogatari,,,,
14,,デジモンセイバーズ,Digimon Data Squad,Digimon Data Squad,,['TV'],48,Finished Airing,"Apr 2, 2006 to Mar 25, 2007",['Spring 2006'],Sundays at 09:00 (JST),['Fuji TV'],['Flatiron Film Company'],['Toei Animation'],Original,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",,,23 min. per ep.,PG - Children,6.96,#4548,#2348,"91,521",332,53431,"Upon meeting for the first time, undefeated street fighter Masaru Daimon and renegade Digimon Agumon become friends in the most natural way possible for the knuckleheaded duo—by fighting their hearts out. The self-proclaimed ""ultimate team"" are recruited by a secret government organization called the Digital Accident Tactics Squad, or DATS, who had witnessed the unbelievable spectacle of a human fighting blow for blow with a Digimon. Their primary objective is investigating mysterious problems caused by Digimon entering the real world, and the world is currently in the midst of a crisis with Digimon appearing at an unprecedented rate. Embarking on various missions with DATS, Masaru and Agumon become colleagues with adolescent genius Touma Norstein and his Digimon partner Gaomon, along with the kind-hearted Yoshino ""Yoshi"" Fujieda and her Digimon partner Lalamon. As the group continues to investigate the rapid increase of Digimon in their world, a darker truth begins to surface. [Written by MAL Rewrite]",[],Digimon Savers,,,Digimon 5 Data Squad,
15,Aria 2,ARIA The NATURAL,Aria the Natural,,,['TV'],26,Finished Airing,"Apr 3, 2006 to Sep 25, 2006",['Spring 2006'],Mondays at 01:00 (JST),"['TV Tokyo', 'Shochiku', 'Mag Garden']",['Nozomi Entertainment'],['HAL Film Maker'],['Manga'],"['Fantasy', 'Sci-Fi', 'Slice of Life']",,['Shounen'],24 min. per ep.,G - All Ages,8.16,#450,#2510,"82,122",819,30970,"Akari Mizunashi continues her training to become a Prima Undine (a professional tour guide gondolier) along with her friends Aika and Alice in the peaceful city of Neo Venezia. Despite the fact that these three girls are from competing companies, they are constantly together, learning more about how to become better tour guides and more about the mysteries of Neo Venezia. As the group continues to meet interesting and unforgettable people through their daily routines, they will also come closer to the secrets that make the enigmatic and ever beautiful city of Neo Venezia so warm and alive. Welcome back to Neo Venezia: the city where miracles can be created by hand. [Written by MAL Rewrite]","['Prequel (TV) Aria the Animation', 'Sequel (OVA) Aria the OVA: Arietta', 'Adaptation (Manga) Aria', '']",Aria the Natural,,['Iyashikei'],,
16,Fang,牙-KIBA-,Kiba,,,['TV'],51,Finished Airing,"Apr 2, 2006 to Mar 25, 2007",['Spring 2006'],Sundays at 08:30 (JST),"['Aniplex', 'Ashi Productions', 'Sony Music Entertainment']","['ADV Films', 'Sentai Filmworks']",['Madhouse'],Original,"['Action', 'Adventure', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.28,#2943,#2544,"80,715",449,33965,"In a dystopian future, two friends dream of freedom... and gain more than they bargain for! Hothead Zed is on the run from the authorities, while his brainy pal Noah struggles with his own battered body. Both find a magical world that seems to offer escape and power undreamed of. Join Zed and his powerful, rebellious spirit Amir Gaul on their search for the ultimate power. It's a force that can save the world—or destroy life as we know it. This is the world of KIBA! Where you must harness the power within and fight with all you got! (Source: RightStuf)",[],Kiba,,['Isekai'],,
17,,.hack//Roots,.hack//Roots,,,['TV'],26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006",['Spring 2006'],Thursdays at 01:30 (JST),"['TV Tokyo', 'Bandai Visual', 'CyberConnect2']","['Funimation', 'Bandai Entertainment']",['Bee Train'],Original,"['Adventure', 'Drama', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.85,#5102,#2630,"76,097",234,36010,"After the termination of the incredibly popular virtual reality MMORPG ""The World,"" a new version of the game—The World R:2—is brought online. On his first day in the game, newcomer Haseo thinks he has made some friends to quest with. However, as if mocking his sentiments, they kill his character just for fun. Luckily, he is saved by a mysterious, one-armed player named Ovan who offers to show him around The World. Alongside Ovan and his cleric friend Shino, Haseo enjoys a wonderful first year in the game. But this peaceful life is shattered when Shino's character is killed by a familiar figure notoriously known as Tri-Edge, whose victims have all fallen into comas in the real world. In a fit of rage, Haseo vows to find the elusive Tri-Edge and kill him. Taking place during Haseo's first year in The World, .hack//Roots explores the friendships Haseo built in the game before Tri-Edge ripped them away. [Written by MAL Rewrite]","['Prequel (TV) .hack//Sign', 'Prequel (TV) .hack//Tasogare no Udewa Densetsu', 'Sequel (Movie) .hack//G.U. Trilogy', '']",.hack//Roots,,['Video Game'],,
18,"Juuousei, Jyu Oh Sei",獣王星,Jyu-Oh-Sei: Planet of the Beast King,Planet of the Beast King,,['TV'],11,Finished Airing,"Apr 14, 2006 to Jun 23, 2006",['Spring 2006'],Fridays at 00:45 (JST),"['Dentsu', 'SKY Perfect Well Think', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']",['Funimation'],['Bones'],['Manga'],"['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi']",,['Shoujo'],22 min. per ep.,R - 17+ (violence & profanity),7.18,#3448,#2645,"75,498",373,33226,"After the murder of their parents, 11-year-old twin brothers Thor and Rai Klein are sent away from their home planet. They find themselves awakening on the terraformed planet of Chimaera, where carnivorous plants dominate and the few humans who live there are divided into four groups known as ""Rings."" Soon after, they meet a young man by the name of Zagi, and the twins learn that only the ""Jyu Oh Sei""—the one who conquers these four Rings—is allowed to leave the planet. Driven by the desire to return home and discover the truth behind the death of his parents, Thor resolves to survive in the harsh, merciless environment of Chimaera. However, he quickly learns there is more than meets the eye in this strange ecosystem. As Thor is swept up in the politics that entangle the Rings, he uncovers more about his parents' murder, and ultimately, humanity's fate as a whole. [Written by MAL Rewrite]","['Adaptation (Manga) Juu Ou Sei', '']",Juu Ou Sei,,,,
19,Dog Gods!,いぬかみっ!,,,,['TV'],26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006",['Spring 2006'],Unknown,"['Starchild Records', 'Yomiko Advertising', 'ASCII Media Works']",['Discotek Media'],['Seven Arcs'],['Light novel'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3346,#2744,"71,262",202,29455,"Kawahira Keita is a descendant of a historic Inukami tamer family; however, because he lacked in its ability, he was forsaken by the family. One day, an Inukami named Youko came. She looked graceful, obedient, above all, beautiful. Soon he contracted with her, and she paid homage to him. However, she was a problematic Inukami that no one had been able to control. This is a slap stick comedy of an Inukami Tamer, Keita and an Inukami, Youko. Keita is a man of worldly passions, and he likes money and girls very much. On the other hand, Youko likes to destroy things and is very jealous. (Source: AnimeNfo)","['Adaptation (Manga) Inukami!', 'Adaptation (Light Novel) Inukami!']",Inukami!,,,,
20,Boy's Love Scramble,学園ヘヴン,Gakuen Heaven,,,['TV'],13,Finished Airing,"Apr 1, 2006 to Jun 24, 2006",['Spring 2006'],Unknown,"['Visual Arts', 'Geneon Entertainment']",['Media Blasters'],['Tokyo Kids'],Visual novel,"['Boys Love', 'Comedy', 'Drama']","['Reverse Harem', 'School']",,26 min. per ep.,PG-13 - Teens 13 or older,6.44,#7455,#2771,"69,820",169,32562,"Itou Keita, an average guy, is shocked when he's invited to attend the elite institution, ""Bell Liberty Academy."" Unnerved by the mystery, he's further distracted by the school's social dynamics. In a sea of amazing young men, Keita struggles to find out what makes him unique, and how he can possibly deserve to be treated as an equal by the boys of BL. Lacking any particular ability, just why has Itou been welcomed into the privileged world of the talented and the beautiful? Along the way, he develops intense relationships with the almost everyone at school but he is terribly drawn to the friendly, over-caring but very mysterious classmate, Kazuki Endou.","['Adaptation (Manga) Gakuen Heaven: Endou-hen - Calling You', '']",Gakuen Heaven,,,,
21,Ah! My Goddess: Sorezore no Tsubasa,ああっ女神さまっ　それぞれの翼,Ah! My Goddess: Flights of Fancy,,Ah My Goddess Saison 2,['TV'],22,Finished Airing,"Apr 7, 2006 to Sep 15, 2006",['Spring 2006'],Fridays at 01:55 (JST),"['TBS', 'Kodansha', 'Imagine']","['ADV Films', 'Funimation', 'NYAV Post']",['AIC'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.54,#1815,#2795,"69,007",166,36351,"One year after goddess Belldandy emerged from Keiichi Morisato's mirror and promised to stay with him forever, a new threat to their happiness emerges, one that could end the contract between Belldandy and Keiichi.","['Prequel (TV) Aa! Megami-sama! (TV)', 'Sequel (Special) Aa! Megami-sama! Sorezore no Tsubasa Specials', 'Adaptation (Manga) Aa! Megami-sama!', '']",Aa! Megami-sama! Sorezore no Tsubasa,,['Harem'],,
