,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genres,Synonyms,Theme,Spanish,Demographics
47,機巧奇傳　ヒヲウ戦記,Hiwou War Chronicles,,['TV'],26,Finished Airing,"Oct 24, 2000 to May 1, 2001",['Fall 2000'],Tuesdays at 18:30 (JST),"['VAP', 'BeSTACK', 'Victor Entertainment', 'NHK Enterprises']",['Bandai Entertainment'],['Bones'],Original,,"['Historical', 'Mecha']",,25 min. per ep.,PG-13 - Teens 13 or older,6.67,#6056,#10919,"2,693",3,955,"8 years ago, Western Civilization visited 19th century Japan. Mechanized dolls and new steam-powered creations began spreading throughout the country. The Wind Gang is a group of doll and steam users who believe in using their creations to violently bring about a new Industrial Era. They attack and destroy the peaceful village of a young doll user named Hiwou one day. Hiwou and his friends escape with a giant doll named Homura. Hiwou now wants to find his father, so that he can help defeat the Wind Gang, and bring peace back to Japan. (Source: ANN)","['Adaptation (Manga) Karakuri Kiden: Hiwou Senki', '']",Karakuri Kiden: Hiwou Senki,,"['Action', 'Adventure']","Clockwork Fighters: Hiwou's War, Hiwou's Windup Dolls Military Commentaries",,,
48,おじゃる丸,Prince Mackaroo,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,,,['Kids'],10 min.,G - All Ages,6.39,#7745,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,,,
49,無敵王トライゼノン,Invincible King Tri-Zenon,,['TV'],22,Finished Airing,"Oct 14, 2000 to Mar 17, 2001",['Fall 2000'],Saturdays at 17:30 (JST),"None found,","None found,",['E&G Films'],Original,['Sci-Fi'],,,25 min. per ep.,G - All Ages,6.21,#8783,#11610,"2,195",1,697,"During the Edo Period, 3 mysterious space capsules were sent down to earth. Fear that it might bring chaos to the earth, the humans at that time buried these 3 objects down beneath the ground and entrusted a piece of descriptive map to the Kamui family. Today, these 3 objects were awaken one by one. The first to awaken, Tri-Zenon, one of the Zenon Guardians is now driven by the descendant of the Kamui family, Akira Kamui, his brother Ai Kamui and his friend Kanna. Aliens who descend to earth with a purpose will now have to face Tri-Zenon.",[],Mutekiou Tri-Zenon,,,"TriZenon, Invincible Champion Tri-Zenon, Muteki Ou Tri-Zenon, Mutekioh Tri-Zenon",['Mecha'],,
50,グレゴリーホラーショー - The Last Train,,,['TV'],26,Finished Airing,"Oct 7, 2000 to Mar 31, 2001",['Fall 2000'],Fridays at 23:54 (JST),"['VAP', 'TV Asahi']",['Geneon Entertainment USA'],['Milky Cartoon'],Original,,"['Mythology', 'Vampire']",,3 min. per ep.,None,6.30,#8250,#12045,"1,925",6,859,"The third series, The Last Train is set with 26 stories during a bizarre train ride that Gregory embarks upon. (Source: AniDB)","['Prequel (TV) Gregory Horror Show: The Second Guest', '']",Gregory Horror Show: The Last Train,,"['Comedy', 'Horror', 'Mystery', 'Supernatural']",,,,
51,ニャニがニャンだー ニャンダーかめん,,,['TV'],83,Finished Airing,"Feb 6, 2000 to Sep 30, 2001",['Winter 2000'],Sundays at 07:00 (JST),"['Nagoya Broadcasting Network', 'Tokyu Agency']","None found,",['Sunrise'],Picture book,['Comedy'],,['Kids'],25 min. per ep.,PG - Children,6.85,#5076,#12777,"1,510",9,715,"One day a normal cat boy got a power to transform into a super ""kamen cat."" Whenever he heard people saying ""help"" he would dash right over there and help them fight against enemies.",[],Nyani ga Nyandaa Nyandaa Kamen,,,Mighty Cat Masked Niyander,,,
52,트랙시티,Track City,,['TV'],26,Finished Airing,"Jan 5, 2000 to May 30, 2002",['Winter 2000'],Unknown,"None found,","None found,",['SBS TV Production'],Unknown,['Action'],,,24 min. per ep.,PG - Children,5.94,#10244,#12843,"1,484",1,546,"Jimmy was a typical boy who liked to play computer games. One day he was playing a game called 'Track City' when suddenly he got transported into the game world! Once he regained consciousness, a woman who apparently is the mayoress of the city explains to him that the world is threaten by a powerful malign virus and her allies and their only hope is to ask for the help of the ""Legendary racer"", the best player of 'Track City"". Things get complicated when Jimmy learns that the game made a mistake and confused him with the Legendary racer! Will Jimmy learn the necessary skills to defeat the viruses that threaten the world? Or will he be erased by the 'big head', the heavenly punisher that annihilates those who cannot achieve victory?",[],Track City,,,,['Racing'],,
53,しましまとらのしまじろう,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,,,['Kids'],23 min. per ep.,G - All Ages,5.92,#10325,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,"['Adventure', 'Comedy', 'Fantasy']",,['Anthropomorphic'],,
54,うちゅう人田中太郎,Taro the Space Alien,,['TV'],24,Finished Airing,"Apr 17, 2000 to Mar 26, 2001",['Spring 2000'],Unknown,['Shogakukan Productions'],['VIZ Media'],['Studio Hibari'],['Manga'],['Comedy'],,['Kids'],20 min. per ep.,G - All Ages,6.05,#9655,#13489,"1,238",2,488,"Takashi Horimachi is an ordinary curious fifth grader attending ""Anytown"" Elementary School. One day, a very unusual transfer student named Tarou Tanaka joins Takashi's class. Takashi and his classmates have never encountered anyone quite like Taro before. He is blue, has huge glowing eyes, pointy ears, a smooth bald head and one horn. Takashi, obsessed with trying to figure out this strange new visitor, attempts to track Tarou's every move; and in the process he continuously falls victim to Tarou's hilarious assortment of cosmic jokes and traps. (Source: ANN)","['Adaptation (Manga) Uchuujin Tanaka Tarou', '']",Uchuujin Tanaka Tarou,,,,['School'],,
55,親子クラブ,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,,,,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,"['Comedy', 'Slice of Life']",,,,
56,ハムスター倶楽部,,,['TV'],130,Finished Airing,"Oct 2, 2000 to Mar 30, 2001",['Fall 2000'],Unknown,['TV Tokyo'],"None found,",['Vega Entertainment'],Unknown,,,['Kids'],5 min. per ep.,G - All Ages,6.49,#7162,#13597,"1,201",2,274,Hamster daily life.,"['Adaptation (Manga) Hamster Club', '']",Hamster Club,,,,['Pets'],,
57,週刊ストーリーランド,,,['TV'],56,Finished Airing,"Oct 14, 1999 to Sep 13, 2001",['Fall 1999'],Thursdays at 20:00 (JST),['Nippon Television Network'],"None found,","['Nippon Animation', 'VAP', 'Satelight', 'Shin-Ei Animation', 'Tokyo Movie']",Original,,,['Seinen'],25 min. per ep.,PG-13 - Teens 13 or older,6.49,#7131,#13970,"1,086",0,158,"This was an anthology program containing several different anime each week along with some non-animated segments. Several of the animated films were short series including: Nazo no Rouba [謎の老婆] (tvss), Meibugyou Bun-san [名奉行・文さん], Jo Keibu Jinguuji Youko [女警部・神宮寺葉子], Remon Suzumori's Soudanjo [鈴森なんでも相談所]. (Source: animated-divots.net)",[],Shuukan Storyland,,"['Comedy', 'Drama', 'Slice of Life']","Weekly! Story Land, Shuukan! Story Land",,,
58,ビックリマン2000,,,['TV'],68,Finished Airing,"Nov 1, 1999 to Feb 22, 2001",['Fall 1999'],Mondays at 18:30 (JST),['Studio Comet'],"None found,","None found,",Unknown,,,['Kids'],24 min. per ep.,G - All Ages,5.93,#10269,#14368,974,0,400,More adventures of Bikkuriman.,"['Prequel (TV) Super Bikkuriman', 'Sequel (TV) Happy☆Lucky Bikkuriman']",Bikkuriman 2000,,"['Adventure', 'Fantasy']",,,,
59,蓝猫淘气3000问,3000 Whys Of Blue Cat,,['TV'],3057,Finished Airing,"Oct 8, 1999 to Aug 2001",['Fall 1999'],Not scheduled once per week,['Beijing Sunchime Happy Culture Company'],"None found,","None found,",Original,,,,11 min. per ep.,PG - Children,6.05,#9678,#14603,918,0,228,"Adventures include going into deep sea and accompanying dinosaurs. The shows are mainly based on science or science fiction. It has been popular in China, one reason might be the fact that many of the Chinese youth have been sending questions to the studio, and the studio answers them with one of Lan Mao's adventures. Lan Mao is sometimes impulsive, and in the end gets nothing but trouble. (Source: Wikipedia)",[],Lan Mao,,"['Adventure', 'Comedy']",,,,
60,ベイビーフィリックス,Baby Felix,,['TV'],65,Finished Airing,"Oct 8, 2000 to Jun 29, 2001",['Fall 2000'],Sundays at 17:50 (JST),['NHK'],"None found,",['Radix'],Unknown,['Comedy'],,['Kids'],4 min. per ep.,G - All Ages,5.51,#12076,#14761,877,1,234,A young Felix the Cat and his baby pals find fun and mischief along their travels.,[],Baby Felix,,,,['Anthropomorphic'],,
61,ぐるぐるタウン　はなまるくん,,,['TV'],101,Finished Airing,"Oct 3, 1999 to Sep 29, 2001",['Fall 1999'],Sundays at 09:30 (JST),"None found,","None found,",['Pierrot'],Original,['Comedy'],,['Kids'],25 min. per ep.,G - All Ages,6.08,#9516,#16260,592,1,130,Guruguru Town Hanamaru-kun follows the life of some children in a fictional town.,[],Guruguru Town Hanamaru-kun,,,,['Anthropomorphic'],La Pandilla de Hanamaru,
62,날아라 슈퍼보드,The Flying Superboard,,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],,,,22 min. per ep.,PG - Children,[],#20601,#16833,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,"['Action', 'Adventure', 'Comedy']",,,,
63,だんご3兄弟あっという間劇場,,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,,['Kids'],3 min. per ep.,G - All Ages,[],#17566,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,,,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",['Music'],,
64,やんちゃるモンちゃ,,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,['Kids'],1 min. per ep.,PG - Children,[],#15990,#19000,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",,,
65,デジタル所さん,Mr.Digital Tokoro,,['TV'],245,Finished Airing,"Oct 2, 2000 to Sep 28, 2001",['Fall 2000'],Not scheduled once per week,"['VAP', 'Nippon Television Network']","None found,",['Polygon Pictures'],Original,['Comedy'],,,3 min. per ep.,G - All Ages,[],#17648,#19774,299,0,,CGI shorts about famous Japanese comedian George Tokoro.,[],Digital Tokoro-san,,,,,,
66,哈皮父子,Happy Father Happy Son,,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],6 min. per ep.,PG - Children,[],#18441,#22582,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,,"['Comedy', 'Fantasy']","Ha Pi Fuzi, Happy Father and Son",,,
67,ブラック・ジャック(インターネット版),,,['ONA'],12,Finished Airing,"Jan 8, 2001 to Jan 1, 2002",,,"None found,","None found,","None found,",['Manga'],['Drama'],,,16 min. per ep.,PG - Children,6.49,#7149,#10417,"3,123",0,742,"Black Jack, a mysterious young unlicensed doctor with godlike skills, travels the world performing feats of impossible surgery, charging vast fees for his services, and challenging the corrupt practices of the medical establishment. This selection of stories, each adapted from a single original manga issue, focuses more on interpersonal relationships and back-story than most other Black Jack series. (Source: ANN)","['Adaptation (Manga) Black Jack', '']",Black Jack ONA,,,Black Jack: Internet-han,['Medical'],,
68,フリクリ,FLCL,,['OVA'],6,Finished Airing,"Apr 26, 2000 to Mar 16, 2001",,,"['Starchild Records', 'King Records']",['Funimation'],"['Gainax', 'Production I.G']",Original,,"['Mecha', 'Parody', 'Psychological']",,25 min. per ep.,PG-13 - Teens 13 or older,8.03,#624,#228,"857,077","31,703",450365,"Naota Nandaba is an ordinary sixth grader living in a city where nothing amazing ever seems to happen. After his brother Tasuku leaves town to play baseball in America, Naota takes it upon himself to look after everything Tasuku left behind—from his top bunk bed to his ex-girlfriend Mamimi Samejima, who hasn't stopped clinging to Naota since Tasuku left. Little does Naota know, however, that his mundane existence is on the verge of being changed forever: enter Haruko Haruhara, a Vespa-riding, bass guitar-wielding, pink-haired psychopath whose first encounter with Naota leaves him with tire tracks on his back and a giant horn on his head. Though all he wants is some peace and quiet, when Haruko takes up residence at his parents' home, Naota finds himself dragged into the heart of the greatest battle for supremacy that Earth—and quite possibly the entire universe—has ever seen. [Written by MAL Rewrite]","['Sequel (Movie) FLCL Progressive', 'Adaptation (Manga) FLCL', 'Adaptation (Light Novel) FLCL', '']",FLCL,,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi', 'Suspense']","Fooly Cooly, Furi Kuri",,FLCL Furi Kuri,
69,ねこぢる草,Cat Soup,,['OVA'],1,Finished Airing,"Feb 21, 2001",,,"['Starchild Records', 'King Records']",['Central Park Media'],['J.C.Staff'],['Manga'],,"['Anthropomorphic', 'Psychological']",,32 min.,PG-13 - Teens 13 or older,7.32,#2739,#2487,"83,654","1,042",39932,"The main character, a cat named Nyatto, embarks upon a journey to save his sister's soul, which was ripped in two when Nyatto tried to save her from Death. She trails after him, brain-dead. They encounter many brilliant, mind-bending situations, beginning with a disturbing magic show. (Source: ANN)","['Adaptation (Manga) Nekojiru Udon', '']",Nekojiru-sou,,"['Avant Garde', 'Award Winning', 'Comedy']",,,,
70,頭文字〈イニシャル〉D EXTRA STAGE,,,['OVA'],2,Finished Airing,"Mar 22, 2001",,,"['OB Planning', 'Fuji TV']","['Funimation', 'Tokyopop']",['Pastel'],['Manga'],,,['Seinen'],27 min. per ep.,R+ - Mild Nudity,7.31,#2797,#3027,"59,584",87,33455,"Extra Stage - Act 1 The ""Emperor""—a racing group consisting of several Mitsubishi Lancer EVO drivers—has defeated every racing team they have come across in Gunma Prefecture. Now, they set their eyes on conquering Mount Usui and the legendary Impact Blue racing duo, who hold the record for the Usui Pass. In her blue Nissan SilEighty, Mako Satou and her navigator Sayuki rise to the challenge to defend their title. However, Mako's recent woes begin to affect her concentration. Sensing that her rhythm is off, Sayuki helps her out, but will she be able to resolve it before the decisive race? Extra Stage - Act 2 Sayuki thinks Mako's life could improve if she had a boyfriend and sets her up with her ""perfect match""—Miyahara from the Myogi NightKids. Though the relationship starts smoothly, Mako's past relationship haunts her once more. Faced with the possibility of giving up street racing entirely, Mako will have to choose between love and her dream of being a professional racer. [Written by MAL Rewrite]","['Sequel (OVA) Initial D Extra Stage 2', '']",Initial D Extra Stage,,"['Action', 'Drama']",,['Racing'],,
71,ぷにぷに☆ぽえみぃ,Puni Puni Poemy,,['OVA'],2,Finished Airing,"Mar 7, 2001 to Dec 19, 2001",,,['Victor Entertainment'],['ADV Films'],['J.C.Staff'],Original,,"['Gag Humor', 'Mahou Shoujo', 'Parody']",,30 min. per ep.,R+ - Mild Nudity,6.52,#6935,#4020,"34,740",112,18198,"Poemi ""Kobayashi"" Watanabe has a body full of wasteful energy and an airheaded attitude toward every aspect in her life. Though directionless, she speeds ahead at full throttle to achieve her dream of becoming a famous voice actress. However, when mysterious aliens come to Earth and upend Poemi's life, she must utilize every ounce of her power—including magic which she gains from a magic fish—if she wants to save the world. [Written by MAL Rewrite]",[],Puni Puni☆Poemii,,"['Comedy', 'Fantasy', 'Sci-Fi', 'Ecchi']",,,,
72,エクスドライバー,,,['OVA'],6,Finished Airing,"Jul 25, 2000 to Sep 25, 2001",,,"['Bandai Visual', 'Xebec', 'Dentsu', 'Genco', 'Triangle Staff', 'Ashi Productions']",['Media Blasters'],['Actas'],Original,,,,25 min. per ep.,PG-13 - Teens 13 or older,6.67,#6095,#6135,"12,628",36,5225,"eX-Driver is set in the future, where all transportation is easily controlled by AI. Though, like all machines, they tend to break down, lose control, or get re-programmed. This is where three high schoolers with non-AI cars—a Subaru WRX, a Caterham Super 7, and a Lotus Europa—come in to save the day and make sure the public is safe at all times. (Source: ANN, edited)","['Prequel (Movie) eX-Driver: Nina & Rei Danger Zone', 'Sequel (Movie) eX-Driver the Movie']",eX-Driver,,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,['Racing'],,
73,アニメーション制作進行くろみちゃん,Animation Runner Kuromi,Animation Runner Kuromi,['OVA'],1,Finished Airing,"Mar 30, 2001",,,['DAX Production'],['Central Park Media'],['Yumeta Company'],Original,,"['Adult Cast', 'Otaku Culture', 'Parody']",,37 min.,PG-13 - Teens 13 or older,6.89,#4863,#6497,"10,998",14,5405,"Having just graduated from animation school, Mikiko Oguro eagerly arrives at Studio Petit for her first day of work. However, an unfortunate situation suddenly paves the way for the novice animator to become the production manager of Time Journeys: an upcoming TV anime with a tight production schedule. Struggling to pull various creatives together to keep the series on track for broadcasting, Mikiko quickly learns how stressful anime production can be and gets some first-hand experience with the herculean efforts it takes to create a work that can touch viewers' hearts. [Written by MAL Rewrite]","['Sequel (OVA) Animation Seisaku Shinkou Kuromi-chan 2', '']",Animation Seisaku Shinkou Kuromi-chan,Animation Runner Kuromi,"['Comedy', 'Drama']",,,,
74,Z.O.E 2167 IDOLO,Z.O.E. 2167 Idolo,Zone of The Enders: Z.O.E 2167 Idolo,['OVA'],1,Finished Airing,"Feb 21, 2001",,,['AT-X'],['ADV Films'],['Sunrise'],Game,,"['Mecha', 'Military', 'Space']",,55 min.,PG-13 - Teens 13 or older,6.85,#5100,#6585,"10,634",13,4667,"Z.O.E. 2167 Idolo takes place a few years prior to the events of the series Z.O.E Dolores, i, and is centered on the ""Deimos Incident,"" an act of terrorism by the Mars revolutionaries. The BAHRAM army pilots Radium and Viola are the best in their class, and have such have been chosen to do spearhead testing on a new type of weapon; Mars hopes this weapon will liberate them from the UNSF's (United Nations Space Force) tyranny. This new technology called the ""Orbital Frame,"" is powered by an extremely rare and powerful source of energy known as the Metatron ore.","['Sequel (TV) Zone of the Enders: Dolores, I', '']",Zone of the Enders: 2167 Idolo,,"['Action', 'Drama', 'Romance', 'Sci-Fi']",ZOE: Idolo,,,
75,ヴァンドレッド 胎動篇,,,['OVA'],1,Finished Airing,"Jan 21, 2001",,,['Imagine'],['Funimation'],['Gonzo'],Original,,"['Mecha', 'Space']",,1 hr. 18 min.,PG-13 - Teens 13 or older,6.76,#5542,#7287,"8,352",5,3340,"Vandread The First Stage (season one) was immediately followed up by this OVA. This OVA, also known as Vandread Taidouhen Stage (The Movement Stage) was a recap of the first 13 episodes with additional footage. So, Vandread Taidouhen is not really a bridge between Vandread The First Stage and Vandread The Second Stage (season two). It was made to bring new viewers up to date as to what happened during the first season (Source: AniDB)",[],Vandread: Taidou-hen,,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']","Vandread Integral, Vandread The Movement Stage",,,
76,絆 KIZUNA~恋のから騒ぎ~,Kizuna: Much Ado About Nothing,,['OVA'],1,Finished Airing,"Mar 3, 2001",,,"None found,",['Media Blasters'],['Zexcs'],['Manga'],,,,43 min.,R - 17+ (violence & profanity),6.59,N/A,#7611,"7,443",7,3386,"On his first day of junior high, Kei Enjoji fell in love at first sight. His heart was immediately captured by the gorgeous Ranmaru Samejima, a young kendo prodigy, and the two slowly formed a deep romantic bond. Now adults and living happily together as a couple, things seem to be going well for Ranmaru and Kei. One morning, host Kei arrives home after a night out drinking with a client. A frequent occurrence, Ranmaru is initially unfazed by Kei's drunken state—until he notices three extremely suspicious things: Kei's clothing smells of makeup, his chest is stained with lipstick, and he is carrying matches branded with the name of a love hotel. To top it all off, a woman calls the apartment asking for ""Kei-chan,"" and at that, Ranmaru loses it. Hurt by Kei's unfaithful actions, Ranmaru storms off. He spends the day reminiscing about years of precious memories, deciding to put them behind him for good—and when he is ""picked up"" by a woman on the streets, he comes to terms with reality. If this is what society wants, and if Kei has truly fallen for a woman, then who is he to stand in their way? [Written by MAL Rewrite]","['Prequel (OVA) Kizuna', '']",Kizuna: Koi no Karasawagi,Kizuna: Liebe und viel Lärm um nichts,"['Boys Love', 'Drama', 'Erotica']",,,,
77,ザスピリットオブワンダー : 少年科學倶楽部,Spirit of Wonder: Scientific Boys Club,,['OVA'],2,Finished Airing,"Jan 25, 2001 to Jul 25, 2001",,,['Bandai Visual'],['Bandai Entertainment'],['Ajia-do'],['Manga'],,,['Seinen'],30 min. per ep.,R+ - Mild Nudity,6.48,#7217,#8682,"5,412",1,1550,"The now 50 year old Scientific Boys Club decides to built a ship that sails to Mars on the ""Ethereal Current"" - a thesis of the wife of a club member which claims that the universe is flooded with Ethereal energy. On this stream they travel to Mars in order to prove an old theory about channels on Mars built by Martians, but there is no life. Many years later, when both theories are considered to be nonsense, a Mars expedition discovers a stone with the inscription ""Scientific Boys Club 1954"". (Source: ANN)","['Prequel (OVA) Spirit of Wonder: China-san no Yuuutsu', 'Adaptation (Manga) Spirit of Wonder']",Spirit of Wonder: Shounen Kagaku Club,Spirit of Wonder,"['Drama', 'Sci-Fi']",,['Space'],Spirit of Wonder: El Club de los Muchachos Marchitos,
78,はるみちゃんのおいた,,,['OVA'],1,Finished Airing,"Mar 16, 2001",,,['Obtain Future'],['Adult Source Media'],"None found,",Unknown,['Hentai'],,,23 min.,Rx - Hentai,5.16,N/A,#10083,"3,463",4,1442,Wafaru is a guy next door. One day he saw a little innocent looking girl in his room. Her name is Harumi. She asked Wafaru if she could stay with him. She didn't have anywhere to go. Because of her innocence she doesn't know anything about a man's body and even her body. Wafaru showed her his member and explained to her it was his pet. She loves playing with it so much without knowing what it really is. Wafaru cannot live with the lies he continues to tell her. In a fit of guilt he has way with her without revealing his secret. (Source: AniDB),[],Harumi-chan no Oita,,,Harumi's Bad Play,,,
79,アンジェリーク　聖地より愛をこめて,,,['OVA'],3,Finished Airing,"Jan 25, 2001 to Jun 27, 2001",,,['Koei'],"None found,",['Yumeta Company'],Visual novel,,,['Shoujo'],30 min. per ep.,PG-13 - Teens 13 or older,6.08,#9499,#10264,"3,264",1,1100,The queen is collecting some jewels that apparently endanger the whole universe if they fall into the wrong hands. But Zephel screws up and loses one of the jewels. What should he do now?,"['Prequel (OVA) Angelique: Shiroi Tsubasa no Memoire', '']",Angelique: Seichi yori Ai wo Komete,,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']","Angelique: From the Sanctuary with Love, Angelique OVA2",,,
80,新世紀 淫魔聖伝,Inma Seiden: The Legend of the Beast of Lust,Inma Seiden: the Legend of the Bease of Lust - Cris et Châtiments,['OVA'],6,Finished Airing,"Mar 25, 2001 to Oct 25, 2002",,,['Green Bunny'],"['NuTech Digital', 'Kitty Media']",['Arms'],Original,,,,27 min. per ep.,Rx - Hentai,6.11,N/A,#10325,"3,197",15,846,"As the related Kameyama and Ootori families battle to lead Ootori Academy, sinister goings-on complicate their internal struggle. Terrifying sexual assaults are taking place, with the assailant concealing his identity with a foreboding iron mask. Sena is attacked by tentacles and a demon, and then the masked man appears before Mao, who tries to fight him off. When she fails to succeed, Hitomi Kameyama comes to her rescue, but the horror has just begun. (Source: NuTech Digital)",[],Shinseiki Inma Seiden,,"['Supernatural', 'Hentai']",Shin Seiki Inma Seiden,['School'],,
81,凌辱の都市 ～狂宴のセレモニー～,City of Sin,,['OVA'],1,Finished Airing,"Mar 25, 2001",,,['Shinyusha'],['Central Park Media'],['Sonsan Kikaku'],['Manga'],,,,30 min.,Rx - Hentai,5.50,N/A,#10468,"3,083",7,1191,"There goes the neighborhood! A barbaric warrior king seizes the beautiful Queen Beatrice. As his soldiers ravage her kingdom, they introduce the city wenches to a variety of exotic sexual acts. Soon, the haughty queen and her handmaids are begging for more, and the city becomes a carnal capital of debauchery and lust!",[],Ryoujoku no Machi: Kyouen no Ceremony,,"['Fantasy', 'Hentai']",,['Military'],,
82,遺作 ～Respect～,,,['OVA'],3,Finished Airing,"Feb 23, 2001 to Sep 21, 2001",,,['Pink Pineapple'],['NuTech Digital'],['Production D.M.H'],Visual novel,['Hentai'],,,27 min. per ep.,Rx - Hentai,5.49,N/A,#11013,"2,614",3,889,"Kotomi was looking forward to a fun summer vacation. Until she found the note in her bedroom. Filled with extremely personal and revealing information about her, Kotomi is forced to follow the note's instructions and go to the old school building. Once there, she discovers that she's not the only one. Many of her classmates including the headstrong Miyuki are also there. But when everyone is suddenly trapped inside the building and girls start disappearing, it's only the beginning of the nightmare. A tale of violence, perversion and lust, filled with hardcore sex and unusual sexual fetishes!","['Prequel (OVA) Isaku', '']",Isaku: Respect,,,,,,
83,人心遊戯,Love Lessons,,['OVA'],2,Finished Airing,"Mar 21, 2001 to Jun 21, 2001",,,['Milky Animation Label'],['Central Park Media'],['Office AO'],Visual novel,['Hentai'],,,28 min. per ep.,Rx - Hentai,5.68,N/A,#11268,"2,435",1,792,"Anything you want... for a price. The Trainer will shape any woman into the culmination of your most erotic fantasies. Watch the parade of beautiful females that come to him to be transformed into the ultimate object of desire. Naughty, nice, playful, or passionate, each one is eager to please, and hand-tailored to fit your needs!",[],Jinshin Yuugi,,,"Jinsin, Jinshin Yugi",,,
84,妖囁,Midnight Strike Force,,['OVA'],2,Finished Airing,"Feb 11, 2001 to Jan 2, 2002",,,"['D3', 'Mediabank']",['Critical Mass Video'],"None found,",Unknown,,,,25 min. per ep.,Rx - Hentai,5.27,N/A,#11377,"2,354",2,699,"Justice has never been so naked! A super-secret cult of lesbians performs erotic experiments on bodies from the local hospital! Their purpose: to revive the spirit of their ancient leader in a virile human form. Now it's up to the Midnight Strike Force, a team of busty justice fighters, to go undercover (and under the covers) to stop the nefarious acolytes before they succeed in their diabolically dirty schemes! (Source: Critical Mass Video)",[],Youshou,,"['Horror', 'Hentai']",,['Mythology'],Yosho,
