,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Theme,German,Themes,Genre,Demographics
85,デュエル・マスターズ クロス,,['TV'],100,Finished Airing,"Apr 5, 2008 to Mar 27, 2010",['Spring 2008'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Kids'],10 min. per ep.,PG-13 - Teens 13 or older,6.26,#8500,#11211,"2,466",2,861,"Shobu and friends fight the remaining Fua Duelists in order to defeat Zakira. Once again, they face off against the old members of Fua Duelists at the World Championship tournament. Shobu also found the terrible fate his friends faced because of these duelists in their past. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Zero', 'Sequel (TV) Duel Masters Cross Shock']",Duel Masters Cross,,,,,,,,
86,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",['Kids'],10 min.,G - All Ages,6.39,#7746,#11556,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,,,
87,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12199,#13602,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,,
88,クプ~!!まめゴマ!,,['TV'],51,Finished Airing,"Jan 10, 2009 to Dec 26, 2009",['Winter 2009'],Unknown,"['Sotsu', 'San-X', 'Shufu to Seikatsusha']","None found,",['TMS Entertainment'],Unknown,,['Kids'],12 min. per ep.,PG - Children,[],#19684,#14028,"1,069",4,,"The story revolves around a palm-sized seal named Mameta, the other seals (Cherry-chan, Soda-kun, Lemon-chan, Candy-chan), and the Mamekawa family that raises the seals. (Source: ANN)",[],Kupu~!! Mamegoma!,"KUPU! Bean sesame!, Kupuu!! Mamegoma!",,,,,,,
89,うちの3姉妹,,['TV'],102,Finished Airing,"Apr 8, 2008 to Mar 30, 2010",['Spring 2008'],Unknown,"None found,","None found,","['Toei Animation', 'Studio Animal']",Other,"['Comedy', 'Slice of Life']",,23 min. per ep.,G - All Ages,6.32,#8131,#14736,883,1,185,"The daily life of the Motsumoto family. The three sisters, Fuu, Suu, and Chii, follow what happens on a daily basis. Mother and Father have to deal with them sometimes, but they're used to it.",[],Uchi no 3 Shimai,"Uchi no 3Shimai, Uchi no San Shimai",,,,,,,
90,ネイキッドウルブズ,,['TV'],52,Finished Airing,"Apr 6, 2009 to Mar 28, 2010",['Spring 2009'],Unknown,"['Pony Canyon', 'Kyotoma']","None found,",['Kate Arrow'],Original,"['Comedy', 'Sports']",['Kids'],5 min. per ep.,PG - Children,5.67,#11530,#14750,879,4,300,"In the Flash-animated television comedy series, a sumo wrestler named Mikoshiarashi travels around the world to train to become the Yokozuna, the Grand Sumo Champion. He meets colorful characters along the way as he is determined to meet his goals.",[],Naked Wolves,Hadaka no Ookami,,,['Combat Sports'],,,,
91,うっかりペネロペ,,['TV'],26,Finished Airing,"Jun 29, 2009 to Jan 2, 2010",['Summer 2009'],Unknown,['NHK'],"None found,",['Nippon Animation'],Picture book,,['Kids'],5 min. per ep.,G - All Ages,6.07,#9555,#15557,694,0,185,Ukkari Penelope is about a young koala's daily adventures. The narrator is Mamiko Noto!,"['Prequel (TV) Ukkari Pénélope', 'Sequel (TV) Ukkari Pénélope (2013)']",Ukkari Pénélope (2009),"Ukkari Penelope, Pénélope tête en l'air, Carelessly Penelope, Absent-minded Penelope, Head in the Air Penelope",,,['Anthropomorphic'],,,['Slice of Life'],
92,夢をかなえるゾウ,,['TV'],12,Finished Airing,"Jan 13, 2009 to Dec 27, 2009",['Winter 2009'],Unknown,"None found,","None found,",['Studio Deen'],['Manga'],,,10 min. per ep.,G - All Ages,[],#16185,#16414,569,0,,"It's about an ordinary office worker Fumiyama Fumio, who gains self-confidence by the advices of an Indian god, Ganesha.",[],Yume wo Kanaeru Zou,An Elephant Which Grants A Dream,,,,,,['Comedy'],
93,はっけん たいけん だいすき! しまじろう,,['TV'],101,Finished Airing,"Apr 7, 2008 to Mar 29, 2010",['Spring 2008'],Unknown,"None found,","None found,","['Studio Kikan', 'Pierrot Plus']",Original,"['Adventure', 'Comedy', 'Fantasy']",['Kids'],25 min. per ep.,G - All Ages,6.16,#9065,#16528,557,1,126,Second season of the Shimajirou children's television series.,"['Prequel (TV) Shima Shima Tora no Shimajirou', 'Sequel (TV) Shimajirou Hesoka']",Hakken Taiken Daisuki! Shimajirou,,,,,,,,
94,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,['Kids'],5 min. per ep.,PG - Children,[],#17873,#17188,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,,,,"['Historical', 'Performing Arts']",['Horror'],
95,パンパカパンツ,Panpaka Pantsu,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,['Kids'],15 sec. per ep.,G - All Ages,[],#20959,#17400,467,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,"Panpaka Panties, Panpaka Underwear",,,,,,['Comedy'],
96,따개비 루,,['TV'],52,Finished Airing,"Aug 24, 2009 to Nov 18, 2009",['Summer 2009'],Unknown,['Olive Studio'],"None found,","None found,",Unknown,,['Kids'],7 min. per ep.,PG - Children,[],#16879,#19182,332,0,,A lovely story of a little seagull Lou who thinks of himself as a barnacle. (Source: Olive Studio),[],Barnacle Lou,,,,,,,,
97,유후와 친구들,YooHoo & Friends,['TV'],26,Finished Airing,"Jul 7, 2009 to Dec 18, 2009",['Summer 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],23 min. per ep.,PG - Children,[],#16170,#19484,315,2,,The characters are species at risk of extinction who take a journey together to find new friends on other continents. The show is designed to teach children about environmental protection and preservation. The series was developed in 2007 and targeted at the global market. (Source: AWN),"['Sequel (TV) Yuhuwa Chingudeul 2', '']",Yuhuwa Chingudeul,,YooHoo & Friends,YooHoo & Friends,,YooHoo & Friends,,,
98,꼬마 신선 타오,Little Wizard Tao,['TV'],39,Finished Airing,"Jul 13, 2009 to Apr 26, 2010",['Summer 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],22 min. per ep.,G - All Ages,[],#19481,#20198,274,0,,"This Korean and Chinese co-production series focuses on Tao, a young boy with magical powers, as he attends school to become a wizard. Each episode was composed of two stories. (Source: Wiki)","['Sequel (TV) Kkoma Sinseon Tao 2', '']",Kkoma Sinseon Tao,Tao: Little Wizard,,,,,,,
99,笑いのSHOW学校,,['TV'],20,Finished Airing,"Mar 30, 2009 to Mar 8, 2010",['Spring 2009'],Unknown,"['NHK', 'Milky Cartoon', 'Opera House']","None found,","None found,",Original,,['Kids'],1 min. per ep.,PG - Children,[],#15261,#20180,276,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Warai no Show Gakkou,School of Show Laughter,,,,,,['Comedy'],
100,깨미랑 부카채카,"Kemy & Buka, Chaka",['TV'],156,Finished Airing,"Feb 23, 2009 to Feb 10, 2010",['Winter 2009'],Mondays at 09:25 (JST),"None found,","None found,","None found,",Original,,['Kids'],9 min. per ep.,G - All Ages,[],#19378,#20328,268,0,,"This anime is a fusion of 3D CGI and live-action. Majority of the episodes are Kemy, Buka, and Chaka in their animated club house but other parts of the episodes are the characters imposed on live footage of nature. The program solves various questions by looking at the world with the vision of infants who are still immature in the world.",[],Kemy Lang Buka Chaka,,,,,,,['Adventure'],
101,일지매,,['TV'],26,Finished Airing,"May 5, 2009 to Nov 2, 2009",['Spring 2009'],Unknown,"None found,","None found,","None found,",Other,"['Action', 'Drama', 'Romance']",,Unknown,PG-13 - Teens 13 or older,[],#18868,#20630,251,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Iljimae,,,,['Historical'],,,,
102,新忍者玉丸,,['TV'],26,Finished Airing,"Dec 27, 2008 to Dec 19, 2009",['Winter 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],5 min. per ep.,G - All Ages,[],#14260,#20793,242,0,,The second season of Ninja Tamamaru.,"['Prequel (TV) Ninja Tamamaru', 'Sequel (TV) Ninja Tamamaru: Toukaidou Gojuusan-ji']",Shin Ninja Tamamaru,,,,['Martial Arts'],,,,
103,神兽金刚,,['TV'],46,Finished Airing,"Jan 15, 2009 to Dec 31, 2010",['Winter 2009'],Tuesdays at 08:30 (JST),"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",['Kids'],15 min. per ep.,G - All Ages,[],#14113,#22143,170,0,,"Many years ago, the ambitious Dark Emperor who wanted to rule the universe endangered the environment and destroyed peace. In order to stop him, the leader of the universe, Big Dipper King, finally sealed the Dark Emperor under the polar ice rocks after a great battle. In order to prevent the Dark Emperor from breaking the seal, the Big Dipper King discovered the six God Beasts of the Earth under the guidance of the Earth’s monks. Fusing technology and the energy of the Big Dipper, he created six God Beasts Mechas and left behind his son, the Qilin King. The six God Beast Mechas are Qilin, Qinglong, Baihu, Xuanwu, Zhuque, and Yinglong. Only six children with super powers can pilot these God Beasts.","['Sequel (TV) Shen Shou Jin Gang 2: Tianshen De Shou', '']",Shen Shou Jin Gang,,,,['Mecha'],,,,
104,우리는 명탐정,,['TV'],52,Finished Airing,Mar 2009 to Feb 2010,['Spring 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],24 min. per ep.,PG - Children,[],#15138,#22293,164,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ulineun Myeong-tam-jeong,,,,['School'],,,['Mystery'],
105,水木学堂第二季,,['TV'],400,Finished Airing,Jul 2009 to Dec 2009,['Summer 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],10 min. per ep.,PG - Children,[],#14378,#22355,161,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shuimu Xuetang', '']",Shuimu Xuetang 2nd Season,"Shuimu Xuetang 2 Shuxue Pian, Shuimu Xuetang 2 Yuwen Pian",,,,,,['Comedy'],
106,吉祥猫可可,Copy Cat,['TV'],26,Finished Airing,Jan 2009 to Jan 2011,['Winter 2009'],Unknown,"None found,","None found,","None found,",Unknown,,['Kids'],12 min. per ep.,PG - Children,[],#19112,#23592,121,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Jixiang Mao Keke,,,,,,,['Fantasy'],
107,おべとも学園,,['TV'],200,Finished Airing,Apr 2008 to Mar 2013,['Spring 2008'],Unknown,['NHK'],"None found,","None found,",Original,,,2 min. per ep.,G - All Ages,[],#20781,#24011,112,0,,A series by Japanese illustrator Obetomo which aired on NHK's Shakin! program.,[],Obetomo Gakuen,,,,['School'],,,['Slice of Life'],
108,星猫的秘密基地,,['TV'],48,Finished Airing,Jun 2009 to Feb 2010,['Summer 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],12 min. per ep.,PG - Children,[],#15792,#24262,107,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xing Mao de Mimi Jidi,,,,,,,,
109,星猫漫游记,,['TV'],26,Finished Airing,Feb 2009 to Feb 2010,['Winter 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],12 min. per ep.,PG - Children,[],#15803,#24414,104,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Xing Mao Man Youji: San Jincun', '']",Xing Mao Man Youji,,,,,,,['Fantasy'],
110,小鼠乒乒之成语大典,,['TV'],52,Finished Airing,Aug 2009 to Jul 2010,['Summer 2009'],Unknown,"None found,","None found,","None found,",Other,,['Kids'],11 min. per ep.,PG - Children,[],#15611,#24590,101,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiao Shu Ping Ping: Chengyu Dadian,,,,,,,,
111,ヘタリア Axis Powers,Hetalia Axis Powers,['ONA'],52,Finished Airing,"Jan 24, 2009 to Mar 5, 2010",,,"['Frontier Works', 'DAX Production']",['Funimation'],['Studio Deen'],['Web manga'],,,5 min. per ep.,PG-13 - Teens 13 or older,7.25,#3099,#1000,"260,575","4,257",129017,"In a tumultuous era of World Wars and general uncertainty for the future, Germany did not expect that his only constant allies would be North Italy and Japan. Despite being a descendant of the once-powerful Ancient Rome, North Italy is weak, useless, and overly in love with pasta. In contrast, Japan is reliable and pragmatic, but has strange obsessions that would bewilder anyone. Believing he drew the short end of the straw, Germany must think of a way to make this unlikely alliance work. To rub salt into the wound, the chaotic Allied Forces arrive, determined to stop the Axis Powers in their tracks. While they all share a common goal, none of the Allies can set aside their centuries of differences to fight as a cohesive front. As conflicts continue, these personified nations act out the events of World Wars I and II in a comedic and entertaining manner. [Written by MAL Rewrite]","['Sequel (ONA) Hetalia World Series', 'Adaptation (Manga) Hetalia Axis Powers']",Hetalia Axis Powers,,,,,,"['Anthropomorphic', 'Gag Humor', 'Historical', 'Parody']",['Comedy'],
112,ヘイロー・レジェンズ,Halo Legends,['ONA'],8,Finished Airing,"Nov 7, 2009 to Feb 16, 2010",,,['Casio Entertainment'],['Warner Bros. Pictures'],"['Bones', 'Bee Train', 'Production I.G', 'Studio 4°C', 'Toei Animation']",Game,"['Action', 'Drama', 'Sci-Fi']",,14 min. per ep.,PG-13 - Teens 13 or older,6.98,#4468,#3603,"43,184",222,24151,"Halo Legends features seven different stories set in the Halo universe, each made by a different studio. The Babysitter follows the Helljumpers, Orbital Drop Shock Troopers who are sent behind enemy lines to perform an assassination. The Duel features the tale of an ancient Arbiter who refused to bow down to the Covenant religion. Branded a heretic, he must now face the consequences of his actions. The Package depicts a group of Spartans, including the Master Chief, who are deployed to infiltrate a Covenant flagship and retrieve a “package” in a secret operation. Origins shows Master Chief and Cortana stranded following the events of Halo 3, with Cortana summarizing the fall of the Forerunners, the defeat of the Flood, and the rise of humanity as well as the events of the Human-Covenant War. Homecoming centers on the Spartan Daisy, who reminisces on her past, and the SPARTAN-II project while evacuating UNSC soldiers pinned down by Covenant forces. Prototype is viewed from the perspective of Marine Sergeant Ghost, who is determined to fight for all he is worth in order to make up for past grievances. Odd One Out is a non-canon parody of Halo featuring Spartan 1337, who suffers from extremely bad luck.",[],Halo Legends,"Halo Anime, Halo Animation",,,['Military'],,,,
113,バカとテストと召喚獣 問題 クリスマスについて答えなさい,Baka & Test: Christmas Special,['ONA'],1,Finished Airing,"Dec 24, 2009",,,"None found,",['Funimation'],['SILVER LINK.'],['Light novel'],"['Comedy', 'Romance']",,4 min.,PG-13 - Teens 13 or older,6.62,#6373,#3655,"42,188",14,21236,The cast of Baka to Test all get together and tell us what Christmas means to them. Joy!,[],Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai,Baka to Test to Shoukanjuu: Christmas Special,,,,,,,
114,フミコの告白,Fumiko's Confession,['ONA'],1,Finished Airing,"Nov 8, 2009",,,"None found,","None found,","None found,",Original,"['Award Winning', 'Comedy']",,2 min.,PG-13 - Teens 13 or older,6.60,#6481,#4375,"29,080",17,17419,"Everyone handles rejection in their own way. But when Takashi turns down Fumiko's confession, the young schoolgirl unleashes her frustrations on a fanatical sprint through the neighborhood. However, a single misstep sends her soaring, and things go downhill from there... [Written by MAL Rewrite]",[],Fumiko no Kokuhaku,,,,,,,,
115,ゆとりちゃん,,['ONA'],25,Finished Airing,"Dec 29, 2009 to Apr 9, 2010",,,['BIGLOBE'],"None found,",['Actas'],Original,"['Comedy', 'Slice of Life']",,4 min. per ep.,G - All Ages,6.09,#9474,#8156,"6,284",3,1975,"Comedy anime about the generation gaps. The three main characters represent the major generations of Japanese; Yutori (teenagers), Tsumekomi (20-30s) and Dankai (middle age). Tsumekomi-chan is an office worker in a toy company and supervises the part-time working student Yutori-chan. She tries to get along with Yutori-chan but her selfish behavior typical of the Yutori generation is incomprehensible.",[],Yutori-chan,,,,,,,,
116,熱血宇宙人,Hot-blooded Alien,['ONA'],1,Finished Airing,"Oct 31, 2009",,,"None found,","None found,","None found,",Original,"['Comedy', 'Sci-Fi']",,2 min.,PG-13 - Teens 13 or older,5.23,#12845,#12269,"1,777",0,1032,A short in which a student named Ai meets an alien with a time machine. Ai also appears in the short Kobe to Watashi.,[],Nekketsu Uchuujin,,,,,,,,
117,やんやんマチコ,,['ONA'],11,Finished Airing,"Dec 25, 2009 to Aug 20, 2015",,,"None found,","None found,",['Kanaban Graphics'],Unknown,"['Comedy', 'Slice of Life']",,2 min. per ep.,G - All Ages,5.62,#11720,#15194,764,0,301,"A comedy anime about the life of Machiko, a sheep girl who lives in the Champs-Élysées shopping district.",[],YanYan Machiko,,,,,,,,
118,やわらかめ♥,,['ONA'],26,Finished Airing,"Dec 1, 2009 to May 25, 2010",,,"None found,","None found,",['ufotable'],Original,,['Kids'],2 min. per ep.,None,[],#16015,#15762,660,1,,"A mobile phone TV show broadcasted on Bee TV. The anime is most notable for its entire cast being voiced by seiyuu Sawashiro Miyuki, who plays every single character, from male to female and from human to non-human.",[],Yawarakame♥,,,,,,,['Comedy'],
119,バケツの中の かか,Kaka in the bucket.,['ONA'],1,Finished Airing,"Dec 31, 2009",,,"None found,","None found,","None found,",Original,,,7 min.,G - All Ages,5.59,#11847,#16880,519,0,226,A girl catches a mysterious cat creature in her bucket. Soon a monster attacks her and the creature envelops her like a power suit in order to fight.,[],Bucket no Naka no Kaka,,,,,,,['Fantasy'],
120,ヤンス！ガンス！Meat or Die,,['ONA'],12,Finished Airing,"Oct 2, 2009 to 2010",,,['TOHO'],"None found,","None found,",Original,"['Adventure', 'Comedy']",,1 min. per ep.,PG - Children,5.21,#12895,#16906,515,2,202,"The series of comedy shorts is set in New York in the future, when plants and dinosaurs have overrun the city. Yans and Gans are carnivorous dinosaurs who spend their days scaring and hunting down the herbivore dinosaurs.","['Prequel (Special) Yans! Gans! Meat or Die Episode 0', '']",Yans! Gans! Meat or Die,YANS! GANS!,,,,,,,
121,Nameless Flipbook,Nameless Flipbook,['ONA'],1,Finished Airing,"Oct 21, 2009",,,"None found,","None found,","None found,",Original,,,2 min.,G - All Ages,5.19,#12941,#17092,496,0,240,"A short made for the stage event BIBLO held by the University of Tokyo, to be preformed by the dance group WISH. Though the director states that the performance will be slightly different from the animated video.",[],Nameless Flipbook,,,,,,,['Avant Garde'],
122,オーガニック,,['ONA'],1,Finished Airing,"Oct 21, 2009",,,"None found,","None found,","None found,",Original,,,4 min.,PG - Children,5.26,#12779,#17129,493,0,219,"A small flower gives birth to an unknown creature with an unexpected urge to eat, but it will soon end where it started off.",[],Organic,,,,,,,['Comedy'],
123,紙兎ロペ  TOHOシネマズ,,['ONA'],Unknown,Currently Airing,"Nov 5, 2009 to ?",,,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,1 min.,G - All Ages,[],#19292,#18134,410,0,,Kamiusagi Rope and TOHO Cinemas collaboration episodes that were released online only.,[],Kamiusagi Rope x TOHO Cinemas,,,,,,,,
124,楽譜の落書き帳,Graffiti Notation,['ONA'],1,Finished Airing,"Nov 10, 2009",,,"None found,","None found,","None found,",Original,,,3 min.,G - All Ages,5.46,#12230,#19062,342,0,152,"Short film by Takashi Ohashi, creatively depicting a musical score as it plays out.",[],Gakufu no Rakugakichou,Graffiti Sketchbook,,,['Music'],,,,
125,「古墳ギャルのコフィー キャンパスライフ」～イントロ～,,['ONA'],1,Finished Airing,"Oct 27, 2009",,,"None found,","None found,","None found,",Original,,,4 min.,G - All Ages,[],#17411,#19205,333,0,,An introduction web episode to Cofun Gal no Coffy Campus Life while also covering the main cast and characters of the previous season. This episode was also included in Cofun Gal no Coffy Campus Life's DVD release.,[],Cofun Gal no Coffy Campus Life: Intro,"Kofun Gal no Coffy Campus Life, The Frogman Show, Tumulus Gal Coffy Campus Life",,,['Parody'],,,['Comedy'],
126,喫茶店騒動,,['ONA'],1,Finished Airing,"Oct 8, 2009",,,"None found,","None found,","None found,",Other,,,9 min.,G - All Ages,5.21,#12907,#19236,331,0,126,A customer and cafe owner get into a fight.,[],Kissaten Soudou,,,,,,,['Comedy'],
127,リカちゃんと魔法の国,,['ONA'],7,Finished Airing,"Oct 9, 2009 to Nov 20, 2009",,,"None found,","None found,",['DLE'],Unknown,,['Kids'],6 min. per ep.,G - All Ages,[],#19817,#19422,319,0,,"Takara Tomy's popular doll ""Licca-chan"" got it's own animation ""Licca-chan and the Magical World"" produced by DLE Inc. This time the theme is a telephone, based on Licca-chan's (Rika-chan's) phone, and the story has elements that capture the girls' hearts such as Magic and Becoming a Princess. As supporting characters there's the vivid colored ""Bear"", a humorous take on princess as ""Ann Queen"" (voiced by Asa Komuro) and other original characters, creating an original scenario. (Source: DLE, Inc.)",[],Licca-chan to Mahou no Kuni,Licca-chan and the Magical World,,,,,,['Fantasy'],
128,,Short Flash Transformers Series,['ONA'],52,Finished Airing,"Oct 17, 2009 to Sep 12, 2020",,,"None found,","None found,","None found,",Other,"['Action', 'Sci-Fi']",,50 sec. per ep.,PG-13 - Teens 13 or older,[],#14309,#23494,123,0,,"Short Flash Transformers Series created by Seo-Ro Oh (오서로, Osro).",[],Short Flash Transformers Series,Transformers Short Series,,,['Mecha'],,,,
129,カビたミカンのサンタクロース,,['ONA'],1,Finished Airing,"Dec 26, 2009",,,"None found,","None found,","None found,",Original,,,2 min.,G - All Ages,[],#19170,#27797,60,0,,A Christmas short film by Tarafu Otani about a moldy mandarin.,[],Kabita Mikan no Santa Claus,,,,,,,['Avant Garde'],
130,HELLSING OVA,Hellsing Ultimate,['OVA'],10,Finished Airing,"Feb 10, 2006 to Dec 26, 2012",,,"['GDH', 'Geneon Entertainment USA', 'Shounen Gahousha']",['Funimation'],"['Madhouse', 'Satelight', 'Graphinica']",['Manga'],"['Action', 'Horror', 'Supernatural']",['Seinen'],49 min. per ep.,R - 17+ (violence & profanity),8.35,#243,#181,"971,031","22,614",502419,"There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead. Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil. In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare. [Written by MAL Rewrite]","['Prequel (Special) Hellsing: The Dawn', 'Adaptation (Manga) Hellsing']",Hellsing Ultimate,,,,,,"['Adult Cast', 'Gore', 'Military', 'Vampire']",,
131,キス×シス,,['OVA'],12,Finished Airing,"Dec 22, 2008 to Apr 6, 2015",,,"None found,",['Discotek Media'],['feel.'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",['Seinen'],24 min. per ep.,R+ - Mild Nudity,6.79,#5367,#750,"341,040","1,322",189338,"When Keita Suminoe's father remarried, not only did he gain a new mother, but elder twin sisters as well. Distinct yet similar, the homely and mature Ako is a former student council president, while the athletic and aloof Riko is the previous disciplinary president. The three of them have been together since kindergarten, resulting in a deep bond between the siblings. However, over time, their relationship developed into something more romantic—and erotic . Now in his last year of middle school, Keita has already received a sports recommendation, but it's from a different high school than his two sisters. Disappointed, both sisters try to change his mind, and he agrees, giving in to their desperate pleas. Unaware of the consequences, he now has to attempt to study for his high school exams while warding off the advances of his lust-driven sisters. With their parent's blessings, Ako and Riko strive to be Keita's future wife, leaving him to try his best to keep the relationship between them strictly platonic. However, with two beautiful girls vying for his attention, will Keita be able to withstand the endless temptations? [Written by MAL Rewrite]","['Adaptation (Manga) Kiss x Sis', '']",Kiss x Sis,Kissxsis,,,,,"['Harem', 'School']",,
132,To LOVEる -とらぶる-,,['OVA'],6,Finished Airing,"Apr 3, 2009 to Apr 2, 2010",,,['Shueisha'],"None found,",['Xebec'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",['Shounen'],25 min. per ep.,R+ - Mild Nudity,7.24,#3148,#1398,"181,845",286,103321,"Episode 01: Rito becomes a Woman Lala invents a gizmo to make her bust bigger. However, this invention of hers accidentally turns Rito into a woman. Episode 02: Rito and Mikan Feeling lonely because Rito is always spending time with Lala, Mikan storms out of the house. While Rito and Lala are out looking for her a few flashbacks from the past, showing Rito and Mikan as kids, are shown. Episode 03: Welcome to the Southern Resort!! Haruna wins an island resort trip for ten females. Rito gets turned into a dog by one of Lala's inventions and somehow ends up on the island as well. Episode 04: Trouble Quest Rito and the girls become trapped inside an RPG game where the objective is to save Lala and defeat the evil witch Kyouko. Episode 05: Nana and Momo Lala's sisters cause mischief for Rito and his harem at a cherry blossom viewing. Episode 06: Draft, Metamorphose, Hand & Tail Yami and Yui confront with a senior, causing Yui to lose her panties. Mikan finds Peke taking snapshots of new clothing while shopping. Suddenly, a stranger steals her bag. As Rito tries to explore Lala's cleaned-up bedroom, he accidentally activates one of Lala's invention, fusing his hand to Lala's tail.","['Adaptation (Manga) To LOVE-Ru', '']",To LOVE-Ru OVA,"To-LOVE-Ru OVA, Trouble OVA, To Love You OVA",,,,To Love Ru - OVA,"['Harem', 'School']",,
133,電波的な彼女,Electromagnetic Girlfriend,['OVA'],2,Finished Airing,"Feb 4, 2009 to Dec 4, 2009",,,['Shueisha'],"None found,","[""Brain's Base""]",['Light novel'],"['Mystery', 'Suspense']",,42 min. per ep.,R - 17+ (violence & profanity),7.48,#2046,#1635,"151,909",805,68344,"Delinquent Juu Juuzawa is a lone wolf who does not see much use in befriending people. So when a girl named Ame Ochibana claims they are linked together from their previous lives, he is highly skeptical and doesn't want anything to do with her. Even stranger is that her fondest wish is to be his servant. Thinking that Ame must be delusional, he tries to distance himself from her. But when a classmate is murdered, Juu instead decides to keep her close, believing the strange girl to be the culprit. However, her intelligence and skill begin to prove invaluable as the two begin working together to solve the murder. Denpa-teki na Kanojo weaves together a story of love, loss, and devotion, showing that allies can be found in the most unlikely of places. [Written by MAL Rewrite]","['Adaptation (Manga) Denpa-teki na Kanojo', 'Adaptation (Light Novel) Denpa-teki na Kanojo']",Denpa-teki na Kanojo,The Radio Wave-Like Girlfriend,,,['School'],,,,
