,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Synonyms,Demographics
29,喧嘩番長 乙女 -GIRL BEATS BOYS-,Kenka Bancho Otome -Girl Beats Boys-,,Kenka Bancho Otome: Girl Beats Boys,Kenka Bancho Otome: Girl Beats Boys,['TV'],12,Finished Airing,"Apr 12, 2017 to Jun 28, 2017",['Spring 2017'],Wednesdays at 22:30 (JST),"['Grooove', 'DMM.com']",['Funimation'],"['Project No.9', 'A-Real']",Game,,"['Crossdressing', 'Delinquents', 'Martial Arts', 'School']",,8 min. per ep.,PG-13 - Teens 13 or older,6.43,#7488,#2432,"86,630",230,38665,"Kenka Banchou Otome - Girl Beats Boys, Hinako Nakayama has spent all of her life being raised in state-run orphanages, without ever knowing her family. As she's about to enter high school, Hinako is approached by Hikaru, a boy who claims to be her twin brother. According to Hikaru, Hikaru and Hinako are the children of the head of the powerful Onigashima yakuza family, and Hikaru wants Hinako to switches places with him at Shishiku Academy, an all-boys school overrun with the nation's toughest delinquents. Can Hinako save her brother, find romance, and become the new boss of the school? (Source: Crunchyroll)","['Adaptation (Manga) Kenka Banchou Otome: Koi no Battle Royal', '']",Kenka Banchou Otome: Girl Beats Boys,['Action'],,,
30,有頂天家族2,The Eccentric Family 2,The Eccentric Family 2,The Eccentric Family Temporada 2,La Famille Excentrique 2,['TV'],12,Finished Airing,"Apr 9, 2017 to Jun 25, 2017",['Spring 2017'],Sundays at 22:00 (JST),"['Lantis', 'Good Smile Company', 'Docomo Anime Store', 'Yomiuri TV Enterprise', 'DMM.com', 'Cygames']","None found,",['P.A. Works'],Novel,"['Comedy', 'Drama', 'Fantasy']","['Anthropomorphic', 'Mythology', 'Urban Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.07,#575,#2843,"66,637",323,26736,"After uncovering the truth behind their father's untimely death, life for the four Shimogamo brothers returns to relative peace with each trying to live up to their father's greatness in their own way. For the eldest, Yaichirou, who aims to become the next Trick Magister and leader of the tanuki society, it starts with reinstating the popular shogi tournament. For Yajirou, it is restoring his former shapeshifting abilities, whilst little Yashirou is content with continuing his work at the family’s factory. But for the third son, Yasaburou, it simply means embracing the ""fool's blood"" he inherited from his father and living a carefree but interesting life. This, of course, includes hunting for the mysterious and elusive snake-like creature known as a tsuchinoko, and causing ripples of trouble at every turn. However, these ripples threaten to turn into waves with the return of Nidaime, the estranged son of the brothers' tengu teacher, Professor Akadama. Nidaime bears a grudge against not only his father, but his father's apprentice Benten as well. His loyalties suddenly brought into question, Yasaburou must use his tanuki wit to appease all sides without getting caught in the crossfire, before the delicate balance between human, tengu, and tanuki is overthrown and all hell breaks loose. [Written by MAL Rewrite]","['Prequel (TV) Uchouten Kazoku', 'Adaptation (Manga) Uchouten Kazoku']",Uchouten Kazoku 2,,,Uchoten Kazoku 2,
31,遊戯王VRAINS,Yu-Gi-Oh! VRAINS,Yu-Gi-Oh! Vrains,Yu-Gi-Oh! Vrains,Yu-Gi-Oh! Vrains,['TV'],120,Finished Airing,"May 10, 2017 to Sep 25, 2019",['Spring 2017'],Wednesdays at 18:25 (JST),"['TV Tokyo', 'Nihon Ad Systems']",['Konami Cross Media NY'],['Gallop'],Card game,"['Action', 'Fantasy', 'Sci-Fi']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.70,#5906,#3341,"49,411",267,20297,"The world of Duel Monsters is once again evolving with the development of a network called Link Vrains and a new summoning mechanic introduced as Link Summoning. By using this cyberspace, duelists can now create their own avatars and duel their way to glory within a virtual reality. However, much like the real world, the digital world is not free from war, conflict, and mysteries. Years ago, a hacker organization known as the Knights of Hanoi unleashed an attack on Link Vrains. Led by the anonymous Revolver, their aim was to annihilate the artificial intelligence program known as the Cyberse. After a failed attempt, one of their targets, Ignis, managed to escape and hide the Cyberse somewhere in the network. Five years later, high school student Yuusaku Fujiki encounters a strange artificial intelligence program while dueling in Link Vrains. Under the guise of his avatar named Playmaker, Yuusaku and his partner in crime, Shouichi Kusanagi, decide to join forces with the peculiar existence. As he seeks the truth behind a mysterious incident of the past, Yuusaku battles against the Knights of Hanoi and SOL Technologies in a race that might alter the fate of the world. [Written by MAL Rewrite]",[],Yu☆Gi☆Oh! VRAINS,,['Strategy Game'],"Yuu Gi Ou!, Yugioh",
32,フレームアームズ・ガール,,,,,['TV'],12,Finished Airing,"Apr 4, 2017 to Jun 20, 2017",['Spring 2017'],Tuesdays at 01:05 (JST),"['Frontier Works', 'Pony Canyon', 'Nippon Columbia', 'Bandai Namco Games', 'Kotobukiya']",['Sentai Filmworks'],"['Zexcs', 'Studio A-CAT']",Other,"['Action', 'Sci-Fi']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.36,#7911,#4024,"34,680",53,11504,"Ao Gennai is a completely average first-year high school student—that is, until a mysterious package is delivered to her home one day. Inside she finds Gourai, a tiny humanoid robot capable of movement and combat known as a Frame Arms Girl. Gourai is the first of her kind, possessing an extremely advanced AI that allows her to form a personality, learn, and grow, much like the human mind. Following Gourai's activation, Ao is thrust headfirst into the world of Frame Arms Girls as more and more of the intelligent robots are delivered straight to her front door. With a rather hefty cash incentive pushing her forward, Ao is committed to collecting as much data about the Frame Arms Girls and their combat as possible, all while they learn what it means to be human. [Written by MAL Rewrite]",[],Frame Arms Girl,,['Mecha'],,
33,アトム ザ・ビギニング,,,Atom The Beginning,,['TV'],12,Finished Airing,"Apr 15, 2017 to Jul 8, 2017",['Spring 2017'],Saturdays at 23:00 (JST),"['NHK', 'Tezuka Productions', 'Studio Mausu', 'NBCUniversal Entertainment Japan', 'Hakuhodo DY Music & Pictures', 'Fields']",['Sentai Filmworks'],"['Production I.G', 'OLM', 'Signal.MD']",['Manga'],"['Action', 'Sci-Fi']",,['Seinen'],25 min. per ep.,PG-13 - Teens 13 or older,6.80,#5322,#4166,"32,344",41,12050,"Japan in the near future suffers an unexplained major disaster. Five years later, reconstruction is well underway. Two young researchers at a university are pinning all their hopes on robot development. Now their new interpretation of the eternal hero Astro Boy up until his birth is just about to start! (Source: Showgate)","['Sequel (TV) Tetsuwan Atom', 'Sequel (TV) Tetsuwan Atom (1980)', 'Sequel (TV) Astro Boy: Tetsuwan Atom', 'Adaptation (Manga) Atom: The Beginning']",Atom: The Beginning,,,,
34,Room Mate,Room Mate,,,,['TV'],12,Finished Airing,"Apr 12, 2017 to Jun 28, 2017",['Spring 2017'],Wednesdays at 22:40 (JST),['SMIRAL Animation'],"None found,",['Typhoon Graphics'],Original,,,,4 min. per ep.,PG-13 - Teens 13 or older,4.73,#13489,#4455,"28,010",51,10893,"Another One Room series telling ""another story"" featuring male characters.",[],Room Mate,['Slice of Life'],,Room Mate: One Room Side M,
35,世界の闇図鑑,The World YAMIZUKAN,The World Yamizukan,The World Yamizukan,Sekai no Yamizukan,['TV'],13,Finished Airing,"Apr 3, 2017 to Jun 26, 2017",['Spring 2017'],Mondays at 03:35 (JST),['TV Tokyo'],"None found,",['ILCA'],Original,"['Horror', 'Supernatural']",,,4 min. per ep.,R - 17+ (violence & profanity),4.73,#13495,#4750,"24,154",23,8547,"Tucked away in the darkest depths of this world, tales of the bizarre and the supernatural quietly unfold. These inexplicable stories are chronicled throughout the pages of a certain strange encyclopedia, sheltered within a crumbling, decrepit building. Do you dare to open its cover and experience the horrors firsthand? Each of the macabre tales held within the book's pages details some unusual, surreal experiences that often come to a gruesome end. A man searches for his adulterous wife, only to find himself at the mercy of otherworldly visitors; a boy befriends a snowman who harbors a sinister secret; crop circles suddenly form on a family farm, created by some unexpected visitors; hidden in plain sight, menacing mechanical beings continue on undetected. In all of these horrifying stories, nothing is as simple as it seems, revealing a terrifying darkness that perhaps might have been best left alone. [Written by MAL Rewrite]",[],Sekai no Yami Zukan,,,,
36,境界のRINNE,RIN-NE Season 3,Rin-ne Staffel 3,Rin-ne Temporada 3,Rin-ne Saison 3,['TV'],25,Finished Airing,"Apr 8, 2017 to Sep 23, 2017",['Spring 2017'],Saturdays at 17:35 (JST),"['Shogakukan-Shueisha Productions', 'NHK', 'Shogakukan', 'Egg Firm']",['Sentai Filmworks'],"[""Brain's Base""]",['Manga'],"['Comedy', 'Supernatural']","['Mythology', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.06,#4085,#4773,"23,963",21,8197,The third season of Kyoukai no Rinne.,"['Prequel (TV) Kyoukai no Rinne 2nd Season', 'Adaptation (Manga) Kyoukai no Rinne']",Kyoukai no Rinne 3rd Season,,,,
37,ID-0,ID-0,,,,['TV'],12,Finished Airing,"Apr 9, 2017 to Jun 25, 2017",['Spring 2017'],Sundays at 23:00 (JST),"['Bandai Visual', 'Lantis', 'Ultra Super Pictures', 'World Cosplay Summit']","None found,",['SANZIGEN'],Original,,"['Mecha', 'Space']",,24 min. per ep.,PG-13 - Teens 13 or older,6.50,#7083,#4900,"22,333",22,9728,"Transferring the human consciousness into a robotic ""I-Machine"" is now a reality thanks to the discovery of a valuable ore called ""orichalt."" However, there is the possibility of the consciousness failing to return to the host's body, rendering them stuck inside their new metallic frame for good. Such is the situation of members of the Excavate Company, a reckless band of I-Machine miners led by the notorious Grayman that aims to gather orichalt for profit. During a mining incursion, the group rescues Maya Mikuri, a student who was abandoned by her crew. Accused of stealing classified information on orichalt by her former colleagues, she joins the Excavate Company in hopes of clearing her name. They then begin an adventure that will change their lives—including that of Ido, an ace member of the group with no memory of his past. For the first time, Ido might have the chance to rediscover his true identity. [Written by MAL Rewrite]",[],ID-0,['Sci-Fi'],,,
38,カブキブ！,Kabukibu!,,,,['TV'],12,Finished Airing,"Apr 7, 2017 to Jun 23, 2017",['Spring 2017'],Fridays at 02:28 (JST),"['Shochiku', 'Pony Canyon', 'TBS', 'Kadokawa']",['Sentai Filmworks'],['Studio Deen'],Novel,,"['Performing Arts', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,6.61,#6419,#5064,"20,799",22,6303,"Kurogu had a love of kabuki theater instilled in him from a very young age thanks to his grandfather. Now, as a high school student, he desires to create his own kabuki club in order to bring an appreciation of kabuki to a wider audience. He'll find, though, that with the weight of hundreds of years of strict tradition, it's not so easy to get high schoolers interested. A rough start is not enough to deter Kurogu, and he'll work hard to inspire in others the same burning passion he feels, until the day he can put on his own performance! (Source: Honey's Anime)","['Adaptation (Manga) Kabuki-bu!', '']",Kabuki-bu!,,,,
39,ベイブレードバースト 神〈ゴッド〉,Beyblade Burst Evolution,,,Beyblade Burst Evolution,['TV'],51,Finished Airing,"Apr 3, 2017 to Mar 26, 2018",['Spring 2017'],Mondays at 17:55 (JST),"['TV Tokyo', 'd-rights']",['ADK Emotions NY Inc.'],['OLM'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",,['Kids'],24 min. per ep.,PG - Children,7.14,#3665,#5053,"20,908",149,12302,"Valt Aoi, who participated in the Japanese Championship, was scouted for the prestigious Spanish team BC Sol and heads out to Spain. With their sights set on the world, Valt and his friends begin their challenge for the World League! However, in order to qualify for the World League, they must first win the European League. Will Valt be able to take BC Sol to the World League? And can he defeat the world's strongest Bladers? (Source: Beyblade Fandom Wiki)","['Prequel (TV) Beyblade Burst', 'Sequel (TV) Beyblade Burst Chouzetsu']",Beyblade Burst God,,,,
40,シンデレラガールズ劇場,THE IDOLM@STER CINDERELLA GIRLS Theater,The Idolm@ster Cinderella Girls Theater,The Idolm@ster Cinderella Girls Theater,The iDOLM@STER Cinderella Girls Gekijou,['TV'],13,Finished Airing,"Apr 4, 2017 to Jun 27, 2017",['Spring 2017'],Tuesdays at 21:55 (JST),"['Frontier Works', 'Half H.P Studio', 'Nippon Columbia', 'Bandai Namco Entertainment', 'Anime Consortium Japan', 'Kadokawa']",['Crunchyroll'],"['Gathering', 'Lesprit']",['4-koma manga'],"['Comedy', 'Slice of Life']",,,3 min. per ep.,PG-13 - Teens 13 or older,6.54,#6810,#5168,"19,710",31,5991,"The girls of 346 Productions are back in this bite-sized look at their personal lives! Follow the idols of the Cinderella Project as they take a break from their hectic routine and instead go on vacations, eat at restaurants, and partake in other cheerful activities. Whether their faithful producer is along for the ride or just their fellow idols, everyone knows how to make the most of their days off. Departing from its regular format, Cinderella Girls Gekijou is composed of several skits packed into shorter three-minute episodes, focusing on one or more characters at a time. [Written by MAL Rewrite]","['Sequel (TV) Cinderella Girls Gekijou 2nd Season', 'Adaptation (Manga) Cinderella Girls Gekijou']",Cinderella Girls Gekijou,,['Idols (Female)'],"The iDOLM@STER Cinderella Girls Gekijou, The Idolmaster Cinderella Girls Gekijou, Cingeki",
41,笑ゥせぇるすまんNEW,The Laughing Salesman,The Laughing Salesman New,Warau Salesman (Nueva versión),The Laughing Salesman,['TV'],12,Finished Airing,"Apr 3, 2017 to Jun 19, 2017",['Spring 2017'],Mondays at 23:00 (JST),"['TMS Entertainment', 'Nippon Columbia', 'Shogakukan Music & Digital Entertainment', 'JR East Marketing & Communications', 'Sumitomo']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Drama']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.28,#8397,#5177,"19,641",19,8043,"Each episode follows Fukuzou Moguro, a traveling salesman, and his current customer. Moguro deals in things that give his customers their heart's desire, and once his deals are made and their unhealthy desires are satisfied, Moguro's customers are often left with terrible repercussions, especially if they break the rules of his deals...","['Prequel (TV) Warau Salesman', 'Adaptation (Manga) Warau Salesman']",Warau Salesman New,,['Adult Cast'],"Smiling Salesman New, Laughing Salesman New",
42,高校星歌劇［スタミュ］,,Starmyu Staffel 2,Starmyu Temporada 2,Starmyu Saison 2,['TV'],12,Finished Airing,"Apr 4, 2017 to Jun 20, 2017",['Spring 2017'],Tuesdays at 00:00 (JST),['NBCUniversal Entertainment Japan'],"None found,",['C-Station'],Original,,"['Idols (Male)', 'Music', 'Performing Arts', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,7.27,#2987,#5390,"17,658",72,6773,"A new school year has begun at Ayanagi Academy for Yuuta Hoshitani and the members of Team Ootori. As the school's annual graduation performance titled ""Shadow and Lights"" quickly approaches, the second-years in the Musical Department must participate in the production as part of their curriculum. Out of the 25 students in the division, five of them will receive a training role and actively participate as actors in the program alongside the graduating class. Attaining one of these coveted spots will not only increase a student's academic standing within the department, but it will also put them in the running for a position on the elite Kao Council. While every student in the department strives to obtain one of the five training roles, Team Yuzuriha's Riku Ageha is practically a front-runner for the role of Alexis' Shadow. Having idolized an Ayanagi alumnus' performance of Alexis, Ageha has spent a majority of his life perfecting the portrayal in hopes of being selected for the show. In contrast, Hoshitani's lack of experience in show business puts him at a great disadvantage for any of the roles in the production. With specialized training from the ""Ancients""—former Kao Council members and Ayanagi alumni—the second-years give it their all as they aim for the stars and beyond. [Written by MAL Rewrite]","['Prequel (OVA) Starmyu OVA', 'Sequel (TV) Starmyu 3rd Season', 'Adaptation (Manga) Starmyu', '']",Starmyu 2nd Season,['Slice of Life'],,"Koukou Hoshi Kageki 2nd Season, High School Star Musical 2nd Season, Starmu",
43,ツインエンジェルBREAK,Twin Angels Break,Twin Angels Break,Twin Angels Break,,['TV'],12,Finished Airing,"Apr 7, 2017 to Jun 23, 2017",['Spring 2017'],Fridays at 22:00 (JST),"['Sammy', 'Kadokawa']","None found,",['J.C.Staff'],Game,,,,23 min. per ep.,PG-13 - Teens 13 or older,5.95,#10159,#5820,"14,463",16,4088,"Amatsuki Meguru is a girl who innocently aspires to be a hero of justice and the cool Kisaragi Sumire who grew up in the strict Kisaragi household... The two girls who are in their 3rd year of middle school end up getting orders from a mysterious hedgehog named Miruku-chan and turn into Twin Angels in order to fight evil! Meguru is always cheerful but sometimes a bit too forceful. Meanwhile, Sumire isn't accustomed with being around others. Despite their differences, as they work together, they start opening up to each other. (Source: Crunchyroll)","['Prequel (TV) Kaitou Tenshi Twin Angel: Kyunkyun☆Tokimeki Paradise!!', '']",Twin Angel Break,['Fantasy'],['Mahou Shoujo'],Kaitou Tenshi Twin Angel,
44,信長の忍び~伊勢・金ヶ崎篇~,Ninja Girl & Samurai Master 2nd,Ninja Girl & Samurai Master 2nd,Nobunaga no Shinobi: Saga de Ise/Kanagasaki,Nobunaga no Shinobi Saison 2,['TV'],26,Finished Airing,"Apr 8, 2017 to Sep 30, 2017",['Spring 2017'],Saturdays at 01:35 (JST),['TMS Music'],"None found,",['TMS Entertainment'],['4-koma manga'],,,,3 min. per ep.,PG-13 - Teens 13 or older,7.16,#3595,#6020,"13,252",15,5796,"A skilled, deadly ninja on the clock and an adorable, naïve girl off it, Chidori continues to pave the way forward for her master, Nobunaga Oda, in his conquest of the Land of the Rising Sun. Though Nobunaga has made great progress in his quest, uniting a nation has not become any easier. Between vindictive former enemies and powerful new rivals, his stubborn adversaries have taken up arms to stamp out the warlord's ambitions. However, standing beside the ambitious general are his many close friends and supporters, including one loyal, capable shinobi. Ready to serve in whatever way she can, Chidori gathers key allies, infiltrates enemy castles, and duels against skilled warriors in the name of realizing her lord's dream: establishing a unified Japan. [Written by MAL Rewrite]","['Prequel (TV) Nobunaga no Shinobi', 'Sequel (TV) Nobunaga no Shinobi: Anegawa Ishiyama-hen', 'Adaptation (Manga) Nobunaga no Shinobi', '']",Nobunaga no Shinobi: Ise Kanegasaki-hen,['Comedy'],['Historical'],,
45,ラブ米 -WE LOVE RICE-,Love Rice,Love Rice,Love Rice,,['TV'],12,Finished Airing,"Apr 5, 2017 to Jun 21, 2017",['Spring 2017'],Wednesdays at 22:50 (JST),"['Just Production', 'Kanetsu Investment']","None found,",['Encourage Films'],Original,"['Comedy', 'Gourmet']","['Parody', 'School']",,4 min. per ep.,PG-13 - Teens 13 or older,4.66,#13547,#6299,"11,777",13,4663,"The project anthropomorphizes rice (kome in Japanese) into schoolboys. At the Kokuritsu Inaho Academy (""Rice Ear Academy,"" a wordplay on national schools), five new rice-inspired students attempt to supplant bread as the popular grain at the school. The new students form the ""Love Rice"" unit and challenge themselves to perform at the ""Harvest Show"" to show the delicious appeal of rice grains. The ""heartwarming 'kome'dy with laughs and passion"" promises to let audiences rediscover the virtues of rice (""Japan's soul food""). (Source: ANN)","['Sequel (TV) Love Kome: We Love Rice Nikisaku', '']",Love Kome: We Love Rice,,,,
46,アイドルタイムプリパラ,,Idol Time Pripara,Idol Time Pripara,,['TV'],51,Finished Airing,"Apr 4, 2017 to Mar 27, 2018",['Spring 2017'],Tuesdays at 17:55 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Avex Pictures', 'Takara Tomy A.R.T.S', 'Shogakukan']","None found,","['Tatsunoko Production', 'Dongwoo A&E']",Game,,"['Idols (Female)', 'Music', 'School']",,24 min. per ep.,PG - Children,7.29,#2866,#7460,"7,794",49,2478,"The story focuses on Yui, a girl who lives in the town of Paparajuku, and who dreams of being an idol, even if she realizes that being an idol is next to impossible for her. Her friends often remark on how much she dreams about it. But then, the PriPara idol theme park opens in her town, and that an idol named Laala is coming to town from Parajuku, which only makes Yui dream even bigger. The new PriPara theme park has been updated with new concepts. However, due to a system error, Laala is no longer able to PriPara Change. (Source: ANN)","['Prequel (TV) PriPara', '']",Idol Time PriPara,,,,
47,フューチャーカード バディファイトX,Future Card Buddyfight X,Future Card Buddyfight X,Future Card Buddyfight X,Future Card Buddyfight X,['TV'],52,Finished Airing,"Apr 1, 2017 to Mar 31, 2018",['Spring 2017'],Saturdays at 08:00 (JST),"['Dentsu', 'Bushiroad', 'TV Aichi']","None found,","['Xebec', 'OLM']",Card game,,,,23 min. per ep.,PG - Children,6.61,#6455,#8811,"5,195",15,2513,The fourth season of Future Card Buddyfight.,"['Prequel (TV) Future Card Buddyfight Triple D', 'Sequel (TV) Future Card Buddyfight Battsu: All-Star Fight']",Future Card Buddyfight Battsu,,['Strategy Game'],,
48,プリプリちぃちゃん!!,PriPri Chi-chan!!,PriPri Chi-chan!!,PriPri Chi-chan!!,PriPri Chi-chan!!,['TV'],36,Finished Airing,"Apr 15, 2017 to Dec 16, 2017",['Spring 2017'],Saturdays at 06:30 (JST),"None found,","None found,",['OLM'],['Manga'],"['Comedy', 'Sci-Fi']",,['Shoujo'],12 min. per ep.,G - All Ages,6.38,#7824,#9655,"3,953",11,1314,"The story revolves around a girl named Yuuka, who encounters a being from the depths of the Earth named Chii-chan (a pun of chiteijin, the Japanese word for underground-dweller), and an alien named Ucchan (a pun of uchuujin or alien). The story follows their heartwarming and chaotic everyday lives together.","['Adaptation (Manga) PriPri Chii-chan!!', '']",PriPri Chii-chan!!,,,"Puripuri Chii-chan!!, Puri Puri",
49,100%パスカル先生 (TV),100% Teacher Pascal,100% Teacher Pascal,100% Teacher Pascal,100% Teacher Pascal,['TV'],36,Finished Airing,"Apr 15, 2017 to Dec 16, 2017",['Spring 2017'],Saturdays at 06:30 (JST),"['Dentsu', 'Shogakukan-Shueisha Productions', 'Asatsu DK', 'Mainichi Broadcasting System', 'Nippon Columbia', 'Shogakukan', 'Sumitomo']","None found,",['OLM'],['Manga'],,,['Kids'],12 min. per ep.,PG - Children,5.73,#11214,#10291,"3,226",4,1360,"The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human. (Source: ANN)","['Adaptation (Manga) 100% Pascal-sensei', '']",100% Pascal-sensei (TV),['Comedy'],,,
50,リルリルフェアリル ~魔法の鏡~,,,,,['TV'],51,Finished Airing,"Apr 7, 2017 to Mar 30, 2018",['Spring 2017'],Fridays at 17:55 (JST),['Sotsu'],"None found,",['Studio Deen'],Original,"['Fantasy', 'Slice of Life']",,,23 min. per ep.,G - All Ages,6.63,#6334,#11310,"2,394",5,538,Second Season of Rilu Rilu Fairilu: Yousei no Door.,"['Prequel (TV) Rilu Rilu Fairilu: Yousei no Door', 'Sequel (TV) Oshiete Mahou no Pendulum: Rilu Rilu Fairilu']",Rilu Rilu Fairilu: Mahou no Kagami,,,,
51,まけるな!! あくのぐんだん！,,,,,['TV'],12,Finished Airing,"Apr 5, 2017 to Jun 21, 2017",['Spring 2017'],Wednesdays at 22:45 (JST),['Bushiroad'],"None found,",['Tatsunoko Production'],['Manga'],,,['Shounen'],4 min. per ep.,G - All Ages,5.33,#12609,#11792,"2,069",1,916,"After coming across an advertisement about how anyone can lead an invasion force, young Don decides to establish a ragtag squad of his own to conquer the cosmos. Working alongside him are the aloof Pepu and the gaming-obsessed Chiku, though the value of their membership remains somewhat questionable. With his two henchmen by his side, the crew's inexperienced leader sets his sights on their first target: Earth. According to the manuals, Earth should be a simple enough target, but the situation spirals out of control right from the start. As it turns out, convincing over seven billion humans to simply roll over and accept their new overlord is no easy feat. Having been blown off by the entire human species, Don and his squadron touch down on Earth and begin their search for a way to subjugate humanity. However, with their unexpected failure, they face more pressing issues—namely, finding food and paying rent—so their plans for galactic domination will have to be put on hold for a little longer. [Written by MAL Rewrite]","['Adaptation (Manga) Makeruna!! Aku no Gundan!', '']",Makeruna!! Aku no Gundan!,['Comedy'],,Makeru na!! Aku no Gundan!,
52,플라워링 하트 2,Flowering Heart 2,,,,['TV'],26,Finished Airing,"May 29, 2017 to Nov 21, 2017",['Spring 2017'],Mondays at 08:30 (JST),"['EBS', 'Iconix Entertainment']","None found,","None found,",Original,,,['Kids'],11 min. per ep.,G - All Ages,6.05,#9668,#11820,"2,050",11,514,The second season of Flowering Heart.,"['Prequel (TV) Flowering Heart', '']",Flowering Heart 2,,,,
53,デュエル・マスターズ (2017),,,,,['TV'],51,Finished Airing,"Apr 2, 2017 to Mar 25, 2018",['Spring 2017'],Sundays at 08:30 (JST),"None found,","None found,",['Ascension'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG-13 - Teens 13 or older,5.62,#11727,#12044,"1,917",3,289,"In the new series' story, the balance of the Creature World is starting to crumble. A talking deck case named Decky comes to the human world to search for a Duel Master to preserve equilibrium. There he sees Joe's power to create creatures. (Source: ANN)","['Prequel (TV) Duel Masters VSRF', 'Sequel (TV) Duel Masters!', 'Adaptation (Manga) Duel Masters', '']",Duel Masters (2017),,,,
54,猫のロブ,,,,,['TV'],10,Finished Airing,"May 6, 2017 to Mar 16, 2018",['Spring 2017'],Saturdays at 06:30 (JST),"['Gakken', 'MMDGP', 'Anime Beans']","None found,",['Kachidoki Studio'],Original,"['Comedy', 'Slice of Life']",,,1 min. per ep.,G - All Ages,[],#18150,#13229,"1,324",0,,"The series stars a cat with a lack of energy who speaks while lying down, yet has a thorough personality. He thinks various things and has fun watching humans.",[],Neko no Robu,,,Neko no Rob,
55,ワールドフールニュース PartⅡ,World Fool News Part II,World Fool News Part II,World Fool News Temporada 2,World Fool News Part II,['TV'],12,Finished Airing,"Apr 2, 2017 to Jun 18, 2017",['Spring 2017'],Sundays at 18:45 (JST),"None found,","None found,",['CoMix Wave Films'],Other,"['Comedy', 'Slice of Life']",,,9 min. per ep.,PG-13 - Teens 13 or older,5.77,#11079,#13375,"1,270",1,515,Direct continuation of World Fool News (TV).,"['Prequel (TV) World Fool News (TV)', '']",World Fool News (TV) Part II,,['Workplace'],"World Fool News (TV) 2nd Season, World Fool News (TV) Season 2",
56,トミカハイパーレスキュー ドライブヘッド 機動救急警察,,,,,['TV'],37,Finished Airing,"Apr 15, 2017 to Dec 23, 2017",['Spring 2017'],Saturdays at 07:00 (JST),['TBS'],"None found,",['OLM'],Other,"['Adventure', 'Mystery', 'Sci-Fi']","['Detective', 'Mecha']",,24 min. per ep.,PG - Children,6.11,#9299,#13383,"1,264",2,236,"A little bit in the future, the government has established a brand new organization with the purpose of rescuing lives to respond to the increasingly complicated and varied types of disasters, accidents and crimes that go beyond human comprehension. It is called the ""Mobile Emergency Police DRIVE HEAD"" force combining specialized police, firefighting and rescue skills. ""DRIVE HEAD"" is an advanced mobile device that transforms in form factor from car to humanoid walker vehicle. The drivers are high-aptitude, grade school students such as Go Kurumada who collaborate with mobile emergency police adults and rush to crisis situations to secure public safety and preserve the peace for all! (Source: TBS Global Business)","['Sequel (ONA) Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (ONA)', '']",Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu,,,Mobile Emergency Police,
57,安玲与史迪奇,Stitch & Ai,,,,['TV'],13,Finished Airing,"Mar 27, 2017 to Apr 6, 2017",['Spring 2017'],Unknown,"['Anhui Xinhua Media', 'Panimation Hwakai Media', 'Disney Animation China']","None found,","None found,",Original,"['Adventure', 'Sci-Fi']",,['Kids'],22 min. per ep.,G - All Ages,5.88,#10511,#13527,"1,221",3,252,"An Ling Yu Shi Di Qi follows the events of Lilo & Stitch (and its subsequent film and television sequels up to and including Leroy & Stitch) but before the events of the Stitch! anime. The series shows Stitch kidnapped by space criminals who want to use him to have their own destructive genetic experiment. However, he escapes to China's Huangshan mountains, where he befriends Ai, a spirited local girl who is at risk of being separated from her older sister Jiejie. Stitch becomes Ai's ""dog"", and the two help one another dealing with the other's problems; Ai helps Stitch deal with the space criminals, while he helps her stay in the mountains with her family. Jumba and Pleakley later show up initially trying to bring Stitch back to the United Galactic Federation, but Ai and Jiejie convince the two aliens to let Stitch stay with them. Although Jumba and Pleakley also stay to keep a watch on Stitch and to help out him and his new family, Jumba gets concerned that a hidden function that he secretly programmed in Stitch—a function that causes the experiment to grow into a giant beast when his destructive programming is triggered in a large city—could be unleashed if the space criminals figure out how to subconsciously manipulate Stitch into triggering it. (Source: Wikipedia)",[],An Ling Yu Shi Di Qi,,,An Ling and Stitch,
