,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Spanish,Genre,Demographics
151,Monster List Season 2,妖怪名单第2季,,,,['ONA'],21,Finished Airing,"Aug 3, 2017 to Dec 28, 2017",,,['Tencent Animation & Comics'],"None found,",['Haoliners Animation League'],['Web manga'],"['Action', 'Comedy', 'Fantasy', 'Romance']",,,16 min. per ep.,R - 17+ (violence & profanity),7.44,#2212,#6901,"9,500",21,2436,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Yaoguai Mingdan', 'Adaptation (Manhua) Yaoguai Mingdan']",Yaoguai Mingdan 2nd Season,,,,
152,,ガンダムビルドファイターズ バトローグ,,,,['ONA'],5,Finished Airing,"Aug 4, 2017 to Dec 8, 2017",,,['Sotsu'],['Nozomi Entertainment'],['Sunrise'],Original,"['Action', 'Sci-Fi']",,,11 min. per ep.,G - All Ages,6.76,#5572,#7096,"8,889",5,4271,This is a dynamic dream battle featuring many types of Gunpla skirmishing in all sorts of situations. (Source: gundam.info),[],Gundam Build Fighters: Battlogue,['Mecha'],,,
153,,夢が覚めるまで,Before You Wake Up,,,['ONA'],1,Finished Airing,"Jul 13, 2017",,,"['Aniplex', ""I'm Enterprise"", 'MusicRay’n', 'Straight Edge', 'THINKR']","None found,",['Flat Studio'],Original,,,,1 min.,PG-13 - Teens 13 or older,6.88,#4937,#7691,"7,250",17,2416,"One night, university student Souta meets a girl he has never met before. Yuki, who claims to have been saved by Souta in the past, seems to know nothing about outside world, from shopping to holding a fork. There is also something curious about her. She is extremely afraid of getting her skin touched. The curious life of the strange girl changes little by little. There are men who seek to capture Yuki. It is said that Yuki has a power which holds the fate of the world, and they want her to sacrifice herself for the world. What is the power within Yuki? Why does she refuse to be touched? At last, Yuki reveals to Souta her hidden truth.",[],Yume ga Sameru made,,,['Drama'],
154,Princess Principal Recap,プリンセス・プリンシパル　～アンジェ・レポート～,,,,['ONA'],1,Finished Airing,"Sep 16, 2017",,,"None found,","None found,","['Actas', 'Studio 3Hz']",Original,"['Action', 'Mystery']",,,24 min.,R - 17+ (violence & profanity),6.50,#7107,#7878,"6,837",4,1388,Chronological summary of episode 1 to 8 of Princess Principal.,[],Princess Principal: Ange Report,['Historical'],,,
155,,FASTENING DAYS,,,,['ONA'],1,Finished Airing,"Oct 30, 2014",,,"None found,","None found,",['Studio Colorido'],Original,,,['Kids'],11 min.,G - All Ages,6.37,#7888,#8091,"6,389",2,2989,"Yoji and Kei, a boy and girl, live in a town in the not-so-distant future with their foster parent, Anna. But these seemingly ordinary children have a secret hidden even from their unsuspecting mother. Yoji and Kei are superhero defenders of their town! With a flap of their capes, the two of them and their robot bear sidekick, Oscar, protect the citizens in their town with their handmade high-tech machinery. But from what menace? And will our little heroes be able to overcome the crisis about to threaten the town's peaceful everyday serenity? Check out this utterly electrifying near-future animation to find out! (Source: Official website)","['Sequel (ONA) Fastening Days 2', '']",Fastening Days,,,,
156,,蓝漠的花,Lan Mo's Flower,,,['ONA'],9,Finished Airing,"Jul 13, 2017 to Aug 14, 2017",,,['Colored Pencil Animation Japan'],"None found,",['Colored Pencil Animation'],['Web manga'],,,,13 min. per ep.,PG-13 - Teens 13 or older,6.41,#7653,#8218,"6,136",18,2021,"Gluttonous and tomboyish, Lan Mo is hardly anyone's ideal girl, but with a magical hair clip from a mysterious trinket shop that disappears the next day, she may be able to become just that. With its power, she can transform into a beautiful and feminine young lady, someone who may finally be able to catch the eye of her childhood friend and crush, Liu Yifeng. However, keeping the clip's secret proves difficult for Lan Mo when faced with Liu Yifeng's admirers and the mysterious stranger Xia An. And to further complicate matters, Lan Mo's possession of the hair clip may turn out to be more than just mere coincidence. [Written by MAL Rewrite]",[],Lan Mo de Hua,['School'],,['Romance'],
157,Battle Through the Heavens Specials,斗破苍穹 特别篇,Fights Break Sphere Specials,,,['ONA'],2,Finished Airing,"Sep 30, 2017 to Oct 7, 2017",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Motion Magic'],Novel,"['Action', 'Adventure', 'Fantasy']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.66,#1399,#8285,"6,039",29,3276,"In a land where no magic is present. A land where the strong make the rules and weak have to obey. A land filled with alluring treasures and beauty, yet also filled with unforeseen danger. Three years ago, Xiao Yan, who had shown talents none had seen in decades, suddenly lost everything. His powers, his reputation, and his promise to his mother. What sorcery has caused him to lose all of his powers? And why has his fiancee suddenly shown up? (Source: wuxiaworld.com)","['Prequel (ONA) Doupo Cangqiong', '']",Doupo Cangqiong Specials,['Mythology'],,,
158,Dream-Fes! R,ドリフェス！R,,,,['ONA'],12,Finished Airing,"Aug 23, 2017 to Nov 8, 2017",,,"None found,","None found,",['Bandai Namco Pictures'],Original,,"['Idols (Male)', 'Music']",,23 min. per ep.,PG-13 - Teens 13 or older,6.84,#5126,#8597,"5,548",20,2067,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Dream Festival!', '']",Dream Festival! R,,DREAM FESTIVAL! R,,
159,Resort of Cumpie Fantasies,気に入った膣にいきなり中出しOKなリゾート島,,,,['ONA'],2,Finished Airing,"Sep 20, 2017 to Oct 13, 2017",,,['SELFISH'],"None found,",['Office TakeOut'],['Manga'],,,,17 min. per ep.,Rx - Hentai,6.89,N/A,#8773,"5,249",11,2003,Based on the doujin manga by Aomizuan.,[],Kiniitta Chitsu ni Ikinari Nakadashi OK na Resort-tou,,,['Hentai'],
160,"KOF, Quanhuang Mingyun",拳皇命运,,,,['ONA'],24,Finished Airing,"Aug 3, 2017 to Jan 4, 2018",,,['Bytehoo'],"None found,",['iDRAGONS Creative Studio'],Game,"['Action', 'Adventure', 'Drama', 'Romance']",,,16 min. per ep.,PG-13 - Teens 13 or older,6.54,#6848,#8870,"5,096",20,1939,CG anime adaptation of The King of Fighters fighting game franchise.,[],The King of Fighters: Destiny,['Martial Arts'],,,
161,"Body Search, Re/member",カラダ探し,,,,['ONA'],10,Finished Airing,"Jul 30, 2017 to Aug 31, 2017",,,"['Production I.G', 'Shueisha', 'Anime Beans']","None found,",['Studio Khronos'],['Manga'],,,['Shounen'],3 min. per ep.,R - 17+ (violence & profanity),5.42,#12361,#8915,"5,036",6,265,"""Hey, Asuka... search for my body."" At school in the middle of the night, Asuka and her friends search for the scattered body-parts. If they don't find the entire body, the 9th of November is repeated and the red person will continue to kill them. Who is the red person? (Source: MU)","['Adaptation (Manga) Karadasagashi', 'Adaptation (Manga) Karadasagashi Kai', 'Adaptation (Novel) Karadasagashi', '']",Karadasagashi,['School'],,['Horror'],
162,"Kemono Friends x JRA Collaboration, Horse Friends",ウマのフレンズ,,,,['ONA'],1,Finished Airing,"Aug 8, 2017",,,['Aoni Production'],"None found,","None found,",Game,"['Comedy', 'Fantasy', 'Sports']",,,3 min.,G - All Ages,6.20,#8825,#9384,"4,305",3,1660,An anime collaboration between Kemono Friends and the Japan Racing Association.,[],Uma no Friends,['Anthropomorphic'],,,
163,"Heibai Wushang Di Er Ji, Black and White Warriors 2nd Season, Black and White Warriors Season 2",黑白无双 第二季,Black and White Warriors,,,['ONA'],12,Finished Airing,"Aug 5, 2017 to Oct 14, 2017",,,['bilibili'],"None found,",['Wawayu Animation'],['Manga'],"['Action', 'Comedy', 'Supernatural']",,,15 min. per ep.,PG-13 - Teens 13 or older,6.28,#8415,#9454,"4,205",6,809,"The opposite bank of Lethe River is Boundary Realm with all night along, keeping the balance of the world’s deaths by ghost messengers. Black and White Warriors are ghost messengers collecting spirits from the Human Realm. Xiaohei and Xiaobai, a pair of Black and White Warriors at the bottom, whose relationship became delicate after experiencing the incident happened inside One Hundred Ghost Great Seal. At the same time, Xiaobai’s true identity began to surface…","['Prequel (ONA) Heibai Wushang', 'Sequel (ONA) Heibai Wushuang 3rd Season', 'Adaptation (Manhua) Heibai Wushang', '']",Heibai Wushang 2nd Season,,,,
164,"The Running Heroes, Parkour Hero",酷跑英雄,,,,['ONA'],26,Finished Airing,"Sep 2, 2017 to Feb 17, 2018",,,['Tencent Penguin Pictures'],"None found,",['B.CMAY PICTURES'],Game,"['Action', 'Adventure', 'Fantasy']",,,13 min. per ep.,None,5.61,#11751,#9769,"3,815",6,535,The animation tells the story of Xiao Shuai who has gone into a cool running world by accident and is embroiled in a dispute between parkour colleges.,[],Ku Pao Ying Xiong,['Strategy Game'],,,
165,"Youkoso! Kirara Fantasia: New Game!-hen, Youkoso! Kirara Fantasia: Kiniro Mosaic-hen, Youkoso! Kirara Fantasia: Yuyushiki-hen, Youkoso! Kirara Fantasia: Stella no Mahou-hen, Youkoso! Kirara Fantasia: Gakkougurashi!-hen",きららファンタジア,Kirara Fantasia,,,['ONA'],13,Finished Airing,"Aug 11, 2017 to Mar 12, 2018",,,"None found,","None found,","None found,",Other,,,,1 min. per ep.,PG-13 - Teens 13 or older,5.85,#10677,#9860,"3,717",5,329,Kirara Fantasia is a mobile fantasy RPG using characters from the manga magazines under the Manga Time Kirara brand. Animated advertisements and promotions were made for the game and streamed on Aniplex's official YouTube channel.,"['Adaptation (Manga) Kirara Fantasia', '']",Kirara Fantasia,,,['Fantasy'],
166,"Way of Choices 3rd Season, Fighter of the Destiny 3rd Season",择天记 第三季,,,,['ONA'],12,Finished Airing,"Jul 26, 2017 to Oct 11, 2017",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Foch Film'],Novel,"['Action', 'Adventure', 'Fantasy']",,,20 min. per ep.,PG-13 - Teens 13 or older,6.96,#4574,#10035,"3,498",5,1259,The third season of Ze Tian Ji.,"['Prequel (ONA) Ze Tian Ji 2nd Season', 'Sequel (ONA) Ze Tian Ji 4th Season']",Ze Tian Ji 3rd Season,,,,
167,,せいぜいがんばれ！魔法少女くるみ,,,,['ONA'],25,Finished Airing,"Jul 30, 2017 to Jun 30, 2018",,,"['Lantis', 'Quaras', 'FuRyu']","None found,",['Pie in the sky'],Original,,"['Mahou Shoujo', 'Parody']",,4 min. per ep.,G - All Ages,6.50,#7034,#10746,"2,832",9,695,"The anime centers around Kurumi Azuchimomoyama, a normal 14-year-old girl who attends Egaogaoka Middle School. One day, an angel named ""Devilun"" that looks like a Tasmanian devil appears before her, and grants her the power to be the beautiful magical girl dinosaur angel warrior ""Prima Angel,"" and tells her to fight the evil ""Darkness Whales"" organization. She proceeds to indiscriminately take out Darkness Whales members with weapons that stink of blood. The protagonists are three boy classmates of Kurumi who watch the entire thing while not really doing anything. (Source: ANN)","['Sequel (ONA) Seizei Ganbare! Mahou Shoujo Kurumi 2nd Season', '']",Seizei Ganbare! Mahou Shoujo Kurumi,,,,
168,Mon-Soni! D'Artagnan no Idol Sengen,モンソニ! ダルタニャンのアイドル宣言,Monster Sonic! D'Artagnyan's Rise to Fame,MSonic!,MSonic!,['ONA'],5,Finished Airing,"Jun 14, 2017 to Jul 19, 2017",,,['XFLAG Pictures'],"None found,",['LIDENFILMS'],Game,"['Action', 'Fantasy']","['Music', 'Strategy Game']",,14 min. per ep.,PG-13 - Teens 13 or older,5.82,#10833,#10885,"2,714",3,729,"When D'Artagnan went to Tokyo for a little fun, she spotted an unforgettable sight: Lucifer singing while basking in moonlight in a park. From that moment, no matter if she was asleep or awake, D'Artagnan's heart would not stop throbbing for some reason. One day, D'Artagnan sees a concert by the popular idol act Angely Diva at her friend Izumo's invitation. There, she resolved to follow her idol dreams, and the story of song and miracles begins. (Source: ANN)","['Prequel (ONA) Monster Sonic!: Senritsu no Lucifer, Tada Hitotsu no Hajimari no Uta', '']",Monster Sonic! D'Artagnan no Idol Sengen,,MSonic!,,
169,Xuese Cangqiong,血色苍穹,Bloody Code,,,['ONA'],26,Finished Airing,"Aug 18, 2017 to Jan 26, 2018",,,['Tencent Animation & Comics'],"None found,",['CG Year'],['Web manga'],"['Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Suspense']",,,19 min. per ep.,R - 17+ (violence & profanity),6.09,#9470,#10894,"2,708",3,615,"Li Mingyang was originally an ordinary office worker. Because of a strange QR code, he was trapped in a killing city. Here everyone is forced to participate in a survival game that is going to kill or be killed. In the process of finding a way out of the city, the mastermind behind the whole incident surfaced step by step.",[],Xue Se Cang Qiong,,,,
170,"Ani Summer, Animelo Summer Live, Kemono Friends x Anisama 2017, Kemono Friends Animelo Summer Live Introduction",あにさま,,,,['ONA'],1,Finished Airing,"Aug 30, 2017",,,"None found,","None found,","None found,",Other,"['Adventure', 'Comedy', 'Fantasy']",,,4 min.,PG - Children,5.76,#11096,#11317,"2,388",0,882,"The official YouTube channel of the Animelo Summer Live concerts began streaming a Kemono Friends anime short video on Wednesday. The video features Northern White-faced Owl and Eurasian Eagle-Owl gathering a team of friends together to clean up the dilapidated Saitama Super Arena, the real-life venue of the Animelo Summer Live event. While there, the friends find cards that teach proper behavior while enjoying the concert, such as not using electronic devices. (""What's a 'mobile'?"" ""Doesn't look very tasty."") Later, the friends see how many people are entering the venue (far above their estimate of 100), and beat a hasty retreat. (Source: ANN)",[],Anisama,,,,
171,Pikotaro Lullaby Lu-llaby,ピコ太郎のララバイラーラバイ,Pikotaro's Lullaby La La By (Web),Pikotaro's LULLABY LA LA BY,Pikotaro's Lullaby La La By (Web),['ONA'],3,Finished Airing,"Jul 17, 2017 to Jul 26, 2017",,,"None found,","None found,",['DLE'],Original,,,,2 min. per ep.,G - All Ages,5.25,#12807,#11582,"2,207",3,1267,"Pikotaro breaks new ground. Drawing inspiration from illustrations by director Taniguchi, he does the unthinkable: three-minute, scriptless fairy tale anime. Pikotaro is presented with classics loved around the world, including The Little Match Girl, Cinderella, and The Ugly Duckling. The mad genius who took the world by storm returns to bring you unique bedtime stories certain to rock you into absurd sleep. (Source: Crunchyroll)","['Sequel (TV) Pikotarou no Lullaby Lullaby (TV)', '']",Pikotarou no Lullaby Lullaby,['Parody'],Pikotaro's Lullaby La La By (Web),['Comedy'],
172,"Spiritual Domain Fifth Season, Spiritual Field 5",灵域 第五季,,,,['ONA'],12,Finished Airing,"Jul 20, 2017 to Oct 5, 2017",,,['iQIYI'],"None found,",['Haoliners Animation League'],Novel,,,,13 min. per ep.,PG-13 - Teens 13 or older,6.58,#6568,#12323,"1,741",1,600,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Ling Yu 4th Season', 'Sequel (ONA) Ling Yu 6th Season']",Ling Yu 5th Season,,,['Fantasy'],
173,"Lord of Vermilion 4, Lord of Vermilion Four",LORD of VERMILION IV,,,,['ONA'],16,Finished Airing,"Sep 3, 2017 to Oct 26, 2017",,,"None found,","None found,","None found,",Game,,,,30 sec. per ep.,G - All Ages,5.41,#12373,#12473,"1,666",0,269,"Animated commercials for Square Enix's 4th installment of the arcade-based fantasy collectible card game. The commercials feature various characters talking to the viewer giving backstory to the game (Tokyo 2030 post-apocalypse world due to bio-terrorism), their particular character cards, and demanding the viewer use their powers to their full ability to take back the world.","['Prequel (Special) Lord of Vermilion III Special Anime Movie', '']",Lord of Vermilion IV,['Strategy Game'],,['Fantasy'],
174,"A Portrait of Jianghu: Reincarnated Disciple, The Gate of Fate, The Degenerate Drawing - Double Life",画江湖之换世门生,,,,['ONA'],20,Finished Airing,"Sep 14, 2017 to Jan 25, 2018",,,"None found,","None found,",['Rocen'],Original,"['Drama', 'Fantasy', 'Mystery', 'Romance']",,,22 min. per ep.,R - 17+ (violence & profanity),6.48,#7190,#12524,"1,635",8,294,"Nian Yangxiao, came from a parallel world to save his true love who was killed in another dimension. He must find the killer who has a mark on her thigh before it was too late. If his love is killed in this world she will truly be gone forever. He has to deal with the various gangs with the help of a newly acquired power which can stop time. (Source: CrimsonSubs)","['Sequel (ONA) Hua Jianghu: Huan Shi Men Sheng 2nd Season', '']",Hua Jianghu: Huan Shi Men Sheng,['Martial Arts'],,,
175,,銃娘 [ガンガール],Gun Girls,,,['ONA'],12,Finished Airing,"Aug 18, 2017 to Oct 27, 2017",,,"['Tencent Animation & Comics', 'Tencent Penguin Pictures', 'AHA Entertainment']","None found,",['Hoods Entertainment'],Game,"['Action', 'Comedy', 'Sci-Fi', 'Slice of Life']","['Military', 'Space']",,14 min. per ep.,PG-13 - Teens 13 or older,5.37,#12518,#13200,"1,333",2,208,"Qiang Niang mainly tells of the protagonist Carrie, who has lost her combat memories, searching for herself and the story of her final ""Awakening"". In the years between 2025 to 2030, a world war involving the entire world has resulted in the demise of half the world's population, and humanity has already lost control of the direction the war shall go in. In order to seize ultimate victory, war has gradually been turned into a battle without people, similar to a game. War has already become about Satellite lasers, Bomb drones, Intelligent AI, a battlefield between unmanned gun turrets and tanks... Then, there are also a group of young maidens who uses outdated firearms to engage in battle —— the Gun Girls.",[],Qiang Niang,,,,
176,,1/100 TRAIN Station,1/100 Train Station,,,['ONA'],1,Finished Airing,"Jul 24, 2017",,,['Terada Mokei'],"None found,","None found,",Original,,,,2 min.,G - All Ages,5.09,#13103,#13741,"1,148",0,643,Thousands of Genki-kun—1:100 scale paper people—move about within a bustling train station during the commuter rush. An x-ray effect reveals just how packed the train interiors are with passengers! [Written by MAL Rewrite],[],1/100 Train Station,,,['Slice of Life'],
177,Mahoujin Guruguru Petit Anime Theater,グルグル ぷちあにめ劇場,,,,['ONA'],24,Finished Airing,"Jul 14, 2017 to Dec 22, 2017",,,['Medicrie'],"None found,",['Studio PuYUKAI'],['Manga'],"['Adventure', 'Comedy', 'Slice of Life']",,,1 min. per ep.,PG-13 - Teens 13 or older,6.12,#9252,#13853,"1,112",0,243,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Guruguru Petit Anime Gekijou,['Super Power'],,,
178,,FASTENING DAYS 3,,,,['ONA'],3,Finished Airing,"Sep 6, 2017",,,"None found,","None found,",['Studio Colorido'],Original,,,['Kids'],3 min. per ep.,G - All Ages,6.16,#9057,#14115,"1,044",1,529,"Youji, Kei, Kelly, and the little bear-shaped robot Oscar are small heroes who must save the town. Today is Youji's birthday, but this doesn't seem to excite him. Whether or not they know this, Kei, Kelly, and the woman who raised him as her own, Anna, seem to be planning something. And that's when it appears over the city – an out-of-control sightseeing airship! Our little heroes must face their biggest challenge yet! The action-packed drama even includes an evolved Fastening Machine! Will our heroes be able to fasten the town's future? What will become of Youji's birthday? There's only one way to find out! (Source: Official website)","['Prequel (ONA) Fastening Days 2', 'Sequel (ONA) Fastening Days 4']",Fastening Days 3,,,,
179,Dam Keeper no Nakama-tachi,ピッグ - 丘の上のダム・キーパー,Pig: The Dam Keeper Poems,,,['ONA'],10,Finished Airing,"Aug 4, 2017 to Oct 6, 2017",,,['Tonko House'],"None found,","None found,",Original,,,,5 min. per ep.,PG - Children,6.99,#4435,#14276,"1,000",5,284,"Pig lives at the top of a hill in a town surrounded by a destructive, dark cloud. Before Pig's father leaves to find a solution to the cloud, he builds Pig a small wooden dam to protect him and the town. The dam's windmill keeps the cloud at bay, and Pig now has the responsibility to care for the dam. Young and alone, Pig finds love and family through his friendship with Fox, and continues to care for the townsfolk in a variety of ways. However, Pig struggles with the absence of his father, and his desire to search for his father competes with his need to keep the town safe. (Source: ANN)",[],Pig: Oka no Ue no Dam Keeper,,,['Fantasy'],
180,,40周年だよ!! コロコロオールスター小学校,,,,['ONA'],2,Finished Airing,"Jul 15, 2017 to Nov 15, 2017",,,['Shin-Ei Animation'],"None found,","['OLM', 'HORNETS']",Original,,"['Parody', 'School']",,12 min. per ep.,G - All Ages,5.58,#11853,#14460,946,2,224,Created In celebration of the 40th anniversary of the founding of Coro Coro Comics. The anime brings together many famous Coro Coro Comics characters. It takes place in an elementary school the characters attend.,[],40-shuunen da yo!! CoroCoro All-Star Shougakkou,,,['Comedy'],
181,Inagawa Junji's Very Scary Stories,稲川淳二のすご～く恐い話,,,,['ONA'],10,Finished Airing,"Sep 5, 2017 to Oct 6, 2017",,,['Anime Beans'],"None found,","None found,",Book,"['Horror', 'Supernatural']",,,3 min. per ep.,PG - Children,[],#18866,#14784,867,1,,"Short ghost stories by Inagawa Junji, an entertainer who is famous for his horror stories broadcasted on late night radio. He has gone on to write horror novels and directing live-action horror dramas and films. The anime is a spin-off of his Inagawa Junji no Chou: Kowai Hanashi (Inagawa Junji's Super Scary Stories) live-action direct-to-DVD series.",[],Inagawa Junji no Sugoku Kowai Hanashi,,,,
182,Dragon Quest X: The Miracles of the Adventurers,ドラゴンクエストX　冒険者たちのきせき,,,,['ONA'],2,Finished Airing,"Aug 7, 2017 to Dec 10, 2017",,,['Square Enix'],"None found,","None found,",Original,,,,6 min. per ep.,G - All Ages,5.58,#11863,#15265,748,0,159,"The anime celebrates the Dragon Quest X online game's fifth anniversary by animating player-submitted ""miraculous stories"" related to the game. (Source: ANN)",[],Dragon Quest X: Boukensha-tachi no Kiseki,['Strategy Game'],,['Slice of Life'],
183,Ise-Shima Mie Japan,碧志摩メグ,Aoshima Megu,,,['ONA'],1,Finished Airing,"Jul 12, 2017",,,"None found,","None found,","None found,",Original,,,,45 sec.,G - All Ages,5.24,#12824,#15316,736,0,287,"Megu promotes not only Shima, but also the greater Ise-Shima region consisting of Ise, Toba, Shima, and parts of Minami-Ise. The aspiring pearl diver struggles to hold onto an Ise-ebi (Japanese spiny lobster), one of Mie Prefecture's specialties. Megu then visits Ise Grand Shrine, which is the one of the most important shrines in Japan's Shinto religion. She then heads to the nearby Okage-yokochou area of shops and historical buildings and to the Meoto Iwa (Married Couple Rocks) that are sacred in Shinto. The ninja character Mai Igarashi makes an appearance at the end of the video. Mai is the mascot for Iga, Mie, a city known as a birthplace of ninja culture. (Source: ANN)",[],Aoshima Megu,,,['Adventure'],
184,,ディア ホライゾン,,,,['ONA'],3,Finished Airing,"Aug 10, 2017 to Aug 21, 2017",,,"None found,","None found,",['Fanworks'],Original,,"['Parody', 'Strategy Game']",,35 sec. per ep.,G - All Ages,5.27,#12757,#15946,633,0,141,The web anime of Dia Horizon; characters are featured as chibis as they break the 4th wall to talk about their own real-life mobile game (which is being released this month). As well as promoting the full length TV anime coming out in a October 2017 as well as the 4-koma manga available now.,[],Dia Horizon,,,,
185,,直感×アルゴリズム♪,Live Animation Heart × Algorhythm,,,['ONA'],8,Finished Airing,"Aug 17, 2017 to Oct 5, 2017",,,['Warner Music Japan'],"None found,",['Sega Interactive'],Original,,"['Idols (Female)', 'Music']",,30 min. per ep.,G - All Ages,[],#17318,#15927,636,0,,"""Your intuition will be tickled"" Will the two be able to become idols!? Anime's first documentary variety show challenging how far two virtual idols are able to grow!!! It's a live broadcast, so what will happen is unknown! It's a live broadcast, so your voice will reach the two! Furthermore, simulaneous delivery in both Japan and China! Your participation in the program will bring up the two idols! (Source: Official Website)","['Sequel (ONA) Chokkan × Algorhythm♪ 2nd Season', '']",Chokkan × Algorhythm♪,,,['Comedy'],
186,"Xing You Ji Zhi Feng Bao Fa Mi La, Xing You Ji Di Er Ji, Rainbow Sea: the Web Movies",星游记之风暴法米拉,Rainbow Sea 2nd Season,,,['ONA'],1,Finished Airing,"Aug 11, 2017",,,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy', 'Sci-Fi']",,,1 hr. 9 min.,PG-13 - Teens 13 or older,[],#15815,#16081,613,1,,The second season of Xing You Ji.,"['Prequel (TV) Xing You Ji', 'Sequel (ONA) Xing You Ji: Fengbao Famila 2']",Xing You Ji: Fengbao Famila,,,,
187,"Nami Hexin 3rd Season, Nami Hexin: Huanghun",纳米核心 黄昏篇,Nanocore 3rd Season,,,['ONA'],20,Finished Airing,"Aug 2, 2017 to Dec 20, 2017",,,"None found,","None found,",['Coastline Animation Studio'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,15 min. per ep.,PG-13 - Teens 13 or older,6.38,#7817,#16237,593,0,139,"Nanocore is a science fiction Chinese cartoon in 3D. The stage of the story is established on a fictional planet Birthigin. In this young planet, humanity will never stop longing for a bright future despite reason and fear. In revolutions and evolutions, humanity keeps challenging the Creator, and which eventually induces contractions intensified. People choose to wake up and struggle for their own ideals. They end the peace and angers sweep the whole planet, resulting in outbreak of the crisis known as Purple Fog. In time of humans facing their odds of survival, the plan N.S.P led by the elite keeps frustrating until NanoCore's involving. It brings the plan his birth. As the existence, that the elite thinks should lead the development of human weapons, however, he breaks shackles of fate, and arrives at a land where faith no longer exists. He learns to make choices and grows up with them, and the dim future of Birthigin thus begins to change. (Source: Nanocore Tumblr)","['Prequel (ONA) Nanocore 2nd Season', '']",Nanocore 3rd Season,['Mecha'],,,
188,Earthly Song,地灵曲,The Immortal Legend,,,['ONA'],18,Finished Airing,"Sep 19, 2017 to Feb 5, 2018",,,"None found,","None found,","None found,",Original,"['Action', 'Adventure', 'Fantasy']",,,20 min. per ep.,PG-13 - Teens 13 or older,[],#17611,#16474,562,1,,"During the night of July 12 in 1917, plenty of strange visions appeared, such as sun and moon shined together, waves and tides turned continually and so on. Dense clouds started darkening the sky, while buildings collapsed one after another in a sudden. In a while, the whole world fell into a crisis. Three grave-robbing aristocratic family, Zhang, Han, Cao, joint hands to solve this huge puzzle and save the world. Among them, the young master, Zhang Tianqi, who was kind and honest, with his team, had suffered from a lot of troubles in order to save the world in danger, and then finally figure out the Loulan Kingdom's secret. Loulan, with thousand years' secrets, had a grand and treacherous tomb, which almost dragged the team into death. So, what's the relationship between the mysterious visions and the Louland tomb? A story across millenniums is now beginning...","['Sequel (ONA) Di Ling Qu: Loulan Wanjie Pian', '']",Di Ling Qu,['Martial Arts'],,,
189,,こぎみゅん,Cogimyun,,,['ONA'],24,Finished Airing,"Jul 30, 2017 to Jan 7, 2018",,,['Sanrio'],"None found,","None found,",Other,,,['Kids'],40 sec. per ep.,G - All Ages,5.95,#10173,#16691,538,0,179,"The series centers on the flour dough spirit Cogimyun, who actually really wants to be an onigiri. She takes care of her grandfather's apartment complex due to her grandfather being away. The denizens of the apartment are all ""Kogimuko,"" which are all food that center on flour dough. (Source: ANN)","['Prequel (TV) Onigiri ni Naritai Cogimyun', '']",Cogimyun,,,['Fantasy'],
190,,アニメーションで伝える“ヒバクシャからの手紙”,Letters from Hibakusha,,,['ONA'],9,Finished Airing,"Aug 4, 2017 to Sep 18, 2019",,,['NHK'],"None found,","None found,",Other,,,,6 min. per ep.,G - All Ages,[],#16572,#16921,513,0,,"NHK undertakes a project to visualize written stories of the A-bomb victims through animation. The experience notes of the A-bomb victims which will be the base for the animation are ones sent to NHK's annual reciting, a program to read and share their experience, which have been running as long as 9 years now. A total of 2,200 notes have been sent to us so far. (Source: Official YouTube channel)",[],Animation de Tsutaeru: Hibakusha kara no Tegami,['Historical'],,['Drama'],
191,Slide (2015),SLIDE,Slide,,,['ONA'],1,Finished Airing,"Jul 10, 2017",,,"None found,","None found,","None found,",Original,,,,7 min.,G - All Ages,6.09,#9459,#17137,491,0,220,"Based on the figure skater Mao Asada. On July 10th, Tekken posted the full version of the video on his official YouTube channel. The story took 2,890 hand drawn sheets. Tekken originally made a short version back in 2015 but when Mao Asada announced her retirement on April 10, 2017--he decided to expand upon it by creating 5 minutes worth of additional content.",[],Slide,['Music'],,['Sports'],
192,Ryuugakusei tte Maji ssuka!?,「フィリックス」ｘ「紙兎ロペ」,,,,['ONA'],20,Finished Airing,"Sep 3, 2017 to Jun 14, 2022",,,"None found,","None found,","None found,",Original,,,,2 min. per ep.,G - All Ages,[],#17945,#17161,487,0,,"A collaboration with Felix, a Nestlé Purina brand cat food treat and the Kamiusagi Rope anime.",[],Felix x Kamiusagi Rope,,,['Comedy'],
