,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Themes,Demographic,Spanish,Theme,Genre,Demographics
46,,クロスゲーム,Cross Game,['TV'],50,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 10:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,",['SynergySP'],['Manga'],"['Drama', 'Romance', 'Sports']",23 min. per ep.,PG-13 - Teens 13 or older,8.37,#219,#1861,"128,199","3,061",52312,"Kou Kitamura and Aoba Tsukishima are often at odds—even though their families happen to be close friends and business partners. Although the only child of a sports shop owner, Kou has never been interested in playing baseball. Despite this, he possesses an impressive batting ability honed by frequent visits to the local baseball batting center run by the Tsukishima family. On the other hand, Aoba loves to play baseball and is a star player with exceptional pitching form. However, these two seemingly complete opposites share something very important to them—Wakaba Tsukishima, Aoba's older sister and Kou's destined sweetheart. Admired by the quarrelsome duo, Wakaba often finds herself the catalyst to their never-ending rivalry. But whether or not they realize that they have more in common than either would care to admit, only time will tell. The game of baseball may just be what the pair needs to ultimately overcome their own personal struggles. [Written by MAL Rewrite]","['Adaptation (Manga) Cross Game', '']",Cross Game,,,"['School', 'Team Sports']",['Shounen'],,,,
47,,テガミバチ,Tegami Bachi: Letter Bee,['TV'],25,Finished Airing,"Oct 3, 2009 to Mar 27, 2010",['Fall 2009'],Saturdays at 22:55 (JST),"['Pierrot', 'TV Tokyo']",['Sentai Filmworks'],['Pierrot Plus'],['Manga'],"['Adventure', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.60,#1581,#1899,"124,495",752,45970,"Gauche Suede is highly respected among the Letter Bees—a government organization that delivers written messages to even the most remote locations. However, the Amberground, the land Gauche must traverse, is blanketed in a constant twilight and home to monsters known as Gaichuu. On one precarious journey, Gauche meets Lag Seeing, a troubled young boy who has himself been sent as a letter. Five years later, Lag joins the Letter Bee as well, inspired by his journey with Gauche. As he strives to become like his hero, Lag discovers the conflict and complexity at the heart of his world. [Written by MAL Rewrite]","['Sequel (TV) Tegamibachi Reverse', 'Adaptation (Manga) Tegamibachi']",Tegamibachi,Tegami Bachi: Letter Bee,Letter Bee,,['Shounen'],Tegami Bachi Letter Bee,,,
48,,メタルファイト ベイブレード,Beyblade: Metal Fusion,['TV'],51,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 08:30 (JST),"['TV Tokyo', 'd-rights']",['Nelvana'],['Tatsunoko Production'],['Manga'],"['Adventure', 'Comedy', 'Sports']",25 min. per ep.,PG - Children,6.92,#4743,#2228,"99,250",482,64847,"A new cast of characters take on the continued battle between good and evil. Ginga, our hero, and his group of loyal friends take on a dangerous group called the Dark Nebula. The Dark Nebula’s sole mission is to take over the world and unleash their evil upon it; but before they can do so, they must destroy Ginga as he is the only person that’s strong enough to stand in their way. The plot thickens as friends become enemies and enemies become allies. Everything starts and ends with Ginga as he struggles to find the strength to defend his world and the honor of Beyblade. (Source: Beyblade.com)","['Sequel (TV) Metal Fight Beyblade: Baku', 'Adaptation (Manga) Metal Fight Beyblade']",Metal Fight Beyblade,Bayblade Metal Fusion,Bayblade Metal Fusion,,['Kids'],Beyblade: Metal Fusion,,,
49,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",21 min.,G - All Ages,7.80,#1030,#2402,"88,060","1,330",42188,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,,,['Seinen'],Shin Chan,['School'],,
50,"Yumeiro Patissiere, YumePati, Dream-Colored Pastry Chef, Yumeiro Pâtissière",夢色パティシエール,,['TV'],50,Finished Airing,"Oct 4, 2009 to Sep 26, 2010",['Fall 2009'],Unknown,"['Pierrot', 'Yomiuri Telecasting', 'DAX Production', 'Shueisha']",['Maiden Japan'],['Studio Hibari'],['Manga'],,24 min. per ep.,G - All Ages,7.84,#953,#2431,"86,671","1,208",41073,"Aside from her deep passion for eating cakes, the clumsy Ichigo Amano has never been successful at anything. After an encounter with Henri Lucas, a famous patissier, Ichigo's amazing tasting abilities—although unbeknownst to her—are discovered. Recognizing her talent, Henri offers her the chance to attend St. Marie Academy, a prestigious culinary school which specializes in desserts. In spite of the fact that she is a beginner lacking skills, thanks to Henri's recommendation, Ichigo is placed in the topmost group with the ""Sweets Princes."" The princes, famous throughout the school for their magical treats, are Sennosuke Andou, an expert in traditional Japanese sweets; Satsuki Hanabusa, with a flair for candied flowers; and Makoto Kashino, a gifted chocolatier. Ichigo and the Sweets Princes, each accompanied by their ""Sweets Spirits""—fairies who make patissiers' dreams come true—all work towards their goals in the competitive world of sweets. [Written by MAL Rewrite]","['Sequel (TV) Yume-iro Pâtissière SP Professional', 'Adaptation (Manga) Yume-iro Pâtissière']",Yume-iro Pâtissière,Yumeiro Pâtissière,Yumeiro Pâtissière,,['Shoujo'],Yumeiro Patissiere,['School'],['Gourmet'],
51,Sergeant Frog,ケロロ軍曹,Sgt. Frog,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1298,#2552,"80,330","1,281",35920,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,,,,['Shounen'],,['Parody'],,
52,"Shugo Chara!!! Dokki Doki, Shugo Chara! Third, Shugo Chara! Pucchi Puchi",しゅごキャラ！パーティー！,,['TV'],25,Finished Airing,"Oct 3, 2009 to Mar 27, 2010",['Fall 2009'],Saturdays at 09:30 (JST),"['TV Tokyo', 'Sotsu']","None found,",['Satelight'],['Manga'],,21 min. per ep.,PG - Children,6.66,#6150,#2632,"76,055",176,37656,"After overcoming the threat of the Easter Corporation, Amu Hinamori and the Seiyo Academy Guardians return to their council duties, eliminating any stray X Eggs they find along the way. With four of the five members graduating this year, the state of next year's Guardians Council is up in the air. In an effort to ensure the council's survival, the group recruits two ""Guardian Apprentices"" in the hopes that they will develop their own Heart's Egg someday. One of the Apprentices they take on is Rikka Hiiragi, a spunky and upbeat girl who is capable of communicating with X Eggs. As the Guardians have not been able to speak with these Eggs previously, Rikka's uncanny ability intrigues them. However, Rikka fears that she will never be accepted as a full-fledged Guardian if they ever find out what exactly she does with her ability. [Written by MAL Rewrite]","['Prequel (TV) Shugo Chara!! Doki', 'Adaptation (Manga) Shugo Chara!']",Shugo Chara! Party!,,,"['Mahou Shoujo', 'School']",['Shoujo'],,,['Comedy'],
53,,花咲ける青少年,Hanasakeru Seishonen,['TV'],39,Finished Airing,"Apr 5, 2009 to Feb 14, 2010",['Spring 2009'],Sundays at 23:01 (JST),"['NHK', 'Sogo Vision']",['Discotek Media'],['Pierrot'],['Manga'],"['Drama', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.69,#1331,#2742,"71,312",608,26937,"Kajika Louisa Kugami Burnsworth is the only daughter of Harry Burnsworth, an influential and respected industrialist who has the power to move the world. There was a threat on Kajika’s life when she was just two years old, and her mother died protecting her. After this tragic incident, Harry sent his only child to an isolated island, Giviolle, where she was raised by the island’s native, Maria. Kajika’s companions during her time there include a white leopard named Mustafa and a boy named Li Ren Fang, who visited her two or three times a year. Kajika, now fourteen, returns to her father's side, only to be told to begin a game to find her future husband. Harry makes sure that Kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband. She needs to decide among the three candidates that Harry has personally chosen, but it won’t be easy. Kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm. All the while, the men aren't even aware that they are the chosen ones. Kajika must also choose wisely, as her partner has to willingly accept her to be his bride. Hansakeru Seishounen revolves around endearing love, intense passion, noble friendship, undying loyalty, family relations, and political intrigue. The heaviness of Kajika’s fate is real, the threat on Kajika’s life is inevitable, and the husband game is more than just a mere game. Harry needs to find a suitable partner to protect his daughter before someone discovers Kajika’s deep secret—a secret even she is unaware of.","['Adaptation (Manga) Hanasakeru Seishounen', '']",Hanasakeru Seishounen,Hanasakeru Seishonen,Hanasakeru Seishonen,,['Shoujo'],Hanasakeru Seishonen,['Reverse Harem'],,
54,"Tatakau Shisho, Tatakau Shisho to Koisuru Bakudan, Fighting Librarians",戦う司書 The Book of Bantorra,Armed Librarians: The Book of Bantorra,['TV'],27,Finished Airing,"Oct 2, 2009 to Apr 2, 2010",['Fall 2009'],Fridays at 22:00 (JST),"['Geneon Universal Entertainment', 'Studio Mausu', 'Sakura Create', 'Atelier Musa']",['Sentai Filmworks'],['David Production'],['Light novel'],"['Action', 'Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),7.18,#3472,#2779,"69,607",229,17746,"In a world where dead people turn into books and are stored in the Bantorra Library where anyone who reads a book can learn their past, Bantorra Library is maintained by Armed Librarians who wield psychic powers and their enemy is a religious society known as Sindeki Kyoudan.","['Adaptation (Manga) Tatakau Shisho to Koisuru Bakudan', 'Adaptation (Light Novel) Tatakau Shisho Series']",Tatakau Shisho: The Book of Bantorra,The Book of Bantorra,The Book of Bantorra,"['Adult Cast', 'Super Power']",,The Book of Bantorra,,,
55,"Winter Ballad, Winter Love Story",冬のソナタ,Winter Sonata,['TV'],26,Finished Airing,"Oct 17, 2009 to May 1, 2010",['Fall 2009'],Unknown,"[""Yoon's Color""]","None found,","['Studio Comet', 'KeyEast', 'REALTHING']",Other,"['Drama', 'Romance']",25 min. per ep.,PG-13 - Teens 13 or older,7.31,#2790,#4705,"24,746",69,5571,"Based on the Korean drama of the same name, Yoo Jin falls in love with Joon Sang as a young girl. After losing him in an accident, she decides to marry her childhood friend. However, Yoo Jin meets someone looking exactly like her lost love, putting her in a bind.","['Adaptation (Manga) Fuyu no Sonata', '']",Fuyu no Sonata,,,,,,,,
56,,ドラえもん (2005),,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",25 min.,PG - Children,7.71,#1259,#5003,"21,420",239,9589,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,,,['Anthropomorphic'],,"['Kids', 'Shounen']"
57,Kiddy Grade 2,キディ・ガーランド,Kiddy Girl-AND,['TV'],24,Finished Airing,"Oct 16, 2009 to Mar 26, 2010",['Fall 2009'],Fridays at 00:40 (JST),"['Lantis', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'gimik']",['Funimation'],['Satelight'],Original,"['Action', 'Comedy', 'Sci-Fi']",25 min. per ep.,PG-13 - Teens 13 or older,6.81,#5284,#5290,"18,635",34,6667,"Twenty-five years after Éclair and Lumière, (from the flagship Kiddy Grade series), rescued the galaxy from destruction's doorstep, the GTO (Galactic Trade Organization), created after the defeat of the GOTT (Galactic Organization of Trade and Tariffs), act on behalf of universal peace by combating criminal activity. Their special ES division mirrored after the GOTT's ES (Encounter of Shadow-work) force, now includes publicly acknowledged ES member candidates. The series follows two such trainees, Ascoeur and Q-feuille, as they work their way to ES membership. (Source: Wikipedia)","['Prequel (TV) Kiddy Grade', 'Prequel (OVA) Kiddy GiRL-AND Pilot', 'Adaptation (Manga) Kiddy GiRL-AND Pure', '']",Kiddy GiRL-AND,,,,,,['Super Power'],,
58,Thriller Restaurant,怪談レストラン,,['TV'],23,Finished Airing,"Oct 13, 2009 to Jun 8, 2010",['Fall 2009'],Tuesdays at 19:30 (JST),['TV Asahi'],"None found,",['Toei Animation'],Picture book,"['Horror', 'Mystery', 'Supernatural']",19 min. per ep.,PG - Children,7.24,#3128,#5403,"17,550",50,5615,"TV Asahi announced a new kids anime ""Kaidan Restaurant (Thriller Restaurant)"" based on a picture book. Each episode will consist of three stories or ""dishes"": the appetizer, the main dish, and dessert. The first two ""dishes"" will deal with an ordinary sixth-grade schoolgirl named Ako Ozara and the bizarre occurrences that befall her classmates. The third ""dish"" will be a standalone short ghost story told by Ako and her friends.",[],Kaidan Restaurant,,,,['Kids'],,,,
59,Jewel Pet,ジュエルペット,Jewelpet,['TV'],52,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 09:30 (JST),"['TV Osaka', 'Sanrio', 'Imagine']","None found,",['Studio Comet'],Original,,23 min. per ep.,PG - Children,6.80,#5346,#5910,"13,926",43,4475,"When what looks to be a cluster of shooting stars appear in the sky, Rinko Kougyoku and her friend Minami each make a wish. What the girls truly saw were not stars, but 'Jewel Charms' falling to the Earth. These charms were created by three magicians in a magical world names Jewel Land, each housing one of its many native Jewelpets. Although these creatures are free to roam the world in their original form, the magicians sometimes turn them into charms so that they can be carried around with great ease. Most Jewelpets don't find this troublesome, but once a mischievous bunny by the name of Ruby feels overly claustrophobic, she devises her escape. One day, the magicians decide to move the Jewelpets, and task a pelican with delivering them to the Dream Forest. All is well until a strong gust of wind disorients the bird, who then drops all of the charms that he was carrying. Instead of heading towards the Dream Forest, all the Jewelpets but Ruby fall to Rinko's home city on Earth. Someone must go and retrieve them all, and as Ruby was the worst-behaved of the bunch, she is given the task of going to Earth. When Ruby reaches Earth in the form of a red Jewel Charm, she falls into Rinko's water glass, and thus begins a rather unexpected adventure. Rinko, Minami, and Ruby form an alliance to search and gather all of the fallen charms, encountering strange creatures and tons of helpful allies along the way. Will they be able to succesfully bring the Jewelpets home safely, or is Earth full of more danger than they had expected?","['Sequel (TV) Jewelpet Twinkle☆', 'Adaptation (Manga) Jewel Pet']",Jewelpet,,,"['Anthropomorphic', 'Mahou Shoujo']",,,,['Fantasy'],
60,"Elementhunters, Element Hunter",エレメントハンター,,['TV'],39,Finished Airing,"Jul 4, 2009 to Mar 27, 2010",['Summer 2009'],Saturdays at 18:00 (JST),['NHK'],"None found,","['Heewon Entertainment', 'NHK Enterprises']",Original,,24 min. per ep.,G - All Ages,6.59,#6527,#5927,"13,846",21,4078,"In 2029, a large scale ground sinkage occurred in the Mediterranean Sea. Chemical elements such as oxygen, carbon, gold, molybdenum, and cobalt disappeared from the earth's crust suddenly. The human population was decreased by 90% in sixty years. Researchers found out that the disappeared elements were drained into a planet ""Nega Earth"", located in another dimension. To save the Earth, a special team called the ""Element Hunters"" is organized. All of the members are under 13 years old, because young and flexible brains are needed to access ""Nega Earth"".",[],Element Hunters,,,,,,,['Sci-Fi'],
61,"Anymal Tantei Kiruminzoo, Animal Tantei Kiruminzoo, Animal Detectives Kiruminzoo, Anyamaru Tantei Kiruminzoo, Anyamaru Tantei Kiruminzuu",あにゃまる探偵 キルミンずぅ,,['TV'],50,Finished Airing,"Oct 5, 2009 to Sep 20, 2010",['Fall 2009'],Mondays at 17:30 (JST),"['HAL Film Maker', 'Sotsu', 'Starchild Records', 'MediaNet', 'AT-X', 'JM Animation', 'Aoni Entertainment']","None found,",['Satelight'],Original,,23 min. per ep.,G - All Ages,7.14,#3665,#6866,"9,627",64,2541,"While searching for a run-away cat the twins Riko and Rimu Mikogami find a strange device that transforms them into ""Kirumin."" It also enables them to turn into real animals. Their older sister Nagisa soon joins them. Now the three have cute, funny and sometimes dangerous adventures.",[],Anyamal Tantei Kiruminzoo,,,,,,,['Comedy'],
62,Gokujo!! Mecha Mote Iincho,極上!!めちゃモテ委員長,The Best!! Extremely Cool Student Council President,['TV'],51,Finished Airing,"Apr 4, 2009 to Mar 27, 2010",['Spring 2009'],Saturdays at 09:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Ryukyu Asahi Broadcasting']","None found,",['Shogakukan Music & Digital Entertainment'],['Manga'],"['Comedy', 'Romance']",24 min. per ep.,PG - Children,6.35,#7974,#7071,"8,985",19,2797,"Mimi Kitagami is a kind, level-headed girl who aims to be the best, coolest student council president of her high school class. However, three trouble-making boys are always causing her grief — and she has a one-sided crush on one of the boys, Ushio Toujou. (Source: ANN)","['Sequel (TV) Gokujou!! Mecha Mote Iinchou Second Collection', 'Adaptation (Manga) Gokujou!! Mecha Mote Iinchou']",Gokujou!! Mecha Mote Iinchou,,,,['Shoujo'],,['School'],,
63,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",24 min.,G - All Ages,6.14,#9130,#7131,"8,800",39,1933,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
64,Astro Fighter Sunred 2,天体戦士サンレッド,,['TV'],26,Finished Airing,"Oct 3, 2009 to Mar 27, 2010",['Fall 2009'],Unknown,['flying DOG'],"None found,",['AIC ASTA'],['Manga'],,13 min. per ep.,PG-13 - Teens 13 or older,7.83,#973,#7307,"8,277",29,3678,The second season of Tentai Senshi Sunred.,"['Prequel (TV) Tentai Senshi Sunred', 'Adaptation (Manga) Tentai Senshi Sunred']",Tentai Senshi Sunred 2nd Season,,,"['Gag Humor', 'Parody', 'Super Power']",['Seinen'],,,['Comedy'],
65,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,10 min.,G - All Ages,7.08,#4017,#7391,"8,012",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,,['Kids'],El Ninja Boy Rantaró,,['Comedy'],
66,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,23 min.,G - All Ages,7.34,#2626,#7914,"6,770",62,2183,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,,['Shoujo'],Chibi Maruko-chan,['School'],['Comedy'],
67,Hige Piyo,"ひげぴよ, ヒゲぴよ",,['TV'],39,Finished Airing,"Apr 3, 2009 to Feb 19, 2010",['Spring 2009'],Unknown,['Aniplex'],"None found,",['Kinema Citrus'],Original,,5 min. per ep.,PG - Children,7.07,#4067,#8168,"6,260",16,2695,"Higepiyo is a little chick with a mustache, who is seeking to aquire masculinity with his friend Hiroshi but ends up being entangled with a skin of heated milk.",[],Higepiyo,,,,,,,['Comedy'],
68,"Marie to Gali, Marie and Gali",マリー & ガリー,,['TV'],40,Finished Airing,"Mar 31, 2009 to Mar 23, 2010",['Spring 2009'],Tuesdays at 19:25 (JST),['NHK'],"None found,",['Toei Animation'],Original,,5 min. per ep.,PG-13 - Teens 13 or older,6.38,#7813,#8654,"5,458",11,1483,"Marika is a gothic lolita who somehow ends up in the mysterious town of Galihabara. There she meets different famous scientists like Galileo Galilei, Marie Skłodowska Curie and Sir Isaac Newton.","['Prequel (Special) Marie & Gali Episode Zero', 'Sequel (TV) Marie & Gali ver. 2.0']",Marie & Gali,,,,,,['Educational'],['Comedy'],
69,Kuru Neko,くるねこ,,['TV'],50,Finished Airing,"Jul 5, 2009 to Jun 26, 2010",['Summer 2009'],Saturdays at 11:40 (JST),"['Kadokawa Pictures Japan', 'Kansai Telecasting', 'Tokai Television']","None found,",['DAX Production'],['Manga'],"['Comedy', 'Slice of Life']",2 min. per ep.,G - All Ages,7.19,#3433,#8797,"5,217",11,1287,Based on a manga about cats and their sake loving owner.,"['Sequel (TV) Kuruneko 2nd Season', 'Adaptation (Manga) Kuruneko']",Kuruneko,,,,,,['Pets'],,
70,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",24 min.,PG - Children,6.58,#6586,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,['Kids'],,,,
71,Battle Spirits Season 2,バトルスピリッツ 少年激覇ダン,,['TV'],50,Finished Airing,"Sep 13, 2009 to Sep 5, 2010",['Fall 2009'],Unknown,"None found,","None found,",['Sunrise'],Card game,,23 min. per ep.,PG - Children,6.96,#4538,#9295,"4,435",11,1720,"Dan Bashin is a spirited teenager known for his aggressive playstyle in the card game Battle Spirits, earning him the title of ""Clash King."" One day, a mysterious green-haired girl transports him to the otherworldly land of ""Grand Rolo,"" where disputes are settled by card duels. Upon his arrival, Dan is immediately thrust into a conflict between the kingdom's imperial army and its oppressed natives. There, he learns that he is a prophetic warrior known as a ""bearer of cores' light,"" chosen to save the land from its evil king. Accompanied by a young boy named Zungurii and the eccentric witch Magisa, Dan travels across Grand Rolo and encounters the other chosen warriors through card battles. With the name of the Clash King gaining fame throughout Grand Rolo, secrets that lurk within the shadows of the kingdom's colonial past begin to surface. Only time will tell if Dan's campaign will affect the world on a scale much larger than he ever could have imagined. [Written by MAL Rewrite]","['Sequel (TV) Battle Spirits: Brave', 'Adaptation (Manga) Battle Spirits: Shounen Gekiha Dan']",Battle Spirits: Shounen Gekiha Dan,,,"['Isekai', 'Military', 'Strategy Game']",,,,['Adventure'],
72,,チェブラーシカ あれれ？,,['TV'],26,Finished Airing,"Oct 7, 2009 to Mar 31, 2010",['Fall 2009'],Unknown,['Dream Force'],"None found,",['GoHands'],Book,"['Comedy', 'Slice of Life']",3 min. per ep.,G - All Ages,6.42,#7563,#9955,"3,592",3,1680,"Based on the Russian ""national character"" Cheburashka. The character comes from Eduard Uspensky's story about a mysterious creature who gets accidentally transported in a box of oranges to Russia.",[],Cheburashka Arere?,,,,['Kids'],,,,
73,"Mainichi Kaa-san, Every Day Mom",毎日かあさん,Kaasan: Mom's Life,['TV'],142,Finished Airing,"Apr 1, 2009 to Mar 25, 2012",['Spring 2009'],Unknown,['Nihon Ad Systems'],"None found,","['Gallop', 'TYO Animations', 'Dongwoo A&E']",['Manga'],"['Comedy', 'Slice of Life']",20 min. per ep.,PG - Children,7.22,#3274,#10187,"3,347",24,1068,Based on Rieko Saibara's humorous semi-autobiographical manga about her life raising her two children.,[],Mainichi Kaasan,Kaasan Mom's Life,Kaasan Mom's Life,,,Kaasan Mom's Life,['Childcare'],,
74,Cooking Idol,クッキンアイドル　アイ！マイ！まいん！,,['TV'],305,Finished Airing,"Mar 30, 2009 to Mar 22, 2013",['Spring 2009'],Unknown,"['NHK', 'Nihon Ad Systems']","None found,",['Studio Deen'],Original,"['Comedy', 'Gourmet']",6 min. per ep.,PG - Children,6.25,#8567,#10690,"2,884",9,739,"Cooking Idol teaches children how to cook through instruction of the main character, MAIN. The show itself is divided into an animated segment featuring MAIN, and a live-action segment featuring the voice actor of MAIN, Fukuhara Haruka, as she practices the cooking herself. The live-action segment is not included in the avg episode duration.",[],Cookin' Idol Ai! Mai! Main!,,,,['Kids'],,,,
