,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,German,Spanish,French,Demographics
103,반짝반짝 캐치! 티니핑,Twinkle Catch! Tiniping,['TV'],26,Finished Airing,"Sep 22, 2021 to Mar 16, 2022",['Fall 2021'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,,,11 min. per ep.,PG - Children,[],#19445,#20035,281,0,,"The residents of Jewel Forest, Jewel Teeniepings suddenly disappeared. Joahping, Teeheeping, and Trustping, who also are Jewel Teeniepings, the students of Royal Teenieping Academy, and the candidates of next Royal Teeniepings, head to Earth to save their friends… Now, Romi and Heartsping have to team up with Joahping, Teeheeping, and Trustping, three immature Royal Teeniepings. Will Romi be able to find 15 lost Jewel Teeniepings and catch? (Source: Official Site)","['Prequel (TV) Catch! Tiniping', 'Sequel (TV) Alssongdalssong Catch! Tiniping']",Banjjagbanjjag Catch! Tiniping,Sparkle Sparkle Catch! Teenieping,"['Mahou Shoujo', 'School']",['Fantasy'],,,,
104,아기상어 올리와 윌리엄,Baby Shark's Big Show!,['TV'],54,Finished Airing,"Dec 25, 2020 to Aug 23, 2022",['Winter 2021'],Unknown,['Pinkfong'],"None found,","None found,",Music,,['Anthropomorphic'],['Kids'],11 min. per ep.,PG - Children,[],#19118,#21682,191,0,,"Baby Shark's Big Show! follows Baby Shark and his best friend William as they journey on fun-filled comedic adventures in their community of Carnivore Cove, make new friends, and sing original catchy tunes along the way. (Source: Amazon)",[],Agisang-eo Ollie wa William,Baby Shark Ollie and William,,,,,,
105,신비아파트 고스트볼Z,,['TV'],24,Finished Airing,"Sep 16, 2021 to Jul 28, 2022",['Fall 2021'],Unknown,['CJ ENM'],"None found,",['Studio BAZOOKA'],Original,"['Fantasy', 'Supernatural']",,['Kids'],24 min. per ep.,G - All Ages,[],#14410,#21675,191,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Sinbi Apartment: Ghost Ball Double X', 'Sequel (TV) Sinbi Apartment: Ghost Ball Zero']",Sinbi Apartment: Ghost Ball Z,,,,,,,
106,むかしばなしのおへや　〜伝えたい日本昔話〜,,['TV'],Unknown,Currently Airing,"Jun 14, 2020 to ?",['Summer 2020'],Not scheduled once per week,['BS-TBS'],"None found,",['Oddjob'],Other,,,['Kids'],18 min.,G - All Ages,[],#17988,#21874,179,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,,,['Fantasy'],,,,
107,天真与功夫袜,Kung Fu Sock,['TV'],52,Finished Airing,"Aug 3, 2021 to Jul 26, 2022",['Summer 2021'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Comedy']",,['Kids'],11 min. per ep.,G - All Ages,[],#14848,#22341,160,0,,"The series follows the adventures of a curious 8-year-old girl named TZ who always dreamed of going on adventures and exploring wonderful places, and then one day she finds an odd-looking sock in her mother’s laundry that…. Talks. It was originally a Kung Fu Master from another world charged with guarding an ancient scroll. When the Master came through a vortex into TZ’s time, his powers were weakened, and he was transformed into a sock. However, when the little girl puts the sock on her foot she transforms into a super heroine – a kick-ass Kung Fu girl, and together they must complete Kung Fu Wa’s mission and follow the ancient scroll to defeat evil and protect their world. (Source: Federation Studios)",[],Tian Zhen Yu Kung Fu Wa,Tianzhen Yu Gongfu wa,"['Anthropomorphic', 'Mahou Shoujo', 'Martial Arts', 'Reincarnation']",,,,,
108,메카드볼,,['TV'],52,Finished Airing,"Sep 4, 2021 to Oct 8, 2022",['Fall 2021'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],13 min. per ep.,PG - Children,[],#17612,#22691,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Mecard Ball Mega', '']",Mecard Ball,,"['Mecha', 'Racing', 'Strategy Game']",['Action'],,,,
109,헬로 카봇 시즌11,,['TV'],26,Finished Airing,"Aug 29, 2021 to Mar 6, 2022",['Summer 2021'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,PG - Children,[],#21124,#23104,132,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 10', 'Sequel (TV) Hello Carbot Season 12']",Hello Carbot Season 11,Hello Carbot: Samba,"['Mecha', 'Racing']",['Action'],,,,
110,미니특공대 애니멀트론,Miniforce Animal Tron,['TV'],26,Finished Airing,"Sep 3, 2021 to Feb 25, 2022",['Fall 2021'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,,['Kids'],11 min. per ep.,PG - Children,[],#17795,#23649,118,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Miniforce Animaltron,,"['Anthropomorphic', 'Mecha']",['Action'],,,,
111,쥬라기 캅스3,,['TV'],27,Finished Airing,"Sep 8, 2021 to Apr 20, 2022",['Fall 2021'],Unknown,"None found,","None found,","None found,",Original,,['Mecha'],['Kids'],11 min. per ep.,PG - Children,[],#16670,#26520,73,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Jyulagi Cops: Jura King', '']",Jyulagi Cops 3rd Season,,,['Action'],,,,
112,コタローは1人暮らし,Kotaro Lives Alone,['ONA'],10,Finished Airing,"Mar 10, 2022",,,"None found,","None found,",['LIDENFILMS'],['Manga'],,['Childcare'],['Seinen'],26 min. per ep.,PG-13 - Teens 13 or older,8.17,#431,#1466,"171,941","2,201",97754,"One day, manga author Shin Karino is greeted by four-year-old Kotarou Satou, his new next-door neighbor, who gifts him a box of tissues. In Karino's eyes, Kotarou is an odd kid: he speaks in an extremely formal manner, and he lives alone in his apartment—no parents or relatives in sight. But Kotarou neither seems to mind, nor wants to rely on people. Feeling sympathetic toward Kotarou's circumstances, Karino decides to follow Kotarou to a bathhouse in case something might happen to him and there he comes to understand the little boy is not so different from him. Little by little, Karino—along with the other residents of the apartment complex—grows fond of Kotarou and his antics. At the same time, Kotarou himself might have found something akin to a family in his unique neighbors. [Written by MAL Rewrite]","['Adaptation (Manga) Kotarou wa Hitorigurashi', '']",Kotarou wa Hitorigurashi,Kotaro Lives By Himself,,['Slice of Life'],,,,
113,スーパードラゴンボールヒーローズ,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",['Martial Arts'],['Shounen'],8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11260,#2568,"79,061",256,30945,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,,,,,,,
114,ホロのぐらふぃてぃ,Holo Graffiti,['ONA'],Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found,","None found,",['Hololive Production'],Other,,,,1 min.,PG-13 - Teens 13 or older,8.16,#449,#3098,"56,852","1,893",17907,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps. [Written by MAL Rewrite]",[],Holo no Graffiti,"Horogura, HoloGra",,['Comedy'],,,,
115,地球外少年少女,The Orbital Children,['ONA'],6,Finished Airing,"Jan 28, 2022",,,['Avex Pictures'],"None found,",['Production +h.'],Original,,['Space'],,31 min. per ep.,PG-13 - Teens 13 or older,6.82,#5254,#3692,"41,420",128,17660,"In the year 2045, Internet and artificial intelligence have become widespread in the outer space. Following a massive accident at a space station, a group of children are left behind. Using narrowband and SNS, low intelligence AI, and smartphone-controlled drones, they overcome numerous crises. (Source: MAL News)","['Adaptation (Light Novel) Chikyuugai Shounen Shoujo', 'Adaptation (Manga) Chikyuugai Shounen Shoujo']",Chikyuugai Shounen Shoujo,Extraterrestrial Boys and Girls,,['Sci-Fi'],,,,
116,テルマエ・ロマエ ノヴァエ,,['ONA'],11,Finished Airing,"Mar 28, 2022",,,"None found,","None found,",['NAZ'],['Manga'],,,['Seinen'],29 min. per ep.,PG-13 - Teens 13 or older,7.17,#3549,#4475,"27,750",103,13610,"Lucius Modestus, an ancient Roman architect, finds himself job-hunting due to having trouble coming up with new ideas. As his demeanor and personality become dismal, his friends try taking him to a bathhouse for him to relax. Unable to unwind in the bustling and crowded bath, Lucius dips his head in the water. Down there, he finds a secret tunnel that transports him to a modern-day Japanese bathhouse, providing him the inspiration he needed to make a new creation. Loaded with what seems to be knowledge way ahead of his time, Lucius does his best to try and recreate his findings, usually inferior in quality due to his circumstances. However, the sheer ingenuity may be just enough to gain the attention of the citizens and regain his reputation as an architect. [Written by MAL Rewrite]","['Adaptation (Manga) Thermae Romae', '']",Thermae Romae Novae,,"['Adult Cast', 'Historical', 'Time Travel']",['Comedy'],,,,
117,ポケットモンスター 神とよばれし アルセウス,Pokémon: The Arceus Chronicles,['ONA'],4,Finished Airing,"Jan 21, 2022 to Jan 28, 2022",,,"None found,",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],18 min. per ep.,PG - Children,6.66,#6145,#6960,"9,312",9,4467,A 4-episode special web-series that was streamed exclusively on Amazon Prime Video to celebrate the release of the Nintendo Switch game Pokémon Legends: Arceus.,[],Pokemon (2019): Kami to Yobareshi Arceus,"Pocket Monsters: Arceus Who is Called a God, Pocket Monsters: The Hallowed God, Arceus",,,,,,
118,万圣街3,All Saints Street 3,['ONA'],12,Finished Airing,"Jan 26, 2022 to Apr 6, 2022",,,['Tencent Penguin Pictures'],['Aniplex of America'],"['Fenz', 'HMCH']",['Web manga'],"['Comedy', 'Fantasy']",,,4 min. per ep.,PG-13 - Teens 13 or older,8.02,#640,#6966,"9,298",40,4557,Third season of Wan Sheng Jie.,"['Prequel (ONA) Wan Sheng Jie 2', 'Sequel (ONA) Wan Sheng Jie 4', 'Adaptation (Manhua) 1031 Wan Sheng Jie', '']",Wan Sheng Jie 3,,"['Mythology', 'Urban Fantasy']",,,,,
119,斗破苍穹 三年之约,Fights Break Sphere: Three Year Agreement,['ONA'],13,Finished Airing,"Oct 31, 2021 to Jan 16, 2022",,,['Tencent Penguin Pictures'],"None found,",['Motion Magic'],Novel,"['Action', 'Fantasy']",['Martial Arts'],,24 min. per ep.,PG-13 - Teens 13 or older,8.58,#106,#7118,"8,820",193,4129,"Three years ago, Na lan Yan Ran dropped her engagement, which made the Xiao family a laughing stock in the eyes of the Empire. Xiao Yan trained for three whole years through mountains and deserts to regain his honor. He will prove by himself that everything in this world can be changed, so do not underestimate the young. Today he will put an end to the history of his past, because the future awaits him!","['Prequel (ONA) Doupo Cangqiong 4th Season', 'Sequel (ONA) Doupo Cangqiong: Nian Fan', 'Adaptation (Manhua) Doupo Cangqiong', 'Adaptation (Novel) Doupo Cangqiong']",Doupo Cangqiong: San Nian Zhi Yue,Battle Through the Heavens: Three Year Agreement,,,,,,
120,王子の本命は悪役令嬢,Game World Reincarnation,['ONA'],8,Finished Airing,"Jan 10, 2022 to Mar 14, 2022",,,['Suiseisha'],['Ascendent Animation'],['Studio Hokiboshi'],['Web manga'],"['Fantasy', 'Hentai']",,['Josei'],6 min. per ep.,Rx - Hentai,5.90,N/A,#7225,"8,516",36,2305,"""You're my fiancé, so it's only natural that we do this tonight."" He kisses me deeply and devours my whole body... My first sweet kiss on my first night of reincarnation. Office worker dies from overworking and gets reincarnated as the villain in her favorite otome game. Will she be able to keep her fiancé or will she lose him to the protagonist? (Source: MAL News)","['Adaptation (Manga) Ouji no Honmei wa Akuyaku Reijou', '']",Ouji no Honmei wa Akuyaku Reijou,Game World Reincarnation: Sex on the First Night,"['Isekai', 'Villainess']",,,,,
121,小魔头暴露啦！,Busted! Darklord.,['ONA'],13,Finished Airing,"Jan 15, 2022 to Apr 2, 2022",,,"None found,","None found,",['Wawayu Animation'],['Web manga'],,,,8 min. per ep.,PG-13 - Teens 13 or older,6.58,#6600,#8160,"6,246",29,1255,"In an attempt for survival, Yu Renjie, the son of the demon lord, was ordered to enter Hero's Academy which only recruits distinguished and upright disciples. The goal is to obtain a Hero's Certificate which can bring legitimacy to the demon clan. This is extremely dangerous. Once the identity of a demon cultist is exposed, countless righteous knights will kill them on the spot. But on the first day of school, Yu Renjie was shocked to find out that his personal information had been leaked. In order to hide his identity, he had no choice but to put on women's clothing. His dangerous and hilarious campus life is about to unfold! (Source: Bilibili Comics)","['Sequel (ONA) Xiao Mo Tou Baolu La! 2', '']",Xiao Mo Tou Baolu La!,,,['Comedy'],,,,
122,TALES OF LUMINARIA The Fateful Crossroad,Tales of Luminaria the Fateful Crossroad,['ONA'],2,Finished Airing,"Jan 21, 2022",,,"None found,","None found,","['Anima', 'Kamikaze Douga']",Game,,,,27 min. per ep.,PG-13 - Teens 13 or older,6.16,#9045,#8260,"6,061",11,1939,"Long ago, this land was home to beasts the size of mountains that have now become petrified. Mana overflowed from their remains, drawing people who sought its power, and civilizations sprang up. People came to revere these mana-producing creatures, which they named 'Primordial Beasts'. They built their lives around them. Thus began the worship of the Primordial Beasts. Time flowed ever onward, to the present day... War erupts between the Jerle Federation, an alliance of countries who worship the Primordial Beasts, and the Gildllan Empire, which has enjoyed explosive development thanks to advanced technology. The fires of war burn ever brighter. The special animated feature will tell an important juncture in the story of Luminaria, congealing and bringing to life the game's theme of ""confronting antagonistic ideas of justice""! (Source: Official website)",[],Tales of Luminaria: The Fateful Crossroad,,,['Fantasy'],,,,
123,救われるラミリス,,['ONA'],2,Finished Airing,"Mar 19, 2022 to Jul 21, 2022",,,"None found,","None found,",['8bit'],['Manga'],"['Comedy', 'Fantasy']",['Isekai'],,3 min. per ep.,PG-13 - Teens 13 or older,6.52,#6953,#8262,"6,053",2,2458,Short animation released for a limited time on Bandai Spirits YouTube channel.,[],Sukuwareru Ramiris,,,,,,,
124,ぷちセカ,,['ONA'],10,Finished Airing,"Jan 13, 2022 to Mar 18, 2022",,,"None found,","None found,",['Scooter Films'],Game,,,,2 min. per ep.,PG-13 - Teens 13 or older,6.94,#4633,#8350,"5,918",63,2779,"A mini-anime based off the mobile rhythm game ""Project SEKAI: Colorful Stage.""",[],Petit Seka,"Petit Seca, Puchi Seka, Project Sekai Mini Anime, Petit Sekai",,['Comedy'],,,,
125,3秒後、野獣。～合コンで隅にいた彼は肉食でした,"3 Seconds Later, He Turned Into a Beast",['ONA'],8,Finished Airing,"Mar 14, 2022 to Jun 6, 2022",,,"['Studio Mausu', 'Suiseisha']","None found,",['Staple Entertainment'],['Web manga'],,,['Josei'],8 min. per ep.,Rx - Hentai,5.72,N/A,#9054,"4,770",25,1634,"Tsumugi is a female college student who carries trauma from an aggressive man in her past. She meets Kaname at a mixer she requested specifically for unaggressive ""herbivore""-type men. She and Kaname hit it off, and Kaname resembles Tsumugi's older brother a little bit, so she relaxes her guard around him. Kaname, however, feigns to be a ""herbivore""-type man, but is in reality an aggressive ""carnivore""-type man, and he can change his demeanor in an instant. (Source: ANN)","['Adaptation (Manga) 3-byougo, Yajuu. Goukon de Sumi ni Ita Kare wa Midara na Nikushoku deshita', '']","3-byougo, Yajuu. Goukon de Sumi ni Ita Kare wa Nikushoku deshita",,,['Hentai'],,,,
126,バンドリ！ ガールズバンドパーティ！ 5th Anniversary Animation -CiRCLE THANKS PARTY！-,,['ONA'],2,Finished Airing,"Mar 10, 2022 to Mar 17, 2022",,,"None found,","None found,",['SANZIGEN'],Mixed media,,['Music'],,23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1287,#9076,"4,745",22,2227,A two-episode animation commemorating the 5th anniversary of 'BanG Dream! Girls Band Party!',[],BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,,,,,,,
127,阿波連さんははかれない ミニ,,['ONA'],18,Finished Airing,"Mar 12, 2022 to Jun 19, 2022",,,['Felix Film'],"None found,",['AQUA ARIS'],['Manga'],,['School'],['Shounen'],1 min. per ep.,PG-13 - Teens 13 or older,6.06,#9598,#9381,"4,300",8,1083,Mini anime for Aharen-san wa Hakarenai released on the official Twitter.,[],Aharen-san wa Hakarenai Mini,,,['Comedy'],,,,
128,ありふれた職業で世界最強 ピクチャードラマ,Arifureta: From Commonplace to World's Strongest Season 2 Picture Drama,['ONA'],12,Finished Airing,"Jan 13, 2022 to Mar 31, 2022",,,"None found,","None found,","None found,",['Light novel'],"['Comedy', 'Fantasy']",,,1 min. per ep.,PG-13 - Teens 13 or older,6.29,#8330,#9817,"3,756",0,1348,"An online motion graphic spin-off series that provides a comedic interpretation of events that have occurred in conjunction with the Anime. These episodes were originally posted on the series' official Twitter page on a weekly basis that coincided with the debut of each of the anime's episodes, and were later included in the Blu-ray BOX sets. The voice cast for the Picture Dramas is the same as the Anime cast. (Source: Arifureta Wiki)",[],Arifureta Shokugyou de Sekai Saikyou 2nd Season Picture Drama,,,,,,,
129,よしまほ,Yoshi Yoshi Magic,['ONA'],15,Finished Airing,"Jul 1, 2021 to Jan 13, 2022",,,"None found,","None found,",['DLE'],Mixed media,"['Fantasy', 'Slice of Life']",,,1 min. per ep.,PG-13 - Teens 13 or older,5.22,#12878,#10098,"3,417",17,402,"Exhausted by your daily life, you were seeking a way to heal. You wanted to be kindly praised and comforted. ""Toddlers can be legally fawned over, they're so lucky..."" Such thoughts were an escape from reality. One day, you bought a blue pacifier from a general store. When you popped it into your mouth, you were engulfed by a mysterious light. Before you knew it, you were reincarnated in another world as a five-year-old child! (Source: MAL News)",[],Yoshimaho,,"['Childcare', 'Isekai']",,,,,
130,永生,Immortality,['ONA'],12,Finished Airing,"Jan 29, 2022 to Apr 9, 2022",,,['bilibili'],"None found,",['Oriental Creative Color'],Web novel,"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],,24 min. per ep.,PG-13 - Teens 13 or older,7.51,#1928,#10405,"3,102",24,1249,"Fang Han, a humble family slave, held the belief since childhood that ""I would rather be a beggar than a slave"", and traversed the world by himself. With an unyielding stubbornness, he broke through the mystery of supernatural powers and forged his body into an immortal body. Work hard to step into the fairyland step by step, and eventually become the peak king. (Source: bilibili)","['Sequel (ONA) Yong Sheng: Shi Nian Zhi Yue', '']",Yong Sheng,,,,,,,
131,星辰变 破天迷局,,['ONA'],16,Finished Airing,"Jan 23, 2022 to Apr 24, 2022",,,['Tencent Penguin Pictures'],"None found,",['Foch Film'],Web novel,"['Action', 'Adventure', 'Fantasy', 'Romance']",['Martial Arts'],,25 min. per ep.,PG-13 - Teens 13 or older,7.71,#1279,#10634,"2,909",22,1280,"Among the treasures from the Immortal Manor, Qin Yu, along with venturers from other sects, find clues relating to the Ni Yang Realm, a realm of the Immortal Emperor Ni Yang. When Jiang Li is forced to return home, Jiang Lan decides to go back for her. Before leaving, he gives a parting gift to Qin Yu, one that may help him meet her. Setting out to the Ni Yang Realm, Qin Yu faces various ordeals before he gains knowledge on the strength he will be needing in order to meet Jiang Li again. [Written by MAL Rewrite]","['Prequel (ONA) Xingchen Bian: Xingchen Yao Hai', 'Sequel (ONA) Xingchen Bian 5th Season']",Xingchen Bian: Po Tian Mi Ju,"Xingchen Bian 4th Season, Legend of Immortals 4th Season, Stellar Transformation 4th Season",,,,,,
132,虚構推理 ミニアニメ Season2,In/Spectre Mini Anime Season 2,['ONA'],16,Finished Airing,"Feb 11, 2022 to Sep 30, 2022",,,"None found,","None found,",['AQUA ARIS'],['Manga'],,,,1 min. per ep.,PG-13 - Teens 13 or older,5.98,#10000,#11240,"2,436",1,518,Short episodes with super-deformed characters posted on the official Twitter account.,"['Prequel (ONA) Kyokou Suiri Mini Anime', '']",Kyokou Suiri Mini Anime Season 2,,,['Comedy'],,,,
133,組長娘と世話係 ピクチャードラマ,The Yakuza's Guide to Babysitting Picture Drama,['ONA'],7,Finished Airing,"Jan 28, 2022 to Jul 22, 2022",,,"None found,","None found,",['AQUA ARIS'],['Manga'],,['Organized Crime'],,2 min. per ep.,PG-13 - Teens 13 or older,5.94,#10237,#11398,"2,328",3,571,Introductory Picture Drama episodes released online prior to the TV anime debut.,[],Kumichou Musume to Sewagakari Picture Drama,,,['Comedy'],,,,
134,我的异界之旅,My Journey in an Alternate World,['ONA'],40,Finished Airing,"Jan 13, 2022 to May 27, 2022",,,"['bilibili', 'Xuanyuan Network']","None found,","None found,",Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,10 min. per ep.,PG-13 - Teens 13 or older,6.16,#9058,#11736,"2,090",5,453,"Young Chen Xiaofan entered an alternate world after he accidentally swallowed a Chaos Orb, and became Young Master Chen, the prettiest man in Muyun City. Although he was adored by all the ladies in Muyun City, he was useless as he was not able to cultivate. With his mind set on going back to his original world, he gave up his stable lifestyle as a young master and went against his family’s wishes, determined to walk the path of a cultivator. (Source: Narul Donghua)",[],Wo de Yi Jie Zhi Lu,My Journey To Another World,"['Historical', 'Martial Arts']",,,,,
135,诸天纪,Thousands of worlds,['ONA'],26,Finished Airing,"Jan 28, 2022 to Jul 15, 2022",,,['Youku'],"None found,",['2:10 Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],,14 min. per ep.,PG-13 - Teens 13 or older,7.14,#3730,#11947,"1,963",24,789,"Teenage boy Lin Fei was unable to practice martial arts due to a defect in his meridians. After witnessing his master and his best friend die in the battle in the Black Abyss, he began to practice an ancient art of artifact refinement. He vowed to avenge them and hunt down the leader of the Black Abyss, even if it cost him his own life. A mysterious power revived him in a new era, and Lin Fei was determined to rebuild his sect and make it flourish. (Source: Narul Donghua)",[],Zhu Tian Ji,The era of the world,,,,,,
136,七界第一仙,The First Immortal of the Seven Realms,['ONA'],120,Finished Airing,"Feb 24, 2022 to Apr 6, 2023",,,"None found,","None found,",['Suoyi Technology'],Web novel,"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],,11 min. per ep.,PG-13 - Teens 13 or older,6.36,#7945,#12216,"1,796",14,351,"Because of a sudden kindness, Liang Xi has ten thousand years of true power, and joins Tianlingmen to embark on the official path of self-cultivation. Turning your hands into clouds and covering your hands into rain, while talking and laughing, the powerful enemies are wiped out. My wish is very simple. It is nothing more than planting flowers and raising grass, and making bubble girls and refining treasures. Covering the world with one hand, very good and powerful. Liang Xi looked at the sentient beings in the seven realms crawling under her feet, and emphasized that I am a man with a strong sense of chastity. (Source: Donghua Sub Studio)",[],Qi Jie Diyi Xian,,,,,,,
137,A Ripple in Time / 時の波紋,,['ONA'],1,Finished Airing,"Feb 12, 2022",,,"None found,","None found,",['OLM'],Game,,['Strategy Game'],['Kids'],6 min.,PG - Children,6.15,#9082,#12271,"1,763",1,822,"Satoshi and Pikachu were having a Pokemon battle with a certain trainer. In the midst of an incandescent battle, he is suddenly surrounded by a large light and is blown to a strange place. What Satoshi and his friends see after chasing Celebi, the only clue to return to the original place ...!? (Source: YouTube)",[],A Ripple in Time,"Daniel Arsham × Pokémon, Toki no Hamon",,['Adventure'],,,,
138,爆丸エボリューションズ,Bakugan: Evolutions,['ONA'],26,Finished Airing,"Feb 6, 2022 to Sep 1, 2022",,,"None found,","None found,",['TMS Entertainment'],Original,"['Action', 'Fantasy']",['Strategy Game'],,22 min. per ep.,PG - Children,5.64,#11628,#12371,"1,704",4,575,"In Bakugan: Evolutions, fan-favourite Bakugan heroes – including Drago, Trox, Pegatrix, Hydorous, Howlkor and Pharol – return stronger, faster and better than ever! Strange occurrences begin to happen in the new action-packed season; elemental energy from Vestroia is seeping into Earth, creating strange phenomena and causing Bakugan to rage out with excess energy! It’s not all bad though, as our heroes realize the Vestroian elemental energy is also causing elemental evolutions among our Bakugan! Along with these new evolutions comes a new breed of elemental brawlers, propelling the Awesome Brawlers to adapt and in effect, take Bakugan brawling to a whole new level, unlocking even more awesome powers and evolutions! Once again, the fate of two worlds, Earth and Vestroia, rests in the hands of the Awesome Brawlers and their Bakugan partners. (Source: Corus Entertainment)","['Prequel (ONA) Bakugan: Geogan Rising', 'Sequel (ONA) Bakugan: Legends']",Bakugan: Evolutions,,,,,,,
139,魔法使い黎明期 ミニアニメ,The Dawn of the Witch Mini Anime,['ONA'],21,Finished Airing,"Mar 19, 2022 to Apr 7, 2022",,,['Tezuka Productions'],"None found,",['AQUA ARIS'],['Light novel'],"['Comedy', 'Fantasy']",,,1 min. per ep.,PG-13 - Teens 13 or older,5.55,#11967,#12391,"1,695",1,410,Mini anime for Mahoutsukai Reimeiki released on the official Twitter. Includes an extra collaboration episode with Machikado Mazoku.,[],Mahoutsukai Reimeiki Mini Anime,,,,,,,
140,まちカドまぞく 2丁目 みに,,['ONA'],25,Finished Airing,"Feb 14, 2022 to Oct 5, 2022",,,"None found,","None found,",['AQUA ARIS'],['4-koma manga'],,,,1 min. per ep.,PG-13 - Teens 13 or older,5.98,#10003,#12670,"1,555",1,377,"Includes an extra collaboration episode with Mahoutsukai Reimeiki, as well as four episodes that promote the Blu-ray volumes of the series.","['Prequel (ONA) Machikado Mazoku Mini', '']",Machikado Mazoku: 2-choume Mini,The Demon Girl Next Door 2 Mini Anime,,['Comedy'],,,,
141,武映三千道,Three Thousand Roads,['ONA'],10,Finished Airing,"Mar 27, 2022 to May 15, 2022",,,['Tencent Penguin Pictures'],"None found,",['Tang Kirin Culture'],Novel,"['Action', 'Adventure', 'Fantasy']",,,12 min. per ep.,PG-13 - Teens 13 or older,6.59,#6524,#12673,"1,548",9,501,"Locked into a relentless duel, cultivation experts Cang Di and Song Yu fight each other until both reach their final breaths. However, just before perishing, Song Yu finds a wandering soul and decides to use the last of his powers to revive it. Now placing his trust in this unsuspecting individual, Song Yu instills his own sword skills and medicinal knowledge onto the soul. Transmigrating into a cultivation world as Xu Wuzhou, the son-in-law of the Qin family, the wandering soul now finds himself in a slew of embarrassing troubles, thanks to the preposterous acts of his body's previous owner. Nevertheless, Xu Wuzhou is determined to prove himself a worthy member of the Qin family, and his newfound skills could be the secret to unlocking his full potential. [Written by MAL Rewrite]","['Sequel (ONA) Wu Ying Sanqian Dao 2nd Season', '']",Wu Ying Sanqian Dao,,,,,,,
142,じゃんたま PONG☆ WEB限定特別話,,['ONA'],1,Finished Airing,"Mar 29, 2022",,,"None found,","None found,",['Scooter Films'],Game,,,,1 min.,PG-13 - Teens 13 or older,5.54,#11996,#12723,"1,525",0,746,Web-exclusive special episode of Jantama Pong☆.,[],Jantama Pong☆ Web Special,"Jantama Pong☆ Web Gentei Tokubetsu Hanashi, Mahjong Soul Pon☆ Web Special",,['Comedy'],,,,
143,死役所,Death Hall,['ONA'],1,Finished Airing,"Feb 9, 2022",,,"['Frontier Works', 'Shinchosha', 'Stay Luck']","None found,",['Typhoon Graphics'],['Manga'],,,['Seinen'],11 min.,PG-13 - Teens 13 or older,6.90,#4852,#12553,"1,614",5,623,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Shiyakusho', '']",Shiyakusho,,,['Slice of Life'],,,,
