,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Genre,Theme,Themes,German,Demographics
48,モンスター,Monster,['TV'],74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",['Spring 2004'],Wednesdays at 00:40 (JST),"['VAP', 'Nippon Television Network']",['VIZ Media'],['Madhouse'],['Manga'],"['Drama', 'Mystery', 'Suspense']",['Seinen'],24 min. per ep.,R+ - Mild Nudity,8.88,#24,#123,"1,210,906","56,859",459137,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience. So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director. Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved. [Written by MAL Rewrite]","['Adaptation (Manga) Monster', '']",Monster,,,,,,"['Adult Cast', 'Psychological']",,
49,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,875","15,330",164355,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,,,['Detective'],,Case Closed,
50,攻殻機動隊 S.A.C. 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,['TV'],26,Finished Airing,"Jan 1, 2004 to Jan 8, 2005",['Winter 2004'],Unknown,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Kodansha', 'Tokuma Shoten', 'Nippon Television Network', 'Fonishia']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],['Manga'],"['Action', 'Mystery', 'Sci-Fi']",['Seinen'],25 min. per ep.,R - 17+ (violence & profanity),8.51,#142,#1116,"233,647","3,213",106502,"Following the closure of the ""Laughing Man"" case, Section 9 is re-established by Japan's newly elected Prime Minister, Youko Kayabuki, to combat the persistent threat of cyber-terrorism. A group calling themselves ""The Individual Eleven"" has begun committing acts of terror across Japan. While Motoko Kusanagi, Daisuke Aramaki, Batou, and the other members of Section 9 investigate this new menace, the Japanese government faces a separate crisis, as foreign refugees displaced by the Third World War seek asylum in Japan. But as the members of the special-ops team continually encounter Gouda Kazundo—a leading member of the Cabinet Intelligence Service—in their hunt, they begin to suspect that he may be involved, and that the events of the refugee crisis and The Individual Eleven may be more connected than they realize... [Written by MAL Rewrite]","['Prequel (TV) Koukaku Kidoutai: Stand Alone Complex', 'Sequel (TV Special) Koukaku Kidoutai: Stand Alone Complex - Solid State Society']",Koukaku Kidoutai: Stand Alone Complex 2nd GIG,Ghost In The Shell S.A.C. 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,,,"['Adult Cast', 'Detective', 'Mecha', 'Military']",Ghost in the Shell: Stand Alone Complex 2nd GIG,
51,頭文字〈イニシャル〉D FOURTH STAGE,,['TV'],24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",['Spring 2004'],Unknown,['OB Planning'],['Funimation'],['A.C.G.T.'],['Manga'],"['Action', 'Drama']",['Seinen'],27 min. per ep.,PG-13 - Teens 13 or older,8.17,#447,#1275,"200,556","1,382",112334,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results. The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture. [Written by MAL Rewrite]","['Prequel (Movie) Initial D Third Stage', 'Sequel (TV) Initial D Fifth Stage', 'Adaptation (Manga) Initial D Read Manga', '']",Initial D Fourth Stage,Initial D 4th Stage,Initial D: Supera el Límite de Velocidad Temporada 4,Initial D 4ème-Etape,,['Racing'],,,
52,ポケットモンスター　アドバンスジェネレーション,Pokémon: Advanced,['TV'],192,Finished Airing,"Nov 21, 2002 to Sep 14, 2006",['Fall 2002'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Kids'],24 min. per ep.,PG - Children,7.13,#3776,#1307,"195,936",295,120794,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League. (Source: ANN, edited)","['Prequel (TV) Pokemon', 'Sequel (TV) Pokemon Diamond & Pearl']",Pokemon Advanced Generation,"Pocket Monsters: Advanced Generation, Advanced Challenge, Advanced Battle, Battle Frontier",Pokémon Advanced,Pokémon Advance,,,,Pokémon: Rubin und Saphir,
53,テニスの王子様,The Prince of Tennis,['TV'],178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",['Fall 2001'],Wednesdays at 19:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems']","['Funimation', 'VIZ Media']",['Trans Arts'],['Manga'],,['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,7.85,#920,#1341,"190,921","3,041",86555,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]","['Sequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen', 'Adaptation (Manga) Tennis no Oujisama']",Tennis no Oujisama,"TeniPuri, PoT",,The Prince of Tennis,['Sports'],['School'],,,
54,ガンツ,Gantz: Second Stage,['TV'],13,Finished Airing,"Aug 26, 2004 to Nov 18, 2004",['Summer 2004'],Thursdays at 10:00 (JST),['Fuji TV'],"['ADV Films', 'Funimation']",['Gonzo'],['Manga'],"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Suspense']",['Seinen'],23 min. per ep.,R+ - Mild Nudity,7.01,#4353,#1514,"167,390",442,100776,"Despite having seemingly returned to their normal lives, Kei Kurono, Masaru Katou, and Kei Kishimoto are forced back into the lethal game after Gantz's recent activity. The black sphere continues to summon recently deceased people to fight alien invaders. And having survived the two previous encounters, the trio are more than prepared for the upcoming missions. As they progress through the tournament's stages, the three proceed in their attempt to earn 100 points, which is said to be the only way to leave the parallel dimension for good. However, with the constant onslaught of alien invaders and the threat of imminent death, they must first focus on the task at hand—immediate survival. [Written by MAL Rewrite]","['Prequel (TV) Gantz', 'Adaptation (Manga) Gantz']",Gantz 2nd Stage,"Gantz *uncut*, Gantz - Second Stage, Gantz 2nd stage",,,,,"['Gore', 'High Stakes Game', 'Psychological', 'Survival']",,
55,サムライセブン,Samurai 7,['TV'],26,Finished Airing,"Jun 12, 2004 to Dec 25, 2004",['Summer 2004'],Not scheduled once per week,"['GDH', 'Sotsu Music Publishing', 'Future Vision Music', 'MICO']",['Funimation'],['Gonzo'],Other,"['Action', 'Sci-Fi']",,26 min. per ep.,PG-13 - Teens 13 or older,7.43,#2215,#1785,"135,029",717,64218,"In the far distant future, on a planet that might have been called ""earth"", there was a war between samurai who mechanized their bodies. After the long war, people enjoyed a modest peace. Facing starvation and abductions at the hands of fearsome mechanized bandits (Nobuseri), the farmers of Kanna Village make the dangerous choice to hire samurai for protection. The village's water priestess, Kirara, her younger sister, Komachi, and a heartbroken villager, Rikichi, set off to hire willing samurai with nothing to offer but rice from their meager harvests. Through dangerous encounters and a bit of luck, seven samurai of varying specialties and experience are gathered for an epic battle against the bandits and the merchants that influence them. Samurai 7 is based loosely upon Kurosawa Akira's famous movie ""Seven Samurai""/""Shichinin no Samurai""","['Adaptation (Manga) Samurai 7', '']",Samurai 7,Samurai Seven,,,,,"['Historical', 'Mecha', 'Samurai']",,
56,金色のガッシュベル!!,Zatch Bell!,['TV'],150,Finished Airing,"Apr 6, 2003 to Mar 26, 2006",['Spring 2003'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['VIZ Media', 'Flatiron Film Company']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Supernatural']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1771,#1817,"132,183","1,314",62532,"Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage.","['Adaptation (Manga) Konjiki no Gash!!', '']",Konjiki no Gash Bell!!,,,Zatch Bell!,,['Mythology'],,,
57,今日からマ王！,,['TV'],78,Finished Airing,"Apr 3, 2004 to Feb 25, 2006",['Spring 2004'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",['Shoujo'],25 min. per ep.,PG-13 - Teens 13 or older,7.61,#1560,#1972,"118,731","1,379",43045,"Kyou kara Maou! revolves around Yuri Shibuya, your average Japanese teenager. One day, Yuri sees a classmate being harassed by bullies. Thanks to this intervention, his friend is able to escape, but unfortunately Yuri becomes the new target of the bullies in the process and gets his head shoved into a toilet. But instead of water, the toilet contains a swirling portal that sucks him into another world, largely resembling medieval Europe. There, he is told that he will become the next Demon King due to his black hair and black eyes, traits only possessed by the demon's royal lineage. Yuri's arrival is met with some skepticism by some of the demons, who view him as unworthy to be their king. However, after Yuri wins a duel by utilizing his magical powers, the demons slowly begin to acknowledge him as their monarch. Yuri must now learn what it takes be a true Demon King, as he tries to keep the peace between demons and humans in this strange new realm.","['Sequel (OVA) Kyou kara Maou! R', 'Adaptation (Manga) Kyou kara Ma no Tsuku Jiyuugyou!', 'Adaptation (Light Novel) Ma Series', '']",Kyou kara Maou!,"Kyo Kara Maoh!, Maruma, God? Save Our King, King from now on!",,,,['Isekai'],,,
58,ボボボーボ・ボーボボ,Bobobo-bo Bo-bobo,['TV'],76,Finished Airing,"Nov 8, 2003 to Oct 15, 2005",['Fall 2003'],Unknown,"['Avex Entertainment', 'Dentsu', 'TV Asahi']","['Discotek Media', 'Illumitoon Entertainment']",['Toei Animation'],['Manga'],"['Adventure', 'Comedy', 'Sci-Fi']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.50,#1945,#2264,"97,756","1,147",40256,"In a futuristic world, the Maruhage Empire is a militant organization out to steal everyone's hair, and thus their freedom. But a brave man with an afro of gold and nose hairs of steel stands up against their tyranny. Bobobo-bo Bo-bobo, trained in the ways of hair, rescues a teenager named Beauty from the grunts of the Maruhage Empire. Together, they start on a journey to defeat Emperor Tsuru Tsurulina IV. As Bo-bobo meets new friends and battles foes along the way, so too does he begin his quest to save all the hairs of the world! Light-hearted and comical, Bobobo-bo Bo-bobo details a wacky adventure in which Bo-bobo and his companions fight all sorts of villains and deviants within the Maruhage Empire, all the while having a fun and exciting adventure. [Written by MAL Rewrite]","['Adaptation (Manga) Bobobo-bo Bo-bobo', '']",Bobobo-bo Bo-bobo,"Boboboobo Boobobo, Bo-Bobo, Boboboubo Boubobo",,,,,"['Gag Humor', 'Parody']",,
59,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['Seinen'],21 min.,G - All Ages,7.80,#1029,#2402,"88,085","1,330",42196,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,Shin Chan,,,['School'],,Shin Chan,
60,ケロロ軍曹,Sgt. Frog,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1300,#2552,"80,352","1,283",35928,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,Sergeant Frog,,,,['Parody'],,,
61,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,025",669,39823,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,Doraemon,,,['Anthropomorphic'],,,"['Kids', 'Shounen']"
62,とっとこハム太郎,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",['Kids'],25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,640",280,30614,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",Hamtaro,Hamtaro,,['Anthropomorphic'],,Hamtaro,
63,ふたりはプリキュア,Pretty Cure,['TV'],49,Finished Airing,"Feb 1, 2004 to Jan 30, 2005",['Winter 2004'],Sundays at 08:30 (JST),"['Asatsu DK', 'Asahi Production', 'Asahi Broadcasting']",['4Kids Entertainment'],['Toei Animation'],Original,"['Action', 'Comedy']",,24 min. per ep.,G - All Ages,7.10,#3899,#3135,"55,508",377,21126,"Middle school students Nagisa Misumi and Honoka Yukishiro are the epitome of dissimilarity. Popular with their classmates, Nagisa is the school's energetic star lacrosse player, while Honoka is the soft-spoken ""Queen of Intelligence."" As unrelated as they may seem, Nagisa and Honoka live double lives as the ""emissaries of light"": Cure Black and Cure White of Pretty Cure. With the assistance of two fairies, Mipple and Mepple, the girls fight against the Dotsuku Zone—an evil force that has invaded the Garden of Light. In order to prevent the Dotsuku Zone from taking over the Garden of Rainbows as well, the pair must work together to find seven Prism Stones and restore the Prism Hopish to drive out the vile forces. With strong foes standing in their way, Nagisa and Honoka learn to work together and harness their newfound powers in order to save the worlds from further ruin. [Written by MAL Rewrite]","['Sequel (TV) Futari wa Precure: Max Heart', 'Adaptation (Manga) Futari wa Precure']",Futari wa Precure,We Are Pretty Cure,Pretty Cure,Pretty Cure,,['Mahou Shoujo'],,Pretty Cure,
64,蒼穹のファフナーDead Aggressor,Fafner,['TV'],25,Finished Airing,"Jul 5, 2004 to Dec 27, 2004",['Summer 2004'],Unknown,"['TV Tokyo Music', 'King Records']","['Funimation', 'Geneon Entertainment USA']",['Xebec'],Original,"['Action', 'Drama', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3079,#3300,"50,704",273,15784,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind. (Source: ANN)","['Prequel (TV Special) Soukyuu no Fafner: Dead Aggressor - Right of Left', 'Sequel (Movie) Soukyuu no Fafner: Dead Aggressor - Heaven and Earth', 'Adaptation (Manga) Soukyuu no Fafner: Dead Aggressor', 'Adaptation (Light Novel) Soukyuu no Fafner: Dead Aggressor']",Soukyuu no Fafner: Dead Aggressor,Fafner in the Azure: Dead Aggressor,,,,,"['Mecha', 'Military']",,
65,マーメイドメロディーぴちぴちピッチピュア,,['TV'],39,Finished Airing,"Apr 3, 2004 to Dec 25, 2004",['Spring 2004'],Unknown,"['TV Aichi', 'Tokyu Agency', ""We've Inc.""]","None found,","['Actas', 'Synergy Japan']",['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Romance']",['Shoujo'],24 min. per ep.,PG - Children,7.22,#3280,#3410,"47,534",264,25231,"After the final battle against Gaito, Sara had given her life to remain with him. The sea world is now at peace, but only with six mermaid princesses. While Caren, Noel, and Coco have returned to their kingdoms, it should be time for Lucia, Hanon, and Rina to do the same. After all, Mitsuki Tarou is leaving for Germany, and Doumoto Kaito is heading to Hawaii. Lucia is devestated, and when things couldn't get any worse, Kaito is lost at sea! Worst of all, a strange angel named Michel has appeared, wanting the mermaids to join him. But on the lighter side, Sara's spirit tells Lucia of Sara's successor, a young mermaid named Seira. The mermaids are in for another adventure!","['Prequel (TV) Mermaid Melody Pichi Pichi Pitch', 'Adaptation (Manga) Pichi Pichi Pitch: Mermaid Melody']",Mermaid Melody Pichi Pichi Pitch Pure,,,,,,"['Mahou Shoujo', 'Music']",,
66,クラウ ファントムメモリー,,['TV'],24,Finished Airing,"Jun 25, 2004 to Dec 16, 2004",['Summer 2004'],Unknown,"['TV Asahi', 'Media Factory', 'Victor Entertainment', 'Fonishia']","['ADV Films', 'Funimation']",['Bones'],Original,"['Action', 'Drama', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.28,#2943,#4138,"32,950",141,8670,"It is the year 2100, and on the colonized Moon, a project is under way to explore new aspects of energy. Amami Kurau is the daughter of the chief scientist on the project, and on her 12th birthday, she accompanies her father to the lab to observe the experiments. Then something goes awry, and Kurau is struck by twin bolts of light. In the aftermath, her father is dismayed to find that his daughter is no longer his daughter. Rather, her body is now home to two energy entities with fantastic powers. (Source: ANN)","['Adaptation (Light Novel) KURAU Phantom Memory', 'Adaptation (Manga) KURAU Phantom Memory']",Kurau Phantom Memory,,,,,,"['Space', 'Super Power']",,
67,魔法少女隊アルス,Tweeny Witches,['TV'],40,Finished Airing,"Apr 9, 2004 to Mar 4, 2005",['Spring 2004'],Fridays at 18:20 (JST),"['Sogo Vision', 'Tohokushinsha Film Corporation', 'Beyond C.']",['Media Blasters'],['Studio 4°C'],Original,"['Adventure', 'Comedy', 'Fantasy']",,9 min. per ep.,PG-13 - Teens 13 or older,7.03,#4227,#4185,"31,972",89,7090,"Arusu believes in magic. With all her heart, she believes that magic is possible and that it can be used for good deeds and fun games. But suddenly, she finds herself transported into another world, ruled by a mysterious elite of witches—and these witches don't seem to be in it for the fun. They're hard at work capturing sprites, the native magical beings of the world, and forcing them into slavery. Once Arusu realizes that her new surroundings aren't just a dream, she sets out to change things. (Source: ANN)",[],Mahou Shoujo-tai Arusu,"Mahou Shoujo-tai Alice, Mahou Shoujotai, Magic-Girl Squad: Alice, Magical Girl Squad Arusu",,,,['Isekai'],,,
68,わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",['Shoujo'],21 min. per ep.,G - All Ages,7.30,#2838,#5032,"21,099",137,9262,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",,Mirmo!,,['School'],,,
69,こちら葛飾区亀有公園前派出所 (1996),,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5110,"20,327",197,7454,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",Kochikame,,['Comedy'],,"['Adult Cast', 'Detective', 'Gag Humor']",,
