,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Theme,German,Spanish,Genre,Demographics
111,,カリーノ・コニ,,['TV'],26,Finished Airing,"Apr 2, 2014 to Oct 1, 2014",['Spring 2014'],Unknown,"None found,","None found,",['Robot Communications'],Novel,,,['Kids'],3 min. per ep.,PG - Children,5.92,#10361,#16640,544,0,137,"A shy little Carino Coni is a rabbit boy who just started to live alone in the forest away from his family. Everyday Coni's heart raises with joy playing with his siblings who lives nearby, but suddenly cries of lonesomeness, which he cannot explain. This story is about all heart warming stories Coni encounters, and how he himself become not so lonely anymore as he gradually grows up. (Source: playsetproducts.jp)",[],Carino Coni,,,,,['Fantasy'],
112,,출동! 슈퍼윙스,Super Wings,['TV'],52,Finished Airing,"Sep 1, 2013 to Feb 25, 2016",['Fall 2013'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],12 min. per ep.,PG - Children,5.86,#10651,#16598,547,1,209,"Super Wings follows the adventures of an adorable jet plane named Jett who travels around the world delivering packages to children. On every delivery, Jett encounters new problems that he must solve with the help of his friends the ""Super Wings"": Dizzy, Jerome and Donnie. Together, the team explores different countries and learns the diversity of new cultures. (Source: Official YouTube channel)","['Sequel (TV) Chuldong! Super Wings 2', '']",Chuldong! Super Wings,Super Wings,['Racing'],Super Wings,Super Wings. ¡Siempre Cumplimos!,['Adventure'],
113,,おはようハクション大魔王,,['TV'],237,Finished Airing,"Mar 31, 2014 to Mar 27, 2015",['Spring 2014'],Not scheduled once per week,"None found,","None found,",['Kate Arrow'],Other,,,,1 min. per ep.,G - All Ages,5.79,#10994,#16735,532,0,122,"The 3rd continuation of NTV's ZIP! anime parody shorts. This one focuses on Hakushon Daimaou. Like with the previous season, occasionally the Gatchaman team and now the Mazinger Z team show up in some episodes.","['Prequel (TV) Mazinger ZIP!', 'Sequel (TV) Good Morning!!! Doronjo']",Ohayou Hakushon Daimaou,,['Parody'],,,['Comedy'],
114,Yowamon,よわむしモンスターズ,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,['Kids'],1 min.,PG - Children,[],#16128,#16778,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,,,,,,
115,,えほん寄席,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,"['Historical', 'Performing Arts']",['Kids'],5 min. per ep.,PG - Children,[],#17862,#17183,487,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,,,['Horror'],
116,Forest Frenzy of Boonie Bears,熊出没之丛林总动员,Boonie Bears: Forest Frenzy,['TV'],104,Finished Airing,"Jul 13, 2013 to Sep 25, 2014",['Summer 2013'],Unknown,['Fantawild Animation'],"None found,","None found,",Original,,,['Kids'],13 min. per ep.,PG - Children,5.63,#11675,#17351,469,0,161,"Third season of Boonie Bears. Having had a taste of carnival life in town, the Bear Brothers return to the forest to start anew. But aside from the joy of meeting old friends, the bears must again cope with the dull-but-driven Logger Vick! That shiny-pated villain is determined to crush their renewed efforts to protect the forest they love. If he can dispatch the Bear Brothers, Vick will realize his evil dream of riches through total destruction of the forest. Fortunately the Brothers and their friends have a forest full of surprises in store for him! Boonie Bears: Forest Frenzy features Briar and Bramble Bear doing what they do best: creating non-stop laughs for kids around the world! (Source: Official website)","['Prequel (TV) Xiong Chumo: Huanqiu Da Maoxian', 'Sequel (TV) Xiong Chumo: Chunri Dui Dui Peng']",Xiong Chumo: Conglin Zong Dong Yuan,,,,,['Comedy'],
117,"Panpaka Panties, Panpaka Underwear",パンパカパンツ,Panpaka Pantsu,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,['Kids'],15 sec. per ep.,G - All Ages,[],#20946,#17398,466,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,,,,,['Comedy'],
118,,ともだち8にん,,['TV'],398,Finished Airing,"Mar 28, 2011 to Jan 5, 2019",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Egg'],Original,,,['Kids'],1 min. per ep.,G - All Ages,[],#14949,#17776,436,0,,"A series oriented to three-year-old children, showing the everydays of 9 characters, each of them having a distinct feature. Children will recognize characters and situations from their own life. Sometimes through conflicts, sometimes through encouragement, they will find everyone's place in the world. The story conveys messages such as ""Nobody's alone"", ""It's good to be different"" and the importance of being connected with others, in a fun way. (Source: Official site)",[],Tomodachi 8-nin,,,,,['Comedy'],
119,Fight! Oden-kun,がんばれ！おでんくん,The Adventure of Oden-kun,['TV'],102,Finished Airing,"Jan 12, 2013 to Dec 27, 2014",['Winter 2013'],Saturdays at Unknown,['Sotsu'],"None found,",['Kachidoki Studio'],Picture book,,,,3 min. per ep.,G - All Ages,[],#18104,#17986,421,2,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Prequel (TV) Oden-kun', '']",Ganbare! Oden-kun,,,,,['Comedy'],
120,,아스타를 향해 차구차구,,['TV'],27,Finished Airing,"May 31, 2014 to Jan 3, 2015",['Spring 2014'],Unknown,"None found,","None found,","None found,",Game,,,,20 min. per ep.,G - All Ages,[],#16650,#18215,404,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Astar-eul Hyanghae Chaguchagu,,['Team Sports'],,,['Sports'],
121,Brinken: Finger Skate Generation,翼空之巅,Brinken: Skate Revolution,['TV'],40,Finished Airing,"Apr 2013 to Apr 2, 2015",['Spring 2013'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Sports']",,['Kids'],23 min. per ep.,G - All Ages,[],#16023,#18168,405,2,,"In a city of the future, many kids can play with Finger Skateboards--skateboards that can move a simulated character in a battle at will of the player. Our main character enters shop and joins the game along with his 3 friends. They kids go on many adventures and compete against Alexander, the son of a rival company competing against the original shop.",[],Yi Kong Zhi Dian,,,,,,
122,Nora Suko (TV),野良スコ,,['TV'],43,Finished Airing,"May 19, 2014 to Mar 31, 2015",['Spring 2014'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,"['Comedy', 'Slice of Life']",,,2 min. per ep.,G - All Ages,[],#20731,#18224,404,0,,musicる TV signed up Norasco for their channel. Some of the ONA's episodes were shown and then the episodes became mostly musicる TV exclusive.,"['Prequel (ONA) Norasco', '']",Norasco (TV),,,,,,
123,,パッコロリン,Pakkororin,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,['Kids'],1 min.,G - All Ages,[],#20935,#18313,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,,,
124,"Colo Colo Animal 2, Korokoro Animal 2",コロコロアニマル2,,['TV'],63,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Unknown,['Milky Cartoon'],"None found,","None found,",Unknown,,,['Kids'],1 min. per ep.,G - All Ages,[],#17406,#20145,278,0,,"An educational program teaching children shapes, basic math, colors, and other subjects.","['Prequel (TV) ColoColo Animal', '']",ColoColo Animal 2,,,,,,
125,,빨간 자전거,Red Bicycle,['TV'],302,Finished Airing,"Jan 22, 2013 to Apr 3, 2015",['Winter 2013'],Unknown,"None found,","None found,","None found,",['Manga'],,,['Kids'],4 min. per ep.,G - All Ages,[],#21138,#21012,229,0,,"Against the backdrop of a rural village with a beautiful landscape, Imhwa-ri, a postman riding a red bicycle, tells the story of our daily life with all of our sadness, joy, pain, and laughter. Let's meet with the postman on a red bicycle! (Source: YouTube)","['Adaptation (Manhwa) The Red Bicycle', '']",Ppalgan Jajeongeo,,,,,['Slice of Life'],
126,"Kijeu CSI Gwahagsusadae, Kids CSI",키즈 CSI 과학수사대,,['TV'],104,Finished Airing,"Jul 9, 2012 to Sep 15, 2014",['Summer 2012'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Mystery']",,['Kids'],23 min. per ep.,G - All Ages,[],#19411,#21373,208,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kijeu CSI,,,,,,
127,Wondeoboljeu,원더볼즈,,['TV'],26,Finished Airing,"Feb 28, 2014 to Aug 29, 2014",['Winter 2014'],Unknown,['Studio Goindol'],"None found,","None found,",Original,,,['Kids'],3 min. per ep.,PG - Children,[],#15354,#22087,171,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Wonder Balls Season 2', '']",Wonder Balls,,,,,['Comedy'],
128,,응까 소나타,,['TV'],52,Finished Airing,"May 7, 2014 to Dec 3, 2014",['Spring 2014'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,['Kids'],12 min. per ep.,PG - Children,[],#17901,#22637,149,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Eungkka Sonata,,,,,,
129,,参娃与天池怪兽,,['TV'],78,Finished Airing,Sep 2012 to Oct 2014,['Fall 2012'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],13 min. per ep.,PG - Children,[],#17117,#24170,108,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Can Wa Yu Tianchi Guaishou,,,,,['Fantasy'],
130,Dinosaurs Are Coming,恐龙来了,,['TV'],26,Finished Airing,Jul 2013 to Oct 2014,['Summer 2013'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],13 min. per ep.,PG - Children,[],#19527,#24049,110,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Konglong Laile,,['Anthropomorphic'],,,['Fantasy'],
131,,보글 쿡 원정대,Bubble Cook Expedition,['TV'],52,Finished Airing,"Nov 21, 2013 to Jan 29, 2015",['Fall 2013'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],23 min. per ep.,G - All Ages,[],#17059,#24323,105,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Bubble Cook Wonjeongdae,,,,,['Gourmet'],
132,,놓지마 정신줄,Hanging On!,['TV'],26,Finished Airing,"Jan 25, 2014 to Sep 5, 2014",['Winter 2014'],Unknown,"None found,","None found,","None found,",['Web manga'],,,['Kids'],24 min. per ep.,G - All Ages,[],#20711,#24530,101,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Nohjima Jeongsinjul,,,,,['Comedy'],
133,"Pretty Soldier Sailor Moon (2014), Sailor Moon Remake, Bishoujo Senshi Sailor Moon (2014), Sailor Moon Crystal",美少女戦士セーラームーン Crystal,Pretty Guardian Sailor Moon Crystal,['ONA'],26,Finished Airing,"Jul 5, 2014 to Jul 18, 2015",,,"['Starchild Records', 'Kodansha']",['VIZ Media'],['Toei Animation'],['Manga'],,,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.13,#3742,#1620,"153,279","1,263",68473,"Though a little clumsy and easily brought to tears, Usagi Tsukino is a typical 14-year-old girl in her second year of junior high. However, all of that changes when an encounter with Luna, a mysterious talking black cat, whose head bears the mark of a crescent moon, results in the animal bestowing a magical brooch upon her. Now Usagi can transform into Sailor Moon, a magical girl in a sailor uniform who protects love and peace! Usagi is appointed as a guardian of justice and is tasked with the search for the legendary Silver Crystal, a magical artifact that holds immense power, as well as finding the other Sailor Guardians and the lost princess of Luna's home, the Moon Kingdom. Her mission isn't without opposition, however; Queen Beryl, ruler of the Dark Kingdom, wants to claim the Silver Crystal and take its power for her own. Though she still has to worry about her school, family, and love life, it is up to Sailor Moon and the other Sailor Guardians to save the day! [Written by MAL Rewrite]","['Sequel (TV) Bishoujo Senshi Sailor Moon Crystal Season III', 'Adaptation (Manga) Bishoujo Senshi Sailor Moon']",Bishoujo Senshi Sailor Moon Crystal,Sailor Moon Crystal,['Mahou Shoujo'],Sailor Moon Crystal,Pretty Guardian Sailor Moon Crystal,['Romance'],
134,Akame ga Kill! Theater,アカ斬る! 劇場,AkaKill! Theater,['ONA'],24,Finished Airing,"Jul 8, 2014 to Dec 14, 2014",,,['TOHO animation'],['Sentai Filmworks'],['C-Station'],['Manga'],,,,1 min. per ep.,PG-13 - Teens 13 or older,6.52,#6966,#3154,"54,750",52,28484,Short specials that aired on the official website.,[],AkaKill! Gekijou,,,,,['Comedy'],
135,Barakamon Specials,みじかもん,,['ONA'],12,Finished Airing,"Jul 3, 2014 to Sep 28, 2014",,,"None found,","None found,",['Kinema Citrus'],['Manga'],,,,2 min. per ep.,G - All Ages,6.77,#5511,#4139,"32,875",16,15522,2-minute specials for Barakamon featuring chibi characters. These specials were streamed exclusively on YouTube only in Japan after every episode of the main series.,"['Prequel (ONA) Mijikamon Episode 0', '']",Mijikamon,,['Visual Arts'],,,['Comedy'],
136,,夏恋戦機,,['ONA'],11,Finished Airing,"Sep 27, 2014 to Dec 6, 2014",,,"None found,","None found,",['Next Media Animation'],Original,"['Action', 'Sci-Fi']",,,11 min. per ep.,PG-13 - Teens 13 or older,5.72,#11296,#6398,"11,346",4,4664,"In the post-apocalyptic aftermath of a war between machines and their creators, machines rule while humans exist in a state of servitude. Titular character Karen leads Resistance Group 11, an eclectic group of humans who find themselves fighting for their lives as they are hunted by the robots in each episode. Is this the end of humanity? Are they fighting a losing battle? Through Karen, we delve into a struggle between right and wrong, between indifference and love that explores some of the deepest questions about humanity. What is the difference between a thinking machine and a human being? What is a soul? (Source: Crunchyroll)",[],Karen Senki,,,,,,
137,"Hacker Doll, Hackadoll",ハッカドール,Hacka Doll,['ONA'],2,Finished Airing,"Aug 15, 2014 to Sep 18, 2014",,,"None found,","None found,",['Trigger'],Other,,,,1 min. per ep.,PG-13 - Teens 13 or older,5.71,#11356,#6909,"9,476",5,2250,"In the year 2xxx, development of information are going so fast, humans being are drowning in the sea information. This leads to a situation where people can not find the necessary information. The only hope to solve this problem is the navigator program, Hacka Doll. (Source: Anime Bibly)",[],Hacka Doll,,,,,['Fantasy'],
138,,バディ・コンプレックス 特別編集版「―誰も知らない明日へ―」,,['ONA'],1,Finished Airing,"Sep 20, 2014",,,['Lantis'],"None found,",['Sunrise'],Original,"['Action', 'Sci-Fi']","['Mecha', 'Time Travel']",,1 hr. 34 min.,PG-13 - Teens 13 or older,6.95,#4587,#9760,"3,834",6,1312,A summary of the Buddy Complex series told from the point of view of Nasu Mayuka.,[],Buddy Complex: Daremo Shiranai Ashita e,,,,,,
139,,恐怖新聞 (2014),Horror News,['ONA'],16,Finished Airing,"Apr 28, 2014 to Aug 1, 2014",,,"None found,","None found,",['Next Media Animation'],Unknown,"['Fantasy', 'Horror', 'Supernatural']",,,10 min. per ep.,PG-13 - Teens 13 or older,5.46,#12235,#11412,"2,326",7,455,"Rei Kigata is a first year middle schooler at Ishido Middle School. He is not a believer of any paranormal phenomena such as existence of ghosts or spirits in any kind, but one day at midnight, while he is sleeping, a mysterious newspaper called ""Horror News"" is delivered to his room. The newspaper tells a story in which one of his teachers at the school will get killed in a car accident the following morning and Kigata will be a witness of the accident. The story turns into a fact in the following day and since then, the mysterious newspaper is delivered everyday. He realizes he is haunted by this newspaper and that his life span would be shortened in 100 days every time he reads it. (Source: Crunchyroll, edited)",[],Kyoufu Shinbun (2014),,['Mythology'],,,,
140,Painting Rivers and Lakes,画江湖之不良人,A Portrait Of Jianghu: Bad Guys,['ONA'],54,Finished Airing,"Jul 31, 2014 to Aug 27, 2015",,,"None found,","None found,",['Rocen'],Original,"['Action', 'Adventure', 'Drama', 'Romance']","['Historical', 'Martial Arts']",,15 min. per ep.,R - 17+ (violence & profanity),6.48,#7191,#11727,"2,109",14,493,"Two martial artists are brutally killed by a team of assassins, leaving their wards, a young boy and girl, defenseless. A martial arts master dispatches of the assassins, sparing their lives, and decides to take them in. He raises them and teaches them martial arts.","['Sequel (ONA) Hua Jianghu: Bu Liang Ren II', '']",Hua Jianghu: Bu Liang Ren,,,,,,
141,,M3～ソノ黒キ鋼～,,['ONA'],1,Finished Airing,"Jul 22, 2014",,,['flying DOG'],"None found,","['Satelight', 'C2C']",Original,,,,24 min.,PG-13 - Teens 13 or older,6.05,#9691,#11800,"2,064",4,583,Recap of episodes 1-13.,[],M3: Sono Kuroki Hagane Recap,,['Mecha'],,,['Action'],
142,,機動戦士ガンダムさん,Mobile Suit Gundam-san (ONA),['ONA'],15,Finished Airing,"Sep 17, 2014 to Dec 24, 2014",,,"None found,","None found,","None found,",['4-koma manga'],,"['Mecha', 'Parody']",,2 min. per ep.,PG-13 - Teens 13 or older,6.14,#9178,#12107,"1,887",0,577,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Kidou Senshi Gundam-san', 'Adaptation (Manga) Kidou Senshi Gundam-san']",Kidou Senshi Gundam-san (ONA),,,,,['Comedy'],
143,,討鬼伝 極,,['ONA'],1,Finished Airing,"Aug 8, 2014",,,"None found,","None found,",['Studio 4°C'],Game,"['Action', 'Fantasy']",,,5 min.,PG-13 - Teens 13 or older,5.52,#12065,#13369,"1,274",0,606,A five-minute promotional anime for PlayStation Vita and PlayStation Portable game Toukiden Kiwami.,[],Toukiden Kiwami,,['Martial Arts'],,,,
144,,チャンネル5.5,,['ONA'],4,Finished Airing,"Jul 31, 2014 to Oct 10, 2014",,,"None found,","None found,",['DLE'],Unknown,,,,4 min. per ep.,PG-13 - Teens 13 or older,5.58,#11868,#14149,"1,036",0,248,"Following their run of comedy shorts with Sumire Uesaka as Ghost in the Shell: Arise's Motoko Kusanagi, Project Channel 5.5, energy supplement Calorie Mate and Eagle Talon's Frogman will next been spoofing classical music manga Nodame Cantabile. And like GitS, there will be some cast changes. Yuuki Kaji takes on the role of perfectionist piano student Shinichi Chiaki, previously voiced by Tomokazu Seki, while Tomoko Kaneda is his free-spirited foil Megumi Noda, previously voiced by Ayako Kawasumi in the earlier adaptations of Tomoko Ninomiya's josei manga. (Source: Crunchyroll)","['Prequel (ONA) Channel 5.5 3rd Season Prologue', 'Sequel (ONA) Channel 5.5 4th Season Prologue']",Channel 5.5 3rd Season,,['Parody'],,,['Comedy'],
145,,タウンワーカーズ,TOWN WORKERS,['ONA'],3,Finished Airing,"Sep 18, 2014",,,"None found,","None found,",['Rockwell Eyes'],Original,,,,6 min. per ep.,PG-13 - Teens 13 or older,5.94,#10252,#14651,901,0,264,An omnibus work portraying the lives of youth who have just started to work. (Source: Rockwell Eyes),[],Town Workers,,,,,['Slice of Life'],
146,,スシニンジャ,,['ONA'],3,Finished Airing,"Jul 3, 2014 to Nov 28, 2014",,,['Genco'],"None found,","None found,",Original,"['Action', 'Comedy', 'Fantasy']",,,4 min. per ep.,G - All Ages,4.81,#13415,#14761,877,1,320,"Elite Sushi Ninja fights with evil Monsters for justice every day! They, however, are on the popular superhero TV show…. In the real world, three lazy kids named “IKURA”, “MAGURO”, and “TAMAGO” watch with that TV show. They wish to be Heroes like the Sushi Ninja on the TV show some day, but they always fall out over something stupid. One day, they unexpectedly meet up with a beautiful Princess being chasing by Nachos King Gang. She deems the three guys to be the Heroic Sushi Ninja on TV show and asks them for help. They are so excited and act like the heroes on TV show. Then they decide to face with the enemies to protect the Princess…. Can they be the real Heroes and protect the Princess from the evil? (Source: Daisuki)",[],Sushi Ninja,,,,,,
147,,鬼斬娘 再戦,,['ONA'],1,Finished Airing,"Aug 8, 2014",,,"None found,","None found,","None found,",Original,,,,1 min.,PG - Children,6.14,#9192,#14779,868,0,406,A girl and demon battle out on a field as they have their pride on the line.,[],Onikiri Musume Saisen,,['Samurai'],,,['Action'],
148,Under Luosheng Tang,秦时明月之罗生堂下,,['ONA'],1,Finished Airing,"Aug 13, 2014",,,"None found,","None found,",['Sparkly Key Animation Studio'],Novel,"['Action', 'Fantasy']","['Historical', 'Martial Arts']",,18 min.,PG-13 - Teens 13 or older,6.06,#9631,#15231,754,1,214,A single episode special that was released on a web-tour game to coincide with the movie release. This special tells of a young Taoist who joins the Yin-Yang School to find his sister.,[],Qin Shi Mingyue: Luosheng Tangxia,,,,,,
149,,古の女神と宝石の射手,,['ONA'],2,Finished Airing,"Jul 4, 2014 to Aug 19, 2015",,,"None found,","None found,","None found,",Game,,,,58 sec. per ep.,PG-13 - Teens 13 or older,5.66,#11572,#15258,749,0,257,Commercials for the iOS game Inishie no Megami to Houseki no Ite.,[],Inishie no Megami to Houseki no Ite,,,,,['Action'],
150,"bal-gwang-ha-neun hyeon-dae-sa, Shining Modern History",발광하는 현대사,,['ONA'],3,Finished Airing,"Jul 10, 2014",,,"None found,","None found,",['Studio Dadashow'],['Web manga'],"['Drama', 'Slice of Life']",,,1 hr. 17 min. per ep.,R+ - Mild Nudity,6.29,#8331,#15303,738,0,125,"""I can't finish you..."" There's a man named Hyeon-dae who has sex and a woman named Min-joo who loves! 32-year-old man Hyeon-dae is a part-time illustration instructor. He looks like he has a normal life but he suffers from his endless sexual desires and emptiness. 27-year-old Min-joo is a traffic reporter. She always greets people with a bright smile everyday but she's smudged with pain and betrayal. They have been seeing each other for 2 years but Hyeon-dae's marriage ended things. However, they crave each other without realizing it. They are confusing sex with love and the world is a confusing place. What do they desire? (Source: HanCinema)",[],Balgwanghaneun Hyeondaesa,,,,,,
151,,チャンネル5.5 Season3 プロローグ「そしてのだめカンタービレへ」,,['ONA'],1,Finished Airing,Jul 2014,,,"None found,","None found,",['DLE'],Unknown,,,,3 min.,PG-13 - Teens 13 or older,5.26,#12790,#15911,638,0,167,Prologue episode of Channel 5.5 3rd Season.,"['Prequel (ONA) Channel 5.5 2nd Season', 'Sequel (ONA) Channel 5.5 3rd Season']",Channel 5.5 3rd Season Prologue,,,,,['Comedy'],
152,,ROLL,ROLL,['ONA'],1,Finished Airing,"Aug 16, 2014",,,"None found,","None found,","None found,",Original,,,,12 sec.,G - All Ages,4.44,#13666,#16697,538,2,301,A short animation showing a car driving around a rotating track.,[],Roll,,['Racing'],,,,
153,"YouTube Space Tokyo, studiobinzob x J-toys Channel, Studio Binzo x J-toys Channel",ボールよどこへゆく,,['ONA'],1,Finished Airing,"Sep 11, 2014",,,"None found,","None found,",['Studio Binzo'],Original,,,,1 min.,G - All Ages,4.70,#13515,#16942,511,0,240,Collaboration between Studio Binzo and J-toys Channel. Features zombies from Zombie Clay Anime.,[],Ball yo Doko e Yuku,,,,,['Comedy'],
154,,in the sea and near a girl.,In the sea and near a girl.,['ONA'],1,Finished Airing,"Aug 19, 2014",,,"None found,","None found,","None found,",Original,,,,1 min.,G - All Ages,5.58,#11875,#16888,517,0,262,Short animation by Masanobu Hiraoka with music and sound design by Aimar Molero.,[],In the Sea and near a Girl.,,['Music'],,,['Avant Garde'],
155,,かなかなかぞく,Kanakana Kazoku,['ONA'],58,Finished Airing,"Jul 26, 2014 to Mar 6, 2023",,,"None found,","None found,","['DLE', 'Studio Placebo']",Original,,,,2 min. per ep.,G - All Ages,[],#19291,#17143,490,1,,An original anime series created in cooperation with Kanagawa Prefecture.,[],Kana Kana Kazoku,,,,,['Comedy'],
156,Kuiba Yaoxia Zhuan,魁拔妖侠传,,['ONA'],20,Finished Airing,"Jul 19, 2014 to Dec 27, 2014",,,"None found,","None found,",['Vasoon Animation'],['Web manga'],"['Action', 'Adventure', 'Fantasy']",,,14 min. per ep.,PG-13 - Teens 13 or older,[],#19643,#17495,458,0,,The backstories of the characters in the Kuiba movies.,[],Kuiba Yao Xia Zhuan,,,,,,
157,YouTube Space Tokyo,魔人戦隊　デスレンジャー「奪われたプリン！」,,['ONA'],1,Finished Airing,"Sep 18, 2014",,,"None found,","None found,",['Studio Binzo'],Original,"['Action', 'Comedy']",,,3 min.,G - All Ages,4.54,#13627,#17531,455,0,185,Stop-motion animation about pudding.,[],Majin Sentai Death Ranger: Ubawareta Pudding!,,,,,,
158,,"on a forest, in the air","On a Forest, in the Air",['ONA'],1,Finished Airing,"Aug 13, 2014",,,"None found,","None found,","None found,",Original,,,,20 sec.,G - All Ages,5.12,#13067,#17828,432,0,191,A silent short animation by Masanobu Hiraoka.,[],"On a Forest, in the Air",,,,,['Avant Garde'],
159,"Drago Monster, Draco Monster",魔晶猎人,Armored Adventure,['ONA'],26,Finished Airing,"Aug 28, 2014 to Feb 12, 2015",,,['Taikong Works'],"None found,","None found,",Original,"['Adventure', 'Fantasy']",,,12 min. per ep.,PG-13 - Teens 13 or older,[],#20334,#18343,394,0,,The series takes place on a fantastical world where crystals can provide great strength. Their value has led to to the rise of a unique profession: crystal hunting.,"['Sequel (ONA) Mo Jing Lieren 2nd Season', '']",Mo Jing Lieren,,,,,,
160,Hakusai Anime Special,白菜アニメ番外編,,['ONA'],1,Finished Airing,"Aug 10, 2014",,,"None found,","None found,","None found,",Original,,,,6 min.,PG-13 - Teens 13 or older,[],#18384,#18594,375,0,,A special of Hakusai Anime.,[],Hakusai Anime Bangai-hen,,['School'],,,['Comedy'],
161,,掬いあげてくれないか,,['ONA'],1,Finished Airing,"Jul 26, 2014",,,"None found,","None found,","None found,",Original,,,,1 min.,G - All Ages,4.95,#13273,#18661,369,0,147,A short story about whether or not a person can scoop up a goldfish from a carnival game.,[],Sukui Agete Kurenai ka,,,,,['Slice of Life'],
162,,라인 레인저스,LINE Rangers,['ONA'],10,Finished Airing,"Jul 24, 2014 to Sep 19, 2016",,,"None found,","None found,",['Delpic'],Game,,,,4 min. per ep.,G - All Ages,[],#19816,#19066,340,2,,"Line Rangers follows the Line characters as super heroes who battle enemies. The various ""story movies"" of the web anime are meant to promote the Line Rangers RPG game app.",[],Line Rangers,,['Strategy Game'],,,['Fantasy'],
163,,終わらない鎮魂歌を歌おう 青年のウタ,,['ONA'],1,Finished Airing,"Jul 24, 2014",,,"None found,","None found,","None found,",Original,"['Drama', 'Supernatural']",,,11 min.,G - All Ages,[],#20918,#19896,291,0,,Kota has become a shinigami and his job is to follow a man at the end of his ropes. Slowly Kota learns about the man's life and what led him to this point.,"['Prequel (Special) Owara Nai Chinkonka wo Utaou', '']",Owara Nai Chinkonka wo Utaou: Seinen no Uta,,,,,,
164,,こえだちゃん おはなし,Koeda-chan Story,['ONA'],22,Finished Airing,"Jul 28, 2014 to Jul 1, 2019",,,"None found,","None found,","None found,",Other,,,['Kids'],3 min. per ep.,G - All Ages,[],#19498,#20897,234,0,,A stop-motion series of Koeda-chan. This unique short uses the actual Koeda-chan toys themselves to convey the story.,[],Koeda-chan Ohanashi,,,,,,
165,,妙先生之火泽睽笑人传,,['ONA'],5,Finished Airing,"Aug 9, 2014 to ?",,,"None found,","None found,","None found,",Original,"['Drama', 'Fantasy']",,,5 min. per ep.,None,[],#20217,#21698,191,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Miao Xiansheng: Huo Ze Kui Xiao Ren Chuan,,,,,,
166,,暴走恐怖故事,,['ONA'],10,Finished Airing,"Jul 11, 2014 to 2014",,,"None found,","None found,","None found,",Unknown,"['Horror', 'Suspense']",,,4 min. per ep.,PG-13 - Teens 13 or older,[],#16863,#22021,174,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) Baozou Kongbu Gushi 2nd Season', '']",Baozou Kongbu Gushi,,,,,,
