,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,German,Spanish,Demographics,French
10,"To Your Eternity 2nd Season, To You, the Immortal 2nd Season",不滅のあなたへ Season2,To Your Eternity Season 2,['TV'],20,Finished Airing,"Oct 23, 2022 to Mar 12, 2023",['Fall 2022'],Sundays at 19:00 (JST),"['NHK', 'Kodansha', 'NHK Enterprises']","None found,",['Drive'],['Manga'],"['Adventure', 'Drama', 'Supernatural']",,['Shounen'],25 min. per ep.,R - 17+ (violence & profanity),8.09,#535,#874,"302,003","1,631",113454,"After seeing enough death and tragedy, the immortal Fushi secludes himself on an island, defending himself from enemy Nokkers. However, instead of attacking Fushi in isolation, Nokkers begin targeting the settlements outside of his reach in hopes of luring him out. Soon, a group known as the Guardians—led by Hisame, the descendant of the deceased warrior Hayase—finds Fushi. Inspired by how Fushi protected Janada Island from the Nokkers years ago, the Guardians have grown a considerable following and are recognized throughout the world. Initially reluctant, Fushi allows the Guardians to accompany him to the site of the Nokkers' recent attack. In their village, Fushi meets a few valuable allies, both new and old. But as the conflict with the Nokkers only leads to more loss, Fushi must find the inner strength to face his inevitable sorrow. [Written by MAL Rewrite]","['Prequel (TV) Fumetsu no Anata e', 'Sequel (TV) Fumetsu no Anata e Season 3', 'Adaptation (Manga) Fumetsu no Anata e', '']",Fumetsu no Anata e Season 2,,,,,,
11,"Uzaki-chan wa Asobitai! 2nd Season, Uzaki-chan wa Asobitai! ω, Uzaki-chan Wants to Hang Out! 2nd Season, Uzaki-chan Wants to Hang Out! ω",宇崎ちゃんは遊びたい！ω（だぶる）,Uzaki-chan Wants to Hang Out! Season 2,['TV'],13,Finished Airing,"Oct 1, 2022 to Dec 24, 2022",['Fall 2022'],Saturdays at 21:00 (JST),"['Movic', 'AT-X', 'Sammy', 'ABC Animation', 'Kadokawa', 'INCS toenter']","None found,",['ENGI'],['Web manga'],"['Comedy', 'Romance']","['Adult Cast', 'Love Status Quo']",,23 min. per ep.,PG-13 - Teens 13 or older,7.25,#3083,#1108,"234,919",932,88984,"During the summer holidays, energetic Hana Uzaki spent most of her time accompanying her lonesome upperclassman, Shinichi Sakurai. Now that school has resumed, Uzaki's teasing continues to ramp up, much to Sakurai's constant annoyance. Nevertheless, no amount of ridicule can damage the pair's relationship—which only seems to be getting better as their college days fly by! [Written by MAL Rewrite]","['Prequel (TV) Uzaki-chan wa Asobitai!', 'Adaptation (Manga) Uzaki-chan wa Asobitai!']",Uzaki-chan wa Asobitai! Double,,,,,,
12,The Beast Tamer Who Got Kicked Out From His Party Meets a Cat Girl From the Superior Race,勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う,Beast Tamer,['TV'],13,Finished Airing,"Oct 2, 2022 to Dec 25, 2022",['Fall 2022'],Sundays at 22:00 (JST),"['Square Enix', 'Nippon Columbia', 'Nikkatsu', 'Crunchyroll', 'Yomiuri TV Enterprise', 'Jinnan Studio', 'Hakuhodo', 'Muse Communication']","None found,",['EMT Squared'],['Web manga'],"['Action', 'Adventure', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.92,#4730,#1185,"218,835","1,084",107425,"Among all the beasts that roam the world, there are unique types of ""ultimate species"" that harbor immense strength and magical prowess considered to be at the top of the power scale. As such, many humans covet their abilities, leading some of these species to the brink of extinction. As a beast tamer, Rein Shroud can employ the assistance of various animals for many tasks, such as reconnaissance and logistics. By virtue of his ability, he joins a party led by the vile and manipulative hero Arios Orlando, only to be banished after six months due to his uselessness as a non-combative class. However, unbeknownst to the team that cast him away, Rein is an exception among beast tamers. His potential becomes apparent when he meets Kanade—a cat spirit who is also one of the ultimate species—and is able to form a contract with her. With Kanade by his side, Rein sets out on his journey as an adventurer, steadily rising up the ranks and meeting more ultimate species along the way. [Written by MAL Rewrite]","['Adaptation (Light Novel) Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau', 'Adaptation (Manga) Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau']","Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",,,,,,
13,Welcome to Demon School! Iruma-kun 3rd Season,魔入りました！入間くん,Welcome to Demon School! Iruma-kun Season 3,['TV'],21,Finished Airing,"Oct 8, 2022 to Mar 4, 2023",['Fall 2022'],Saturdays at 18:25 (JST),"['NHK', 'NHK Enterprises']","None found,",['Bandai Namco Pictures'],['Manga'],"['Comedy', 'Fantasy']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.82,#1002,#1212,"213,484","1,298",92232,"Following their heroic efforts at Walter Park, the students of the misfit class return to Babyls Demon School after their summer vacation. What awaits them is not only adoration and admiration but also the shocking revelation that, in order to stay in the luxurious Royal One classroom, the entire class must be promoted to Dalet rank before entering the second year. As the Harvest and Music Festivals are right around the corner, there seem to be ample opportunities to rank up. Doing so will not be simple, however, as no class thus far has managed to accomplish such a feat. Hoping to give the misfit class a chance to achieve the improbable, the school appoints special tutors to aid in confronting the challenges that lie ahead. With his sights set beyond Dalet, Iruma Suzuki decides to take strides toward the goal of ranking up, starting with gaining acknowledgement from his special tutor: the short-tempered and selfish Bachiko Barbatos. [Written by MAL Rewrite]","['Prequel (TV) Mairimashita! Iruma-kun 2nd Season', 'Sequel (TV) Mairimashita! Iruma-kun 4th Season', 'Adaptation (Manga) Mairimashita! Iruma-kun', '']",Mairimashita! Iruma-kun 3rd Season,,['School'],,,,
14,Akulas,悪役令嬢なのでラスボスを飼ってみました,"I'm the Villainess, So I'm Taming the Final Boss",['TV'],12,Finished Airing,"Oct 1, 2022 to Dec 17, 2022",['Fall 2022'],Saturdays at 22:30 (JST),"['WOWOW', 'Mainichi Broadcasting System', 'Tokyo MX', 'bilibili', 'Kadokawa', 'Bit grooove promotion', 'NetEase', 'ADK Marketing Solutions']",['Crunchyroll'],['Maho Film'],['Light novel'],"['Comedy', 'Fantasy', 'Romance']","['Isekai', 'Villainess']",['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3323,#1313,"195,011","1,092",93578,"Aileen Lauren Dautriche's life changes forever on the day her engagement with the crown prince Cedric Jeanne Elmir is nullified so he can be together with Lilia Rainworth. The event triggers Aileen's memories from her past life—she has been reincarnated in an otome game as the villainess, who is destined to die in the final act. To prevent her predetermined demise, Aileen has only one option: to court the game's last boss, Claude Jeanne Elmir—the proclaimed ""Demon King"" and Cedric's half-brother—and marry him. However, it is easier said than done, as Claude distrusts her intentions. Instead of giving up, Aileen adamantly tries to win his heart by helping Claude fulfill his wish: to build peace between humankind and demonic beasts. But time is running out, and it is up to Aileen to change the course of not only her tragic ending but Claude's as well. [Written by MAL Rewrite]","['Adaptation (Manga) Akuyaku Reijou nanode Last Boss wo Kattemimashita', 'Adaptation (Light Novel) Akuyaku Reijou nanode Last Boss wo Kattemimashita']",Akuyaku Reijou nanode Last Boss wo Kattemimashita,,,,,,
15,"Those Obnoxious Aliens, The Return of Lum, Lum, the Invader Girl",うる星やつら,Urusei Yatsura,['TV'],23,Finished Airing,"Oct 14, 2022 to Mar 24, 2023",['Fall 2022'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Fuji TV', 'Shogakukan', 'Fuji Creative']",['Sentai Filmworks'],['David Production'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi']",,['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,7.41,#2342,#1332,"191,698","1,235",51598,"When aliens known as the Oni threaten to invade the Earth, they promise to leave under one condition—a randomly-chosen human must win a one-on-one game of tag against Lum, the beautiful daughter of the Oni leader. The ""lucky"" person selected happens to be the lustful and unlucky high schooler Ataru Moroboshi. Given 10 days to attempt to grab Lum's horns, Ataru realizes how impossible the challenge is as he is faced with Lum's extraterrestrial powers. Motivated by a promise of marriage from his childhood friend Shinobu Miyake, Ataru manages to catch Lum off guard. He mistakenly grabs hold of her bikini top first, but he eventually achieves his true goal. Although the game is over, Lum misunderstands that she is the one whom Ataru wants to marry, and she decides to move in with him. The poor student constantly tries to shake off the clingy Lum while doing his best to reconcile with his desired fiancée. After Ataru's heroic feat results in such a disastrous outcome, it is questionable whether luck will ever be on his side. [Written by MAL Rewrite]","['Sequel (TV) Urusei Yatsura (2022) 2nd Season', 'Adaptation (Manga) Urusei Yatsura']",Urusei Yatsura (2022),,,,,,
16,Ittoki the Ninja,忍の一時,Shinobi no Ittoki,['TV'],12,Finished Airing,"Oct 4, 2022 to Dec 20, 2022",['Fall 2022'],Tuesdays at 20:00 (JST),"['TMS Entertainment', ""Toy's Factory"", 'DMM pictures', 'DMM Music', 'NetEase', 'Vobile Japan']","None found,",['TROYCA'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.06,#9636,#1406,"179,627",711,63510,"Ittoki Sakuraba fails to understand why his mother, his uncle, and his childhood friend, Kousetsu, seem to take his security so seriously. Kousetsu constantly follows and observes him with no regard for his privacy, focusing only on keeping him safe every waking moment. But the consistent hounding starts making sense when an adorable second-year student at his high school, Satomi Tsubaki, asks Ittoki out on a date. Though initially innocent, Tsubaki's true intentions soon become apparent when Ittoki visits her house; she plans to assassinate him, and she is not alone. Surprisingly, the ones who come to his aid are his uncle and Kousetsu—donning their dark and deadly ninja attire. After Ittoki is escorted to safety, his mother reveals the truth: he is the 19th heir to a noble clan of ninjas known as the Iga, and the target of assassination by their rival clan, the Koga. In order to protect himself against this new threat, Ittoki must hone his skills at the only ninja academy remaining in Japan: the Kokuten Ninja Academy. [Written by MAL Rewrite]",[],Shinobi no Ittoki,['Action'],['School'],,,,
17,Akiba Maid Sensou,アキバ冥途戦争,Akiba Maid War,['TV'],12,Finished Airing,"Oct 7, 2022 to Dec 23, 2022",['Fall 2022'],Fridays at 00:00 (JST),"['Shochiku', 'Movic', 'Tokyo MX', 'Fields', 'Cygames', 'Tencent Japan', 'dugout', 'Happinet Media Marketing']",['Sentai Filmworks'],['P.A. Works'],Original,"['Action', 'Comedy']",,,23 min. per ep.,R - 17+ (violence & profanity),7.58,#1643,#1441,"174,756","1,146",71326,"The innocent Nagomi Wahira has always admired the cute girls serving at maid cafes. Hoping to fulfill her dream of becoming one, she moves to Akihabara to work at the maid cafe Ton Tokoton. Nagomi's first day seems completely normal—until she has to run an ""errand"" at a rival maid cafe along with her fellow recruit, the mature Ranko Mannen. There, things quickly go south, and Nagomi soon gets her first taste of Akihabara's violent maid wars. As she watches Ranko calmly battle her way through a horde of gun- and knife-wielding maids, Nagomi realizes that maid cafes are drastically unlike what she had envisioned. While struggling to reconcile her expectations with the harsh reality she finds herself in, Nagomi searches for the enjoyment she once saw in the lives of maids. [Written by MAL Rewrite]",[],Akiba Meido Sensou,,['Organized Crime'],,,,
18,G-Witch,機動戦士ガンダム 水星の魔女,Mobile Suit Gundam: The Witch from Mercury,['TV'],12,Finished Airing,"Oct 2, 2022 to Jan 8, 2023",['Fall 2022'],Sundays at 17:00 (JST),"['Sotsu', 'Mainichi Broadcasting System', 'Bandai Namco Filmworks']","None found,",['Sunrise'],Original,"['Action', 'Sci-Fi']","['Mecha', 'School', 'Space']",,24 min. per ep.,R - 17+ (violence & profanity),7.85,#934,#1485,"170,327","1,713",85046,"Suletta Mercury leaves her planet and enters the Asticassia School of Technology at the behest of her mother. There, right and wrong are determined through duels between students, and the top-ranking duelist will receive Miorine Rembran as their fiancée—this prize being decided by Miorine's father. When Guel Jeturk, the best pilot in school and Miorine's current fiancé, demands that his betrothed move in with him, Suletta disapproves, so Guel challenges her. Although she emerges as champion, Suletta is subsequently detained on suspicion of piloting a forbidden type of mobile suit—a GUND-ARM, or ""Gundam""—which results in her victory being voided. Miorine refuses to accept any more injustices and proposes another duel with even higher stakes. Now, Suletta must triumph a second time, otherwise she will be expelled and the Gundam Aerial that means so much to her will be destroyed. [Written by MAL Rewrite]","['Prequel (Special) Kidou Senshi Gundam: Suisei no Majo - Prologue', 'Sequel (TV) Kidou Senshi Gundam: Suisei no Majo Season 2', 'Adaptation (Light Novel) Shousetsu Kidou Senshi Gundam: Suisei no Majo', '']",Kidou Senshi Gundam: Suisei no Majo,,,,,,
19,,恋愛フロップス,Love Flops,['TV'],12,Finished Airing,"Oct 12, 2022 to Dec 28, 2022",['Fall 2022'],Wednesdays at 21:00 (JST),"['Movic', 'AT-X', 'Tokyo MX', 'TV Aichi', 'BS11', 'Sun TV', 'NTT Plala', 'Kadokawa']",['Sentai Filmworks'],['Passione'],Original,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']","['Harem', 'School']",,23 min. per ep.,R+ - Mild Nudity,6.70,#5901,#1542,"162,824",821,61979,"In the near future when technology has significantly advanced, a famous AI TV fortune teller seemingly foresees high school student Asahi Kashiwagi's day with pinpoint accuracy. On his way to school, he encounters Aoi Izumisawa, Bai Mongfa, Karin Istel, Amelia Irving, and Ilya Ilyukhin. Despite meeting them for the first time, Asahi suddenly receives love confessions from all of them at the end of the same day, perfectly aligning with the fortune teller's prediction. As if that was not enough, Asahi soon learns that these five individuals are actually candidates to become his bride, and they have been invited by his father to live at Asahi's home. Left with no other choice, he reluctantly allows them to stay, resulting in a bawdy turn of events that brightens up his average high school life. However, as Asahi spends more time with them, forgotten memories gradually resurface. While uncovering the hidden truth, Asahi begins to believe that his fate with these potential partners might be more than just mere coincidence. [Written by MAL Rewrite]","['Adaptation (Manga) Renai Flops', '']",Renai Flops,,,,,,
