,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genre,Themes,Demographic,Spanish,Demographics
10,"MGX, NazoKano",謎の彼女X,Mysterious Girlfriend X,['TV'],13,Finished Airing,"Apr 8, 2012 to Jul 1, 2012",['Spring 2012'],Sundays at 01:30 (JST),"['Starchild Records', 'Yomiko Advertising', 'Kodansha', 'Atelier Musa']",['Sentai Filmworks'],['Hoods Entertainment'],['Manga'],,['School'],24 min. per ep.,PG-13 - Teens 13 or older,7.23,#3208,#769,"335,340","3,378",154477,"First encounters are always memorable because regardless of the outcome, new experiences are sure to happen. For Akira Tsubaki, a young boy who knows next to nothing about girls, and new transfer student Mikoto Urabe, a mysterious girl who wears a cold facade, their first encounter takes a turn for the romantic. Through a series of strange events, Tsubaki suddenly falls in love with Urabe, and together they develop a curious bond. Thus begins the romance and mystery of Urabe, a girl who seems to have a unique way of expressing her emotions. [Written by MAL Rewrite]","['Adaptation (Manga) Nazo no Kanojo X Read Manga', '']",Nazo no Kanojo X,Mysterious Girlfriend X,Mysterious Girlfriend X,['Romance'],,['Seinen'],Nazo no Kanojo X: Mysterious Girlfriend X,
11,,あっちこっち,Place to Place,['TV'],12,Finished Airing,"Apr 6, 2012 to Jun 29, 2012",['Spring 2012'],Unknown,"['Pony Canyon', 'TBS', 'DAX Production', 'BS-TBS', 'Jumondo', 'Houbunsha']",['Sentai Filmworks'],['AIC'],['4-koma manga'],"['Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.47,#2053,#782,"330,450","2,754",151645,"Feelings may come and go, but true love always remains in the heart. Tsumiki Miniwa is in love with her best friend, Io Otonashi. For her, confessing is nearly impossible; but to her friends, they seem to be the perfect match. Cute and petite, Tsumiki comes off more as a friend, and Io's attitude toward her is friendlier than toward others. Despite the constant teasing and obvious hints that his friends have been dropping, Io always seems to miss the signs. Throughout her everyday school life, Tsumiki spends time with her friends and Io. Will she finally muster enough courage to confess her true feelings? [Written by MAL Rewrite]","['Sequel (Special) Acchi Kocchi: Place=Princess', 'Adaptation (Manga) Acchi Kocchi']",Acchi Kocchi,,,,"['Gag Humor', 'School']",,,
12,,めだかボックス,Medaka Box,['TV'],12,Finished Airing,"Apr 5, 2012 to Jun 21, 2012",['Spring 2012'],Thursdays at 01:50 (JST),"['TV Tokyo', 'Lantis', 'Media Factory', 'Hakoniwa Academy Student Council']",['Sentai Filmworks'],['Gainax'],['Manga'],"['Action', 'Comedy', 'Ecchi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.01,#4369,#972,"267,124",490,112190,"Medaka Kurokami is, in the truest sense of the word, perfect. Beautiful, intelligent, and athletic, Medaka's dream is to make others happy. So when she runs for Student Council President of the prestigious Hakoniwa Academy, winning the election with 98% of the votes is only to be expected. The very first thing the boisterous new president does is set up the ""Medaka Box,"" a suggestion box allowing students to submit any kind of request for assistance. Together with the cynical Zenkichi Hitoyoshi, her childhood friend who has been strong-armed into helping, Medaka fulfills these requests at a ridiculous rate. For every job completed, she adds flowers to the student council room, with the aim of filling the entire school. However, the two are about to find out that helping others may be a lot harder than they think as they begin to uncover a devastating plan centering on the academy and even Medaka herself! [Written by MAL Rewrite]","['Sequel (TV) Medaka Box Abnormal', 'Adaptation (Manga) Medaka Box']",Medaka Box,,,,"['Martial Arts', 'School', 'Super Power']",['Shounen'],,
13,Uchuu Kyodai,宇宙兄弟,Space Brothers,['TV'],99,Finished Airing,"Apr 1, 2012 to Mar 22, 2014",['Spring 2012'],Sundays at 07:00 (JST),"['Yomiuri Telecasting', 'Trinity Sound']",['Sentai Filmworks'],['A-1 Pictures'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,8.48,#150,#1271,"201,169","3,889",54185,"On a fateful summer night in 2006, Mutta Nanba and his younger brother Hibito witness what they believe to be a UFO flying toward the Moon. This impressing and unusual phenomenon leads both siblings vowing to become astronauts, with Hibito aiming for the Moon and Mutta, convinced that the eldest brother has to be one step ahead, for Mars. Now an adult, life hasn't turned out how Mutta had pictured it: he is diligently working in an automotive company, whereas Hibito is on his way to be the very first Japanese man to step on the Moon. However, after losing his job, Mutta is presented with an unexpected opportunity to catch up to his younger brother when the Japanese Aerospace Exploration Agency, commonly known as JAXA, accepts his application to participate in the next astronaut selection. Despite self-doubts about his prospects, Mutta is unwilling to waste this chance of a lifetime, and thus embarks on an ambitious journey to fulfill the promise made 19 years ago. [Written by MAL Rewrite]","['Prequel (Movie) Uchuu Kyoudai: Number Zero', 'Adaptation (Manga) Uchuu Kyoudai Read Manga']",Uchuu Kyoudai,Space Brothers,Space Brothers,['Comedy'],"['Adult Cast', 'Space', 'Workplace']",['Seinen'],Uchuu Kyoudai: Space Brothers,
14,Fishing Ball,つり球,Tsuritama,['TV'],12,Finished Airing,"Apr 13, 2012 to Jun 29, 2012",['Spring 2012'],Fridays at 01:15 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Sakura Create']",['Sentai Filmworks'],['A-1 Pictures'],Original,"['Comedy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.65,#1437,#1461,"172,304","2,297",60880,"Saving the world... by fishing? Yuki Sanada has always felt like a fish out of water. Socially awkward and anxious, he struggles to fit in with his surroundings and moves from town to town with his grandma. As he and his grandma settle into the charming seaside town of Enoshima, Yuki hopes for a fresh start. However, his reputation at school is jeopardized by the arrival of fellow transfer student Haru. The eccentric Haru immediately makes a splash, wildly claiming to be an alien and declaring that Yuki is his friend. Pairing the reluctant Yuki with their classmate and fishing talent, Natsuki Usami, he tasks both of them with the absurd mission of saving the world from a mysterious threat in the ocean. Mischief and hijinks ensue, as these three embark on a whimsical adventure filled with laughs, heart, and self-discovery! [Written by MAL Rewrite]","['Adaptation (Light Novel) Tsuritama', '']",Tsuritama,,,,,,,
15,,ゼットマン,Zetman,['TV'],13,Finished Airing,"Apr 3, 2012 to Jun 26, 2012",['Spring 2012'],Unknown,"['TV Asahi', 'Asatsu DK', 'YTV', 'TOHO', 'Sakura Create', 'TMS Music']","['VIZ Media', 'NYAV Post']",['TMS Entertainment'],['Manga'],"['Action', 'Drama', 'Horror', 'Romance', 'Sci-Fi']",,24 min. per ep.,R+ - Mild Nudity,6.83,#5173,#1722,"141,252",289,63399,"The story starts off with a face-off between two rival heroes, ZET and ALPHAS, and then traces their origins - Jin Kanzaki, a young man with the ability to transform into a superhuman being known as ZET, and Kouga Amagi, a young man with a strong sense of justice who uses technology to fight as ALPHAS. The fates of these two men and those around them intertwine as they fight to protect mankind and destroy monstrous abominations known as Players. (Source: ytv ENGLISH)","['Adaptation (Manga) Zetman', '']",Zetman,,,,"['Gore', 'Super Power']",['Seinen'],,
16,"Scarlet Fragment, Hiiro no Kakera: Tamayori Hime Kitan",緋色の欠片,Hiiro no Kakera: The Tamayori Princess Saga,['TV'],13,Finished Airing,"Apr 1, 2012 to Jun 24, 2012",['Spring 2012'],Unknown,"['Bandai Visual', 'Yomiuri Telecasting', 'Lantis', 'Kids Station', 'Movic', 'DAX Production', 'Yomiuri TV Enterprise']",['Sentai Filmworks'],['Studio Deen'],Visual novel,"['Romance', 'Supernatural']",['Reverse Harem'],24 min. per ep.,PG-13 - Teens 13 or older,6.69,#5951,#2009,"115,802",411,47406,"Gods and ghosts only exist in fairy tales, right? That's the impression that high school girl Tamki Kasuga has before she goes to live with her grandmother in the remote village of Kifumura. After being attacked by strange creatures upon her arrival, she is soon informed that females in her family contain the blood of the Tamayori Princess, who has the responsibility and power of keeping gods and ghosts sealed away so that they can't harm the general public. At first Tamaki has trouble believing this, but having five beautiful young men following her everywhere she goes acting as her guardians goes a long way towards convincing her. There's more to this job than Tamaki first realizes, however, and the path that lies ahead of her is fraught with peril and danger. Will she be able to successfully take on the heavy role that has been put on her shoulders?","['Sequel (TV) Hiiro no Kakera 2nd Season', 'Adaptation (Manga) Hiiro no Kakera: Mezame no Toki']",Hiiro no Kakera,,Hiiro No Kakera,,,['Josei'],Hiiro No Kakera,
17,,ナルトSD ロック・リーの青春フルパワー忍伝,Naruto Spin-Off: Rock Lee & His Ninja Pals,['TV'],51,Finished Airing,"Apr 3, 2012 to Mar 26, 2013",['Spring 2012'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Comedy']",['Parody'],24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3524,#2194,"102,505",307,51212,"The competitive shinobi world has proven to be challenging for Rock Lee, who lacks the typically required abilities. To compensate for this handicap, the young ninja tenaciously endures severe training to hone his hand-to-hand combat skills. Whenever necessary, he also resorts to creative fighting techniques. With the constant support of his teammates Neji Hyuuga and Tenten, Lee readily embraces daring adventures as opportunities to advance on his path toward excellence. [Written by MAL Rewrite]","['Adaptation (Manga) Rock Lee no Seishun Full-Power Ninden', '']",Naruto SD: Rock Lee no Seishun Full-Power Ninden,,Naruto Spin-Off: Rock Lee & His Ninja Pals,,,['Shounen'],Rock Lee no Seishun Full-Power Ninden,
18,Eureka Seven Astral Ocean,エウレカセブンAO,,['TV'],24,Finished Airing,"Apr 13, 2012 to Nov 20, 2012",['Spring 2012'],Fridays at 01:55 (JST),"['Bandai Visual', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Games', 'Sammy', 'Hakuhodo DY Media Partners', 'Bandai Channel', 'Fonishia']",['Funimation'],['Bones'],['Manga'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,6.64,#6270,#2240,"98,810",199,43395,"The story is set on Okinawa's isolated island of Iwado, which has seen a growing movement advocating a return to an autonomous government. Ao Fukai, a 12-year-old boy with a missing father, lives on the island with an old doctor named Toshio and is about to enter middle school. Ao's mother was taken away a decade ago by unknown individuals. Naru Arata, Ao's 12-year-old childhood friend and the story's heroine, lives with her father, older sister, and grandmother. She has a ""Yuta"" power awakened within her due to an incident when she was young. A mysterious entity called ""Secret"" suddenly appears and launches an attack on the Scub Coral lifeform on the island. Ao launches a certain military FP called ""Nirvash"" aboard a Japanese military transport in his fervent desire to protect the island. (Source: FUNimation)","['Prequel (TV) Koukyoushihen Eureka Seven', ""Sequel (ONA) Eureka Seven AO: One More Time - Lord Don't Slow Me Down"", 'Adaptation (Manga) Eureka Seven AO', '']",Eureka Seven AO,,,,,,,
19,"Polar Bear Café, Shirokuma Café",しろくまカフェ,Polar Bear Cafe,['TV'],50,Finished Airing,"Apr 5, 2012 to Mar 28, 2013",['Spring 2012'],Thursdays at 17:30 (JST),"['TV Tokyo', 'Avex Entertainment']","None found,",['Pierrot'],['Manga'],,,24 min. per ep.,G - All Ages,7.89,#849,#2253,"98,021",988,24317,"Situated near the local zoo and owned by the charismatic polar bear Shirokuma, Shirokuma Cafe is a popular spot for animals and humans alike, allowing them to sit back and relax after a hard day of work. Whether it's a cold beverage or the latest item on his menu, Shirokuma finds joy in being able to serve his customers, often striking up conversations about various subjects. Together with the sarcastic Penguin and the clumsy Panda, they form an odd trio who get themselves caught up in all sorts of misadventures with their other friends such as Grizzly, a bar owner, and Sasako, a human who works at the cafe. From dealing with unrequited love, outdoor camping trips, karaoke sessions, and even the secret to brewing delicious coffee, there's always something bound to be happening in Shirokuma Cafe! [Written by MAL Rewrite]","['Adaptation (Manga) Shirokuma Café', '']",Shirokuma Cafe,Poler Bear's Cafe,,['Slice of Life'],"['Anthropomorphic', 'Iyashikei', 'Workplace']",['Josei'],Shirokuma Cafe: Polar Bear´s Cafe,
20,"You and Me. Second Season, Kimi to Boku. 2nd Season",君と僕。2,You and Me 2,['TV'],13,Finished Airing,"Apr 3, 2012 to Jun 26, 2012",['Spring 2012'],Tuesdays at 01:30 (JST),"['TV Tokyo', 'Aniplex', 'Square Enix', 'Nihon Ad Systems', 'Movic']","None found,",['J.C.Staff'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.91,#806,#2355,"91,011",373,42962,"""No matter how many years go by, I'm sure we'll still be laughing together."" Twins Yuta and Yuki, Kaname, and Shun have been childhood friends since kindergarten. When transfer student Chizuru joins them, their five man school life becomes all the more lively. Through the changing seasons, the boys will find laughter, surprises, love, and new encounters waiting for them. The second season of the boys growing a little every day of their invaluable daily lives is about to begin! (Source: Crunchyroll)","['Prequel (TV) Kimi to Boku.', 'Adaptation (Manga) Kimi to Boku.']",Kimi to Boku. 2,You and Me 2,You and Me 2,['Slice of Life'],"['Iyashikei', 'School']",['Shounen'],You and Me 2,
